URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=2769450ecd83c542&from=web&vjs=3,100,"Computer Vision Architect, Manager - Applied Artificial Intelligence",Deloitte,"City Place I 185 Asylum Street 31st Floor, Hartford, CT 06103","Limited immigration sponsorship may be available.   The team Analytics & Cognitive In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.  The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting enterprise programs and differentiated strategies to win in their chosen markets.  The Analytics & Cognitive team works with our clients to:  Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based as well as client-owned platforms Deploy automation and cognitive and science-based techniques to manage data, predict scenarios and prescribe actions Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and improvements    Qualifications:   6+ years of relevant work experience  2+ years of experience leading and managing project teams  2+ full cycle product experiences (prototype to production) deploying computer vision solutions  API development experience  Bachelor's Degree  Travel up to 50% of the time (Monday - Thursday/Friday) (While 50% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)     Preferred:   Advanced Degree preferably in applied mathematics, statistics, computer science, data science, electrical engineering, physics, or closely related field  Formal training in one or many of the following: computer vision, image processing, linear and non-linear programming, machine learning, linear algebra  Certification or expertise on at least one of the following platforms: Google Vision, AWS Rekognition, Azure Computer Vision/Face/Content Moderator, or Watson Visual Recognition  Expertise in computer vision or deep learning frameworks and libraries, e.g. PyTorch, OpenCV, Keras, Tensorflow, scikit-image  Advanced skills in Python  Strong knowledge of machine learning, deep learning, image processing, computer vision  Experience with quantitative modeling (design, development & implementation) using 3+ types of algorithms (e.g., YOLOv3, RetinaNet, Faster R-CNN)  Expertise in fields e.g. structured information extraction, object detection, action recognition, image segmentation, spatiotemporal modeling (hybrid CNN/RNN)  Ability to work independently, manage small engagements or parts of large engagements.  Strong oral and written communication skills, including presentation skills (MS Visio, MS PowerPoint).  Strong problem solving and troubleshooting skills with ability to exercise mature judgment.    anccon  aitecharch   A&C_Consulting21",30+ days ago,"10,313 reviews"
https://www.indeed.com/viewjob?jk=13f4849e19533982&from=web&vjs=3,100,Data Scientist,Volvo Group,United States,"United States Position Description  We are Hiring a Data Scientist at Volvo Group! Imagine yourself on the way to work, a regular Wednesday morning. As you drive by the familiar sights, you look out your window and see a Truck, a Construction Machine, and a Bus: all with the Volvo Brand. You look at the driver of one of the Buses you pass and realize that you can see how much they love their vehicle, in the way their eyes sparkle and by the expression on their face. You also see the satisfied passengers – someone is sleeping, someone is looking out the window relaxing, and someone is talking on the phone without needing to raise their voice, as the bus is electric and so quiet. As you look at these people and see their positive feelings, you feel proud. You feel proud because you are a part of building these customer experiences. You are doing it by creating new and advanced solutions for insights on customer satisfaction combined with future technologies, based on data and analytics!   We would now like to give you the possibility to make this imagination and pride your reality.  Come and join our team as a Data Scientist!   Who are we, your new colleagues? We at Volvo Group are constantly moving and changing to be one step ahead in the technology journey. Within Volvo Group Trucks Technology, we are adapting and challenging ourselves to be able to develop breakthrough transport solutions. We strive to add value and the best solutions to our customers while being energy efficient, sustainable, and safer for society. That is why we in the Innovation and Data Analytics (IDA) team are now are looking for you, our new colleague, for the position as  Data Scientist . In our team, we are driven by curiosity and we value thinking outside of the box and trying new things to find new ways to best succeed. We are driven by passion for what we do, and we also value great communication – without communication we cannot work with as much flexibility and trust as we do today. Lastly, we strongly believe that a helpful team who is passionate about what they do is the key for an effective and positive work environment.   This is how you can make an impact: You will work as a Data Scientist within the area of Analytics. Depending on your previous experience and interest, the focus of your responsibility might be a little different. We do believe you will contribute with: Identifying what is available on the external market as well as within the internal Volvo Group organizations to assess how we can better utilize and evolve Analytics within our Quality & Customer Satisfaction division. Driving us from opportunities to implemented solutions, through our team and collaborating partners. Breaking down a common to be able to go from theory to implementation, together with the team, stakeholders, and Product Owners. Networking, relationship building and collaborating with our user groups and stakeholders, to assure we are on top of their challenges and are solving the most needed requirements first, as well as holding the longtime promises to assure a stable evolution of the Analytics area over time. Participating and driving the transition from Proof of Concept to finished solutions and taking pride in the ownership of solutions in the areas of Quality, Warranty recovery, Technical Service and Traffic Safety. Who are you? Since we don’t know you yet, we might not have everything right about who we think you are and what you bring with you. If we were to guess, you are a person with a passion for Analytics and Data Science, with previous experiences working in Agile set ups. We also believe you enjoy identifying opportunities from theory and translating them into attractive Analytics/Advanced Analytics solutions. We would expect you to be curious and interested in evolving Analytics within Quality & Customer Satisfaction.  What we do know about you for sure, is that you need to be a team player with eagerness to try and develop through collaboration, co-operation, and sharing insights, solutions, and ideas. You are also comfortable working closely with a local team, while directly reporting to a global leader.   Position Requirements: Bachelor’s degree in Data Science, Statistics, Computer Science or related field 3-5 years of relevant experience Experience in Analytics with time spent on driving and implementing Analytics insights, preferably in a global environment Proven ability to create PoCs of Advanced Analytics solutions Experience working with relevant technical tools, platforms and systems such as Azure Analytics Cloud, Python, SQL, DataBricks, KNIME, Jupiter Notebook, Power BI and DAX etc. Experience maneuvering ETLs; modelling how to select options for Machine Learning models.  Preferred qualifications (or willingness to learn!) ML in more specific terms: Clustering, Pattern Recognition, NLP, and Decision trees Efficient Data Cleaning techniques Experience with product development within a product organization and/or worked with Product Quality, technical services, or recovery and warranty  About us  The Volvo Group drives prosperity through transport solutions, offering trucks, buses, construction equipment, power solutions for marine and industrial applications, financing and services that increase our customers’ uptime and productivity. Founded in 1927, the Volvo Group is committed to shaping the future landscape of sustainable transport and infrastructure solutions. Countless career opportunities are offered across the group’s leading brands and entities that share a culture of Trust, Passion, High Performance, Change and Customer Success. www.volvogroup.com/career.  Volvo Group Trucks Technology  provides Volvo Group Trucks and Business Area's with state-of-the-art research, cutting-edge engineering, product planning and purchasing services, as well as aftermarket product support. With Volvo Group Trucks Technology you will be part of a global and diverse team of highly skilled professionals who work with passion, trust each other and embrace change to stay ahead. We make our customers win.  Auto req ID  118939BR  Organization  Group Trucks Technology State / Province  Flexible City/Town  Flexible Employment/Assignment Type  Regular  Travel Required (maximum)  Occasional Travel Functional Area  Technology Flexible locations  United States,Greensboro,North Carolina, United States,Hagerstown,Maryland  Last application date  03-Dec-2021  US Disclaimer text  Volvo Group North America is an Equal Opportunity Employer  E.O.E./M/F/Disability/Veteran   We Participate in E-verify",30+ days ago,"2,898 reviews"
https://www.indeed.com/viewjob?jk=1589cdba8dd70979&from=web&vjs=3,100,Data Scientist,Envision,United States,"Basic Qualifications:   PhD with 1 year of experience or MS with 2 years of experience in Operations Research, Applied Mathematics, Statistics, Data Science, or another highly quantitative discipline.  Demonstrated experience in formulating MILP or MIQCP optimization models and/or deep reinforcement learning models for real world problems.  Strong Python coding skills for data analysis and modeling, including experience with standard data science packages (numpy, pandas, matplotlib, seaborn).  Ability to learn new quantitative domains and modeling techniques.  Self-motivated and able to work independently as well as part of a team.  Strong communication skills for interactions with team members.   Preferred Qualifications:   Demonstrated experience building optimization, reinforcement learning, predictive machine learning, simulation, and/or statistical models.  Experience with at least one or more of the following optimization software and modeling language: PuLP, GPLK, CBC, CPLEX, AMPL, GAMS, or GUROBI.  Passion for writing well-structured, well-tested, maintainable, performant, and well-documented code, with an emphasis on scientific code.  Experience translating scientific models into code.  Applied experience with agricultural science and/or agricultural datasets.  Experience using tools for big datasets, such as SQL and PySpark.  Experience using version control systems, e.g. git.  ",30+ days ago,12 reviews
https://www.indeed.com/viewjob?jk=ed08b9ee920fe4df&from=web&vjs=3,100,Mathematical Statistics Practice Question Writer (Contract),Study.com,United States,"As a Statistics Practice Question Writer, you’ll be: Choosing from a large list of statistics topics & problem types Creating multiple-choice practice problems specific to granular statistics topics Creating viable alternate answer choices for the practice problems As a Statistics Practice Question Writer, you’ll receive the following: Reliable payment: Timely, reliable payments twice a month via PayPal. All work is paid per piece. Per piece rates vary based on complexity and length of content. Flexibility: Work according to your own schedule with no waiting, no assignments, and productivity/hourly requirements Support: Access to an incredibly supportive in-house team to answer your questions Work satisfaction: The knowledge that you're helping millions of students achieve their academic goals! What we’re looking for: Expertise in high school level statistics A bachelor’s degree or higher in math, statistics, education or a related field Teaching or tutoring experience in statistics or a related subject is preferred but not required Do you think you can be a Statistics Practice Question Writer for Study.com? Click “ Apply Now ” at the bottom to fill out an application and submit your resume! About Study.com At Study.com, our goal is to make education accessible by providing fun, engaging video lessons and other learning resources for students, teachers, and parents. Today, over 30 million students use Study.com every month to achieve their educational and academic goals. To supplement our existing collection of statistics lessons, we are now developing an extensive library of example problems with clear, step-by-step explanations to help students develop and practice their statistics skills. We recently ranked 10th on Virtual Vocations' top 25 list of best partners for remote work in 2021, and we're growing our team of contractors even further! US123  p4ScmQZQew",16 days ago,87 reviews
https://www.indeed.com/viewjob?jk=bc36a350092337e7&from=web&vjs=3,100,Otter.AI | Speaker Identification Engineer,Recruiting From Scratch,"Hartford, CT 06105","Who is Recruiting from Scratch:   Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire.   About our Client   Join our client in transforming the way remote teams work and communicate. Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting notes. In addition, we are making virtual meetings accessible to all employees - allowing team members with disabilities to participate in a world that is now dominated by virtual meetings.  With over 10M users experiencing their product, they are making an impact at scale and we are growing fast. The team is made up of top talent from companies like Google, Facebook, Yahoo!, Microsoft, Pinterest, Spotify, and Plaid. They are backed by leading investors that include David Cheriton  (Google’s first investor), Tim Draper ( Draper Associates ), Spectrum Equity, Horizons Ventures, GGV Capital, and Duke University.  About this role   Our client is seeking an experienced Speaker Identification Engineer (Junior | Senior | Staff) to join our technology team and solve challenging technical problems in processing collaborative voice conversations. Members of the technology team work as a group and with colleagues in engineering and product to devise and deploy new algorithms for speech recognition, speaker diarization, and recognition.  Qualifications   M.S. in Computer Science or equivalent   Strong programming skills with working knowledge of C++ and Python   1-3 years of experience working on DNN based speaker id and diarization system   Experience with TensorFlow, PyTorch, or similar frameworks   Experience working in a Linux environment   Team player with good communication skills (oral and written)Qualifications   Preferred Qualifications   Ph.D. in Computer Science, Speech/Language Processing or Machine Learning   Familiarity with the state of the art in deep learning   Experience with end-to-end neural network based speaker recognition   Experience with MapReduce, Spark, or similar frameworks   Experience building crawlers   Experience administering Linux clusters   Experience developing web applications   Employee Benefits Stock. Be a [literal] stakeholder in our company’s future.    Food. Enjoy catered meals and boundless snacks.   Fun. We host team lunches weekly and team events bi-quarterly.   People. Work with talented, collaborative, and friendly people who love what they do.   Health and Saving. Receive the benefits of comprehensive health, dental, vision and disability insurance.",30+ days ago,
https://www.indeed.com/viewjob?jk=bfe4f020e2db9af2&from=web&vjs=3,100,AWS Cloud Enablement - Analytics & Cognitive Consultant,Deloitte,"695 East Main Street 6th Floor, Stamford, CT 06902","Analytics & Cognitive  In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.  The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.  Analytics & Cognitive will work with our clients to:  Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms  Leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions  Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and improvements    Qualifications       Required:  2+ years of relevant technology consulting or industry experience  At least one FLC implementation using  AWS  cloud native toolset  3+ months experience with  Amazon Kinesis  Bachelor's Degree or equivalent professional experience  Travel up 50% (While 50% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)  Limited immigration sponsorship may be available.    Preferred:  Experience with  Snowflake cloud data warehouse  highly preferred  Experience with  SQL, Spark and Python   Experience in SQL with Redshift and Snowflake  Experience with Amazon Web Services (AWS) to include:  Amazon S3  Amazon EMR  Amazon Redshift  Amazon DynamoDB  Amazon Glue  Amazon Lambda  Amazon Athena  Programming experience with Unix/Shell scripting  Cloud infrastructure management experience with Data & Analytics tools and services  AWS Certifications  Experience with other leading commercial Cloud platforms, including Azure and Google  Experience with unstructured data  Hands-on experience with Orchestration tools like Airflow or Step function  Experience  leading workstreams or small teams   Strong oral and written communication skills, including presentation skills  (ie: MS PowerPoint)  Ability to create critical collaterals for client workshops and customer interactive sessions  Strong problem solving and troubleshooting skills with the ability to exercise mature judgment  An advanced degree in the area of specialization is preferred.    A&C_Consulting21 ANCCON",30+ days ago,"10,313 reviews"
https://www.indeed.com/viewjob?jk=016200059477203c&from=web&vjs=3,100,Statistical Programmer - Remote,Penfield Search Partners,"Fairfield, CT","Salary:  commensurate with experience  Reference:  JOB-4783  Contact: Neisha Camacho/Terra Parsons - Teamnt@penfieldsearch.com  Job Description:  Senior to Principal level programmer, likely 5+ years' experience Robust knowledge of SDTM, including possible specification writing, as well as programming production and validation/QC Table programming, specifically production programming (producing the actual RTF output, not validation/QC) of moderate to high complexity. Experience in SAS 9.4, preferably with ""Interactive SAS"" experience (we don't use SAS Enterprise Guide, SAS Studio, etc.) ""From scratch"" programming: While we do often provide code for reference for sponsors with multiple studies, we do not have company-wide macros that produce Tables, Listings, or Figures. We expect programmers to efficiently create code without a reliance on a robust macro dependency Experience in Oncology is a major plus, specifically with RS/TR/TU, RECIST1.1, irRECIST, ADTTE",30+ days ago,
https://www.indeed.com/viewjob?jk=aece907df25c90e5&from=web&vjs=3,100,Machine Learning-Lead,Wipro Limited,"Montville, CT","Overview: Proven track record working with higher tier customer issues (system, back-end issues) 2+ years software development experience Experience with common software development methodologies and practices Basic familiarity with cloud infrastructures such as AWS Azure GCP Other general technical skills Basic Linux / Unix experience Docker Kafka Heroku . Minimum work experience: 5 - 8 YEARS Roles & Responsibilities: ""As a Lead, you are responsible for managing a small team of analysts, developers, testers or engineers and drive delivery of a small module within a project (Delivery/Maintenence/Testing) You may serve as entry level specialist with expertise in particular technology/industry domain/a process / application / product. You are responsible for functionalechnical track of a project.""",30+ days ago,"15,021 reviews"
https://www.indeed.com/viewjob?jk=0f850d51fe08cdb8&from=web&vjs=3,100,Senior Data Scientist,Volvo Group,United States,"United States Position Description  We are Hiring a Data Scientist at Volvo Group! Imagine yourself on the way to work, a regular Wednesday morning. As you drive by the familiar sights, you look out your window and see a Truck, a Construction Machine, and a Bus: all with the Volvo Brand. You look at the driver of one of the Buses you pass and realize that you can see how much they love their vehicle, in the way their eyes sparkle and by the expression on their face. You also see the satisfied passengers – someone is sleeping, someone is looking out the window relaxing, and someone is talking on the phone without needing to raise their voice, as the bus is electric and so quiet. As you look at these people and see their positive feelings, you feel proud. You feel proud because you are a part of building these customer experiences. You are doing it by creating new and advanced solutions for insights on customer satisfaction combined with future technologies, based on data and analytics!  We would now like to give you the possibility to make this imagination and pride your reality. Come and join our team as a Data Scientist!   Who are we, your new colleagues at Innovation & Data Analytics? We at Volvo Group are constantly moving and changing to be one step ahead in the technology journey. Within Volvo Group Trucks Technology, we are adapting and challenging ourselves to be able to develop breakthrough transport solutions. We strive to add value and the best solutions to our customers while being energy efficient, sustainable, and safer for society. That is why we in the Innovation and Data Analytics (IDA) team are now are looking for you, our new colleague, for the position as  Data Scientist.  In our team, we are driven by curiosity and we value thinking outside of the box and trying new things to find new ways to best succeed. We are driven by passion for what we do, and we also value great communication – without communication we cannot work with as much flexibility and trust as we do today. Lastly, we strongly believe that a helpful team who is passionate about what they do is the key for an effective and positive work environment.   This is how you can make an impact: You will work as a Data Scientist within the area of Analytics. Depending on your previous experience and interest, the focus of your responsibility might be a little different. We do believe you will contribute with: Identifying what is available on the external market as well as within the internal Volvo Group organizations to assess how we can better utilize and evolve Analytics/Advanced Analytics/AI within our Quality & Customer Satisfaction division. Driving us from opportunities to implemented solutions, through our team and collaborating partners. Breaking down a common backlog with your experiences and knowledge in Advanced Analytics/BI to be able to go from theory to implementation, together with the team, stakeholders, and Product Owners. Networking, relationship building and collaborating with our user groups and stakeholders, to assure we are on top of their challenges and are solving the most needed requirements first, as well as holding the longtime promises to assure a stable evolution of the Analytics area over time. Participating and driving the transition from Proof of Concept to finished solutions and taking pride in the ownership of solutions in the areas of Quality, Warranty recovery, Technical Service and Traffic Safety. Who are you? Since we don’t know you yet, we might not have everything right about who we think you are and what you bring with you. If we were to guess, you are a person with a passion for Analytics and Data Science, with previous experiences working in Agile set ups. We also believe you enjoy identifying opportunities from theory and translating them into attractive Analytics/Advanced Analytics or AI solutions. We would expect you to be curious and interested in evolving Analytics within Quality & Customer Satisfaction, and motivated to help define what we are able to deliver as business value, as our mission includes both.  What we do know about you for sure, is that you need to be a team player with eagerness to try and develop through collaboration, co-operation, and sharing insights, solutions, and ideas. You are also comfortable working closely with a local team, while directly reporting to a global leader.   Position Requirements: Bachelor’s degree in Data Science, Statistics, Computer Science or related field 5-8 years of relevant experience Experience in Analytics with time spent on driving and implementing Advanced Analytics/Data Science insights, preferably in a global environment Proven ability to create PoCs and Industrialization of Advanced Analytics solutions Experience working with relevant technical tools, platforms and systems such as Azure Analytics Cloud, Python, SQL, DataBricks, KNIME, Jupiter Notebook, Power BI and DAX etc. Experience maneuvering ETLs; modelling how to select the best options for (Un) Supervised Machine Learning models and applications. Preferred qualifications (or willingness to learn!) Advanced degree in Data Science, Statistics, Computer Science or related field SAS analytic Platform experience ML in more specific terms: Clustering, Pattern Recognition, NLP, Decision trees, Neural Networks, Object detection models and more Reinforcement learning Efficient Data Cleaning techniques Experience with product development within a product organization and/or worked with Product Quality, technical services, or recovery and warranty Experience with any innovation methodology  About us  The Volvo Group drives prosperity through transport solutions, offering trucks, buses, construction equipment, power solutions for marine and industrial applications, financing and services that increase our customers’ uptime and productivity. Founded in 1927, the Volvo Group is committed to shaping the future landscape of sustainable transport and infrastructure solutions. Countless career opportunities are offered across the group’s leading brands and entities that share a culture of Trust, Passion, High Performance, Change and Customer Success. www.volvogroup.com/career.  Volvo Group Trucks Technology  provides Volvo Group Trucks and Business Area's with state-of-the-art research, cutting-edge engineering, product planning and purchasing services, as well as aftermarket product support. With Volvo Group Trucks Technology you will be part of a global and diverse team of highly skilled professionals who work with passion, trust each other and embrace change to stay ahead. We make our customers win.  Auto req ID  118907BR  Organization  Group Trucks Technology State / Province  Flexible City/Town  Flexible Employment/Assignment Type  Regular  Travel Required (maximum)  Occasional Travel Functional Area  Technology Flexible locations  United States,Greensboro,North Carolina, United States,Hagerstown,Maryland  Last application date  03-Dec-2021  US Disclaimer text  Volvo Group North America is an Equal Opportunity Employer  E.O.E./M/F/Disability/Veteran   We Participate in E-verify",30+ days ago,"2,898 reviews"
https://www.indeed.com/viewjob?jk=1eb2917efa626c76&from=web&vjs=3,100,Machine Learning Engineer,EXL Services,Connecticut,"Overview EXL (NASDAQ:  EXLS) is a leading operations management and analytics company that designs and enables agile, customer-centric operating models to help clients improve their revenue growth and profitability. Our delivery model provides market-leading business outcomes using EXL’s proprietary Business EXLerator Framework™, cutting-edge analytics, digital transformation and domain expertise. At EXL, we look deeper to help companies improve global operations, enhance data-driven insights, increase customer satisfaction, and manage risk and compliance. EXL serves the insurance, healthcare, banking and financial services, utilities, travel, transportation and logistics industries. Headquartered in New York, New York, EXL has more than 32,000 professionals in locations throughout the United States, Europe, Asia (primarily India and Philippines), South America, Australia and South Africa. For more information, visit www.exlservice.com. EXL looks deeper. Deeper into your business to find smarter solutions and clearer strategies for a better business model. We believe that businesses must look deeper at how they manage their operations and processes to better handle change and sustain growth. Our responsibility, as a dedicated partner, is to take a problem-solving focus, ask the right questions, and create the right solutions to make sure our clients’ needs are met. EXL is business process solutions company. We integrate operations management services, decision analytics and technology platforms to deliver immediate results and long-term business impact. We work as a strategic partner to help our clients simplify and streamline business operations, improve corporate finance, manage compliance, create new channels for growth, and better adapt to change. EXL Analytics provides data-driven, action-oriented solutions to business problems through statistical data mining, cutting edge analytics and data science techniques and a consultative approach. Leveraging proprietary methodology and best-of-breed technology, EXL Analytics takes an industry-specific approach to transform our clients’ decision making and embed analytics more deeply into their business processes. Our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing, pricing and CRM strategies, internal cost analysis, and cost and resource optimization within the organization. EXL Analytics serves the insurance, healthcare, banking, capital markets, utilities, retail and e-commerce, travel, transportation and logistics industries. Responsibilities  Create end to end ML workflow, training pipelines, engineer new features, monitor training process, unit testing  Coding and architecting of end-to-end applications on modern data processing technology stack: Hadoop, Hive, AWS Cloud, Spark ecosystem technologies  Work on analytics application infrastructure analysis & requirements (e.g., configuration, access, tools, services, computing capacity, etc.)  Test components of the pipeline and deploy them into a target environment  Enable sharing models and collaboration to improve model management with a model registry  Define model serving options, create testing pipeline in production  Enable model monitoring for detection of anomalies, early alerts, and triggering ML pipelines for retraining  Unify all the processes and automate entire release process with CI/CD orchestration  Qualifications  Master's degree in statistics, mathematics, computer science/engineering, operations research or related analytics areas; candidates with BA/BS degrees in the same fields from the top tier academic institutions are also welcome to apply  Min 4 years of Big Data, and Spark experience building and running complex pipelines/applications at scale in production  Min 2 year hands-on experience implementing or prototyping machine learning systems, preferably in Python or other similar object-oriented programming languages  Experience with AWS: S3, Airflow, EC2, Sagemaker, Lambda, ECR, Spark, Kafka, Kinesis, DynamoDB  Industry best practices in coding is a must (Using Git)  Strong background in machine learning, optimization and scaling ML algorithms  Care about agile software processes, data-driven development, reliability, and disciplined experimentation.  Firm grasp of CS fundamentals, Data structures, and algorithms  Experience and passion for fostering collaborative teams.  Demonstrated leadership ability and willingness to take initiative  Strong record of achievement, solid analytical ability, and an entrepreneurial hands-on approach to work  Outstanding written and verbal communication skills  What We Offer  EXL Analytics offers an exciting, fast-paced and innovative environment, which brings together a group of sharp and entrepreneurial professionals who are eager to influence business decisions.  The ability to learn aspects of client businesses, effective teamwork and time-management skills and a deeper understanding of statistics and machine learning  We invest heavily in training you in all aspects of analytics as well as in leading analytical tools and techniques.  A talented and experienced pool of mentors and advisors  EEO/Minorities/Females/Vets/Disabilities Please be aware that EXL requires all employees to be vaccinated for COVID-19. This position will require the successful candidate to obtain and show proof of a vaccination. EXL is an equal opportunity employer, and will provide reasonable accommodation to those individuals who are unable to be vaccinated consistent with federal, state, and local law.",20 days ago,"1,638 reviews"
