URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=1c1662f2389d5a56&from=web&vjs=3,10,Data Science Analyst,The Ohio State University Wexner Medical Center,"530 W Spring St, Columbus, OH 43215","Job Description Working as a member of the Data Science Core in the Department of Research Information Technology, the Data Science Analyst contributes data engineering, management, analysis and visualization expertise to advance innovative health sciences research. Supports detailed problem analysis to research, identify options, and propose data management, analysis and reporting solutions. Provides extensive data management support to obtain and prepare data for analysis. Assists with designing, developing, implementing, evaluating and supporting data workflows and pipelines, data models, and novel tools to support basic, clinical and translational research across the biomedical mission. Works to ensure that proposed solutions meet users? needs as well as functional, technical, regulatory and security requirements. Conducts data acquisition, management, cleaning, standardization and harmonization, analysis and reporting in support of clinical and translational research. Identifies and employs appropriate estimation and modeling methods for diverse, complex, and issue-laden data. Uses APIs and scripting techniques to automate processing. Uses off-the-shelf analysis and visualization software to create and contribute to static and interactive reports and dashboards. Implements solutions using code to ensure clarity and reproducibility. Executes and updates data quality assurance processes. Assists with summarizing conclusions and solutions for presentation. Assists with proposals, contracts, and scopes of work. Shares knowledge with customers and colleagues through ad hoc communication and the creation of didactic resources. Contributes to a culture of continuous improvement through ongoing review and refinement of existing solutions.   Minimum Education Required Bachelor's Level Degree or equivalent combination of education and experience with a Major in statistics   Additional Education Desired Master's Degree or equivalent combination of education and experience with a Major in statistics  Required Qualifications Certification Desired: Data analytics, data science, or statistical analysis Experience, Training and other Qualifications Required or Desired: (Experience = 0 to 3 years) (Considerable = 3 to 5 years) (Extensive = 5 or more years) Required: Knowledge of appropriate analytic tools and methods in data science and quantitative analysis, and experience applying those tools and methods. Desired: Experience working with health-related data such as clinical, claims and/or omic data. Experience applying a variety of learning techniques (clustering, decision trees, artificial neural networks, etc.) in production contexts. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical te Regular 40 Varying Shifts",30+ days ago,524 reviews
https://www.indeed.com/viewjob?jk=424bcd11488326b2&from=web&vjs=3,10,Statistician,"Avosys Technology, Inc.","Dayton, OH 45324","Overview: Avosys is a growing integrator of professional, technological and management solutions services. Founded in 1998, Avosys provides services nationwide to Federal, Commercial, Local and State clients. We recognize the foundation of our firm is our people and we continue to rise above our competition by hiring the best. Maximize family time with no weekend, Holiday, or on-call requirements Maintain work-life balance with guaranteed 8-hour shifts Take advantage of our competitive, comprehensive benefits package including medical, dental, vision, life, short-term disability, long-term disability & 401(k) Responsibilities: Assist in conducting administrative functions during the course of this effort. Work with clinicians in developing study protocols. Compile, organize, and analyze data, identifying significant variables and underlying relationships. Conduct studies and develop mathematical and statistical methods and techniques suitable for analyzing surgical outcomes. Write statistical analysis plans, carry out statistical analyses, and interpret and report findings. Assist in preparing, completing, coordinating and submitting protocol related documents to both local and military Institutional Review Boards (IRB) as requested. Assist in preparation of amendments to protocols and/or modifications to study design as appropriate. Design data collection tools, questionnaires, and databases. Follow patients’ progress in studies, collect data, and enter data into databases. Coordinate and implement procedures to collect data from patient charts, medical records, interviews, questionnaires, diagnostic tests and other sources. Appraise and interpret collected clinical data in conjunction with principal investigators as appropriate: code, identify and interpret collected data and prepare appropriate documentation. Confer with principal investigators to assist in developing plans for research projects and to discuss the interpretation of results; collaborate on the preparation of manuscripts for publication. Manage, review and extract data from existing military and civilian databases for research and quality improvement. Design Word documents, spreadsheets using Excel Program, presentations using PowerPoint, and statistical programs. Coordinate development of data collection tools, questionnaires, databases and application of research techniques. Assist in writing procedures manuals for data collection and coding. Review journals, abstracts and scientific literature to keep abreast of new developments and to obtain information regarding previous studies that aid in the planning of new studies. Design and accomplish reports, updates for government agencies quarterly, and upon request. Manage summary of deliverables and projected timelines. Collaborate in presenting study results at professional meetings and publishing them in appropriate journals. Assist investigators with explanation of analyses and interpretation of results in methods and/or results sections of technical papers or submitted articles to professional journals. The candidate will conduct the statistical analyses and shall review clinical papers submitted for presentation at meetings or for publication. Attend technical exchange meetings. Must be prepared to discuss current and projected work. Prepare oral reviews of activities, programs, and issues, as needed. Assist in the technical review of proposals submitted for funding. Qualifications: Mandatory Qualifications Master's degree in statistics, biostatistics or related field; advanced analytical and statistical skills At least 3 years' experience in statistical analysis to include combining, cleaning, and analyzing large multivariate data sets  At least 3 years' experience performing study design in clinical research Highly Desired Qualifications Ph.D. in statistics or its equivalent At least 7 years of experience in statistical analysis specifically clinical research experience.",2 days ago,
https://www.indeed.com/viewjob?jk=d9b3fbcb323e5a8d&from=web&vjs=3,10,Data Scientist 2,Ohio Farmers Insurance Co,"Westfield Center, OH","Location: Open to remote work within Westfield's operating territory, but preferred in Westfield Center, OH (hybrid work, okay).  BUILD YOUR FUTURE, WHILE PROTECTING THEIRS.  You will be challenged. Rewarded. And valued for your unique experience, background and perspective. Join a team where hard work pays off and original thinking is celebrated. As you build your future at Westfield, you will quickly learn that protecting our customer’s future is at the heart of what we do. We deliver on our promise to help restore lives and rebuild businesses when the unexpected happens. Building relationships has been a part of our culture since 1848.  Be a part of a team that recognizes and appreciates those who take initiative, seek opportunity and strive for innovation in a changing world.  Data Scientist 2 Job Summary  The Data Scientist 2, working under moderate supervision, is responsible for leading and participating in projects utilizing large amounts of data to develop recommendations and solutions. Projects are typically focused on profitability, revenue growth, and/or expense reduction. Develops and/or researches, learns, and then applies novel techniques to create solutions for problems. Selects optimal approach then develops predictive and prescriptive models to surface insights and drive action. Uses statistical testing and experimental design where appropriate. Applies artificial intelligence and machine learning to enhance decisions embedded in business processes. Uses effective project planning techniques to break down projects into tasks and ensure deadlines are kept. Defines success measures and tracks performance of models.  Desired Qualifications/Experience/Certification/Education (in order of importance)  3+ years of industry experience in a data science or advanced analytics role.  3+ years of experience building, validating, and applying predictive and prescriptive methods to real world problems.  Experience with mathematical techniques used in data science. Must have experience in at least 2 of the following: predictive analytics, machine learning, unsupervised learning, optimization, simulation.  Proficient and proven experience scripting in a high-level programming language (e.g. Python, R). Occasionally develops reusable code creating efficiency gains.  Uses Git version control system and has knowledge of DevOps and agile development practices.  Proficient in SQL including experience writing well-structured and efficient queries.  Experience working with data from a variety of sources (e.g. databases, JSON, text-based, image, and unstructured data).  Experience with data visualization tools or data visualization within a high-level programming language (e.g. Python, R).  Experience using storytelling to communicate information including ability to communicate complex technical information to a non-technical audience.  Bachelor's degree with quantitative focus in Econometrics, Statistics, Operations Research, Mathematics, Computer Science, Actuarial Science or related field OR commensurate experience.  Hands on project management experience.  High intellectual curiosity with ability to develop new knowledge and skills and use new concepts, methods, digital systems and processes to improve performance.  Insurance background/industry experience a plus.  Valid driver’s license and a driving record that conforms to company standards.  Physical Requirements (specific to the role)  The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.  Ability to work effectively in an office environment for 40+ hours per week (including sitting, standing, and working on a computer for extended periods of time).  Ability to communicate effectively in a collaborative work environment utilizing various technologies such as: telephone, computer, web, voice, teleconferencing, e-mail, etc.  Ability to travel as required.  Ability to operate an automobile within the parameters of the driving policy.  This job description describes the general nature and level of work performed in this role. It is not intended to be an exhaustive list of all duties, skills, responsibilities, knowledge, etc. These may be subject to change and additional functions may be assigned as needed by management.  Westfield offers a Total Rewards program that focuses on compensation, benefits and wellness, and includes perks like 401(k), pension plan, annual incentive, education reimbursement, flex-time, onsite fitness center and casual dress. Work-life balance, recognition, and learning and career development are all part of a rewarding career with Westfield.  To learn more about Westfield and the opportunities available, please visit us at westfieldinsurance.com.  #LI-PB1 #LI-Remote  We are an equal opportunity employer/minority/female/disability/protected veteran.",3 days ago,2 reviews
https://www.indeed.com/viewjob?jk=33ccdd2d49ad02b0&from=web&vjs=3,10,Enterprise Data Lead,n2y,"Huron, OH","The Enterprise Data Lead provides leadership and technical support to n2y?s IT Enterprise data team as well as business analysts that reside in n2y?s Product and Business Operations teams. In addition to leadership skills, the position requires skill in data strategy, data architecture, data governance and experience with the development of the databases, database management, data integrations, queries, and reports.  Key Responsibilities:  Provides leadership to both IT data architects and engineers as well as business data analysts and data scientists that reside across the business teams. Has led or worked in an Enterprise centered Data Center of Excellence model.  Has a passion for leading, teaching and mentoring data stakeholders that are directly and indirectly within their span of management and influence.  Develops and carries out the vision for n2y?s data architecture both short term with the tools and resources available as well as longer term with the resources needed.  Develops data architecture, data quality and governance, data processes and standards to support a growing business  Matures and standardizes data processes and tools across a growing organization  Maintains the integrity of data and confidence of business team users across an the business organization  Works in an organization with an enterprise architecture comprised of several leading solutions  Data integration, ingestion and transformation from multiple sources such as Salesforce, Sage Intacct, Gainsight, Zendesk and others.  Managing data resources and operations.  Manage data governance and security.  Experience with presenting data in dashboards and reports that provide actionable insights to the business organization  Experience with advanced data analytics tools and concepts such as machine learning and artificial intelligence.  Networks with external Data Communities of Practice and works to stay current in data concepts and skills.   Desired Skills and Qualifications:  Data Team leadership and mentoring experience  Data strategy and architecting experience  Azure SQL database, Azure SQL data warehouse development, maintenance and query skills including SQL and DAX  Hands on experience with Azure App Insights, Azure Synapse Analytics (Azure SQL Data warehouse), Synapse Studio, PowerBI Premium, Tableau, Salesforce  Data design and analytics skills  Experience with reporting and data visualization tools including PowerBI and Tableau  Domain knowledge with education or EdTech data, reporting and business environment a plus",Just posted,6 reviews
https://www.indeed.com/viewjob?jk=b966899c4417e0ce&from=web&vjs=3,10,"Data Scientist, Baseball Research & Development",Cleveland Guardians - Baseball Operations,Ohio,"Primary Purpose The Cleveland Guardians Baseball Research & Development group is seeking to hire a data scientist to use statistical and machine learning techniques to enhance our ability to quantify the game of baseball. In this role, you will work with video, player tracking, and biomechanics data as well as traditional baseball data sources (i.e. box scores). You will work alongside the rest of the R&D department to use these data sources to build creative and impactful statistical and machine learning models that will help the team acquire the best possible players (i.e. trades, free agency, draft) and develop them into members of a championship-caliber team. We are open to a remote role for the right candidate, but relocation to Cleveland, OH is preferred. We can also be flexible on start dates.  If you meet some of the qualifications below, we encourage you to apply or to reach out for more information. We know that historically marginalized groups – including people of color, women, people from working class backgrounds, and people who identify as LGBTQ – and groups that may not have direct experience in the sports industry - are less likely to apply unless and until they meet every requirement for a job. Therefore, we encourage you to reach out if you have questions about the role or your qualifications. We are happy to help you feel ready to apply!    Responsibilities   Design, build, test, and deploy statistical and/or machine learning models to support all facets of baseball operations, including scouting, player development, and the major league team.  Effectively communicate actionable insights to key stakeholders across the organization.  Using data to visualize model outputs and important baseball concepts.     Qualifications   Demonstrated experience or advanced degree in a quantitative field such as Statistics, Computer Science, Economics, Machine Learning, or Operations Research.  Programming skills in a language such as R or Python to work efficiently at scale with large data sets.  Desire to continue learning about data science applications in baseball.     Preferred Experience  We are looking for a variety of skill sets. If you have demonstrated experience with one or more of the following, you may be who we are looking for.   Demonstrated research experience in a sports context (baseball is a plus).  Experience with a database language such as SQL.  Experience with computer vision.  Experience working with spatiotemporal data.  Experience working with high-dimensional time series data.  Experience with deep learning frameworks such as TensorFlow or Torch.  Experience with Bayesian statistics and languages such as Stan.     Standard Requirements   All applicants for employment with the Cleveland Indians (Guardians) will need to comply with the OSHA COVID-19 Vaccination Policy as a condition of employment. Potential candidates for employment will be notified of the requirements of this policy prior to the start of employment.  Represent the Cleveland Guardians in a positive fashion to all business partners and the general public.  Ability to develop and maintain successful working relationship with members of the Front Office.  Ability to act according to the organizational values and service excellence at all times.  Ability to work with multicultural populations and have a commitment to fairness and equality.  Ability to work in a diverse and changing environment.   About Us Baseball Operations and Baseball Research & Development are committed to our mission of winning the World Series while creating a compelling fan experience. Our shared goal is to identify and develop diverse players and front office teammates who contribute to our mission. By working together effectively and collaboratively, we create a family atmosphere that supports learning and striving for excellence in everything we do. We believe that we will achieve our goals by making evidence and model-based decisions and creating environments that support our people and empower them to continuously learn. This role might be for you if you are looking to join a team that works together to learn new ways to make model-based decisions based on proprietary data that lead to excellent outcomes.",13 days ago,
https://www.indeed.com/viewjob?jk=410bc44049a2a496&from=web&vjs=3,10,Associate Data Science Consultant,Pandata,"2515 Jay Ave, Cleveland, OH 44113","Location  Cleveland, Ohio  Department  Consulting  Employment Type  Full-Time  Minimum Experience  Mid-level  We help innovative organizations design and develop trustworthy, human-centered AI. We are a team of creative thinkers, relationship builders, and problem solvers from diverse backgrounds, both professionally and personally. We believe that diversity leads to Trusted AI, which is what we hang our hat on.   Why Pandata might be right for you:  We advocate for Trusted AI, placing an emphasis on fairness, transparency, and privacy. We further this mission by consistently growing our multicultural, multi-discipline, and inclusive team.  We offer an internal training program to grow our associate data scientists into data scientists over 12 - 18 months.  We are a small but growing team. Your experience will be well rounded and impactful.  We have a strong culture that places an emphasis on living our core values: be approachable, win together, tame uncertainty, pursue growth, and cultivate trust.  Pandata Cares is a program that ensures our team members have access to health and wellness resources, as well as providing unique incentives tied to performance.  You will work on fast-paced, cutting edge projects across a wide range of industries and use-cases.  We put humans first in AI. If you like mixing your data science with relationship building, you’ll love being a data scientist at Pandata.  We work hard but make time to have fun!  We are growing!   Why Pandata might not be right for you:  We are a small company (10 people). If you like big companies where everything has already been built, now might not be the right time to join the team.  We are a scale-up. Priorities and responsibilities change regularly to keep up with our evolving business.  We are consultants, which means we build and nurture relationships with our clients. If building models is primarily what you want to do, we may not be the right fit for you.   What you will do:  Partner with clients to prioritize business and information needs  Translate business problems into analytical problems and work with the consulting team to develop appropriate models and solutions  Identify, analyze, and interpret trends or patterns in complex data  Build machine learning and AI models using standard and state of the art techniques such as natural language processing and model explainability  Present information using data visualization techniques and tools  Develop reports and presentations to communicate findings and recommendations  Build and develop dashboards in business intelligence tools like PowerBI and Tableau  Continue to grow your knowledge of data science tools, platforms, and processes  Contribute to Pandata’s internal innovation through rapid prototyping and building demos  Demonstrating an appreciation for and ability to build strong relationships with key stakeholders, decision makers, and influencers - cultivating these relationships along the way  Adding value to clients beyond problem solving by exploring opportunities to improve their day-to-day operations, turning short-term SOWs into long-term, collaborative relationships.  Up to 10% travel may be required   Requirements:  Undergraduate degree in quantitative field (mathematics, statistics, engineering, …) or equivalent certification or experience  At least 3 years of experience - in data science or related fields  Track-record of problem solving and ability to work both independently and with a team  Experience developing and validating machine learning models using R or Python (Python preferred, please share portfolio if available)  Excellent communication, writing, and presentation skills  Comfort building and nurturing relationships, including regular facilitation of client meetings  Ability to explain sophisticated data science concepts in an approachable manner  Strong understanding of statistical, mathematical and machine learning concepts  Capable of conveying information that affects change and demonstrates results – including actionable reporting  Track record of bridging the gap between business problems and analytics   Benefits include:  Performance-based bonuses  401k plan with match  Health, dental, and vision  Potential for growth and training opportunity to become a Data Scientist  Yearly learning budget  Note: Pandata will not sponsor applications for work visas for this position.",30+ days ago,
https://www.indeed.com/viewjob?jk=981acc88e8b53811&from=web&vjs=3,10,Data Science Engineer,Triangulate Labs,"Cincinnati, OH","Triangulate Labs is looking for a Data Science Engineer who will work closely with our technically minded founders to build and validate predictive analytics models using machine learning. You can expect to work on internal research and development as well as specific client engagements.  What we’re looking for:  Strong probability and statistics background Proficient in predictive analytics Proficient with Python and/or R and current high-performance machine learning libraries Degree in Computer Science, Engineering, Mathematics, or similar field–  Advanced degree is a plus Collaborative attitude Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future This is a full-time position based in Cincinnati, Ohio. Telecommuting may be considered for experienced candidates.  Interested in joining our team? If you are ready to work in a dynamic, fast-paced environment, apply by sending your resume and cover letter t o  contact@triangulatelabs.com .",30+ days ago,
https://www.indeed.com/viewjob?jk=180a77300bf1654f&from=web&vjs=3,10,Research & Development Engineer,Procter & Gamble,"8700 S Mason Montgomery Rd, Mason, OH 45040","Are you interested in innovating and making a difference while working for a global company? As an engineer in R&D, you will be involved in all stages of the design process, from conception to presentation of the finished plans. What will I do? Our R&D Engineers are constantly learning, growing, and improving. In this role, you will find new ways to innovate and develop within your area. We are also a highly collaborative company, so you will also need to provide technical direction to others. We typically assess your skills and qualifications, as well as your interests, and try to find a role that works best for you. We have a few areas of R&D where you could work: Product Development Process Development Material Development Packaging Development Modeling & Simulation (M&S) Data Science Product Development: You should work to understand the consumer and translate their needs into designs and strategies that they value. We use quantitative and qualitative modeling tools to define what the consumer needs as well as the technical requirements necessary to build something amazing. You would be responsible for the creation and oversight of electrical, mechanical or chemical based product designs. Process Development: You will lead the design, development and delivery of state of the art manufacturing systems, processes and equipment. You will have responsibility for high-end computer modeling, empirical modeling, process/equipment design and start up of breakthrough manufacturing technology concepts in both experimental and commercial scale. Material Development Start by developing 'new to the world' raw material technologies so we can meet our customer's needs with the highest quality and within the target cost. We use models to build the technical understanding needed to specify material requirements. Packaging Development Packaging Development Engineers develop creative packaging that is easy to use and looks amazing. We believe in building a sustainable environment and would like your help in looking for new ways to develop responsible packaging. Engineers in this field work with 3D digital modeling, material science experts and industrial designers to design and deliver unique and superior packages. Modeling and Simulation (M&S) Our challenge is to model new and existing products or processes. You are needed to help us develop and apply the right mathematical models to develop innovative new products and processes. You should be able to work with a multifunctional team to define the model's requirements and then deliver the development and execution of a modeling program. Data Scientists Here, we would want you to communicate complex data or algorithms into simple conclusions that will empower others to drive action based on the insights you derive. As a Data Scientist, you will transform the business to enable better decision-making through the usage of advanced analytics. You will be the primary evangelist to the business for the power of predictive analysis and develop business cases to show how we can improve our predictive capabilities. Qualifications We believe you will be an excellent fit, if you: Have a BS or MS in engineering. We prefer Chemical, Mechanical, or Biomedical Engineering, but we also consider other, similar engineering degrees Critical thinking, active listening and strong written and verbal communication skills The ability to learn quickly in a dynamic environment WHAT WE OFFER: Responsibilities as of Day 1 - you will feel the ownership of your project from the beginning, and you will be given specific projects and responsibilities. Continuous mentorship - you will work with passionate people and receive both formal training as well as day-to-day mentoring from your manager. Work and be part of a dynamic and encouraging environment - working over a diverse array of interesting problems. Promote agility and work/life balance for employees, we value every individual and support initiatives. Experience true support for work/life effectiveness and your long-term well-being. Get a competitive salary and benefits' package. ABOUT US We produce globally recognized brands, and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including Always®, Ariel®, Gillette®, Head & Shoulders®, Herbal Essences®, Oral-B®, Pampers®, Pantene®, Tampax® and more. Our community includes operations in approximately 70 countries worldwide. Visit http://www.pg.com to know more. Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we're committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being ""in touch"" so we craft brands and products to improve the lives of the world's consumers now and in the future. We want you to inspire us with your unrivaled ideas. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. Immigration sponsorship is not available for this role. As a general matter, Procter & Gamble does not sponsor candidates for nonimmigrant visas or permanent residency. However, Procter & Gamble may make exceptions on a discretionary basis. Any exceptions would be based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual. Procter & Gamble participates in e-verify as required by law. Qualified individuals will not be disadvantaged based on being unemployed.",15 days ago,"6,852 reviews"
https://www.indeed.com/viewjob?jk=3ec91bac4f88d2ae&from=web&vjs=3,10,Digital Standard/Technical Material Specialist,Procter & Gamble,"Saint Bernard, OH 45216","P&G is the largest consumer packaged goods company in the world. We have operations in over 75 countries, with 65 trusted brands that improve lives for 5 billion consumers worldwide. This brings many advantages, including the opportunity for our employees to enjoy a diverse and rewarding lifelong career filled with new and exciting challenges. Are you looking for a position that offers a rewarding lifelong career filled with new and exciting challenges? P&G is looking for a Digital Standard/Technical Material Specialist. Digital Standard/Technical Material Specialist Specialist with field-specific knowledge and skills. DSO /TMO Specialist The key responsibilities of the role are to translate R&D discoveries into clear technical standards (formula cards and material specifications) via P&G data systems including Enovia, Digital Specs, Siemens, and PASS (A6/A8) the regulatory approval system for raw materials and finished products. We provide the standards which enable Purchases, SNO, and Manufacturing to bring innovation from R&D into production. This role also supports the development of new digital tools and capability through user testing and feedback. Qualifications   An Associate's Degree in  a technical field such as data science,  computer science, computer technology, chemistry, biology, Engineering or Mechanical field or a  business administrative  degree with relevant experience and interests  for digital data and lab work  ; also consider high school graduates with work experience in lab and/or digital innovation. Data Management and Digital experience: Able to utilize digital systems for data management. You have experience and real passion for data management systems, including using spreadsheets (e.g. Excel). Works directly with customers to manage their portfolio of formula cards. Works with Technical Material Owners (TMO) to manage changes to raw material specifications. These changes in standards are either executed directly (via Enovia, Digital Specs, PASS, etc.) Effective Communication Skills: You can organize your priorities and communicate effectively on progress to the customers to deliver timely and consistently reliable results. Experience with technical digital standards such as Digital Specs (Enovia), Siemens (Formula card), and regulatory approval systems is a plus. Collaboration/In Touch: You collaborate effectively with others to collect information required to complete tasks. Able to work with a high degree of independence to understand customer needs and convert R&D-identified opportunities into a plan of action. Able to work with partners across R&D (global DSO colleagues for F&HC formula cards and materials; platform formulators and process experts for formula card development; technical material owners for individual materials) and PS (initiative leaders; Purchases; plant MPD) Operates with Discipline: Able to handle independently a complex portfolio of work with attention to detail. Quality Assurance focus on getting results ""right the first time"" to avoid rework and loss. Technical background is a plus: Having any lab skill, chemistry or chemical or manufacturing background or prior experience in data management is a plus. Just So You Know: We are committed to providing equal opportunities in employment. We value diversity and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Immigration sponsorship is not available for this position, except in rare situations based on Procter & Gamble's sole discretion. Applicants for U.S. based positions are eligible to work in the U.S. without the need for current or future sponsorship. We do not sponsor for permanent residency. Any exceptions are based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual. Procter & Gamble participates in e-verify as required by law. Qualified individuals will not be disadvantaged based on being unemployed. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",18 days ago,"6,852 reviews"
https://www.indeed.com/viewjob?jk=613ec46d194c981b&from=web&vjs=3,20,PhD Data & Modeling Scientist - F&HC Strategic Innovation & Technology,Procter & Gamble,"Saint Bernard, OH 45216","We are seeking a highly motivated PhD Scientist / Engineer to join the Fabric and Home Care (F&HC) Strategic Innovation & Technology organization, located in Cincinnati, OH.You as the Data & Modeling Scientist will create and lead cohesive modeling strategies across computational groups and physical and chemical wet labs to solve real-world business problems. You will also be responsible for developing chemistry databases to enable fast-cycle molecule design and formula optimization, fundamental mechanistic understanding, and new insight discovery. Moreover, you will be working in close collaboration with multifunctional project teams and develop R&D solutions that deliver superior benefits in our Fabric & Home Care products (e.g. Tide, Downy, Unstopables, Dawn, Febreze, etc.) to further grow P&G's $22+ billion F&HC business. Qualifications We are looking for someone with a Ph.D. degree in Chemical Engineering or a relevant STEM field . The individual must be a team player with a ""Roll up your sleeves"" attitude and able to partner with a multi-functional team to define the model requirements Be able to make business recommendations through effective communication (presentations and reports) of findings at multiple levels of stakeholders through visual displays of quantitative information The individual must be able to develop empirical insights from complex data sets, generate data-driven hypothesis, and design appropriate Lab experiments to test these hypotheses The individual must be able to develop the mathematical equations which govern a given physicochemical, reaction kinetics, or transport phenomena and deploy the model in dashboard for end-users The individual must be able to use mathematical optimization techniques to solve product and process design problems The individual must have strong coding skills in at least one scientific computing language (e.g. Python, R, Matlab, Java) Knowledge and experience with advanced machine learning methods (e.g., Graph Neural Network) and tools (e.g. TensorFlow) is a plus Excellent oral and written communication skills in English WHAT WE OFFER: Responsibilities as of Day 1 - you will feel the ownership of your project from the beginning, and you will be given specific projects and responsibilities. Continuous mentorship - you will work with passionate people and receive both formal training as well as day-to-day mentoring from your manager. Work and be part of a dynamic and encouraging environment - working over a diverse array of interesting problems. Promote agility and work/life balance for employees, we value every individual and support initiatives. Experience true support for work/life effectiveness and your long-term well-being. Get a competitive salary and benefits' package. ABOUT US We produce globally recognized brands, and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including Always®, Ariel®, Gillette®, Head & Shoulders®, Herbal Essences®, Oral-B®, Pampers®, Pantene®, Tampax® and more. Our community includes operations in approximately 70 countries worldwide. Visit http://www.pg.com to know more. Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we're committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being ""in touch"" so we craft brands and products to improve the lives of the world's consumers now and in the future. We want you to inspire us with your unrivaled ideas. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. Immigration sponsorship is not available for this role. As a general matter, Procter & Gamble does not sponsor candidates for nonimmigrant visas or permanent residency. However, Procter & Gamble may make exceptions on a discretionary basis. Any exceptions would be based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual. Procter & Gamble participates in e-verify as required by law. Qualified individuals will not be disadvantaged based on being unemployed.",11 days ago,"6,852 reviews"
