URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=1335da4b46d80a46&from=web&vjs=3,270,Junior Marketing analyst,DUOPEAK,"Menlo Park, CA","At DuoPeak we’re a team of passionate and hard working individuals with a real love for mobile games. We found ourselves enamored with understanding the process of what makes a game successful. Through our combined understanding, we found that the real essence of a successful game comes down to three things: Product, Marketing and Operations. What we’re looking for is the right Marketing Manager, who will thrive in an environment that is hands on and is always looking for ways to improve and further our strategy. We are offering a large opportunity for growth.   DuoPeak is seeking a junior marketing specialist. The applicant must be a self-starter and be able to execute successful paid internet campaigns for our clients.  Job Type: Full-time  Key Responsibilities:  Work with the team to manage Facebook/Instagram/Twitter/Snapchat ad campaigns that meet or exceed designated KPIs  Work with the team to manage Google UAC campaigns that meet or exceed designated KPIs  Work with the team to develop and maintain a complete knowledge of (ever-changing) Facebook/Google tools for building campaigns, audiences, conversion tracking, and other tools used to deliver results  Leverage DuoPeak data reporting systems to build performance reports  Collaborate with designers, videographers, and agencies to produce ad creatives  Run hypothesis tests, analyze data collected from different channels to optimize campaign performance and gain valuable insights about our customers’ through a data-driven approach  What We're Looking For:  Highly analytical, data-driven individuals  Detail-oriented and organized people  Exceptional communicators  1 year+ Facebook Business Manager experience  1 year+ Google Ads experience  A Plus For:  Mobile game lover  Email marketing platform experience  Bachelor's Degree in related field  Benefits:  Fully Covered Health insurance  Unlimited DTO  401K  Snacks (Food/Drinks)  Cell Phone Reimbursement",30+ days ago,
https://www.indeed.com/viewjob?jk=a3cbc06f1c2ccc28&from=web&vjs=3,270,NETWORK ANALYST,California State University,"5151 State University Dr, Los Angeles, CA 90032","Job No: 504274; 09/29/2021  NETWORK ANALYST Network Analyst/Career Information Technology Services - Network/PBX Operations  Salary Range: $4372 - $10792/Monthly  Work Schedule: Full-Time, Monday - Friday, 8:00 a.m. to 5:00 p.m.; night and weekends may be required; Exempt classification.  Essential Functions: Under the direct supervision of the Manager, Network/PBX Operations, the incumbent provides support for the operations, design, and maintenance activities of the University's data and voice infrastructure and delivers network services for campus users through a high level of professionalism and customer service skills. The incumbent is also responsible for the planning and coordination of resources related to network and telecommunications projects and tasks. Incumbent works directly with departments and vendors to assess customer needs and coordinate the resources required to deliver solutions. Responsibilities include: provides support for the delivery of network services to the campus community through the completion of work orders, troubleshooting performance issues and resolving incidents; evaluates, plans and deploys network technology solutions to support ITS and University initiatives; maintains the operations of all network infrastructure, including Alcatel Lucent switches and routers, Aruba wireless systems, Palo Alto firewalls and other network components (DNS, DHCP, RADIUS, monitoring appliances, VPNs); monitors, collects and analyzes data to investigate performance issues, traffic patterns and identify opportunities for improvement; coordinates resources between ITS, 3rd party vendors and the campus community towards achieving common goals and the completion of project tasks; develops technical documentation for change proposals and existing systems; maintains inventory of networking devices and peripheral hardware; updates work orders with thorough, comprehensive and detailed information; provides detailed reports, documentation and logging information as necessary; performs surveys and walkthroughs to identify client needs; develops an accurate scope of work, acquires estimates from vendors, and schedules installations; seeks training, workshops and professional development opportunities for continued formal learning; continuously leverages readily available resources and knowledge bases towards understanding and addressing issues and supporting emerging technologies; and other duties as assigned.  Required Qualifications & Experience: Bachelor's degree in Computer Science, Engineering, industrial Technology, Telecommunications or a related technical field and three years of work experience with computer networking, routing and switching. Four years of relevant work experience may substitute for the required. Incumbent must possess: strong understanding of TCP/IP principles, data network connectivity; proficiency in Microsoft Excel, Word and Outlook; strong communication skills: verbal, written and active listening; strong organizational and project planning skills; strong analytical skills, including the ability to respond quickly to problems, prioritize actions, and quickly initiate corrective action; demonstrable ability to prepare professional documentation, including college level writing and grammatical skills; and ability to learn new concepts quickly. Incumbent must be a self-starter, work autonomously and take initiative with minimal supervision. Demonstrated ability and/or interest in working in a multicultural/multiethnic environment. A background check (including a criminal records check) must be completed satisfactorily before any candidate can be offered a position with the California State University. Failure to satisfactorily complete the background check may affect the application status of applicants or continued employment of current California State University employees who may apply for the position.  CSU requires faculty, staff, and students who are accessing campus facilities to be immunized against COVID-19 or declare a medical or religious exemption from doing so. Any candidates advanced in a currently open search process should be prepared to comply with this requirement. The systemwide policy can be found at https://calstate.policystat.com/policy/9779821/latest/ and questions may be sent to OfficeHRM@calstatela.edu.  Desired Qualifications: Experience with: enterprise networks, active directory, authentication systems and server administration; Alcatel Lucent networks, Aruba wireless systems and Palo Alto firewalls; VoIP solutions; work order control software; project management, and knowledge of structured cabling is desired.  Closing Date: Review of applications will begin on October 13, 2021 and will continue until the position is filled; however, the position may close when an adequate number of qualified applications are received. A COMPLETED ON-LINE CAL STATE LA EMPLOYMENT APPLICATION IS REQUIRED. RESUMES WILL NOT BE ACCEPTED IN LIEU OF A COMPLETED APPLICATION.  The person holding this position is considered a ""mandated reporter"" under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 revised July 21, 2017, as a condition of employment.  In addition to meeting fully its obligations under federal and state law, California State University, Los Angeles is committed to creating a community in which a diverse population can live and work in an atmosphere of tolerance, civility and respect for the rights and sensibilities of each individual. To that end, all qualified individuals will receive equal consideration without regard to economic status, race, ethnicity, color, religion, disability, national origin or cultural background, political views, sex or sexual orientation, gender, or other personal characteristics or beliefs.  Candidates must demonstrate ability and/or interest in working in a multicultural/multiethnic environment. Certain positions require fingerprinting. The University actively encourages qualified minorities, women and persons with a disability to apply. Upon request, reasonable accommodation will be provided to individuals with protected disabilities to (a) complete the employment process and (b) perform essential job functions when this does not cause an undue hardship. We are an Equal Opportunity/Title IX Employer.  To obtain employment information for the impaired call: TDD Line  (323) 343-3670 24-hour Dial-A-Job Line (323) 343-3678",30+ days ago,"1,107 reviews"
https://www.indeed.com/viewjob?jk=7cb271d9575b8423&from=web&vjs=3,270,,,,,,
https://www.indeed.com/viewjob?jk=fbd10f5449d8c710&from=web&vjs=3,270,Power BI Data Analyst,UST Global,"120 Vantis, Aliso Viejo, CA 92656","Data Analyst – Power BI UST® is looking for a highly energetic and collaborative  Data Analyst  with experience in Power BI and SQL Server. The ideal candidate is fluent with Power BI and has experience telling data stories through rich visualizations. A good understanding of data structures and data models is a must-have. The ideal candidate must possess excellent written and verbal communication skills with the ability and know-how to liaise with technical individuals to business executives. Experience in a pre-sales or sales support role is highly preferred. Role & Responsibilities Work with sales and business development teams in identifying data analysis requirements. Ability to design and develop data visualizations and define visual stories using Power BI. Participate in technical discussions with IT and business when building new solutions and migrating existing dashboards to Power BI. Conduct full technical discovery, identify pain points, business, and technical requirements, as-is and to-be scenarios. Lead discussions and early analysis and proof of concepts, as it relates to a client’s data analysis requirements. Help the client in use case development and prioritization as well as transitioning these concepts from ideas to proofs-of-concept all the way to production delivery. Compare solution alternatives across, costs, technical and business parameters Apply UST’s methodology, products, accelerators, and reusable assets, and previous work experience to deliver consistently high-quality work. Stay educated on new and emerging technologies, patterns, methodologies and market offerings that may be of interest to our clients. Adapt to existing methods and procedures to create possible alternative solutions to moderately complex problems. Understand the strategic direction set by senior management as it relates to team goals. Use considerable judgment to define solutions and seek guidance on complex problems.  Primary upward interaction is with the direct supervisor. Will interact with peers and/or management levels at a client and/or within UST.  Qualifications and Skills 2+ years of experience as a data analyst designing and developing visually compelling data narratives Experience architecting, engineering, and maintaining solutions on the public cloud ecosystem. Must be a hands-on technologist capable of developing proofs-of-concept and demoing reports. Excellent understanding of key data concepts Experience with the public cloud ecosystem, particularly Azure is a must-have",30+ days ago,949 reviews
https://www.indeed.com/viewjob?jk=7aa5f80780a18501&from=web&vjs=3,270,Business Intelligence Analyst,ALAMEDA ALLIANCE FOR HEALTH,"1240 S Loop Rd, Alameda, CA 94502","The Business Intelligence Analyst is responsible for supporting the analytic needs of the Alliance. This position requires an understanding of healthcare operations and data (e.g. member, claims, clinical and provider data) coupled with experience in programming against complex data environments, quantitative data analysis and analytical tools. The Business Intelligence Analyst, reporting to the Director, Healthcare Analytics, routinely supports business decisions and operational processes and frequently interacts with other cross functional teams.   Principal responsibilities include:  Identify and support areas of analytical focus for the organization’s performance and evaluation of potential areas of opportunity and risk. Identify and communicate operational impact of analytical findings. Work within a complex network of data sources and tools, thinking strategically about optimal methods for structuring and presenting data to end users. Create data sets; extract and synthesize data. Conduct drill-down analysis to proactively identify specific variances in medical costs as well as utilization and population trends. Generate a quality work product, presentable for content and audience, in a timely manner while maintaining strong attention to detail. Manage and prioritize workload while meeting deliverables and expectations. Work autonomously and collaboratively with other team members as well as cross functionally, providing guidance to define report requirements and validate results. Understanding of business and IT processes and ability to communicate effectively with both business users and IT. Research and recommend areas for improvement of data quality and reporting. Develop new KPIs, metrics, and visualizations/dashboards.   ESSENTIAL FUNCTIONS OF THE JOB:  Data extraction, mining and analysis to produce informational and actionable insights. Develop and maintain reports and analyses assigned. Develop and maintain data-based processes. Effective communication with leadership and cross functional teams . Comply with the organization’s Code of Conduct, all regulatory and contractual requirements, organizational policies, procedures, and internal controls.   PHYSICAL REQUIREMENTS:  Constant and close visual work at desk or computer. Constant sitting and working at desk. Constant data entry using keyboard and/or mouse. Frequent use of telephone headset. Constant verbal and written communication with staff and other business associates by telephone, correspondence, or in person. Frequent lifting of folders and other objects weighing between 0 and 30 lbs. Frequent walking and standing. Occasional driving of automobiles.   MINIMUM QUALIFICATIONS   EDUCATION OR TRAINING EQUIVALENT TO:  Bachelor’s degree in a business, health-related, finance, technical or other related field of study   MINIMUM YEARS OF ADDITIONAL RELATED EXPERIENCE:  One year of experience in a healthcare setting. Two years of experience in business intelligence, data systems, reporting and analysis.   SPECIAL QUALIFICATIONS (SKILLS, ABILITIES, LICENSE):  SQL, Excel and visualization/business intelligence software and tools experience required. Experience in working with relational databases, large data sets and multiple data sources required. Knowledge of healthcare principles and data preferred. Experience with validating and auditing data. Exhibit critical thinking and problem solving skills. Ability to manage projects, tasks, and deadlines. Ability to multi-task, effectively manage competing priorities and ambiguity is essential. Well organized and detail oriented. Ability to gather, read, analyze, and interpret complex data and create accurate meaningful information for data reporting and decision support. Excellent written, verbal and interpersonal communication skills, and to be able to successfully relate to internal and external customers of all levels. Ability to facilitate meetings and make presentations before management and staff.   Salary range: $89,360 - $134,050/annually",30+ days ago,33 reviews
https://www.indeed.com/viewjob?jk=338fa7518951c484&from=web&vjs=3,270,Financial Analyst - NR,Santa Clara Valley Transportation Authority,"3331 N 1st St, San Jose, CA 95134","Desired Qualifications The Financial Analyst position will report to a finance manager who is effectively the treasurer for the VTA, and has an investment manager and senior financial analyst reporting to him. The financial analyst will assist and may be assigned responsibilities related to any activities of the finance manager. A treasury function ensures there will be sufficient cash available to pay for the ongoing operating and capital expenses. This involves maintaining cash balances and investment balances in a number of different accounts, and may include assisting with daily banking matters. For large capital projects this will also involve the issuance of tax?exempt bonds to borrow funds to pay for the projects. This position will also support various analytic activities such as the tracking and forecasting of sales tax revenues, preparing cash forecasts, preparing board reports, and using cost models to project potential costs. The ideal candidate will be proficient in using Excel, Word, and PowerPoint to track and analyze data, and have familiarity with accounting, investment, and financial concepts. Definition Under direction, a Financial Analyst designs and produces a variety of complex professional analytical projects, studies, and reports that support the duties of the department as well as those concerned with the development, improvement, and/or implementation of financial functions, practices, and services of VTA. Distinguishing Characteristics The Financial Analyst performs a broad range of quantitative and qualitative financial analyses and reporting activities related to VTA's business matters, debt financings, cash management, budgeting, service operation, capital programs, and capital projects. Assignment responsibility runs from conceptual initiation to completion. An incumbent is expected to identify project and/or assignment objectives, provide input regarding costs, provide solutions to problems, and complete assignments within time frames using financial, statistical, accounting, budgeting, and managerial analysis techniques. Assignments at this level require the use of considerable discretion, judgment, and interpersonal skill. Incumbents serve as a project lead, providing direction and training, over consultants and other staff and may work with all levels of staff and management.  The Financial Analyst is distinguished from the Sr. Financial Analyst in that the latter supervises professional level staff that perform financial analysis activities. The Sr. Financial Analyst performs the most complex professional level analytical projects concerned with the improvement and/or implementation of financial functions, practices, and services; and serves as a consultant to management.  Classification Bargaining Unit: Non-represented  Essential Job Functions  Typical Tasks Employs financial, statistical, accounting, budgetary, and managerial concepts and techniques to complete tasks, and for financial planning and control; Assembles, evaluates, and analyzes financial statements, financial plans, accounting records, operating records, budgets and other information, and provide recommendations for financial improvement and trended future requirements; Participates in management of debt financing, cash management and banking; Uses software for word processing, spreadsheet work, presentation development, and database management; Conducts analytical studies; Generates forecasts for revenue, expenditure and other factors; Prepares letters, reports, memoranda, other written materials, and presentations; Delivers presentations to management, board committees and board of directors; Analyzes and develops solutions to problems using financial and project management expertise and cost benefit analysis Provides training to staff on implementation of financial solutions; Works with staff at all organization levels, and with representatives from organizations and the public; Maintains accurate records, files, and databases; Interprets and implements applicable rules, regulations, and procedures; Acts as a departmental resource, performing duties as required; Serves as a member of management team in meetings with unions (Non-Rep Only).  Minimum Qualifications  Employment Standards  Sufficient training, education, and public or private sector experience to demonstrate possession of the required knowledge, skills, and abilities.  Development of the required knowledge, skills, and abilities is typically obtained through a combination of training, education, and experience equivalent to graduation from an accredited college or university with a four-year degree in finance or accounting, and three years of increasingly responsible, professional experience in financial analysis.  Supplemental Information  Knowledge of: Principles and practices of accounting and financial analysis; Principles and practices of economics, budget preparation, trend analysis, and financial forecasting; Principles and practices of lead supervision and training; Methods, tools, and techniques for assessing and analyzing the cost effectiveness of a variety of programs, systems, and projects; Report writing and presentation; Oral presentation skills; Statistical research techniques and procedures; Collaborative problem solving; Operation of common office equipment and computer software (i.e. word processing, database, spreadsheet, etc.).  Ability to: Gather, interpret, analyze, evaluate, and present a variety of financial and management analysis data; Determine solutions to complex budget, financial, administrative, and technical issues; Use financial, statistical, accounting, budgetary, and managerial concepts and techniques to evaluate data and make observations and recommendations; Assess economic conditions and determine economic assumptions for financial forecasts; Formulate specific objectives against which to compare and evaluate results; Define problem areas, and develop and recommend effective courses of action; Use spreadsheet, database, and project management software, as well as software applicable to VTA, to analyze findings and/or recommendations; Prepare financial reports using database and spreadsheet applications; Persuade, justify, and project consequences of decisions and/or recommendations; Plan, coordinate, and initiate action necessary to implement recommendations; Exercise good judgment within established policies and guidelines; Maintain accurate records, files, and databases; Manage projects involving personnel from other departments within and outside VTA; Follow oral and written directions; Organize and prioritize work and meet critical deadlines; Interpret and apply applicable laws, policies, regulations, and procedures; Communicate effectively, both orally and in writing; Establish and maintain cooperative and effective working relationships with those contacted in the course of work.",30+ days ago,22 reviews
https://www.indeed.com/viewjob?jk=bb2b463aadee8973&from=web&vjs=3,270,Data Analyst,La Clinica de La Raza,"Oakland, CA 94601","Job Description:  Who we are: La Clínica de La Raza is a community-based health center committed to providing culturally appropriate, high-quality, and accessible health care to the diverse communities of the San Francisco Bay Area. We have spent over 40 years advocating for and creating a health home for the many that have been denied access to care. As health care activists, we are dedicated to making sure individuals who do not have health coverage get the same level of quality healthcare as those who have it. From our genesis as a community health center in 1971, we understood that we cannot heal our communities without also addressing the economic and social factors that affect health. Many times, this requires that we go outside and provide services in other settings to build the bridge that links individuals to our health center for preventive and primary care. Over 90,000 individuals come to La Clínica because it is a welcoming place that addresses the whole person, coordinating and connecting them to a broad network of services to improve and maintain their health and well-being. While we are still known for our activism and spirit of social justice, we are also proud to have grown into a sophisticated provider of primary health care services with 35 sites across Alameda, Contra Costa and Solano counties.   Be part of an innovative technical team: Reporting to the Informatics Manager, we are looking for a Data Analyst professional who is passionate about data and data analysis processes in a healthcare setting and can produce outcomes which are HIPAA compliant within an overall agency-wide informatics program. The role will interact with our IT Department and various Operational, Clinical, and Business departments with a focus on problem solving, data analysis, and reporting utilizing data analysis tools within a context of health information systems and standards, operational objectives, and with a goal of reporting on a variety of health information system measurable outcomes. At La Clínica, your work will be engaging as you will be presented with exciting opportunities to collaborate with other disciplines and work at a data systems level utilizing your abilities to problem solve. As a result, you will need to be agile, solutions-oriented, and take ownership of assigned projects and deliver robust, thoughtful, and “outside of the box” information based on your skills as a data analyst. This is a role that calls for an individual who is exceptionally client-focused, resolutions-oriented, and efficient while at the same time has the ability to be engaging and affable. This is a role that calls for an individual who is exceptionally data systems-savvy and remains within compliance-focused guidelines. Many IT professionals excel at one of these areas, but it takes someone with a special combination of technical expertise and relatability to successfully combine and execute these skills. To be successful, you need to enjoy working with all kinds of people, to feel energized by an ever-changing healthcare and data systems environment, and remain versed and relevant in such environments. You should have a successful history of managing large and small projects and communicating out to stakeholders with the aim to support healthcare delivery.  Major Areas of Responsibility include but are not limited to:  Job Requirements  Participates in the ongoing work of La Clinica to evaluate and manage data.  Builds, maintains, and iterates on reports that may include clinical, financial and human resource metrics.  Ad-hoc reporting using Crystal Reports, SQL, etc.  Configures, implements and validates extract, transform, load (ETL) processes from multiple data sources utilizing various ETL tools  Configures and maintains analytics and alert mechanisms related to data and analytic services and processing  Periodic data validation of reports and analytics on a specified timeframe  Monitors relevant key application performance  Resolves complex data issues and tracks through internal ticketing system  Documents all processes performed  Works with off-the-shelf and custom-built utilities to assist with services workflow and data importing processes where applicable  Assists in report request specification gathering, leads development of requested reports, and assists in validation of reports.  Collaborates with relevant contractors and other internal and external stakeholders.  Other duties as assigned by supervisor   Knowledge  Must have working knowledge of SQL including SSRS, XML and experience with Intersystems Cache, EDI is a plus  Familiarity with analytics platforms, e.g. Tableau, i2i Systems  Familiarity with Clarity database preferred  Familiarity with EHRs e.g. Epic, NextGen, Dentrix front-end and database structures with preference given to candidates with additional experience in current state-of-the-art systems for Pharmacy, Lab systems, Optometry, and Behavioral Health (IBH and Specialty).  Knowledge of Database Analysis, processes, and tools, Database Systems, Data Modeling, Database Management & Reporting, Crystal Reports, Electronic Health Record systems (EHR), Electronic Medical Records (EMR), and Electronic Patient Reported Outcomes (ePRO)  Knowledge of operating principles, methods and limitations of data processing equipment and software.  Healthcare Industry experience preferred   Abilities  Strong analytic, troubleshooting skills; can problem solve, organize, and manage multiple tasks and projects in a health information systems environment with large volumes of data  Must have excellent problem-solving, planning, data analysis, and project management skills.  Strong verbal and written communication skills  Able to identify root causes of data integrity and application performance issues.  Must be able to work flexible hours. Some evenings, nights, and weekends are occasionally required.  Demonstrate flexibility and ability to accept changes gracefully.  Able to work professionally and collaboratively in team-based care delivery.  Ability to work and communicate with people from various ethnic, socio-economic, educational and life experience  Ability to be kind, empathetic, considerate, understanding, highly communicative, willing to work with others to solve problems, unable to talk down to others, consider everyone an equal, respectful, and must be an all-around great human being to work with.   Communication Communicate daily with the Informatics Manager and regularly provides project status to the Informatics Manager, other project stakeholders, and clinical and operational leadership as appropriate.  Serve as a trusted partner working with staff to analyze needs and develop cross-functional solutions to enhance productivity, improve support, and facilitate service delivery to La Clinica’s clients.  Other duties as assigned by supervisor   Other Certifications and Experience  Requires four year college or university program certificate with 3 to 5 years of experience   OR  Five to ten years related experience and/or training with demonstration of progressively higher responsibilities.",8 days ago,60 reviews
https://www.indeed.com/viewjob?jk=f79db33d9fb1350d&from=web&vjs=3,270,Data Insights + Analytics - Associate Regulatory Data Analyst,Federal Reserve Bank of San Francisco,"101 Market St, San Francisco, CA 94105","Company Federal Reserve Bank of San Francisco While the SF Fed is a Reserve Bank, we’re not what you might expect. We’re unreserved here. That means we seek new and diverse perspectives. We spark conversations and encourage debate. We build opportunity. We pursue careers that are true to ourselves. We are looking for people who want to help our country reach its full economic potential. When you join the SF Fed, you join a team of people working together to promote an inclusive economy that works for everyone.  At the SF Fed, we believe in the diversity of our people, ideas, and experiences and are committed to building an inclusive culture that is representative of the communities we serve. The SF Fed is an Equal Opportunity Employer. The Data Insights + Analytics Group of the Federal Reserve Bank of San Francisco collects, validates, and provides high-quality data to support the Federal Reserve’s supervisory and monetary policy objectives. As an associate regulatory data analyst in the NIC Banking Structure & Analysis Team, you would be part of a team responsible for ensuring the accuracy of banking structure information in the National Information Center (NIC) database. This is an important function as the data relates to the organizational structure and activities for financial institutions, which are used throughout the Federal Reserve System, as well as other regulatory agencies and the public. Highlights of Responsibilities Track information from a wide range of sources (other departments in the Reserve Bank, other regulatory agencies, and financial institutions) Analyze the data reported and assess for errors Correspond with financial institutions and serve as point of contact for reporting requirements Monitor the structure data for compliance issues Communicate information to interested parties across the Federal Reserve system Contribute to ad hoc projects related to improving work process, enhancing data quality, supporting users, and developing automation tools Qualifications Typically 1-2 years of experience including work and internships BA/BS degree, preferably in economics, banking, finance, law, or equivalent experience Strong organizational skills and attention to detail Excellent written and verbal communication skills and the ability to interact with all levels of staff Demonstrated analytical skills Knowledge of database concepts as well as experience with Microsoft Office: Excel, Access, Word, etc. United States Citizenship required Preferred Skills Knowledge of banking and financial reporting Familiarity with regulatory reports (FR Y-10, FR Y-6, and FR Y-7) Ability to understand and interpret banking laws and regulations (e.g., BHC Act and Regulation Y) Effective October 1, 2021, all employees must be fully vaccinated against COVID-19 or qualify for an accommodation from the Bank’s vaccination policy; the Bank will provide accommodations as required by law for individuals unable to be vaccinated due to medical condition or sincerely held religious belief. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. The Federal Reserve Bank of San Francisco is an Equal Opportunity Employer. Full Time / Part Time Full time Regular / Temporary Regular Job Exempt (Yes / No) Yes Job Category Other Work Shift First (United States of America) The Federal Reserve Banks believe that diversity and inclusion among our employees is critical to our success as an organization, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool. The Federal Reserve Banks are committed to equal employment opportunity for employees and job applicants in compliance with applicable law and to an environment where employees are valued for their differences. Privacy Notice",24 days ago,66 reviews
https://www.indeed.com/viewjob?jk=51457510c992a523&from=web&vjs=3,270,"Quality Assurance Analyst , Audio Data Engineering",Amazon.com Services LLC,"Sunnyvale, CA"," Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering or equivalent work experience  Experience with writing the test plans, use cases, and issue reports  Job summary Amazon Lab126 is an inventive research and development company that designs and engineers high-profile consumer electronics. Lab126 began in 2004 as a subsidiary of Amazon.com, Inc., originally creating the best-selling Kindle family of products. Since then, we have produced groundbreaking devices like Fire tablets, Fire TV, and Amazon Echo. What will you help us create? Work hard. Have fun. Make history.  The Role: We are seeking a highly motivated Quality Assurance Analyst(QAA) to join our Devices team. The ideal candidate will be flexible, detail-oriented, and skilled at working with internal customers (Hardware, Software, Product teams) for tool testing and provide technical support to teams. As a QAA on the team, you will champion the quality of our features in our development pipeline using both automated and manual tests, reporting and verifying defects, and signing-off on features and release candidates Key job responsibilities  Responsibilities: Work with hardware and software teams to create test plans and test cases Running test cases on devices – such as executing use case scenario based testing. Write, read, run, and enhance test scripts in collaboration with Software teams Execute test cases in the field and interpret and report testing results, and be a vocal proponent for quality in every phase of the development process Find, isolate, document, regress, and track bugs through resolution Travel to different locations in bay area and others to support collection Support projects including setup and verification of all system components, trouble-shooting during set-up and live sessions, and ensure integrity and upload, metrics reporting tasks and processes, and document best practices Provide technical support to the field operation or trials team. Apply knowledge of wireless and networking technologies, mobile devices, and quality assurance practices to ensure that connected devices meet all target requirements Gaining knowledge of the features and detailed functional requirements of the work well enough to execute your assigned tests Work indoor/outdoor 3-5 days per week in the field, traveling to multiple sites within 50 miles (this is not a work from home role) Lift 25lbs when needed   Excellent and proven Troubleshooting skills  Experience working with and Software teams for setting up, testing, and troubleshooting prototype devices  Experience configuring, deploying and testing software updates including ability to identify issues and escalate to development as appropriate  Experience coding and scripting in /perl/Bash/Java  Experience with Ubuntu  Experience in running user trials, beta, field testing or collecting customer feedback.  Familiar with Jenkins build Environment  Familiarity with Wi-Fi, Bluetooth, and networking  Hands-on experience in testing /Android-based devices  Proven track record of using to analyze issues, make decisions, and generate various solutions  Excellent communication and interpersonal skills  Exceptional attention to detail, ability to follow through, and strong organizational skills  Experience testing in a Consumer Electronics lab or field environment  Experience in /Unix environment  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",6 days ago,"76,780 reviews"
https://www.indeed.com/viewjob?jk=eb72203a7273c758&from=web&vjs=3,270,PRODUCT MASTER DATA ANALYST,See's Candies,"Carson, CA 90810","POSITION OBJECTIVE: This position is responsible for development and maintenance of our Product and Pricing Master, collaborating with business users to design and implement solutions to promote data integrity and consistency, and provide support throughout the entire product lifecycle. Serves as Subject Matter Expert (SME) providing product knowledge and expertise, and performs ad-hoc troubleshooting and in-depth analysis to ensure product data integration through all platforms.  POSITION RESPONSIBILITIES:  The primary function of this position is the creation, review and management of Product Master Data; ensures all new entries and updates for all manufactured products, purchased products and supply items are entered within the established Service Level Agreements with internal clients.  Defines, develops, champions best practices for product master data in key systems (i.e., ROSS ERP, SFCC, SFOMS, POS, etc.), and development/documentation of processes with other functional data owners to support ongoing maintenance and data integrity.  Works closely with various teams to ensure all pertinent data is accurate within the Product Master; actively troubleshoots & resolves any errors as the data flows through various system interfaces.  Analyzes and identifies data quality improvements; helps resolve data quality problems through appropriate choice of error detection and correction, process control and improvement, or process design strategies.  Responsible for all pricing updates in various platforms; maintains/distributes Corporate Master Price List following pricing changes.  Proofs all barcodes, catalogs and other collateral to verify accuracy of product information including, but not limited to, part numbers (SKU), candy weights and pricing.  Performs special projects as assigned by management.  Responsible for identifying opportunities to enhance technology and innovation that will improve departmental effectiveness.  All See’s staff must be committed to the company’s core principles and workplace values, including diversity and inclusion.  Job Requirements MINIMUM QUALIFICATIONS:  Bachelor or Associate Degree preferable in Marketing, Communication or Business, or related field; equivalent related work experience may be considered in lieu of degree.  Strong computer literacy, including proficiency with MS Office with emphasis to advanced MS excel skills including V-lookups, pivot tables, advanced formulas.  In-depth understanding of supply chain management concepts.  Experience with taxonomies, product hierarchies, product attributes and master data management highly desirable. Data integrity experience required.  Proven ability to complete assignments with attention to detail and high degree of accuracy and follow through on assignments with minimal supervision.  Demonstrated problem solving and troubleshooting skills with the ability to take initiative to analyze and recommend solutions.  Demonstrated open, clear, concise and professional communication and a strong ability to build effective & collaborative relationships with various teams across the organization.  Experience with Ross ERP system or similar ERP systems desired.  Experience with Salesforce Commerce Cloud or similar E-Commerce platform desired.  Schedule flexibility based on the needs of the business.  Proven ability to learn new technologies quickly and manage change efficiently, proactively and in a positive manner.",30+ days ago,668 reviews
