URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=d23790797fefcd74&from=web&vjs=3,200,Senior Financial Accountant/Analyst,"SmartEquip, Inc.","20 Glover Ave, Norwalk, CT 06850","Senior Financial Accountant / Analyst  SmartEquip is searching for a Senior Financial Accountant/Analyst as part of our company growth! We are seeking the right individual who can work and deliver exceptional results in an interactive and everchanging environment. This position is a new addition to the finance department, and you will be joining a team with dynamic professional growth opportunities. Job Tasks & Responsibilities  Collect and analyze data about all of company's operational costs. Support and implement the tracking and analysis of internal/external software development cost for capitalization. Manage all required aspects of the purchase order process including company education of policy and expectations. Provide monthly/as needed detailed variance analytics on all operational cost/spend. Track spending and perform required account reconciliations. Prepare audit reports and presenting their findings to management. Recommend changes to the company's processes and policies to reduce cost and maximize profit. Advise executives and upper management on appropriate measures to manage operational cost based on financial data. Manage the company's balance sheet and accounting books as applicable. Assist management in financial statement preparation and budget variance analysis. Maintain and track company overall capital expenditure – asset management. Make month end journal entries, assist in all aspects of monthly and annual closing. Identify, monitor, and track trends in financial performance and provide recommendations for improvement. Budgeting and forecast responsibilities. Ad hoc requests as needed.  Qualification Requirements BA or BS Degree in Accounting or Finance. Minimum of 5-7 years' experience in dynamic work environments; public and/or private, software/technology companies. Technical aptitude and previous experience with software technology capitalization rules. Understanding and previous application of GAAP accounting principles.  Qualification Preferences (not required) MBA or CPA. Professional Certifications related to role. Management experience.  Core Competencies  Working knowledge of ERP systems. Software such as but not limited to Excel (pivot tables), Intuit products, Expensify, Tableau (or other reporting tools). Knowledge of Data Warehousing. Critical thinker. Strong and demonstrated analytic skills. Solid verbal and written communication skills. Ability to multi-task and meet constant deadlines. Independent worker. Strong understanding of Sarbanes-Oxley.",30+ days ago,
https://www.indeed.com/viewjob?jk=d2baa46a4679340c&from=web&vjs=3,200,Remote Project Manager/Senior Business Analyst,Orthotic Holdings Inc,"Hartford, CT 06105","OHI is the global leader in technologies and treatment options for healthcare providers who treat conditions associated with the lower extremities. Recognized as a pioneer in the field of manufacturing of custom foot orthoses and ankle foot orthoses (AFOs), The OHI brands include Apex, ArizonaAFO, Langer, MDI, PedAlign, SafeStep and The Orthotic Group (TOG). This position is a collaboration of project management and operational/technical business analysis. The role will support all corporate initiatives across our multi-entity enterprise. Business Analyst Responsibilities: Provide IT applications support to the various business divisions for daily operations Responsible for coordinating the analysis, preparation, and planning activities of Enterprise Application Project Requests. Identify key stakeholders and subject matter experts to work with. Gather and document functional requirements in support of system changes. Understand the growing needs of the business and propose technical solutions. Design and implement technical solutions to the business unit Understanding of application integrations Participate in process discussions which impact the system and its users. Have a solid understanding of requirements and serve as the primary interface between Business Owners and all functional areas involved. Creation of business requirements, specifications, test support and training plans to ensure they are in line with SDLC best practices. Provide project analysis support, operational and technical, in implementing new software, designing features, coordinating with vendors, ensure delivery meets IT standards and provides the business with a robust solution. Project Management Responsibilities: Define project schedules, allocate resources and monitor progress Align project objectives with company goals, and make sure project team is clear on objectives Define and execute detailed project plan, scope, goals and deliverables Facilitate, document and gain approval on business and technical requirements Manage various vendor/consultant relations (IT Applications and ERP) Facilitate project meetings which provide constant communication to the business. Report on status and escalate up issues to management and leadership. Created workflow charts for current business processes and ‘to be’ business processes. Conducted User Acceptance Testing (UAT) processes, including collaboration with the business stakeholders, developing UAT criteria and test cases Requirements: 7+ years Business Analysis and Project Management combined Implementation experience is required Experience with NetSuite required Experience with any CRM platform a plus PMP certification a Plus Job Location: Remote",30+ days ago,
https://www.indeed.com/viewjob?jk=7784f40a3514ea66&from=web&vjs=3,190,Business Analyst II,SCP Health,United States,"At SCP Health, what you do matters. As part of the SCP Health team, you have an opportunity to make a difference. At our core, we work to bring hospitals and healers together in the pursuit of clinical effectiveness. With a portfolio of over 8 million patients, 7500 providers, 30 states, and 400 healthcare facilities, SCP Health is a leader in clinical practice management spanning the entire continuum of care, including emergency medicine, hospital medicine, wellness, telemedicine, intensive care, and ambulatory care. Why you will love working here: Flexible schedules and work-from-home opportunities Strong track record of providing excellent work/life balance Comprehensive benefits package and competitive compensation Commitment to fostering an inclusive culture of belonging and empowerment through our core values - collaboration, courage, agility, and respect. What you’ll be doing:   This is a remote opportunity. The IT Business Analyst II will help business groups implement technology solutions in a cost-effective way by determining the requirements of a project or program, and communicating them clearly to stakeholders, facilitators and partners. Works with stakeholders on a daily basis to ensure requirements align with company initiatives and core values. Relies on extensive experience and judgment to create the needed behaviors in themselves and others to drive desired results. The IT Business Analyst II works on complex, highly visible projects, plus scoping several inter-related initiatives and helping senior-level business stakeholders make informed decisions. The IT Business Analyst II mentors junior business analysts in best practices Guides users in formulating requirements; advises on alternatives and on the implications of new or revised technology solutions Works on complex, highly visible company initiatives Develops Testing, Training, and Transition to Support Plans Runs requirements elicitation workshops with all levels of stakeholders (staff to upper leadership and vendors) Other duties as specified by Manager of Business Analysis or Director of Information Technology or Vice President of Information Technology Knowledge, Skills, and Abilities: Possesses knowledge and experience leveraging both IT solutions and business process improvements Mastery level experience in both waterfall and agile methodologies Deep practical business analysis experience completing the following activities: requirements elicitation, stakeholder analysis, interface analysis, process analysis, data analysis, and business rule analysis Knowledge of and ability to utilize multiple elicitation, documentation and analysis techniques Excellent understanding of system development life cycle (SDLC) and responsibilities of business analyst and other team members Excellent written and verbal communication skills at a C Suite level Experience with SOX controls and analysis Excellent decision-making and leadership capabilities Experience with Project Management and Business Analysis software tools Proficient in Microsoft Visio or other prototyping/visual software skills Proficient in Microsoft Office Who/What we are looking for: You have a minimum of three years of experience practicing core principles of business analysis You have a Bachelor's degree (BA/BS) in MIS, Computer Science, or two to four years related experience and/or training; or equivalent combination of education and experience. Degree preferred in MIS, Computer Science, or business discipline with appropriate exposure to information technology concepts, processes, and system To learn more about SCP Health, please visit: www.scp-health.com Join our social circle: Check out our LinkedIn Page Like us on Facebook Follow us on Twitter SCP Health and its affiliated companies require all applicants for a non-clinical position to be vaccinated against COVID-19 as a condition of employment, except where prohibited by state or local law. To demonstrate compliance with SCP Health’s vaccination policy, proof of COVID-19 vaccination status will be requested upon a conditional offer of employment. SCP Health will consider religious and/or medical/disability accommodation and other legally required exemption requests as required by applicable law.  INDJV",30+ days ago,186 reviews
https://www.indeed.com/viewjob?jk=cf192a9023e1ff18&from=web&vjs=3,190,Data Analyst,MetroNet,United States,"Job Details  Description  MetroNet has an immediate opening for an energetic ; Data Analyst in Evansville, IN!   At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the  Best Places to Work in 2020  by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.   We’re looking for tech-savvy, innovative thinkers to join our team and help us create what’s next!   What is in it for you?   Competitive total compensation package  80% of Medical premiums paid for by company  Company paid Disability and Life insurance  401(k) company match and 100% vested on day 1  Discounted MetroNet service in our serviceable area  Flexible schedule  Locally owned, friendly, fun atmosphere   Job Summary:  The Data Analyst position is situated within the Technology team at MetroNet. Primarily, this position will work designing service area boundaries for new markets, performing QA functions, and carrying out various system administrator duties. This person will work primarily with GIS software and data. They will also work with multiple internal departments as the Analytics Team responds to requests. This individual must possess close attention to detail and a willingness to learn. The Data Analyst position works in a team environment with other Data Analysts, Developers, and Data Processors to help MetroNet continue its phenomenal growth and support the day-to-day business needs of the company.   What you will be doing:   Utilize Google Earth to assist in our cost analysis projects  Provide quality assurance of gathered data to ensure accurate analyses  Design new service area boundaries in Google Earth  Quality assurance of autogenerated GIS features, which will include creating, deleting, and editing features in our GIS design environment  Respond to and troubleshoot tickets  System administration of multiple applications, including adding and removing users, projects, responsibilities, etc.  Ad Hoc mapping requests using ESRI applications and Google Earth  Test new and updated functionality  Documentation of processes and procedures  Run custom processes, scripts, SQL statements, etc.   What You Need For This Position:   Strong attention to detail and accuracy  Ability to effectively and efficiently work multiple tasks simultaneously  Very strong computer skills, with experience and comfort with Microsoft Office products  Dependability, adaptability, flexibility, and creativity a must  Excellent interpersonal, analytical, organizational, prioritization, and problem-solving skills  Professional attitude  The desire to succeed, improve, and learn  Outstanding oral and written communication skills  SQL experience a plus   If you have a strong desire to impact, the success of our organization by ensuring we continue to attract and retain committed professionals, please apply today!   MetroNet is an EQUAL OPPORTUNITY EMPLOYER",30+ days ago,266 reviews
https://www.indeed.com/viewjob?jk=e63d437475746797&from=web&vjs=3,190,,,,,,
https://www.indeed.com/viewjob?jk=da5dc71a713cb8fb&from=web&vjs=3,190,Digital Health Data Analyst,CCS Medical,United States,"Overview:  More than a career - a chance to make a difference in people's lives! When you have the power to make a difference in the health and well-being of others, every day is extraordinary. * Looking for your next opportunity?* If so, choose CCS Medical and discover what a meaningful job feels like. Step into a career that will make a substantial difference for our customers—and for you. You will thrive in a fast-paced and dynamic environment where it’s all about multi-tasking to get the job done. If you are positive and professional with a focus on solving problems and doing whatever it takes to make a difference to every customer every time, you are a match for CCS Medical! If you relate well to all kinds of people, explain things easily in ways that people can understand and listen attentively, and can hone in on the most important issues, then.…….. this is the career for you! Responsibilities: The* Digital Health Data Analyst* utilizes data mining to assist in the preparation of standard & non-standard reports. Provides analytic support to multiple departments & business units and performs special financial projects as directed. * What you'll be doing...* Prepares standard reports and analysis that support business operations Prepares routine daily/weekly/monthly revenue and sales reports Assist in the financial analysis support of revenue cycle and claims analysis Assist in day-to-day departmental requirements related to data translation, validation and report writing Assist in functional and business process related data file development, cleaning, scheduling, SFTP/ ETL, validation and maintenance Assist in clinical, operation and financial model requirements gathering, build, ROI definition/ tracking and admin fee calculation Assist in piloting of new care management platforms’ configuration, reconciliation and analytics Develops and provides Ad Hoc requests from Digital Health Leadership Team Processes partner groups’ eligibility and claims files and generates reports for sales proposals Follows existing departmental controls and procedures Always maintains a high degree of confidentiality due to access to sensitive information Maintains regular, predictable, consistent attendance and is flexible to meet the needs of the department Follows all Medicare, Medicaid, HIPAA, and Private Insurance regulations and requirements Abides by all regulations, policies, procedures and standards Performance Responsibilities:  Maintains positive internal and external customer service relationships Maintains open lines of communication Plans and organizes work effectively and ensures its completion Meets all productivity requirements Demonstrates team behavior and promotes a team-oriented environment Actively participates in Continuous Quality Improvement Always represents the organization professionally What WE Bring to the Table:  We offer a wide variety of insurance benefits after 60 days of employment (medical, dental, vision, short and long-term disability and life) with a large portion of premiums paid by the company, as well as paid time off within the first year. We also offer a 401(k) plan with a generous company match and vesting schedule, financial planning, competitive salary, and an EAP-Employee Assistance Plan. Qualifications:  What YOU bring to the Table:  Bachelor’s Degree (BA/BS) from a four-year college or university in Business, Statistics, Analytics, Computer Science or related major, and minimum 3 years analysis experience preferably healthcare, pharmaceutical or DME related or equivalent combination of education and experience Strong knowledge of and proven experience with Excel and query writing within SQL databases (Oracle, SQL Server) Experience working with large datasets using strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Ability to manage multiple priorities and work under deadline with minimal supervision required Eager to learn, enthusiastic, motivated, a self-starter and has a passion for margin improvement Must be an analytical thinker and problem solver, as well as possess and display effective organizational and communication skills CCS Medical is an EEO/AA employer. M/F/D/V Location: Remote, United States Job Type: Full-time",,288 reviews
https://www.indeed.com/viewjob?jk=22963d3073019c7f&from=web&vjs=3,200,BCBA- Board Ceritified Behavior Analysts,"Pierpointe Behavior Analysts of Connecticut, LLC","Stamford, CT 06902","Job Description  Position: Board Certified Behavior Analysts-BCBA-in home/consultant  PIERPOINTE is urgently hiring for a dedicated Board-Certified Behavior Analyst (BCBA). The BCBA is responsible for assessing individuals diagnosed with Autism Spectrum Disorders and/or other behavioral and social/communication challenges and planning, developing and monitoring comprehensive treatment programs to improve behavior.  Responsibilities:  Supervises Registered Behavioral Technicians and candidates in pursuit of their certification. Collaborates with family members, related service providers and other agencies, as appropriate. Conducts initial and on-going behavior assessments to analyze client behavior using appropriate assessment instruments (VBMAPP, AFLS, ABLLS). Plans, develops and monitors skill acquisition programs and behavior intervention plans for new and established clients. Provides or observes client sessions taking notes and ensuring procedural integrity. Analyzes data gathered from client sessions to ensure client progress and makes modifications to programming based on this analysis. Consults with parents and provides them with progress notes, annual reviews and training on skills acquisition programs and behavior intervention plans. Monitors clients’ schedules to ensure insurance requirements are met and completes necessary paperwork for insurance purposes Attends monthly professional development meetings and participates in Individual Education Program (IEP) team meetings for clients, as appropriate.  Qualifications/Education and Experience:  Master’s degree in Applied Behavior Analysis or related field Certification from the Board of Behavior Analysts Licensed to practice by state(s) in which services are being provided by state Experience working with children with autism and special needs  Salary Range:  Based on BCBA experience $30-$65/hr  Job Type: Full-time",30+ days ago,
https://www.indeed.com/viewjob?jk=fa93ae4bb072088a&from=web&vjs=3,190,Data Science/Analytics Associate Manager,Accenture,"755 Main Street, Suite 1600, Hartford, CT 06103","We are: Accenture Interactive—a new breed of agency that’s all about the Experience. For us, customer experience is not an add-on; it’s foundational to who we are and how we empower our clients. As the world’s largest, most disruptive agency, we drive lasting growth for clients by helping them design, build, and run meaningful experiences that make people’s lives better, more productive, and more meaningful. We do this in three ways: by transforming organizations through standout products and services; by building and delivering award-winning campaigns so brands can engage and communicate creatively with customers at scale; and by using our top-notch skills to pilot, integrate, scale, and run the platforms that underpin the world’s greatest experiences. Visit us here to learn more about what makes us the Experience Agency. The work: There will never be a typical day at Accenture Interactive, but that’s why people love it here. The opportunities to make a difference while working on exciting client initiatives are limitless in this ever-changing space. Here’s a snapshot of your responsibilities: Lead a team that will perform assessments, develop strategies, and deliver roadmaps to help clients understand their current digital analytics capabilities and opportunities. Lead teams and manage clients through the deployment of digital analytics platforms (Adobe Analytics, Google Analytics Premium, etc.) across digital properties including mobile web and apps. Develop measurement strategies that tie organizational objectives to digital measurement solutions and communicate the value of solutions to a senior client audience Manage the strategic deployment tagging for digital analytics, paid media, and 3rd party applications Help businesses evolve organizational processes to better leverage data and insights   Here’s what you need: Minimum of 4 years of experience in digital marketing and/or digital analytics Minimum of 4 years of experience using, installing and/or customizing web analytics and tag management solutions Bachelor's degree or equivalent (minimum 12 years) work experience Bonus points if: Passionate about data, analytics and technology (ex: avid consumer of TED talks and Wired Magazine) Minimum of Bachelor's degree or higher in marketing, economics, mathematics, or technical specialty Ability to communicate business objectives to a senior audience Ability to manage a team responsible for running a digital analytics program Technical understanding of how digital analytics and tag management solutions are deployed Ability to complete complex tag deployment within tools like Dynamic Tag Manager and Google Tag Manager Knowledge of web analytics and tag management solutions and differences between providers (ex: Adobe, Google, Tealium, Ensighten, etc.) Knowledge of Customer Data Platforms and Public cloud technologies Travel For now, all Accenture business travel, international and domestic, is currently restricted to client-essential sales/delivery activity only.  Please note: The safety and well-being of our people continues to be the top priority, and our decisions around travel are informed by government COVID-19 response directives, recommendations from leading health authorities and guidance from a number of infectious disease experts. As required by the Colorado Equal Pay Transparency Act, Accenture provides a reasonable range of minimum compensation for roles that may be hired in Colorado. Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, and specific office location. For the state of Colorado  only , the range of starting pay for this role is $75,600 to $122,799   and  information on benefits offered is here. COVID-19 update: The safety and well-being of our candidates, our people and their families continues to be a top priority. Until travel restrictions change, interviews will continue to be conducted virtually. Subject to applicable law, please be aware that Accenture requires all employees to be fully vaccinated as a condition of employment. Accenture will consider requests for accommodation to this vaccination requirement during the recruiting process. What We Believe We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment. Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities.  Read more here Equal Employment Opportunity Statement Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation. All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law. Accenture is committed to providing veteran employment opportunities to our service men and women. For details, view a copy of the  Accenture Equal Opportunity and Affirmative Action Policy Statement . Requesting An Accommodation Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired. If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at  1 (877) 889-9009 , send us an  email  or speak with your recruiter. Other Employment Statements Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States. Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration. Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process. The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",30+ days ago,"21,286 reviews"
https://www.indeed.com/viewjob?jk=aa85b5d67fd12e58&from=web&vjs=3,190,Data Analyst,Hawk Ridge Systems (US),United States,"Hawk Ridge Systems is seeking a Data Analyst to join our Information Systems team. This position will have a significant role in the operations of our IS team in addition to providing analytical duties. The Data Analyst role is cross-functional role that will provide support, investigation, research, management, and reporting for all data activities within Hawk Ridge Systems. Analyzing data discrepancies and data lineage in our asset acquisition life-cycle will be critical to solving data problems. This is a brand new position at Hawk Ridge Systems and will report to the Information Systems Manager. You will dive into our data to uncover insights, formulate and test ideas, and partner with stakeholders across multiple departments to help us understand and accelerate our business. This person will also assist in building predictive systems to help catch issues before they arise and assist in building and support financial reporting.   Key Responsibilities & Tasks: Performing statistical analysis of data Using tools and techniques to visualize data in easy-to-understand formats, such as diagrams and graphs Using data mining to extract information from data sets to organize and present to different business groups Capture and organize data to create forecasting for customer trends Strong ability to troubleshoot and resolve data issues Identify opportunities to improve data and business processes Form data management and governance processes within the IS team Monitoring data quality and removing corrupt data Communicating with stakeholders to understand data content and business requirements Core Abilities: Strong attention to detail when working with data in order to make accurate conclusions and predictions Strong verbal and written communication skills to effectively share findings with shareholders Ability to work independently and with team members A solid understanding of data sources, data organization and storage Strong IT and mathematical skills In-depth knowledge of statistical methodologies and data analysis techniques Knowledge of relevant relational databases Other Duties Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice. Qualifications: Self-motivated Previous research experience Professional communication skills Outstanding problem-solving skills Ability to be assertive and persuasive without being aggressive. Ability to completely understand all our products and articulate where and how they resonate in different industries and verticals. Education & Experience: BA or BS in MIS, Business Administration, computer science, or other technical related field Hands-on experience with database technologies such as SQL, mySQL, or similar platforms Exposure to basic javascript Excellent presentation, writing, and Excel skills are a must Excellent communication skills Passionate about data and analyzing business needs The Americans with Disabilities Act requires that we identify the general aptitudes and physical requirements needed to perform the job listed above. Individuals who hold this position must be able to perform all essential job functions unaided or with reasonable accommodation. Essential Functions: Ability to speak clearly with various stakeholders Ability to use a computer and other communication devices Ability to think analytically and problem solve independently Ability to multi-task, prioritize, organize, and manage tasks   The requirements listed below are representative of the training, knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with legally protected disabilities to perform the essential functions. Computer Skills:  Strong computer skills including quick and accurate typing, and experience with programs such as Microsoft Outlook & Office products, Windows and internet searching. Language & Communication Skills:  Solid English language skills including verbal and written communication skills are required to satisfy customers, potential customers, coworkers and management. This includes ability to read and comprehend instructions, correspondence, memos, operation and maintenance instructions and procedures; the ability to write routine reports and correspondence; the ability to effectively present information in one-on-one and small group situations to customers, clients and other employees. Mathematical Skills:  Ability to add, subtract, multiply and divide in all units of measure, using whole numbers, common fractions and decimals. Reasoning Ability:  Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form. Ability to deal with problems involving a few variables in standardized situations. Physical Demands:  The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with legally protected disabilities to perform the essential functions. More Reasons to Join the Hawk Ridge Systems Team Excellent Medical, Dental, Life Insurance, and Long-Term Disability Insurance Excellent Compensation Package (Base Pay + Commission) 401(k) plan with Company Match Excellent Time-Off Benefits, including Vacation, Paid Sick time, and Paid Holidays (plus your birthday and community service days off!) Excellent Training, Onboarding, Mentoring, and Coaching by successful engineering leaders Amazing growth opportunities provides unlimited opportunities for Career Development Work at a fun, successful, growing 25+ year-old Company with an incredible Company Culture marked by Integrity and exceptional Customer Satisfaction Work/Life Integration: We give you the flexibility you need to succeed If you would love to be surrounded by the best minds in the industry and want to help drive our company’s success while thriving & growing your career, apply for our position today! Hawk Ridge Systems is proud to be an Equal Opportunity Employer. In accordance with anti-discrimination law, it is the purpose of this policy to effectuate these principles and mandates. Hawk Ridge Systems prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, age, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Hawk Ridge Systems conforms to the spirit as well as to the letter of all applicable laws and regulations. #LI-Remote Education Preferred Bachelors or better in Management Information Systems or related field Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",30+ days ago,14 reviews
https://www.indeed.com/viewjob?jk=fb933c0aea33ae64&from=web&vjs=3,190,Lead Talent Business Analyst - Tax,Deloitte,"Bristol, CT","Business Analysts provide support to Lead Business Advisor (""LBA"") and the Talent Business Advisor (""TBA"") in the delivery of strategic services to the Business. They will also support the Talent organization during peak times to deliver key services.   Work You Will Do  Business Analysts help to provide Talent consultative solutions tailored to support the execution of strategic priorities for the Deloitte Tax practice.  Supports the LBA and TBA translate business strategies into actionable Talent strategies. Supports the LBA and TBA while partnering with COE's and CTS to deliver all talent lifecycle events including, but not limited to, performance management, compensation planning, workforce planning, PPMD candidate pipeline and other talent programs. Analyzes data and fundamental information about the business and provides high level expertise and analytics. Leads reporting efforts, data reconciliation, and analysis for the Business Advisor team. Supports fostering change throughout the organization and ensure that Talent strategies are aligned with the firm's culture. Performs other job-related duties as assigned.  The Team  The Business Advisor organization champions a ""One Talent Team"" through collaboration with the Centers of Excellence (COEs) and Core Talent Services (CTS) to deliver integrated Talent services to support Business strategies and priorities.   Qualifications  Required:  Minimum of 5 years of Human Resources experience and/ or directly related experience Undergraduate degree required (4 year) Proficient Microsoft Office skills (MS Excel, MS Visio, MS PowerPoint, Zoom) Team player who will flourish in a fast-paced environment Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.  How You Will Grow  At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.   Benefits  At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.   Deloitte's Culture  Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.   Corporate Citizenship  Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte's impact on the world.   Recruiter Tips  We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you're applying to. Check out recruiting tips from Deloitte professionals.",30+ days ago,"10,464 reviews"
