URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=bcd618cfc72ea10c&from=web&vjs=3,220,Senior Data Analyst,Inspire,Remote,"Description: Job Title:  Senior Data Analyst Location : Arlington, VA or Remote USA WHAT YOU’LL BE DOING At Inspire, we are connecting patients and caregivers to help our members find answers, find a community that truly understands their experiences and through empathy and support really enables human connection and empowerment that drives patient centricity. Our Data Science team is seeking a Senior Data Analyst to work with a team and create the premier platform for patients and caregivers to connect with one another and support each other throughout their personal health journey. This role will focus on discovering product and behavioral insights and turning them into actionable data points to improve the platform’s member experience and advance medical research and. You will be working with structured and unstructured data and will provide analytics and visualizations for various use cases and projects supporting important initiatives. As part of this collaborative team, you will be working with individuals across product, business, and the research teams to add value through your analytics and visualization skills. Inspire uses various technologies to store, analyze, visualize, and report our data. We use a mix of Redshift, Aurora, PostgreSQL, MySQL, Jupyter Notebooks, Tableau, Airflow, and Dash Plotly along with other technologies to meet our needs. Our new team member will have the opportunity to enhance and modernize our approach and will be involved in Generating and analyzing metrics to understand user retention, engagement, churn, conversion rates, etc. Analyzing data from campaigns to provide new insights or data points for further analysis or feature development Assisting in the generation of reports and data visualizations used across the company Responding to ad-hoc data requests in a clear and consistent manner Creating, modifying, and reorganizing tables to incorporate new data or improve existing schema design for additional use cases Collaborating with product, marketing, and business development teams to provide actionable insights to improve our product and business . Requirements: 5 - 7 years of related experience Strong proficiency in SQL - should be able to write complex and optimized queries Strong logical & analytical concepts in databases and schema design Strong experience using Python for data analysis, data processing, and scripting Ability to strategize the best way to organize and store new data types in a relational database Ability to create, modify, and reorganize tables Ability to evaluate requests, investigate, get required data, analyze, and provide results to stakeholders in the company Working knowledge of data warehousing infrastructure such as Redshift Experience creating data visualizations and dashboards using Tableau or related tool Understanding of product and marketing metrics used for measuring campaigns and product performance WHAT WE VALUE: Resourcefulness and team collaboration Very good written and verbal communication skills Demonstrated ability to work creatively and effectively in a fast-paced environment Passionate about the intersection of health and technology Strong empathy for members and passion for growth Collaboration - an ability to establish and maintain effective working relationships with coworkers, managers and clients Full-time employees are eligible for: Competitive salary and benefits Generous Flexible Time Off policy (ask us about it!) Stock options Health insurance, including dental and vision 401(k) retirement plan with matching Work anywhere in the US!",1 day ago,43 reviews
https://www.indeed.com/viewjob?jk=50320f2247da9724&from=web&vjs=3,220,Data Analyst,Benjamin F Edwards & Co,"St. Louis, MO 63105","Benjamin F. Edwards is looking to hire a Data Analyst to join our Information & Analytics team. We’re seeking a candidate who is detail oriented, intellectually curious and has two years or more of analytics experience in the Financial Services industry. In this role, the candidate will work autonomously with all levels of leadership. The role also offers the potential to work remotely. Job responsibilities include: * Identifying, analyzing and interpreting trends or patterns in complex data sets Developing reporting solutions to support many different facets of firm operations Providing analytics and ongoing data support for software implementations/migrations Working with management to prioritize business and information needs Locating and defining new process improvement opportunities Providing reporting for Firm regulatory priorities Assisting with financial modeling and statistical analysis An ideal candidate will meet the following qualifications: * Bachelor’s degree in Data Analytics or Management Information Systems preferred Minimum 2 years of data analytics experience in the Financial Services industry Intermediate to Advanced SQL skills On the job experience with Microsoft Power BI and SQL Server Reporting Services preferred Ability to adapt and learn new technologies quickly Desire to work in a dynamic, fast paced, service-oriented environment Strong people skills, including superior communication skills Detail oriented and excellent problem-solving abilities Team player with good time management skills and ability to prioritize and multi-task Experience building and deploying solutions in middle to large sized organizations We offer competitive pay and a comprehensive benefits package. _ Benjamin F. Edwards & Co. is an Equal Opportunity Employer_ Job Type: Full-time Work Location: Multiple Locations",,6 reviews
https://www.indeed.com/viewjob?jk=28cd68bda06a5134&from=web&vjs=3,220,GIS Analyst,"City of Shoreline, WA","Shoreline, WA","GENERAL SUMMARY Shoreline is an inclusive City that endeavors to build a work culture which embraces diversity, encourages participation, and promotes equity. To demonstrate skills and interest,   please complete the application* and Supplemental Questions in lieu of a cover letter or a resume.* (This application does not allow for attachments. Providing complete responses in the Supplemental Questions section will help us determine your qualifications for the job.) Employees Working Remotely:   Under the new policy, this position could work remotely part-time on a regular basis if desired. Full-time remote work is not an option. COVID-19 Vaccination Requirement :  A candidate selected and offered the job must demonstrate proof of vaccination against Covid-19.  A list of acceptable documents to provide verification can be reviewed  here  (Download PDF reader). The City's mission is to fulfill the community’s vision through highly valued public service. Our employees work relentlessly to achieve organizational goals while embracing the City’s values.  City Mission, Values, and Goals DEFINITION The GIS Analyst plays a pivotal role at the city with multiple enterprise systems relying on accurate and timely GIS data. The successful candidate will work closely with the Systems Analysts and Functional Analyst to meet the ever-growing GIS needs of the city. This position will act as subject matter expert, providing guidance, training, customer support, analysis, and quality assurance and control for all things GIS. GIS functions are distributed across teams and positions, but this position is the only full-time position dedicated solely to GIS at the City. OVERVIEW The GIS Analyst will be part of the IT group and will report directly to the IT manager. This is an agile team that works at a fast pace. The IT group consists of eleven positions including the IT manager. Some of the major projects in process are the Transportation Master Plan and citywide Equity Mapping. Projects starting in 2022 include the Surface Water Master plan, and the Comprehensive Planning Master Plan. The GIS analyst will be a critical piece of these projects as well as the day to day operation of the City’s GIS. EXAMPLES OF DUTIES ESSENTIAL AND MARGINAL FUNCTION STATEMENTS   Essential and other important responsibilities and duties may include, but are not limited to, the following:  Essential Functions :  * Updates and improves existing spatial data based on electronic plan sets. Maintains Public Works spatial data and associated metadata from daily utility operational as well as large project updates and activities (capital improvement or field collection projects). Design and implement new datasets as needed. Receive, prioritize, and respond to ad-hoc requests for maps and data. Provide internal GIS user training. Design and develop map services and publish online maps with interactive capacity. Utilize high quality cartography skills to produce maps and data visualizations. Support asset management. Edit and maintain facility and asset data; troubleshoot and support field collection and GPS devices and software. Assist the Systems analyst with monitoring and administration of ArcServer. Assist the systems analyst with monitoring and administration of SDE and the SQL database. Perform spatial analysis using mapping software and spatial statistical techniques to address a question or gain useful knowledge. Analyze GIS data for patterns; increase the effectiveness of existing data by combining multiple data layers and sources and use spatial analysis to improve the understanding and development of City performance benchmarks. Facilitate the administration of the City’s GIS governance program. Coordinate GIS utilization across multiple teams with competing priorities. Identifies and engages GIS stakeholders for decision making. Marginal Functions :  1. Participate in special projects as assigned. 2. Perform related duties and responsibilities as required. QUALIFICATIONS Knowledge of :  Principles and practices of GIS database design, development, administration, and maintenance Principles of relational database management design and development Methods and techniques of software and system installation, setup and upgrading Pertinent Federal, State and local codes, laws and regulations Ability to :  Participate and work effectively in an organization committed to advancing principles and practices of equity and anti-racism Use current ESRI enterprise software and extensions Explain complex GIS concepts to a wide range of users Manage geographic database development and refinement projects Conduct complex spatial analysis Clean, manipulate and analyze data Evaluate spatial control, data integrity and quality Provide support to system users regarding custom data and mapping products Research, analyze and evaluate new service delivery methods and techniques Communicate clearly and concisely, both orally and in writing Establish and maintain effective working relationships with those contacted in the course of work Read and understand as-builts both for utilities and property Experience and Training Guidelines Any combination of experience and training that would likely provide the required knowledge and abilities is qualifying. A typical way to obtain the knowledge and abilities would be:  Experience :  Three years of progressively responsible experience working with geospatial data, software, including experience in mapping tools such as ArcGIS, ArcPro, SDE, ArcServer, SQL, and spatial data analysis. Local government experience preferred. Experience with surface water and wastewater utilities preferred. Training :  Equivalent to a bachelor's degree from an accredited college or university with major course work in Geographic Information Science, Geology, Geography Computer Science of similar field. SUPPLEMENTAL INFORMATION Environmental Conditions : Office environment; exposure to computer screens. Job Type: Full-time Work Location: Multiple Locations",,2 reviews
https://www.indeed.com/viewjob?jk=217e23a8c129cf3d&from=web&vjs=3,220,Healthcare Data Analyst III - Remote/Hybrid,University of Maryland Medical System,"Linthicum, MD 21090","What You Will Do: General Summary  Under limited supervision and with the latitude for initiative and independent judgement, this position conducts Case Mix analysis and reporting. This position works closely with the Clinical Documentation Improvement team which includes case managers, clinicians, medical records coders, and oversees the daily work activities of the financial analysts and intern(s). Principal Responsibilities and Tasks The following statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all job duties performed by personnel so classified. 1. Responsible for the integrity of both I/P and O/P abstract tapes. This task will include the following: A. Supervising analysts analyzing and reporting the data as well as direct interaction with various hospital departments including clinical areas, Case Managers, Compliance, Medical Records Coders and Auditors, and Patient Financial Services. B. Meeting all regulatory requirements including filing deadlines and integrity levels. C. Maximize data for regulatory purposes by understanding what drives case mix changes and take responsibility of assuring all data is captured correctly. This includes, but is not limited to monthly reporting of Quality Indices to Medical Records. D. Interaction with external auditing companies for financial data and medical records data. This includes sending and receiving data timely and accurately. E. Accountability for the integrity of Case Mix data for reporting to management. F. Reporting Case Mix information with all algorithms that have been established by the HSCRC 2. Supervises the reporting and monitoring of the Clinical Documentation Improvement team. This requires working independently with minimal supervision while meeting with various levels of management throughout the organization to implement effective case mix documentation which will ultimately lead to maximized Case Mix Index. This process will include the following: A. Reporting case mix changes related to each of the clinical services within UMMS as part of the monthly reporting package. B. Support the development, implementation and monitoring of improvements in clinical documentation as well as coding that will increase revenue for UMMS. C. Analyzes actual case mix performance in comparison with established budgets. Interpret and reports results to all levels of management. 3. Supervise the monthly preparation and monitoring of various reports including monthly Financial Statement Revenue analytical packages, Case Mix Analytical Package, Clinical Documentation Improvement tracking as well as changes in CMI by clinical service at the detailed DRG level. Interpret and present information to management. 4. Supervises and directs financial analysts and interns who perform financial cost and rates analysis and reporting in accordance with departmental and UMMS personnel policies and procedures. A. Completes individual performance evaluations under the supervision of management. B. Assures timely and accurate completion of work by monitoring daily work activities. C. Trains staff on new practices, and otherwise promotes staff professional development. 5. Supervises and prepares various case mix reports and special projects as requested by senior management. 6. Develops and implements procedures in performing tasks required by internal management or outside regulatory agencies. 7. Attends and participates in in-service training and various educational programs for professional growth and development. Keeps up-to-date with the developments/changes in the field and applicable regulations and procedures affecting hospital finance and regulatory practices. 8. Performs related duties as required. What You Need to Be Successful: 1. A baccalaureate degree from an accredited college or university in Accounting, Finance, or other related field or equivalent is required. MBA, CPA or Master’s degree in Finance preferred.  2. A minimum of five years of progressively responsible professional financial/reimbursement analysis experience, or equivalent, is required. 3. Knowledge of Medicare and HSCRC regulations is required. 4. Demonstrated knowledge of Microsoft Access and Excel, word processing programs, graphic/specialty and other finance related software programs. 5. Highly effective verbal and written communication skills are necessary to work with various clinical department heads, financial management and senior management staff and to supervise professional and clerical staff. 6. Ability to assess and evaluate complex financial data via use of computer analysis. 7. Experience supervising, monitoring daily work activities, evaluating, training and motivating the performance of subordinate technical, professional and clerical support staff. 8. Proficient organization and problem-solving skills are required to develop/implement efficient work processes. Ability to work effectively in a stressful work environment. Ability to handle confidential issues with integrity and discretion. We are an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",8 days ago,113 reviews
https://www.indeed.com/viewjob?jk=9b69b101a66cb8b6&from=web&vjs=3,220,IT Strategy - Business Analyst,iknowvate technologies,Remote,"Home-based, Oregon - United States | Posted - 10/11/21   Overview -DO NOT DELETE BELOW THIS LINE- The business analyst is responsible for leading business requirements definition to successful completion, including the discovery, analysis and documentation of business requirements, process flows, use cases, test and training plans. Works closely with product, relationship management, quality assurance, project management, and technology teams. The Business Analyst is responsible for conducting customer and market needs analysis, developing detail product and internet systems requirements and managing all stages of business requirements from initial research to user acceptance testing. The position will be the liaison between client subject matter experts and the development team. The position will also identify and assist in the development of additional business opportunities within current clients, applying delivery methodology standards in the creation of solutions, understanding client tactical plans and goals and expressing business requirements in terms of the function to be performed by the solution. Other responsibilities include overseeing business to system knowledge management, and assisting in overall system design from user interface through backend processes. This is a team-based position that requires strong interpersonal skills. Additional Sills: Skills:  Category Name Required Experience  No items to display.",17 days ago,
https://www.indeed.com/viewjob?jk=bb7116297aee0e8b&from=web&vjs=3,220,Data Analyst - Product Operations,Vericred,"New York, NY","Vericred has built the first multi-carrier, end-to-end quoting, enrollment and member management API solution for Health Insurance and Employee Benefits. With adoption from all of the major medical carriers and overwhelming traction from end-user-facing platforms, our Quoting and Enrollments APIs are set for massive growth and industry disruption. Vericred is seeking a Product Operations Data Analyst within Vericred’s Product Operations department. The main goal of the Product Operations team is to optimize the intersection of product, engineering, operations, and support services people, processes, and tooling. This key, newly created role will have an amazing opportunity to apply their natural curiosity and problem solving skills in helping to identify and measure opportunities to support these teams to scale. The ideal candidate will have a self-starting attitude, and a metrics/data-driven analytical mindset of measuring success and driving continuous improvement. They will be a change agent in the use of analytics to provide deeper insight into business performance and future operations. For this role, we are open to remote candidates anywhere in the U.S. Vericred is headquartered in NYC with a second office in Omaha, NE. This role reports into the Head of Product Operations. #LI-Remote  In this role you will: Take on strategic projects that aim to support the scaling of processes and tooling. Work with business leaders and stakeholders to define a problem or business need. Identify, source, clean, and prepare data for analysis. Visualize and present data in such a way that make it easy to understand and tell a compelling story. Present findings and recommendations to management and other key stakeholders as needed. Support the access of data that allows the delivery of a product that is timely, accurate, and complete. Collaborate with Product, Engineering, Operations and Support Services teams to identify, prioritize, and measure process, technology, and tooling improvements. Help business leaders compare options and make decisions by crafting predictive modeling as needed. Create data analysis dashboards and metrics that can be handed off to teams to help them self-manage growth and productivity. Act as a general support agent towards the aim of greater data access, acuity, and literacy.  We’d love to hear from you if you: Have 5+ years experience in a data analytics or related role, preferably in the health insurance and employee benefits ecosystem, that required you to obtain and share data to help drive better decision making. Have experience driving business optimization and supporting efficiency to scale through the use of data forecasts. Have data access, visualization and wrangling skills using tools such as Python, Tableau, SQL and/or RStudio. Have an eye for detail and a love of data. Enjoy and have a proven history of showcasing data in a way that is appealing, digestible, and easy to understand. Take ownership of projects, enjoy autonomy, and have excellent time management skills. Are curious by nature, have comfort in establishing clarity out of ambiguity, and a willingness to learn and collaborate.  - About Vericred What we do: Vericred is the way health insurance carriers and employee benefits providers connect with new technology partners to deliver seamless quote-to-card consumer experiences. We are not the websites or apps you use to choose a plan or find a doctor. We are the infrastructure. We are the ‘pipes’ that simplify the complex exchange of quoting, enrollment and eligibility data between carriers and the technology partners responsible for delivering health and employee benefits to hundreds of millions of Americans everyday. Our APIs transmit billions of data points between InsurTech and insurance carriers, powering digital distribution across the insurance industry. Come join the community of insurance geeks creating a seamless digital quote-to-card experience. Who we are: We are a group of people who love a good API and all it can do. We are benefits geeks that believe this industry will go through a digital transformation as others have. For efficiency. For better member experiences. To enable new and innovative products. A group that believes that simple data exchange is the key to a thriving industry. We are connecting the insurance industry. Faster. Better. Awesomely. Our benefits include: Competitive base salary. 100% company-paid medical and dental for you and your dependents. Healthcare and dependent care FSA (Flexible Spending Account). 401(k) with company matching and immediate vesting. Twice weekly catered lunches, unlimited snacks, and a stocked fridge for our in-office teams. Home office allowance so you can work comfortably wherever you are. Flexible PTO policy: take time off without worrying about accruals or carryovers. Pre-tax commuting benefits. fRYEday: Our end of week Rye tasting and happy hour ritual. Stand-up desks. Central location: Our NYC Headquarters are next to Madison Square Park/Flatiron District, and our Omaha office is in the Old Mill neighborhood. We are an equal opportunity employer. We encourage people of different backgrounds, experiences, abilities and perspectives to apply. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. All offers of employment are contingent upon successful reference and background checks. Vericred requires COVID-19 vaccination for anyone onsite at a Vericred space (full-time or otherwise). Per policy, the company will make every effort to find reasonable accommodations or exemptions for medical and religious reasons.",30+ days ago,9 reviews
https://www.indeed.com/viewjob?jk=3f32aef447dcc2d8&from=web&vjs=3,220,Data Analyst - Remote Nationwide,UnitedHealth Group,"Minnetonka, MN 55343","UnitedHealthcare  is a company that's on the rise. We're expanding in multiple directions, across borders and, most of all, in the way we think. Here, innovation isn't about another gadget, it's about transforming the health care industry. Ready to make a difference? Make yourself at home with us and start doing  your life's best work.(sm) The  Data Analyst i  s a key role for the B&E Reporting/Analysis Team. The Team is responsible for B&E eligibility and membership file processing and daily report generation & delivery. The Major functions include support for REEFIT (Roster, Enrollment & Eligibility Intake Team) processes, enrollment reconciliation, Billing Delinquency reporting, Connector Model Employer Group file processing, etc. This position supports critical M&R and retiree group membership and eligibility reporting and analysis. You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges. Primary Responsibilities: Support for REEFIT (Roster, Enrollment & Eligibility Intake Team) processes enrollment reconciliation Billing Delinquency reporting Connector Model Employer Group file processing, etc. You’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in. Required Qualifications: Bachelor's degree in Business, Computer Science, Mathematics, or related field 2+ years of experience utilizing SQL and/or relational database tools 2+ years of experience utilizing SAS 2+ years of experience in reporting & analysis, data management & reconciliation 2+ years of work experience in a corporate setting, preferably healthcare based corporation (MCO) Preferred Qualifications: Ability to demonstrate key successes on business solutions derived from analysis and deep learning Proficiency with Tableau / Talend / Crystal Reports Previous experience with advanced analytical tools (Python) Previous experience with Healthcare Exchange / Marketplace / Medicaid / Medicare Previous experience with SSRS/SSIS Experience in data process map, workflow, user acceptance testing, and database management UnitedHealth Group requires all new hires and employees to report their COVID-19 vaccination status. Careers with UnitedHealthcare.  Let's talk about opportunity. Start with a Fortune 5 organization that's serving more than 85 million people already and building the industry's singular reputation for bold ideas and impeccable execution. Now, add your energy, your passion for excellence, your near-obsession with driving change for the better. Get the picture? UnitedHealthcare is serving employers and individuals, states and communities, military families and veterans where ever they're found across the globe. We bring them the resources of an industry leader and a commitment to improve their lives that’s second to none. This is no small opportunity. It's where you can do  your life's best work.(sm) *All Telecommuters will be required to adhere to UnitedHealth Group’s Telecommuter Policy. Colorado Residents Only: The salary range for Colorado residents is $53,300 to $95,100. Pay is based on several factors including but not limited to education, work experience, certifications, etc. As of the date of this posting, In addition to your salary, UHG offers the following benefits for this position, subject to applicable eligibility requirements: Health, dental, and vision plans; wellness program; flexible spending accounts; paid parking or public transportation costs; 401(k) retirement plan; employee stock purchase plan; life insurance, short-term disability insurance, and long-term disability insurance; business travel accident insurance; Employee Assistance Program; PTO; and employee-paid critical illness and accident insurance.   Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.   UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.  Keywords: Data Analyst, Analysis, Report Delivery, REEFIT, Tableau, Crystal Reports, Optum, UHG, UnitedHealth, Telecommute, Remote, WFH, WAH, Hiring Immediately, #RPO",28 days ago,"17,603 reviews"
https://www.indeed.com/viewjob?jk=307ff645c1c5103e&from=web&vjs=3,220,Consumer Research & Data Analyst,Mintel,"Chicago, IL 60606","As part of the global Consumer Research and Data Analytics team at Mintel, this Analyst will help provide a first class level of quantitative and qualitative consumer analysis and insight to the annual schedule of Mintel's consumer reports within a variety of industry sectors such as food & drink, leisure, media and technology, retail, finance, beauty, household, etc.  This role requires working closely with one or more of Mintel's in-house analyst teams in the U.S., Canada, and Brazil managing their research projects from questionnaire design through fieldwork and data analysis. Experience in designing online quantitative and qualitative consumer research surveys as well as understanding data analysis techniques and their application is key and an integral part of your daily job routine.  As well as working closely with analyst teams, the role gives a high level of visibility and exposure within the research department as well as the opportunity to interact with other Mintel teams including Consultancy and Sales teams.  This role has the option of sitting in our US headquarters office in Chicago or working remotely in the United States (in all states aside from New Jersey and Florida) as long as the individual has eligible working rights in the US. Interviews and onboarding are currently being conducted virtually .   What You Will Be Doing:  Designing consumer surveys:  Working with report managers in the U.S., Canada, and Brazil to design consumer questionnaires (both quantitative and qualitative) to meet research objectives and provide insightful analysis.  Analyzing quantitative data:  Using a wide range of research tools in SPSS or R (or similar statistical software) to analyze and tabulate quantitative consumer research data, as well as looking at or developing new analysis techniques.  Statistical consultancy:  Acting as a consultant to external teams, providing expertise in selecting research methodologies, devising sampling, and interpreting statistical analysis.  Market forecast:  You will be responsible for market forecasts using data sourced from Mintel's market size database using a multivariate time-series regression approach.  Product development:  Participate in and lead the development of research methodologies as well as statistical techniques to add further value to Mintel's output.  Developing in-house knowledge:  Helping to design, conduct, and evaluate in-house consumer research training (including questionnaire design, data analysis, statistics).  Managing supplier relationships:  Liaising with external research providers ensuring research is conducted on budget and to schedule.  Maintaining internal databases : Gathering market data through secondary research such as industry or government data (eg Census data). Furthermore, you will be expected to recommend and implement new secondary data sources for use within Mintel's reports.  Implementing operational processes and changes:  Playing a key part in the roll out of new operational developments within the research department (eg software, new processes, etc.), as well as proactively looking at ways in which we can improve best practice within the team.   Who We Are Looking For:  While we may have a wish list, we are always open to looking at different profiles for our roles, so please don't hesitate in applying even if your experience does not check all of the boxes. We believe there is no one perfect resume for a role, but there is a perfect candidate for us, and that could be you.  A Researcher:  You have a strong knowledge of designing and analyzing quantitative and qualitative research instruments, including online surveys and discussion guides. You have experience in understanding and researching secondary data sources, such as industry or government data.  A Data Analyst:  You have a high degree of numeracy and experience in quantitative research methodologies and statistical analysis techniques such as correlation, multivariate regression, segmentation using factor, cluster and/or CHAID analysis. You have experience with analyzing survey data in SPSS or R (or similar statistical software), and will be eager and willing to look for new ways to analyze data to advance Mintel's research methods.  Detail-Oriented:  You have excellent attention to detail and strong organizational skills. You are dedicated to quality, ensuring accuracy and efficiency in your work to elevate Mintel as a top consumer insights company.  Naturally Curious:  You have an inquiring mind and are great at navigating internal and external data, asking second and third level questions to see the patterns behind data to craft expert analysis to be used by clients.  Self-Directed:  You take initiative to solve problems and uncover opportunities. You have a self-sufficient work ethic, are entrepreneurial in spirit, and are naturally self-motivated. You welcome the ability to work in a fast paced environment and work autonomously to manage and prioritize multiple projects at once.  A Great Communicator:  You have extremely polished verbal and written communication skills, and can adapt your communication style to internal and external partners. You speak clearly, concisely, and present yourself with confidence. You have a keen ability to explain and promote analytical output to non-technicians.  A Collaborator:  You bring an energy to the table that encourages and develops internal relationships. You seek out opportunities to collaborate with peers in your department and across the organization to ultimately elevate our clients' experience.  Equal Opportunity Employer: Race/Color/Sex/Sexual Orientation/Gender Identity/Religion/National Origin/Disability/Vets  #LI-BL1",30+ days ago,24 reviews
https://www.indeed.com/viewjob?jk=fe2b011c2a3c526d&from=web&vjs=3,220,Data Analyst,Digi-Key Corporation,"Bloomington, MN","Digi-Key is one of the fastest growing distributors of electronic components in the world. In addition to offering the broadest selection of in-stock electronic components and providing the best service possible to customers, employees have access to a highly competitive benefits package. The package includes a comprehensive health insurance plan featuring a low co-pay and no deductible plan as well as dental, vision, life, and long-term disability coverage; flexible spending accounts; competitive paid time off; relocation assistance; 401(k) and profit sharing; and education advancement. To learn more, visit our  benefits and perks page . Data Analyst Remote work may be available for the following states: AZ, AR, CA, IL, MA, MI, MN, NH, NY, ND, NJ, OH, SC, SD, TX, VA, WI Position Overview The Data Analyst is responsible for understanding and architecting the data structures to support the Business Intelligence capabilities. This includes, but is not limited to, importing, cleaning, transforming, validating and modeling data from variety of sources. This is not exclusively an essential onsite role, though may require some onsite attendance . Responsibilities Must be able to… Show a solid understanding of SQL, other querying methods, and ETL|ELT processes Architect complex data structures and flows from source to target with efficiency and scalability in mind Work closely with developers to understand needs and translate those into data model designs Research data issues and problems in programs and other reporting tools Other duties as assigned including but not limited to possible reallocation of efforts to other organizations per business need and management request Other typical tasks may also include... Assistance with administration of software and hardware related to data platforms Provide tactical support for questions and concerns related to the data Demonstrating proven behavioral skills, including being a team player, sound thinking and judgment, achieving results, relating to people, managing work effectively, and leading by example Serve as the subject matter expert for responsible areas Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time Required Knowledge, Skills and Experience Minimum/Essential Qualifications: Bachelor's degree in an IT or analytics related field with a minimum GPA of 3.0, or relevant work experience 4 years of relevant experience in IT Must be detail Orientated Continually striving to gather current knowledge and information relevant to business needs in order to achieve results Actively exchange ideas with others and build on their ideas to identify new solutions Able to work independently or collaboratively and maintain a positive attitude Developing constructive and cooperative working relationships with others, and maintaining them over time Able to initiate action and build relationships within the department Generally, spend the workday sitting at a workstation and operating computer devices, such as, but not limited to keyboard, mouse and screen Generally, spend the workday performing repetitive motions that involve or affect the hands, head, and other parts of your body Must demonstrate the following behavioral competencies; analytical capacity, attention to detail, communication proficiency, customer/client focus, ethical conduct, initiative, manages execution, personal effectiveness/credibility, positive attitude, problem solving, professionalism, project management, thoroughness, and time management Digi‑Key Electronics is an Equal Opportunity Employer. We encourage qualified minority, female, veteran and disabled, and other diverse candidates to apply and be considered for open positions. If you are an applicant with a disability and need a reasonable accommodation for any part of the employment process, please contact Human Resources at  1-800-338-4105  or  careers.us@digikey.com . Equal Employment Opportunity is the Law Equal Employment Opportunity is the Law Supplement Pay Transparency",30+ days ago,105 reviews
https://www.indeed.com/viewjob?jk=367aa6bb3ce8ebd0&from=web&vjs=3,230,,,,,,
