URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=2326e049051b2485&from=web&vjs=3,10,Data Analyst,"Cargo Signal Solutions, LLC","1015 3rd Ave, Seattle, WA 98104","Company Description Expeditors is a global logistics company headquartered in Seattle, Washington. A Fortune 500 company, Expeditors employs over 15,000 trained professionals in a worldwide network of over 250 locations across six continents. Expeditors satisfies the increasingly sophisticated needs of international trade through customized solutions and seamless, integrated information systems.  Cargo Signal, a wholly-owned subsidiary of Expeditors, offers global control and oversight of the location and condition of products moving through the supply chain. Through active, real-time monitoring using advanced cargo sensors, our team of security and logistics professionals keeps an eye on shipments in transit and takes steps to respond based on customer priorities.   Job Description Cargo Signal is looking for a highly motivated individual who is capable of enhancing the service to our customers through implementation and improvement of data analysis, data visualizations, and other data solutions. The Data Analyst must understand the business problems and opportunities and apply technical skills to develop insights into Cargo Signal IoT data, enabling the company and our customers to make better decisions, improve customer service, and increase profits. The role is expected to expand the utilization of our data and grow analysis techniques for both ourselves and our customers. Key Responsibilities: Work with Cargo Signal sales and operations leadership to create data analysis and reporting solutions for key customers. Understand customer needs and requirements in order to build analytics and visualization solutions to meet these needs. Communicate effectively to bridge the gap between business and technical stakeholders. Intake requests from business stakeholders, grasp both big picture and fine details of a given issue and address them accordingly. Will be expected to not only analyze problems, but also develop designs that are realistic and can be implemented. Maintain project list and work time capturing status, timeliness, priorities and future projects. Help business to understand data capabilities and limitations. Track, analyze, and interpret data quality trends to provide metrics, key performance indicators, conclusions, and recommendations to management. Ensure the most appropriate data, logic, and statistical methods are used when performing each analysis project. Coach and mentor others on analysis techniques. Support the implementation of data quality best practices.   Qualifications  4 Year degree in STEM, Business, or similar concentration Strong analytical and visual presentation skills Proficient in SQL Experience with a business intelligence tool Ability to design creative solutions to meet business needs Effective interpersonal skills – ability to relate to customers and co-workers at all levels Additional Expectations: Meets compliance at all times to regulations internal and external in accordance with government regulations. Maintains and monitors proprietary security information and ensures standards are in place regarding confidentiality and proper disclosure Meets company standards of 52 hours training per year per employee Attends various third party technical courses to better aid your project designs when needed. Additional Information Expeditors offers excellent benefits: Paid Vacation, Holiday, Sick Time Health Plan: Medical, Prescription Drug, Dental and Vision Life and Long Term Disability Insurance 401(k) Retirement Savings Plan (US only) Employee Stock Purchase Plan Training and Personnel Development Program All your information will be kept confidential according to EEO guidelines.",1 day ago,
https://www.indeed.com/viewjob?jk=d748bff7ede53514&from=web&vjs=3,10,Junior Real Estate Analyst,Pacific West Land,"403 Madison Avenue North, Bainbridge Island, WA 98110","Competitive Salary – Fully Paid Health Insurance – 401(k) Savings Match – Employer Funded Health Savings Account – Summer Hours  Pacific West Land, LLC has an exciting opportunity for an entry-level, full-time Junior Analyst to join our team. To sustain our rapid growth, we need candidates who bring innovative thinking and thrive in a fast-paced working environment. Additionally, qualified candidates will need to be organized, goal-oriented and ambitious. We seek the most talented professionals to help foster a culture of creativity and growth. This position will be a telework/work from home,  transitioning to our office full time , at a date to be determined. Responsibilities: Performs as administrative contract support for real estate acquisitions/dispositions and commercial leasing. Collaborate with and support the Asset Management Team in evaluating, underwriting, and closing new investment opportunities. Assist in the asset management of portfolio properties. Prepare internal memoranda and investment packages to support investment recommendations. Scheduling & coordinating events. Coordination with subcontractors and vendors. Use Microsoft Office Suite, Word, to draft leases, permits, acquisitions and supplemental agreements. Assist partners with time-sensitive, ad-hoc projects and other duties as assigned. This position requires the ability to research and analyze data, excellent verbal and written communication skills, a high level of professionalism and integrity, solid organizational skills, and a willingness to learn and take on new challenges. Experience with technical writing, commercial real estate, and financial modeling are desirable. Job Type: Full-time Benefits: 401(k) matching Flexible schedule Health insurance Health savings account Paid time off Schedule: Monday to Friday Education: Bachelor's (Preferred) Work Location: One location",,
https://www.indeed.com/viewjob?jk=828ff356b58e545d&from=web&vjs=3,10,Data Analyst,Audantic,Washington State,"Audantic provides data and analytic solutions that empower our customers to make decisions in real time and drive revenue growth. Since our first client in early 2014, who is still with us today, we have ridden a wave of rapid organic expansion that has allowed us to scale into every major MSA, bootstrap profitably, and build out one of the most passionate and talented teams in our industry.  We love solving hard problems. Our passion for creating cutting edge technology, our principles and culture, and our desire to create dramatic customer outcomes has positioned our company and our product as the industry standard. The core technology our team has developed uniquely positions us to dramatically redefine revenue strategy, measurement, and outcomes across every market segment. Data Analyst Role ($69,000-$88,000)  We are searching for an exceptional Data Analyst to join our team and help revolutionize our data team's impact on the customer experience. Our clients in residential real estate have a diverse set of needs, wants, challenges and backgrounds. Your challenge will be assisting those clients by leveraging our numerous datasets that contain terabytes of data for you to utilize. You will work as part of our data science & engineering team while heavily collaborating with our customer success team to provide an elite customer experience by ensuring data quality, executing root cause analysis to quickly identify issues and their solutions, communicate effectively to both technical and non-technical audiences, and driving informed, data-driven decisions for both our clients and our team.  Responsibilities   Extract actionable business recommendations from both data and clients and effectively convey these findings to technical and non-technical stakeholders  Manage own work on multiple projects and turn vague requirements into clear and effective solutions  Be the conduit between customer success and data team handling bug reports, technical issues, information requests, and various other customer based interactions  Effectively perform root cause analysis of ambiguous events and be able to suggest or execute solutions  Record and report frequent customer issues or questions and implement solutions and permanent resources to reduce frequency of questions or eliminate issue   Requirements   BS or higher (in a quantitative field is a plus)  At least 1 year of experience in an analyst role or similar; at least 3 years of experience if no bachelor's degree  Customer facing experience is a major plus  Excellent oral and written communication skills  Strong analytical and problem solving skills  A passion for working with data and a curiosity to explore and learn  Proficiency with SQL and relational databases  Familiarity with Python or similar scripting language  Familiarity with BI visualization tools (Tableau, PowerBI, Datastudio etc)  Comfortable working in a fast-paced and changing environment  Why Choose Audantic?   You matter here. Your work will make an impact. On this team, for better or worse, your results will make a big difference to your team, our customers, and the industry.  Our clients love us, we are bootstrapped, profitable, in a strong financial position.  We have incredible people here with shared values and goals.  We do hard things, we solve hard problems, we create new solutions.  We are fun! We have parties, have weekly game time, and like to goof around.  Great benefits - 100% paid Health, Dental, Vision  Generous PTO and flexible schedule (Paid holidays and 20 days of PTO)  Distributed team - you get to work 100% remotely  Retirement Benefits – 401k plan with matching  Customized monthly perks",1 day ago,
https://www.indeed.com/viewjob?jk=2ba0b033b4000b23&from=web&vjs=3,10,Data Analyst,"City Ranked Media, Inc.","1406 SE 164th Ave, Vancouver, WA 98683","Do you love digging into data to draw conclusions? Do your friends tell you your love of spreadsheets is a little excessive?  Does working for a Digital Marketing agency with huge growth opportunities sound cool? We're looking for YOU! City Ranked is looking for an analytical mind who loves identifying trends in data, tracking performance, is a whiz with data visualization. We'd love to find someone well-versed in the SEO landscape, but this could also be a great opportunity for a driven individual who has always wanted to explore Digital Marketing to enter the field. What's the job entail? Analyze data for website traffic, search marketing performance, and lead volume. Create and utilize tools to measure results, identify trends, and draw conclusions. Prepare spreadsheets, pivot tables, graphs, and charts for use internally and for communicating results to clients. Requirements for the position? Advanced Google Sheets and Excel skills. Ability to manipulate raw data to draw conclusions. Extreme attention to detail. Strong analytical, planning, and problem-solving skills. Followthrough - ability to develop a strategy and see it through to completion. Who is City Ranked, anyway? We're a local Digital Marketing company, here in Vancouver WA; and when we say local, we mean it - we pride ourselves on doing everything in-house. Our team of 25 marketing experts bring knowledge from various fields to the table, including design and development, paid search, search engine optimization, programming, content writing, marketing analytics, and relationship management. Everyone here takes their work seriously without taking themselves too seriously; it's a fun team. We prioritize ongoing education, research, and testing, and measure our success solely by the growth of our clients' businesses. In the past three years, we've been ranked in the Top 50 nationwide in our industry - in 2021 we're #6 in the nation for Enterprise Search. Our employees are the most important part of our business, and we constantly work to cultivate an atmosphere of learning, teamwork, and personal/professional growth. We offer great benefits (medical, dental, vision, 401k), a flexible work schedule, on-the-job personal training hours, regular team-building events, and a company gym membership! ﻿If you like analyzing raw data sets, measuring results, and drawing conclusions -- we want you to join our team! Pay Range is Tiered by Skill Level:  Entry Level: $50-60k Intermediate: $60-70k Advanced: $70k+ Job Type: Full-time Pay: $50,000.00 - $75,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Flexible schedule Health insurance Paid time off Vision insurance Schedule: Monday to Friday Ability to commute/relocate: Vancouver, WA 98683: Reliably commute or planning to relocate before starting work (Required) Work Location: One location",,19 reviews
https://www.indeed.com/viewjob?jk=722e513c7e657593&from=web&vjs=3,10,"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119","Do you want to power the future of travel? Are you looking for a Graduate Program that’ll enable you to make a positive impact, strengthen connections, and bridge divides across the world? Then come and help us to bring people together through travel technology, while jump-starting your career in  Data Science, Analytics. We pave the route for our early careers talent to go far and fast with accelerated career development. By joining the 2022 Expedia Group Graduate Program as a  Data Science, Analyst , you’ll complete two 6-month rotations and discover which part of travel technology excites you the most, before reaching your Destination Role with us. About the Graduate Program: Team Rotations:  two 6-month rotations within different teams in the same office, to build knowledge of our business and to across Expedia Group divisions. Contribute to meaningful work that makes a positive impact on travel, all while advancing your career Onboarding:  1-week training that covers technical and professional skills, plus an introduction to Expedia Group Learning Series:  communities, technology talks and regular workshops to build your technical and interpersonal skills Leadership Series:  opportunities to ask questions directly to our leaders during events, and to learn about their career journeys Social Events and Networking:  build your network with other Graduates on the program during regular socials and join our Inclusion Business Groups Support Network:  mentorship from a dedicated structure of Buddies, Mentors, Managers, the Early Careers and the L&D teams Benefits:  Leisure Travel & Wellness Reimbursement, Travel Discounts, Family & Friends Discounts, Employee Assistance Program RSUs : Restricted Stock Units Destination   Role : after experiencing different teams during two rotations, select a preferred Destination Role with us What You’ll do: Travel is so much more than simply reaching your destination. Along the way you will make an immediate impact on reimagining travel by developing insightful reports on traveler trends which drive operational improvements in a way that serves our goal to bring the world within reach. From collaborating with internal partners and influencing business decisions, to AB testing hypotheses, there is no shortage of opportunities for technical innovation at Expedia Group – the sky’s the limit! You'll identify partner teams' key challenges, provide/prototype solutions, and help solve using statistical analysis and tools You'll work to decipher problems by identifying, and using, data sources, making reasonable assumptions, and then turn data into meaningful insights to help drive improvements for customers, for the business, and for our operations. You'll communicate insightful analyses findings and recommendations to support, influence and challenge business decisions to various levels of our leadership You'll make use of data visualization principles. You'll apply basic probabilistic thinking to business challenges. You'll have a good understanding of our domain (i.e. travel, e-commerce), business objectives and critical reasoning skills. You'll become a data specialist and the point of contact for data questions and insights You'll turn data-based findings and insights into hypotheses for AB testing You'll review engagement and conversion trends across the network, identify breaks in trends, underlying drivers, and surface opportunities and threats You'll develop self-service reporting for product and development teams, by collecting and integrating data from various sources, including web analysis tools and internal databases Who You are: We know that many candidates can be hesitant to apply for a job if they aren't sure that they meet all the criteria shared below. If you meet the start date/graduation criteria and you are interested in this role we encourage you to apply! Available to start on August 22nd 2022 Graduating in 2021- 2022 with a degree in a technical or analytical subject (such as Computer Science, Marketing Science, Statistics, Mathematics, Analytics, Economics) Experience solving problems with data querying using SQL, statistics and modelling in classes, projects or prior work experience Have strong analytical skills and self-motivation Skills in Tableau, R, Python are a bonus for data transformation, analysis and visualization Effective communication skills and the ability to engage with a variety of partners (e.g., internal, external, technical, non-technical people) Next Steps: Apply now! Our dedicated early careers team will review your application and suitable applicants will be encouraged to complete an online assessment. If you pass, you'll be invited to a final interview day. Please let us know on your application if you require reasonable adjustments during the hiring process. Our Commitments: Expedia Group 2020 Global Impact Report Expedia Group 2020 Inclusion & Diversity Report Expedia Group has made commitments that will propel us forward on the path to progress, including our hiring target for women to occupy 50 percent of roles at all levels by the end of 2025, and 25 percent of U.S. external hires to come from racially and ethnically underrepresented groups by the end of 2021. We want to build lasting changes for future generations. About Expedia Group Expedia Group (NASDAQ: EXPE) powers travel for everyone, everywhere through our global platform. Driven by the core belief that travel is a force for good, we help people experience the world in new ways and build lasting connections. We provide industry-leading technology solutions to fuel partner growth and success, while facilitating memorable experiences for travelers. Expedia Group's family of brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Vrbo®, Egencia®, trivago®, Orbitz®, Travelocity®, Hotwire®, Wotif®, ebookers®, CheapTickets®, Expedia Group™ Media Solutions, Expedia Local Expert®, CarRentals.com™, and Expedia Cruises™. © 2021 Expedia, Inc. All rights reserved. Trademarks and logos are the property of their respective owners. CST: 2029030-50 Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.",30+ days ago,998 reviews
https://www.indeed.com/viewjob?jk=6dbaf6206e8b5dbe&from=web&vjs=3,20,Transit Data Analyst,IBI Group,"801 2nd Ave, Seattle, WA 98104","Company Description We are a global architecture, engineering, planning, and technology firm defining the cities of tomorrow. By connecting design and technology, we change how people experience their built environment. We work across disciplines to create the intelligent systems, sustainable buildings, and efficient infrastructure that shapes the way people live, move, learn, and heal. With over 3,000 employees and 60+ offices around the world, we understand what it takes to work locally and scale globally. At IBI, we’re defining the cities of tomorrow.   Job Description IBI Group's Transit Data practice is hiring a Transit Data Analyst to join their team. It is preferred that this position be located in Seattle, WA, but other locations will be considered. This team focuses on helping transit agencies manage their data, provide high-quality real-time information to passengers, analyze service quality, and measure performance. The Transit Data Team has been working closely with many agencies to plan for, design, procure, implement, maintain, and test their passenger information and analytics systems. This includes experience with King County Metro (Seattle), Community Transit (Everett), TransLink (Vancouver), RTD (Denver), MBTA (Boston), Los Angeles Metro, and others. A Little About Our Products: The Transit Data Team provides the following software systems to transit agencies: TRANSIT-alerts: manage all of a region's or agency’s service alerts (delays, cancellations, etc.) TRANSIT-realtime: manage all of a region’s or agency’s real-time prediction and vehicle location data TRANSIT-data-tools: manage and edit all of a region’s or agency’s GTFS data TRANSIT-routing: OpenTripPlanner-based system for planning multi-modal trips TRANSIT-performance: analyze transit service and measure performance in real-time TRANSIT-dashboards: visualize transit service statistics and metrics Most of the things you’ll work on: Setup, configure, and manage TRANSIT-alerts/-realtime systems: Configure systems to meet client’s preferences Perform manual QA and/or write scripts to automate QA procedures Identify root cause of bugs and propose bug fixes Create and revise internal and customer documentation Create requirements for new software features Periodic scheduled after-hours support and occasional emergency after-hours support Things you may work on in the future: Transition to a more client-facing role as a deputy project manager Scheduled and ad-hoc client meetings to discuss project progress, upcoming tasks, etc. Coordinate configuration and customization requests Conduct user training - Set up, configure, and manage TRANSIT-data-tools, TRANSIT-routing, TRANSIT- performance, and/or TRANSIT-dashboards Plan, design, implement, and test technology systems that: Provide high-quality real-time information to transit passengers. This includes systems that interface with vehicle tracking systems, generate predictions, generate service alerts, and provide them to passengers via a variety of channels and data feeds. Analyze service and measure performance based on real-time and archival data. This includes assessing the quality of service provided to and experienced by transit passengers.   Qualifications You'll need to have:  Interest in public transit, including transit data Experience with software programming concepts (any language) Curiosity to understand how systems work and identify/solve problems Attention to detail and ability to balance priorities and multiple projects Interest in developing new skills and excitement for new challenges It would be nice if you have: Experience with GTFS or GTFS-realtime formatted data Experience with databases and writing SQL scripts Experience or familiarity with a programming language such as C# or JavaScript Familiarity with transit operations Additional Information IBI Group has adopted a work-from-home model during the COVID-19 pandemic. Once we return to the office, all members of this team will likely be in the office on the same 1-3 days per week, but candidates who prefer to work fully remote will be considered. Located on the 10th floor of 801 Second Avenue, in the historic Norton Building with sweeping views of Puget Sound to the West and Mount Rainier to the South, IBI Group’s Seattle office is situated in the heart of downtown Seattle. Seattle is known for its eclectic and energetic feel, with a wide range of neighborhoods that boasts: fine dining to trendy eateries, eye-catching art galleries and museums, and a walk on the beach a stone throw away – there’s something for everyone! The variety of transportation options makes getting around town a snap. Choose from Metro Buses, Link Light Rail or the Sounder Train. Seattle’s got you covered! Home of major tech companies like Amazon, Microsoft, and Expedia, Seattle is a leader in technology of the future – a true Smart City. Our employees enjoy our small office feel and all the perks of a big office support system. You’ll have direct access to management while benefitting from our enthusiastic and helpful organizational resources team. The floors are open concept and creative and represent our collaborative approach to projects. As a global architecture, engineering and technology design firm, IBI Group also has offices across the country, continent and world. As an Equal Opportunity Employer, we are proud to support the growth and equality of our people through initiatives like our Mentorship Program, Global Women’s Network, and Diversity & Inclusion Council. We welcome applications from all suitably qualified candidates regardless of age, race, disability, gender reassignment, marriage and civil partnership, pregnancy and maternity, religion or belief, sex and sexual orientation. We thank all applicants for their interest. However, only those selected for an interview will be contacted. As part of IBI Group's selection process, candidates may be requested to consent to background checks relevant to the role under consideration for, prior to receiving a job offer. These could include: work references, education and credential confirmation, employment verification, identity check, credit report, criminal offence and driver’s license record. We request applicants submit  RESUME  highlighting relevant work experience.  Please limit PDF files to 10MB",30+ days ago,97 reviews
https://www.indeed.com/viewjob?jk=2dc5791c798d22ab&from=web&vjs=3,10,Data Analyst,Lunge Marketing,"15600 Redmond Way, Redmond, WA 98052","This individual is responsible for analyzing and gleaning insights from massive data pipelines as we process, ingest and cleanse over a billion data points each week. You will be working closely with ownership and account management teams to deliver high quality insights for our customers. This is a very hands-on analytical role, where a large part of your time is spent performing mathematical deep-dives across our diverse array of datasets. The following job functions are not all-inclusive. The associate will be required to perform other job-related tasks/responsibilities requested by the supervisor. Job duties may change as required by the needs of the company.  Conduct end-to-end analysis on datasets across our business Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical techniques Utilize analytical techniques to design algorithms for outlier detection Use existing insights and develop new strategies to drive the product strategy",30+ days ago,
https://www.indeed.com/viewjob?jk=ed0a2bd6856a5099&from=web&vjs=3,20,Business Analyst/Tester,Newkleo LLC,"Seattle, WA 98134","Title: Business Analyst / Tester Pay Rate: 50/hr Location: Seattle, WA Type: Contract 6 months Hours: 40 hrs/wk Newkleo is hiring a    Business Analyst   / Tester   for one of their clients in Seattle, WA Duties:  Prepares formal written reports and analysis. Determines testing methodologies and develops testing plans. Analyze current business processes and make recommendations for improvement based on industry trends and professional business knowledge Improve training and operational procedures within a business to increase efficiency and productivity Work directly with clients to understand the individual needs of the business Create and present reports to executive team members and shareholders to support recommendations Oversee implementation projects from beginning to completion Use a variety of data analysis and organization tools to discover the most impactful insights Education Required:  High School or higher Job Types: Full-time, Contract Pay: $49.00 - $50.00 per hour Schedule: 8 hour shift Experience: Business Systems Analyst: 2 years (Preferred) Work Location: One location",,
https://www.indeed.com/viewjob?jk=b3d7d307fe87fa1f&from=web&vjs=3,10,Business Analyst II - Remote Position,"Alliance Enterprises, Inc.","DuPont, WA","Business Analyst II - Remote Position Lacey, WA Alliance Enterprises, Inc, founded in 1981, has a history of providing innovative technology-based solutions. Alliance specializes in developing applications that support vocational rehabilitation agencies in assisting people with disabilities to obtain long term employment. At Alliance, we invest in people, meaning we push our employees to increase their business savvy, technical knowledge, and industry perspective. Our employees are trustworthy and care about each other and our customers; we work together to support the vocational rehabilitation industry. We are looking for an experienced business analyst who thinks critically when evaluating business requirements and recommending solutions that deliver value to our internal and external customers. This position is eligible for remote work. Essential Functions ﻿Collaborate with internal and external customers to gather information from end users to document business, functional, system, and data requirements through discovery and design work sessions. Create or update technical documentation, such as designs, specifications, and release documentation to maintain quality results and consistency. Ability to research and remain informed on applicable software and reporting standards and initiatives, such as accessibility and federal reporting compliance, with a a focus on Vocational Rehabilitation, Randolph-Sheppard, and Business Enterprise Programs. * Requirements* Able to synthesize disparate information from various sources into cogent and concise customer-facing documents. Independently manage time and workload across multiple projects to meet deadlines and changing priorities. Excellent interpersonal skills and customer service. * ﻿Experience* ﻿Bachelor's degree in the social sciences or humanities, business administration, computer science information technologies, or related filed preferred. May substitute with equivalent business analyst experience. Minimum 3 years' experience in professional setting. * Physical Requirements* ﻿Primarily a stationary position, may have occasional opportunities to move about within an office environment. Employment type: Full-time, Exempt Experience: Intermediate Salary Range: $73,000 to $83,000 annually Industry: Software, Information Technology and Services To apply, please submit cover letter and resume at: www.allianceenterprises.com/culture-and-careers/ If you require reasonable accommodations to perform any of these duties, please contact: HR@allianceenterprises.com Alliance Enterprises is an Equal Opportunity Employer Job Type: Full-time",,
https://www.indeed.com/viewjob?jk=b89a78c538e3edec&from=web&vjs=3,20,Data Reporting Analyst,Providence,Washington State,"Description:  Provider Solutions & Development is calling a Data Reporting Analyst. This position is remote and can sit in any Providence approved state location in the US.  We are seeking a Data Reporting Analyst who will be responsible for preparing and maintaining reports, analytical tools and dashboards for Provider Solutions & Development, LLC. This position imports, validates and interprets data as well as investigates and troubleshoots issues so that accurate reports are delivered in a timely manner.  In this position you will have the following responsibilities:  Responsible for the importing, exporting, cleaning, transforming, validating, and modeling of data for multiple departments within PS&D, LLC.  Maintain and update organizational dashboards including monthly, quarterly, and annual reports.  Troubleshoot and investigate issues and deliver answers to leadership with clarity.  Create and deliver both scheduled and ad-hoc reporting (presenting data in charts, graphs, tables, designing and developing databases) in a timely manner to designated recipients.  Work closely with the Technology & Analytics team to build, run, and maintain reports. Offer solutions to improve operations and reporting capabilities as identified.  Identify, analyze, and interpret trend or patterns in complex data sets.  Develop strong working knowledge of software tools and systems (PowerBI, CRM, and Data Warehouse) to support PS&D best practices.  Provide basic training for user dashboards and best practices within reporting tools.  Required qualifications for this position include:  Bachelor’s Degree in Business, Healthcare Administration, or related field.  1 year professional experience with data, statistics, and reporting, including use of Excel, databases, statistical packages, and word processing at an intermediate to advanced level. Internship experience may be considered applicable experience  1 year of Microsoft Power BI or Tableau  Preferred qualifications for this position include:  Experience with CRM databases (Avature or MS Dynamics currently used)  Python/SQL language  Qualifications:  Required qualifications for this position include:  2 years professional experience with data, statistics and reporting, including use of Excel, databases, statistical packages, and word processing at an intermediate to advanced level. Internship experience may be considered applicable experience  Intermediate to advanced Excel skills  Preferred qualifications for this position include:  Bachelor's Degree in Business, Healthcare Administration or related field  Experience with Kronos Workforce Central (or like applications) program development, use, maintenance, and overview for analytical use of data  Experience with Tableau  About the department you will serve.  Provider Solutions Development (""PS&D"") is the national market leader for best-in-class provider recruitment services. PS&D helps create healthier communities by partnering strategically with like-minded health care organizations to deliver exceptional provider recruitment consultative services steeped in innovation, collaboration setting national best practices.  We offer comprehensive, best-in-class benefits to our caregivers. For more information, visit  https://www.providenceiscalling.jobs/rewards-benefits/  Our Mission  As expressions of God’s healing love, witnessed through the ministry of Jesus, we are steadfast in serving all, especially those who are poor and vulnerable.  About Us  Providence is a comprehensive not-for-profit network of hospitals, care centers, health plans, physicians, clinics, home health care and services continuing a more than 100-year tradition of serving the poor and vulnerable. Providence is proud to be an Equal Opportunity Employer. Providence does not discriminate on the basis of race, color, gender, disability, veteran, military status, religion, age, creed, national origin, sexual identity or expression, sexual orientation, marital status, genetic information, or any other basis prohibited by local, state, or federal law.  Schedule:  Full-time  Shift:  Day  Job Category:  Analytics/Business Intelligence  Location:  Oregon-Portland  Other Location(s):  Montana, California, Washington, Oregon, Texas, Alaska  Req ID:  336600",13 days ago,"3,247 reviews"
