URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=6e5398f937fa5b0f&from=web&vjs=3,310,Data Scientist,Great-Circle Technologies,"Chantilly, VA","Job Description Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months) Education/Experience Requirements Senior Positions: Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience 10+ years of relevant experience Junior/Intermediate Positions Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field 3-9 years of relevant experience Qualifications Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets Experience working with and creating data architectures Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications Excellent written and verbal communication skills Strong problem solving skills A drive to learn and master new technologies and techniques Desired Skills Experience manipulating data sets and building statistical models ﻿Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc. Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc. Experience querying databases and using statistical computer languages: R, Python, SLQ, etc. Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc. Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc. Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc. Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc. The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!  Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.   Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",30+ days ago,
https://www.indeed.com/viewjob?jk=6a0a3a48f5b8c5b8&from=web&vjs=3,310,Data Scientist (TS/SCI w/POLY REQUIRED),"Eleccion, LLC","McLean, VA","Role Responsibilities  Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures. Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces. Handle processing and index requests against high-volume collections of data and high-velocity data streams. Has the ability to make discoveries in the world of big data. Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy sophisticated applications using advanced unstructured and semi-structured data analysis techniques and utilizing high-performance computing environments. Has the ability to utilize advance tools and computational skills to interpret, connect, predict and make discoveries in complex data and deliver recommendations for business and analytic decisions. Experience with Cloud-based data analysis tools. Experience with machine learning, algorithm analysis, and data clustering.   Qualifications  Requires 3 to 8 years with BS/BA or 3 to 5 years with MS/MA or 0 to 2 years with PhD.  TS/SCI with Poly Required Focus on design, implementation and operation of data management systems. Design how data is stored, consumed, integrated and managed by different entities and systems. Experience with SQL, Python, Spark Machine Learning technologies/packages (Sagemaker, DataBricks, PyTorch and the similar) Statistical techniques for analyzing data and visualization techniques for summarizing complex data analyses.",30+ days ago,
https://www.indeed.com/viewjob?jk=6d3432737266d618&from=web&vjs=3,310,Salesforce Data Migration Specialist,IBM,"101 Constitution Ave NW, Washington, DC 20001","Introduction As an Application Developer, you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of IBM is in your hands as you transform vital business needs into code and drive innovation. Your work will power IBM and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!  Your Role and Responsibilities In this exciting role you should have at least 3 years of Salesforce implementation experience; working & technical knowledge of Salesforce as a Customer Relationship Management platform and project implementation; appropriate Salesforce Certifications. You will have experience with Setup/Configuration/Development, specifically with complex migration of data records and files attachments from legacy systems and applications. Working experience with relevant migration tools such as ETL, SQL, and data loaders; working knowledge and application of Agile and iterative development methodologies. Ability to facilitate complex discussions, strong analytical and problem-solving skills and experience working with external clients. Understanding of current technologies and Software Development Lifecycle (SDLC). Ability to obtain, understand, and respond strategically to client needs; highly detail oriented, well organized, strong analytical, problem solving and conflict resolution skills. Locations: Washington DC, or Huntsville, AL or Rocket Center, WV or Hampton Roads, VA. Required Technical and Professional Expertise  3+ years of Salesforce implementation experience and working with various data repositories. Working & technical knowledge of Salesforce.com, data migration, application integration, software system implementation with case management, Salesforce.com Certifications. Setup/configuration/development and design of data streams/3rd party integrations. Working Knowledge & application of Agile and iterative development methodologies, Ability to facilitate complex discussions, Strong analytical and problem-solving skills, Experience working with external clients, Understanding of current technologies and Software Development Lifecycle (SDLC), Ability to obtain, understand and respond strategically to client needs., Highly detail oriented, well organized, and able to coordinate multiple projects simultaneously., Strong analytical, problem solving and conflict resolution skills. Security Clearance: MBI Preferred Technical and Professional Expertise  None About Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence. This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law. Your Life @ IBMAre you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.  Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.  It's time to define your career.  About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.  Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:   12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19. World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals. Well-being programs to support mental and physical health. Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.). Select educational reimbursement opportunities. Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe. Giving and volunteer programs to benefit charitable organizations and local communities. Discounts on retail products, services, and experiences. We consider qualified applicants with criminal histories, consistent with applicable law.  US Citizenship Required.  Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",30+ days ago,"31,022 reviews"
https://www.indeed.com/viewjob?jk=a9b81c6d976aeae1&from=web&vjs=3,310,Senior Data Scientist/ Team Lead,SAIC,"Chantilly, VA 20151","Job ID: 2115089 Location:  CHANTILLY , VA , US Date Posted:  2021-10-06 Category:  Information Technology Subcategory:  Data Scientist Schedule:  Full-time Shift:  Day Job Travel:  No Minimum Clearance Required:  TS/SCI with Poly Clearance Level Must Be Able to Obtain:  None Potential for Remote Work:  No  Description  'Tis the season for a bonus! This position is eligible for SAIC’s National Security Sign-On Bonus which pays within 30 days of start.  SAIC, a leading provider of systems development & deployment, targeting & intelligence analysis, systems engineering & integration, and training capabilities and solutions for the Intelligence Community, is seeking creative and dedicated professionals to fulfill their career goals and objectives while delivering mission excellence on programs of national importance. Join our team today as we Redefine Ingenuity!  We are seeking a Senior Data Analyst to join a proactive and impactful Business Analytics team. The candidate will act as enterprise data analyst and team lead on a five-person team. As team lead s/he will interface directly with the customer on strategy and activities in support of business analytic deliverables and coordinate team assignments to ensure systematic planning and project completion by the data team. As senior data analyst, the candidate will perform the following duties:  Analyze complex data sets using commercial and customer software.  Provide analytical judgment and trend analysis based on research and comparisons with past products.  Obtain data (structured and unstructured) from multiple sources, synthesize it, and present the results effectively and concisely in written and graphic form.  Research, analyze information, and manage multiple priorities simultaneously with minimal supervision.   Qualifications  Basic Qualifications:  Must have current/active TS/SCI clearance with polygraph  Must have a Bachelor's Degree in an applicable field and 15+ years of related experience.  Must have experience with intelligence tasking, collection, processing, analysis, and dissemination.  Must have project management experience including gathering requirements, scheduling activities, and tracking and communicating project status.  Expertise in one or more of the following disciplines: business analytics, performance metrics, statistics, data verification and validation, data visualization, or intelligence analysis.  Must have ability to apply qualitative data analysis methods to situational analysis and business analytics problems.  Must be an expert in using Microsoft Excel for qualitative analysis.  Expertise in Tableau is highly desired.   COVID Policy: Prospective and/or new employees are required to adhere with SAIC's vaccination policy. All SAIC employees must be fully vaccinated and they must submit proof of vaccination on their first day of employment. Prospective or new employees may seek an exemption to the vaccination requirement at Contact Us and must have an approved exemption prior to the start of their employment. Where work is performed strictly at a customer site, customer site vaccination requirements preempt SAIC's vaccination policy. SAIC® is a premier Fortune 500® technology integrator driving our nation's technology transformation. Our robust portfolio of offerings across the defense, space, civilian, and intelligence markets includes secure high-end solutions in engineering, digital, artificial intelligence, and mission solutions. Using our expertise and understanding of existing and emerging technologies, we integrate the best components from our own portfolio and our partner ecosystem to deliver innovative, effective, and efficient solutions that are critical to achieving our customers' missions.  We are more than 26,500 strong; driven by mission, united by purpose, and inspired by opportunities. SAIC is an Equal Opportunity Employer, fostering a respectful work culture based on diversity, equity, and inclusion that values all contributors. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $7.1 billion. For more information, visit saic.com.",30+ days ago,"2,868 reviews"
https://www.indeed.com/viewjob?jk=75a700937c0d98f0&from=web&vjs=3,310,Data Scientist– AI/ Machine Learning Engineer,Jacobs,"2411 Dulles Corner Park, Herndon, VA 20171","Critical Mission Solutions   Challenging Today. Reinventing Tomorrow.  We're invested in you and your success. Everything we do - whether Aerospace, Defense, Intelligence, Information Technology, Cybersecurity, Nuclear, Automotive, or Telecommunications - is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.  It's our promise to challenge the status quo as we redefine how to solve the world's greatest challenges, and transform big ideas into intelligent solutions for a more connected, sustainable world.  Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed –today and into tomorrow.  Your Impact: Job Description: The AI/ Machine Learning Engineer will work to develop new data products as well as work to identify and integrate new datasets. They will serve as one of the lead data strategists responsible for mining relevant data sources for the customer.  Duties/Tasks and Responsibilities:  Apply statistics, machine learning and analytic approaches to answer key intelligence questions, producing results and re-usable products for the client Develop and refine data sets to achieve stakeholder goals and objectives as requested Apply machine learning techniques to identify and transform data features and find patterns and trends Develop processes and tools to monitor and analyze model performance and data accuracy Use algorithms to mine data stores Analyze data to identify any trends and patterns Develop and communicate findings and analytic solutions to the client and other stakeholders Develop statistical models for data analysis Use analytical experiments to solve complex problems Perform statistical analysis  Here’s What You’ll Need: Qualifications:  TS/SCI with Poly REQUIRED  Proficiency in advanced statistical techniques and concepts, such as regression, properties of distributions, statistical tests, and proper usage, etc.) Proficiency in machine learning techniques, such as clustering, decision tree learning, and artificial neural networks Demonstrated experience in Microsoft Office, SQL, and other programming languages such as Python or Java Experience in predictive modeling and pattern recognition Former experience as a data scientist Good written and verbal communication skills; good interpersonal skills Critical thinker and problem solver who can analyze problems and work towards better solutions  Desired Requirements:  Masters or PhD in Data Science or related field Industry recognized Data Science certification  Minimum Education/ Years of Experience: Bachelors plus 11 years; or 15 years experience  Essential Functions:  Physical Requirements: Most work will be done at a desk or computer.  Work Environment: General Office environment. The work environment is fast-paced and sometimes involves extreme deadline pressures. The nature of the work requires a high degree of teamwork and cooperation with other members of the staff as well as individuals across the Company and Customers.  Equipment & Machines: General office equipment including PC/laptop, Fax, Copiers, Shredder, Printers, Telephone, and other miscellaneous office equipment.  Attendance: Attendance is critical at all times. Must be able to work a 40-hour workweek, normally Monday through Friday. However, times and days may vary depending on business requirements. Needs to be available to work overtime during critical peaks and be available to meet last minute requests for overtime should the situation occur.  Other Essential Functions: Must be able to communicate effectively both verbally and in writing Grooming and dress must be appropriate for the position and must not impose a safety risk/hazard to the employee or others. Must put forward a professional behavior that enhances productivity and promotes teamwork and cooperation. Must be able to interface with individuals at all levels of the organization both verbally and in writing. Must be well-organized with the ability to coordinate and prioritize multiple tasks simultaneously. Must work well under pressure to meet deadline requirements. Must be willing to travel as needed. Must take and pass a drug test and background check as well as a motor vehicle records check. Must be a US citizen.  Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language. At Jacobs, we’re challenging today to reinvent tomorrow by solving the world’s most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good. With $13 billion in revenue and a talent force of more than 55,000, Jacobs provides a full spectrum of professional services including consulting, technical, scientific and project delivery for the government and private sector.",30+ days ago,"5,037 reviews"
https://www.indeed.com/viewjob?jk=90e2bdf43e0d1faf&from=web&vjs=3,320,Principal Machine Learning Specialist,Leidos,"Herndon, VA 20170","Description  Job Description: Leidos SDA has an immediate opening for a Principal Machine Learning Engineer. Driven by our talented workforce, the Security Detection and Automation Operation is the cornerstone of Leidos’ comprehensive suite of fully integrated security detection and automation solutions for aviation, ports and borders, and critical infrastructure customers around the world, with more than 24,000 products deployed across 120 countries. Leidos is positioned to address emerging and evolving threats through rapid development of innovative solutions for our global customers. Leidos keep our security customers at the leading edge of technology by designing, demonstrating, and deploying Machine Learning (ML) approaches to solve complex remote sensing problems. We are currently seeking a Machine Learning Research Scientist to work in our SDA operation. Emphasis is on research and development with activities ranging from support of early scientific research to transitioning products to production. The opportunity allows for independent work under the guidance of a multidisciplinary team and mentorship from our senior science and technology staff. As a ML scientist, you will apply your ML skills to a wide variety of problems and datasets, primarily focused on security scanning and sensing (chemical, RF, optical, X-ray, and other imaging) applications, including scene recognition and intelligence. Current projects include auto-detection and classification of chemical targets, and real-time scene modeling. You will bring experience, entrepreneurship, and creativity to our programs. You will interact with customers, lead technical projects, and spearhead growth in new areas. This is a fully remote position. The preference is for this candidate to be locale to Tewksbury MA, Vista CA, or St. Petersburg FL office locations.  Primary Responsibilities Work on and lead interdisciplinary teams to design, develop, and deploy ML algorithms for security scanning applications Participate in customer briefings Create new project ideas and brief those ideas internally to Leidos and externally to customers Basic Qualifications BS degree in a scientific field such as computer science, math, data science, physics, or engineering with 12 - 15 years of prior relevant experience or Masters with 10 – 13 years of prior relevant experience. May possess a Doctorate in technical domain. 5+ years of practical experience in applying ML to solve complex signal processing problems. Experience working and collaborating on multi-disciplinary teams, including leading technical teams and mentoring less experienced scientists Proficiency in signal processing algorithms, including time-frequency analysis and digital signal filtering Experience using Python, C++, and/or Matlab Preferred Qualifications PhD with prior relevant experience strongly preferred 10+ years of practical experience applying state-of-the-art ML techniques to signal processing and sensing applications Track record of research in ML technologies with high impact publications Strong fundamentals in problem solving and algorithm design Understands how to translate market requirements and mission needs to technology solutions Pay Range: Pay Range $110,500.00 - $170,000.00 - $229,500.00 #Remote",17 days ago,"1,262 reviews"
https://www.indeed.com/viewjob?jk=e88e2c4fe714cb73&from=web&vjs=3,310,Lead Information and Data Architect,Red Cedar Consultancy LLC,"McLean, VA 22102","Red Cedar Consultancy, LLC, a fast growing IT services firm is currently looking for smart and self-motivated Information and Data Architect with the ability to take on and overcome challenges in a dynamic and collaborative team environment.  Duties and Responsibilities  Successful candidate will provide technical and subject matter expertise for continued maintenance and enhancement of the TSA Enterprise Information and Data Architecture capabilities. Candidate will have demonstrated capability in providing information and data architectural support services across solution architecture, segment architecture, and enterprise architecture. Key skills and job function includes:  Create, maintain, and guide conceptual and logical models at the enterprise, segment, and solution level, spanning multiple special domains (e.g., aviation security, biometrics, geospatial, cloud, mobile).  Create enterprise information/data views. Gather and analyze information and data to generate new or enhance existing enterprise views to convey as-is and to-be architecture.  Provide strategic information and data/architectural service. Research and analyze specific capabilities or technology areas including but not limited to semantic technologies, robotic process automation, machine learning, and artificial intelligence;  Assist with determining opportunities to increase efficiency, improve information sharing, and reduce costs within the EA environment;  Assist with the standardization, reduction and simplification of capabilities and information technology assets based on mission needs, resource constraints, advances in technology, and planning within the IT industry and the Federal environment;  Provide enterprise information and data management support, to include: Establish and enforce TSA information and data architectural principles and standards;  Provide enterprise information/data management support;  Provide services to enhance TSA EA information and data management maturity;  Implement recommendations and best practices to advance TSA?s information and data architecture practices  Explore the application of technology to different problem sets;  Conduct pilots to demonstrate the power of ML/AI and other automation tools;  Create implementation roadmaps for successful automation pilots;  Provide support to stand up the TSA Chief Data Officer (CDO) function   Qualifications  Strong communication skills and ability to work with customers and staff  Excellent team player with can-do attitude  Must have a Bachelor’s degree or higher  Current or ability to obtain government clearance is preferred",30+ days ago,
https://www.indeed.com/viewjob?jk=99b0d88f83f368d8&from=web&vjs=3,320,Senior Statistician,"Data and Analytic Solutions, Inc. (DAS)","Washington, DC","Please submit your resume, a cover letter listing three projects you have accomplished and you salary requirements to careers@dasconsultants.com Company Benefits and Advantages  Competitive Salary Paid Holidays and Vacation Medical and Dental Insurance Professional Development Retirement HI/Permanent Resident Sponsorship Supportive Environment  If you have the following skills and qualifications, we would like to speak with you.  SAS Programmers/Developers (Intermediate and Advanced; Base and BI) Medical Data Analysts with Oracle and Mainframe Experience Project Managers, Enterprise Architects, Business Analysts Instructional Designers and Applications Developers Database Administrators, Web Developers/Designers  Senior Statistician A senior statistician must have at least 20 years experience performing statistical analysis and at least five years experience analyzing FSIS laboratory sampling, slaughter, and inspection task data. You should be comfortable receiving research requests, developing analysis plans, performing high-level statistical analysis, statistical sampling, and computing required samples sizes. An advanced degree in mathematics or statistics is required. This person must have good written and verbal communication skills. The work location is in Washington DC and is accessible by metro. This is a full-time employment with excellent benefits and competitive compensations.",30+ days ago,
https://www.indeed.com/viewjob?jk=781b23e71ac228cc&from=web&vjs=3,320,"ML Engineer, Experience Management",Deloitte,"1725 Duke St, Alexandria, VA 22314","In today's world, customers expect companies to know who they are and what they want. Customers want to have products, services or experiences that best suit their needs delivered to them seamlessly across physical and digital channels. Customers are human first: driven by dynamic wants, needs, and desires. The ability for brands to make personal, meaningful connections on a human level has never been greater and the Experience Management team at Deloitte Digital delivers on those experiences in a way that allows companies to own the customer journey end-to-end.  We help companies connect key data sources to understand what matters most to people; connect to advanced technologies like ML and machine learning to sense and respond to those needs at scale; and connect their systems to unlock insights, create collaboration and drive acquisition, engagement and loyalty. Most importantly, we empower companies to connect with customers in personal, meaningful ways that respect them as people, not just customers.  The Experience Management team at Deloitte Digital gives companies the ability to build and leverage the connections - between people, systems, data and technologies - so they can deliver personalized, contextual experiences to customers at scale. We are seeking to transform the way brands interact with their customers and elevate the human experience.  Come join a team of passionate, talented ""pure"" data scientists and hybrid ML engineers who collaborate to design, build and maintain cutting-edge ML solutions that arm our clients with real-time customer insights delivering tremendous value. If you ' re intellectually curious, hardworking and solution-oriented, you ' ll fit right into our fast-paced, collaborative environment.       Work you   '  ll do   As an ML Engineer ,  you ' ll support the development and deployment of transformational ML capabilities for large clients. You ' ll combine leading open source tooling and techniques with a suite of customer experience libraries and solutions, which automate the management of cross-channel communications with consumers for large clients. We make heavy use of the Python machine learning ecosystem, and build systems to deliver massive decisioning throughput, with tight latency constraints on our real-time systems. If you have deep experience in designing, implementing, automating and deploying machine learning pipelines and workflows, we want to hear from you!  Your responsibilities will include:    Participate in all phases of the model development lifecycle Solution productionalized machine learning to drastically reduce total cost per decision, moving expensive human-driven decisions to drastically cheaper and more effective machine-driven ones Help design and implement functional requirements for client engagements Collaborate with our services data scientists to deploy and use libraries and APIs which make machine learning for customer use cases both easy and powerful, and help brands gain deep understandings of their consumers Prepare technical documentation Integrate with surrounding technology components and services Coach junior team members   Successful skillsets for this role are:    Deep interest in data science and software development Eager to work with data scientists, fellow engineers and product owners Experienced with collaborative techniques like pair-programming and white board design sessions Continuously learning and improving, and constantly exploring new languages, tools, and techniques    The team   Advertising, Marketing & Commerce  Our Advertising, Marketing & Commerce team focuses on delivering marketing and growth objectives aligned with our clients' brand values for measurable business growth. We do this by creating content, communications, and experiences that engage and inspire their customers to act. We implement and operate the technology platforms that enable personalized content, commerce and marketing user-centric experiences. In doing so, we transform our clients' marketing and engagement operations into modern, data-driven, creatively focused organizations. Our team brings deep experience in creative and digital marketing capabilities, many from our Digital Studios.  We serve our clients through the following types of work:    Cross-channel customer engagement strategy, design and development (web, mobile, social, physical) eCommerce strategy, implementation and operations Marketing Content and digital asset management solutions Marketing Technology and Advertising Technology solutions Marketing analytics implementation and operations Advertising campaign ideation, development and execution Acquisition and engagement campaign ideation, development and execution Agile based, design-thinking, user-centric, empirical projects that accelerate results    Qualifications  Required    3+ years of experience authoring, supporting or providing a data science platform to data scientists: Deep knowledge in the machine learning lifecycle, and in ways to facilitate collaboration and productivity in each of its phases. Exposure to a number of data scientists and expertise in finding solutions to workflow problems. Knowledge of common machine learning frameworks and libraries and in ways to productionalize their inputs and outputs Comfort with various machine learning techniques and their practical implementation, particularly reinforcement learning Experience with one or more common workflow / pipelining frameworks (Kubeflow, MLFlow, Argo or equivalents) Strong knowledge of the Python ecosystem, the Jupyter ecosystem (Lab, Notebook, Binder) and their libraries, norms and tooling Exposure to AutoML tooling (H2O, DataRobot or equivalents) Experience in deploying and maintaining enterprise-scale machine learning applications in production 2+ years of experience writing well-tested production software 1+ years of experience on distributed, high throughput and low latency architecture. 1+ years of experience building software on top of major container technology (Kubernetes, docker, or similar). Strong testing mindset with experience writing tests at various levels of granularity Familiarity with Continuous Integration tools (GitHub actions, Travis-CI, etc.) A history of good collaboration with DevOps and Project Managers on meeting project goals. Proven track record working with products from major cloud providers (AWS, GCP, Azure, etc.) Limited immigration sponsorship may be available.   Preferred:    Experience with large consumer data sets used in performance marketing is a major advantage Exposure and/or expertise writing and/or running Terraform or other infrastructure-as-code automation Well-versed in (or contributes to) data-centric open source projects Experience in performance analysis and optimization of machine learning applications, e.g. in optimizing code written by others Presence or contributions to projects within the wider open source ecosystem Proven ability to communicate both verbally and in writing within a high performance, collaborative environment. Exposure to commonly used relational and non-relational databases   AMC2021",30+ days ago,"10,337 reviews"
https://www.indeed.com/viewjob?jk=8118dd70276734e4&from=web&vjs=3,320,"Data Analyst, Senior - Data Support",Prometheus Federal Services,"Washington, DC 20005","Data Analyst Sr  – Data Support Prometheus Federal Services (PFS) is a public-sector management consulting firm serving federal health and social services agencies. The selected individual will be an integral part of a multi-organizational team tasked with supporting healthcare transformation within a government agency. Innovative support will be necessary across several areas, including: Program and Project Management and Integration, Improvement and Change Management, Data and Analyses, Training, Strategic Communications and Implementation, Supply Chain, Financial Management Modernization, and Policy Support. Essential Duties and Responsibilities The Senior Data Analyst will work with the National Oncology Program to develop oncology data reports which consolidate data into one cohesive data display. The Senior Data Analyst will develop clinical templates in consultation with the Oncology Clinical Application Coordinators for utilization by the Oncology Program; build an array of dashboards in Power BI; and develop program performance metrics aligned with industry and Department performance metrics. Minimum Qualifications Bachelor’s degree from an accredited institution 8 years’ relevant experience Experience developing dashboards using Power BI Strong analytical skills with ability to identify alternatives Excellent oral and written communication skills Proven ability to work independently and as part of a team Proficiency with MS Office Ability to work in the US indefinitely without sponsorship Ability to obtain a US security clearance if needed Preferred Qualifications Knowledge of Department of Veterans Affairs databases and datasets Knowledge performance metrics aligned with Quality of Implementation, Commission on Cancer, Oncology Nursing Society, United States Pharmacopeia, National Quality Forum, and Department of Veterans Affairs performance metrics All applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin Please be aware that PFS requires all employees to be fully vaccinated against COVID-19 as a condition of employment. PFS will consider requests for medical or religious accommodation to this requirement during the recruiting process. nYLYIUKp8e Job Type: Full-time",,4 reviews
