URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=93f0503d460d91e0&from=web&vjs=3,200,"Sr. Manager, Data Science and Governance, Popeyes",Restaurant Brands International,"Miami, FL","About Restaurant Brands International:  Restaurant Brands International Inc. is one of the world's largest quick service restaurant companies with more than $35 billion in annual system-wide sales and over 28,000 restaurants in more than 100 countries. RBI owns four of the world's most prominent and iconic quick service restaurant brands – TIM HORTONS®, BURGER KING®, POPEYES® and FIREHOUSE SUBS®. These independently operated brands have been serving their respective guests, franchisees and communities for decades. Through its Restaurant Brands for Good framework, RBI is improving sustainable outcomes related to its food, the planet, and people and communities. Our Opportunity:  Restaurant Brands International is looking for a  Sr. Manger, Data Science and Governance - Popeyes (United states and Canada)  to join our Digital Analytics and Optimization Team based in Miami, FL. The Sr. Manager, Data Science and Governance will be responsible for building and leading the team that will partner across our digital and Digital Analytics org in efforts related to proprietary and vendor ML/AI models used for precision targeting and personalization in addition to supporting the deep analysis and A/B/Mvt test and learn efforts with peers in BI and Optimization team.. Key position requirements include strong analytical, quantitative, problem solving and presentation skills, with regular presenting to senior leadership in addition to orchestrating across channels to provide cohesive insights and optimization opportunities. Seeking a doer, insights narrator, dynamic learner and inquisitive builder that is well versed in digital, digital analytics, and omni channel customer journeys, as well as technical skills with SQL, Tableau and Python.  Roles and Responsibilities:  Senior Manager Data Science and Governance   Orchestrate data science insights to complement BI and Optimization efforts that promote understanding of all factors influencing behavioral patterns that  Must think outside the box to account for all the moving parts across the org, including analog, operational and digital.  Use a scientific approach to dissect complex business questions, understand causal relationships using data, develop specific hypotheses that inform actionable strategies.  Drive execution by taking an agile approach to implement strategies in the field, leveraging pilots to measure impact, test hypotheses and refine strategies.  Translate the results of complex analyses into clear, actionable insights & field execution strategies, and present these to stakeholders and non-technical leadership to gain buy-in and partnership required to fully deliver the solution (end-to-end)  Collaborate with internal and external stakeholders including brand, sales, marketing, field and others to ensure the approach is tailored to the specific business needs and question.  Use a scientific approach to dissect complex business questions, understand causal relationships using data, develop specific hypotheses that inform actionable strategies.  Drive execution by taking an agile approach to implement strategies in the field, leveraging pilots to measure impact, test hypotheses and refine strategies.  Translate the results of complex analyses into clear, actionable insights & field execution strategies, and present these to stakeholders and non-technical leadership to gain buy-in and partnership required to fully deliver the solution (end-to-end)  Collaborate with internal and external stakeholders including brand, sales, marketing, field and others to ensure the approach is tailored to the specific business needs and question.  Incorporate cross functional intelligence and data science modeling to proactively lead analytics and insights around full lifecycle A/B/Mvt test and learn initiatives in partnerships that include digital marketing, digital product, execution and operations functions.  Extract data from multiple sources using standard UI and SQL based tools, combine and translate into cohesive narratives and recommendations across other digital analytics partner workstreams and the digital org as a whole.  Participate in weekly, monthly and quarterly review meetings with business leaders, prepared to answer questions, present key takeaways and findings from current trends, and provide recommendations and actionability plans supported by such.  Understand, interpret, and communicate our customers 360 audience segments, journey and behaviors in depth, and tie such areas into the broader scale and scope of the business.  Identify audience segments, areas of focus and potential sales drivers that can work into the optimization team efforts, making such engines more accurate and essentially driving known diner sales or other MBO's.  Identify opportunities to better use existing analytical tools, democratize data and analytics consumption, and automate ongoing processes and innovative solutions for stakeholders and end users across the org.  Efficiently manage the team project and request queue using best practice agile methodologies and tools such as Jira.   Required Skills:   A Bachelor's Degree in Engineering, Analytics, Computer Science or related technical field.  8+ years of analytics, data science or related consulting experience – with focus on digital omni channel preferred.  3+ years of demonstratable top-notch people and thought leadership.  Proficient in the manipulation and analysis of data; expert with translating findings into real life solutions that tie into goals, targets and revenue efficiency producing optimization efforts.  Well versed in SQL, Python, web analytics (Adobe, GA or Amplitude), Tableau and Power BI, Looker (Google)  Must understand digital and omnichannel functions, concepts, strategies and tactics as well as digital data layer (TMS, mParticle)  Familiarity with data engineering (liaison level) to effectively validate, standardize and govern all data sources across EDW, Data Lakes, Digital Data layer, vendor and 3p.  Must have excellent interpersonal, oral and written skills to include formal presentation experience and the ability to prepare and present marketing presentations.  Strong hands-on understanding of all facets of Digital ecosystem and related functions as well as Omni Channel Business Intelligence.  Must be proficient with Microsoft Office Suite programs (Excel, Word and PowerPoint) as well as Outlook.  Experienced in CRO, CPO, LTV modeling, multi-channel attribution and experimentation design and execution.  Deep understanding of data science methodologies with proven revenue driving success in relation to digital initiatives.  Obsessed with pursuing and promoting data quality, validation, standardization and governance that will produce the most trusted and accurate results across the org.  Excellent organization skills; ability to prioritize and handle multiple tasks.   Restaurant Brands International and all of its affiliated companies (collectively, RBI) are equal opportunity and affirmative action employers that do not discriminate on the basis of race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or veteran status, or any other characteristic protected by local, state, provincial or federal laws, rules, or regulations. RBI's policy applies to all terms and conditions of employment. Accommodation is available for applicants with disabilities upon request.",14 days ago,27 reviews
https://www.indeed.com/viewjob?jk=fa2212eb9fccd73b&from=web&vjs=3,200,"Mgr, Data Science",CEDENT,"Tampa, FL","Title: Mgr, Data Science @ : Tampa, Fl Terms of Hire: Full time.  Job description : The ideal candidate will have strong business acumen, an innate ability to generate business value using analytics, and an entrepreneurial mindset. This person will love solving challenging business problems to increase sales and/or reduce expenses, and will be passionate about finding creative, practical ways to drive organizational strategy. Responsibilities: Identify opportunities in the organization where analytics and data science will generate value.  Meet with business partners to understand their most challenging business issues and design practical, yet impactful, data-driven solutions to help solve their business challenges.  Lead the development of data science and analytics solutions with business leaders in membership, insurance, travel, distribution and automotive services.  Develop data science project plans, manage deliverables, and measure ROI for data science initiatives.  Leverage your unique analytical abilities and business experience to distill complex analysis into actionable, compelling recommendations for business partners  Contribute to the success of the team by providing training, thought leadership, and mentorship.  Supervisory Responsibilities:  Manages a team of Data Scientists with varying levels of experience and skill sets.  Preferred Qualifications: :  MBA or Master’s degree preferred, or the equivalent combination of education and experience.  Qualifications: :  Required Qualifications: :  Education: Bachelor’s degree in Business, Economics, Marketing, Statistics or related field.  Experience: 3+ years managing direct reports  Proven experience leading high-performing teams.  Experience using creative and innovative analytical approaches to solve challenging business problems.  Experience in translating statistical analysis into compelling stories that inspire action  Knowledge and Skills: Proven ability to identify and cultivate new business opportunities  Ability to successfully communicate with Executives, Mid-Level Manager, Marketing Strategists and Business leaders to identify business problems and opportunities, design and implement the best analytics solution and communicate the results of analytics projects.  Excellent oral and written communication, with the ability to communicate technical concepts in the context of the business problem, using easy-to-understand business language.  You Will Enjoy: :  An opportunity to be a part of a great culture, an awesome team, a challenging work environment, and some fun along the way!  Apply today to learn more and be part of our Growth story.  All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.",30+ days ago,
https://www.indeed.com/viewjob?jk=fd731f847a16de8e&from=web&vjs=3,200,Senior Associate Data Science & Analytics,Razorfish,"2911 Grand Ave, Miami, FL 33133","Company Description Hi there! We’re Razorfish. We’ve been leading the marketing industry with our digital expertise since the start of the internet. But in 2020, we did a full reboot. What’s different? It all starts with people. Weird, wonderful, complex people - with diverse backgrounds in strategy, creative and technology. But no matter how different we are, we all have one thing in common. We believe our differences are our strength. So we push for inclusion, challenge convention and bring in new perspectives, to inspire new ideas. Because when we connect by understanding what makes people different, we can create unforgettable experiences that enrich lives. Join us at razorfish.com.   Job Description Razorfish is seeking a Senior Associate of Data Science & Analytics on an ongoing contract basis. This role will be responsible for campaign work including performance reporting, profiling, targeting, segmentation, and optimization and data work (SQL). The role combines experience with campaign targeting, segmentation, test design/learning plans, reporting and optimization of: Account data (first and 3rd party), including demographics Transactional data (product registrations, eComm, offer redemption) Engagement data (impressions, ad clicks, email opens/clicks, push notifications taps, web visits and clickstream) Responsibilities: Analysis & Insights Aggregate data from multiple sources to deliver reporting and analysis Analyze digital clickstream analytics to uncover meaningful insights for optimization recommendations Creating and maintaining reporting dashboards in data visualization resources Adept at performing statistical analysis, such as calculating statistical significance, forecasting, distributions, etc. Effectively communicate complex ideas to primary client contacts, both verbally and in writing Testing & Optimization Identify new ideas and opportunities for analytic projects Working with analysts, designers and product owners to design hypotheses and ideate on test ideas Bringing A/B test ideas to market, monitor performance and report on results Has or is interested in developing skills to be a hands-on practitioner of multivariate statistical analysis (regression and simple segmentation)   Qualifications Required Skills: Data Visualization with a tool such as Power BI, Data Studio, Tableau or other Digital Media Measurement SQL, experience with a data environment such as AWS, Azure, BigQuery Test Design, Implementation, & Measurement Advanced Excel & PowerPoint Preferred Skills: Marketing Automation CRM channels (email, Push Notifications) R or Python Adobe Analytics, Google Analytics, Optimize, Test & Target DMP/Digital media Social media Data Mining / Profiling Who are you? 3-5 years of experience in Data Science, Marketing Analytics, Digital Marketing, or a business-related field Bachelor’s degree, in Marketing, Business, Engineering or a related field Passion for digital analytics, working with data and deriving insights to answer client business questions Comfort with working in and contributing to a fast-paced, team-based environment Additional Information As part of our dedication to an inclusive and diverse workforce, Publicis Sapient is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at hiring@publicissapient.com or you may call us at  +1-617-621-0200 .",30+ days ago,79 reviews
https://www.indeed.com/viewjob?jk=25600e47d2b6b517&from=web&vjs=3,200,Senior Data Analyst,Jushi,"Boca Raton, FL 33431","SENIOR DATA ANALYST : **Please note this role is a hybrid with 2-3 days in office** Want to make a meaningful difference in peoples’ lives while earning a competitive salary? At Jushi Holdings Inc. ”) (CSE: JUSH) (OTCQX: JUSHF), we are shaping the future of the cannabis industry, the fastest growing jobs sector in the U.S. We are seeking a Data Analyst who will provide analytic support to Business Development, Origination/Applications, and other business units. The Data Analyst will not only support large analysis projects but will also supplement project management activities, provide input into solving relevant problems, and assist with other projects as needed. THE TEAM: Founded in 2018 and headquartered in Boca Raton, Florida, Jushi is a vertically integrated, multi-state cannabis company that develops and operates high-end retail locations, premium brands, state-of-the-art cultivation, processing, manufacturing facilities, along with a cutting-edge online platform that is setting a new standard for a sophisticated, data-driven, modern cannabis experience. Since its founding in 2018, Jushi has grown from just a handful of people with an idea to more than 900 employees strong. The Company has scaled its operations in seven states, including Pennsylvania, Virginia, Massachusetts, Illinois, California, Nevada, and Ohio, and has been named one of the top five cannabis companies to work for by  Cannabis Business Times .  The Company operates more than two dozen retail locations across the country under the retail brand, BEYOND / HELLO™ as well as under the recently acquired brand, Nature’s Remedy. The Company provides an unparalleled in-store experience, coupled with online reservations and in-store express pickup. Each day, Jushi team members continue to grow, cultivate, process and manufacture a comprehensive suite of cannabis brands under the names: The Bank, The Lab, Tasteology, Nira + Medicinals and Sèche, which are addressing a wide variety of consumer and patient needs across multiple states. WHAT YOU WILL DO: Support the data team in all aspects of projects including general project organization, day-to-day project management, and stakeholder communications Responsible for the aggregation, analysis, interpretation, and reporting of data as needed Conduct data analysis, market research, and general research as required by the team Prepare reports, presentations, and other materials to relay research analysis, observations, and findings to key stakeholders Identify and implement technical and innovative solutions as needed to accomplish team objectives Analyze projects and develop an effective strategy for completion Complete projects utilizing statistical software, GIS software, and from new programs that will need to be quickly adopted as required Recommend changes and improvements based on research or data findings WHAT WE ARE LOOKING FOR: Bachelor’s degree in Data Science, Computer Science, or a relevant technical field, Masters Preferred 5+ years of relevant work experience strongly preferred Prior experience with large, complex data sets and relational databases Advanced knowledge of SQL syntax i.e. T-SQL, PostgreSQL, MySQL, etc. Experience in developing and maintaining ETL processes via SQL Server Services i.e. SSMS, SSIS, etc. or other methods Ability to master and implement new software and technologies, experience with integrating cloud applications and API connectivity a plus Ability to multitask, prioritize, and manage time efficiently in a fast-paced and entrepreneurial environment Working knowledge and functional experience with dashboard software such as Power BI, Tableau, Domo preferred Ability to communicate professionally with all levels of the organization Superior written and verbal communication skills, with a keen eye for detail Excellent organizational and analytical skills, strong oral and written communication skills, and able to work in a high paced, timeline-driven setting. Highly effective interpersonal skills and the ability to continually demonstrate poise, tact, and diplomacy are necessary. WHAT WE HAVE TO OFFER OUR EMPLOYEES AT JUSHI: We offer benefit packages that may include: Medical, Dental, Vision, Life, Short, and Long Term Disability, Flexible Spending Accounts, Paid Time Off, Paid Holidays, and 401(k). BONUS DUTIES YOU SHOULD UNDERSTAND: Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice Jushi is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances.  2ZlMLkvaQq",18 days ago,39 reviews
https://www.indeed.com/viewjob?jk=ddca0247c7e8767d&from=web&vjs=3,200,AI / NLU Engineer,Recruiting From Scratch,"Clearwater, FL 33759","Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.  If you are a fit, the team will reach out to you about this role or any others that may be a fit for our clients.  Our Client This role is for a variety of clients that are 100% remote.  For nearly 25 years, enterprise customers nationwide – Fortune 500, healthcare, and higher education – have depended on this client to improve the start of every caller’s journey and remove barriers to service. Our commercial applications have one clear objective: help people simplify their lives through speech automation. It’s a goal that has continuously guided our pioneering work to modernize caller experiences.  Join a group of talented people in providing adaptive speech solutions to our prestigious customer base. We are seeking a developer with AI/Natural Language Understanding expertise and experience building production-level NLU-driven applications, to join and influence the next level of evolution in our voice-driven solutions. Become a key member of our team that's dedicated to advancing our solutions to simplify and improve caller engagement through automation.  The successful candidate will have experience in designing and building semantically driven applications, and will have experience working with two or more natural language application design frameworks. Preferred candidates will have experience delivering contact center solutions, and have worked in the voice domain, using both finite-state grammars and statistical language models, and have a strong sense of the relative strengths and weaknesses of various approaches to NLU-based solutions.  Essential Qualifications A degree in Computer Science, Computational Linguistics, or related field Experience building complex, multi-turn, semantically driven, intent-based applications for production use Experience with two or more of the following: Google DialogFlow, IBM Watson Assistant, Amazon Connect and/or other NLU platforms Excellent and demonstrable problem-solving skills Excellent communication skills and experience in working with customers Curiosity, a drive to understand, and a passion to excel and create satisfied customers Being a self-starter who is also able to work in a team At least three years of programming experience, with fluency in Python Legal authorization to work permanently in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job.  Bonus Qualifications Experience building and delivering contact center solutions Experience working in the voice domain in addition to the text domain Automated Speech Recognition background  Work Context Work independently or as part of a small team on projects Communicate daily with colleagues and management Work remotely using collaboration software and video conferencing  Make a difference Come work at a company where your voice matters and you can make a real impact beyond your specific job role. You will gain a view of the whole company fostered by open management and a flat organizational structure. The team is made up of people who care about each other and our customers. We support a healthy work/life balance and are enormously productive by respecting work hours and letting people live their lives and have their downtime.  Benefits The compensation and benefits packages at the client are designed to put people first:  Comprehensive health care for you and your family 15-20 paid vacation days each year depending on tenure 10 paid holidays each year 10 paid sick days each year that can be used when you or a family member is sick. We don't think you should have to use vacation time for these unexpected circumstances. Parental leave of up to 12 weeks 401(k) retirement plan with company match Budgeted learning/development and paid conference days Stock awards for meritorious performance",30+ days ago,
https://www.indeed.com/viewjob?jk=7ee2335602b9263b&from=web&vjs=3,200,Sr. Data Engineer,BST GLOBAL,"5925 Benjamin Center Dr, Tampa, FL 33634","Must be authorized to work in the US without employer sponsorship. Summary of Duties & Responsibilities The BST AI & Analytics product team delivers data driven business analytic solutions leveraging artificial intelligence (AI), Big Data architecture and machine learning expertise to deliver business intelligence (BI) and analytics insight for the professional consulting market. The Senior Data Engineer is a key member of the AI & Analytics team, providing domain expertise and leadership to deliver data-related products, features, and functionality that serves business and technical leaders. The Senior Data Engineer must have a thorough knowledge of the Microsoft Big Data solutions. This individual will be responsible for defining high volume data processing pipelines in a multi-tenant environment, verifying data integrity and curating data for consumption by data warehouse, third-party data analytics tools and machine learning models. The ideal candidate is an exceptional critical thinker with strong business acumen that is adept at solving complex problems and creating elegant business solutions. You will be involved in the design and development efforts for our big data solutions including data lake, Business Intelligence Solutions, Machine Learning, Data Pipeline and cloud-based data warehouse products. Essential Functions · Work with clients to understand data analytics requirements. Analyze data to ensure it meets specific data management, data governance, and data quality assurance requirements before processing the data within the Data Lake and data warehouse · Work with the Product Managers, Database Architect or BI Architect to understand data pipeline and data life cycle processing requirements and patterns · Install and configure data sources for use by the data pipelines · Work with the Database Architect to define data management, data governance and data quality assurance requirements to manage the entire data processing life cycle · Acts as a key contributor to all phases of the design and development lifecycle of analytic applications utilizing Microsoft Azure and BI technology platforms · Curates data for analyses, business reviews, and operational data analysis demands · Use an agile approach to define requirements, design and develop data pipeline solutions to enable near real-time change data capture (CDC) and data consumption · Proficient in applying data management, data governance, and data quality processes and tools to correlate disparate sources · Strong analytical skills, able to translate complex business requirements into sound data management and data governance solutions Skills & Competencies · Experience with Azure products and services including Azure Data Lake Gen2, Azure Data Bricks, Azure SQL Server, and Azure Analysis Services. · Advanced SQL development skills, broad exposure to all language constructs · Experience with Microsoft On-premise SQL Server (2017 or higher) and Azure SQL Server technologies including broad experience with SQL Server capabilities and tools (e.g., CDC, Columnstore Index, In-memory Table, SSAS Tabular, DAX, T-SQL, SSIS) · Experience in Power BI, Power BI Embedded, Power BI Services, Power BI Gateway, and Power BI Dataflow · Experience using Azure DevOps and CI/CD as well as Agile tools and processes including Git, Jenkins, Jira, and Confluence · Experience with data integration through APIs, Web Services, SOAP, and/or REST services · Experience with OLTP data modeling, dimensional data modeling, composite modeling, data transformation, and designing the most optimal analytical data structures for near real-time data analytics · Additional programming experience is a plus (preferably.NET) or other languages such as Python, Scala, R. Education or Prior Work Experience · Bachelor's degree in CS · 10+ years of experience with designing and developing complex data analytics solutions · 5+ years of experience with Microsoft Big Data solutions Reports to Manager, Software Engineering Number Supervised 0 Travel Up to 15% Classification Exempt Work Environment This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines. Physical Demands While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to stand; walk; use hands to finger, handle or feel; and reach with hands and arms. Job Type: Full-time Pay: $1.00 - $2.00 per year Benefits: 401(k) 401(k) matching Dental insurance Employee assistance program Employee discount Flexible schedule Flexible spending account Health insurance Health savings account Life insurance Paid time off Referral program Relocation assistance Retirement plan Vision insurance Schedule: Monday to Friday Experience: SQL: 3 years (Preferred) Informatica: 3 years (Preferred) Data warehouse: 3 years (Preferred) Work Location: One location",,
https://www.indeed.com/viewjob?jk=b4c46138ec92e3ea&from=web&vjs=3,210,"Senior .Net Engineer - Azure Bot Services Developer, Conversational AI",Andor Health,"Orlando, FL 32811","Position Description:  The Senior .Net Engineer is a hands-on full stack engineer with superior coding skills and an ability to learn new technologies quickly. The successful candidate has a passion for creatively solving tough problems and is a voice of leadership wherever you go. This position leads major design efforts on large sections of a product and takes pride in crafting solid production code which will stand the test of time. Position Responsibilities: Deliver well thought-out, highly maintainable solutions to complex problems Collaborate with others on technical design & architecture for products & services Be a member of a close-knit group of like-minded professionals working in a dynamic, fast-paced environment Facilitate and lead design discussion - The whiteboard is your domain Work closely with business, UX and UI, product management, data sciences, and other teams to conceive, create, and design unique customer experiences on mobile and desktop Collaborate with architecture, scalability, availability and reliability of Andor Health's platform Exercise ability to translate complexity into simple and intuitive solutions for the customer Basic Qualifications: 5-7 years of experience building large-scale, high throughput web applications or services Expert in at least one statically typed programming language (C#, Java, etc.) Experience with as many of these as possible: C# .Net Core Azure Service Bus, Event Hubs, Event Grid Azure AI’s services, infrastructure, and tools for developing AI apps Microsoft’s Bot Framework ecosystem and the lifecycle of conversational AI app development Azure Bot Framework RDBMS (i.e., MSSQL, etc.) Message Queuing Ability to learn and apply new technologies rapidly Embedding of artificial intelligence solutions in cloud applications Analytics tools for conversational AI applications Preferred Qualifications: Experience in healthcare industry EMR integration experience is a plus Cloud implementation using Microsoft Azure a plus Demonstrated capabilities include but are not limited to the following: Shows appetite and aptitude for owning responsibility of technical decisions and direction for one or many projects/teams. Aptly manages team demands on his/her time and shows willingness/ability to delegate technical execution or responsibilities when appropriate. Acts as a liaison or primary point of contact for communicating with client side technical expertise. Directs technical aspect of operations related to escalated client accounts or high severity issues as they affect or confront a project or team. Attends to both business and technical considerations when designing solutions to project/team or company related issues. Demonstrates interest in improving the company's technical awareness, depth and use of technology across the business. Participates in the evolution of company level best practices, standards, and policies as it relates to software development. Provides thought-leadership as it relates to emerging technologies and readying our company and engineers for productively integrating the same into our business. Travel requirements Depends upon the project/program needs Working arrangements Hours required to complete projects/assignments The preceding functions may not be comprehensive in scope regarding work performed by an employee assigned to this position classification. Management reserves the right to add, modify, change, or rescind the work assignments of this position. Management also reserves the right to make reasonable accommodations so that a qualified employee(s) can perform the essential functions of the position. At Andor Health, our greatest strength comes from bringing together talented people with diverse perspectives to support the technological needs of physicians, hospitals, and post-acute organizations across the globe. Andor Health offers a comprehensive compensation and benefits package, including holidays, vacation, medical, dental, and vision insurance, company paid life insurance and retirement savings. Andor Health's policy is to provide equal employment opportunity and affirmative action in all of its employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation, or gender identity or expression or any other legally protected category. Applicants for North American based positions with Andor Health must be legally authorized to work in the United States or Canada. Verification of employment eligibility will be required as a condition of hire. EOE Minorities/Females/Individuals with Disabilities/Protected Veterans Drug Free Workplace EEO Law Poster and Supplement",11 days ago,
https://www.indeed.com/viewjob?jk=d9447611fbebda35&from=web&vjs=3,200,Principal Algorithms/AI Engineer,Elbit Systems of America,"Orlando, FL","Company Description Elbit Systems of America is a leading provider of high performance products, system solutions, and support services focusing on the defense, homeland security, commercial aviation, and medical instrumentation markets. With facilities throughout the United States, Elbit Systems of America is dedicated to supporting those who contribute daily to the safety and security of the United States. Elbit Systems of America, LLC is wholly owned by Elbit Systems Ltd. (NASDAQ: ESLT and TASE: ESLT), a global high technology company engaged in a wide range of programs for innovative defense and commercial applications. For additional information, visit: www.elbitsystems-us.com or follow us on Twitter.   Job Description The position is for an Algorithm/Artificial Intelligence (AI) Engineer II with 5-10 years experience, to work on traditional algorithms development at the Elbit Systems of America (ESA) Orlando site. The job is critical to developing, demonstrating, and quantifying signal and image processing capabilities across ESA’s product and market portfolio. Algorithm development and deployment are central to this job function.   Qualifications  5 to 10 years of defense, academic, or industrial experience in algorithms development, deep learning, and systems engineering process. Experience in C, C++, Matlab, Python Experience with Signal and Image Processing algorithm development Experience with EO/IR and Laser Systems Experience with AiTR and tracking algorithms/capabilities Hardware/software integration Requirements traceability, identification of Key Performance Parameters (KPPs), and verification testing Simulation and Modeling Experience creating and presenting algorithm concepts, analysis and performance of data to stakeholders. Ability to read recent EO/IR and Laser research papers and adapt those into models to solve real world problems. Exposure to deep learning frameworks, including Tensorflow, Caffe, MxNet, Torch, Theano. Develop and analyze highly complex algorithms. Implementation of algorithms in hardware and an understanding of the system design architecture trade space. Provide technical support to customer, user lab, and in-field testing Perform system/product integration. Verification and validation of highly complex system designs to ensure conformance with functional specifications and customer requirements. Produce and/or review technical documents, specifications and standards. Prepare Technical level presentations. Provide outside contact with ESA affiliates and other contractors. An ability to effectively document and communicate designs, results, reports, status and presentations. Work independently and with internal/external organizations Willingness to travel Domestically and Internationally. Authorities:  Operates under the direct supervision of their supervisor.   Business Relationships:   · Must support customer demonstrations Works closely with business unit program manager   Minimum Qualifications: Bachelor's Degree is required, Master’s Degree is highly desired Specific Degree Field:  Computer Science, Software Engineering, Systems Engineering, Machine Learning, Artificial Intelligence, Data Science, or related Must be able to obtain a favorably adjudicated DOD Clearance at the Secret level Additional Information As a contractor to the U.S. federal government, all Elbit Systems of America employees are required to be fully vaccinated against COVID-19. As a result, full vaccination is required for this position unless you are legally entitled to an accommodation. All your information will be kept confidential according to EEO guidelines.",30+ days ago,119 reviews
https://www.indeed.com/viewjob?jk=b681f7e7628cd345&from=web&vjs=3,200,Machine Learning Engineer (Speech to Text Startup),Recruiting From Scratch,"Miami, FL","Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. About our Client Join our client in transforming the way remote teams work and communicate. Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting notes. In addition, we are making virtual meetings accessible to all employees - allowing team members with disabilities to participate in a world that is now dominated by virtual meetings.  With over 10M users experiencing their product, they are making an impact at scale and we are growing fast. The team is made up of top talent from companies like Google, Facebook, Yahoo!, Microsoft, Pinterest, Spotify, and Plaid. They are backed by leading investors that include David Cheriton (Google’s first investor), Tim Draper ( Draper Associates ), Spectrum Equity, Horizons Ventures, GGV Capital, and Duke University.   About this role They are seeking research and engineering professionals to join our technology team in conducting research and development of new deep learning algorithms for speaker ID, speech recognition and language understanding.  Members of the technology team work collaboratively as a group and with colleagues in engineering and product to devise and deploy new algorithms for natural language processing, speech recognition, speaker separation, diarization, and speaker identification.  Engineers on this team will work on algorithm development, model training and evaluation of the above-mentioned systems.  Need to Have B.S. in Computer Science or EECS Strong programming skills with working knowledge of Python Comfort with working in Linux terminals Experience with TensorFlow or PyTorch, or similar deep learning frameworks Familiarity with the state of the art in deep learning Comfort with working in a highly collaborative startup environment Team player with good communication skills (oral and written)  Nice to Have PhD or equivalent industry experience in speech/speaker recognition or NLP Employee Benefits Stock. Be a [literal] stakeholder in our company’s future.   Food. Enjoy catered meals and boundless snacks. Fun. We host team lunches weekly and team events bi-quarterly. People. Work with talented, collaborative, and friendly people who love what they do. Health and Saving. Receive the benefits of comprehensive health, dental, vision and disability insurance.",30+ days ago,
https://www.indeed.com/viewjob?jk=bddf5ea77a4aab78&from=web&vjs=3,200,Senior NLP Analyst,"Kore.ai, Inc.","Orlando, FL 32819","Who is Kore.ai? Kore.ai is an enterprise software provider of a Virtual Assistant Platform and smart conversational and digital solutions for enterprises to build and deploy out-of-the-box or completely customized virtual assistants for their customers and workforce. Kore.ai turns advancements in natural language processing, machine learning, and artificial intelligence into enterprise opportunity. At  Kore.ai  you will enjoy success, develop your professional skills and allow your career to thrive within a fast-growing business who is expanding their global team. Learn more at https://kore.ai POSITION / TITLE: Senior NLP Analyst RESPONSIBILITIES: Work with product management teams to determine business requirements for the design, configuration, and deployment of conversational UI initiatives Tune and refine the chatbot natural language processing (NLP) engine, workflows and intents, as well as publish new workflows Design, configure, and test reusable components such as intent models and machine learning models to promote configuration-based solutions, under the guidance of the product team Provide input to help the product team understand how conversational experiences will enhance customer engagement Perform regular analysis of trends in chatbot conversations to proactively suggest topics and unanswered questions with the biggest opportunity to automate Use rapid prototyping and testing of various conversational flows to help the product team assess the outcome of different approaches Compelling real world experience related to machine learning OR Artificial intelligence related to Natural language processing and or Computational linguistics Expertise in either Java or C/C++ and any one of scripting languages like Perl/Python/ JavaScript EXPERIENCE REQUIRED 5+ years of hands on experience Experience with Natural Language Processing LOCATION –  USA MUST HAVE SKILLS Application of machine learning algorithms and techniques for natural language processing Experience with supervised and unsupervised machine learning techniques Owning module development as individual contributor Sound knowledge in Syntax and Semantic processing using statistical methodologies and/or Chatscript Experience in Word prediction algorithms 3-5 years’ experience purely in applied linguistics & NLP, related product development Experience in Information extraction and retrieval techniques Familiarity with chatbots, voice enabled devices, or other conversational channels Good to have skills with big data management tools, Node.js and scripting Good knowledge on content categorization algorithms Research, design and development of natural language processing algorithms EDUCATION QUALIFICATION Bachelors or Master’s Degree in Engineering OR Computer Applications",30+ days ago,
