URL,page_count,job_title,company,location,job_Description,post_date,reviews,total_page_count
https://www.indeed.com/viewjob?jk=8793d61b10e78ecc&from=web&vjs=3,190,Analytics - Manager - Data Science,Merkle,"Columbia, MD 21046","Company Description: Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specializes in the delivery of unique, personalized customer experiences across platforms and devices. For more than 30 years, Fortune 1000 companies and leading nonprofit organizations have partnered with Merkle to maximize the value of their customer portfolios. The agency’s heritage in data, technology, and analytics forms the foundation for its unmatched skills in understanding consumer insights that drive people-based marketing strategies. Merkle’s combined strengths in performance media, customer experience, customer relationship management, loyalty, and enterprise marketing technology drive improved marketing results and competitive advantage. With 4,400 employees, Merkle is headquartered in Columbia, Maryland, with additional offices in the US, Europe, and Asia. In 2016, Merkle joined the Dentsu Aegis Network (DAN).  Job Description: The role will revolve around the application of analytic techniques to drive and enhance the client’s marketing performance across their multi-brand portfolio. The Analytics Manager will be responsible for ensuring timely delivery of data, analytics and strategic consulting to support the client’s marketing initiatives. They will become the client’s trusted advisor, supporting multiple brands within a product division with hands-on analysis and presentations. The Manager will integrate project work and findings with the Dentsu Aegis Network analytics leads on the account as well as coordinate directly with strategy, email and reporting teams. They will participate in creating and articulating relevant solutions for clients and in developing methods or processes for implementation and owning quality assurance on all deliverables. To succeed in this role, the Manager is expected to demonstrate strategic thinking, logical reasoning, strong communication and presentation skills, outstanding analytic skills, and the ability to resolve complex issues. Responsibilities: Execute a wide variety of analytics projects including predictive modeling, customer profiling, journey analysis, campaign test design and analysis, dashboard reporting, market basket analysis, product recommendations, and customer segmentation Extract and process large quantities of data from data warehouses and other data marts in support of assignments Analyze marketing metrics to identify cause-effect relationships between marketing levers and outcomes Data mining and analysis, including the ability to independently QA database information and help drive database enhancements via communication and requirements documentation for technology teams Develop test designs to support one-time and longitudinal test plans Develop, write, and present strategic recommendations that directly address client’s toughest questions Turn complex data into practical and actionable marketing insights Participate in brainstorming sessions to identify new marketing opportunities for the client  Participate in development of analyses that provide insights into actionable recommendations and strategies for omni-channel marketers with emphasis on digital media optimization in conjunction with performance media team Manage projects tasks, timelines, and deliverable Mentor junior analysts and contribute to their career development Experience: Experience with MS Office (Word, Excel, PowerPoint, Outlook) required Proficiency with multiple analytics tools required (SAS, SQL, Python, etc.); R strongly preferred Understanding of relational databases and transactional data required Hands-on experience with BI or digital analytics tools (Tableau, TIBCO Spotfire, Micro strategy, Adobe analytics, Google analytics, DMP insight tools) preferred Must have experience with statistical concepts and applying statistical techniques such as regression, ANOVA, cluster analysis, factor analysis, time series forecasting, and experimental design Ability to discover hidden insights or complex patterns through advanced multi-variate data mining techniques on un-structured business problems Excellent written, communication, and presentation skills Experience with media analytics a plus  Qualifications: Bachelor's Degree (B.S.) or equivalent in statistics, math, economics or related scientific/quantitative field required; Advanced degree (M.A., M.S., Ph.D.) preferred Minimum of 5 years of experience in quantitative marketing arena  Additional Information: Merkle fosters a diverse environment that encourages original thinking about our business and empowers us to communicate with a global world of customers. We embrace differences of opinion and diversity of thought as they help us challenge and refine our solutions. Merkle, as a best-in-class marketing agency, welcomes big ideas, and believes they can come from anywhere. All your information will be kept confidential according to EEO guidelines #LI-PB1  More Information:  Our Culture:  Merkle’s energy and personality lives through everything we say and do. Learn all about what defines our people and our vibe.  Students & Recent Graduates:  Start your career at Merkle and get on the path to success.  Experienced Hires:  Leverage your expertise, challenge the status quo and grow your career at Merkle.",30+ days ago,194 reviews,752
https://www.indeed.com/viewjob?jk=92d39735081126fc&from=web&vjs=3,190,AI Platform Engineer,AstraZeneca,"Gaithersburg, MD 20878","       AI Platform Engineer        Do you have expertise in, and passion for, AI? Would you like to apply your expertise to impact a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!            Company            AstraZeneca is a global, innovation-driven biopharmaceutical business that focuses on the discovery, development and commercialization of prescription medicines for some of the world's most serious diseases. But we're more than one of the world's leading pharmaceutical companies. At AstraZeneca, we're proud to have a unique workplace culture that inspires innovation and collaboration. Here, employees are empowered to express diverse perspectives and are made to feel valued, energized and rewarded for their ideas and creativity.               Role            The Enterprise AI Platforms and Operations Team are responsible for building and running the GxP (GmP, GlP, GdP, GcP) qualified platforms, tooling and infrastructure that powers AstraZeneca’s ambition to use AI in every step of the value chain, from discovering new compounds to patient safety systems.               We achieve this through a combination of technical leadership and agile focused development, continuously evaluating the fast-moving advancements in Machine Learning tooling for challenges across AstraZeneca’s R&D, Commercial and Operations domains. We deliver these tools through easy to access development environments that allow AstraZeneca’s Data Scientists and Machine Learning Engineers to focus on building groundbreaking solutions for patients at scale.               We are looking for a GXP AI Platform Engineer to join our Enterprise AI Platforms and Operations Team. The ideal candidate will have industry-relevant experience delivering at scale Machine Learning or Data Science in the AWS cloud ecosystem.               You will be part of a collaborative team of multidisciplinary engineers and together have the chance to create tools that will advance the standard of healthcare, improving the lives of millions of patients across the globe. Our data science platforms will support major AI initiatives such as clinical trial data analysis, knowledge graph analytics, patient safety systems, deep learning led drug discovery, software as a medical device system.               As an AI Platform Engineer with an interest in building complex systems, you will be responsible for inventing how we use technology, machine learning, and data to enable the productivity of AstraZeneca. You will help build, deploy and develop our next generation of platforms and tools at scale.               Key Accountabilities                       Collaborate with Data Scientists and Machine Learning Engineers from across the company to understand their challenges and work with them to build the platform that underpins their research.        Lead and drive the design and continuous assurance of GXP Data Science and Machine Learning Environments within AstraZeneca        Be a part of a high performing agile team, continuously improving AstraZeneca’s Machine Learning development environments, platforms and tooling        Work closely and collaboratively with internal governance and compliance functions such as Cyber Security and Data Privacy to secure our estate without obstructing end-user productivity.        Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU).                                Champion a “production first mindset” to ensure the necessary infrastructure and platforms are available to scale exploratory research to production.                        Candidate Knowledge, Skills and Experience                     Bsc/MSc/Ph.D degree in Computer Science or related quantitative or analytical field.        Experience developing GXP systems across the Software Delivery Lifecycle (preferably within the Machine learning and Data Science domain)                                Experience working with Quality Managers around delivering validation packages for use within audited systems        Ability to describe and detail the GXP validation/qualification process to customers and act as a subject matter expert in productionising AstraZeneca’s AI strategy.        3+ or more years of demonstratable experience working with AWS or equivalent cloud        2+ years of experience working with Kubernetes and container-based applications.        1+ years of administering a production cluster, with an understanding of operators, storage classes and service meshes.                                3 years or more of experience building and delivering software using the Python programming language, exceptional ability in other programming languages will be considered        3 or more years of demonstratable experience deploying the underlying infrastructure and tooling for running Machine Learning or Data Science at Scale using Infrastructure of Code        Experience working in an Agile team        Experience working with internal security standards and frameworks        Experience leveraging DevOps to enable automation strategies                                Creative, collaborative and resilient.                    WHY JOIN IT?        We’re a network of entrepreneurial self-starters who contribute to something far bigger. There’s a diversity of expertise in our Technology group that’s unique to AstraZeneca – it allows us to dive deep into exploring new leading-edge technology. We enable AstraZeneca to perform at its peak by delivering world-class technology and data solutions. Our work unlocks the potential of science. We optimise and evolutionise AstraZeneca by maximising efficiencies and finding new ways to drive productivity. From automation to data simplification. We’re not afraid to take ownership and run with it. Empowered with unrivalled freedom. A place to be open and transparent – we speak up, think creatively and share ideas. Our diverse contributions help us to make better decisions. But we have a constant drive to innovate, and an appreciation for high standards. It takes challenging the status quo to add value in our ever-evolving environment. We love it here because put simply, we make a meaningful impact.        Technology at AstraZeneca is a home for purposeful disruptors!        SO, WHAT’S NEXT?     Are you already imagining yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.        WHERE CAN I FIND OUT MORE?     Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/     Follow AstraZeneca on Facebook https://www.facebook.com/astrazenecacareers/     Follow AstraZeneca on Instagram https://www.instagram.com/astrazeneca_careers/?hl=en        Competitive salary & benefits on offer.     Open Date: 28/04/2022   Close Date: 28/05/2022   ",30+ days ago,"2,161 reviews",752
https://www.indeed.com/viewjob?jk=7c3aeffd7cb980fe&from=web&vjs=3,190,1628 Data Scientist,Infoorigin inc,"Annapolis, MD","  Job Description:    We are seeking an experienced and highly motivated Data Scientist with experience in big data management to join the Company Everywhere Cloud team. The data scientist will help clients transform their business and solve complex problems using data-driven approaches and help to deliver projects using data science and programming skills. You will be a hands-on subject matter expert in big data management, machine learning applying your skills to real business problems. You get to specialize in areas such as federated data query, data cache, in-memory processing, distributed parallel processing, AI/ML solutions, data visualization, and more. You will work with cutting edge Company technologies along with open-source libraries and frameworks. Required Skills: Expert knowledge with NoSQL databases (Cassandra) and GraphQL schema design Excellent knowledge on RDMS such as PostgreSQL, SQL Server, DB2. Java, C# MicroServices API Excellent verbal and written communication abilities: must effectively communicate with technical and non-technical teams Ability to work with the client directly to understand and meet their requirements Track record of delivering successful engagements, working independently or leading small teams to manage client expectations and produce quality results Prototype, integrate machine learning models in business applications and processes and enable automated, intelligent, and data-driven decision making Previous experience with financial institutions IT or similar   Roles and responsibilities:    Responsibilities: Design and implement NoSQL storage ecosystem to handle petabytes data with high speed response. Write production-level code and build scalable data pipelines in cloud environments Work across business lines to design and implement data models and schemas Build/improve data-driven models using statistical and machine learning techniques Translate analytical solutions into recommendations Advise and guide our clients on how to realize the benefits of our solutions Communicate results and ideas to critical decision-makers using effective data visualization techniques Professional Expectations: Comfortable collaborating with colleagues both in person and remotely Proven analytical and problem-solving abilities, both individually and with a team Willingness to learn new and emerging technologies, specifically well versed in the security aspects of cloud deployments and SaaS software, including tools, techniques, and frameworks Ability to develop relationships with internal and external parties Take personal ownership by going beyond assigned tasks to improve projects, identifying issues, proposing solutions, and working to continually improve client satisfaction Engage in an Agile development environment, practicing Kanban; Update progress consistently in the issue tracking system; Take part in code reviews Expertise in translating business requirements into a technical framework Ability to explain complex analysis to a non-technical audience with your storytelling and data visualization skills Knowledge of machine learning frameworks and concepts like regression and classification and supervised and unsupervised learning methods Insightful thinker, confident with concepts & methodology, and demonstrates technical subject matter expertise in specific AI & ML domain Expertise with scripting programming languages such as Python, Node, R, Matlab, and/or shell scripting Education: BS or MS in Computer Science, Mathematics, Statistics, Data Science, Computer Engineering or Software Engineering   Job Type: Full-time   Pay: $125,000.00 - $175,000.00 per year   Schedule:      8 hour shift     Education:      Master's (Required)     Experience:      Python: 1 year (Required)    SQL: 1 year (Required)     Work Location: One location ",,,752
https://www.indeed.com/viewjob?jk=3b81e3a461f01bd3&from=web&vjs=3,190,SENIOR STATISTICIAN - STRATEGIC AND SCIENTIFIC AFFAIRS,PPD,"Bethesda, MD","JOB DESCRIPTION The role can be office or remotely based in North America or Europe.   Evidera has been providing epidemiology, data analytics, and outcomes research services to clients in the biopharmaceutical industry for over 19 years. The Peri- and Post Approval Studies (PPAS) team supports pharmaceutical/ biotechnology/ medical device companies in the design and conduct of real-world observational studies throughout the product lifecycle, from early pre-launch planning to launch and post-marketing management. Our focus is on helping our clients identify evidence gaps and rapidly build epidemiologic and economic evidence to demonstrate the effectiveness, safety, and value of their products.   Position Overview:  The Senior Statistician provides statistical and programming expertise to the PPAS Team through leadership in representing PPAS statistical services, collaborations with other statistical teams across the organization, and project delivery, including Clinical Data Interchange Standards Consortium (CDISC) SDTM/ADaM standards as necessary, leading-development activities, business initiatives and long-term planning. This includes contributing to and executing -CDISC-based initiatives such as development of procedures, bidding templates, hiring, training and professional development.  When needed, the Senior Statistician will provide statistical as well as programming expertise. Responsibilities also include direct contributions to client proposals and study execution for the PPAS business, including a variety of prospective and retrospective study designs. The Senior Statistician will be available to provide statistical consulting services across a variety of studies and study types and oversee and provide senior statistical review of statistical deliverables, as needed.  Essential Duties and Responsibilities:  Contribute to PPAS project delivery model under SDTM/ADaM standards  Assist in training of SDTM/ADaM standards to other statisticians and/or programmers  Contribute to the preparation of study proposals and statistical budgets. Independently organizes, leads, or participates in business development presentations and represents the practice area at bid defenses.  Act as lead statistician, project lead, or programmer on PPAS, consumer health and device projects and/or development programs  Translate client’s objectives and demands into quantitative workplans  Execute statistical and programming aspects of projects, including analysis plan writing, programming, and interpretation of the results in statistical methodology.  Methodological leadership in client meetings related to statistical methods and presentation of data analytics outputs and insights  Acts as statistical reviewer and provide first level of management communications and consultation with clients in a statistical sciences role  Help to ensure best practices in methodological approaches to each study given the design and evidence needs for PPAS, consumer health, and device trial designs  Develop training sessions, white papers, and presentations at conferences   Management – up to 25%  May manage staff, which may include interviewing and selection, job description preparation, goal setting, performance management, behavioral and technical coaching and mentoring, employee counseling, and separations. May approve courses of action on salary administration, hiring, corrective action, and termination. May reviews and approves time record, expense reports, and requests for leave.  Contributes to the on-boarding and training of new PPAS Statisticians and provides support for training and professional development opportunities. Works in collaboration with the Director of RWE Statistics, and Director of Learning and Development to ensure that training/onboarding documentation is current, accessible and disseminated, as appropriate, to PPAS Statistics and programming.   Operational Statistical Support  Works with the PPAS senior team members to identify and develop new approaches and processes to identify gaps and improve resource management, proposal development, project efficiency and quality involving analytics. Consults on existing and identifies areas where new SOPS are required.  Develops and provides consistent approaches to developing analysis budgets across different study designs.  Work with programming leads to develop processes, training and budget guidelines for CDISC SDTM/ADaM requirements.  Ensures adherence to departmental and company standard operating procedures (SOPs) and working practices (WPs). Contributes to their development as needed.   Collaboration  Operates effectively at the Practice and business area level, collaborating closely with senior staff in PPAS, Data Analytics, and Strategic and Scientific Affairs to find solutions to statistical challenges  Works closely with peers across the Practice Areas and across the broader PPD enterprise.   Project Work – 75% or more  Project Execution  Performs at the level of Statistical Expert in projects.  Job Qualification  Education, Professional Skills & Experience:  PhD or MSc in Biostatistics, Statistics, or Related field with 7+ years of experience, or BSc in Statistics, Biostatistics or Related field with 15+ or more years of experience.  2+ years of management responsibility  Expert business knowledge with comprehensive understanding of the organization and functional areas  Advanced leadership skills  SAS (Base, Stat, Graph, Macro), R, SPSS, STATA, WinBUGS  Statistical expertise with work experience supporting a variety of study designs spanning clinical trials and observational research designs  Knowledgeable and experienced in serving as statistics expert in biopharma and/or medical device environment  Knowledgeable and experienced in understanding regulatory requirements and appropriate data standards, ability to provide recommendations to ensure project delivery is fit for purpose  Expertise in project delivery using CDISC standards (CDASH, SDTM, ADaM)  Excellent management skills, including the ability to organize, plan and manage projects, create, and modify budgets, develop timelines, allocate resources, and forecast departmental workload.  Innovation and leadership in developing new ideas related to process improvements.  Highly developed interpersonal skills, problem solving, judgment and decision-making; driven, self-motivated and adaptable.  Excellent staff management skills; ability to identify and implement initiatives and change as needed  Strong collaborative skills – demonstrated ability to work and lead teams  Ability to work and adapt in a changing environment  Client focused - both internal and external  Strong analytical skills, strong knowledge of statistical principles, and strong statistical skills  Proven ability in supporting the development of new business opportunities  Knowledge in analytical SOPs or WPDs   PPD values the health and wellbeing of our employees. We support and encourage individuals to create a healthy and balanced environment where they can thrive. Below is listed the working environment/requirements for this role:  Able to communicate, receive, and understand information and ideas with diverse groups of people in a comprehensible and reasonable manner.  Able to work upright and stationary for typical working hours.  Ability to use and learn standard office equipment and technology with proficiency.  Able to perform successfully under pressure while prioritizing and handling multiple projects or activities.  May require travel. (Recruiter will provide more details.)   About Evidera:  Evidera is a business within Pharmaceutical Product Development, LLC (PPD) a leading global contract research organization (CRO), and a is a preeminent provider of evidence-based solutions. We provide integrated scientific expertise and global operational capabilities to help clients generate the evidence needed to optimize the market access and commercial potential of products.   Perks:  We offer a competitive salary and benefits package, with clear opportunities for growth and career progression. You will have the opportunity to work on multiple projects with some of the industry’s leading researchers. Our offices boast a fun and collaborative working environment, frequent social events, and a robust support system. We are committed to providing training and professional development, with ample opportunity to advance, for all our staff.  Evidera’s Core Competencies:  Customer Focus  Initiative  Teamwork  Problem Solving/Judgment  Accountability  If you resonate with our core competencies and want to contribute to research and consulting services driven by world-class science and thought leadership, then please submit your application – we’d love to hear from you.  #LI-REMOTE Diversity Statement PPD is proud to be an affirmative action employer that values diversity as a strength and fosters an environment of mutual respect. PPD is committed to providing equal employment opportunities without regard to age, race, color, pregnancy, national origin, religion, sex, gender identity, sexual orientation, disability, veteran status or status within any other protected group. COVID-19 Vaccination Update for U.S. Colleagues All U.S. colleagues are required to report vaccination status. New hires will be asked to report vaccination status within the first two weeks of employment.  All U.S. new hires who are in the following job categories must be fully vaccinated before their first day of employment or request an accommodation: executive director level and above, client-facing commercial, clinical research associates (CRAs), remote site monitors-local (RSM-L) all CRA and RSM-L line managers, clinic-based staff in early development services and accelerated enrollment solutions, and FSP within analytical services division roles. New hires will be asked to disclose vaccination status upon first day of employment and are required to report vaccination status within first two weeks of employment.",30+ days ago,971 reviews,752
https://www.indeed.com/viewjob?jk=e76783e2f6aa214d&from=web&vjs=3,190,Data Scientist,Erias Ventures LLC,"Annapolis Junction, MD 20701","  Erias Ventures was founded to serve its customers with an entrepreneurship mindset. We value  creative problem solving ,  open communication , and  empowering our employees  to make decisions and put forth new ideas.   We are seeking engineers who wish to grow their careers and want to become part of a strong, entrepreneurial-minded, and technical company focused on bringing innovative solutions to the difficult mission problems facing our customers.   Description   We have an immediate need for Data Scientists across multiple programs. This position involves working collaboratively with system engineers, software engineers, and analytic engineers to analyze and visualize complex data sets.   Requirements   A current TS/SCI with FS polygraph security clearance is required.   Desired Skills      Python    Big data    Data frameworks such as pandas, numpy, and scikit-learn    Data science principles    Streaming analytics    Batch analytics     Benefits   Erias Ventures provides employees with a complete benefits package that includes:      Above Market Hourly Pay that includes Paid Time Off, Birthday Off, Flexible Work Schedules    11% Roth or Traditional 401k with Immediate Vesting and Deposit    Company subsidized Medical Coverage    100% Company Paid Vision and Dental Coverage    100% Company Paid Long Term Disability, Short Term Disability, and Group Life Insurance    Monthly Internet and Telephone Reimbursement    Company Paid Professional Development and Training    Technology and Office Allowance for Equipment and Productivity Supplies    Quarterly Bonuses for Assisting with Business Development and Company Growth    Gift Cards and Gifts for Birthday and Work Anniversary    Morale Building and Company Events to Celebrate our Successes and Build our Community     At Erias Ventures, we are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.   Referrals   Know a cleared professional looking for more in their career? Want some extra money for the Summer? If so, drop us a line with their name and contact information and you could be eligible for a referral bonus of up to $10,000 for each successful hire.   Not seeing the right position? Drop us a line to be notified as we add new contracts and opportunities!' ' Work Location:      One location     Work Remotely      No     Job Type: Full-time   Pay: $150,000.00 - $245,000.00 per year   Benefits:      401(k)    401(k) matching    Dental insurance    Flexible schedule    Health insurance    Health savings account    Life insurance    Paid time off    Professional development assistance    Referral program    Retirement plan    Tuition reimbursement    Vision insurance     Schedule:      Monday to Friday     Supplemental Pay:      Bonus pay     Work Location: One location ",,,752
https://www.indeed.com/viewjob?jk=41ec135e3cf28612&from=web&vjs=3,190,Data Scientist,"Willetts Technology, Inc","Cumberland, MD 21502","  We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.   Responsibilities      Identify valuable data sources and automate collection processes    Undertake preprocessing of structured and unstructured data    Analyze large amounts of information to discover trends and patterns    Build predictive models and machine-learning algorithms    Combine models through ensemble modeling    Present information using data visualization techniques    Propose solutions and strategies to business challenges    Collaborate with engineering and product development teams     Skills      Proven experience as a Data Scientist or Data Analyst    Experience in data mining    Understanding of machine-learning and operations research    Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset    Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)    Analytical mind and business acumen    Strong math skills (e.g. statistics, algebra)    Problem-solving aptitude    Excellent communication and presentation skills    BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred     Job Type: Full-time   Pay: $75,000.00 - $95,000.00 per year   Benefits:      401(k)    Dental insurance    Health insurance    Paid time off    Vision insurance     Schedule:      Monday to Friday     Work Location: One location ",,,752
https://www.indeed.com/viewjob?jk=5cf3b059eab7ed04&from=web&vjs=3,190,Data Scientist,DSFederal Inc,"Rockville, MD 20850","  Description: DSFederal seeks a Data Scientist to provide evaluation and analysis activities for NIH. Job Duties/Responsibilities      Evaluation and enhancement of NLP and ML algorithms for classification of grant applications into scientific categories    Devise solutions that can work across various IC-specific processes for application referral    Use of historical data for model-building and validation    Mining administrative data for security and behavioral compliance using AI/ML    Conduct impact analysis and provide policy recommendations    Modernize text searching capabilities by incorporating thesaurus functionality and advanced features such as natural language query    Analyze large volumes of structured and unstructured data    Explore and enhance data models (text, numerical)    Provide better, quicker processing of increasing large volumes of data (scalable analytics)    Provide data quality control and harmonization service     . Requirements:      Strong data analysis experience required.     Job Type: Full-time ",,21 reviews,752
https://www.indeed.com/viewjob?jk=e11627bf86863529&from=web&vjs=3,190,Data Scientist Jr.,Optimal Solutions Group,"College Park, MD 20740","  General Description:    * Lead data scientists, senior researchers and software developers on projects bridging the gap between research and analytics by providing data-driven solutions across several policy areas.      Engage clients, research, and analytics staff teams in development of streamlined protocols to systematize workflow by designing integrated data systems generated through gathering requirements.    Develop schema, business rules and configuration testing processes.    Configuration systems management to capture information that can be used for quantitative analysis.    Direct the development of standardized protocols to manipulate information captured in a fixed format to usable data, using non-traditional data sources like scraping data from social media, mining data from natural language texts, as well as vectorizing images to create analytical dataset to inform policy decisions.    Develop complex statistical models, machine learning algorithms and deep learning networks to answer research questions, identify patterns and trends, reduce dimensionality of data and select meaningful features, as well as conduct predictive analysis.     * Direct experience with machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, and deep learning networks such as multi-layer perceptron, convolution network, and long-short term memory under neural networks.   * Work experience and job skills requirements: *      Experience using data science toolkits, such as R, Weka, NumPy, MatLab, Python, Panda and neural network frameworks such as Torch, Keras, Café, and Tensorfow.    Experience using data visualization tools, such as D3.js, GGplot, PlotLy, and Tableau.    Requirements gathering experience in developing schema, business rules, and test protocols.    Experience conducting tests for configuring and developing integrated data systems.    Experience working with query languages such as SQL.    Excellent knowledge of statistics and research methods and experience developing regression models.    Experience developing technical documentation for datasets, code, and data products.    Excellent verbal and written communication skills.     * Education Requirements: * BA/BS in Applied Mathematics, Applied Statistics, Operations Research, Economics, Business Analytics or a related field.   Job Type: Full-time ",,2 reviews,752
https://www.indeed.com/viewjob?jk=0a62ee88d3e07457&from=web&vjs=3,190,1629 Data Architect,Infoorigin inc,"Annapolis, MD","  Job Description:    We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company.   Roles and responsibilities:    Responsibilities: Install and configure information systems to ensure functionality Analyze structural requirements for new software and applications Migrate data from legacy systems to new solutions Design conceptual and logical data models and flowcharts Improve system performance by conducting tests, troubleshooting and integrating new elements Optimize new and current database systems Define security and backup procedures Coordinate with the Data Scientist to identify future needs and requirement Required skills: Bachelor's degree in mathematics, statistics, computer science or related field Strong knowledge of database structure systems and data mining. Strong math and analytical skills are essential to complete job requirements successfully Able to compile and organize statistical information retrieved and present findings to management Confident in decision making and the ability to explain processes or choices as needed Strong computer skills and ability to use necessary databases and software Excellent multitasking skills and task management strategies   Job Type: Full-time   Pay: $125,000.00 - $195,000.00 per year   Schedule:      8 hour shift     Experience:      Data modeling: 1 year (Required)     Work Location: One location ",,,752
https://www.indeed.com/viewjob?jk=87192dcc8eff3cc3&from=web&vjs=3,200,Data Scientist - Level 1,"OPS Consulting, LLC","Fort Meade, MD","OPS Consulting is seeking candidates for Data Scientists.  The position requires experience with: Analysis  Process Automation  Data Normalization  Data Visualization  Machine Learning  Statistics  Cloud Analytics  Scripting  Prototyping Analytics  Requirements:  Shall have a minimum of one year experience  A Bachelor’s Degree in Computer Science, Mathematics, or appropriate field may be substituted for the required year of experience.  Shall have demonstrated, detailed experience in at least two skill areas in at least two of the following categories:  Mathematics/Statistics Statistical Analysis  Modeling/Machine Learning  Graph Theory  Algorithm Design  Computer Science Scripting  Databases  Cloud Computing  Object-Oriented Programming  Domain Expertise/Analysis Current agency analytic tools and databases  SIGINT Collection Systems  Metadata Analysis  Data Mining  Presentation Data Visualization  Business Intelligence  Presentation Skills  Security Clearance:  A current government clearance, background investigation, and polygraph are required.",22 days ago,3 reviews,751
