URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=5523fc6ae8455e7d&from=web&vjs=3,260,SW Engineer - AI Interface,TA Digital,"Baltimore, MD","** We are not able to transfer visas at this time ** Location:  Anywhere in the US | Location Preference: Baltimore Area TA Digital is a digital transformation agency with 30-40% growth year-over-year focused on hiring leaders within the digital marketing space to support growth and build a scalable foundation for the future. Our vision is to provide innovative digital solutions and services by continuing to expand our leadership team and hiring superstars who may feel lost or marginalized within their current organizations. If you feel:  there are too many layers between you and decision makers  that your current organization will not make the right decision even after you identify problems and recommend viable solutions  you are ready for a bigger voice, larger platform or place for a stronger impact  …then you should consider TA Digital because we are ready to talk to you! Description:  As a SW Engineer, you join a team designing advanced pattern-based Artificial Intelligence systems for true machine intelligence by developing software that interfaces with our custom AI hardware enabling a new paradigm in Artificial Intelligence.  Responsibilities:  Work as a member of the software team throughout the full software development lifecycle to create robust, maintainable code  Follow best practices regarding change management and code quality  Follow internal software development CI/CD processes and make recommendations for improvement  Create and maintain interfaces for our custom AI hardware  Work with both interpreted and compiled code that integrate into complete products  Work with internal customers to define and develop new capabilities and tools for our AI platform, including but not limited to:  Writing custom visualization tools  Adapting off-the-shelf visualization solutions  Integrating existing AI libraries with our AI process  Work with Customer Engineering to assess bug reports and provide recommendations for improved documentation or software changes  Work with cloud providers such as AWS to deploy our solution in the cloud  Requirements  Bachelor’s Degree in Computer Science | MS/Ph.D in Computer Science or related field  Minimum of 3-5 years’ experience in software development  Experience development of statistical systems  Proficiency in Python, C/C++ and Linux  Experience working with AWS technologies  Excellent problem solving and analytical skills  Successful candidates must be self-motivated and an effective team leader Must be eligible to work in secured environments for government customers Benefits Compensation:  Base Salary, Benefits: Global Health, Dental, Vision, AD&D Insurance, Vacation / PTO / Holiday pay plus matching 401K, Tuition & Travel Expense Reimbursement as needed  About us:  TA Digital is the only global boutique agency that delivers the “best of both worlds” to clients seeking to achieve organizational success through digital transformation. Unlike smaller, regional agencies that lack the ability to scale or large organizations that succumb to a quantity-over-quality approach, we offer resource diversity while also providing meticulous attention to the details that enable strategic success. Over the past 20 years, TA Digital has positioned clients to achieve digital maturity by focusing on data, customer-centricity and exponential return on investment; by melding exceptional user experience and data-driven methodologies with artificial intelligence and machine learning, we enable digital transformations that intelligently build upon the strategies we set into motion. We are known as a global leader that assists marketing and technology executives in understanding the digital ecosystem while identifying cultural and operational gaps within their business - ultimately ushering organizations toward a more mature model and profitable digital landscape. Recognized in 2013, 2014, 2015, and 2019 Inc. 5000 list as one of the most successful technology companies in the United States, TA Digital is pleased also to share high-level strategic partnerships with world class digital experience platform companies like Adobe, SAP and Salesforce and possess global partnerships with industry leaders such as Sitecore, Episerver, Elastic Path, BigCommerce, commercetools, AWS, Azure and Coveo. TA Digital has offices in US, Canada, UK and India. For more information, visit: www.tadigital.com EOE & OFCCP Compliant regardless of:  Minority / Female / Veteran / Disabled / Sexual Orientation / Gender Identity / National Origin",30+ days ago,
https://www.indeed.com/viewjob?jk=42ad054679066c75&from=web&vjs=3,250,Senior Deep Learning Engineer,Robotic Research Llc,"Clarksburg, MD 20871","Company Overview Robotic Research has been developing cutting-edge software and hardware since 2002 and specialize in developing solutions for trucking, transit, logistics, and drone applications. We have autonomous vehicles operating today in four continents, including the largest autonomous truck fleet in the world and the first autonomous bus in North America. We offer a fast-paced environment where innovation comes first, and a breadth and depth of skills, knowledge, and interests are highly valued. Candidates will have ample opportunities to get their hands dirty testing their designs in our 40,000 square foot engineering and test facility (with 241 acres of testing area) located in Clarksburg, MD. We believe these technologies are on the cusp of revolutionizing these industries and are looking for new team members who want to make meaningful contributions to make this happen. In this role, you will be collaborating with a proven team of roboticists and entrepreneurs to provide comprehensive solutions that not only handle the ideal conditions, but in realistic, complex, and sometimes rugged conditions. Job Description Robotic Research, LLC is currently seeking applications for a full-time Senior Deep Learning Engineer. Deep Learning is a key component in how our autonomous systems perceive the world. Deep Learning perception plays a critical role in smoothly driving our vehicles in a variety of applications, including on-road mixed traffic and off-road autonomous applications. We are looking for a Deep Learning specialist to implement, tune, and test novel algorithms to enhance components such as segmentation, object classification, terrain classification, clustering, and tracking. You will also work closely with others to build the next-generation of autonomous sensing algorithms. Job Role Develop novel and efficient real time solutions for a wide variety of perception tasks. Research and apply deep learning to detection and perception challenges Understand new perception challenges by analyzing the real world data collected on our vehicle fleet. Creatively and collaboratively build deep learning models that can predict the future behavior of other road users in real-time Qualifications and Requirements Degree in computer science, robotics, or related field, or with equivalent industrial experience 2+ years of similar academic and/or professional working experience Software development experience in C++ and python Experience with at least one existing deep learning frameworks like Pytorch, Tensorflow, Caffe or other relevant machine learning libraries. Knowledge of deep learning topics such as detection, segmentation, pose estimation, and spatio- temporal analysis. Relevant publications in conferences is a bonus. Preferred Skills Experience in applying deep learning on autonomous vehicles. Experience in traditional ML methods (eg, regression, decision trees, and kernel methods) and strong knowledge of optimization.",30+ days ago,
https://www.indeed.com/viewjob?jk=2ae2873f65e009a5&from=web&vjs=3,250,Otter.AI | Speaker Identification Engineer,Recruiting From Scratch,"Chevy Chase, MD 20815","Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. About our Client Join our client in transforming the way remote teams work and communicate. Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting notes. In addition, we are making virtual meetings accessible to all employees - allowing team members with disabilities to participate in a world that is now dominated by virtual meetings.  With over 10M users experiencing their product, they are making an impact at scale and we are growing fast. The team is made up of top talent from companies like Google, Facebook, Yahoo!, Microsoft, Pinterest, Spotify, and Plaid. They are backed by leading investors that include David Cheriton (Google’s first investor), Tim Draper ( Draper Associates ), Spectrum Equity, Horizons Ventures, GGV Capital, and Duke University.  About this role Our client is seeking an experienced Speaker Identification Engineer (Junior | Senior | Staff) to join our technology team and solve challenging technical problems in processing collaborative voice conversations. Members of the technology team work as a group and with colleagues in engineering and product to devise and deploy new algorithms for speech recognition, speaker diarization, and recognition.  Qualifications M.S. in Computer Science or equivalent Strong programming skills with working knowledge of C++ and Python 1-3 years of experience working on DNN based speaker id and diarization system Experience with TensorFlow, PyTorch, or similar frameworks Experience working in a Linux environment Team player with good communication skills (oral and written)Qualifications Preferred Qualifications Ph.D. in Computer Science, Speech/Language Processing or Machine Learning Familiarity with the state of the art in deep learning Experience with end-to-end neural network based speaker recognition Experience with MapReduce, Spark, or similar frameworks Experience building crawlers Experience administering Linux clusters Experience developing web applications Employee Benefits Stock. Be a [literal] stakeholder in our company’s future.   Food. Enjoy catered meals and boundless snacks. Fun. We host team lunches weekly and team events bi-quarterly. People. Work with talented, collaborative, and friendly people who love what they do. Health and Saving. Receive the benefits of comprehensive health, dental, vision and disability insurance.",30+ days ago,
https://www.indeed.com/viewjob?jk=1423568963fc6ae3&from=web&vjs=3,250,AI Software Engineer (2-5 years exp),Knexus Research Corp.,"National Harbor, MD","US Citizenship Required, Remote  The Opportunity We are looking for an energetic and creative software engineer to join our AI applications team. You will gain firsthand experience in putting AI technologies into software products that help military commanders and business leaders make mission critical decisions. You will see and contribute to all parts of software development life cycle design, from design to delivery. The ideal candidate will be an individual with exceptional algorithmic, problem solving, and interpersonal skills, who will be able to hit the ground running. We will provide the necessary training and tools to help you produce world class software. Responsibilities  Collaboratively design, implement, and test decision support and simulation software using cutting-edge technologies including AI and machine learning components Develop modular systems in a distributed architecture such as with RESTful containerized micro services Review and analyze software runtime performance, make algorithmic and performance improvements Use agile development techniques  Qualifications and Experience  Degree in Computer Science or related field 2-5 years in software development including design, coding, and testing and delivery Mastery in object-oriented design and programming, knowledge of design patterns, and algorithmic analysis Proficient in one or more programming languages such as Python, Java, TypeScript, or C++ Experience with essential software development tools distributed version control  such as Git or Mercurial build frameworks  such as Gradle, Maven, or CMake unit test frameworks such as JUnit, or Python unittest  Bonus Experience Exposure to Artificial Intelligence and/or Machine Learning technologies Experience with discrete event simulation Experience with geo-spatial and/or temporal databases Experience performing scientific evaluations, experimentation, and comparisons. Familiarity with technologies such as Docker, Node, Spring, Flask Experience with database systems including SQL, NoSQL databases, and ORMs Experience with RESTful containerized micro services Experience with Kanban Workflow, GitFlow, and related software engineering practices  Interview and Selection  Applicants should be prepared to participate in a couple of remote interviews, a code test, pre-employment assessment tests, and possibly an on-site interview. We may also ask for coding samples or examples of your work, academic transcripts, and professional references.  Due to Federal Government contract regulations US Citizenship is required, as well as a Secret Clearance (either a current one or be eligible for one).",30+ days ago,
https://www.indeed.com/viewjob?jk=15c479579552a8ea&from=web&vjs=3,250,Data Scientist,Allegis Group,"7312 Parkway Drive South, Hanover, MD 21076","Overview: Job Summary The Data Scientist plays an integral role in the evolution of data insights. This candidate will have an initial focus general predictive modeling. The candidate will be intricately involved in running analytical experiments and will regularly evaluate alternate models via theoretical approaches. The candidate must understand how to effectively communicate insights gained from these models to leadership in terms of business value. The candidate should be innovative and forward thinking - developing solutions that can enable the organization to achieve its strategic goals and initiatives. Responsibilities: Essential Functions Understand our business objectives and processes, and the data that can describe and influence business results Develop, implement, and use a broad set of machine-learning models and quantitative techniques for prediction and classification Collaborate with the Product Owner and systems analysts to transform customer needs into actionable insights  Research and implement new statistical or other mathematical methodologies as needed to design and develop new conceptual models and algorithms Devise and test hypotheses that demonstrate causality and correlations between data and business results Design and implement statistical analysis and data quality procedures to understand and work around model limitations and to regularly augment and improve the models Identify new uses for data in pursuit of enhancements to business effectiveness and efficiency  Qualifications: Minimum Education and/or Experience Degree in Computer Science, Statistics, Mathematics or related technical field; Master's required Experience in advanced analytics, predictive modeling, machine learning, and solving challenging business problems. 5+ years' experience with relational databases and SQL 2+ years' experience developing natural language processing models, using NLP toolkits such as NLTK, OpenNLP, Stanford CoreNLP etc.  Extensive experience using scikit-learn, TensorFlow or equivalent machine and deep learning libraries Extensive proficiency in at least one of the following languages: R, Python, and Scala Strong statistical analysis background with a deep understanding of a variety of ML algorithms Skills and Abilities Ability to quickly prototype models with limited and/or ambiguous requirements, Ability to translate model results into business value and communicate findings to Executive Leadership, Product Owners, Experience Owners, and other key stakeholders (presenting findings to individuals who are not Data Scientists) Ability to work in a fast-paced multidisciplinary environment Strong written and verbal communication skills Ability to advise senior management in strategic decisions – from business use case prioritization to tool/software selection Other Desired Experience:  Developing in cloud-based platforms such as Google Cloud Platform, Microsoft Azure (specifically Cognitive Services), or AWS  Leveraging both structured and unstructured data sources. Experience working in a big data environment (e.g. Hadoop, Spark, NoSQL) Experience with data visualization tools such as Tableau and Power BI Experience with using services or ETL tools to deploy models Core Competencies Build relationships Develop people Lead change Inspire Others Think critically Communicate clearly Create accountability",30+ days ago,169 reviews
https://www.indeed.com/viewjob?jk=34f6ceebc6d2d424&from=web&vjs=3,250,Senior Informatics Specialist (Data Analyst),Association of Public Health Laboratories,"8515 Georgia Ave Ste 700, Silver Spring, MD 20910","Salary: $35,000/year Position Summary: The Association of Public Health Laboratories (APHL) was named a top Workplace for 2021 by the Washington Post! Who are We? APHL is a national nonprofit located in Silver Spring, MD that is dedicated to working with members to strengthen governmental laboratories with a public health mandate. We promote effective programs, public policy, and we strive to provide health laboratories with the resources and infrastructure needed to protect the health of residents of the United States and to prevent and control disease globally! The Association of Public Health Laboratories (APHL) is seeking applications from energetic, motivated, and innovative candidates for a Senior Informatics Specialist (Data Analyst) position who will be mainly responsible for data management procedures (including data analysis) of various studies within the Kenya Medical Research Institute’s Centers for Disease Control and Prevention (KEMRI-CDC) Diagnostics and Laboratory Systems Program (DSLP) as well as other APHL projects’ data management needs. This position will be based in Nairobi with occasional travel to other parts of the country where APHL is implementing its projects; while traveling within Kenya for work, this individual must follow COVID-19 travel and safety guidelines provided by both Kenya and APHL. This position reports to the APHL Kenya Deputy Country Director. APHL (www.aphl.org) works to strengthen laboratory systems serving the public’s health in the United States and globally. Duties & Responsibilities: Design and manage databases and data entry procedures Interpreting data and analyzing results using statistical techniques Develop and implement data analyses, data collection systems and other strategies to optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze and interpret trends or patterns in complex data sets Filter and clean data, and locate and correct code problems Programming for data manipulation/report writing Improve data collection procedures Perform data cleaning, processing and validating the integrity of data Deal with routine problems arising in the course of data handling Develop standard operating procedures (SOPs) for all data management related procedures Verify data input and correct errors Train staff on data analysis and manipulation skills Provide timely reports and feedback to the laboratory management/study investigators regarding the status of data, detected deficiencies and corrective action needed in databases Perform other duties as assigned by the branch management Coordinate and work with diverse groups or organizations and stakeholders including Ministry of Health (MoH), laboratory leaders and laboratory facility staff, international development organizations, KEMRI, APHL HQ and CDC Other duties as assigned and requested Employment Standards- Education and Experience: Bachelor’s degree in Statistics, Mathematics, Information/Computer sciences or equivalent from a recognized university Minimum of 3 years’ experience as a data analyst or similar duties Adept at queries, report writing and presenting findings Experience in cleaning data and performing quality assurance procedures Should be able to program in Microsoft Visual Studio Be familiar with SQL databases  Knowledge: Knowledge of SAS programming for data manipulation/report writing Experience with SQL-based programming and knowledge ASP.net or/and PHP programming Ability to develop an in-depth understanding of study goals and its implementation Ability to manage and lead staff Ability to supervise and work as a team, with good interpersonal skills Excellent knowledge of at least one statistical analysis package (R, SAS, STATA, SPSS) and experience in handling relational databases Experience in collating, sampling, computing, analysis and presentation of statistical data by applying statistical techniques such as logistic regression, Poisson regression, sample survey estimation procedures, nonparametric statistics, and general linear models Experience in managing/ensuring data quality Experience or ability to set up wireless networks Microsoft Visual Studio programming High qualities of public relation and able to work with little or no supervision Skills: Demonstrable skills in at least one statistical package for data manipulation, preferably R, STATA, SPSS, SAS or related software Strong analytical skills with ability to collect, organize, analyze and disseminate significant amounts of information with attention to details and accuracy Abilities: Ability to design/develop computer databases, and experience working with relational databases Ability and willingness to learn additional skills on the job Special Requirements: Travel is required to APHL headquarters in Silver Spring, MD bi-annually. This trip is not eligible for reimbursement. All offers of employment are contingent on the candidate showing proof of being fully vaccinated against COVID-19. Individuals with medical issues or religious beliefs and/or practices that prevent them from getting the vaccine may request an exemption from the vaccine requirement. Work Environment: Work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee could be exposed to outdoor weather conditions prevalent at the time. The noise level in the work environment may vary from light to moderate depending on the location. Physical Demands: The physical demands described here are representative of those that must be met by a colleague to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the colleague is required to sit for long periods at a time; type using a computer keyboard; visually read information off of a computer monitor; talk, hear, and orally communicate information over the telephone. Specific vision abilities required by the job include close vision and color vision and the ability to adjust focus. Criteria for Evaluation: Performance evaluation will be based on the abilities in meeting the criteria outlined herein. Reports To: APHL Kenya Deputy Country Director Direct Reports: None Position Description Status: The duties and responsibilities listed in this job description are illustrative ones anticipated for this position. Other duties and responsibilities may be assigned as required. Association of Public Health Laboratories (APHL) reserves the right to amend or change this job description to meet the needs of its programs. This job description and any attachments do not constitute or represent a contract. Association of Public Health Laboratories is an Equal Opportunity Employer.",30+ days ago,9 reviews
https://www.indeed.com/viewjob?jk=19e7b52d65ced9cf&from=web&vjs=3,250,Statistical Analyst,American Urological Association,"1000 Corporate Blvd, Linthicum Heights, MD 21090","The American Urological Association (AUA), the premier urologic association providing support to the urologic community, is currently searching for a detail-oriented candidate for our Statistical Analyst/Statistician position. This position is temporarily remote and will have the possibility to telecommute up to 3 days a week. In General The Statistical Analyst/Statistician position is responsible for analyzing clinical, health outcome and health workforce data in order to support practice and the profession of urology and improve patient outcomes and public health. Analyze primary and secondary data utilizing existing databases from the AUA Quality (AQUA) Registry, AUA annual census, federal government agencies and other health organizations. Typically The individual in this position will: Assist in exploring internal and external databases. Assess and gather data from various sources. Analyze data to support statistical consulting and other data projects. Assist in survey implementation, analysis and reporting. Clean datasets to remove errors and ensure accuracy and consistency. Merge multiple datasets through data linkage techniques. Present findings from data analysis in tables, charts, graphs or spreadsheets. Support project development and execution. Assist in writing analytical reports and answering questions concerning the results. To be Successful Candidates must be able to problem solve while working in a fast-paced, detail-oriented environment. It is essential that the individual in this role have strong organizational and planning skills. In addition: Bachelor’s degree required, Master’s degree preferred. Degree in statistics, math, data science, or other disciplines with strong quantitative training required. One year (with a Master’s degree) or two years (with a Bachelor’s degree) of full-time work experience in statistical analysis and/or statistical consulting required. Experience in using large, complex health related databases such as clinical data, health insurance claims, electronic health records, health administrative databases, and national health surveys desired. Familiarity with one or more statistical programs such as SPSS, R, SAS or other data mining tools. Strong computer skills including Microsoft Word, Excel and PowerPoint. May be required to work some evenings and weekends. Working at AUA is more than just being technically proficient. We also look for candidates who possess the following competencies: Thoroughness Time Management Technical Collaboration Effective Communication Problem Solving/Analysis Adaptability Learning ability Cooperative Ability to prioritize competing demands and projects   What we have to Offer We strive to create a positive experience for employees through our commitment to effective talent acquisition and onboarding, talent management and career development, providing a positive working environment, and our focus on physical, mental, and financial wellness. We offer a highly competitive total compensation package that includes medical, dental, and vision insurance; discretionary contribution and 403(b) plans; generous leave program; paid holidays; sick leave; on-site gym; company-paid life, LTD, and STD insurance; beautiful facility; very generous contributions to continuing education and tuition reimbursement. We welcome interested and qualified candidates to apply for this position by visiting our Career CenterOpens a New Window.. No relocation is available for this position. If you are hired, we will require you to prove that you have received the COVID-19 vaccine or have a valid religious or medical reason not to be vaccinated. If you have any questions, please contact hr@auanet.org and we will be happy to help.",5 days ago,11 reviews
https://www.indeed.com/viewjob?jk=fda6fd62c4700225&from=web&vjs=3,250,Machine Learning Software Engineer,In-Depth Engineering Corporation,"6731 Columbia Gateway Dr, Columbia, MD 21046","In-Depth Engineering seeks junior and mid-level Software Engineers to support the develop of machine learning applications for the US Navy. We seek self-starters capable of independent effort as well as participation on a small team. Experience with DoD processes, software environments and tools preferred, but not required.  The work will be performed in our Research and Development Lab in Columbia, MD. Duties: Develop software prototypes for Artificial Intelligence and Machine Learning (AI/ML) models Utilize modern software automation tools in an agile process to develop production C++ and/or Java software for deployment of AI/ML models. Develop test tools and Minimum Viable Products (MVPs) for AI/ML applications Prepare and present engineering material within the peer review process and to customer as appropriate Qualifications: Must be a U.S Citizen BS or MS in CE, EE, Software Engineering, Mathematics or Physics. Proficient with C++, Java, R, SQL, Python, and Scala Ability to communicate effectively orally and in writing Experience / knowledge with neural networks is a plus Possess or have the ability to obtain DoD secret clearance  Preferred Qualifications: Experience building, scaling, and optimizing ML systems Experience building production-ready data pipelines that feed ML models Experience with an industry recognized ML framework such as scikit-learn, PyTorch, Dask, Spark, or TensorFlow Experience with data gathering and preparation for ML models Experience designing, implementing, and scaling complex data pipelines for ML models and evaluating their performance In-Depth Engineering remains committed to hiring during the period of uncertainty associated with COVID-19. We have implemented extensive COVID-19 policies and procedures; A condition of your employment includes providing proof of full vaccination status for COVID-19, subject to any applicable federal or state law accommodation requirements. Proof of first vaccination must be submitted prior to your start date. Proof of second vaccine dose must be submitted within the manufacture’s recommended time frame. Mandatory use of face masks Practice social distancing in a low-density engineering lab environment and, We provide continuous cleaning In-Depth Engineering provides a competitive package of salary and benefits, including medical, dental, and vision coverage, a Safe Harbor 401(k) program, generous Paid Time Off (PTO), STD, LTD, life insurance, and tuition assistance for higher education. Prospective employees will receive consideration without discrimination because of race, creed, color, sex, age, national origin, or handicap. We are an Equal Opportunity Employer.",6 days ago,13 reviews
https://www.indeed.com/viewjob?jk=7d0672fe0bf9a9ca&from=web&vjs=3,250,AI Scientific Analyst,Riverside Technology Inc,"College Park, MD 20740","Riverside Technology, inc. (Riverside), a leading international engineering and consulting firm providing scientific analysis, scientific applications development, systems engineering and GIS services to Federal agencies, international clients and state governments, is seeking a Software Engineer to support the National Oceanic and Atmospheric Administration's (NOAA's) National Centers for Environmental Information (NCEI). This position will be performed remotely until we can safely return to our regular office environment. At that time the position may transition to working onsite at least 1-2 days per week at NOAA/NCEI in Asheville, North Carolina. The Position The Data Access and Development Team at NOAA’s National Centers for Environmental Information is charged with an important and publicly visible mission: Provide access to NOAA’s vast archive of climate data to the public. As a Data Access and Development Full Stack Software Engineer, you will work on a small team using the Agile Scrum Methodology to build a reactive, configuration-based data pipeline with a microservices architecture. Most of the microservices are Java + Spring Boot RESTful API’s, the search capability is provided by Elasticsearch, the user interface is an Angular 2+ app, and data is moved around with Python. The whole application is version controlled by Git (and Gitlab) and tickets are managed by Jira. The future of the project is to integrate message queueing and ultimately migrate functionality to Apache Nifi. Will need a strong background in facilitating team education and migration efforts in parallel. Requirements Required skills: Proficiency with Java and Spring Framework (5+ years) Use of Node and NPM (3+ years) Understanding of RESTful APIs in a microservices architecture Proficiency with Javascript (5+ years); Python; Elasticsearch; and Git Experience with Agile Scrum Methodology Familiarity with Javascript framework (Angular, React, Vue, etc) Continuous integration/deployment with cloud based tools or tools like Jenkins and Ancible (3+ years). Strong time management and problem-solving skills Ability to work independently and cross-functionally with attention to detail 16+ years of total related experience, which may include education Must be able to pass a background investigation to obtain a security badge to enter the applicable government facility Must be fully vaccinated against Covid-19 by December 8, 2021 in order to comply with Executive Order 14042 Preferred Skills: Experience with cloud computing and practices. AWS experience preferred. Familiarity with Apache NiFi Familiarity with Message queueing Familiarity with Testing framework (Unit, Integration, e2e) Understanding of MVC pattern Benefits Riverside offers a comprehensive benefits package that includes: Attractive medical, dental, and vision insurance coverage that begins on date of hire Company paid short-term disability, long-term disability, and group life insurance 401(k) with company match and immediate vesting Paid time off and paid holidays Flex/health spending accounts, pet insurance, and tuition reimbursement",30+ days ago,4 reviews
https://www.indeed.com/viewjob?jk=b2f9039dbd224242&from=web&vjs=3,250,Data Science and Tagging Analyst,Xator Corporation,"Bethesda, MD","Xator seeks enthusiastic, positive, and proactive self-starters to join our team. Our leadership aims to attract and retain the best and brightest employees, maintain an environment built on trust and pride, and encourage individual and team achievements. We uphold ourselves to an exceptional professional standard of conduct, setting ourselves apart from our competition. Xator is dedicated to creating and maintaining a lifelong learning environment. We encourage forward-thinking, innovation, and out-of-the-box ideas in an inclusive environment. Our training and continuing education programs allows us to constantly improve services and deliver innovation to our customers. We invest in our employees and they, in turn, advance our clients' mission. Clearance Requirement:  Active or Current TS w/ a current SCI and Polygraph. POSITION OVERVIEW The contractor shall provide support to ODNI by serving as a data science analyst responsible for analyzing internal and third party data and creating visual products for senior government leadership. :  The ODNI metrics program collects government-wide performance data for the timeliness and quality of personnel security processes, reciprocity actions and compliance with existing policies. In addition to assessing timeliness, the program is developing standardized measures and metrics to address the growing population of out-of-scope investigations, quality of personnel security investigations and reciprocal recognition of clearances. DUTIES AND RESPONSIBILITIES (ESSENTIAL FUNCTIONS) Minimum five (5) years of experience manipulating data sets and building statistical models, and familiarity with: Coding knowledge and experience with several languages (C, C++, Java, JavaScript, etc.); Statistical and data mining techniques (Regression, Random Forest, Boosting, Trees text mining, social network analysis, etc.); Querying databases and using statistical computer languages (R, Python, etc.); Using web services (Redshift, Spark, DigitalOcean, etc.); and Creating and using advanced machine learning algorithms and statistics (regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.). These five (5) years may be concurrent with requisite years of experience. Strong problem solving skills with an emphasis on product development. Proven ability to drive business results with data-based insights. Demonstrated expertise with developing and implementing data management strategies, processes, and technical solutions. Demonstrated expertise with one of the key data management knowledge areas: data management, data quality, metadata management, data governance, data modeling and design, data storage and operations, data integration and operability, document and content management, reference and master data. Outstanding oral and written communication skills with the ability to conduct independent research, filter and synthesize data, and produce clear, logical, and concise recommendations to policy and decision-making data management and governance professionals. Outstanding interpersonal skills, including the ability to work independently and in a team or collaborative environment, to work with all levels of employees from support staff to senior leadership, and to be proactive and responsive in communicating with all stakeholders. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. JOB REQUIREMENTS AND QUALIFICATIONS Applicable degrees(s): Computer Information Systems, Computer Science, Database Administration, Data Science, Engineering, IT Management, Mathematics, or Statistics or another quantitative field. Minimum five (5) years of experience manipulating data sets and building statistical models, and familiarity with: Coding knowledge and experience in several languages (c, C++, Java, Javascript, etc.) Statistical and data mining techniques (regression, random forest, boosting, tree, text mining, social network analysis, etc) Querying databases and using statistical computer languages (R, Python, etc.,) Using web services (Redshift, Spark, DigitialOcean, etc.,) Creating and using advanced machine learning algorithms and statistics These five (5) years may be concurrent with requisite years of experience Strong problem-solving skills with an emphasis on program management or product development. Proven ability to drive business results with data-based insights. Demonstrated expertise with developing and implementing data management strategies, processes, and technical solutions. Demonstrated expertise with one of the key data management areas: data management., data quality, metadata management, data governance, data modeling, design, storage and operations, data integration and operability, document and content management, reference and master data. Outstanding oral and written communication skills with the ability to conduct independent research, filter and synthesize data and produce clear logical and concise recommendations to policy and decision-making data management and governance professionals. Outstanding interpersonal skills, including the ability to work independently and in a team or collaborative environment, to work with all levels of employees from support staff to senior leadership, and to be proactive and responsive in communicating with all stakeholders. Knowledge of advance statistical techniques and concepts (regression, properties of distributions, statistical test and proper usage, etc) and experience with applications Desired Skills : Experience analyzing data from 3rd party providers (Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.). Experience visualizing/presenting data for stakeholders using (Periscope, Business Objects, etc.). Demonstrated expertise managing competing priorities while maintaining a high level of attention to detail; demonstrated ability to work effectively with senior leaders in a high profile and demanding office. Outstanding analytical and critical thinking skills, including the demonstrated ability to think strategically, identify needs and requirements, and develop recommendations and solutions. Outstanding leadership and managerial capabilities, including the ability to effectively direct tasking, and assess and manage performance. Knowledge of the IC, ODNI, DoD, and the overall national security apparatus. On September 24, 2021, the U.S. Government’s Safer Federal Workforce Task Force issued “2021 Guidance for Federal Contractors and Subcontractors” mandating that Covered federal contractors, including Xator Corporation, and their employees shall be fully vaccinated for COVID-19. Therefore, this position may require individuals to be fully vaccinated (2 weeks past final dose) or have been granted a religious or medical accommodation by December 8, 2021 or shortly thereafter.  Equal Opportunity Statement Xator Corporation, and its Subsidiaries, provides equal opportunity to all applicants for employment as required by and/or consistent with applicable country law and company policy. Consistent with the foregoing, Xator Corporation provides qualified applicants consideration for employment without regard to race, color, religion, sex, national origin, age, disability, veterans’ status, citizenship, sexual orientation, gender identity or any other status(s) protected by law. In the United States, Xator Corporation ensures nondiscrimination in all programs and activities in accordance with Title VI of the Civil Rights Act of 1964.  0Ocpns13rp",27 days ago,40 reviews
