URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=fc8a92b3bd62423c&from=web&vjs=3,10,Senior Data Analyst,Gainwell Technologies,"Augusta, ME 04330","Job Description:  Essential Job Functions Designs, implements and maintains complex databases, access methods, access time, validation checks, organization, protection and security, documentation, and statistical methods to ensure that client requirements are satisfied. Reviews and edits data requirements and documents according to required standards by utilizing prescribed tools and methods to ensure that design and implementation are according to company guidelines and client specifications. Provides overall monitoring of standards and procedures and suggests revisions when necessary to ensure updated guidelines to meet changing market demands and consistency across databases. Applies data analysis or data modeling techniques to establish, modify or maintain complex data structures and their associated components to increase efficiency of structures and components. Investigates and resolves technical matters of significance within databases by analyzing and determining possible causes to ensure client satisfaction. Provides work direction and guidance to less experienced personnel using the data structures and associated components to ensure that business specifications are met. Provides training in data modeling techniques and in incorporating data modeling into information systems to ensure consistency in development and maintenance of database structures across the company. Researches business objectives and data requirements of client to ensure that developed databases meet client needs. Communicates with clients about data-related discrepancies and other matters of significance to ascertain information and correct errors. Basic Qualifications Bachelor's degree in information systems, computer science or related field preferred, or equivalent combination of education and experience 6+ years of experience in data analysis Experience working with data administration, repository management, database creation techniques, and data warehousing standards, strategies, and tools Experience working with business processes and the technology industry 5+ years of experience working with dashboard and reporting tools 5+ years of experience in Medicaid, Healthcare Other Qualifications Good research, data analysis and problem-solving skills Good communication skills to communicate with designers, management and customers Training skills to provide data-modeling and implementation training to less experienced personnel Ability to work independently and as part of a team Ability to create and maintain formal and informal networks Ability to handle multiple tasks simultaneously and switch between tasks quickly",28 days ago,40 reviews
https://www.indeed.com/viewjob?jk=1e5b72e1d221e4b8&from=web&vjs=3,10,Sr. Data & ML Engineer,"Amazon Web Services, Inc.",Maine," Bachelor’s degree in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience  8+ years of experience of Data platform implementation  3+ years of hands-on experience in implementation and performance tuning of Kinesis, Kafka, Spark or similar implementations  Hands on experience with building data or machine learning pipeline  Experience with one or more relevant tools (Flink, Spark, Sqoop, Flume, Kafka, Amazon Kinesis)  Experience developing software code in one or more programming languages (Java, JavaScript, Python, etc)  Current experience with hands-on implementation  At Amazon Web Services (AWS), we’re hiring highly technical Data and Machine Learning engineers to collaborate with our customers and partners on key engagements. Our consultants will develop and deliver proof-of-concept projects, technical workshops, and support implementation projects. These professional services engagements will focus on customer solutions such as Machine Learning, Data and Analytics, HPC and more. In this role, you will work with our partners, customers and focus on our AWS offerings such Amazon Kinesis, AWS Glue, Amazon Redshift, Amazon EMR, Amazon Athena, Amazon SageMaker and more. You will help our customers and partners to remove the constraints that prevent them from leveraging their data to develop business insights. AWS Professional Services engage in a wide variety of projects for customers and partners, providing collective experience from across the AWS customer base and are obsessed about customer success. Our team collaborates across the entire AWS organization to bring access to product and service teams, to get the right solution delivered and drive feature innovation based upon customer needs. You will also have the opportunity to create white papers, writing blogs, build demos and other reusable collateral that can be used by our customers. Most importantly, you will work closely with our Solution Architects, Data Scientists and Service Engineering teams. The ideal candidate will have extensive experience with design, development and operations that leverages deep knowledge in the use of services like Amazon Kinesis, Apache Kafka, Apache Spark, Amazon Sagemaker, Amazon EMR, NoSQL technologies and other 3rd parties. Inclusive Team Culture Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust. Work/Life Balance Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed. Mentorship & Career Growth Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future. This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.   Masters or PhD in Computer Science, Physics, Engineering or Math.  Familiar with Machine learning concepts  Hands on experience working on large-scale data science/data analytics projects  Hands-on experience with technologies such as AWS, Hadoop, Spark, Spark SQL, MLib or Storm/Samza.  Experience Implementing AWS services in a variety of distributed computing, enterprise environments.  Experience with at least one of the modern distributed Machine Learning and Deep Learning frameworks such as TensorFlow, PyTorch, MxNet Caffe, and Keras.  Experience building large-scale machine-learning infrastructure that have been successfully delivered to customers.  Experience defining system architectures and exploring technical feasibility trade-offs.  3+ years experiences developing cloud software services and an understanding of design for scalability, performance and reliability.  Ability to prototype and evaluate applications and interaction methodologies.  Experience with AWS technology stack.  Written and verbal technical communication skills with an ability to present complex technical information in a clear and concise manner to a variety of audiences.  For employees based in Colorado, this position starts at $122,300 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",30+ days ago,"76,982 reviews"
https://www.indeed.com/viewjob?jk=c2a32244d91f653a&from=web&vjs=3,10,Co-Op Data Scientist (Supply Chain),Supply Chain Services,"145 Pleasant Hill Rd, Scarborough, ME 04074","Address:  USA-ME-Scarborough-145 Pleasant Hill Rd Store Code:  Supply Chain Admin-Falcon (2760959) ADUSA Supply Chain Services is a supply chain company of Ahold Delhaize USA, providing services to one of the largest grocery retail supply chains in the nation. ADUSA Supply Chain Services includes functions that support the end-to-end supply chain operations, such as human resources, finance, business process management, research & development, innovation, sales and operations planning, data and analytics, vertical integration and e-commerce operations and logistics. ADUSA Supply Chain Services fosters a culture that inspires and empowers our associates to always deliver exceptional service and value. Our team is supporting the supply chain network evolution to an integrated self-distribution model of the future, serving leading omnichannel grocery brands – Food Lion, Giant Food, The GIANT Company, Hannaford and Stop & Shop. To learn more about our company and the other supply chain companies of Ahold Delhaize USA, visit www.adusasupplychain.com. Our Business Intelligence & Analytics team specializes in delivery of next generation data platform, information driven reporting solutions and works to align technology solutions with business objectives. This development position exposes associates to Cloud technologies and Business Intelligence tools including enterprise data lake, large scale databases, ETL and reporting tools. This position will be responsible for technical design and development of analytical models, translating requirements into reporting solutions, automating testing and continuous experimentation/training to deliver effective solutions. The assignment will include solving real business challenges through both short term operations-focused and long-term research-based projects.  Qualifications: Knowledge of statistical and predictive modeling concepts and disciplines including machine learning algorithms Exposure to Deep Learning and Reinforcement Learning Knowledge of analytics tools and platforms (preferably Microsoft Azure). Experience with PowerBI is a plus. Ability to propose analytical strategies and solutions as a business need Analyzing source system data and data flows, working with structured and unstructured data Understanding of data streaming concepts. Knowledge of tools such as Kafka, Event Hubs is a plus Manipulating high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Experience and/or interest in employing DevOps practices to deploy robust AI/ML solutions Must possess the ability to effectively communicate using strong verbal, written and listening skills Must be able to adapt quickly to change without being afraid to take on new responsibilities in a fast-paced team environment while being proactive and action-oriented Knowledge of industry-leading practices Ability to come up with creative technical ways to resolve application and system issues Understanding agile development methodologies or concepts; experience with is a plus Excellent diagnostic, debugging, and troubleshooting skills Proficiency in coding Python and/or R   This Co-Op runs from Jan 2022-May 2022*  We are an organization that values diversity and encourages all qualified individuals to apply without regard to sex, race, color, ancestry, national origin, citizenship status, religion, age, marital status (including civil unions), military service, veteran status, pregnancy (including childbirth and related medical conditions), genetic information, sexual orientation, gender identity, legally recognized disability, domestic violence victim status or any other characteristic protected by law. Our organization is committed to working with and providing reasonable accommodations to individuals with disabilities, including applicants. If you have a disability and require assistance in the application process, please email recruiting@adusasc.com  Job Requisition:  208435_external_USA-ME-Scarborough",30+ days ago,14 reviews
https://www.indeed.com/viewjob?jk=7a2b998ec219a35c&from=web&vjs=3,10,,,,,,
https://www.indeed.com/viewjob?jk=0173e405a3d08fe2&from=web&vjs=3,10,Sr. Analyst Data Scientist,L. L. Bean,"Freeport, ME","We invite you to be part of our team of trailblazers dedicated to helping people discover and enjoy the outside. Come join us. Because on the inside we’re all outsiders. And if it’s outside, we’re all in. We are looking for an experienced data scientist, analytics professional to join our growing Customer Marketing and Analytics department, headquartered in Freeport, Maine and currently working remotely. This individual will join the LLB Analytics team, reporting to the Manager of Marketing Analytics with extensive analytics expertise and experience, as well as a strong track record of innovation and people development. The candidate will be able to engage as a collaborative thought-partner with their leader and the larger Marketing and Analytics organization, to meet identified analytics and modelling needs and areas of opportunity or optimization. The data scientist, analytics professional will create and support analytical tools, generate targeted insights, and develop data and models. The ideal candidate is an independent and inquisitive analytics professional with a drive to help advance the business and problem-solve, as well as a strong communicator to broad audiences regarding their highly-specialized work. They will provide analytical and modeling support to marketing, ecommerce, customer development, pricing, and merchandise teams. Responsibilities: Discover interesting and meaningful patterns in data using pattern recognition, statistics, data mining, machine learning and artificial intelligence Build and deploy business intelligence and predictive analytics to enable smart decision making and efficient deployment of marketing efforts Develop tools for exploratory analyses Serve as department expert on data access and manipulation of large and complex, structured and unstructured data Support projects that advance L.L.Bean’s data infrastructure and environment, both on-premise and cloud Leverage Google Cloud Platform for cloud computing, data pipelining, and database generation Writing, validating, and integrating complex SQL queries Help build advanced analytical capabilities through an awareness of industry best practices Visualize and communicate analytical findings to a broad audience   Qualifications: 4+ years experience in a marketing role or decision support role Extensive data analysis and statistical modeling experience Proven ability to perform complex queries and analyses using SQL Experience in BigQuery, Python and R is a plus Experience doing data analytics on big datasets High degree of problem solving and reasoning abilities Understanding of efficient database/data design principles Exceptional organizational and communication skills Education Level: BA/BS degree (graduate degree a plus)  Health and Safety Requirement: Every employee is responsible for contributing to a safe and healthy workplace. Employees are expected to be active participants in health and safety by following all safety policies and procedures, reporting unsafe conditions or at-risk behaviors to leadership, and conducting work in a safe manner. Those in a leadership role are also expected to model safe behaviors, evaluate risk, and ensure that risks are reduced to acceptable levels. If you care about the outdoors, joining L.L.Bean is a great way to feel good about what you do. Our benefits package makes a good thing even better, with programs and perks designed to support your health and financial goals. Plus, maintaining a healthy work-life balance and re-charging outside are all part of the plan. Because, when it comes to the outside—we’re all in. Visit llbeancareers.com to learn more. Being outside brings out the best in us, no matter where we come from or what we believe. At L.L.Bean, we value individual differences and encourage our co-workers to be themselves – because the uniqueness of each individual makes L.L.Bean better.",22 days ago,757 reviews
https://www.indeed.com/viewjob?jk=5ccf332613e80b64&from=web&vjs=3,10,Data Scientist-Insurance,Unum,"2211 Congress St, Portland, ME 04102","Job Posting End Date: January 01 Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace. Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US. General Summary: General Summary This position for a developing data scientist who is excited to transform data into actionable insights and impact the business through his/her work. The role requires increasing technical expertise in the fields of computer programming, applied statistics and data manipulation; and relies on developing business knowledge. The individual will participate in project work primarily within the functional area, with direction and review by manager. The individual is expected to continuously increase business knowledge and take initiative in identifying and executing analytical approaches to support assigned projects.  Position will interface with actuaries on pricing, reserving, and risk. Principal Duties and Responsibilities Design and execute analytical solutions using statistical, optimization, simulation and data mining methods with a focus on delivering actionable insights and partnership to deliver business value. Integrate large volume of data from different sources (including DB2, SQL Server, Web API and Teradata) to create data assets and perform analyses Apply validation, aggregation and reconciliation techniques to create rich modeling-ready data framework. Construct predictive models using machine learning to explain and understand observed events, forecast expected behavior, or identify risk through scoring or clustering. Efficiently interpret results and communicate findings and potential value to manager. Support integration of solutions within existing business processes using automation techniques. Understand theory and application of current and emerging statistical methods and tools. Perform other related duties as assigned Job Specifications Bachelor’s degree in quantitative field is preferred 2 years preferred of professional experience or equivalent relevant work experience Core Data Science Capabilities:  Deep expertise in at least one of the following skillsets preferred, with basic capability in the others: Programming & Process automation: Experience using APIs, file I/O, database, and analysis libraries. Understanding of programming in jupyter notebooks and/ or statistical packages. Understanding of process mapping and demonstrated application of scripting languages to automate processes. Exposure to data mining and web scraping. Data Visualization: Working knowledge of two or more data visualization tools and proficiency in static data visualization. Basic understanding of dynamic data visualization Statistics & Statistical modeling: Solid understanding of statistical inference and regression. Basic understanding of machine learning techniques including random forests and neural nets. Basic understanding of feature selection and extraction which may include analysis of categorical data, multiple comparisons, Central Limit Theorem, bootstrapping, and permutation tests Data Extraction, Transformation, and Loading  (ETL) skillsets preferred: Expertise in writing complex SQL queries that join multiple tables/databases. Given a business problem, independently explore databases/tables to identify best data sources. Demonstrates ability to troubleshoot complex SQL queries written by others with little guidance. Core business capabilities : basic communication skills, exposure to financial services industry, and attention to detail and ability to prioritize while working on multiple projects keeping track of due dates Leadership Capabilities:  Ability to coach or mentor team members, respond quickly and positively to change, adheres to technical best practices by collaborating with team members to deliver high quality output Preferred characteristics : Entrepreneurial self-starter. A thorough, results-oriented problem-solver, and a lifelong learner with voracious curiosity. Basic understanding of their organization. ~IN1 #LI-CM1  Our company is built on helping individuals and families, and this starts with our employees. We want employees to maintain a positive balance, which is why we provide access to the benefits and resources they need to invest in themselves. From our onsite fitness facilities and generous paid time off to employee professional development programs, we are committed to helping employees live and work their best – both inside and outside the office. Unum is an equal opportunity employer, considering all qualified applicants and employees for hiring, placement, and advancement, without regard to a person's race, color, religion, national origin, age, genetic information, military status, gender, sexual orientation, gender identity or expression, disability, or protected veteran status. Company: Unum",30+ days ago,697 reviews
https://www.indeed.com/viewjob?jk=a6a3ef8e3fe9f7db&from=web&vjs=3,10,Senior Data Analyst; Public Health,University of Southern Maine,"96 Falmouth St, Portland, ME 04103","The Muskie School of Public Service at the University of Southern Maine is pleased to announce an opening for a full-time Senior Data Analyst to join their dynamic team.  The Senior Data Analyst is responsible for conducting data analyses for complex health services research and evaluation projects. Responsibilities include writing complex statistical programs using large healthcare and public health administrative data sets, negotiating, and managing subcontracts with consultants and subcontractors, analyzing data, and interpreting results, and ensuring quality and integrity of work by project team members. The Senior Data Analyst is also responsible for preparing project reports and disseminating findings via presentations and published articles.  This position is full-time, Monday – Friday, with the possibility of remote work. This position will pay a salary of $80,000.  KNOWLEDGE, SKILLS, AND ABILITIES:  Experience in developing and managing health policy, research, program evaluation, or deliver system design using administrative claims data (ie., Medicaid, Medicare, All Payer Claims Data, commercial).  Ability to apply practical or technical knowledge and experience to policy issues.  Ability to work on multiple projects.  Demonstrated record of data analyses and programming for health services research.  Experience in proposal/project development.  Ability to prepare policy-relevant reports and presentations.  Knowledge and competence in interpreting quantitative data.  Strong attention to detail; ability to work on multiple tasks and meet deadlines.  Excellent oral and written communication skills.   For a complete job description click here.  The University community is committed to building a culturally diverse team of leaders, faculty, and staff. We welcome applicants who are multilingual. Women, minorities, individuals with disabilities, and veterans are encouraged to apply.  We live our USM Service Promise, “Student Focused Every Day” and we are looking for a team member who understands that promise and supports our values: Respect & Care, Integrity, Equity and Responsiveness.  The University of Southern Maine provides a highly competitive benefits package that includes: holidays, vacation and sick time; health, dental and vision insurance; life insurance; short and long term disability insurance; a tuition waiver program for employee and eligible dependents; a 403(b) retirement plan; and more.  Want to know more about employment, benefits, and local resources? Our Employment webpage has additional information to help you become more familiar with developing a new career at USM as well as exploring everything the greater Southern Maine area has to offer.  Qualifications: Doctorate and two years of experience  OR  Master’s degree and six years of relevant work experience.  Knowledge of and experience analyzing healthcare administrative claims and eligibility, and other large public health datasets.  Knowledge of HIPPA and data security practices and working with Protected Health Information (PHI) in protected data security environments.  Other Information: The University of Maine System (UMS) is considered a federal contractor and, therefore, is required to comply with Executive Order directives regarding Covid vaccinations. As of January 4, 2022, new hires are required to be fully vaccinated or have submitted a request for a religious or medical exemption on or prior to their start date. Please visit  Together for Maine  for more information on USM's successful contribution to our Covid-19 public health campaign.  Materials must be submitted via ""APPLY FOR POSITION"" at the bottom of this page. You will create an applicant profile and complete an application and upload a cover letter and resume/curriculum vitae. Finalist candidates will be asked to provide a list of the names and contact information for three references.  We will examine candidate packages on an ongoing basis as they are submitted.  All required materials must be submitted by  December 14, 2021 .  Appropriate background screening will be conducted for the successful candidate.  The University of Southern Maine is an EEO/AA employer, and does not discriminate on the grounds of race, color, religion, sex, sexual orientation, transgender status, gender expression, national origin, citizenship status, age, disability, genetic information or veteran’s status in employment, education, and all other programs and activities. For inquiries regarding non-discrimination policies: Equal Opportunity Office, 101 North Stevens Hall, University of Maine, Orono, ME 04469-5754,  207.581.1226 , TTY 711 (Maine Relay System).  Work Year Calendar: Fiscal Year (12 Months)",7 days ago,92 reviews
https://www.indeed.com/viewjob?jk=4c194634091f6d73&from=web&vjs=3,20,Lead AI/Machine Learning Engineer,Change Healthcare,Maine,"Title:  Lead AI/Machine Learning Engineer Overview of Position The Artificial Intelligence, Lead Machine Learning (AI / ML) Engineer will be responsible for building Artificial Intelligence, Machine Learning, and Data Science Platform and Solutions for Change Healthcare. You will enjoy working with a highly talented and diverse team of data scientists and engineers specializing in deep learning, active learning, and classical machine learning on one of the richest data sets in US healthcare. You'll be equipped with nearly limitless cloud computing resources and be expected to deliver business impact through the implementation of a state of art Voicebots or Conversational Agents in addition to building and contributing to the AI platforms. The ideal candidate will have a strong background in Machine Learning with Python, have experience in building Chatbots, Conversational Agents and Voicebots, have experience working with large data sets, and have experience in building and deploying data-driven solutions. You are focused on results, a self-starter, able to put the team-first, and have demonstrated success in using data science to develop and deploy solutions with a focus on impact. What will be my duties and responsibilities in this job? Work with AI team leaders, product, peer engineering teams, build the vision, strategy, and technical roadmap of AI platform and Conversational AI solutions to drive major impact to our business. Build the state of art AI platform, continuously adopting the latest large community backed opensource functional components and with customization to support Healthcare AI solutions. Ensure engineering design are guided by high performance, scalability, security, following the strict healthcare policy compliance, with low cost. Innovate to build the healthcare AI platform, including Conversational AI Platform and providing services for internal solutions and external customers. Agile through experimentation, prototyping, and solid execution. Define and track key success metrics for the AI Platforms Work with management to prioritize business and AI platform needs Share with management and peers on potential new improvement opportunities Integrate the AI platforms with existing and evolving data platforms Build the AI platform in cloud environment and stay current with the industry best open source development Engage directly on all aspects of building the platform – including infrastructure (Compute, Storage, Networking), data ingestion (batch and streaming), ETL, AI libraries, inference engine, offline training pipeline, orchestration, operation and optimization. What are the requirements needed for this position? BS or MS in Computer Science, Computer/Electrical Engineering, or closely related software engineering field. An excellent track record (10+ years) of delivering AI platforms and solution products, including core AI platform, conversational AI platform, and AI solutions for enterprises. Work experience in Conversational AI, Machine Learning NLP, Dialog Management, including new and emerging technologies in Machine Learning/Deep Learning, AI, and big data Proven knowledge of Voicebots, ChatBot and experience utilizing frameworks like RASA, AWS Lex, Cortana, API.ai, wit.ai, or equivalents Extensive hands-on experience (10+ years) in building software and AI platform/solutions, able to translate business requirements into clean/logical design, strong skills in coding, design and code review, sprint management, DevOps; able to deliver under pressure. Strong leadership and teamwork skills, able to lead by principles, and use your technical and people skills to help team members to perform, deliver, and grow. Foster an open, respectful, collaborative culture. Bias to action, customer-obsessed, always willing to go extra miles to meet customers’ needs. A strategic thinker and planner who can help craft plans to multiple stakeholders. can lead change, operate effectively within a dynamic organization. Strengths in meeting objectives through influence, facilitation and team building Ability to develop and maintain effective relationships with key product partners and your engineering peers Technical expertise in data and AI: strong knowledge in AI platform building, AI solution building with AI data scientists, A/B testing, POC, Agile process. Experience with AWS Storage/Compute/DB, Kubernetes, Spark, Docker, Flint, Kafka, Kubeflow, TF Serving, TensorFlow, Pytorch, Spark MLib, Scikit-learn, Apache MXNet, Jupyter, Splunk, Grafana, Cloud Watch, etc. Excellent communication skills: ability to translate robust analytics and metrics into simple to understand takeaways and present findings to management and business partners A great collaborator who can work across operating styles and can bring together multiple perspectives, able to handle conflicts with best interests of company and customers in mind Experience in healthcare and financial payment systems development is a plus #li-remote Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system! COVID Mandate As a federal contractor, Change Healthcare is adhering to the Executive Order which mandates vaccination. As such, we are requiring all U.S. new hires and employees to show proof of being fully vaccinated for COVID-19 or receive an approved accommodation by their date of hire, as a condition of employment. As we continue to navigate the ever-changing COVID-19 pandemic, we remain committed to doing our part to ensure the health, safety, and well-being of our team members and our communities. Proof of vaccination or accommodations requests will be collected once an offer is accepted with Change Healthcare. All accommodation requests will be carefully considered but are not guaranteed to be approved. Equal Opportunity/Affirmative Action Statement  Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read  EEO is the Law  at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf. If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted. Click here https://www.dol.gov/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf to view our pay transparency nondiscrimination policy. California (US) Residents: By submitting an application to Change Healthcare for consideration of any employment opportunity, you acknowledge that you have read and understood Change Healthcare’s Privacy Notice to California Job Applicants Regarding the Collection of Personal Information. Change Healthcare maintains a drug free workplace and conducts pre-employment drug-testing, where applicable, in accordance with federal, state and local laws.",30+ days ago,"1,243 reviews"
https://www.indeed.com/viewjob?jk=9386b932d0b93cc1&from=web&vjs=3,30,Senior Data Scientist,IXIS Digital,United States,"Overview IXIS is seeking an expert in machine learning with a proven ability to develop and deploy predictive models to fill the position of Senior Data Scientist for the company. The core responsibility of this role is to design and implement highly accurate predictive models using state-of-the art ML technologies within a Python/R + AWS stack. Classification and regression with timeseries data will be the primary focus, and there will be opportunities to explore applications for unsupervised models, natural language processing, computer vision techniques, etc. The ideal candidate will combine technical expertise in predictive modeling with an understanding of MLOps, helping close the gap between model development and production. This is a full-time position on a small, fast-growing team building the next generation of data insight technology. Depending on candidate location, this position may be full-remote or onsite at our office in Burlington, VT. We offer a competitive compensation package including health, dental, vision and life insurance, 401(k), a flexible work schedule, and exceptional growth opportunities. Responsibilities Design and implement predictive models using state of the art ML technologies to solve real-world business problems Identify and prioritize opportunities for new data products and ML applications within the IXIS insights platform Use R/Python and a modern data science stack (AWS, Docker, Gitlab) to ensure that models are reproducible, extensible, and easily integrated into the IXIS software platform Lead by example: Foster a culture of creativity, experimentation, and continual improvement among the data science team Work with data engineers and back-end developers to deploy and maintain predictive models in a production environment Lead requirements gathering for modeling projects, oversee technical documentation, and communicate progress and results to non-technical audiences Collaborate effectively across teams and departments, including software/QA engineers, strategists, designers, and qualitative researchers Prioritize multiple tasks intelligently and maintain clear lines of communication with supervisor and team Required Skills and Experience B.A./B.S. in Computer Science; or B.A./B.S. in a quantitative area (such as Statistics, Applied Math, Data Science or Economics) with a minor (or equivalent experience) in Computer Science; post-graduate degree preferred (commensurate professional experience considered) 5+ years’ professional experience with programmatic data analysis and visualization using R/Python + SQL; must be adept at functional programming and love writing clean code – exposure to DevOps and MLOps practices a plus Expertise working with data in the wild, including structured and unstructured data, record linkage/householding, data cleaning/reshaping, descriptive data analysis, and exploratory data visualization Demonstrated success developing and deploying machine learning pipelines in a professional setting Experience with customer analytics and retail/marketing fundamentals a plus Uncompromising attention to detail, critical thinking skills, and a systematic and creative approach to problem-solving, with strong data intuition Job Type: Full-time Benefits: 401(k) Dental insurance Disability insurance Employee assistance program Health insurance Life insurance Paid time off Vision insurance Schedule: Monday to Friday Application Question(s): Would you be open to relocating to Burlington, VT? What is your desired salary range? Education: Bachelor's (Required) Experience: R (Programming Language): 1 year (Required) Pandas (Software): 1 year (Required) Work Location: Multiple locations Work Remotely: Yes Work Location: Multiple Locations",,
https://www.indeed.com/viewjob?jk=c6b928417f929f5f&from=web&vjs=3,20,Program Evaluator,Partnerships For Health,"Partnerships For Health in Augusta, ME 04330","Position:   Program Evaluator Location:   Augusta, Maine or Remote option available for the right candidate Type:   Full time Salary:   Market competitive salary with fringe benefits that include a matched IRA and 90% health insurance employer contribution Application Deadline:   Open until position filled Education Required:   Master’s Degree PARTNERSHIPS FOR HEALTH Partnerships For Health (PFH) is a professional consulting firm established in 2010 to provide public health services from its office in Augusta, Maine. In a relatively short time, PFH has become a local and national leader in collaborative evaluation. Our clients include governmental agencies, foundations, and community-based non- profits. Our approach is one of collaborative consultation where the underlying assumption is that strides in public health can be achieved by joining the PFH team’s specialized knowledge with the client’s. Leadership, problem-solving, and communication become a joint undertaking, with equal attention to the technical and content areas, as well as the human interactions involved in dealing with these competencies. As part of the PFH team, we expect our team to conduct their work and interactions in accordance with the following value statements: Leadership   :   We contribute to honest evidence-based assessments for our clients and our business, even if it’s not easy. Collaboration  : Our strength is the talent of our team. We get stronger the more we share. Transparency   :   Open communication breeds trust and a framework to build upon. Be real. Accountability   :   We all have an obligation to accept responsibility for our own actions, and for our part in the success of the business. Passion  : Passion and dedication are not found in small measures. We will not settle for any less than that which we are truly capable of doing. Quality   :   Prepare, work hard, and learn from your mistakes. We strive to make everything we do the best. And when we fail, we learn from it and improve. Enjoyment   :  Success cannot be achieved without the ability to enjoy your work with your team. The ability to have fun at what you’re doing needs to be encouraged and supported every day. PROGRAM EVALUATOR  Successful candidates will:  Undertake literature reviews Assist with the development of quantitative instruments Provide IRB assistance Ensure all fieldwork is implemented in a timely and efficient manner Perform data entry and validation Maintain clean, validated databases Perform descriptive and inferential statistical analysis Assist in the development of reports, infographics, presentations, and proposals Respond to internal and external requests for data or information Work collaboratively with teammates Skill requirements:  Experience in research and evaluation methods, including the principles of ethics and protection of human subjects Highly proficient in advanced functions of Microsoft Office, including Word, Excel and PowerPoint Experience in developing quantitative research tools for data collection Experience in collecting data, including administering surveys, focus groups, and interviews Experience in analyzing quantitative data Experience with data visualization (we use PowerBI software), management, and analysis (R, SPSS, or SAS) In-depth strategic thinking and the ability to work in a fast-paced environment Exceptional interpersonal skills, receptivity to others’ ideas, and a collaborative team approach to all projects Education and experience:  Master’s degree required Evaluation experience preferred APPLICATION PROCESS  If interested, please email the following to our Office Manager. 1. A cover letter detailing how you meet the position requirements and align with PFH’s values. 2. A brief (2 page) resume. 3. Contact details of 3 professional references. Partnerships For Health is an equal opportunity employer and all qualified applicants shall receive consideration  for employment without regard to race, color, religious creed, sex, national origin, ancestry, age, physical or  mental disability, or sexual orientation. Job Types: Full-time, Contract Benefits: Health insurance Schedule: Monday to Friday Work Location: One location",,
