URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=db6b0e1914018085&from=web&vjs=3,270,Principal ML & NLP Engineer,Recruiting From Scratch,"Trenton, NJ 08605","         Who is Recruiting from Scratch:      Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.      If you are a fit, the team will reach out to you about this role or any others that may be a fit for our clients.          Our Client      Our client helps organizations globally to build trust and speed into their business by matching the Speed of PrivacyOps to the Speed of Dev/BusinessOps. They have clients including Coinbase, Samsara, Twilio, Robinhood, and Flexport.               The Role       This role requires you to strategize and drive the execution of the core initiatives of the Machine Learning (ML) team. You are a Principal level individual contributor with a track record of successfully delivering machine learning models and systems end to end, who can lead, mentor, and grow ML/Natural Language Processing (NLP) engineers along with the team manager. You partner with cross-functional stakeholders to design a high-value roadmap that scales the impact of ML for customers, and you make prioritization and architecture decisions to drive the execution of this roadmap. Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a forward-thinking outlook as well as scrappiness for the present needs. You lead by example to build a cohesive team culture of ownership, growth, transparency, and customer focus, and you attract and close top talent for your team.       Responsibilities             Mentoring: coach and grow ML/NLP engineers by guiding their professional development in conjunction with the team manager and taking a hands-on approach to day-to-day collaborative problem solving        Strategy: actively participate in customer engagements and partner with cross-functional stakeholders (legal product managers, customer success) to discover new opportunities to apply ML/NLP to solve critical problems and design a high-value roadmap that scales the impact of ML for customers        Execution: make customer-centric prioritization decisions to balance between immediate impact and long-term bets with limited resources and partner with the team manager to drive alignment and collaboration with other engineering teams        Design: deeply understand how everything fits together; architect systems to balance scrappiness for the current needs with a forward-thinking outlook to improve and scale our infrastructure; continuously look for opportunities to automate and build tools to lower operational barriers        Hands-on problem solving: help the team solve its most complex problems with the simple, pragmatic solutions        Culture: lead by example to build a cohesive team culture of ownership, growth, transparency, and customer focus        Hiring: attract and close top ML/NLP engineers and software engineers for your team and Relyance AI            You Are A Good Fit If             Have an exceptional track record of successfully delivering large scale ML/NLP models and systems that result in substantial positive impact to customers across multiple organizations (7+ years)        Have a track record of building teams that consistently deliver results and investing in the learning and growth of the people you lead        Are a creative and strategic thinker with a change agent mindset who enjoys identifying business problems with the highest impact for customers and designing end-to-end ML/NLP models and systems to address them        Have a “get stuff done” attitude and enjoy being hands-on and working alongside the team to solve its most pressing problems in a fast-paced, collaborative environment        Are a skilled technical influencer with a track record of successfully influencing product direction through a strong perspective that motivates engineers to develop simple, pragmatic solutions to complex problems        Are an expert communicator with clear and concise, active listening and empathy skills, and a respectful, collaborative approach that earns the trust of your peers        Are a strong source of ML/NLP engineering and software engineering talent and are comfortable closing applicants for your team                  Benefits:  PTO, Healthcare, and More!                 Base Salary Range:  $140,000 to $200,000              ",30+ days ago,
https://www.indeed.com/viewjob?jk=48f0a17f94d8a1b5&from=web&vjs=3,270,Sr. Statistical Programmer,Katalyst Healthcares & Life Sciences,"Franklin Lakes, NJ 07417","  Responsibilities:    Ability to apply knowledge of SAS programming application and other software languages and tools along with knowledge of industry-accepted standards, including CDISC SDTM and ADaM   Provides programming expertise and input to planned and unplanned analyses, including the structure of standard and derived datasets, and the planned documentation of programming activities and TFLs.   Provides strategic guidance and in-depth critical review for the development of Case Report Forms (CRFs) and database designs; ability and experience to guide data management and programming in developing standards for building databases, edit checks, and statistical programming for data analyses   Demonstrated proficiency in interpreting statistical analysis plans and developing analysis data set specifications, including the definitions of derived variables, the structure and content of analysis datasets, statistical analyses, and the design of templates for statistical tables, figures, and listings for clinical study reports.   Maintains programming documentation and ensures archival and reproducibility of all analyses.   Follow and implement standards related to derived data sets and submission data sets   Flexible to changing priorities, detail-oriented, works well under pressure and able to take on unfamiliar tasks.        Requirements:    BS or MS in biostatistics, statistics, computer science, or mathematics 5+ years' experience in statistical programming in a pharmaceutical company or contract research organization   Advanced and broad knowledge of SAS, along with understanding of industry practices related statistical analyses, programming, and programming documentation   Ability to learn new programming languages as required   Hands-on experience in CDISC standards and datasets (SDTM, ADaM)   Experience in oncology clinical trials and data derivations.   Excellent verbal, written, and presentation skills   Strong focus will be on SDTM experience   BA/BSc or higher degree in Computer Science",30+ days ago,
https://www.indeed.com/viewjob?jk=612fd654175efb85&from=web&vjs=3,270,Senior Machine Learning Software Engineer,BlueVine,"Jersey City, NJ","BlueVine is a high-growth fintech company empowering small businesses with innovative banking designed for their needs. Small businesses deserve accessible and modern financial services, and traditional banks have underserved them for too long.   By combining industry-leading technology and security with our team's expertise and care, we help small businesses spend their time on what matters most—the next chapter of their business.   Since 2013, we've provided small and medium-sized businesses with access to more than $5.4 billion in financing. As a top small business banking provider trusted by thousands of small business owners, we're proud to offer a full suite of tailored banking services, including a business checking account, line of credit, and invoice factoring.   Headquartered in Redwood City, CA, and with offices in Salt Lake City, Jersey City, Tel Aviv, and Karmiel, we're hiring problem solvers and collaborators to help build a better financial future for small business owners.   ABOUT THE ROLE  As a Machine Learning Software Engineer in our team, you will shape and own the ecosystem that productizes our core data products - you will work closely with our Data teams and influence how data is consumed and integrated throughout the organization, take an integral part on the designing of new ML solutions, find innovative solutions for real-time analytics, and build complex data pipelines.  This is not a fully remote role.  At BlueVine, we pride ourselves on our collaborative culture, which we believe is best maintained through in-person interactions and a vibrant office environment. All of our offices will reopen in accordance with local guidelines, and will follow a hybrid model.  WHAT YOU'LL DO   Support BlueVine's business and research Machine Learning Software Engineer teams by designing and developing data-centric infrastructure tools to facilitate and enhance Data Analytics and Research, both in real-time and offline.  Design and implement next-generation ML workloads, focusing on modern, efficient Big Data technologies.  Use pipeline orchestration tools such as AirFlow, ML platforms such as SageMaker and data frameworks to design and develop first-in-class solutions for the financial sector.  Work closely with BlueVine's Data Science and Data Analytics teams.  Work closely with BlueVine's other R&D teams to help incorporate industry best practices, define and enforce data governance procedures, and monitor system performance.   WHAT WE LOOK FOR   5+ years of experience as a data engineer/big-data developer in a fast-paced environment.  5+ years of hands-on experience programming in Python.  Exceptional communication skills, ability to collaborate smoothly with and convey complex ideas in a clear way to people of different backgrounds.  A quick learner, adaptable and have the ability to work independently or as part of a team in a fast-paced environment.  Ability to quickly and independently learn new technologies, frameworks, and algorithms.  Proactive, result-driven and multi-tasker; creative but committed to meeting deadlines.  Excellent communication skills, written and verbal.   Nice to haves:   BSc/BA in Computer Science or related field.  Experience with AWS ecosystem, microservices and container technology.  Experience with building Big Data pipelines and using tools and frameworks such as Spark, Hadoop, etc.  Experience working Python ML libraries (e.g. Pandas, Numpy, Scikit Learn).   Benefits & Perks:   Over $1,000 annually for a wellness benefit of your choice  Monthly WFH stipend  PTO, Company Holiday, and Flexible Holidays  Excellent health coverage and life insurance benefits  Generous, paid parental leave covering up to 16 weeks  401K with an immediate 3% company match  Access to financial coaches and education sessions  Company-sponsored Mental Health Benefits, including 1:1 therapy  Community-based volunteering opportunities  Free commuter benefits - Caltrain passes for San Francisco employees and a monthly parking allowance  Weekly catered lunches and fully stocked kitchen pantries  Quarterly DoorDash credit  Dog-friendly HQ   Read what candidates and employees have to say about us. Check out our Glassdoor Page.",30+ days ago,
https://www.indeed.com/viewjob?jk=6b5408e9a4c5afa3&from=web&vjs=3,270,Stat Programmer,Katalyst Healthcares & Life Sciences,"Franklin Lakes, NJ 07417","         Responsibilities:           Provide programming support for the creation of SDTM/ADaM datasets.       Generate Define tables and annotated CRFs.       Program in SAS for study report tables/listings/figures.       Support data management by generating data listings.       Conduct QC/Validation for the programming results.          Requirements:           4+ years of industry experience in SAS programming.       BS or MS in Computer Science or Biostatistics or equivalent industry experience.       Excellent programming skill using SAS/STAT, SAS Macro, SAS/SQL, SAS/GRAPH.       Good knowledge of 21CFR11 and GCP.          ",30+ days ago,
https://www.indeed.com/viewjob?jk=0c72e106980fe9b0&from=web&vjs=3,270,Sr Technical Manager-ML/AI/Data Science,SRI International,"Princeton, NJ 08540","    Overview:        SRI International, an over 75-year strong pioneering research institute, has a rich history supporting government and industry. Our innovations have created new industries, billions of dollars in market value and lasting benefits to society. SRI is organized around broad disciplines and capabilities, with research and development divisions and labs to groups who excel at identifying new opportunities, developing products and creating custom solutions. Our organization is driven by impact - delivering unique solutions for the world's important challenges and transforming ideas into reality for clients and partners.              From image capture to situational understanding, SRI’s Center for Vision Technologies (CVT) offers end-to-end vision solutions that translate into real-world applications. Our scientists pioneered real-time, real-world computer vision with the early development of pyramid/wavelet processing that enabled analysis with unprecedented speed and precision. They continue today with a broad array of advances in visual navigation, 3D scene modeling, and object and activity recognition.              The Vision and Learning group in CVT is searching for a Sr. Technical Manager who will lead cutting edge applied research projects in areas such as vision and language, adversarial robustness, explainable machine learning, zero-few shot learning, transfer learning, satellite image analytics, human behavior analytics and social multimedia analytics.    Responsibilities:        As a hands-on Manager you will:           Lead a group of technical research staff members, providing technical guidance, staff oversight and group/individual planning.      Seek out new business opportunities and lead proposal efforts based around the technical capabilities of the Vision & Learning group.      Work with technical staff to develop novel state of the art technologies that can bring in new business opportunities with both government and commercial clients.      Facilitate innovative projects, principles and ideas that affect the organization's selling success or generate future products or technologies (IP).      Oversee the generation of technical papers     Qualifications:        PhD or Masters with a focus on Electrical Engineering, Computer Science, Computer Engineering or a related field.      At least 10 years of experience in Data Science, Machine Learning, Artificial Intelligence, or Information Exploitation Systems.      At least 2 years of experience managing a team.      Due to government requirements candidates must be a US Citizen with the ability to obtain/maintain a security clearance.      Experience in machine learning for computer vision applications with emphasis on deep learning-based techniques.      Experience with transitioning research projects to government and commercial customers.      Good overall coding and architecting skills.      Published research work in academic conferences or industry circles.      ",30+ days ago,151 reviews
https://www.indeed.com/viewjob?jk=2bc1c9cfd6a96651&from=web&vjs=3,270,1686 - Machine Learning (ML) Engineer,Infoorigin inc,"Trenton, NJ","  Job Description:   We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products. Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming.   Roles AndResponsibilities:   Qualifications:      Proven experience as a Machine Learning Engineer or similar role    Understanding of data structures, data modeling and software architecture    Deep knowledge of math, probability, statistics and algorithms    Minimum of 3+ years' experience as a Python programming.    Experience in at least on popular Python framework (like Django, Flask or Pyramid).    Experience with data analysis and visualization tools like Numpy, SciPy, Pandas, and matplotlib.    Experience with machine learning with scikit-learn.    Deep learning experience with TensorFlow, Pytorch and Keras is a plus.    Bachelor's Degree preferably in Computer Science, Information Technology, Computer Engineering, or related IT discipline; or equivalent experience     Job Type: Full-time   Pay: $130,000.00 - $185,000.00 per year   Schedule:      8 hour shift     Education:      Bachelor's (Required)     Experience:      Python: 1 year (Required)    SQL: 1 year (Required)     Work Location: One location ",,
https://www.indeed.com/viewjob?jk=b4cc54d7ce53bdb8&from=web&vjs=3,270,"Computer Scientist-Vision Systems lab, focus on Machine Learning",SRI International,"Princeton, NJ 08540","    Overview:        SRI International, an over 75-year strong pioneering research institute, has a rich history supporting government and industry. Our innovations have created new industries, billions of dollars in market value and lasting benefits to society. SRI is organized around broad disciplines and capabilities, with research and development divisions and labs to groups who excel at identifying new opportunities, developing products and creating custom solutions. Our organization is driven by impact - delivering unique solutions for the world's important challenges and transforming ideas into reality for clients and partners.              SRI International’s Center for Vision Technologies (CVT) offers end-to-end machine learning solutions that translate into real-world applications. Our scientists have pioneered real-time, real-world systems in multimodal (text, audio, and vision) analytics, 3D scene understanding, object recognition, and activity recognition. We continue today with fundamental research addressing open problems in machine learning and AI such as neuromorphic computing, physical model and rule-based learning, and AI at the edge. We are building scalable and adaptive cognitive systems to enable analysis with unprecedented speed and precision.              CVT's Vision Systems Lab is looking for a creative and energetic Computer Scientist with a strong academic and practical background in machine learning. A successful candidate needs to demonstrate the ability of conducting state-of-the-art research, preferably in the areas of efficient edge computing, robust machine learning, and audio-text-video semantic understanding. The goal of the research is to develop end-to-end systems in applications for imaging, vision and other sensing domains. The ideal candidate will possess a strong technical background and software development skills.    Responsibilities:        Support structured research (algorithm and system) in machine learning.      Support operational prototype developments and investigate their deployment in real world operation.      Support the development of exploring novel solutions for autonomous and cognitive systems to the area of computer vision, computational sensing, computing, and related areas.      Support development of proposals targeting future government, commercial, and internal funding opportunities.      Develop software under robust and agile methods, including design, documentation and revision control practices.      Support development of new intellectual property within government, commercial, and internally funded programs.     Qualifications:        PhD in Computer Science, machine learning, neuromorphic computing, computer vision or related AI field. Experience a plus, emerging talent welcome to apply!      Strong understanding in fundamentals of machine learning and deep learning, common problem formulations for optimization and their distinct features, and knowledge of state-of-the-art solution approaches.      Experience with one or more of the following:            deep learning        edge computing        robust optimization        continual learning        probabilistic inference.           Solid programming skills, including experience with Python or C++.      Sxperience with deep learning software packages (e.g., TensorFlow, PyTorch).      Publications in top-tier conferences or journals in your field      Strong Software Engineering skills               Desired Qualifications:           Experience with a 2D/3D visual semantic understanding      Experience with neuromorphic computing      ",30+ days ago,151 reviews
https://www.indeed.com/viewjob?jk=6a164773d6c24c6a&from=web&vjs=3,270,"Director of Marketing - AI, Data Science Services and Solutions",Xen.ai,"Jersey City, NJ","  About the position   Xen.AI is looking for Director of Marketing - AI, Machine Learning and Data Science Services and solutions. Selected candidates would be able to work remotely from any location. This can be a full time or part-time role. For the 1st year - 100% revenue based compensation based on the client projects that you would help to get and deliver. After 1st year, based on company's progress we can consider formal corporate positions with market standard salary and equity etc.   Compensation      For the 1st year - 100% revenue based compensation based on the client projects that you would help to get and deliver.    After 1st year, based on company's progress we can consider formal corporate positions with market standard salary and equity etc.    Basically, this is a ground-floor opportunity for an extremely self motivated technology executive to help grow the company into the next level and become a core leader of Xen.AI and earn the equity of the company.     About the company   Xen.AI is an Artificial Intelligence (AI) R&D organization with operations in USA and India. We help our customers to develop solutions and applications using Artificial Intelligence, Machine Learning, Deep Learning & Data Science technologies. Please visit https://xen.ai/ to know more about us.   Requirements      Experience in developing comprehensive marketing plan to promote Technology services and solutions.    Proven track record of developing and executing large scale marketing plans.    Excellent experience in doing marketing activities via email campaigns, various social media channels, Blogging, Content marketing etc.    Experience in doing Search Engine Optimization (SEO), Google Analytics, Website management and redesign etc.    Familiarity in using various marketing tools.    Experience in doing marketing automation.    Experience in designing and executing large scale marketing email campaigns and social media campaigns.    Focused, aggressive, result oriented, can-do attitude    Excellent communication skills    Bachelors or Masters Degree    Nice to have - familiarity of latest IT trends, AI, Machine Learning, Deep Learning and Data Science    Authorized to work in United States, No H1B Visa or OPT sponsorship     Compensation      For the 1st year - 100% revenue based compensation based on the client projects that you would help to get and deliver.    After 1st year, based on company's progress we can consider formal corporate positions with market standard salary and equity etc.     Job Types: Full-time, Part-time, Contract   Pay: $1.00 per year   Experience:      Technology Business development & Sales: 5 years (Preferred)     Work Location: Multiple Locations ",,
https://www.indeed.com/viewjob?jk=f88a3d140a3ba5c9&from=web&vjs=3,270,"Data Scientists (4) - Newark, NJ",JSR Tech Consulting,"Newark, NJ","         Data Scientists needed, Newark, NJ Contract to Hire            JSR is looking for several Data Scientists to work for our direct Financial Client located in Newark, NJ. These positions are critical and highly visible roles delivering customer-driven solutions across every area of the company. The Global Technology team is made up of diverse, agile-thinking, and highly skilled professionals capable of enabling innovation, speed, agility, scalability, and efficiency.      These Data Scientists will be working with Engineers, Economists, Computer Scientists, Mathematicians, Physicists, Statisticians and Actuaries to internal data and develop new analytics capabilities for our businesses.           The role requires a rare combination of sophisticated analytical expertise; business acumen; strategic mindset; client relationship skills, project management; and a passion for generating business impact.          Local candidates a preferred for this role. The client's intent is to convert qualified candidates to full time positions with the company after 6-12 months. Candidates requiring sponsorship or Visa transfers will not be considered for these roles.                Responsibilities:           Develop and maintain consultative relationships with key business stakeholders       Identify, source, transform and join public, proprietary and internal data sources       Model large structured and unstructured data sources   (e  .g. financial transactional, time-series, text, speech/audio and image)        Implement advanced statistical methods for prediction and optimization including a wide variety of machine learning technologies (logit, regression, decision trees/forests, boosted models, clustering, etc.) for purposes including explorative analysis, survival analysis, segmentation, prediction and recommendation systems        Perform analysis and implement solutions that maximize business impact       Prepare and present written and verbal reports to key stakeholders       Some domestic travel may be required        Execute all aspects of an advanced analytical project under guidance               Qualifications:                Advanced degree (Masters or Ph.D.) in Mathematics, Statistics, Engineering, Econometrics, Physics, Computer Science, Actuarial, Data Science, or comparable quantitative disciplines        Master's degree graduates should additionally have at least two years of industry experience with responsibility for developing advanced quantitative, analytical, statistical solutions        Hands-on experience applying a wide variety of statistical machine learning techniques to real world problems spanning analysis, predictive modeling and optimization on structured and unstructured data       Experience using tools such as Python, R, or equivalent for statistical modeling of large data sets        Well-developed written and oral communication skills with ability to present complex statistical concepts to non-analytical stakeholders (Excel, Word and PowerPoint are a must)        Software engineering experience in C/C++/C#/Java/Scala or similar object oriented or functional languages is highly regarded but not a prerequisite        M.B.A. when combined with advanced quantitative degree is highly regarded but not a prerequisite       Prior academic or industry research experience is highly regarded but not a prerequisite       Prior exposure to financial services or insurance industry may be helpful but is not a prerequisite       Experience in CX, marketing, and digital marketing          ",30+ days ago,
https://www.indeed.com/viewjob?jk=af71ac9b7d397904&from=web&vjs=3,270,Digital Analytics Strategist | USA - Fully Remote,"FFW - One Global Team. 
A World of Opportunities.","Holmdel, NJ 07733","     About FFW         For over 20 years, FFW has provided significant digital experiences to the world’s largest brands many within the Fortune 50 in finance, power, media, healthcare, and pharmaceuticals. FFW is a team of more than 400 people across 11 countries and growing fast. Not only do we work with large organizations, but we have a diverse portfolio across various verticals working on a variety of mission-critical digital solutions. Learn more at https://ffwagency.com/about-ffw             About the Position         We are looking for a Digital Analytics Strategist to join our Insights & Optimization (IO) Team. This full-time position can be remote, anywhere in the US, with occasional travel required. This role will focus predominantly on web analytics strategy and analytics solution design; we are not currently looking for applicants seeking a data scientist position.             The FFW IO Team comprises talented individuals from diverse backgrounds, education, and cultures, all of whom believe that we're better together. Our team culture is rooted in collaboration and in our drive to work through problems to understand our clients' business needs, goals, and motivations. We support each project as an advocate for informed measurement and tracking that allows FFW to design and iterate on digital product experiences that benefit our clients' businesses.             You Will…          Conduct analytics audits of digital properties as part of project discovery        Lead stakeholder discussions and help clients to translate business objectives into website KPIs and goals        Create measurement plans that align business objectives to KPIs for websites and other digital channels        Define analytics strategy and approach for client projects        Define approach for cookie consent and work with the implementation team to ensure that tracking solutions meet applicable privacy requirements        Train clients on how to access and leverage their data to make informed decisions        Work with our Experience Design team to align measurement needs to UX strategy and provide data analysis support for user research and optimization activities        Work with our Solutions Consulting team to advise on data and analytics technology topics        Work with our Development team to hand-off measurement requirements for technical implementation           You Have…          A passion for using data to tell stories, surface insights, and inform decisions        Expert-level knowledge of digital analytics and tag management concepts        The ability to conduct an insightful analysis of digital data to help clients answer key business questions        4+ years of hands-on experience in analytics strategy and execution        Expertise in the set-up and usage of Google Analytics and/or Adobe Analytics        Solid understanding of web fundamentals and SEO best practices        Experience working at a digital agency or ad agency        English fluency        Excellent written and verbal communication skills and ability to succinctly summarize key findings        Ability to organize, transform, and connect raw data using spreadsheets and custom formulas        Experience defining and configuring custom dimensions, metrics, variables, segments and reports        Expertise in designing analytics solutions for conversion tracking including the set-up of goals, funnels, and event tracking        Ability to produce custom reports, configure views, and to perform ad hoc analysis of analytics data        Experience building custom dashboards and reports using Google Data Studio, Tableau, Domo, or similar tools        Familiarity with configuring common types of tags in a tag management system such as Google Tag Manager, Tealium, or Adobe Launch        Ability to conduct an SEO audit by using site crawl data to score and benchmark a site based on industry standards and best practices           Nice to Haves             An analytics certification such as Google Analytics IQ, DAA Web Analyst, Adobe Certified Expert, or similar        Experience working with Consent Management Platforms (CMP) such as OneTrust, Cookiebot, TrustArc, or similar        Experience planning and conducting A/B tests and interpreting experiment results using platforms such as Optimizely, Google Optimize, VWO, or similar        Experience with heat-mapping and/or session recording platforms such as Hotjar, FullStory, or similar        Experience with analytics for data-driven personalization use cases        Familiarity with Customer Data Platforms (CDP) such as Segment        Experience with analytics and reporting from email marketing and/or marketing automation platforms such as Marketo, Salesforce Marketing Cloud, or similar.        Experience implementing analytics for native mobile apps and/or offline applications      ",15 days ago,
