URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=9af88af66fa6d178&from=web&vjs=3,10,Airport Data Collection Coordinator,ANC Group LLC,"Las Vegas, NV","Airport Data Collection Coordinator Job description Location: McCaran International Airport 100% of A Full-Time Position Description We are seeking a highly motivated, self-starter and dynamic candidate to join our innovative team at ANC Group, LLC (ANC) with developing cutting-edge artificial intelligence (AI)-based security capabilities. Learn more about novel screening technologies at airports, be part of a unique project that will allow you to do a deep dive into the exciting world of AI technology applied to Homeland security. See more details about our company at www.AmirNeemanConsulting.com. As our Airport Data Collection Coordinator, you will oversee and administer a large-scale airport data collection to be conducted on a novel screening technology using Computed Tomography X-ray System (CT) in McCarran International Airport (LAS). Successful candidates must be able to learn and execute a specific data collection protocol using a CT system and various data collection tools at LAS and train screeners in conducting it; work with relevant data collection computers and store and document all data collected, be available to attend 1 day paid local in-person training; be available to work from February 2022 through February 2023 (schedule is estimated and could change) and be available to work a minimum of 160 hours per month. Shifts will vary per flight schedules. This will be a subcontractor position (i.e. a 1099 contractor) per this project and not a full company employee. Applicants must live nearby LAS airport; be willing to travel locally; have regular and reliable transportation and regular and reliable access to phone service. Candidates must U.S. citizens able to successfully obtain a Department of Homeland Security (DHS) suitability background check (see requirements at https://www.dhs.gov/sites/default/files/publications/instruction-121-01-007-personnel-suitability-and-security-program.pdf). Must have the ability to coordinate a data collection project involving multiple people or components; have good interpersonal skills and the ability to maintain a strong rapport with other staff. Applicants must have strong reading and verbal skills; be competent with computer technology; have experience working and communicating in a team setting; be self-motivated, reliable, organized, and detail-oriented; have the ability to complete work tasks accurately and independently. Must have the ability to keep detailed records of all work activities and administrative tasks. Prior aviation security, former TSA work and/or airport data collection experience or experience working with similar technology in a similar setting are required . Existing DHS suitability status is also highly desired. Contract Renewal: Possible Full Time Opportunity: Yes Work Remotely Yes Job Types: Full-time, Contract Pay: $25.00 - $30.00 per hour Schedule: 8 hour shift Experience: Data collection: 1 year (Required) former TSA airport screener: 1 year (Required) Work Location: One location",,
https://www.indeed.com/viewjob?jk=ec6960d47656298b&from=web&vjs=3,10,Mathematician II (REMOTE),Everi Games Inc,"Reno, NV","Mathematician II (REMOTE) Are you ready to be part of something great! Everi is looking for talented candidates to join our Game Development Studio! This position is responsible for writing and testing production code, while implementing mathematical logic for game play. You will be working with artists and developers to create the best games in the industry.  Key Responsibilities Exercises discretion and independent judgment writing and testing production code; implements mathematical logic of game play for prize determination to match specifications of math design Customarily and regularly develops mathematical and statistical models for games; tests table math models for functionality and adherence to specifications Independently works with cross-functional teams ensuring correct implementation of game math and to answer questions about math implementation Develops and generates theoretical par sheets demonstrating gaming probabilities and mathematical payout of games via calculation and / or simulation Customarily and regularly uses proprietary tools for generating slot, bingo, and lottery math files  Skills Knowledge and Expertise Qualifications:  Bachelor’s Degree in Mathematics, Computer Science, or IT  Mathematical probability experience  Statistics experience  Willingness to learn, and adapt to new procedures  Nice to have's:  Experience with programing is a plus!  Gaming industry knowledge  Knowledge of Everi products  Benefits Everi's leadership listens to it's team and values everyone's ideas to help create new processes!  Leadership that is focused on team building, and career pathing for its team!  Everi uses the latest technologies, and gives its employees the chance to be the first to be hands on with the cutting edge tech!  Join a team that is innovative, friendly, and customer-focused!  Discretionary PTO - the perfect way to prevent burnout and improve productivity!    Everi is an Equal Opportunity Employer. All qualified applicants and employees will be afforded equal employment opportunities without discrimination because of race, creed, color, national origin, sex, age, disability, marital status, or any other characteristic or class protected by federal, state, or local law.   ** For All External Staffing Agencies **   Everi does not accept agency submittals. Please do not forward resumes to our Executive team, Management team, or any current Everi employee for review without proper approval. Everi is not responsible for any fees related to unsolicited resumes.  About Everi  We believe in the values of Collaboration, Integrity, Inclusion, Excellence, and Fun!  #LI-DE1  About Everi We believe in the values of Collaboration, Integrity, Inclusion, Excellence, and Fun!  Apply Now",7 days ago,76 reviews
https://www.indeed.com/viewjob?jk=314c6374f4dba090&from=web&vjs=3,10,Mathematician,Scientific Games,"6601 Bermuda Rd, Las Vegas, NV 89119","Are you ready to level up your career? At Scientific Games, we are committed to making the best games in the world. We are looking for smart, passionate, and creative people to join our team and help us transform the gaming world. We are a global, industry-leading gaming technology company that embraces challenge, fosters an inclusive culture, values integrity, innovation and winning, and is committed to developing and supporting its people. As a member of our award winning game studios, you will be creating compelling games played around the world. If you are ready to play… come join us and let’s make games! Job Summary Bring our games to life by creating the math models that drive slot game play. Work with a group of exceptionally talented mathematicians and game designers to provide the best gaming experience for the slot player. The ability to work quickly and efficiently as part of a team, take direction, and maintain a positive attitude under pressure is crucial. Job Responsibilities Primary  · Develop and proof math models for slot games that demonstrate game probabilities and return to player via theoretical calculation and/or simulation · Code, test, and debug simulations of slot games to gather statistics and verify accuracy of math models · Collaborate with software engineers and math test engineers to ensure math models are properly implemented and compliant with applicable regulations Secondary · Mentor junior mathematicians on all aspects of the mathematician role · Collaborate with other mathematicians and game designers to brainstorm new game mechanics and to determine mathematical feasibility of concept math models · Develop an understanding of competitive products and technologies Job Requirements Experience  · 5+ years of professional experience in applied mathematics, probability, and/or combinatorics · Gaming industry experience is preferred, but not required Knowledge, Skills, and Abilities · Enjoy working in a creative environment · Have strong multi-tasking skills · Have excellent written and verbal communication skills · Ability to work will with others in a team environment · Ability to bring projects to completion with minimal supervision · Ability to adapt to a customer-oriented, fast-paced, deadline-driven environment · Proficient in Microsoft Excel · Proficient in C++, C#, or a similar object oriented programming language · Familiarity with working in a Windows programming environment, including Visual Studio Education  · Bachelor’s degree in Mathematics, Statistics, Computer Science, or a related field or equivalent work experience required Job Type: Full-time Pay: $80,000.00 - $110,000.00 per year Benefits: 401(k) Dental insurance Health insurance Paid time off Schedule: 8 hour shift Monday to Friday Education: Bachelor's (Preferred) Experience: C#: 1 year (Preferred) C++: 1 year (Preferred) Work Location: One location",,524 reviews
https://www.indeed.com/viewjob?jk=038b6b18d9c86094&from=web&vjs=3,10,Sr. Data Analyst - Marketing Analytics (REMOTE),Splunk,"Las Vegas, NV 89101","Join us as we pursue our mission to remove the barriers between data and action, so that everyone thrives in the Data Age. Splunk is filled with people who are passionate about pushing the boundaries of technology in an effort to help our customers succeed. As the leading data platform for Security and Observability, Splunk is helping our customers unlock innovation, improve security and drive resilience. We invite you to explore what has made us one of the fastest growing technology companies in history, and how you can be an integral part of our journey! Role As a Sr. Data Analyst within the Marketing Analytics organization, you will own and be part of business analytics projects focusing on building the data foundation to help us scale our reporting services and capabilities. As a data and reporting engineer you will drive transformational data and analytics initiatives for improving the effectiveness and efficiency for Splunk marketing organization. You will be expected to manage end to end delivery of small to medium scale projects in the data & analytics area through partnership with the entire marketing operations org, both at strategic and tactical levels. Responsibilities Strong business analysis and communication skills - capturing and documenting requirements, understanding business impacts and tradeoffs, conducting interviews and workshops, proposing solutions, documentation and training, etc. Deep knowledge and hands-on experience working with multiple BI platforms such as Tableau or Domo. Solid grasp of operational processes, systems and data in multiple areas of Sales & Marketing Operations Ability to support the creation of single source of truth for Marketing Business Metrics leveraging agreed upon data definitions, create a common data foundation, and semantic layers to be consumed by business. Understanding of SaaS business applications and processes as in Salesforce, SAP, Eloqua, Anaplan, Adobe, Google Analytics, etc. Analytical and problem-solving experience, exposure to large-scale systems and some experience writing code. Requirements 5+ years of experience as a Marketing Analyst. 3+ years of experience developing reporting dashboards with Business Intelligence tools such as Tableau or Domo. Self-starter with a passion and curiosity for solving unstructured data questions and independently identifying trends and actionable insights. Strong visualization skills and experience with BI tools (ex: Tableau, Looker, Domo). Strong communication skills and an ability to provide technical guidance, direction and problem solving to less technical audiences Confidence to offer consultation to business partners and team members within Sales, Partner, Marketing Operations. A familiarity working with AGILE/SCRUM process management. Education Bachelor’s degree preferred, or equivalent years of industry experience. We value diversity at our company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or any other applicable legally protected characteristics in the location in which the candidate is applying. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.  (Colorado only*) Minimum base salary of $110,000. You may also be eligible for incentive pay + equity + benefits.*Note: Disclosure per sb19-085 (8-5-201 et seq).",14 days ago,61 reviews
https://www.indeed.com/viewjob?jk=71bb31c0ca0ccde2&from=web&vjs=3,10,Chatbox Analyst,Pearson,"24 Moonlight Rd, Carson City, NV 89706","What You'll Do  Partner with product, engineering, support and experience design colleagues to develop & validate creative solutions to customer & business problems that create significant impact.  Drive clarity and solve ambiguous problems using automated self-service support options.  Propose and guide the chatbot gateway into the support experience. This functionality is the entry point to the customer support experience and is an opportunity to collect product insights and facilitate decisions.  Leverage data to understand product performance and to identify improvement opportunities.  Utilize dashboards to monitor product health and adapt and enhance the chat experience to address issues as they arise.  Provide recommendations to assist quick product ideation and feature support recommendations based on technology solutions and customer fit.  Be an active contributor to the creation of the support team roadmaps.  Write clean and functional code.  Integrate conversational AI solution into our existing platform API’s  Communicate with senior management and partner closely with cross-functional teams.  Work on one or more technical areas of applications of Natural Language Understanding, dialog system, statistical NLP, contextual understanding, probabilistic inference/reasoning, product recommendation   Qualifications - External  To qualify for the role you must have:  M.S. or Bachelor’s degree in Statistics, Economics, Machine Learning, Operations Research, or other quantitative fields. (If M.S. degree, a minimum of 1+ years of industry experience required and if Bachelor's degree, a minimum of 2+ years of industry experience as a Data Scientist or conversational design).  Experience in crafting demos that showcase the potential of conversational experiences  Experience in experimental design and analysis (e.g., A/B and market-level experiments).  Knowledge and experience with natural language understanding and generations systems (Salesforce Einstein experience preferred)  Experience in personal designing/writing  Technical knowledge of the fundamentals of conversation, speech and language technologies  Experience working very closely with cross-functional product teams.  Experience using Dialogflow or a similar tool to build Chatbots or Voicebots   The anticipated starting salary range for individuals expressing interest in this position is $80,000. This position is eligible to participate in an incentive plan. Benefits available to eligible employees can be seen at: https://pearsonbenefitsus.com/  Learning is the most powerful force for change in the world. More than 20,000 Pearson employees deliver our products and services in nearly 200 countries, all working towards a common purpose – to help everyone achieve their potential through learning. We do that by providing high quality, digital content and learning experiences, as well as assessments and qualifications that help people build their skills and grow with the world around them. We are the world’s leading learning company. Learn more at pearsonplc.com.  Pearson believes that wherever learning flourishes, so do people. We are committed to being an anti-racist company in everything we do. We value the power of an inclusive culture and a strong sense of belonging. We promote a culture where differences are embraced, opportunities are accessible, consideration and respect are the norm, and all individuals are supported in reaching their full potential. Through our talent, we believe that diversity, equity, and inclusion make us a more innovative and vibrant place to work. People are at the center, and we are committed to a sustainable environment and workplace where talent can learn, grow, and thrive.  To learn more about Pearson’s commitment to a diverse and inclusive workforce, please click here: http://www.pearson.com/careers/diversity-and-inclusion.html  Pearson is an Affirmative Action and Equal Opportunity Employer and a member of E-Verify. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be. All employment is decided based on qualifications, merit, and business need. All qualified applicants will receive consideration for employment without regard to race, ethnicity, color, religion, sex, sexual orientation, gender identity, gender expression, age, national origin, protected veteran status, disability status, or any other group protected by law.  Job:  PRODUCT MANAGEMENT  Organization:  Higher Education  Schedule:  FULL_TIME  Req ID:  2545",6 days ago,"2,710 reviews"
https://www.indeed.com/viewjob?jk=3557b80b154f304a&from=web&vjs=3,30,"Principal Product Manager, AI and Interoperability Platform",Change Healthcare,Nevada,"Principal PM, AI & Interoperability Position Overview Change healthcare has built the industry-leading Enterprise Imaging Cloud Native solution to help physicians provide better patient care from anywhere with ease, speed, and security. We are looking for a dynamic and passionate Principal Product Manager to drive our cloud platform vision, roadmap and execution. You will be working with internal stakeholders, customers, and external partners to create a scalable, secure, and extensible platform with outstanding customer experience. An important part of our value proposition to customers is leveraging their data and enabling multiple applications from the healthcare ecosystem to seamlessly integrate into the solutions and workflow. You will define how 3rd parties capabilities, such as partners Artificial Intelligence (AI) applications, are integrated into our products through standard APIs and SDK easily and securely. You will serve as a bridge, a coach, and a liaison to the different product teams to identify shared needs and fulfill them through standard platform services.   What will I be responsible for in this job? Drive the strategy, roadmap, and execution of the Stratus Imaging Cloud platform in aspects of data management & interoperability (APIs), to create extensible and scalable services for internal and external customers. Define system requirements and facilitate framework and end-to-end experience for 3rd party applications to easily integrate with the cloud solutions. Work closely with the different product teams to identify shared business and customers' needs and fulfill them via platform services to improve development efficiency, supportability, and scalability. Use extensive influencing and communication skills to share and align your strategy across the greater PM team and overall product strategy. Define the system SLIs/SLOs in collaboration with the application/product teams and] the process to track and improve them. Identify and research industry standards (e.g., FHIR) and implement them in the platform based on the business priorities. Drive market communication to increase solution awareness and differentiation and educate customers on the value proposition. Use extensive influencing and communication skills to share and align your strategy across the greater PM team and overall product strategy. What Are The Requirements Needed For This Position? 5+ years of relevant Product Management experience, with 3+ years experience with Cloud and SaaS solution. Experience building platforms and API's to meet a wide variety of use cases Bachelor's Degree in Computer Science, Engineering, Information Systems, or a closely related field preferred, or equivalent experience a plus What critical skills are needed for you to consider someone for this position? Experience in healthcare IT and Interoperability standards – a big plus. Experience as a SW developer – a plus. Experience with defining product strategy and roadmap. Experience in building and launching new products (preferably in a regulated market) Familiarity with agile development process. Experience with market analysis (analyzing the market competitive landscape, quantifying/comparing/identifying strategic alternatives) Experience in building business relationships and partnerships; working with internal and external stakeholders Strong influencer and collaboration skills; able to build consensus among a diverse group of stakeholders. Excellent Business Acumen & Communication (Verbal & Written) Skills. What other skills/experience would be helpful to have? A strong understanding and practical experience with AI/Machine Learning and is a plus. Strong decision making and judgment. Demonstrated ability to use problem solving and analytical skills to build fact-based business cases. Ability to multi task and manage multiple priorities How much should I expect to travel? 25% (travel % during covid may change) Employees in roles that require travel will need to be able to qualify for a company credit card or be able to use their own personal credit card for travel expenses and submit for reimbursement. #li-remote Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system! COVID Vaccination Requirements We remain committed to doing our part to ensure the health, safety, and well-being of our team members and our communities. As such, we require all employees to disclose COVID-19 vaccination status prior to beginning employment and we may require periodic testing for certain roles. In addition, some roles require full COVID-19 vaccination as an essential job function. Change Healthcare adheres to COVID-19 vaccination regulations as well as all client COVID-19 vaccination requirements and will obtain the necessary information from candidates prior to employment to ensure compliance. Equal Opportunity/Affirmative Action Statement  Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read  EEO is the Law  at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf. If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted. Click here https://www.dol.gov/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf to view our pay transparency nondiscrimination policy. California (US) Residents: By submitting an application to Change Healthcare for consideration of any employment opportunity, you acknowledge that you have read and understood Change Healthcare’s Privacy Notice to California Job Applicants Regarding the Collection of Personal Information. Change Healthcare maintains a drug free workplace and conducts pre-employment drug-testing, where applicable, in accordance with federal, state and local laws.",6 days ago,"1,265 reviews"
https://www.indeed.com/viewjob?jk=21b0115b25c94473&from=web&vjs=3,20,Senior Data Analyst-Customer Success,Intuit,"6884 Sierra Center Pkwy, Reno, NV 89511","Overview The Accountant, Small Business & Self-Employed Segment of Intuit is a growing vibrant business with a long track record of outstanding results. Customer Success at Intuit is no longer a downstream operation but a key embedded feature of our current iteration of products. This role as  Business Systems Analyst for Quality of Service  will be responsible for improving the effectiveness of our customer care organization by analyzing Quality of Service metrics and partnering across the organization to link supporting data sets to tell the story of how we are performing for our customers and workforce. In this innovative role, your primary outcome will be providing deep, data driven insights that will enable our QuickBooks, Payroll, & Payments agents to deliver an effortless customer experience driving loyalty of our customers. The Quality of Service team creates actionable insight and understanding, through the analysis of both quantitative and qualitative data, building recommendations that directly address business objectives and measure effectiveness of improvements. You will work collaboratively across the Small Business Customer Success management team, the cross functional Intuit analytics community and key technology and product development partners to deliver a data driven, technology led robust analytics platform and process that supports a distributed workforce of over 9K Accountant, Small Business & Self-Employed service experts across multiple geographies. If you have a passion for disruption and a track record of success innovating with rigor in a fast paced, dynamic environment we’d like to hear from you! What you'll bring 5+ years in a research/analytical role. Experience with Call Center or Care operations is ideal. Experience in speech analytics, business operational process development and data analysis is required Experience with statistics/analytics and database experience (SQL) is highly desired Strong team player with energy, enthusiasm and detail orientation to produce high quality deliverables in a fast-paced environment Fantastic written and verbal communication skills with ability to present complex ideas in clear concise fashion to technical and non-technical audiences Ability to tell stories with data, educates effectively, and instills confidence in recommendations, motivating others to act on them Project Management skills and ability to manage multiple projects simultaneously to meet objectives and key deadlines Bachelor’s Degree in business or related field required, or equivalent work experience How you will lead Champion a best in class, professional Customer and Agent experience within our QuickBooks products and services by using speech and text analytics, business acumen and strategic understanding of the data sources and confidently deliver their interpretation and recommendations for improvement to stakeholders. Analyze and recommend employee improvements, process enhancements or development, and/or technology enhancement recommendations that will positively impact the experience of the customer and professional workforce. Manage and conduct all phases of in-depth analysis: compilation, validation, analysis and presentation to business leadership Responsible for maximizing the utilization of Quality of Service learnings and capabilities to drive meaningful intelligence, actionable insights and quantifiable improvement into the business though creation of use cases to include the following; building of queries, reports and dashboards for consumption of business leaders and drivers. Bias for action and a driver for results. Self-starter who looks for opportunities to connect and partner across Customer Care and drive improvement. Develops and Coordinates research requirements with internal customers to meet business objectives Solve difficult, non-routine analysis problems with deep customer focus, applying advanced analytical methods as needed",30+ days ago,"1,691 reviews"
https://www.indeed.com/viewjob?jk=82c15ce2000b0c7c&from=web&vjs=3,10,Senior Data Analyst,Aristocrat,"Las Vegas, NV 89119","Job Posting Title Senior Data Analyst Summary Are you a customer focused Senior Data Analyst who is an expert in data acquisition, statistical analysis, data review and visualization? Are you a passionate data analyst with a high attention to detail that takes pride in providing descriptive and diagnostic analytics that facilitate data-driven decision making at the highest level in an organization? Would you like to experience the power or your Talent Unleashed in a company that values you, is invested in every employee, and exists to bring joy to life through the Power of Play? We are seeking a highly motivated, customer focused Senior Data Analyst for a full-time role supporting the data needs of our internal customers and stakeholders here at Aristocrat. The successful candidate will be responsible for mining through large amounts of data to provide descriptive and diagnostic analytics that inform and advance the design, develop, and build some of your very favorite digital games found in casinos throughout the world. What you'll do  Roles and Responsibilities: Understand business needs and gather, analyze, and interpret data that informs and guides leaders at all levels in strong, data-driven decision making Write complex relational database queries / SQL scripts to validate database systems and for backend database testing. Mine multiple data sources and data tools like RDMS, Flat file, Google Cloud, Snowflake, Dataflow, and / or Talend to facilitate the data needs of the internal customer / stakeholder Collaborate with peers, leaders, and stakeholders to achieve the goals of projects as required or assigned Assist in the implementation of QA processes to ensure correctness of data flowing through each stage What we're looking for  Required Skills and Experience: Bachelor’s degree or equivalent experience. 5+ years of experience in data analysis or business intelligence 5+ years of experience developing SQL / T-SQL with a proven ability to aggregate, gather and manipulate data 5+ years of experience in developing data visualization tools and dashboards using Tableau, Power BI, or Looker 4+ years of experience working in Google Cloud Datastore or Snowflake Significant and proven statistical and data analytics skill with a HIGH ATTENTION TO DETAIL with a result driven approach and commitment to continuous improvement Proven collaboration, teamwork, and communication skills at all levels within an organization Fully conversant with the use of testing management and defect management tools with the ability to maintain the up-to-date issues log, track defects clearly and manage to resolution and closure  Preferred Skills and Experience: Experience in Python, R, and Apache Airflow is highly preferred Experience in gaming, content distribution, Media & Entertainment, or retail industry is preferred Aristocrat is a world leader in gaming entertainment. We’re proud to have a team of over 7000 employees, operating in over 90 countries around the world, that push the boundaries of innovation, creativity, and technology each day. We offer a diverse range of products and services including electronic gaming machines, social gaming and casino management systems but remain, and will always be, an ideas company that is committed to our customers, players, and our employees. We offer highly competitive compensation, robust benefits tailored to your needs, and global opportunities for career growth in an organization whose business is built on FUN!!! US based roles at Aristocrat may require registration with the Nevada Gaming Control Board (NGCB) and/or other gaming jurisdictions in which we operate. Aristocrat is an equal opportunity employer and takes great pride in our diverse employee population. EEO/AA - W/V/D/M Why Aristocrat? World Leader in Gaming Entertainment Robust benefits package Global career opportunities Our Values All about the Player Talent Unleashed Collective Brilliance Good Business Good Citizen The US based roles may require registration with the Nevada Gaming Control Board (NGCB) and/or other gaming jurisdictions in which we operate.",1 day ago,180 reviews
https://www.indeed.com/viewjob?jk=cbb8c2e87b685eb8&from=web&vjs=3,10,Data Scientist - ProServe,"Amazon Web Services, Inc.",Nevada," Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience  Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory  4+ years of industry experience in predictive modeling, data science, and analysis  Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models  Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility  Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models  Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations  Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades? At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions. AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. Inclusive Team Culture Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust. Work/Life Balance Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed. Mentorship & Career Growth Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future. This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  Major responsibilities include:   Assist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization  Use AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models  Research and implement novel ML approaches, including hardware optimizations on platforms such as AWS Inferentia  Work with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototyped  Master’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)  Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships.  Publications or presentations in recognized ML journals or conferences  Deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization  Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. For employees based in Colorado, this position starts at $114,700 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",30+ days ago,"78,445 reviews"
https://www.indeed.com/viewjob?jk=715cadcc4bd9a2b0&from=web&vjs=3,40,Data Architect,SAIC,United States,"Job ID: 2201404-US-United_States Location:  , , US Date Posted:  2022-01-25 Category:  Information Technology Subcategory:  Data Scientist Schedule:  Full-time Shift:  Day Job Travel:  No Minimum Clearance Required:  None Clearance Level Must Be Able to Obtain:  Public Trust Potential for Remote Work:  Yes  Description   SAIC is seeking a Senior Data Architect.  This role can be 100% remote.  SAIC seeks an experienced, results-oriented, mission-driven Senior Data Architect who possesses knowledge of appropriate data sources to address the specific requirements of projects for data modeling. Understand business requirements and translating into technical work. Design and implement features in collaboration with team engineers, product owners, data analysts, and business partners using Agile / Scrum methodology. Focus on developing database solutions to store and retrieve company information.  Responsibilities  Analysze the data and use skills to maintain security Analyze structural requirements for new software and applications Analysze the data and use skills to maintain security Migrate data from legacy systems to new solutions Analysze the data and use skills to maintain security Design conceptual and logical data models and flowcharts Visualize and design the organization enterprise framwork Build ETL jobs and workflows to combine data from disparate sources. Install continuous pipelines of huge pools of filtered information so that data analyst/scientists can pull relevant data sets for their analyses. Experience with SQL scripts and SSIS. SSIS, SSMS Collaborate with business stakeholders, business operations, and product engineering teams in Analyzing business problems, in building and testing solutions and data models Experience implementing and operating analytic models and services. Document the current-state and target-state software architecture and create roadmap plans for success on various software components. Design, implementation, and maintenance of complex solutions. Build systems that collect, manage, and convert raw data into usable information for business analysts to interpret. Make data accessible for evaluation and optimization Collaborate with business stakeholders, business operations, and product engineering teams Coordinate activities with other technical personnel as appropriate.  Qualifications  Must have a Bachelor's degree and 13 years of experience, Masters and 12 years of experience. May consider an additional 4 years of experience in lieu of a degree.  Bachelors in and in computer science, systems engineering, or related technical discipline is preferred. 8+ years of experience as a Data Engineer/Administrator or similar role.  Works the back end data and organizes it into table using SQL scripts and SSIS. SSIS, SSMS Ability to work independently with minimal direction providing technical and non-technical support to multiple users Capable of working under pressure, while handling multiple tasks simultaneously Ability to work overtime and weekends required on occasion Experience providing services to the federal government is preferred  Preferred  ITIL V3 Certified is a plus Ability to work independently with minimal direction providing technical and non-technical support to multiple users Capable of working under pressure, while handling multiple tasks simultaneously Ability to work overtime and weekends required on occasion Experience providing services to the federal government is preferred  COVID Policy: Prospective and/or new employees are required to adhere with SAIC's vaccination policy. All SAIC employees must be fully vaccinated and they must submit proof of vaccination on their first day of employment. Prospective or new employees may seek an exemption to the vaccination requirement at Contact Us and must have an approved exemption prior to the start of their employment. Where work is performed strictly at a customer site, customer site vaccination requirements preempt SAIC's vaccination policy. Target salary range: $150,001 - $175,000. The estimate displayed represents the typical salary range for this position based on experience and other factors. SAIC® is a premier Fortune 500® technology integrator driving our nation's technology transformation. Our robust portfolio of offerings across the defense, space, civilian, and intelligence markets includes secure high-end solutions in engineering, digital, artificial intelligence, and mission solutions. Using our expertise and understanding of existing and emerging technologies, we integrate the best components from our own portfolio and our partner ecosystem to deliver innovative, effective, and efficient solutions that are critical to achieving our customers' missions.  We are more than 26,500 strong; driven by mission, united by purpose, and inspired by opportunities. SAIC is an Equal Opportunity Employer, fostering a respectful work culture based on diversity, equity, and inclusion that values all contributors. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $7.1 billion. For more information, visit saic.com.",Just posted,"2,875 reviews"
