URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=e2f46cfe5c86d23a&from=web&vjs=3,550,Senior Data Scientist,Digital Republic Recruitment,"New York, NY","Senior Data Scientist – Media – NY, Chicago or Cincinnati About the Company  The company’s product is a leading retail media advertising solution which closes the loop between media exposure and store sales by using first-party purchase data to optimize brand advertising. Launched almost three years ago, they have activated campaigns for over 1000 brands with the vision to become the preferred media company for advertisers by creating a more accountable media supply chain. Join a growing team of passionate and talented analysts, data scientists, marketing consultants, and media strategists who are committed to transforming the media industry. The Role  Join the team that creates foundational data science tools & data products to enable the enterprise. Churn terabytes of customer & business data to create unique products that power insights, personalization & monetization efforts across the company. The team is seeking a senior data scientist to help deliver products that enable value generation. Leverage machine learning, statistics, data engineering at scale and meet the customer demands on on-prem and cloud. Uncover the latent customer needs and dimensions and are the voice of the customer. Scale & Innovation are the essence of the work and this person will play an important role in supporting both. Responsibilities  Effectively managing projects, tasks and stakeholders to ensure that projects are delivered on time, within budget and to brief specification while ensuring minimal downtime and maximum utilization. Interpreting results and performance to develop actionable recommendations from the analysis to build next steps from products or build relevant customer stories for stakeholders. Quality Assurance of own code and that of team members to ensure the highest quality work is being delivered to our clients. Identifying opportunities for standardization & automation of existing solutions and processes to enable the company to realize the maximum potential from its teams. Challenging and improving company’s analytical capabilities/products. Working closely with key internal stakeholders to ensure sound knowledge of objectives and customer insight, to subsequently design best-in-class solutions. Following best practice for working on cloud and on prem. Experience Required  Bachelor or Master’s degree in mathematics, statistics, analytics, data science or related discipline Passionate about data, SL/ML. Understanding of AI algorithms is a plus. 2+ years developing analytical solutions using advanced statistical methods and machine learning algorithms. Proficient in technology stack. The technology stack includes – Azure, Hadoop, Python, Spark. 2+ years of experience analyzing/modelling very large datasets and dimensionality reduction. 2+ years of experience in SQL, data wrangling and feature engineering. 2+ years of experience in supervised learning and knowledge of datarobot and/or sparkml Able to understand cloud architecture, components and services. Experience of working on CI/CD tools, devops and strong collaboration with engineering. Proficient in python, and understand software design principles. Ability to create packages is a plus. Knowledge of Embeddings, Clustering, Unsupervised Learning, Distributed Computing is a plus. Data visualization skills and ability to present technical solutions to non-technical audience. Strong interpersonal and communication skills. Natural curiosity that welcomes and embraces change and willingness to try new things and to fail. Ability to work in a highly collaborative environment and within a cross-functional team. Experience working with engineers closely is a plus. Strong analytical, creative problem-solving and decision-making skills Salary Package  +enhanced healthcare benefits +PTO +401K +Many more +10% bonus How do I apply?  If you are interested in applying for the Analytics Lead role register now via the link on this page or contact Digital Republic on the phone  (+1 628-239-3600 ) or email annabel(at)digitalrepublictalent(dot)com Who are Digital Republic?  Digital Republic Recruitment has been created with the sole purpose of delivering dedicated web and digital analytics recruitment solutions across the UK, Germany and US. The Republic aims to use our in-depth web and digital analytics expertise to provide an unparalleled experience to anyone doing business with our passionate and motivated people. You can also find out more on Twitter and LinkedIn Job Type: Full-time Schedule: 8 hour shift Education: Master's (Preferred) Experience: developing analytical solutions: 1 year (Preferred) SQL: 1 year (Preferred)",,
https://www.indeed.com/viewjob?jk=37aa3c611af79117&from=web&vjs=3,550,"Senior Associate, Data Literacy Advanced D&A Learner Pipeline Management - Advisory Data Organization",KPMG,"New York, NY","The KPMG Advisory practice is currently our fastest growing practice. We are seeing tremendous client demand, and looking forward we don't anticipate that slowing down. In this ever-changing market environment, our professionals must be adaptable and thrive in a collaborative, team-driven culture. At KPMG, our people are our number one priority. With a wealth of learning and career development opportunities, a world-class training facility and leading market tools, we make sure our people continue to grow both professionally and personally. If you're looking for a firm with a strong team connection where you can be your whole self, have an impact, advance your skills, deepen your experiences, and have the flexibility and access to constantly find new areas of inspiration and expand your capabilities, then consider a career in Advisory. KPMG is currently seeking a Senior Associate to join our Advisory Data Organization. Responsibilities: Provide regular reports on cohort progress to KPMG Data Citizens with Purpose® project pipeline managers, using Power BI, addressing overall scheduling, enrollment and completion status Work with advanced practitioners to support Level 4 and the micro-innovation as part of Data Literacy Level 5, including data source identification and provisioning and micro innovation management and manage learner scheduling and completion data using Alteryx workflows to merge and update data from multiple sources Manage concurrent groups of learners (cohorts) of Level 2-5 learners, including scheduling Virtual Instructor-Led Training (VILT) sessions, tracking attendance, conducting knowledge-check polls and capturing test scores; additionally, collection and monitoring of progress metrics, identification of learners requiring additional support, communication with service network coaches and champions regarding completion issues and coordination with KPMG Data Citizens with Purpose® project pipeline manager Support recognition of completed learners through Service Network Leads, D&A Champions and Resource Managers Coordinate course work with third parties including universities, monitoring course progress reports, facilitating communications between KPMG professionals and universities regarding course access Assist learners with course-related questions regarding course topics, materials, tools and data sources and gather and analyze feedback from professionals upon completion of a cohort using standardized assessment questionnaires and interviews Qualifications: Minimum two years of experience related to data & analytics, business intelligence and/or artificial intelligence, preferably in a consulting business Bachelor's degree from an accredited college or university Intermediate proficiency with data analysis using Alteryx and/or Power BI, or advanced Excel skills, with a willingness to learn these tools Demonstrated clear written and spoken communication skills Experience using virtual meeting tools, especially MS Teams, Poll Everywhere and MS PowerPoint Ability to travel 10% of the year (as needed) KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.  At KPMG, any partner or employee must be fully vaccinated or test negative for COVID-19 in order to go to any KPMG office, client site or KPMG event. In some circumstances, individuals who are not fully vaccinated may also be required to have a reasonable accommodation to not be fully vaccinated for COVID-19.",30+ days ago,"7,042 reviews"
https://www.indeed.com/viewjob?jk=7096a31151c8769a&from=web&vjs=3,550,Technical Trainer: Design and Development – Data and AI,NetCom Learning,"New York, NY 10018","JOB OVERVIEW:  We’re looking for an enthusiastic and passionate trainer who can enhance and enrich the learning experience and ensure that training translate to business results for every learner.  You will have a chance to engage with us for around 30 weeks a year to delivery classroom session, both in-person as well as virtually live-online.  You will also get an opportunity to build your brand by hosting webinars on latest trending topics from your areas of expertise.  REPORTS TO:  Head of Delivery Operations  RESPONSIBILITIES AND DUTIES:  Deliver in-person or live-online training classes  Host Webinars once a month  Prepare, augment and enhance in-house training content  Be the Subject Matter Expert during sales cycle  Maintain world class Feedback scores for both self and NetCom  Manage class logistics which may include porting training material and systems  KEY SKILLS:  5 years training experience with 10 years of overall experience working of Big Data, Automation and Artificial Intelligence  Excellent Facilitation and Presentation skills  Ability to translate knowledge into skills  Impeccable English communication  Content Development  Ability to drive application of skills in a Business Environment  COURSE TO BE TAUGHT:  As an instructor for NetCom Business Processes practice area, you must be able to teach the following courses at Beginner, Intermediate and Advance levels:  Hadoop  Crystal reports  Tableau  Microsoft Power BI  Microsoft SQL Server  Google AdWords  Google AdWords & Google Analytics  CERTIFICATIONS / LICENSES:  MCT / Google Certified Instructor  CompTIA CTT+  SALARY RANGE:  Depends on qualifications and experience. TO APPLY:  Please send your cover letter and resume to opsmgmt@netcomlearning.com with the specific job position of Technical Trainer: Design and Development – Data and AI in the email subject.",30+ days ago,42 reviews
https://www.indeed.com/viewjob?jk=b5039cf6e5ad7be8&from=web&vjs=3,550,"Associate Director, Automation & Machine Learning",News Corp,"New York, NY","Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets Job Description : MarketWatch is looking to further explore automation opportunities to personalize the content experience; To provide readers with world-class information about their interests, their stocks, and their portfolio. In pursuit of these efforts we are looking for an Associate Director of Automation and Machine Learning who will drive and support automation and machine learning efforts across the MarketWatch platform. This individual will be responsible for identifying, vetting, and prioritizing automation opportunities across the organization, as well as driving technical solutions from idea inception through productionization. It is important to note that although this role is meant to serve the MarketWatch platform, the ideal candidate will help drive automation and machine learning best practices across the wider Dow Jones & Barron's Group organizations. On any given day, this individual will be expected to: Lead a team of automation engineers and markets experts, working to build and prioritize automation and machine learning solutions for the business, Convene with stakeholders, both business and technical, to understand and document overarching needs, goals, expectations, and constraints, Frame business objectives as data-driven initiatives and reframe resulting, technical metrics with relation to stated business objectives, Uncover and evangelize best practices and technical solutions across the organization. We expect the ideal candidate to have: A comprehensive understanding of both the media and markets landscapes, A strong understanding of automation techniques and best practices, Proven experience productionizing automation solutions, particularly in the markets or media space, Strong leadership and communication skills, Experience working directly with or leading engineers and data scientists. Job Category: IT Development Group",30+ days ago,48 reviews
https://www.indeed.com/viewjob?jk=a3412f4d95da0811&from=web&vjs=3,550,AI / NLU Engineer,Recruiting From Scratch,"New York, NY 10002","Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.  If you are a fit, the team will reach out to you about this role or any others that may be a fit for our clients.  Our Client This role is for a variety of clients that are 100% remote.  For nearly 25 years, enterprise customers nationwide – Fortune 500, healthcare, and higher education – have depended on this client to improve the start of every caller’s journey and remove barriers to service. Our commercial applications have one clear objective: help people simplify their lives through speech automation. It’s a goal that has continuously guided our pioneering work to modernize caller experiences.  Join a group of talented people in providing adaptive speech solutions to our prestigious customer base. We are seeking a developer with AI/Natural Language Understanding expertise and experience building production-level NLU-driven applications, to join and influence the next level of evolution in our voice-driven solutions. Become a key member of our team that's dedicated to advancing our solutions to simplify and improve caller engagement through automation.  The successful candidate will have experience in designing and building semantically driven applications, and will have experience working with two or more natural language application design frameworks. Preferred candidates will have experience delivering contact center solutions, and have worked in the voice domain, using both finite-state grammars and statistical language models, and have a strong sense of the relative strengths and weaknesses of various approaches to NLU-based solutions.  Essential Qualifications A degree in Computer Science, Computational Linguistics, or related field Experience building complex, multi-turn, semantically driven, intent-based applications for production use Experience with two or more of the following: Google DialogFlow, IBM Watson Assistant, Amazon Connect and/or other NLU platforms Excellent and demonstrable problem-solving skills Excellent communication skills and experience in working with customers Curiosity, a drive to understand, and a passion to excel and create satisfied customers Being a self-starter who is also able to work in a team At least three years of programming experience, with fluency in Python Legal authorization to work permanently in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job.  Bonus Qualifications Experience building and delivering contact center solutions Experience working in the voice domain in addition to the text domain Automated Speech Recognition background  Work Context Work independently or as part of a small team on projects Communicate daily with colleagues and management Work remotely using collaboration software and video conferencing  Make a difference Come work at a company where your voice matters and you can make a real impact beyond your specific job role. You will gain a view of the whole company fostered by open management and a flat organizational structure. The team is made up of people who care about each other and our customers. We support a healthy work/life balance and are enormously productive by respecting work hours and letting people live their lives and have their downtime.  Benefits The compensation and benefits packages at the client are designed to put people first:  Comprehensive health care for you and your family 15-20 paid vacation days each year depending on tenure 10 paid holidays each year 10 paid sick days each year that can be used when you or a family member is sick. We don't think you should have to use vacation time for these unexpected circumstances. Parental leave of up to 12 weeks 401(k) retirement plan with company match Budgeted learning/development and paid conference days Stock awards for meritorious performance",30+ days ago,
https://www.indeed.com/viewjob?jk=39d0ee69cdec49ac&from=web&vjs=3,550,Senior Machine Learning Engineer,AT&T,"New York, NY","Our Story Xandr is a technology platform powering one of the largest global Advanced TV and Video advertising marketplaces in the industry. We scale our business as WarnerMedia people who independently build the Xandr platform and brand. For more than a decade, our data insights, premium content, powerful technology, and scaled direct-to-consumer distribution have given us a competitive edge — leading us to improving advertising for all brands, publishers, and consumers.  How do we do this? With talented, passionate people like you! We bring together people from diverse backgrounds and give them an opportunity to bring their ideas to life. Join our community to Make Advertising Better!  The Team Xandr’s mission is to make advertising matter. Creatives (or digital ads) are the transactional unit of online advertising: they are what the user sees or hears (banner, video or audio ads in a browser or on a connected TV). Being that creatives are a core part of our clients’ buying strategies, our products are some of the most heavily used on the platform. We build products that provide consumers with positive, safe ad experiences, and we build intuitive workflows that enable advertisers to successfully execute their objectives.  The Job Xandr is seeking a Senior Machine Learning Software Engineer to join the Creative team. You will be joining a team that is focused on using Machine Learning to advance the products that we build. We are using Machine Learning to assign attributes, such as brand, to creatives, identify malicious behavior in ads, and inform users of potential issues before they become problems. The Creative Machine Learning team develops and trains multi-modality deep learning models (features include images, video/audio and text) with large datasets that include tens of millions of examples. The team extracts data and labels from structured and unstructured data stores to create large datasets, defines the model architectures, evaluates models, and tunes them, deploys models in production and monitors their use over time. We are only scratching the surface with what we can achieve at Xandr, and you will have a front-row seat in advancing our efforts.  The ideal candidate has a strong experience applying deep learning to at least one of the data modalities that our team works with (text, images, video) and is interested in broadening this experience to the multi-modality setting. Experience creating datasets in industry and deploying deep learning models in production is a plus.  Team members recognize that Machine Learning is only one part of a complete solution and collaborate with other engineers to deliver a truly impactful product to our customers.   You Will  Develop infrastructure and tools to productionize new models in a repeatable manner  Iterate on current models to improve predictive and runtime performance  Prototype new ML approaches and design experiments for evaluation  Identify opportunities to apply machine learning methodologies to solve business problems  Participate in design discussions about new features and approaches to implementing new services  You Have  2-3 years of experience in applying deep learning to large datasets in industry or academia  Experience contributing high quality code to large codebases; Python and Java preferred  Foundational knowledge of deep learning concepts  Experience with Machine Learning APIs and libraries; PyTorch (preferred)  Knowledge of database management system preferred  Knowledge of data manipulation frameworks (e.g., Apache Spark)  Experience building Machine Learning systems at scale would be a plus  Experience with distributed training for deep learning models   More about you  You are focused on building high performance models.  You keep abreast of deep learning literature in your sub-field of interest.  You are passionate about learning and teaching. You love challenging yourself to constantly improve and sharing your knowledge to empower others.  You are not satisfied with the status quo and are always looking to improve how things are done and what is built.  You like to take risks when looking for novel solutions to complex problems, but know how to mitigate risks to deliver projects on time.  If faced with roadblocks, you continue to reach higher to make greatness happen.   Our Perks Comprehensive healthcare coverage  Flexible time off including volunteer days, vacation, and holidays  Professional development resources and education reimbursement Paid parental leave  Fitness reimbursement  AT&T internet/phone and HBOMax discounts  401k with company match  Our Culture Xandr strives to foster a diverse, inclusive and engaging work environment. Our inclusivity in action includes:  Staying connected and embracing this new normal as we work from home - we may be social distancing but we're #InsideTogether  Creating meaningful change for our communities and pathways for future generations of diverse talent through our employee volunteerism efforts Sharing insight and stories on what it’s really like to work here  Partnering with organizations to support our commitment to women’s advancement in tech Providing accommodations for persons with disabilities, both for interviewees and for employees. Should you require an accommodation, please let us know and we’ll make arrangements   Awards Xandr, its products and its executives have received several prestigious awards. In 2020 alone, Cablefax's annual The Faxies awards named Xandr’s EVP and GM Innovator of the Year and the Xandr technology organization Tech Team of the Year. In the same year, seven female executives were included in the Cynopsis list of Top Women in Media, and several of its products, innovations and client partnerships were recognized by esteemed outlets globally, including AdExchanger, Digiday, The Drum, ExchangeWire and Cynopsis. Concurrently, the company’s dedication to corporate social responsibility was recognized in Fast Company’s 2020 World Changing Ideas issue. Xandr was also included on Business Insider's Hottest AdTech Companies list in 2019 and 2018.   Xandr is an equal opportunity employer. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.  Xandr Twitter  Xandr Instagram  Xandr LinkedIn  #LI-POST",30+ days ago,"39,991 reviews"
https://www.indeed.com/viewjob?jk=9264905c873e9f88&from=web&vjs=3,550,ML Engineer,Moody's,"New York, NY 10001","About Moody's Analytics Machine Learning Team  We are a team that creates and delivers machine learning models and applications for the financial services industry. At a high level, we ingest millions of news articles and other various data sources and process the data through pipelines to produce results such as entity recognition, sentiment analysis, credit adversity, and more.  Interested in machine learning? Take advantage of our growing team's collective knowledge and learn as you go. We fully embrace cross-training and continuous learning.  We are in search of a self-motivated and versatile senior DevOps engineer with the ability to work in an energetic and interactive environment. You must be a self-starter with a passion for crafting innovative software solutions. You will regularly learn and implement new technologies, and play an active role in developing, proving out, and (re)assessment of existing architectures.   Job Responsibilities Design and development of Terraform and Ansible modules. Deployment and productionisation or machine learning model applications in production. Lead the team in various aspects around stability, application delivery, and availability . Contribute to the growth of the team and continuous learning. Maintain a strong security awareness through frequent assessments and software architecture design processes. Influence technology selection, software architecture design, security practices and implementation Extensive experience in DevOps engineering, team management, and collaboration. Be ready, willing, and able to work in a fast-paced environment with a strong desire to run to trouble. Proficiency in shell scripting, python, and HCL. Knowledge and experience working with distributed systems. Extensive knowledge & experience with git, linux system administration, docker, kubernetes, and databases including elasticsearch and MySQL. Extensive knowledge of cloud platforms such as AWS, Azure, or Google Cloud. Strong communication and problem-solving skills with the ability to discuss projects with colleagues who have little technical knowledge of devops techniques and tools. Ability to oversee and provide significant valuable input regarding infrastructure design and maintenance. Predictive Analytics Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, gender, age, religion, national origin, citizen status, marital status, physical or mental disability, military or veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Moody’s also provides reasonable accommodation to qualified individuals with disabilities in accordance with applicable laws. If you need to inquire about a reasonable accommodation, or need assistance with completing the application process, please email accommodations@moodys.com. This contact information is for accommodation requests only, and cannot be used to inquire about the status of applications.  For San Francisco positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the San Francisco Fair Chance Ordinance. For New York City positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the New York City Fair Chance Act. For all other applicants, qualified applicants with criminal histories will be considered for employment consistent with the requirements of applicable law.  Click here to view our full EEO policy statement. Click here for more information on your EEO rights under the law. Click here to view our Pay Transparency Nondiscrimination statement. Moody's (NYSE: MCO) is a global integrated risk assessment firm that empowers organizations to make better decisions. Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others. We believe that greater transparency, more informed decisions, and fair access to information open the door to shared progress. With over 11,000 employees in more than 40 countries, Moody's combines international presence with local expertise and over a century of experience in financial markets. Learn more at moodys.com. Moody’s Analytics provides financial intelligence and analytical tools supporting our clients’ growth, efficiency and risk management objectives. The combination of our unparalleled expertise in risk, expansive information resources, and innovative application of technology, helps today’s business leaders confidently navigate an evolving marketplace.",21 days ago,478 reviews
https://www.indeed.com/viewjob?jk=63e54804af527c00&from=web&vjs=3,550,Counsel- Legal Data Management & Advisory Group,BNY Mellon,"New York, NY","For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments, and it safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers. As part of the safest and most trusted financial institutions, the BNY Mellon Legal Department mitigates risk and handles legal affairs to ensure the security of the company and its clients. BNY Mellon's Legal Department works with the various businesses on a wide range of client matters, has overall responsibility for government affairs, advises on advocacy and policy initiatives to support the company’s domestic and international operations, and supports all bank regulatory and supervisory matters.  Description  Financial Services Attorney with experience using and implementing legal technology to solve complex problems.  Description  BNY Mellon is seeking an experienced attorney to support the firm’s Legal Data Management & Advisory group, while secondarily carrying out various bespoke projects within the Legal Department. The successful candidate will be based in New York and will have the following responsibilities, among others:   Maintain and enhance the firm’s artificial intelligent legal agreement repository by advising on legal issues, building artificial intelligence/machine learning rules and providing guidance and quality checks to the firm’s on and off shore document review specialists.  Coordinate various departments and stakeholders, including but not limited to legal, operations, compliance and lines of business to execute activities.   Create work product and provide advice related to the interpretation of a variety of agreement types, including but not limited to, custody agreements, corporate trust agreements, master netting agreements, loan and credit related documented and collateral agreements.  Complete one off projects/tasks supporting the larger department in a timely manner.  Qualifications  JD, Member of the New York State Bar in good standing Minimum 5 years of legal experience in the financial services industry  Candidate must have strong analytical skills; be a fast learner; have excellent oral, written and presentation communication skills; be a collaborative and collegial team player; demonstrate an ability to present in a variety of meetings and to senior management; be a self-starter and creative thinker who is able to work independently and take a proactive approach to the job; have strong planning and organizational skills; be able to deliver precise and timely work product; handle multi-tasking; and demonstrate initiative and high work standards at all times. Candidate should be effective at using all available resources to resolve complex problems/issues. Candidate should be eager to learn and should not shy away from asking questions or difficult tasks. Ideally, the candidate will have experience in the legal department of a large financial services organization and have familiarity with various types of financial services contracts. Experience working on large enterprise and/or regulatory change projects is also preferred.",30+ days ago,"4,829 reviews"
https://www.indeed.com/viewjob?jk=c8b12dfafd395459&from=web&vjs=3,550,Senior Data Analyst,ERGO,"New York, NY 10024","About Us  We are a SaaS MarTech company specializing in personalized email marketing for blue-chip brands.  Our platform empowers marketers to automatically create hyper-dynamic HTML email content modules at scale. It’s integrated with enterprise ESPs, such as Salesforce Marketing Cloud APIs, so clients can easily publish these email modules from our system with the push of a button.  The best way to envision this is to imagine reading a magazine, and with every page turn, the content learns about you and can predict the content that is most relevant to you as an individual.  Since COVID, we have transitioned to a work-from-almost-anywhere framework. What that means in practical terms is that people can be virtual, or if needed, can work in a WeWork location. We still think team building is important, so we also plan in-person quarterly gatherings and monthly virtual events.  The Role  We are looking for a Senior Analyst to join our Data and Insights team. Your primary responsibility will be to analyze financial services customer and behavioral data and develop visually appealing and easy-to-understand charts, graphs, reports, dashboard views, insight narratives, and recommendations. More specifically, you will:   Design and automate reports for specific products, customers, and programs using Python, SQL, and Tableau  Develop and present reports with business insights to help drive customer and internal decisions  Perform ad-hoc analysis to quantify trends in market/customer behavior  Design visually compelling dashboard views for our clients  Develop and maintain internal and external controls to store and retrieve client data, reports, and marketing material   Please note, H1B Sponsorship is not available for the role.   The Qualifications  The ideal candidate for this position needs the following:   Have 5-7 years of experience in a role that required advanced analytics, extensive reporting, and abstracting insights/recommendations from large datasets  Experience with retail financial services data (transaction, account, customer, and household level), including typical financial services products such as credit cards, lines of credit, and checking accounts  Have a deep passion, curiosity, and understanding of advanced data analysis and a strong business sense  Are a self-starter, problem-solver, and resourceful  Are flexible and able to manage multiple tasks and deadlines  Are a strong verbal and written communicator and excellent collaborator that values building strong relationships with colleagues, clients, and other stakeholders  Have the ability to understand complex topics/processes/problems and explain them to your colleagues in simple terms  Have a Bachelor’s Degree in Computer Science, Statistics, Economics, Applied Mathematics, Operations Research, Business Intelligence or similar quantitative discipline  Excellent knowledge of Tableau, SQL, and Excel  Working knowledge of email marketing and web analytics   The Perks  We offer a competitive and compelling package that includes:   Market-based salary  Annual profit sharing grants  Total of 24-day PTO package that includes things like: company shut down between Christmas and New Years, Presidents' Day, Martin Luther King, Jr. Day, two 4-day weekends on the summer holidays, July 4th, and a 4-day Thanksgiving break. This also includes 10 PTO days to use at your convenience.  Generous health, vision, & dental benefits  401k plan with matching  Referral bonus program  A comprehensive career development coaching program and training  Monthly company-wide All-Hands meeting to share ideas, brainstorm, and foster transparency and alignment.  Work from home welcome kit and dedicated onboarding team.  Regular virtual happy hours and hands-on team building activities.    The best perk? Our people. If you’re ready to join us, apply now",20 days ago,
https://www.indeed.com/viewjob?jk=539f1f35d98ddc00&from=web&vjs=3,550,"Senior Data Scientist, Measurement Products",Amazon.com Services LLC,"New York, NY"," Bachelor's Degree  5+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)  4+ years working as a Data Scientist  Experience in as many of the following areas: causal inferencing, multi-variate testing & design, A/B testing & design, descriptive analytics, and regression analysis.  Good understanding of supervised and unsupervised learning models.  Job summary Amazon Advertising is one of Amazon's fastest growing and most profitable businesses, responsible for defining and delivering a collection of advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks and break fresh ground in product and technical innovations every day! The Ad Measurement team develops and deploys solutions fueled by machine learning to support Amazon Advertisers in their strategic campaign planning. Leaning on rich data points, we provide measurements, predictions and diagnostics that separate Amazon Advertising from all other media. To do this, our team must bring a diverse set of Statistical Machine Learning skills including Computer Vision, Deep Learning Natural Language Processing models, Marketing Mix and Response Models, and Brand Sentiment and Lift analysis.  As a Senior Data Scientist on this team, you will:   Lead full life-cycle Data Science solutions from beginning to end.  Deliver with independence on challenging large-scale problems with ambiguity.  Write code (Python, R, Scala, etc.) to analyze data and build statistical models to solve specific business problems  Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance.  Analyze historical data to identify trends and support decision making.  Provide requirements to develop analytic capabilities, platforms, and pipelines.  Apply statistical and machine learning knowledge to specific business problems and data.  Formalize assumptions about how our systems should work, create statistical definitions of outliers, and develop methods to systematically identify outliers. Work out why such examples are outliers and define if any actions needed.  Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes.  Build decision-making models and propose solution for the business problem you defined  Conduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication.   Why you will love this opportunity:  Amazon is investing heavily in building a world-class advertising business. This team defines and delivers a collection of advertising products that drive discovery and sales. Our solutions generate billions in revenue and drive long-term growth for Amazon’s Retail and Marketplace businesses. We deliver billions of ad impressions, millions of clicks daily, and break fresh ground to create world-class products. We are a highly motivated, collaborative, and fun-loving team with an entrepreneurial spirit - with a broad mandate to experiment and innovate.  Impact and Career Growth:  You will invent new experiences and influence customer-facing shopping experiences to help suppliers grow their retail business and the auction dynamics that leverage native advertising; this is your opportunity to work within the fastest-growing businesses across all of Amazon! Define a long-term science vision for our advertising business, driven from our customers' needs, translating that direction into specific plans for research and applied scientists, as well as engineering and product teams. This role combines science leadership, organizational ability, technical strength, product focus, and business understanding. Team video ~ https://youtu.be/zD_6Lzw8raE   Experience in as many of the following areas: causal learning, multi-variate testing, hypothesis testing, and A/B Testing  Experience in data applications using large scale distributed systems (e.g. EMR, Spark, Elasticsearch, Hadoop, Pig, and Hive).  Broad knowledge of ML methods, statistical analysis, and problem-solving skills.  Expert level knowledge in Statistics; sophisticated user of statistical tools.  Experience processing, filtering, and presenting large quantities (hundreds of millions/billions of rows) of data  Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization.  Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment.  Excellent verbal and written communication skills with the ability to advocate technical solutions for science, engineering, and business audiences.  Ability to develop experimental and analytical plans for data modeling, use effective baselines, and accurately determine cause-and-effect relations.  Experience in computational advertising is a plus.  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",30+ days ago,"77,968 reviews"
