URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=4c15d7d7143986a7&from=web&vjs=3,20,Data Scientist,Asurion,"Nashville, TN 37203","    Job Description:     Data Scientist     Global Products  Nashville, TN        At Asurion, we help customers enhance their life through their technology every day. We provide easy, instant access to a community of tech experts, to solve any technology issue you could ever have with almost any device you’ll ever own. We are a team of Data Scientists looking for individuals who are passionate about using data to drive business decisions.        Role and Responsibilities:     Asurion is seeking for Data Scientists to join our Data Science team. Team members in this role will identify, formulate, and address complex business problems, design, and drive the creation of new data products and analytical capabilities embedded in multiple business applications.        Qualified candidates will also gather and analyze large volumes of data, evaluate scenarios to make predictions on future outcomes and support decision making for the business. Candidates must be able to use advanced statistical data modeling techniques and tools. Lastly, candidates are expected to be able to design experiments, measure impact, synthesize insights and clearly communicate recommendations for improvement in products and processes.        In this role you will:        Use business acumen and analytical skills to identify opportunities, estimate potential, layout strategy roadmaps to solve complex business problems     Be responsible for using analytical techniques like Machine learning, Natural Language Processing, and advanced data visualizations to improve Asurion’s customers’ experiences     Deploy ML solutions in production environment     Design statistical tests for product experiments, measure impact, derive insights and provide recommendations     Work closely with product managers to identify and answer important product questions that help improve outcomes     Interpret problems and provide solutions using appropriate data modeling techniques     Develop prototypes for new data product ideas     Design large scale models using techniques such as Logistic Regression, Decision Trees, Spatial models, Time-series models, and Machine Learning algorithms     Utilize Natural Language Processing to analyze speech and social data     Drive the collection of new data and the refinement of existing data     Regularly invent new and novel approaches to problems; take initiative and break down barriers to solve problems; be recognized within team as the source of solutions     Manipulate and analyze complex, high-volume, high-dimensionality data from multiple sources     Bring a strong passion for empirical research and for answering hard questions with data     Communicate complex quantitative analysis in a clear, precise, and actionable manner           Here’s what you’ll bring to the team:        Master’s or PhD in Computer Science, Data Science, Software Engineering, Computer Engineering, Electrical Engineering, Electronics Engineering, or a related field     Strong knowledge of Machine Learning & Deep Learning     Demonstrated experience with natural language processing is a plus     Knowledge in Hypothesis testing, Statistical Methods, Sampling Theory, Experimental Design     Familiarity with common advanced analysis tools – SQL & Python/R     Demonstrated familiarity (work experience, GitHub account) with OOP concepts. Expertise in Python is a big plus     Ability to ask and tackle the most important analytical questions with a view on driving product impact     A motivated, focused, and self-starter mentality with effective communication skills, and amazing follow-through     You tackle your work and love the responsibility of being individually empowered           Why Asurion:     Simply put, Asurion helps people stay connected. As the global leader of connected life services, we provide over 290 million consumers around the world with simple, intuitive technology advice to help them get the most from their devices; support to fix their issues and connectivity crisis, and device protection to ensure they receive a replacement or repair. When a product is missing or simply doesn't work properly, Asurion’s 17,000 employees are focused on solving the problem with people and processes operating 24 hours a day, seven days a week, speaking six languages, and working across any device, platform, or provider. By partnering with leading retailers, mobile carriers and pay-tv providers, Asurion helps customers enhance their lives through their technology. For more information about Asurion Data Science Team, please visit www.datascience.asurion.com     ",30+ days ago,"3,760 reviews"
https://www.indeed.com/viewjob?jk=b6019e3fcb952939&from=web&vjs=3,20,Lead Data Scientist,"Bridgestone Americas, Inc.","Nashville, TN 37201","     Company Overview     Wherever you work and whatever role you fill, when you represent the Bridgestone name you know that you are a valued teammate who is part of our larger mission to “Serve Society with Superior Quality.” We start by offering each teammate more than just a salary. We provide formal training, competitive performance incentives, paid vacation and holidays, healthcare packages for full-time and part-time employees, and a 401k plan to help build your future.        We believe people can only provide superior service and quality to others when they are allowed to bring their whole selves to work and know they are supported. We believe in championing all perspectives, individuals and teams because we understand the importance of seeing the world and our business through many different lenses. We are building a team as diverse as the world we serve. So, show us what you’re made of. Show us the smart stuff, the tough stuff, the bold, beautiful and brave stuff. Because who you are is what we need.        Bridgestone Americas, Inc. is headquartered in Nashville, Tennessee and is the U.S. subsidiary of Bridgestone Corporation headquartered in Japan. Bridgestone Americas and its subsidiaries develop, manufacture and market a wide range of Bridgestone, Firestone and associate brand products to address the needs of a broad range of customers and industries.                                                                                                                                                                                                                                                                                                              Job Category                                                                                                                                                                                                                                                                                   Data & Analytics                                                                                                                                                                                                                                                                                                             Position Summary                                                                                                                                                                                                                                                                                   The Lead Data Scientist will take ownership of large-scale data science initiatives, develop end-to-end solutions that have efficient and productionable algorithms, and communicate relevant insights to stakeholders.                                                        Responsibilities                                               Job Duties:         Builds, implements, and maintains predictive models for business problems with no current solution.      Works in both independent and collaborative team environments.      Drives continuous improvement of existing models.      Engages with cross-functional teams as appropriate including IT, operations, data engineers, ML engineers, and external partners.      Develops Python code in enterprise on-prem or AWS or Azure cloud environments.      Interprets, communicates, and presents analytic results to business executives.      Builds or supports the building of business cases related to data science related projects.      Provides guidance on application of data science within other departments and the use of external vendors.      Assists the Principal Data Scientists in the development of data science standards for the department.      Reviews code and modeling approaches of other Data Scientists.      Mentors and assists in technically supervising less experienced Data Scientists.      Continually strengthens knowledge of analytical methods, vendors, and tools.      Actively participates in knowledge-sharing opportunities within team and across the company.           Required Qualifications:         Master’s degree in a quantitative field (data science, statistics, computer science, physics, math, engineering, or similar)      6+ years of data science experience      3+ years of Python programming experience required      Experience operating and deploying models in cloud environments (e.g., AWS, Azure), collaborating with IT, Data Engineers, ML Engineers.      Applied experience and working knowledge across a wide range of statistical and machine learning techniques.      Experience working with large data sets from multiple data sources (text, speech, images, structured, unstructured).      Experience applying ML techniques in 2+ business domains or functional areas      Experience working in large and complex projects using common project management methodologies e.g., Agile, Waterfall, Six Sigma, Lean.      Strong communication and presentation skills.           Preferred Qualifications:         Experience in Machine Learning in auto or related industries (incl. image, speech, pattern recognition & anomaly detection)      Experience in a startup environment strongly preferred      Experience building commercial (monetized) data science/ML solutions.      Experience with distributed computing (Spark/MLLib)      Experience in software development processes including Dev/QA/prod, release cycles, Continuous Integration / Continuous Deployment, source control, code reviews etc.      Experience in IoT and streaming data analytics                                                                                                                                                                                                                                                                                                                 Minimum Qualifications                                                                                                                                                                                                                                                                                      Master’s degree in a quantitative field (data science, statistics, computer science, physics, math, engineering, or similar)     6+ years of data science experience     3+ years of Python programming experience required        Bridgestone is proud to be an Equal Employment Opportunity / Affirmative Action employer. It is our policy to consider for employment all individuals regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, gender, sex, sexual orientation, gender identity and/or expression, genetic information, veteran status, or any other characteristic protected by federal, state or local law.        Employment Eligibility     If hired, a Form I-9 Employment Eligibility Verification must be completed at the start of employment. Temporary work authorization or the need for sponsorship may disqualify you from employment.   ",30+ days ago,"2,175 reviews"
https://www.indeed.com/viewjob?jk=1a53017c8e13f9ce&from=web&vjs=3,20,Senior Data Scientist,Deloitte,"Memphis, TN 38119","    Do you have a passion for artificial intelligence, machine learning, and data analysis? Do you yearn to have the impact of your work recognized and valued by more than just your development team? Do you constantly wonder what you could build if only you had access to world-class data sets and computing resources?        If yes, we have just the role for you.        In Deloitte's Audit and Assurance business, we make businesses and markets better. An audit is more than an obligation; it is an opportunity to see further and deeper into businesses. In our role as independent auditors, we enhance trust in the companies we audit, helping a multitrillion dollar capital markets system function with greater confidence. As we aspire to the very highest standards of audit quality, we deliver deeper insights that can help clients become more effective organizations.        Deloitte's Audit and Assurance business embraces the promise of artificial intelligence and machine learning, with various forms of AI and ML embedded in the audit technology solutions currently used by our 10,000+ practitioners today. Within our dedicated Data Science organization, a subgroup of our award-winning Audit Transformation group, we continue that journey enabling the next generation of AI-enabled solutions that usher in a future that completely transforms the way our practitioners perform their audit work, and the insights we can provide to our clients.        You will be joining a growing team of talented professionals in a fast-paced yet collaborative startup-like environment dedicated to realizing the Deloitte Audit and Assurance vision of an AI-enabled audit. You will be leveraging the most advanced technologies in machine learning, natural language processing, time-series modeling, and reinforcement learning to lead our business into the future.        As a Senior Data Scientist, you will focus on supporting the Data Science group and actively participate in all the processes of a data science project, with a focus on generating and selecting features, creating models, and boosting their performance and accuracy, as well as guiding and supervising more junior resources.        Specifically, you will be expected to:            Apply rigorous data science practices on your specific assigned workstreams; particularly:            Perform exploratory data analysis to understand relationships and opportunities to influence outcomes, while being able to quickly iterate common feature transformation and model types to find the best predictive models        Develop proofs of concept to verify your ideas, including counterfactual explanations for interpretability           Collaborate daily with Data Science Managers to solve complex data science problems that emerge within your workstream and others.      Collaborate with subject matter experts to obtain an understanding of the underlying business problem, and to define and refine the corresponding technical solution.      Be a key contributor to the planning and direction of a project and effectively prioritize goals and objectives      Identify opportunities to apply the latest advancements in machine learning and artificial intelligence to build, test, and validate models      Make impactful contributions to internal discussions on emerging machine learning methodologies      Effectively explain technical concepts      Develop and embed automated processes for model validation, deployment, and implementation            Qualifications            Required:             Undergraduate degree in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics)      3+ years of industry experience designing, developing, and deploying machine learning models      Experience with cloud-based ecosystems (Azure, GCP, AWS)      Extensive experience with Python and relevant libraries (NumPy, Pandas, Scikit-learn, etc.)      Solid understanding of machine learning model development life cycles      Demonstrated understanding of machine learning model performance assessment      Experience with version control practices and tools (Git, etc.)      Experience using common machine learning and deep learning libraries and techniques, including TensorFlow, PyTorch, and big data platforms      Fluency in both structured and unstructured data (SQL, NOSQL)      Knowledge of Docker, Jenkins, Kubernetes, and other DevOps tools      Excellent verbal and written communication skills      Ability to travel when necessary            Preferred:             Master's degree or PhD in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics)      Extensive experience with Microsoft Azure, including certification in machine learning      Experience with machine learning pipelines (Azure ML)      Experience in an Agile working environment and related project management tools (Jira, Azure DevOps, etc.)      Public AI-related projects you have developed available on GitHub      ",Today,"10,615 reviews"
https://www.indeed.com/viewjob?jk=b3505219c77b2d4b&from=web&vjs=3,20,Data Scientist Engineer,"MSi Workforce Solutions, LLC","Chattanooga, TN 37421","  Position Description:  Job Title:   Data Scientist Engineer (Engine Analytics) Duration:   12 Months Location:  Mossville, IL  – Will start remote but will be on-site later in 2022   Job Description:       The individual will code condition monitoring power systems content into engineering and commercial content.      Analytical, statistical, and machine learning techniques will be applied.      Individual will work with the team to individually contribute to project work.      This may involve original development or replication and tuning of existing content to new applications.      Initial work will be replication and expansion of product to other content lines.      Data mining will also be an expectation.      This is a key step to both starting a project (get ground truth data) and validation - is the model good enough?      Engineering knowledge will be applied to confirm that answers make sense and do not conflict with real world physics.     Typical Day:   ****Mossville location (on-sight later in 2022).  Position will start as remote work*****  Current team plans, subject to change, is a hybrid office work schedule with a combination of in-office days and remote days.        Individual should have at least two main projects to work on (likely more, but prioritized).      The day should be switching back and forth depending on priority and next steps (you may be waiting on someone).      There would also be a back-up activity that is valuable, but not time sensitive.      Work is in front of a computer screen doing data analysis and coding.      Meetings will occur, but are generally collaboration and project oriented.      There are brief daily standup meetings and well as a longer fortnightly staff meeting.     Education Requirements:        Formal training in mechanical or electrical engineering.      Some engine or mechanical system experience.       Ideal:     * A mechanical engineering BS degree combined with 2-4 years of analysis experience, will consider graduate work as relevant experience but does prefer some relevant work experience outside of the graduate work.   Technical Skills:   Required:          Demonstrated coding and applied analysis.       Basic engine and engineering knowledge or client experience.     Strong candidates will have:         Demonstrated coding in python, engine knowledge, and applied analytics/statistics/machine learning experience.     Soft Skills:        Verbal and written communication    Initiative - 1) move to next task without asking  2) determine next logical task in absence of instruction and start work    Create recommendations from available information and completed analysis work.      Interpret and recommended.      Learn from constructive group discussions of results.     Travel Requirement:  None    On-Site Interview Required:  No   Notes:  Data Scientist Engineer Location: Mossville, IL - will start remote and then transition in office later in 2022 Skills: Coding in Python, BA in Engineering + 2 - 4 years exp; Exp with applied analytics / statistics / machine learning    PAY BASED ON EXPERIENCE   Job Type: Full-time   Schedule:      8 hour shift     Education:      Bachelor's (Required)     Experience:      Python: 1 year (Preferred)    SQL: 1 year (Preferred)    Data Scientists & Statisticians: 1 year (Preferred)     Work Location: One location ",,
https://www.indeed.com/viewjob?jk=542c2bd04ed915af&from=web&vjs=3,20,Data Scientist,S&P Global,"Nashville, TN 37201","  Segment:  Market Intelligence     The Role:  Data Scientist III     Location:  Boston or Remote, EST Time Zone   GL: 10 (for internal use only)      At S&P Global Market Intelligence, we hire talented people and give them the autonomy and support needed to build amazing technology and products. To do this, we look for people who insist on a bias towards action and encourage open, honest, and efficient collaborations. We dedicate time and resources to explore new ideas and, as a result, we produce technology that is scalable, robust, and useful.      The Team   You will be part of a rapidly growing organization, joining the team of highly motivated and professional Data Scientists and Machine Learning Engineers within the S&P Global Market Intelligence Data Science Team.      The Impact   Market Intelligence provides financial and industry data, research, news and analytics to investment professionals, government agencies, corporations, and universities worldwide. We integrate news, comprehensive market and sector-specific data and analytics into a variety of tools to help clients track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuations, and assess credit risk. Given the incredible scope of MI’s offerings, we are tackling many complex and exciting problems including but not limited to NLP, time series modeling, record linkage, recommendation systems, anomaly detection, and graph theory.        What You’ll Do:    Collaborate with a variety of stakeholders across the data, product, commercial, and technology organizations and cross divisionally   Conduct original research on some of the most interesting datasets - both proprietary and open source   Identify, research, prototype, and build predictive products   Analyze, transform, structure, and crunch financial data that is growing in size, diversity, and complexity   Write production-ready code and collaborate with machine learning engineers to deploy ML models        What We're Looking For:    Advanced degree in Computer Science, Math, Statistics, Engineering, or related quantitative field   3+ years of experience in data analysis or similar role   Proficiency in Python   Experience with advanced machine learning, natural language processing, and statistics models   Strong statistical knowledge and intuition, especially for applying analysis to real data   Strong communications skills   Strong interest in capital market & economics theory        How to Get Our Attention:          Your GitHub/Kaggle profile shows a project or problems you’ve tackled     You have relevant research or publications     You’ve demonstrated success in academic or industry as a key individual contributor.       Compensation/Benefits Information:    S&P Global states that the anticipated base salary range for this position is $68,300 to $155,900 . Base salary ranges may vary by geographic location.      This role is eligible to receive S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires .        To all recruitment agencies:    S&P Global does not accept unsolicited agency resumes. Please do not forward such resumes to any S&P Global employee, office location or website. S&P Global will not be responsible for any fees related to such resumes.      S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. Only electronic job submissions will be considered for employment.      If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.   The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdfdescribes discrimination protections under federal law.      -----------------------------------------------------------      Equal Opportunity Employer   S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.      If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.        US Candidates Only:  The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.      ----------------------------------------------------------- 20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)        Job ID:  271991     Posted On:  2022-04-17     Location:  Boston, Massachusetts, United States",12 days ago,"1,386 reviews"
https://www.indeed.com/viewjob?jk=56a74778198c34ba&from=web&vjs=3,20,Data Scientist - Ads Optimization,Comcentric,"Nashville, TN","     We are seeking at  Data Scientist - Ads Optimization for a permanent full time position  ( remote).     As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data.     Responsibilities          Conceptualize, analyze, build, test, and implement models that utilize various and diverse data sets to solve problems related to the employment and recruiting industries.      Build and implement machine learning models, testing frameworks, and visualizations to make timely decisions and influence the product roadmap.      Proactively research data and identify opportunities in the data to drive the product roadmap.      Evaluate data’s big picture to solve business problems rather than focusing on metrics alone/      Understand human behavior and know what to look for in the data.      Communicate concisely and persuasively with engineers, product managers, and other functions.      Understand and make sense of highly non-linear systems while figuring out how to optimize them      Helps identify ways to improve data quality and analysis. Utilizes a solid understanding of Indeed’s business fundamentals.         Qualifications         BS in Computer Science, Statistics, Mathematics, or a closely related quantitative field.      3+ years of industry experience, with expertise in Data Science or Machine Learning engineering.      Expertise in statistical modeling and machine learning.      Strong ability to code in Python, Java, etc.      Expertise in applied machine learning, preferably in advertising, auctions, bidding or pricing systems      Experience running controlled online experiments and taking data-driven decisions for improving machine learning-based products. Preferably in non-independent settings, like marketplaces.      Can do small data modeling work: R, Python, Julia, Octave, Matlab      Can do big data modeling work: Hadoop, Pig, Scala, Spark      Can fish for data: SQL, Pandas, MongoDB      Can deploy data science solutions: Java, Python, C++             Salary Range       139,000 - 225,000 USD per year              Actual salaries will vary depending on factors including but not limited to location, experience, and performance.      **The range listed is just one component of the total compensation package for employees. Other rewards may include quarterly bonuses, Restricted Stock Units (RSUs), and an open Paid Time Off policy.          If qualified and interested, please send an updated resume to bonnie.kutin@comcentric.com          Bonnie Kutin     Recruiter     Comcentric Inc.         (805) 208-2137      ",Today,5 reviews
https://www.indeed.com/viewjob?jk=c7713f7d18b99796&from=web&vjs=3,20,Senior Data Scientist at Rent-to-Own Startup,Recruiting From Scratch,"Nashville, TN 37235","                   Who is Recruiting from Scratch:                Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.                     About Our Client:                   Our client is building an on-ramp to homeownership – one that's more flexible, more affordable, and an all-around better fit for today’s American family and it’s working.            About the Role:       They’re searching for a Senior Data Scientist to join their growing company. Data science is crucial to nearly every aspect of our client’s business, from home valuation, to customer underwriting, to improving the product to better enable our customers to build equity. Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software engineering, stakeholder engagement, and written and oral presentation. They’re looking for people who feel comfortable diving into difficult problems, getting their hands dirty, and getting results. You will report directly to our VP of Data Science & Analytics.            Skills & Experience:             You have 3+ years of experience working in data science        You are skilled in R, Python, or both        You are highly capable in SQL        You have a strong understanding of statistical modeling        You communicate clearly in both written and oral form        Bonus points (but not required) for previous real estate experience, credit modeling experience, or A/B testing experience                             Benefits:               Competitive salary + equity       Full benefits (medical, dental, vision)       Compassionate and mission focused co-workers       The opportunity to transform the lives of our customers                        Base Salary Range:  $120,000 to $190,000         ",9 days ago,
https://www.indeed.com/viewjob?jk=0cee225d0f7f457e&from=web&vjs=3,20,Data Analyst / Data Scientist,ABS,"Knoxville, TN","           ABS Group is a global company that provides data-driven risk and reliability solutions and technical services that help our clients enhance the safety, integrity, quality and environmental efficiency of their critical assets and operations. Our multidisciplinary team of management consultants, data scientists, data analysts, and cybersecurity specialists work together to develop innovative solutions for a wide range of complex challenges. If you are a motivated self-starter with intellectual curiosity, we’re just what you’re looking for.      Federal Departments and Agencies such as the Department of Homeland Security, Department of Transportation, and Department of Interior require cutting-edge contract support to provide technical expertise and mission support in cybersecurity, engineering, policy and analysis, project management, security and resiliency, and risk management. ABS Group has earned a reputation for technical expertise and data-driven solutions to help our clients understand and manage risk, optimize business performance and support the journey to operational excellence.      We are looking for a Data Analyst / Data Scientist - based in Knoxville, TN, who can travel periodically to Washington, D.C. - to lead the creation and application of tools for gathering, transformation, and preparation of data for analysis, visualization, and insight. You will apply data mining tools to extract critical data from unstructured data sources and identify patterns that will improve our customers’ operations. The ideal candidate is a team player, critical thinker, and problem solver that enjoys working in a dynamic collaborative environment. This position will require moderate travel based on client and project need.      Responsibilities      Perform research to identify relevant data sources and automate collection processes:           Pre-process structured and unstructured data       Analyze datasets to identify trends and anomalies in data       Build predictive models using statistical and machine-learning techniques       Troubleshoot, debug, and make improvements to existing machine learning algorithms       Create technical documentation as needed           Support deployment of machine learning applications into client operations      Solve complex, safety, security, and cybersecurity problems facing our government clients      Develop creative, innovative ideas for risk analysis and management:           Be able to translate business needs and gaps into requirements documentation and initial design concepts       Meet deadlines in fast-paced, goal-oriented environment       Be comfortable presenting your work to a small audience (10-20 people) conveying data results or facilitating discussion to support a client decision       Maintain a positive working environment and can-do attitude to foster productive and healthy team and client relationships                   Qualifications         Qualifications      Required           Minimum of 3 years of experience as a data analyst / data scientist       Experience programming in multiple languages (e.g., Python, R, VBA)       Extensive experience in Python-based data mining and transformation techniques: natural language processing, optical character recognition, web scraping, etc.       Strong statistical analysis skills       Experience with data visualization tools, such as Power BI and Tableau       Analytical mindset and business acumen       Problem-solving aptitude       Excellent communication and presentation skills       BSc/BA in Computer Science, Engineering or relevant field       US citizenship required; eligibility to obtain and maintain Top Secret clearance       Periodic travel required to Washington, D.C.           Preferred           Graduate degree in Data Science, Machine Learning, or other quantitative field       Proficient with the Git version control system       Cybersecurity certification       Active Top Secret clearance           ABS Group is committed to the equal employment opportunity of its employees and prohibits discrimination against any employee or qualified applicant on the basis of race, color, creed, religion, national origin, sex, age, disability, marital status, sexual orientation, citizenship status or veteran status, or other non-work-related characteristics that may be protected under the law of the Federal Government or specific state employment laws.      Company: ABSG Consulting, Inc.        ",30+ days ago,185 reviews
https://www.indeed.com/viewjob?jk=70971e2dfb0ae95f&from=web&vjs=3,20,Data Scientist,"S&H Industrial Services, Inc","Franklin, TN 37064","    Description:     S&H Systems is a single-source, full-service systems integration company delivering dependable material handling systems, software, and post-sale support since 2002. The strategic planning department is charged with setting company priorities, focusing energy and resources to strengthen operations, ensuring employees and other stakeholders are working toward common goals, establishing agreement around intended outcomes/results, and assess and adjust the organization’s direction in response to a changing environment.     We are seeking qualified candidates to effectively interpret data and turn the information into evidence that can offer ways to improve a business and guide business decisions. Successful candidates will have a background in gathering information from various sources and interpreting patterns and trends. The Data Analyst will report back what has been found in a comprehensive study to the wider business/relevant colleagues.     This position will often make recommendations about the methods and ways in which a company obtains and analyses data to improve the quality and the efficiency of data systems. Other responsibilities include, but not be limited to:         Collecting and interpreting data and analyzing results      Reporting the results back to the relevant team members      Identifying patterns and trends in data sets      Working alongside coworkers within the business/management team to establish business needs      Defining new data collection and analysis processes      Develop, report, and maintain high-quality tracking tools for decision analysis to include time-series tracking, cluster analysis, and data validation     . Requirements:     BASIC QUALIFICATION         Experience in data models and reporting packages      Knowledge of data collection/cleaning techniques      Ability to analyze large datasets and write comprehensive reports      Strong verbal and written communication skills      Bachelor’s degree in either Mathematics, Computer Science, Statistics, and/or Economics      An analytical mind and inclination for problem-solving as well as attention to detail        PREFERED QUALIFICATIONS         Experience in data collection and data visualization      Ability to analyze large datasets      Coding skills in languages/tools such as SQL, Python, R        No third party recruiters   ",30+ days ago,
https://www.indeed.com/viewjob?jk=a560337b1a8f0a67&from=web&vjs=3,30,Statistical Genetic Analyst,Vanderbilt University Medical Center,"Nashville, TN 37212","Statistical Genetic Analyst 2205535 Job  Research Primary Location  TN-Nashville-1207 17th Avenue Organization  Neuro-Cognitive Dis Div 104407 Shift  First Shift JOB SUMMARY:  Applies a variety of basic, intermediate and advanced statistical genetic techniques and technical skills to promote the collection, analysis and interpretation of data arising from research studies. program.  DEPARTMENT SUMMARY:  The Department of Neurology has doubled in size over the last five years and continues to grow and expand, adding both clinical providers and administrative team members to support this growth. The department is looking for forward-thinking team members who are looking to learn, grow, and expand their skill sets. The ideal applicant will be flexible and adaptable, will offer solution-oriented suggestions, and will serve as a critical thinker, with a focus on quality and accuracy.  View how Vanderbilt Health employees celebrate the difference they make every day:  Discover Vanderbilt University Medical Center:  Located in Nashville, Tennessee, and operating at a global crossroads of teaching, discovery and patient care, VUMC is a community of individuals who come to work each day with the simple aim of changing the world. It is a place where your expertise will be valued, your knowledge expanded and your abilities challenged. It is a place where your diversity — of culture, thinking, learning and leading — is sought and celebrated. It is a place where employees know they are part of something that is bigger than themselves, take exceptional pride in their work and never settle for what was good enough yesterday.  Vanderbilt’s  mission is to advance health and wellness through preeminent programs in patient care, education, and research.   VUMC Recent Accomplishments  Because we are committed to providing the best in patient care, education and research, we are proud of our recent accomplishments:  US News & World Report:  #1 Adult Hospital in Tennessee and metropolitan Nashville, named to the Best Hospitals Honor Roll of the top 20 adult hospitals, 10 nationally ranked adult specialty programs, with 3 specialties rated in the top 10 nationally, Monroe Carell Jr. Children’s Hospital at Vanderbilt named as one of the Best Children’s Hospital in the nation, with 10 out of 10 pediatric specialties nationally ranked.  Healthcare’s Most Wired:  Among the nation’s 100 “most-wired” hospitals and health systems for its efforts in innovative medical technology.  Becker’s Hospital Review:  named as one of the “100 Great Hospitals in America”, in the roster of 100 Hospitals and Health Systems with Great Oncology Programs and to its list of the 100 Hospitals with Great Heart Programs.  The Leapfrog Group:  One of only 10 children’s hospitals in the to be named at Leapfrog Top Hospital.  American Association for the Advancement of Science:  The School of Medicine has 112 elected fellows  Magnet Recognition Program:  Received our third consecutive Magnet designations.  National Academy of Medicine:  22 members, elected by their peers in recognition of outstanding achievement  Human Rights Campaign Healthcare Equality Index: 6 th  year in a row that Vanderbilt University Medical Center was a Leader in LGBTQ Healthcare Equality.   KEY RESPONSIBILITIES:   Collaborates as a member of a research team on the design of a research project.  Assists the research team in the design of methods to collect information.  Participates in the development of operations and procedures for the collection, editing, verification and management of data.  Collaborates as a member of a research team on the implementation and analysis of a research project.  Implements analysis, including data verification and data correction using appropriate hardware and software for the management and analysis of data.  Manipulates standard data formats to create input and output formats for software.  Assists in the publication of research projects.  Participates in the preparation of reports and presentations summarizing data analysis results using appropriate methods and techniques. Bachelor's Degree (or equivalent experience) and < 1 year experience   Licensure, Certification, and/or Registration (LCR):  Physical Requirements/Strengths needed & Physical Demands:   Movement   Occasional: Sitting: Remaining in seated position  Occasional: Standing: Remaining on one's feet without moving.  Occasional: Walking: Moving about on foot.  Occasional: Lifting under 35 lbs: Raising and lowering objects under 35 lbs from one level to another  Occasional: Push/Pull: Exerting force to move objects away from or toward.  Occasional: Bending/Stooping: Trunk bending downward and forward by bending spine at waist requiring full use of lower extremities and back muscles  Occasional: Reaching below shoulders: Extending arms in any direction below shoulders.  Occasional: Handling: Seizing, holding, grasping, turning or otherwise working with hand or hands.    Sensory   Occasional: Vision: Clarity of near vision at 20 inches or less and far vision at 20 feet or more with depth perception, peripheral vision, color vision.  Frequent: Noise: May include exposure to occupational noise levels which equal or exceed an 8-hr time-weighted average of 85 decibels, requiring enrollment in VUMC's Hearing Conservation Program which includes training, use of hearing protection, and periodic audiometry.  Continuous: Communication: Expressing or exchanging written/verbal/electronic information.",1 day ago,"1,286 reviews"
