URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=2cbf20f2b7c4188c&from=web&vjs=3,10,Data Scientist,AgreeYa Solutions,"Plano, TX","Title: Data Scientist Location: Plano, TX Duration: 18 + Months Job description:  Agreeya is a System integrator and seeking a Data Scientist who can develop programs using Python/Pyspark to identify variables, importing packages and reading data. Data Scientist is responsible for. Overview:  Developing programs using Python/Pyspark to identify variables, importing packages and reading data. Develop models using NLP, Tensorflow. Responsibilities:  Design Client Models, Data Migration and common algorithms· Deploy Client model/pipelines to MS Azure. Developing programs using Python/Pyspark to identify variables, importing packages and reading data. Develop models using NLP, Tensorflow. About Us:  AgreeYa is a global systems integrator delivering competitive advantage for its customers through software, solutions, and services. Established in 1999, AgreeYa is headquartered in Folsom, California, with a global footprint and a team of more than 1,850 staff across offices. AgreeYa works with 500+ organizations ranging from Fortune 100 firms to small and large businesses across industries such as Telecom, Banking, Financial Services & Insurance, Healthcare, Utility & Energy, Technology, Public sector, Pharma & Biotech, and others. Please visit us at www.agreeya.com for more information. AgreeYa is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, gender identity, sexual orientation, national origin, disability, veteran status or other protected characteristics Job Types: Full-time, Contract Salary: $90,000.00 - $105,000.00 per year Benefits: Dental insurance Health insurance Paid time off Vision insurance Schedule: 8 hour shift Education: Master's (Preferred) Experience: Python: 3 years (Required) Machine learning: 3 years (Required) Azure: 1 year (Required) Work Location: One location",,
https://www.indeed.com/viewjob?jk=2a0065dec6645054&from=web&vjs=3,10,Data Scientist,The Coca-Cola Company,"Plano, TX 75024","Data Scientist: Job Description Uses advanced techniques that integrate traditional and non-traditional datasets to enable analytical solutions. Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer and consumer facing applications; Builds analytical solutions leveraging internal and external applications to deliver value and create competitive advantage. Translates complex analytical and technical concepts to non-technical employees. Tasks : Partners with business leaders across the organization to define business problems and research questions; serves as key resource and Subject Matter Expert (SME) on cross functional, matrixed teams to solve highly complex work critical to the organization. Builds large and complex information sets; Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions. Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives. Serves as key resource and Subject Matter Expert (SME) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation. Works with IT to translate prototypes into new products, services, and features. Builds and maintains a robust library of reusable algorithms and supporting code, such that research efforts are based on the highest quality data, are transparently conducted, and can be productionized and are reproducible. Translates complex analytical and technical concepts to non-technical employees to enable understanding and drive informed business decisions. Maintains academic and industry relationships for the purposes of research; maintains expertise and awareness of cutting-edge techniques, technologies and potential business solutions. Minimum Requirements: Master's degree in Computer Science, Applied Mathematics, Quantitative Economics, Statistics, or related field. 6 additional years of related experience beyond the minimum required may be substituted in lieu of a degree. 6 years of experience in predictive modeling, large data analysis and computer science. Experience in stochastic modeling, machine learning, and other advanced mathematical techniques (e.g., neural nets, simulation, graph analysis). Solid experience in at least one compiled language (e.g., Java, C or more) and one dynamic scripting language (Python, R). Excellent pattern recognition and predictive modeling skills. Knowledge and application of Data Science principals and experience with data science methodologies. Experience with the following statistical and predictive modeling approaches: Gaussian Process; Markov Models; Hierarchical Clustering; K-Means; Linear Regression; Logistic Regression; Monte Carlo Simulation; Neural Networks. Technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization. Demonstrated ability to communicate ideas with team members and/or business leaders to convey and present very technical information to an audience that may have little or no understanding of technical concepts in data science. Preferred Experience: Hands-on experience developing products that utilize advanced machine learning techniques like deep learning in areas such as computer vision, Natural Language Processing (NLP), sensor data from the Internet of Things (IoT), and recommender systems; along with transitioning those solutions from the development environment into the production environment for full-time use. Knowledge of best practices for managing model risk. Prior experience of developing and implanting data science solutions in AWS or Azure. Prior experience supporting The CPG business. Skills: Agile Methodologies, Artificial Intelligence Technologies, Azure Machine Learning Studio, Cloud Platform, Communication, Computer Vision, Data Science, Deep Learning, Digital Transformation, Machine Learning, Microsoft Azure Databricks, Microsoft Office Skills: Data Science; Microsoft Office; Communication; Microsoft Azure Databricks; Digital Transformation; Azure Machine Learning Studio; Computer Vision; Artificial Intelligence Technologies; Cloud Platform; Deep Learning; Agile Methodologies; Machine Learning Our Purpose and Growth Culture: We are taking deliberate action to nurture an inclusive culture that is grounded in our company purpose, to refresh the world and make a difference. We act with a growth mindset, take an expansive approach to what’s possible and believe in continuous learning to improve our business and ourselves. We focus on four key behaviors – curious, empowered, inclusive and agile – and value how we work as much as what we achieve. We believe that our culture is one of the reasons our company continues to thrive after 130+ years. Visit Our Purpose and Vision to learn more about these behaviors and how you can bring them to life in your next role at Coca-Cola.  We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class. When we collect your personal information as part of a job application or offer of employment, we do so in accordance with industry standards and best practices and in compliance with applicable privacy laws.",3 days ago,"9,747 reviews"
https://www.indeed.com/viewjob?jk=e46571c4b72d787a&from=web&vjs=3,10,Data Scientist,Techspace Solutions,"Dallas, TX","Hi, Job Title : Data Scientist Location : Dallas TX Duration : 11 Months  · Minimum 3 years of production-grade implementation experience in NLP / Machine Learning · Strong in statistical, mathematical, acoustic and linguistic skills · Solid experience in NLP techniques – Entity extraction, Topic Modelling, STT & VTT techniques, n-gram, etc... · Expertise in Dialogflow, diarization, training, evaluation, and optimization of language models, etc..for Voicebots and Chatbots · Strong in Python, Spark, Hive, and SQL · Work closely with other data engineers in integrating models on the pipeline for automation Regards, Sushma. T US IT Recruiter Phone :  732-795-1280 Job Type: Contract Education: Master's (Preferred) Experience: Python: 1 year (Preferred) SQL: 1 year (Preferred)",,
https://www.indeed.com/viewjob?jk=3e66369080025a54&from=web&vjs=3,10,"Data Scientist, Decision Science",Glassdoor,"Austin, TX","Our mission is to help people everywhere find a job and company they love. We're transforming the workplace experience through the power of transparency. As the worldwide leader in employer branding and insights, our vision is for a world where transparency empowers the workforce and motivates companies to become better employers.  Please note this role is open to remote hiring. Our main office locations are in San Francisco, CA, Chicago, IL, Uniontown, OH and London, Eng.  About the Role  Data Scientist, Decision Science (Insights)  Our mission is to help people everywhere find a job and company they love. We are disrupting an industry by changing how people search for jobs and how companies recruit top talent.  Decision Science at Glassdoor:  The Decision Science team drives data-driven strategy and decision making across the company through predictive analytics, testing and optimization. We drive product prioritization and inform business strategy by developing a deep understanding of our users and clients. The Decision Science team is a partner to our department leaders in Product, Marketing, Business Operations, and Sales teams.  Compensation:   $119,200.00 - $149,000.00  At Glassdoor, operating transparently is at the heart of everything we do. That's why we let job seekers know that salary ranges may differ for jobs depending on where these positions are filled. It's no secret that the cost of living and other economic considerations vary widely across the country and the world.  At Glassdoor we apply a ""tier"" system to promote consistency in level of compensation for where roles are filled in different locations. The tiers are as follows:   Tier 1 encompasses the highest salary range for states where large metropolitan areas are located (ie: San Francisco, New York City, Washington DC, & etc)  Tier 2 encompasses salary ranges 15% less than those in Tier 1 for states with mid-sized cities (ie: Chicago, Dallas, Portland, etc)  Tier 3 encompasses salary ranges 20% less than those in Tier 1 for states with smaller  cities (including our Ohio office, Nevada, etc)  You can learn more about our compensation philosophy  here  and see salary ranges for all Glassdoor jobs  here . Responsibilities:  In this role, you will lead data science for our insights product team. You will play a major role in owning two high impact product areas, driving transparency through reporting, identifying the value of existing data, and informing product strategy through opportunity and deep dive analysis.  Example questions you will help answer:  What new features should we develop for the Customer Insights domain?  How do employers' branding pages drive applications to their jobs?  How can we improve our underlying ML algorithm which drives Review Intelligence?  How can we segment users, understand their behaviors, and set engagement goals in Review Intelligence (our sentiment analysis product that analyzes reviews for employers)?  You will also:  Monitor critical metrics and investigate when necessary  Perform root cause analysis  Translate data insights into product recommendations  Qualifications:  Ability to create models and analyze trends to understand key drivers and provide recommendations to improve the business  Track record in building great relationship with partners and presenting impactful analyses that led to meaningful business impact  Expert level usage of SQL or Hive  Experienced with coding in R, Python or Pyspark and using Machine Learning or regressions to explain and predict business outcomes  Strong visualization skills and experience with BI tools (ex. Tableau)  A strong desire and ability to add to our culture of diversity, equity, and inclusion  Experience working with Product teams is helpful but not a requirement, if you have past experience partnering with cross functional teams and making an impact, apply to this role.  Why Glassdoor?  100% company paid medical/dental/vision/life coverage, with 80% dependent coverage.  Equity Incentives in our parent company's ADR (Recruit Holdings, Stock ID: 6098T).  401(k) Plan with a Company Match to prepare for your future.  Generous paid holidays and open paid time off.  Our Commitments  Transparency:  We are open and honest. We share information – the good and the bad – so we can continuously learn, collaborate and make the right decisions. Pay bands, our compensation philosophy, and employee feedback survey responses are shared publicly.  Innovation:  We actively pursue new and different ways to further Glassdoor's mission. We forge our own path by challenging the status quo.  Good People:  We work together with integrity, respect and compassion for one another. We have fun together! We are inclusive, fair and humble while remaining confident. We do the right thing, period.  GRIT:  We are resilient, inventive and fearless. We see challenges as opportunities. With passion and courage, we come together to get the job done.  Diversity, Equity, and Inclusion:  We are dedicated to building a company that is more diverse and representative of society at large. Glassdoor externally publishes our Diversity & Inclusion report and information about our employee population to hold ourselves accountable to our dedication. We also provide programs and resources to build a greater sense of belonging for our employees.   Operating transparently at Glassdoor is fundamental to us walking the talk as we advocate for transparency everywhere. The ultimate goal is not just to change how we operate at Glassdoor, but for every employer to follow our lead!  Glassdoor is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to race, color, religion, national origin, ethnicity, age, sex, marital status, physical or mental disability, gender identity, sexual orientation, veteran or military status, or any other category protected under the law. Glassdoor is an equal opportunity employer; committed to creating a community of inclusion, and an environment free from discrimination, harassment, and retaliation.",5 days ago,40 reviews
https://www.indeed.com/viewjob?jk=fe3f5bd5f38156bb&from=web&vjs=3,10,Sr. Data Scientist,Ally Financial,"Lewisville, TX","General information Career area Technology Work Location(s) MI, NC, TX, TX Ref # 21-7466 Posted Date Monday, September 20, 2021 Working time Full-time Ally and Your Career Ally Financial only succeeds when its people do - and that’s more than some cliché people put on job postings. We live this stuff! We see our people as, well, people - with interests, families, friends, dreams, and causes that are all important to them. Our focus is on the health and safety of our teammates as well as work-life balance and diversity and inclusion. From generous benefits to a variety of employee resource groups, we strive to build paths that encourage employees to stretch themselves professionally. We want to help you grow, develop, and learn new things. You’re constantly evolving, so shouldn’t your opportunities be, too? The Opportunity We're looking for a passionate Senior Data Scientist with great technical skills for our Auto Consumer Asset Management group. This person will report to the Data Science Manager, with responsibilities of (1) preparing, preprocessing, and validating consumer data for Ally Auto Finance business, (2) utilizing data science techniques to facilitate servicing analytics & asset management strategy, and (3) supporting through-the-cycle predictive analytics for Ally consumer asset management. The ideal candidate should be passionate about data science and consumer risk analytics for banking & financial services. Strong SQL and SAS programming skill is a must. Do you have a focus on measurable business outcomes, strong analytical skills, and a desire to make an impact? If you are a creative and critical thinker, storyteller, learner, and innovator and want to work in an environment focused on using data science and big data tech, keep reading. The Work Itself This role is quantitative in nature and requires the individual highly capable of interrogating and analyzing massive account-level data using SQL and SAS. Skills for other programming, data mining tools such as Python, R are preferred. He or she will join the data science team to advance predictive analytics for consumer asset management of Ally auto finance business, with the responsibility of completing all data phases of data science projects, including account-level data preparation, variable cleaning and screening, pre-processing and exploratory analysis, data validation and documentation. This senior data scientist must be an innovative and strategic thinker, willing to challenge status quo, can learn quickly, is self-motivated and detail oriented. Key Responsibilities include:  Prepare and analyze large, account-level consumer data from internal and external sources to identify strong risk indicators for Ally auto finance consumer’s delinquency, loss & recovery Support data science projects such as customer segmentation, strategy optimization to advance servicing analytics and consumer asset management Facilitate data projects with 3rd-party vendors under regulatory and compliance rules Apply advanced data mining to support predictive analytics for Ally auto finance asset portfolio management  The Skills You Bring 5 years analytics or data science work experience Bachelor’s Degree Preferred in Quantitative/Technical Discipline (Mathematics, Computer Science, Data Science/Analytics, Economics) Minimum 3 years of hands-on experience working with account-level large datasets using SQL and SAS programming Intermediate knowledge of statistics, and skills with exploratory data analysis using Python, R or SAS Solid written and verbal communication skills, including the ability to effectively present data analytics results to internal and external stakeholders Highly self-motivated, with the ability to work effectively in fast paced environment Preferred Qualifications:  Experience in loan-level predictive data mining for consumer finance industry Experience with machine learning techniques (e.g., regression, decision trees, cluster analysis) using SAS or other statistical programming packages such as R, Python, Matlab Master's degree in a quantitative field  How We'll Have Your Back Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals. But Ally’s total compensation – or total rewards – extends beyond your paycheck and is designed to support and enrich your personal and professional life, including: Time Away:  competitive holiday and flexible paid-time-off, including time off for volunteering and voting. Planning for the Future:  plan for the near and long term with an industry-leading 401K retirement savings plan with matching and company contributions, student loan and 529 educational assistance programs, tuition reimbursement, and other financial well-being programs. Supporting your Health & Well-being:  flexible health and insurance options including dental and vision, pre-tax Health Savings Account with employer contributions and a total well-being program that helps you and your family stay on track physically, socially, emotionally, and financially. Building a Family:  adoption, surrogacy, and fertility support as well as parental and caregiver leave, back-up child and adult/elder day care program and childcare discounts. Work-Life Integration:  other benefits including LifeMatters® Employee Assistance Program, subsidized and discounted Weight Watchers® program and other employee discount programs. Who We Are: Ally Financial is a customer-centric, leading digital financial services company with passionate customer service and innovative financial solutions. We are relentlessly focused on ""Doing it Right"" and being a trusted financial-services provider to our consumer, commercial, and corporate customers. For more information, visit www.ally.com. Ally is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition or any other reason protected by law. We are committed to working with and providing reasonable accommodation to applicants with physical or mental disabilities. For accommodation requests, email us at work@ally.com. Ally will not discriminate against any qualified individual who is capable of performing the essential functions of the job with or without reasonable accommodation.",2 days ago,"1,035 reviews"
https://www.indeed.com/viewjob?jk=fb695a04a89faca7&from=web&vjs=3,10,Machine Learning/ Data Scientist,ConnectedX Inc.,"Plano, TX 75024","Job Description:  We are looking for an experienced NLP/ Machine Learning/ Deep Learning data scientist. Candidate should be well versed in ML and NLP techniques and deep learning algorithms. Preferred Qualifications Master or Ph.D. with a focus in NLP, machine learning, or a related field highly desired. 3+ years of experience working effectively with software engineering teams Exp with Prescriptive analysis, predictive analysis Exp leveraging big data and search technologies (e.g Spark, Elastic Search, Natural Language Processing, Web Crawling) . Knowledge of machine learning techniques and algorithms and be able to apply them in data driven natural language processing techniques. Ability to quickly prototype ideas / solutions and perform critical analysis and using creative approaches for solving complex problems. Exp with Automotive analytics a PLUS Excellent written and verbal communication skills Job Types: Full-time, Contract Schedule: Monday to Friday Education: Master's (Preferred) Experience: Python: 1 year (Preferred) SQL: 1 year (Preferred) Work Location: One location",,
https://www.indeed.com/viewjob?jk=9266fcfc0c2fbabe&from=web&vjs=3,10,Data Scientist,iboss,"Austin, TX","Company Overview iboss is a cloud security company that enables the modern workforce to connect securely and directly to all applications from wherever they work. Built on a containerized cloud architecture, iboss delivers security capabilities such as SWG, malware defense, RBI, CASB and data loss prevention to all connections via the cloud, instantaneously and at scale. This eliminates the need for traditional network security appliances, such as VPNs, firewalls and web gateway proxies, which are ineffective at protecting a cloud-first and mobile world. Leveraging a purpose-built cloud architecture backed by 230+ issued and pending patents and more than 100 points of presence globally, iboss processes over 150 billion transactions daily, blocking 4 billion threats per day. More than 4,000 global enterprises trust the iboss Cloud Platform to support their modern workforces, including a large number of Fortune 50 companies. To learn more, visithttps://www.iboss.com/.   Job Description iboss Research and Intelligence team is expanding and looking to add a data scientist to our growing team. You’ll be able to leverage large-scale rich data to meaningfully improve and refine our identification of malicious computer software and behavioral threats. If you’re ready to work with subject matter experts in the industry in a collaborative environment with unrivaled technology, apply today. Responsibilitities: Mine large scale and high dimensional data, identify patterns and visualize trends Create predictive models using supervised learning techniques to detect and stop the most sophisticated threats Innovate new semi-supervised and online learning techniques to enhance our threat detection capabilities and reduce nuisance false positives for our customers. Work closely with domain experts to improve our raw data and to derive more value from data collected Hone your ability to balance detail-oriented research with goal-oriented business objectives Implement and experiment with new algorithms and methodologies to help improve our machine learning models Automate and visualize analyses, results and processes in our machine learning pipeline Qualifications 2-5 years of experience in data science, machine learning, or any field employing computational science or data-driven analyses Programming experience in Python Excellent interpersonal, technical, and communication skills Ability to learn, evaluate, and adopt new technologies fast Ability to lead and execute projects from start to finish Solid foundation in computer science, software development, and machine learning Benefits Health, Vision, Dental, Chiropractic - open to domestic partners 401K with company match Paid Time Off (PTO) Company paid holidays Optimistic, supportive, and fun work environment Fantastic quarterly company events Free catered lunch every Friday Free snacks Free on-site gym membership The duties and responsibilities described above are essential functions of the job. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, status as a veteran or as an individual with a disability. This position is not eligible for sponsorship of work visas",Just posted,5 reviews
https://www.indeed.com/viewjob?jk=96ad4b461f49a61b&from=web&vjs=3,10,Data Scientist,Vertify,"Vertify in Austin, TX 78704","About Vertify At Vertify, it’s all about the team. We are passionate and customer centric. With our revenue operations intelligence, you decide what to connect, and we’ll let you know how to generate the highest revenue. Vertify is a place where people are empowered to work with very little in their way. We are a team of winners. A group of digital artists, tech geniuses, doers, and thinkers. Folks who get it. That’s why we have a positive can do attitude that emphasizes collaboration, and passionate about your success. Key Responsibilities Provide strong analytical, advanced Data Science and Machine Learning expertise as a key member of our Product and Data team focused on the deployment of Vertify’s next generation cloud-native Machine Learning platform and products Work cooperatively with our product management and engineering teams to identify, prototype, develop, and deploy ML-powered solutions Assist product team with deployment and lifecycle oversight, performance analysis, issue troubleshooting, tuning and refreshing of production models/pipelines within our ML platform Communicate and document effectively, especially when communicating with non-technical business partners and customers Drive the collection, cleaning, processing, and analysis of new and existing data sources. Initiate model building, model tuning, and lifecycle management from data collection of newly available datasets to data refreshing and including new model deployments. Lead the creation of new solutions driven by exploratory data analysis and signals from complex and disparate sales and marketing datasets to derive actionable insights for our customers Organizing disparate facts and findings into powerful narratives that have the broadest possible application within Vertify analytics products Build Statistical and Machine Learning models that describe the impact of marketing activities on customer behavior, including behavioral buying effects. Innovate relentlessly by building new models; improving techniques to boost model performance; and maintaining and refining the processes and procedures for building high-end analytic modeling solutions. Requirements An undergraduate degree in a field such as mathematics, statistics, computer science, engineering, data science or machine learning, or a related technical field or an undergraduate degree in business accompanied by a graduate degree in data science. Experience with the research and development of ML-based solutions, including the productization, deployment, and lifecycle management of production-level ML models/pipelines Proven experience developing ML solutions with a known ML stack: numpy, pandas, scikit-learn, keras/tensorflow, etc. Knowledge and application of Data Science and ML techniques and best practices, such as but not limited to: ETL; EDA; Data cleansing/preprocessing, wrangling & transforms, and visualization Feature Extraction, Engineering, & Selection; Dimension reduction techniques Hyperparameter tuning/optimization, ML model performance analysis and tuning, ML model selection techniques, Concept Drift & Model decay, Class imbalance Knowledge and application of statistical data analysis and modeling techniques such as ANOVA, linear models, multivariate analysis, stochastic models, sampling methods – including hypothesis testing, model validation Demonstrated skills in selecting the right statistical tools given a data analysis problem Solid experience working with databases: SQL and/or NoSQL Strong verbal and written communication skills – including successful experience working with non-technical stakeholders Expertise in Python, R, or comparable languages 1+ years of experience in developing algorithms using data science technologies to build analytical models. Preferred Business analytics experience in one or more of the following industries: sales/marketing technology, B2B, SaaS Experience with Linux or Unix operating systems, installing, deploying, maintaining packages Beyond the Skills:  We are looking for people who care deeply about the work Vertify is doing. This includes being passionate about providing our customers with easy to use solutions that make a substantial difference in driving revenue every single day. We are serious about creating a culture that encompasses the core values of our company. Do these characterize you? Team and Logo First. You’re a team player that believes in working with others to accomplish big goals. Entrepreneurial Mindset. We do more with less. We take initiative and we are laser-focused on results. Intellectual Honesty. We solve problems with an open mind and an unbiased attitude. Sense of Urgency. We have what people need before they ask for it. Solutions Focused. Future focused on solutions, not problems. Client Centric. We make our customers’ priorities our own. Interested in joining a fast-paced start-up? Don’t just hit the apply button. We want to hear more about you. Tell us: Why are you passionate about Revenue Operations Intelligence? What interests you about Vertify? Diversity + Inclusion The values of inclusion, diversity, and equality are paramount and part of the core fabric Vertify was built upon. All employment decisions are based upon our business needs, essential functions and requirements of the role, as well as individual qualifications. We provide equal employment opportunities (EEO) and do not discriminate against any employee or applicant for employment because of race, religion, color, sex, national origin, age, sexual orientation, gender identity, genetic information, disability or veteran status, or any other category protected by applicable federal, state, or local laws. Job Type: Full-time Pay: $90,000.00 - $120,000.00 per year Benefits: 401(k) Dental insurance Flexible schedule Health insurance Life insurance Paid time off Vision insurance Schedule: Monday to Friday Supplemental Pay: Bonus pay Education: Bachelor's (Preferred) Experience: Data science: 1 year (Required) R: 2 years (Preferred) SQL: 3 years (Required) Python: 2 years (Required) Data visualization: 1 year (Preferred) Data engineering: 1 year (Preferred) SaaS: 1 year (Preferred) Startup: 1 year (Preferred) Business analysis: 2 years (Preferred) Machine learning: 2 years (Preferred) Algorithm design: 1 year (Preferred) Work Location: One location Work Remotely: Temporarily due to COVID-19 Work Location: One location",,
https://www.indeed.com/viewjob?jk=00e6954d8c99b830&from=web&vjs=3,10,"Data Scientist, Delivery Team",Teladoc Health,Texas,"The Opportunity  Come build the data and analytics tools that will help real people live measurably better lives. As a key part of our client analytics team, you'll work with cutting-edge data processing frameworks, technologies, and platforms to empower client-facing teams with the tools that enhance and reinforce Teladoc Health's value proposition. Your contributions will drive growth and client retention while providing a better way for Teladoc Health members to manage chronic health conditions.  Through data analytics, you'll discover and share insights about our members and clients to drive decision making. You'll work with SQL, Python, R, Jenkins, AWS Tech stack (Redshift, S3), Metabase and other technologies to design and build scalable and impactful reports, dashboards and visualizations. Collaborating closely with data scientists, engineers, PMs and clinical researchers, you'll help us transform the healthcare industry with innovative, highly effective products.  Your success in this role will be aided by strong data engineering skills and a knack for understanding business needs, especially from a reporting perspective. We're looking for an effective team player who can facilitate complex, rapidly changing, high-volume data science needs with efficient data pipelines. Other key qualities for your success include attention to detail, pride in the quality of your data, a knack for solving real-life business problems, and a passion for helping people.   Responsibilities  Build automation tools, data pipelines that help us deliver quality reports on time for a multitude of requests.  Influence upstream system/design, definitions and develop scalable solutions to meet expectations from internal/external stakeholders.  Run ad-hoc data-extracts for requests from diverse partners and automate those needs over time  Develop visualizations to tell stories effectively  Build insightful dashboards, self-service tools and reports to slice/dice data for helping with partners in making strategic decisions for all functional areas such as member experience, product build/performance, clinical researches, business operations, growth/retention  Engage with partners, internal and external stakeholders to ensure timely delivery of programs in a fast-paced environment  Strong time management skills to handle tight deadlines and maintain open communications with partners.  Engage with Product, Business, Engineering, and Marketing teams to understand the needs, capture requirements and be the liaison between analytics and business.  Improve data quality and analytic rigor Monitor and triage production runs for ensuring data security and veracity  Proactively identify performance / data quality problems, and remedy them  Continuously refine data quality with testing, tooling and performance evaluation  Requirements  Strong experience with R or Python in addition to SQL and data science libraries  Expertise in data analytics and engineering  Experience with agile software processes, data-driven product development, reliability, and experimentation  Strong communications and collaboration skills. Ability to work with varied functional teams. An effective team player with a fundamental respect for all people and their values  Quick learning, adapt to changes, manage priorities keeping company and team's goal in mind.  The drive and ability to advise Product Managers and executives  The ability to work around challenges and changing priorities  3+ years of professional experience in data engineering/analytics/science  Impress us even more:  Basic understanding or experience in:  Exploratory data analysis  Anomaly detection  Machine learning  Predictive analytics  Jenkins pipeline  Salesforce integration   Why Join Teladoc Health?  A New Category in Healthcare : Teladoc Health is transforming the healthcare experience and empowering people everywhere to live healthier lives.  Our Work Truly Matters:  Recognized as the world leader in whole-person virtual care, Teladoc Health uses proprietary health signals and personalized interactions to drive better health outcomes across the full continuum of care, at every stage in a person's health journey.  Make an Impact:  In more than 175 countries and ranked Best in KLAS for Virtual Care Platforms in 2020, Teladoc Health leverages more than a decade of expertise and data-driven insights to meet the growing virtual care needs of consumers and healthcare professionals.  Focus on PEOPLE : Teladoc Health has been recognized as a top employer by numerous media and professional organizations. Talented, passionate individuals make the difference, in this fast-moving, collaborative, and inspiring environment.  Diversity and Inclusion : At Teladoc Health we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.  Growth and Innovation : We've already made healthcare history, yet we remain on the threshold of very big things. Come grow with us and support our mission to make a tangible difference in the lives of our Members.  As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy (including breastfeeding – we have a mother's room in both our offices). In our innovative and inclusive workplace, we prohibit discrimination and harassment of any kind.",11 days ago,165 reviews
https://www.indeed.com/viewjob?jk=a89bd5d6defbb5b7&from=web&vjs=3,10,Data Scientist,IPT Global,"Houston, TX 77084","Company Description IPT Global is a well integrity software and advisory services company dedicated to working closely with clients to establish and continuously improve the safest and most efficient well integrity operations possible. We nurture a collaborative and innovative work culture. We also provide competitive salaries and benefits, including health, dental, vision and 401k.   Job Description Duties and/or responsibilities Leverage strong data science skills throughout the data analysis process (problem formulation, data aggregation, transformation and cleaning, descriptive analysis, modeling, visualization, presentation, productizing). Design and execute research of open-ended problems related to data analytics, Machine Learning, and predictive modeling on large, complex data sets to draw insights and conclusions for key stakeholders. Evaluate, improve, and invent analysis methods to be used in IPT Global’s suite of testing analysis solutions. Develop and validate proposed analysis methods through the application of physics-based and data-based models to industry component data sets, apply variances to account for test environment effects and signal noise to gauge algorithm performance and robustness. Collaborate with multiple teams and present findings, prototypes, and recommendations periodically to multiple levels of stakeholders, including to senior management. Leverage existing data sets to improve/invent analysis methods and solutions by performing data analysis on large sets of data identifying trends, patterns, anomalies, clusters, and insights in a continual advancement of our state-of-the-art. Perform statistical analysis of field and simulated data to provide reliability insights, confidence levels, and risk assessments. Support Business Development through projects evaluating client/prospect data and potential improvements in reliability and efficiency using IPT products. Participate in technical document generation and research publication writing, and present research at national/international conferences and forums in fields related to the role. Document innovations in the consideration and protection of Intellectual Property (e.g., patent applications, trade secrets). All other assigned duties.   Qualifications Requirements Bachelor's or Master’s degree in a quantitative discipline (e.g., Mathematics, Statistics, Engineering, Computer Science, Physics, Applied Science) or related discipline with demonstrated research capability. 3 years of direct work experience in a data analysis related field. Proficiency in statistical/numerical analysis concepts: regression, linear and multivariate analysis, curve-fitting, sampling methods, descriptive statistics, probability distributions, stochastic models, confidence/risk analysis, optimization. Experience with statistical/numerical software (e.g., R, Python, MATLAB), database query languages (e.g., SQL), and data science toolkits (e.g., TensorFlow, Keras). Preferred Skills 5+ years of relevant work experience, including expertise with statistical data analysis. Proficiency in implementing machine learning and deep learning techniques and algorithms (e.g., KNN, Naïve Bayes, SVM, Decision Forest, RandomForest, Gradient Boosting, CNN) and applying model validation concepts. Experience in predictive and prescriptive modeling, including model training and validation. Familiarity with C#, virtual machines / containers and Azure. History of generating technical documents and publications. Experience in the oil and gas industry and understanding of industry common terminology. Additional Information All your information will be kept confidential according to EEO guidelines.",9 days ago,10 reviews
