URL,page_count,job_title,company,location,job_Description,post_date,reviews,total_page_count
https://www.indeed.com/viewjob?jk=2837c8e70e4f4a3d&from=web&vjs=3,10,Data Scientist,AdvanceSoft,"Ashburn, VA 20147","Develop quality analytics on internal technology migrations, migration to GCP, migrations across cloud platforms, customer migrations  Take ownership on analytical quality of the entire attribute and score quality lifecycle development validation, model certification, User Acceptance Testing, Platform and Channel certification and post production certification  Apply statistical rigor and develop analytical solutions to drive Equifax analytical quality within data & analytics and across pre and post production technology platforms  Design quality impact analytics framework including sampling methodology and drift policy  Design, develop and implement machine learning and deep learning systems for internal quality analytics application and product development for customer application  Build collaborative and influential partnership with Data & Analytics, Governance, Legal, Compliance, Technology, Operations, and Sales  Requires understanding large, diverse data sources, extensive analytics experience and strong technical skills. Individuals in this role will regularly present recommendations and results to Vice President and Senior Vice President  Consult with customer analytics teams regarding best practices, design, ideation and usage of analytical solutions.  Collaborate with Data Stewards and Data Scientists on data and analytical value chain.  Identify attribute and score quality requirements to ensure appropriate product testing and validation is completed prior to implementation  Articulate and educate various internal stakeholders on Equifax data and analytical quality solutions.  Expertise in big data environment and ability to code in Python, Scala, R, HQL and SAS in a Hadoop/Spark infrastructure  Create documentation on quality processes",30+ days ago,,"1,539"
https://www.indeed.com/viewjob?jk=f8bdf5ac4ef5c513&from=web&vjs=3,10,Data Scientist (Geospatial),SAIC,"Chantilly, VA","     Job ID: 2206451     Location:  CHANTILLY , VA , US     Date Posted:  2022-04-27     Category:  Software     Subcategory:  SW Engineer     Schedule:  Full-time     Shift:  Day Job     Travel:  No     Minimum Clearance Required:  TS/SCI     Clearance Level Must Be Able to Obtain:  TS/SCI with Poly     Potential for Remote Work:  No        Description      SAIC, a leading provider of systems development & deployment, targeting & intelligence analysis, systems engineering & integration, and training capabilities and solutions for the Intelligence Community, is seeking creative and dedicated professionals to fulfill their career goals and objectives while delivering mission excellence on programs of national importance.     We are seeking an experienced, Data Scientist with experience in geospatial analysis and data to be part of a fast-paced, dynamic team working on a cutting edge program in support of national security objectives.     The Data Scientist (Geospatial) role is assigned to Team 1. This role combines data science and geospatial expertise. Typical duties include:         Specialization in analysis and user experience enabled via geospatial domain including ingestion of heterogeneous datasets for geospatial enrichment and development of geospatial data layers.      Optimize program to produce and analyze results, disseminate findings, and contribute to publications and presentations on a variety of multi-modal data to make discoveries that are mission-relevant. Support packaging and delivery of findings appropriate to skillset of intended audience.      RDT&E using exploratory analysis, quantitative methods, user interface design, proof of concepts, and data profiling of new data sources to discover metadata and identify anomalies, assess autoML and optimization techniques, research predictive algorithms, and support leads for customer outreach.      Design, develop, test, maintain, and support data pipelines for AI/domain-specific enrichment opportunities. Implement automated data quality metrics and validations supporting the operation and monitoring to validate and maintain relevance and accuracy of outputs.         Qualifications      Required:         Active TS/SCI clearance; CI poly preferred      Bachelor's degree      6+ years of experience                Covid Policy: SAIC does not require COVID-19 vaccinations or boosters. Customer site vaccination requirements must be followed when work is performed at a customer site.SAIC® is a premier Fortune 500® technology integrator driving our nation's technology transformation. Our robust portfolio of offerings across the defense, space, civilian, and intelligence markets includes secure high-end solutions in engineering, digital, artificial intelligence, and mission solutions. Using our expertise and understanding of existing and emerging technologies, we integrate the best components from our own portfolio and our partner ecosystem to deliver innovative, effective, and efficient solutions that are critical to achieving our customers' missions.        We are more than 26,500 strong; driven by mission, united by purpose, and inspired by opportunities. SAIC is an Equal Opportunity Employer, fostering a respectful work culture based on diversity, equity, and inclusion that values all contributors. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $7.1 billion. For more information, visit saic.com.  ",Today,"2,898 reviews","1,539"
https://www.indeed.com/viewjob?jk=27ec90b536461d47&from=web&vjs=3,10,Data Scientist Associate,American Institutes for Research,"Arlington, VA 22202","    Overview:     AIR is currently seeking a  Data Scientist Associate  to join our Data Science and Advanced Analytics (DSAA) group. DSAA employs advanced analytics methods to solve complex research questions and address public policy questions to support evidence-based decision-making to solve complex social problems. Candidates hired for the position might initially start working remotely but will eventually have the option to work from our Arlington, VA office or continue to work remotely.     Do you want to work for a mission-focused and exciting institution? Then come join us. AIR is AIR is a nonpartisan, not-for-profit institution that conducts behavioral and social science research and delivers technical assistance to solve some of the most urgent challenges in the U.S. and around the world. We advance evidence in the areas of education, health, the workforce, human services, and international development to create a better, more equitable world. We do this work because when we look to the future, we see opportunities to close gaps that are rooted in injustice. At AIR, we know that equity begins with systems that work for everyone, so we lead with expertise, follow the evidence, and never stop drawing new connections to build a better, more equitable world.     Data Scientists at AIR use a blend of technology skills and theory to contribute to cutting-edge research design, implementation, and capacity building. Our team promotes data scientists’ career development through interdisciplinary collaboration, training opportunities, a community of practice, mentorship and managerial responsibilities, and the opportunity to work on meaningful projects spanning several domains, including education, public health, workforce, science and innovation policy, criminal justice, and housing. We balance contemporary agile development with rigorous approaches to research design, all the while remaining outcomes-driven and aligned to our clients’ missions and goals.  Responsibilities:        The responsibilities for the position include:           Support efforts to collect, compile, validate, interpret, and analyze data using standard practices and techniques      Support computer modeling or simple to moderately complex forecasting using standard software packages      Support to quantitative and/or qualitative analysis using standard techniques and methods      Work independently and in teams on moderately complex assignments under indirect supervision      Create replicable, well-annotated code in a shared environment      Coordinate project support needs and requests for senior management and clientele      Conduct literature reviews and write sections of proposals and deliverables      Develop systems for maintaining and checking the accuracy of data for assigned projects      Utilize external resources to supplement, organize, and contribute to tasks and projects      Present and occasionally support and organize content in internal and external meetings      Remain up-to-date on and provide suggestions for new technologies that can be used in research      Review and optimize others’ programming code      Provide innovative and suitable solutions to complex problems     Qualifications:         Education, Knowledge, and Experience:            A Bachelor’s degree with at least three years’ experience  or  a master’s degree in a field with quantitative emphasis (e.g., Computer Science, Statistics, Economics, Engineering, Mathematics, Bioinformatics) is required      Experience with word processing and spreadsheet software is required      Experience with one programming language is required. This may include statistical software like, STATA, or R      Experience with a general-purpose programming language (e.g., Python, Java) is strongly preferred      Experience with database software (e.g., MySQL, MS SQL Server) is a plus            Skills:            Comfortable with solution-focused problem solving and thinking through problems creatively      Strong background in statistical and mathematical modeling is a plus      Excellent attention to detail               Disclosures:               AIR requires all new hires to be fully vaccinated against COVID-19 or receive a legally required exemption from AIR, as a condition of employment. AIR will ask candidates to verify their vaccination status only after a conditional offer of employment is made. Applicants should not provide information about their vaccination status or need for exemption prior to receiving a conditional offer of employment from AIR.              Applicants must be currently authorized to work in the U.S. on a full-time basis. Employment-based visa sponsorship (including H-1B sponsorship) is not available for this position. Depending on project work, qualified candidates may need to meet certain residency requirements.              All qualified applicants will receive consideration for employment without discrimination on the basis of race, color, religion, sex, gender, gender identity/expression, sexual orientation, national origin, protected veteran status, or disability.              AIR adheres to strict child safeguarding principles. All selected candidates will be expected to adhere to these standards and principles and will therefore undergo rigorous reference and background checks.              #LI-JT1          #LI-Remote     ",30+ days ago,212 reviews,"1,539"
https://www.indeed.com/viewjob?jk=113f4a7cc8191a3f&from=web&vjs=3,10,Data Scientist,SYNTASA,"McLean, VA","                Data Scientist                         Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data-driven approaches        Develop a deep understanding of customers’ context and help them translate the business use cases into data science solutions        Effectively manage the delivery to our customers of professional services that include assisted software installation, customer training/coaching, and co-development of data science projects        Maintain consistent and concise internal communication across multiple teams        Ensure customer satisfaction throughout the implementation process                          Location             Herndon, Virginia                 Department             Engineering                 Employment Type             Full-Time                 Minimum Experience             Experienced      ",30+ days ago,2 reviews,"1,539"
https://www.indeed.com/viewjob?jk=9b63dd8da7e6cd27&from=web&vjs=3,10,Data Scientist (Junior),Allen Integrated Solutions,"Springfield, VA","TS/SCI Clearance REQUIRED  Overall Assignment Description: Junior-level Data Scientist employ a multi-discipline approach to requirements engineering, solutions engineering, scheduling, reliability, resiliency, services development, integration, test and evaluation, maintainability and analysis to provide technical leadership for many of the customers' highest priorities, including the Intelligence Community (IC) Advanced Campaign Cell (ACC), an Office of Director of National Intelligence (ODNI)-chartered organization whose mission is to develop and apply innovative analytic and collection methods, technology, and tradecraft techniques to include model driven methodologies that integrate multiple disciplines in support of the community's efforts against the hardest problems. The IC/ACC supports expectations as prescribed by the ODNI Augmenting Intelligence Using Machines (AIM) Initiative. This initiative demonstrates the art-of-possible via Artificial Intelligence (AI) and Machine Learning approaches applied to selected contents, applies innovation to advanced Activity Based Intelligence (ABI) and Object Based Productions (OBP) practices in context of human and machine-augmented capability.  Duties include: Assists Expert engineers and the Government in requirements efforts, projects and campaigns aligned to the IC ACC Framework leveraging the IC/ACC's unique accesses and authorities to evolve collection, linked knowledge, and analysis tradecraft versus a focus on solving the hard intelligence problems using traditional methods.  Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large datasets for specified purposes.  Develop and show value of analytics via concept demonstration using sense-make knowledge/ dynamic Graph contents akin to Google Knowledge Graph approaches.  Support implementation/evolution of model-driven methodology integral to integrated intel framework.  Develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance products, processes, and systems.  Anticipate trends, activities, events, or issues/concerns by analyzing information to evaluate importance and significance and assess their utility in predicting activities or solving intelligence problems   Skills and Experience:  Required:   Bachelor's degree or higher in Systems Engineering or in related technical or scientific fields such as engineering, physics, mathematics, operations research, engineering management, Computer Science, Information Technology, Management Information Systems, or related STEM degree program, or Junior-level work experience as a Data Scientist.  Demonstrated experience in Data Science, Architecture, or Engineering & Data Apps/Analysis  Demonstrated experience developing descriptive, predictive, or prescriptive analytics to sense-make structured and unstructured data  Junior-level working system engineering experience in government or industry.   Desired:   Strong customer service and teaming skills; experience collaborating in cross-functional team  Self-starter able to lead/manage multiple tasks and adjust to changing priorities delivering efficient staff work  Strong interpersonal, organizational, client relationship management and load-balancing skills.  Strong oral, written communications, and presentation skills with senior government.   Allen Integrated Solutions  provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.",30+ days ago,,"1,539"
https://www.indeed.com/viewjob?jk=d5b16cd89f811a46&from=web&vjs=3,10,Data Scientist,Parsons,"Dahlgren, VA","     Minimum Clearance Required to Start:  Top Secret SCI       Job Description:     Parsons has emerged as a leader in the development of cutting-edge AI/ML solutions for the Department of Defense and Intelligence Community. Our success can be attributed to our people and our priorities. We hire the best; we make them a priority and we never lose focus on the mission. It’s why we’re here. We have built this cultural legacy by working closely with analysts and operators to understand their needs and delivering meaningful value through innovative, cost effective and intuitive software solutions.        Our Space Operations Directorate is passionate about making America the undisputed leader in Space because we understand that ensuring our nation’s security for future generations depends on it. Parsons creates game changing solutions by teaming highly respected subject matter experts with brilliant technologists.        Recognized as a leader of AI/ML applications within the DoD, our team is looking for an experienced data scientist with a desire to work directly with our customer to help them achieve mission critical objectives in the defense of our nation. You will work with the customer to perform cutting-edge data science, machine learning, and identify novel ways of exploiting existing data sources. In addition, you will help them improve their existing analysis and machine learning pipelines. In this environment you’ll be challenged to find new ways to solve existing problems as well as take on exciting and challenging new problem sets. The primary work location will be on site with our customer in Dahlgren, VA. You will be integrating with an existing, strong team of experienced and highly motivated analysts, engineers, and other data scientists. We’re looking for someone that wants to work with a strong team, wants everyone to succeed, and has excellent communication skills.        Required Skills            Bachelor’s degree in Computer Science or an engineering field with at least 8 years technical experience. Relevant experience may be accepted in place of a degree      Minimum 3 years of experience designing and developing data science processes at an intermediate or advanced level in Python, SageMaker, Apache Spark, ""R"", or similar environment.      Minimum 3 years of experience with artificial intelligence/machine learning      Experience with common data science toolkits (e.g., numpy, scipy, scikit-learn, jupyter)      Experience integrating/preprocessing a disparate range of data sources (e.g., geospatial data, imagery, relational databases, natural language, unstructured data, etc.)      Ability to identify systems enhancements and new capabilities, concept demonstrators, and quickly prototype solutions      Excellent communication skills, in both spoken and written English      Must be a US Citizen due to DoD contract      Must have an active Top Secret clearance with DCID 6/4 eligibility           Desired Skills            Experience using and designing ontologies using W3C semantic web standards, OWL, RDF/XML, Turtle, etc.      Experience with modern DevOps techniques and technologies (e.g., Docker)      Experience developing and integrating AI/ML algorithms into larger applications/pipelines      Ability to develop mathematical algorithms and applications in response to complex requirements      Experience developing, integrating, and deploying software applications in an operational DoD environment        Must be able to obtain, maintain and/or currently possess a security clearance.       The position may require a COVID vaccination or an approved accommodation/exemption for a disability/medical condition or religious belief as required by federal, state, provincial or local mandates or customer requirements.   ",Just posted,984 reviews,"1,539"
https://www.indeed.com/viewjob?jk=2109195e6084b478&from=web&vjs=3,10,Data Scientist (Remote),Improvix Technologies,"Reston, VA 20190","     Role:   Data Science Analyst   Location:   Remote   Type:   Full-Time    Clearance:   Ability to obtain Public Trust Clearance          Minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the characteristics of a data set and identify potential issues.      Demonstrated experience of efficient manipulation and wrangling of large datasets      Hands on experience and expertise with SQL, Python or PySpark (preferred), or R      Comfortable dealing with ambiguity, making assumptions, drawing conclusions and distilling complex analysis for non-technical audiences.      Strong data visualization skills (Tableau preferred)      Experience with data warehousing, and knowledge of ETL/ELT best practices.      Familiarity with the AWS data ecosystem (S3, AWS Glue, EMR, etc.)      Comfortable working cross-functionally with different parts of the data analytical areas, and with distributed teams across multiple time zones.      Ability to thrive in a fast-paced, entrepreneurial, high-energy environment with shifting priorities.      Outstanding communication skills and a good team player        ",2 days ago,,"1,539"
https://www.indeed.com/viewjob?jk=4c20c69e85a044f2&from=web&vjs=3,10,Data Scientist,Mosaic Data Science,Virginia," Mosaic Data Science, located in the Northern Virginia/Washington, DC Metro area,   encourages qualified data scientists to contact us regarding current full-time, salaried   consulting opportunities in the United States and Canada.   Mosaic Data Science is a dynamic, growing data science consultancy solving some of the   most complex and interesting problems in industry. At Mosaic you’ll contribute to data   science projects requiring a variety of analytical and business skills in many verticals,   including logistics, retail, utilities, healthcare, telecommunications, media, oil and gas, and   manufacturing. You’ll work with talented, creative, and self-motivated colleagues who hold   themselves to very high standards of professionalism and quality. You will have an   opportunity to interface directly with customers; part-time travel to customer sites may be   required. Telecommute options are available for experienced candidates. You can expect   your responsibilities to grow as quickly as you’re willing and able to meet them. You’ll enjoy   a fantastic benefits package that includes profit sharing and generous personal leave,   professional development opportunities, as well as first-rate healthcare and retirement   benefits. Most folks who join Mosaic stay here for a long time.        Qualified candidates will have:    Bachelor’s degree or higher in applied math, statistics, operations research,   computer science, engineering, physics, cognitive science, or a related field;   Master’s/PhD preferred   Working knowledge of statistics, machine learning, optimization, data visualization,   computer programming, and database systems   Practical experience with R or Python and relevant data manipulation, visualization,   and machine learning libraries   1+ years of experience applying technical skills to real-world business problems   Strong written and verbal communication skills, a high level of professionalism, and   a positive & collaborative approach   Willingness and ability to learn new skills and tools quickly on the job   Must be a US or Canadian Citizen or Permanent Resident   All qualified applicants will receive consideration for employment and will not be   discriminated against on the basis of race, color, religion, sex, sexual orientation, gender   identity, national origin, age, disability, or protected veteran status. Mosaic Data Science   takes affirmative action in support of its policy to employ and advance in employment   individuals who are minorities, women, protected veterans, and individuals with disabilities.     For more information see:  www.mosaicdatascience.com",6 days ago,,"1,539"
https://www.indeed.com/viewjob?jk=dc2067fec2c01393&from=web&vjs=3,10,Data Scientist,2nd Order Solutions,"Glen Allen, VA 23060","Benefits  Medical, Dental, and vision plans 401(k) retirement plan Flexible vacation policy – take what you need Paid parental leave Tuition Reimbursement Program Free access to gym at both locations Training and development opportunities at cutting edge data-science conferences across the country Collaborative and exciting work culture – work with people you’ll love Opportunities to grow quickly and work with experts in the industry and with clients that are industry giants Limited travel – especially compared to other consulting companies Opportunity to work at a company where your opinion matters – we value data over tenure and stress the importance of an inclusive environment Unlimited access to Coursera courses both for personal and professional development Fun team building off-sites and opportunities – we ensure that we support our collaborative culture by getting the whole team together multiple times throughout the year  Our data scientists leverage elite modeling and industry context to develop custom, practical solutions to our client’s business problems. Their ability to understand, navigate, and manipulate a range of complex data structures enable them to work within our client’s environments to optimally structure their data for analysis. Through collaboration, they identify the most effective algorithms and modeling techniques to solve each client’s problem.  Ideal data scientists have a Bachelors or Masters in a quantitative field and several years of work experience in a relevant field. Data Scientists must be able to work seamlessly with different types and qualities of data and be able to work backward from a deep understanding of the business problem to develop the appropriate models. Complete fluency in a statistical package such as Python (preferred), SAS, or R is required. Experience and comfort in an analytically intense environment is preferred, though not required.",30+ days ago,,"1,539"
https://www.indeed.com/viewjob?jk=2ea6a917aefabdcf&from=web&vjs=3,10,Junior Data Scientist,"CALIBRE Systems, Inc.","Alexandria, VA 22310","                      Category              Training and Analysis Support                                  Job Location              Alexandria, Virginia                                  Tracking Code              CTO 4261-585                                  Position Type              Full-Time/Regular                                         CALIBRE Systems, Inc., an employee-owned Management Consulting and Digital Transformation company, is seeking a Junior Data Scientist to join our Tools, Technologies and Solutions group.          In this role, the candidate will assist with the development, sustainment, and maintenance of our enterprise reporting layer. The candidate will also assist with the creation of prototyping efforts relating to the growth of Data Analytics for CALIBRE. The candidate should be comfortable speaking to the end-to-end data analytics lifecycle as well as different technology solutions for diverse problem sets.          The Junior Data Scientist will work alongside other software developers, data scientists, and solution architects.          You are creative, love working with super smart people and customers, and you like using technology to solve hard problems.                         What you Will Do                  Create and maintain enterprise dashboards for reporting on different aspects of CALIBRE’s business          Integrate data sources into our data warehouse          Perform data cleansing, integration, analysis, and reporting          Create analytical products                                            Required Skills                       Business Intelligence: at least one of Tableau, Qlik Sense, or PowerBI          Scripting: at least one of Python/R          Database: strong SQL skills          Office: Advanced Excel and Powerpoint                                            Required Experience                       U.S. CITIZENSHIP REQUIRED          Bachelor's degree          Comfortability building production level business intelligence applications          High level knowledge of statistical concepts          Ability to proficiently write at least one scripting language in order to retrieve data from a source, manipulate and cleanse the data, and deliver model outputs and presentations for a functional audience                                          CALIBRE and its subsidiaries are an Equal Opportunity Employer and supports transitioning service members, veterans and individuals with disabilities. We offer a competitive salary and full benefits package. To be considered, please apply via our website at  www.calibresys.com . Come join our dynamic team. #CALIBRECareers               ",5 days ago,,"1,539"
