URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=8e65cae41a571430&from=web&vjs=3,40,Data Scientist,"Bespoke Technologies, Inc.","McLean, VA","Bespoke Technologies, Inc. is looking for a Data Scientist who will develop and manage data science programs and systems for data aggregation, data analytics, data summarization, and data visualization on structured and unstructured datsets. In order to integrate with Sponsor activities and decision-making, it is particularly important that the Contractor team have experience working in fast-paced environments to support immediate mission needs. Requirements: Demonstrate Python development background with expertise in Python data analytics packages such as pandas, numpy, scipy, gensim, and scikit-learn. Demonstrate database technologies, including Elasticsearch and SQL databases Demonstrate data pipelines and workflow technologies, such as Apache NiFi Demonstrate task tracking and version control technology, such as GitHub and JIRA Demonstrate artificial intelligence and machine learning technologies/packages, such as TensorFlow, PyTorch, and scikit-learn Demonstrate machine learning model development on text data and structured datasets Demonstrate data visualization technologies and packages, such as Kibana, Bokeh, Leaflet/Folium, and Tableau Demonstrated experience developing in a cloud environment, such as Amazon Web Services Desired Requirements: Master’s degree in Computer Science, Mathematics, Data Science, Statistics, or a related field. Demonstrate professional experience with, computer networks, digital forensics, or cybersecurity topics. Active Fullscope Lifestyle Polygraph required.  ssmRI1xNka",29 days ago,
https://www.indeed.com/viewjob?jk=64d4ed9c4990cd9e&from=web&vjs=3,40,Data Scientist - Top Secret - CTJ,Microsoft,"Reston, VA 20190","We are a fast-paced AI team in Azure Global, building deep learning-powered intelligent tools and end-to-end solutions for our government customers. We are looking for a data scientist who is passionate about applying a variety of machine learning and deep learning techniques to solve mission-critical problems. Our projects involve data from diverse structured and unstructured data sources, in both batch and streaming modes, and in formats ranging from tabular to geospatial, image/video, audio, and free-form text. Responsibilities In this role, you will collaborate with a team of experts in deep learning and cloud infrastructure. You will partner with program management and partner product teams, and work on all aspects of deep learning-enabled solutions, including problem definition; data acquisition and exploration analysis; architectural design; training, testing, and evaluating deep learning models; and production deployment on Azure. We value passion, creativity, diversity, desire to learn complex new technical skills, agility, and accountability. You will be a meaningful part of a growing team of motivated and talented individuals. Qualifications Basic Qualifications: 1+ years of experience building advanced analytics solutions using techniques from machine learning, deep learning, data science, statistics, optimization, large scale computing etc. Experience developing/training neural network models in a modern deep learning framework such as PyTorch, TensorFlow, or Caffe Strong software development skills in one or more scripting languages commonly used in conjunction with deep learning packages (Python preferred) Familiarity with working in a Linux environment with standard development tools, containerization technology (Docker, Kubernetes, etc.), and utilities for remote computing Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Citizenship Verification: This position requires verification of US Citizenship to meet federal government security requirements Candidates must have an active TS and be willing to upgrade to TS/SCI (with polygraph) or have an active TS/SCI and be willing to upgrade to TS/SCI (with polygraph). This role will require candidates to maintain the TS/SCI (with polygraph) clearance. Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter. Desired Qualifications: Willing to work in the Reston, VA area (part-time remote work opportunities are supported) Master’s or doctorate demonstrating aptitude with computational analysis in a research context Previous experience with computer vision, natural language processing, and/or acoustic intelligence Strong software development skills in one or more compiled OOP languages (C/C++/Java/C#) Publications in related fields (deep learning, machine intelligence, data mining, etc.) or using related techniques a plus Demonstrated customer focus with bias for getting things done fast and right Strong intellectual curiosity and passion about learning new technologies Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",13 days ago,"7,284 reviews"
https://www.indeed.com/viewjob?jk=7601f8789da8915d&from=web&vjs=3,40,Data Engineer/Data Scientist,The Ambit Group,"Sterling, VA","Ambit + GreenZone  is currently seeking a* Data Engineer/Data Scientist *to support the development of innovative data analytics solutions using cloud and primarily open-source technologies. The Data Engineer/Data Scientist is a hybrid role and will work with the product owners to develop end-to-end solutions to meet mission-focused objectives. This is an exciting opportunity which will allow qualified candidates to further develop their skills and expand their area of expertise! Our innovative customer is working to modernize the way the agency uses big data and data analytics to meet its investigative mission and objectives.This position works within the agencies Innovation Lab, an environment for the re-imagination of systems and applications that better enable the agency to accomplish its mission through creativity and collaboration. We empower our team to be creative, innovative, and use cutting edge tools and technologies. The ideal candidate will have experience with end-to-end open-source data analytics solutioning (data ingestion – ETL – normalization – testing - analytics – visualization) for a government customer in a law enforcement environment. Responsibilities:  The position works under the direction of the federal client's program. The specific duties include but are not necessarily limited to the following: Work collaboratively with government client, project managers, and on agile cross-functional development teams. Develop and execute advanced data analytics solutioning in alignment with investigative initiatives. Design, develop, implement, and maintain solutions and applications focused on data ingestion, data processing, data analytics, and ETL. Building data processing and ETL pipelines to automate and, perform routine ETL functions, using NiFi, leveraging microservices, enrichment, and normalization services. Design, develop, implement, and maintain data extraction, enrichment, and normalization solutions. Developing, testing, and maintaining software, applications, and data pipelines. Create and present advanced data visualizations and dashboards using open-source technologies. Required Skills and Experience:  A Bachelor's degree in Software Engineering, Computer Science, Management Information Systems, or another related field is required; Master's degree preferred. Two (2) years of professional experience developing, testing, and implementing data ETL pipelines, preferably using a tool such as NiFi. Two (2) years of experience designing and implementing ETL solutions in medium to large enterprise systems. One (1) year of experience developing applications leveraging big data technologies. One (1) year of experience leveraging data pipelining technologies to develop complex data pipelines and ETL processes within a large enterprise system. Intermediate level skills with one of the following: Java-SpringBoot Python R Experience working with government clients to develop data analytics and visualization solutions (Data Cleaning, Pattern/Trend Analysis, Data Modeling, Machine Learning, etc.). Ability to work in a fast-paced and high tempo office environment on cross-functional development and project teams. US Citizen, Ability to obtain and maintain a DHS Public Trust. Location:   Arlington, VA  (Due to COVID-19, on-site client work has been suspended until further notice) The Ambit Way We embody the name of the firm in our culture. Our ambit, or sphere of influence, is one in which all members have a voice and all are committed to outcomes. We understand that work, family and community co-exist, when any element is out of balance, all suffer. Our policies are family-centric, provide flexible work schedules, job sharing and cross-training that meet client requirements and support our employees. We focus on more than the task at hand, we focus on the entirety of our ambit. There is no job too large and no task too low — we function as ONE. Job Type: Full-time Work Location: Multiple Locations",,
https://www.indeed.com/viewjob?jk=5d589f35c61a1ed1&from=web&vjs=3,40,Data Scientist,Leidos,"Reston, VA 20170","Description  Job Description: Looking for an opportunity to make an impact? At Leidos, we deliver innovative solutions through the efforts of our diverse and talented people who are dedicated to our customers’ success. We empower our teams, contribute to our communities, and operate sustainable. Everything we do is built on a commitment to do the right thing for our customers, our people, and our community. Our Mission, Vision, and Values guide the way we do business. Your greatest work is ahead! An opportunity exists within the RSS Contract at National Energy Technology Laboratory (NETL)-Pittsburgh to join an interdisciplinary team participating in the research and development of advanced data analytics methods applied to energy infrastructure sensing applications, with an emphasis on natural gas infrastructure. NETL is a multi-disciplinary, scientific and technical-oriented national laboratory and the U.S. Department of Energy’s primary lab supporting fossil fuel-based energy research. The Data Scientist will collaborate on an interdisciplinary team spanning industry, academic, and national laboratory partners that seeks to develop and demonstrate advanced sensors and enabling technologies for energy infrastructure monitoring applications. Location: 100% telework If this sounds like the kind of environment where you can thrive, keep reading! Primary Responsibilities Include: Research within the team to identify and apply advanced data analytics methods to characterize and classify spatial, temporal, and frequency dependent features of optical fiber based distributed sensing data. Utilize artificial intelligence and advanced data analytics methods for predictive monitoring of incipient failures within the natural gas infrastructure by leveraging distributed optical fiber sensing. The researcher will also have opportunities to engage in data analytics for wireless sensor technology platforms and other energy infrastructure, including subsurface monitoring. Develop physics-based models for understanding failures of natural gas infrastructure and for accelerated training of analytics approaches. Field validation will ultimately be conducted for data collection. Publications in high quality scientific peer-reviewed journals, presentations at national and international technical meetings. Development of new intellectual property based on the innovative research. Period status reporting and project reports (weekly/monthly/quarterly/annually) is required to update project managers and clients. This position will require extensive interface with clients and potential collaborative partners, so excellent verbal and written communication skills are required. Required Qualifications: At least a M.S. degree in Statistical Methods, Mathematics, Data Science, Computer Science, Electrical Engineering, Applied Physics, Mechanical Engineering, or a related field and 2+ years of prior relevant experience. Experience with development and application of advanced data analytics methods (e.g. artificial intelligence, principle component analysis, neural networks, machine learning, big data analytics) using custom developed algorithms or commercially available software packages. An interest in intelligent techniques for energy infrastructure monitoring and sensing. Experience with high performance computing environments, tools, and applications. Excellent communication skills and a willingness and interest to collaborate in an interdisciplinary team environment to drive towards overall project and team objectives is also highly desired. Preferred Qualifications: Ph.D. degree is preferred, in Statistical Methods, Mathematics, Data Science, Computer Science, Electrical Engineering, Applied Physics, Mechanical Engineering, or a related field. Post-doctoral experience in a government-owned national laboratory is a plus. Strong background in machine learning, artificial intelligence, and big data analytics applied in sensing data processing. Familiar with multivariate analysis techniques for extracting information related to multiple parameters simultaneously from advanced sensing platforms. Experience in advanced data analytics methods for optical fiber based distributed sensing data analysis as it relates to indicators of incipient failures and leaks within the natural gas infrastructure. Knowledge of multi-physics modeling for natural gas pipeline failures. Pay Range: Pay Range $71,500.00 - $110,000.00 - $148,500.00 #Remote",27 days ago,"1,251 reviews"
https://www.indeed.com/viewjob?jk=8a98b11a9a7311aa&from=web&vjs=3,40,,,,,,
https://www.indeed.com/viewjob?jk=a312e6b244b9eee3&from=web&vjs=3,40,Data Scientist,"MCR, LLC.","Norfolk, VA","THE COMPANY  Since 1977, MCR has delivered planning, cost/schedule analysis, acquisition management and program assessment solutions to help government and commercial clients successfully lead their programs. MCR’s 400+ professionals provide critical thinking and integrated solutions to acquisition professionals, helping customers become more efficient and effective in running complex programs.  THE OPPORTUNITY  Are you a Data Scientist looking to make a meaningful impact in creative environment ? If so, we are eager to have someone like you join our team of experts supporting NATO.  NATO established Headquarters Allied Commander Transformation (HQ ACT) in Norfolk, VA, in 2003 to lead transformation efforts and improve military capabilities to meet 21st century security and defense requirements. This work encompasses the need to enhance the Alliance’s ability to apply a comprehensive approach to the conduct of future operations and engagement with partners, NATO’s interaction with non-NATO entities that include states, non-state actors and international and non-governmental organizations.  The majority of the products and services within iHub are falling under a category of Software Intensive Projects (SIP). Those projects are either strictly software development endeavors or there is a large software component that constitutes part of the project.  The backlog of iHub projects is constantly growing, and so is the demand for iHub services. With that rapid growth the iHub is looking for the top talent individuals to become members of its existing teams in order to assure the continuous delivery of already existing services and to increase pace of production of new products and services.  Job responsibilities include:   Develop the enabling functions and strategies to support Data Science activities within ACT  Provision of technical expertise regarding the application of data science and analytics to strategic alternatives  Provision visualizing data and producing high quality graphs and charts  Build and optimize 'big data' data pipelines, architectures and data sets  Work with various teams embracing Agile DevSecOps principles including CI/CD.   BASIC QUALIFICATIONS   University degree in a field related to Data Science such as Data Science, Data Analytics, Mathematics, Physics, Computer Science, Software Engineering or a related discipline OR four years minimum professional experience in the area of Data Science, including providing analysis and advice in the field of data science, within the last seven year.  Experience with data science best practice, particularly applied mathematics and/or programming, e.g. Python or R  Experience with Machine Learning techniques, especially on large scale datasets  Experience working with teams embracing agile DevSecOps principles, including CI/CD  Experience visualizing data and producing high quality graphs and charts  Experience with data science public cloud offerings  Experience building and optimizing ‘big data’ data pipelines, architectures and data sets  Experience with SQL, SQL Tuning, OLAP, Big Data Technologies  Portfolio of demonstrable products available online or/else open source contributions available online via GitLab, or similar platforms  Fluent in English (written and oral).  Active National or NATO Secret (or above) security clearance.   EQUAL OPPORTUNITY EMPLOYER  MCR, LLC is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",30+ days ago,6 reviews
https://www.indeed.com/viewjob?jk=54d20f5cf7bebf8b&from=web&vjs=3,50,Senior Data Scientist,HawkEye 360,"Herndon, VA 20170","Reporting to the Director of Data Science, the Senior Data Scientist will be responsible for developing the next generation of AI solutions at Hawkeye 360. They will take recommendations from the Director Data Scientist and focus on areas of analytics exploration which will separate HawkEye 360 from the field of competitors. They will harness the power of AI and Machine Learning to model key aspects of RF data producing leap ahead capabilities that will power HawkEye 360’s advance in the market. The right candidate must be a creative problem solver who can look beyond the data to see underlying trends and patterns. They will need to leverage their knowledge of statistics, machine learning, and AI to create effective solutions to tackle real-world problems. The candidate will leverage multi-int data sets to create solutions, so a good understanding of combining different data sets is key. Additionally, they will collaborate with engineering to transition R&D analytical solutions to production level code, integrating these solutions into existing pipelines. Responsibilities Lead the development and deployment of ML/AI products Research ML/AI techniques and apply them to relevant problems Iterate and refine models for applicable solutions Collect, process, and transform data Create reports and demos to clearly state problems, process, and solutions Integrate solutions into existing codebases Work across teams to identify opportunities to automate manual workflows Identify new data sets that can be integrated into solutions Essential MS in computer science, engineering, or related quantitative field, or equivalent experience 5+ years of relevant experience Experience with at least one machine learning framework such as PyTorch or R, with packages such as Detectron2, PyTorch Geometric, Pyro, and PyTorch-NLP Experience with common Data Science Libraries such as Pandas, Matplotlib, and scikit-learn Ability to initiate and drive research projects to completion with minimal guidance Clear and effective means of communication Experience using machine learning and statistical analysis for building data-driven product solutions or performing methodological research. Desirable Experience thriving in a fast-paced work environment Knowledgeable in graph theory and graph neural networks Publications in Machine Learning, statistics, data science, AI, computer science, or related technical fields Developed or deployed ML models using cloud based tools like Amazon SageMaker Experience in production level software development in Python or lower level languages such as C++ Background in geo-spatial and/or RF technologies PhD in relevant field Job Type: Full-time Benefits: 401(k) Dental insurance Employee assistance program Employee discount Flexible spending account Health insurance Health savings account Life insurance Paid time off Parental leave Professional development assistance Referral program Retirement plan Tuition reimbursement Vision insurance Schedule: Monday to Friday Supplemental Pay: Bonus pay COVID-19 considerations: COVID 19 Vaccination Policy in Place Ability to commute/relocate: Herndon, VA 20170: Reliably commute or planning to relocate before starting work (Required) Work Location: One location Work Remotely: Temporarily due to COVID-19 Work Location: One location",,
https://www.indeed.com/viewjob?jk=8663db4a13cfc95d&from=web&vjs=3,50,Data Analyst,SAIC,"Ashburn, VA 20147","Job ID: 2114303 Location:  REMOTE WORK , VA , US Date Posted:  2021-09-29 Category:  Information Technology Subcategory:  Metrics and Data Schedule:  Full-time Shift:  Day Job Travel:  Yes, 10 % of the Time Minimum Clearance Required:  Interim Secret Clearance Level Must Be Able to Obtain:  Secret Potential for Remote Work:  Yes  Description  SAIC is seeking a Data Analyst to support an Army National Guard contract. You will work with our government client and our agile software implementation teams, bringing your strong SQL skills, ability to independently manage multiple complex tasks with tight deadlines, and leverage existing knowledge/subject matter expertise in HR data. You will analyze data sets, design dimension data stores, implement data exchanges, write metric algorithms and produce reports/outputs. Your focus will assess and improve data quality, create and validate business logic, and obtain, translate, and address customer requirements for solutions that use Microsoft SQL Server.  This is a remote position from the DC Metro area. Travel to the Fairfax, VA office will be required from time to time.  You will manipulate application metadata in admin tools and manage data model, data, and metadata directly in Microsoft SQL Server Management Studio. You will recommend design and analytic approaches to customers, then implement their requirements into new solution specifications and content. The success of these implementations will depend on your knowledge and understanding of the data, as well as your ability to envision and implement the required solution using technical data and metadata applications.   Job Duties: Work on one or more agile software implementation teams and with customers to design user interfaces, reports and dashboards, automate work flows, design data models, and obtain, translate, document customer requirements.  Create and manage SQL Server application data models using SQL Server Management Studio.  Create and manage application metadata using internal admin tools and SQL Server Management Studio.  Satisfy Ad hoc requests for reports or information, leveraging internally developed tools and/or direct SQL.  Clearly communicate highly technical details to customers who have little or no programming, database, or software development knowledge.  Provide customer with understandable explanations based on complex SQL/data-based characteristics. Identify necessary additional fields and review new metrics and presentations for accuracy and refinement. Assist in updating metadata for products.  Perform quantitative and qualitative analyses.   Qualifications  Education and Experience:  BS/BA degree  Three (3) years or more of related experience  SQL expertise required to be considered for this position.  Existing knowledge of federal civilian agency or DoD human resource systems and data is a plus.  Strong knowledge of SQL, including the ability to read and design queries and stored procedures.  Knowledge of relational and dimensional database designs, metadata management techniques, and a working understanding of tools used for database, content, and metadata management.  Demonstrated expertise in the structure/capabilities/limitations of a data warehouse.  Functional knowledge of DoD or federal civilian agency human resource data, personnel management, personnel management lifecycle, and a solid understanding of automated personnel management systems.  Executing business process re-engineering and/or improvement projects, supporting mission-oriented business functions or research (e.g., data assessments, functional evaluations, gap analyses, etc.) and related applications or automated systems.  Ad hoc reporting and other customer support and interaction.  Presenting and creating customer briefings, demonstrations, and training.  Microsoft Office suite expertise. Microsoft Visual Studio experience desired.  Demonstrated verbal and written communication skills including the ability to write in layman’s terms when defining metrics, reports, and dashboards.   Certification:  CompTIA Security+ CE certification required   Clearance Requirement:  Candidates must be US citizens who are clearable for a DoD Secret clearance due to military contract requirements  Can start work with an Interim Secret clearance   COVID Policy: Prospective and/or new employees will be required to adhere with SAIC's vaccination policy. All SAIC employees must be fully vaccinated and they must submit proof of vaccination on their first day of employment. Prospective or new employees may seek an exemption to the vaccination requirement at Contact Us and must have an approved exemption prior to the start of their employment. Customer site vaccination requirements, if more strict, will take precedence over SAIC's vaccination policy. Target salary range: $75,001 - $100,000. The estimate displayed represents the typical salary range for this position based on experience and other factors. SAIC® is a premier Fortune 500® technology integrator driving our nation's technology transformation. Our robust portfolio of offerings across the defense, space, civilian, and intelligence markets includes secure high-end solutions in engineering, digital, artificial intelligence, and mission solutions. Using our expertise and understanding of existing and emerging technologies, we integrate the best components from our own portfolio and our partner ecosystem to deliver innovative, effective, and efficient solutions that are critical to achieving our customers' missions.  We are more than 26,500 strong; driven by mission, united by purpose, and inspired by opportunities. SAIC is an Equal Opportunity Employer, fostering a respectful work culture based on diversity, equity, and inclusion that values all contributors. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $7.1 billion. For more information, visit saic.com.",30+ days ago,"2,860 reviews"
https://www.indeed.com/viewjob?jk=a3f09560eee07a99&from=web&vjs=3,50,Data Scientist,Logistics Management Institute,"Tysons, VA","Overview: LMI is a consultancy dedicated to powering a future-ready, high-performing government, drawing from expertise in digital and analytic solutions, logistics, and management advisory services. We deliver integrated capabilities that incorporate emerging technologies and are tailored to customers’ unique mission needs, backed by objective research and data analysis. Founded in 1961 to help the Department of Defense resolve complex logistics management challenges, LMI continues to enable growth and transformation, enhance operational readiness and resiliency, and ensure mission success for federal civilian and defense agencies. This position is based out of our Tysons, VA HQ but remote applicants are welcomed! Responsibilities: Demonstrate the ability to frame and scale data problems to analyze, visualize, and find data solutions. Manipulate common data formats, including comma-delimited, text files, and JSON. Transform data and analysis into informative visualizations and interactive dashboards using open-source and commercially available tools. Derive insights and analytic narratives from data and visualizations for effective storytelling and clear communication in response to client research questions. Work in a fast-paced, solutions-oriented environment focused on client deliverables, analysis, and reporting. Act as technical team lead in the development of ML/AI predictive solutions for ongoing usage. Possess ability to lead teams and work independently Qualifications: Bachelors degree in science, data science, technology, engineering, mathematics, probability and statistics, computer science, economics, or other related business or technical discipline is required Experience working with tools, including object-oriented programming (Python, Java), computational analysis tools (R, MATLAB, SPARK-ML), and associated data science libraries (scikit-learn) Experience developing machine learning, data mining, statistical network, natural language processing, text analytics, and graph-based algorithms Experience specifically with big data (Internet of Things (IOT), time-series) in handling, storing, streaming, and the development and application of ML/DL/AI based algorithms with testing and evaluation is preferred.  At least 3-5+ years’ experience. Experience with databases (SQL, S3, Redshift), data curation techniques (ETL, SPARK, Python), and connecting data to analytics and visualization products Experience creating meaningful data visualizations and interactive dashboards using platforms such as Tableau, Qlik, Power BI, RShiny, plotly, and d3.js to communicate findings and relate them back to how your insights create business impact Experience with algorithm, prototype, and application development and implementation in on-premise and cloud-based computing environments, such as Hadoop and AWS 3-5 years minimum experience in the field Superior communication skills, both oral and written Active Secret (or TS/SCI) clearance preferred DoD experience preferred #LI-SH1",Today,69 reviews
https://www.indeed.com/viewjob?jk=5b43cea01ec0ff9d&from=web&vjs=3,40,ITAM Data Scientist - Experienced,Federal Reserve Bank of Richmond,"701 E Byrd St, Richmond, VA 23219","Company Federal Reserve Bank of Richmond The Richmond Fed is the proud home of the Federal Reserve’s National IT organization—a nationwide team delivering technology solutions and support across the Federal Reserve System. Many National IT employees are located in Richmond, while others are based across the U.S. at other Federal locations.  When you join our team, you’ll become part of a culture that welcomes differences, cares about our communities, and empowers each other to lead from where we are to make things better. Bring your passion and we’ll provide challenging and purposeful careers in a variety of fields, opportunities to grow and a wide range of benefits and perks that support your health and wealth. It’s all part of what makes #MyRichmondFed a great place to work! As our Data Scientist supporting Federal Reserve System IT Asset Management, you will provide collaborative or consultative work of varying complexity in areas of data and technology-related strategic direction and support, problem resolution, and translating and executing business requirements for assigned IT business areas. You will research and analyze data to help solve problems and drive improvements of varying complexity, provide guidance in identifying, evaluating and developing processes and procedures that are effective and meet requirements and standards, provide reporting and analysis to assist in executing solutions and consult with clients, colleagues and management. You will participate in cross-functional teams to address technical and/or data issues and determine best practices for how to improve current practices. What You Will Do: Perform complex analysis of business issues utilizing established methodology and tools within IT asset management. Work with the clients and other resources to assess current ITAM capabilities, identify customer needs and recommends business process improvements within technology areas. Provide support and collaboration in completing analysis, providing ad-hoc reports, information or process mapping, and/or alignment of the business and related resources. Provide consulting services to clients in order to evaluate, recommend, design and implement technical solutions and process improvements in areas related to information technology Identify client requirements by establishing personal rapport with all clients and internal/external resources to understand business and technology requirements Develop knowledge of supported client areas and builds relationships by assessing, evaluating and fully understanding the needs and requirements of clients in moderate situations. Provide strategic support to clients and leaders Lead process improvement and long-term technical solution discussions and presents outcomes in written and verbal format to senior management. Key participant in project development surrounding new processes and the integrating of new processes with existing ones. Assist in developing communications of these changes to impacted clients and other resources. Perform other related duties as assigned. Qualifications Bachelor's Degree or equivalent experience with 3 to 5+ years of relevant data analytics and visualization work experience. Knowledge of concepts and principles in functional area, in this case, IT asset and data management General knowledge of department/business lines, Reserve Banks, and / or System operations, policies, procedures and technologies. Strong written and verbal interpersonal communication skills tailored to meet a variety of audiences; ability to translate complex data analytics into business value outcome language; negotiation, creativity, attention to detail Understanding and applying risk management discipline in decision making Works under direction with infrequent checks; follows established methods and clear-cut polity. Makes decision when general instructions or established methods indicate actions to be taken. Discover the Reason Why So Many People Love It Here!  When you join Federal Reserve’s National IT organization , not only will you find a challenging and purposeful career, you’ll also have access to a wide range of benefits and perks that support your health and wealth, including: Great medical benefits Pension and 401(k) with employer match Paid time off Tuition reimbursement Employee resource networks Paid volunteer leave Flexible work options Onsite amenities that make working here fun  Other Requirements and Considerations: A requirement of this position is that the employee must be fully vaccinated against COVID-19; individuals who are unable to be vaccinated due to a medical condition or sincerely held religious belief may request an accommodation from the Bank. Candidates should review the Bank’s Employee C ode of Conduct to ensure compliance with conflict of interest rules and personal investment restrictions. Sponsorship is not available for this role. Selected candidate is subject to special background check procedures. Salary offered will be based on the job responsibilities and the individual’s knowledge, skills, and experience as defined in the job qualifications/experience. Full Time / Part Time Full time Regular / Temporary Regular Job Exempt (Yes / No) Yes Job Category Analytical Work Shift First (United States of America) The Federal Reserve Banks believe that diversity and inclusion among our employees is critical to our success as an organization, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool. The Federal Reserve Banks are committed to equal employment opportunity for employees and job applicants in compliance with applicable law and to an environment where employees are valued for their differences. Privacy Notice",30+ days ago,15 reviews
