URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=061d93513d253810&from=web&vjs=3,10,Biostatistician,Yale University,"New Haven, CT 06510","              Biostatistician                    Internal Medicine - Cardiology                        71893BR                   University Job Title            Biostatistician                   Bargaining Unit            None - Not included in the union (Yale Union Group)                   Time Type            Full time                   Duration Type            Regular                   Compensation Grade            Clinical & Research                   Compensation Grade Profile            Biostatistician (23)                   Wage Ranges            Click here to see our Wage Ranges                   Work Location            Medical School Campus                   Worksite Address            195 Church Street       New Haven, CT 06510                   Work Week            Standard (M-F equal number of hours per day)                   Searchable Job Family            Research Res Support, Research/Support                   Total # of hours to be worked:            37.5                   Position Focus:            The Yale/Yale New Haven Hospital Center for Outcomes Research and Evaluation (CORE) is a leading national outcomes research center dedicated to transforming healthcare for the betterment of people and society by leveraging data, analytics, and technology. We have assembled a talented, multidisciplinary group who are committed to developing solutions to the practical needs of medicine and healthcare. Our organization combines the highest academic ideals with a pragmatic approach that emphasizes the production of useful knowledge. We are distinguished by our creativity, dedication, experience, and skills – and our commitment to having our work make a tangible difference to patients, the public, and society. For additional information on CORE, please visit our website: www.medicine.yale.edu/core.                   Essential Duties            1. Evaluates and analyzes data using accepted statistical and biostatistical techniques. 2. Investigates, analyzes, and evaluates complex statistical and programming problems. Determines proper methodology, testing standards, and evaluation processes for research projects. Recommends and develops statistical approaches for use in analyses. 3. Prepares analysis plans and writes detailed specifications for analysis files, consistency checks, tables, and figures; communicates with clients regarding statistical analysis issues. 4. In collaboration with research investigators, contributes to the design of research studies, develops analytical plans, conducts statistical analysis and interpret the results. 5. Ensures the integrity of databases used in analyses through development of essential data cleaning and checks, and data back-ups. 6. Plans statistical programming activities and schedules to provide investigators with time frames for projects. 7. Recommends and develops statistical approaches by testing and prototyping. 8. Organizes and creates documents and tables related to datasets; communicates with data sources about data accuracy and data dictionary. 9. May perform other duties as assigned.                   Required Education and Experience            Master’s Degree in Biostatistics, Statistics or relevant field. Two years of experience; or equivalent combination of education and experience.                   Required Skill/Ability 1:            Coursework in generalized linear, generalized linear mixed, survival, and Bayesian models and/or machine learning methods.                   Required Skill/Ability 2:            Knowledge and related work experience utilizing statistical programming (SAS/R/Python) for generalized linear, generalized linear mixed, survival, and Bayesian models and/or machine learning applications.                   Required Skill/Ability 3:            Well-developed analytical, organizational, oral and written communication skills. Demonstrated strong ability to communicate technical ideas and results to non-technical customers in written and verbal formats.                   Required Skill/Ability 4:            Ability to work in a multidisciplinary team environment and manage/ prioritize multiple projects to ensure their quality and on-time delivery.                   Required Skill/Ability 5:            Must be reliable, professional and flexible. Careful and thorough and at the same time adaptable and innovative in conducting statistical analysis.                   Preferred Education, Experience and Skills:            Previous work experience as a statistician for healthcare services or medical field projects. Experience with healthcare data, particularly Medicare or other insurance claims data, clinical registry, Electronic Health Records (EHR), or patient reported outcomes for statistical analysis highly preferred.                   Drug Screen            No                   Health Screening            No                   Background Check Requirements            All candidates for employment will be subject to pre-employment background screening for this position, which may include motor vehicle, DOT certification, drug testing and credit checks based on the position description and job requirements. All offers are contingent upon the successful completion of the background check. For additional information on the background check requirements and process visit ""Learn about background checks"" under the Applicant Support Resources section of Careers on the It's Your Yale website.                   COVID-19 Vaccine Requirement            Thank you for your interest in employment at Yale University. Please also note that the university has a COVID-19 vaccination and booster requirement for all students, staff & faculty which is described in the COVID-19 Vaccine Program. As you search our open positions, you will see that all postings list their on-site addresses which gives more detail on the on-campus work location of the role.                   Posting Disclaimer            The intent of this job description is to provide a representative summary of the essential functions that will be required of the position and should not be construed as a declaration of specific duties and responsibilities of the particular position. Employees will be assigned specific job-related duties through their hiring departments.                   EEO Statement:            Yale University considers applicants for employment without regard to, and does not discriminate on the basis of, an individual’s sex, race, color, religion, age, disability, status as a veteran, or national or ethnic origin; nor does Yale discriminate on the basis of sexual orientation or gender identity or expression. Title IX of the Education Amendments of 1972 protects people from sex discrimination in educational programs and activities at institutions that receive federal financial assistance. Questions regarding Title IX may be referred to the University’s Title IX Coordinator, at TitleIX@yale.edu, or to the U.S. Department of Education, Office for Civil Rights, 8th Floor, Five Post Office Square, Boston MA 02109-3921. Telephone:       617.289.0111 , Fax: 617.289.0150, TDD: 800.877.8339, or Email: ocr.boston@ed.gov.                   Note            Yale University is a tobacco-free campus                ",30+ days ago,681 reviews
https://www.indeed.com/viewjob?jk=3ff23630ca00d0f8&from=web&vjs=3,10,"Senior Scientist, Process Modeler",Pfizer,"Groton, CT","        Why Patients Need You          Pfizer’s purpose is to deliver breakthroughs that change patients’ lives. Research and Development is at the heart of fulfilling Pfizer’s purpose as we work to translate advanced science and technologies into the therapies and vaccines that matter most. Whether you are in the discovery sciences, ensuring drug safety and efficacy or supporting clinical trials, you will apply cutting edge design and process development capabilities to accelerate and bring the best in class medicines to patients around the world.             What You Will Achieve             We are seeking a Chemical Engineer to join Chemical Research and Development (CRD) Computational Process Design and Optimization group in Groton CT . The successful candidate will play a leading role in the development of CRD digital design strategy in the process systems engineering area to enable the efficient process development of active pharmaceutical ingredient (API) candidates in our portfolio. They will help us establishing the systems engineering as a key factor to enhance speed, quality and flexibility in API development and manufacturing from early candidate selection through to commercial application.             CRD, as part of Worldwide R&D in Pharmaceutical Sciences, is responsible for the development of process technology for the production of API. CRD scientists engage in all facets of development from small scale synthesis in support of medicinal chemistry programs, to the development of the commercial synthetic route. CRD scientists partner with manufacturing specialists for API synthesis in kilo-lab and pilot plant facilities, as well as provide support for technology transfer to Pfizer manufacturing sites and third party facilities.             The successful candidate will provide systems, data analysis and modeling expertise for the development API, workflows and processes. They will partner with chemists, analysts, chemical engineers, IT professionals and statisticians from across Pfizer R&D and manufacturing organizations to evaluate and apply process systems approaches across the lifecycle and API development. Key activity of this position is the utilization of first principle and data driven models to digital twin or processes that will enable the digital exploration and optimization of the API development space. They will support the development workflows and methodologies for the efficient application and integration of process systems techniques. The ability to work on multi-disciplinary teams involving chemists, analysts, engineers, and technologists and to represent CRD on cross-functional teams is essential.             Role Responsibilities                     Develop new tools and utilize current process modeling tools against CRDs needs and workflows, identify gaps.          Development of process and equipment digital twins and follow the applications      Design model based experimental strategies      Combine fundamental and data driven modeling techniques      Partner with chemists, analyst chemical engineers from across PharmSci Small Molecule and to identify opportunities for application of process modeling to quantify risk and guide decisions for the development of API manufacturing processes      Work with rest of the process modeling group and the engineering group to create and maintain libraries of equipment and unit operation models      Work with external partners to develop and evaluate next generation process modeling techniques for pharmaceutical sciences      Learn and develop modern process modeling methodologies and techniques.      Act as a node for the generation of pre-competitive knowledge gathering with industry peers to learn from one another and drive effective collaboration to accelerate our knowledge, understanding and capability.      Act as a consultant to project teams for application of process system methodologies in supporting technology transfer of API processes to internal Pfizer API manufacturing facilities and external suppliers.      Collaborate with others to prepare internal research reports, technical presentations, external              QUALIFICATIONS             Must-Have           PhD in Chemical Engineering or equivalent with 0-4 years of relevant experience with emphasis in computational methodologies      Excellent knowledge of chemical engineering principles, process modeling, process control and optimization methodologies including: reaction kinetics, reactor design, chemical thermodynamics, heat and mass transport, engineering statistics, modeling and systems.      Experience in advanced mathematical modeling, such as creation of custom models relevant to chemical processes, defining mathematical frameworks and validation of process models      Excellent knowledge reaction modeling, property prediction, and simulation computational tools including: gPROMs, AspenOne, Dynochem, Matlab/Simulink, Statistical methods      Experience on Parameter estimation / Model development      Experience in Optimization, Error propagation, and nonlinear dynamic analyses      Experiences with Data Driven and Machine Learning techniques including Gaussian Processes and Bayesian Optimization      Working knowledge of Python, C++ or other program languages      Experience with modeling unit operation and continuous manufacturing processes              Nice-to-Have           Good foundational understanding of organic chemistry is desirable              Other Job Details           Last Date to Apply: May 20, 2022      Eligible for Relocation Package      Eligible for Employee Referral Bonus              #LI-PFE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Pfizer requires all U.S. new hires to be fully vaccinated for COVID-19 prior to the first date of employment. As required by applicable law, Pfizer will consider requests for Reasonable Accommodations.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Sunshine Act                                  Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider’s name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.                                                                                                                                             EEO & Employment Eligibility                                  Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer.                                                                   Research and Development    #LI-PFE  ",1 day ago,"6,054 reviews"
https://www.indeed.com/viewjob?jk=53244078770b2497&from=web&vjs=3,10,Network Technician,Wesleyan University,"Middletown, CT 06459","                                    Wesleyan’s Information Technology Services department supports the mission of the university by designing, implementing, and supporting the technology systems and infrastructure necessary for optimal teaching, learning, research, administration, and communication.                        Reporting to the Senior Network Administrator, the Network Technician is a member of the systems and network operations team. The systems and network operations team is a small, talented, and friendly group, and this position will find lots of opportunities for collaboration and on-the-job training. Team members are encouraged to innovate for the advancement of the university’s mission as far as their interest and aptitude will take them.                              The systems and network operations team cares for the technological infrastructure underlying all on-campus technology systems. These systems include wired and wireless networks, Internet/I2 access, VPN, telephone services, and television services.                              The network technician is on-site to support the work of the network administrators. This position will frequently interact with faculty, staff and students in the resolution of problems including but not limited to network equipment, data ports, wireless access points, IOT devices, and VOIP telephones.                              The Wesleyan community is a blend of approximately 4000 students, faculty, and staff with a wide array of professional, academic, and residential needs, producing a dynamic range of technological challenges for ITS to meet.                  Responsibilities include:                               Ability to trouble shoot modem/router equipment in the student residences not connected to the Wesleyan network.          Open service tickets and work with Comcast technicians for installs and trouble shooting          Work with different types of IOT devices (e.g. laundry card swipe readers, food vendor, solar panel, heating and cooling, door readers and cash register/ card swipe machines)          Assist Network Administrators configuring, adding, removing and upgrading edge switch equipment and wireless access points/remote access points (RAPs)          Assist with VoIP telephone deployment and troubleshooting as needed.          Update and maintain support tickets and inventory in ServiceNow ITSM system          Other duties as assigned                                This is an on-campus position. Flexible start date can be accommodated.                                                        Minimum Qualifications                            Bachelor’s degree and a minimum of one year’s IT support experience, or an equivalent combination of education, training, and related experience. This can include student or project-based work experience.                      Basic understanding of wired and wireless network fundamentals                      Ability to carry equipment up to 50lbs to and from locations with or without reasonable accommodation                      Ability to use small hand or power tools such as screwdrivers and drills                      Proven troubleshooting skills.                      Strong interpersonal and communication skills                      Ability to work independently and as part of a team.                      Demonstrated commitment to work within a diverse environment and work collegially with individuals of different backgrounds                      Must be able to work a flexible schedule to meet emergencies as needed.                                           Preferred Qualifications                            Network + Certification                      A+ Certification                                           Management Competencies                    Not Applicable                                    Competencies                    Customer focus, Patience, Perseverance, Problem solving, Teamwork/collaboration, Time management                                    Special Instructions to Applicants                    Application close date is April 29, 2022                                    Additional Information                    Any and all offers to external applicants are contingent on the candidate’s completion of a pre-employment background check screening and pre-employment physical to the satisfaction of Wesleyan University.                Wesleyan requires all employees to be vaccinated against Covid 19 unless they meet the criteria for a medical or religious exemption. New employees must be vaccinated prior to their start date. If an employee needs an exemption for medical or religious reasons, they must submit a request to Wesleyan and be approved before their start date                                    Benefits                    Wesleyan offers a broad range of employee benefits and development opportunities, including comprehensive group insurance plans, wellness programs and incentives, generous paid time off and retirement plans. We also offer flexible work schedules, employee and dependent tuition programs, as well as access to Wesleyan’s BLS & GLS programs for those who qualify (tuition is waived for up to 2 courses a term; some fees and taxes may apply).                Detailed information on the benefits of working at Wesleyan is located at: https://wesleyan.edu/hr/careers/prospective-resources.html.                                    Quick Link                    https://careers.wesleyan.edu/postings/8508                    ",21 days ago,54 reviews
https://www.indeed.com/viewjob?jk=8551c6dd5a0d06a8&from=web&vjs=3,10,Machine Learning Engineer,CVS Health,"Hartford, CT","Description/Fundamental Components  Develops and/or uses algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes  Performs analyses of structured and unstructured data to solve multiple and/or complex business problems utilizing advanced statistical techniques and mathematical analyses and broad knowledge of the organization and/or industry  Collaborates with business partners to understand their problems and goals, develop predictive modeling, statistical analysis, data reports and performance metrics  Develops and participates in presentations and consultations to existing and prospective constituents on analytics results and solutions  Interacts with internal and external peers and managers to exchange complex information related to areas of specialization  Use strong knowledge in algorithms and predictive models to investigate problems, detect patterns and recommend solutions  Use strong programming skills to explore, examine and interpret large volumes of data in various forms   Required Qualifications 3-5 or more years of progressively complex related experience   COVID Requirements   COVID-19 Vaccination Requirement CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.  You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.   Preferred Qualifications Demonstrates strong ability to communicate technical concepts and implications to business partners  Anticipates and prevents problems and roadblocks before they occur  Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources  Demonstrates proficiency in most areas of mathematical analysis methods, machine learning, statistical analyses, and predictive modeling and in-depth specialization in some areas   Education Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.  Master’s degree or PhD preferred   Business Overview At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.  We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",30+ days ago,"28,785 reviews"
https://www.indeed.com/viewjob?jk=8df553e22de13a42&from=web&vjs=3,10,Lead Machine Learning Engineer,S&P Global,"Hartford, CT 06101"," S&P Dow Jones Indices is seeking a Lead Machine Learning Engineer to be a key player in the IT application development team to build algorithms for index creation and management. The candidate will develop solutions to process alternative data from structured and unstructured sources, generate meaningful data classifications and text scoring. The candidate will be part of an IT team responsible for driving innovation in Thematics and Factors index methodologies and working closely with R&D teams. The candidate will be involved in innovative index development concepts such as industry classification, sentiment analysis and index rebalance algorithms.      This role requires a seasoned engineer who works effectively, both independently as well as collaboratively, in a team environment. The candidate must be a delivery-focused person with either experience in or knowledge of the finance industry.        Responsibilities:    Build solutions to process alternative data from structured and unstructured sources   Create models based on machine learning techniques   Identify suitable NLP/ML algorithms to apply against various datasets   Develop Supervised, Unsupervised, and Reinforcement Machine Learning Algorithms   Apply regression, classification, clustering, dimension reduction algorithms   Design Neural Networks modelling for data analysis   Apply Natural Language Processing techniques for sentiment analysis and topic modelling   Data modeling and evaluation of underlying data structure to discover patterns   Generate training datasets, conduct data labelling, and train models   Develop and deploy ML solutions in AWS Sagemaker   Develop applications in Java and Python to interface with ML models   Develop data workflows using AWS Kinesis, EMR, Glue, Lambda   Develop solutions to access datasets in AWS S3, Redshift, RDS (MySQL, PostgreSQL)   Provide effective communication regarding issues, testing status and potential risks   Effectively interact with global customers, business users and IT staff        Qualifications:    Bachelor's degree in Computer Science or Financial Engineering is required, or in lieu, a demonstrated equivalence in work experience   6 to 10 years of experience in software development activities   AWS Certified Machine Learning Specialty or similar certification is desired   Strong concepts of linear algebra, probability, statistics, multivariate calculus   Good experience in developing Machine Learning models   Good knowledge of various ML Vectorizations & Classifiers   Good knowledge of Natural Language Processing   Skilled in Data modelling and evaluation and good understanding of Data Science   Experience in Python or Java programming   Experience in AWS Sagemaker   Experience in AWS database and messaging technologies   Excellent communication skills are essential, with strong verbal and writing proficiencies      S&P Global states that the anticipated base salary range for this position is $83,200 to $190,100. Base salary ranges may vary by geographic location. In addition to base compensation, this role is eligible for an annual incentive plan. This role is not eligible for additional compensation such as an annual incentive bonus or sales commission plan.   This role is eligible to receive additional S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires.      At S&P Dow Jones Indices, our role can be described in one word: essential. We’re the largest global resource for index-based concepts, data and research, and home to iconic financial market indicators, such as the S&P 500® and the Dow Jones Industrial Average®. More assets are invested in products based upon our indices than any other index provider in the world; with over 1,000,000 indices, S&P Dow Jones Indices defines the way people measure and trade the markets. We provide essential intelligence that helps investors identify and capitalize on global opportunities.        S&P Dow Jones Indices is a division of S&P Global (NYSE:  SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit www.spdji.com.      S&P Global has a Securities Disclosure and Trading Policy (“the Policy”) that seeks to mitigate conflicts of interest by monitoring and placing restrictions on personal securities holding and trading. The Policy is designed to promote compliance with global regulations. In some Divisions, pursuant to the Policy’s requirements, candidates at S&P Global may be asked to disclose securities holdings. Some roles may include a trading prohibition and remediation of positions when there is an effective or potential conflict of interest. Employment at S&P Global is contingent upon compliance with the Policy.        Equal Opportunity Employer:    S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.      If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person. US Candidates Only:   The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.      Please note that S&P Global is a federal contractor, and in keeping with the US Government’s federal contractor vaccine mandate, the company plans to require all employees in the US to be fully vaccinated if and when such requirements becomes enforceable. S&P Global will also follow other state and local vaccine requirements which may apply.      IFTECH202.2 - Middle Professional Tier II (EEO Job Group)        Job ID:  270046     Posted On:  2022-02-14     Location:  Virtual, Alberta, Canada",30+ days ago,"1,386 reviews"
https://www.indeed.com/viewjob?jk=da33bc34b0831afa&from=web&vjs=3,10,Associate Data Engineer,"The Travelers Companies, Inc.","Windsor, CT","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Who Are We?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Job Category                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Technology                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Target Openings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        What Is the Opportunity?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Travelers Data Engineering team constructs pipelines that contextualize and provide easy access to data by the entire enterprise. As an Associate Data Engineer you will aid in growing and transforming our analytics landscape. You will leverage your ability to rapidly grasp and design new technologies, as well as your creativity and curiosity to capture, explore and transform data to support Artificial Intelligence, Machine Learning and business intelligence/insights.        This position may be based 100% remotely or in one of our offices. #LI-Remote #LI-Hybrid       What Will You Do?           Build rudimentary data solutions, correct problems, apply transformations, and recommend data cleansing/quality solutions.      Assist in the operationalization and automation of data products.      Analyze common sources to determine value and recommend data to include in analytical processes.      Interact and collaborate with team and business users to support delivery and educate end users on data products/analytic environment.      Perform data and systems analysis, assessment and resolution for defects and incidents.      Test data movement, transformation code and data components.      Perform other duties as assigned.           What Will Our Ideal Candidate Have?           Bachelor’s Degree in STEM related field or equivalent      Two years of related experience      Developing knowledge of tools, techniques, and manipulation including Cloud platforms, programming languages, and software engineering practices.      Experience with AWS, Snowflake and Data Integration.      Nice to have experience with Python, QlikView and Qlik Sense              What is a Must Have?           Bachelor’s degree or equivalent training with data tools, techniques, and manipulation.      One year of data engineering or equivalent experience.              What Is in It for You?              Health Insurance: Employees and their eligible family members – including spouses, domestic partners, and children – are eligible for coverage from the first day of employment.      Retirement: Travelers matches your 401(k) contributions dollar-for-dollar up to your first 5% of eligible pay, subject to an annual maximum. If you have student loan debt, you can enroll in the Paying it Forward Savings Program. When you make a payment toward your student loan, Travelers will make an annual contribution into your 401(k) account. You are also eligible for a Pension Plan that is 100% funded by Travelers.      Paid Time Off: Start your career at Travelers with a minimum of 20 days Paid Time Off annually, plus nine paid company Holidays.      Wellness Program: The Travelers wellness program is comprised of tools and resources that empower you to achieve your wellness goals. In addition, our Life Balance program provides access to professional counseling services, life coaching and other resources to support your daily life needs. Through Life Balance, you’re eligible for five free counseling sessions with a licensed therapist.      Volunteer Encouragement: We have a deep commitment to the communities we serve and encourage our employees to get involved. Travelers has a Matching Gift and Volunteer Rewards program that enables you to give back to the charity of your choice.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Employment Practices                                                                                                                   Travelers is an equal opportunity employer. We value the unique abilities and talents each individual brings to our organization and recognize that we benefit in numerous ways from our differences.                                                                                                                    If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an                                                                               email                                        so we may assist you.                                                                                                                    Travelers reserves the right to fill this position at a level above or below the level included in this posting.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        To learn more about our comprehensive benefit programs please visit                                                                                                                                                                     http://careers.travelers.com/life-at-travelers/benefits/                                                                                  .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",3 days ago,"2,220 reviews"
