URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=6bdf7706cf875380&from=web&vjs=3,90,Business Data Analyst,Imerys,"Roswell, GA","  The Company The world leader in mineral-based specialty solutions for industry, with over 16,000 employees and over 200 sites worldwide, Imerys delivers high value-added, functional solutions to diversified set of industrial sectors, from processing industries to consumer goods. The Group draws on its knowledge of applications, technological expertise and its material science know-how to deliver solutions based on beneficiation of its mineral resources, synthetic minerals and formulations. These contribute essential properties to customers’ products and performance, including refractoriness, hardness, conductivity, opacity, durability, purity, lightness, filtration, absorption and repellency. Imerys is determined to develop responsibly, in particular by fostering the emergence of environmentally-friendly products and processes. If you want to grow your skills and develop your career, find out more at   www.imerys.com The Position Business Intelligence Engineer   Job Summary Imerys, leader in mining and manufacturing industrial minerals, has an immediate opportunity for a  Business Intelligence Engineer  based at our N America headquarters in  Roswell, GA . This role can be home-based with some travel to the corporate office and field sites as necessary. Responsibilities include:       Build key data sets to empower operational and exploratory analysis. Data integration, build, improve and support analysis models    Automate and streamline data analysis where feasible    Understand and define data and analysis requirements for reporting and operational needs    Provide guidance and develop data standards and reporting best practices    Maintain and support reports and production dashboards in support of plant operations    Explore and examine data from a variety of angles using appropriate profiling techniques to understand the data and determine hidden weaknesses, trends, and/or opportunities    Assist in the evaluation of tools for doing visual and quantitative analysis, tools and techniques for deploying predictive and prescriptive solutions    Provide support in breaking down business problems into solvable components by assessing the requirements and/or business implications to arrive at recommended solutions with input from Industrial Support (IS) and other Imerys functions as needed    Track the latest data analysis and data mining technology and results    Help develop and deliver the data infrastructure required to support needs of predictive modeling and analytics    Help execute the development of new concepts and proof of concept designs    Utilize a multidisciplinary approach to Data Analytic problems combining technical expertise with analytics and business knowledge    Appropriately evaluate and tune models to insure business objectives are achieved    Manipulate and analyze complex data from varying sources and recommend ways to apply the data in collaborations with relevant IS functions    Present and communicate complex analytical data and results to varying audiences with a keen understanding of the needs of the audience    Oversight of and interface with IT/OT development and support efforts    Evaluation and application of technology options    Refine and optimize the implemented data processing methods to provide more accurate results or remove inefficiencies    Drive continuous improvements of the developed methods    Prototype, program and help shape the next generation of systems that lets users access data, services and data models seamlessly    Build a scalable system of various services including data access, data cataloging, search and discovery, data transformation    Lead the development of innovative, nonstandard approaches for knowledge discovery and parametric trending of structured and unstructured data and analysis to support business needs    Work as part of an agile development team of Industrial Support SME’s and engineers    Create System Functional Design Specifications & manage all system interfaces    Lead project-specific algorithm development as business needs arise    Support development and calibration activities for all data analytics applications     Education/Experience Requirements:       BS in Business, Engineering, Statistics, Mathematics or Technical Discipline with relevant experience    Successful US-based candidates must be fully vaccinated for Covid-19 before the employment start date unless exempted by applicable law.    Minimum of 3 years of experience in data analysis and tools such as data mining, OLAP, ETL, data modeling, REST APIs, machine learning, AI application and modeling, and complex SQL queries.    Experience planning and developing either business and IT/OT initiatives    Ability to produce high quality documentation of business and system requirements, system design, data architecture, and training materials    Ability to apply data architectural principles to business solutions    Excellent communication skills across multiple organizational levels and the ability to build relationships    Collaborative, open approach with ability to work both independently and as part of a team    +1 year of experience in Data Visualization / analytics tools such as Google data studio, SAP Business Objects, Crystal reports, etc..    Experience modeling Industrial process data and developing reports and Dashboards for Industrial environments.    Experience working with Data Warehouses, including Analysis cubes functionality such as aggregations, measures, dimensions and bridges    Willing to travel throughout North America up to 30% of the time.     ** ** Position Type Full time and Permanent   IMERYS is an Affirmative Action and Equal Opportunity Employer and it is our policy to not discriminate against any employee or applicant for employment because of race, color, religion, sex, national origin, age, marital status, sexual orientation, gender identity, genetic information, disability, veteran status, or any other status protected by federal, state or local laws.   Job Type: Full-time   Benefits:      401(k)    401(k) matching    Dental insurance    Health insurance    Life insurance    Paid time off    Professional development assistance    Tuition reimbursement    Vision insurance     Schedule:      8 hour shift     Work Location: One location ",,357 reviews
https://www.indeed.com/viewjob?jk=4134aea4a421c9e7&from=web&vjs=3,90,Data Scientist,S&P Global,"Atlanta, GA 30301","  Segment:  Market Intelligence     The Role:  Data Scientist III     Location:  Boston or Remote, EST Time Zone   GL: 10 (for internal use only)      At S&P Global Market Intelligence, we hire talented people and give them the autonomy and support needed to build amazing technology and products. To do this, we look for people who insist on a bias towards action and encourage open, honest, and efficient collaborations. We dedicate time and resources to explore new ideas and, as a result, we produce technology that is scalable, robust, and useful.      The Team   You will be part of a rapidly growing organization, joining the team of highly motivated and professional Data Scientists and Machine Learning Engineers within the S&P Global Market Intelligence Data Science Team.      The Impact   Market Intelligence provides financial and industry data, research, news and analytics to investment professionals, government agencies, corporations, and universities worldwide. We integrate news, comprehensive market and sector-specific data and analytics into a variety of tools to help clients track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuations, and assess credit risk. Given the incredible scope of MI’s offerings, we are tackling many complex and exciting problems including but not limited to NLP, time series modeling, record linkage, recommendation systems, anomaly detection, and graph theory.        What You’ll Do:    Collaborate with a variety of stakeholders across the data, product, commercial, and technology organizations and cross divisionally   Conduct original research on some of the most interesting datasets - both proprietary and open source   Identify, research, prototype, and build predictive products   Analyze, transform, structure, and crunch financial data that is growing in size, diversity, and complexity   Write production-ready code and collaborate with machine learning engineers to deploy ML models        What We're Looking For:    Advanced degree in Computer Science, Math, Statistics, Engineering, or related quantitative field   3+ years of experience in data analysis or similar role   Proficiency in Python   Experience with advanced machine learning, natural language processing, and statistics models   Strong statistical knowledge and intuition, especially for applying analysis to real data   Strong communications skills   Strong interest in capital market & economics theory        How to Get Our Attention:          Your GitHub/Kaggle profile shows a project or problems you’ve tackled     You have relevant research or publications     You’ve demonstrated success in academic or industry as a key individual contributor.       Compensation/Benefits Information:    S&P Global states that the anticipated base salary range for this position is $68,300 to $155,900 . Base salary ranges may vary by geographic location.      This role is eligible to receive S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires .        To all recruitment agencies:    S&P Global does not accept unsolicited agency resumes. Please do not forward such resumes to any S&P Global employee, office location or website. S&P Global will not be responsible for any fees related to such resumes.      S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. Only electronic job submissions will be considered for employment.      If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.   The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdfdescribes discrimination protections under federal law.      -----------------------------------------------------------      Equal Opportunity Employer   S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.      If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.        US Candidates Only:  The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.      ----------------------------------------------------------- 20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)        Job ID:  271991     Posted On:  2022-04-17     Location:  Boston, Massachusetts, United States",12 days ago,"1,386 reviews"
https://www.indeed.com/viewjob?jk=3a29b0ee008d41e4&from=web&vjs=3,90,Business Intelligence Analyst,DINA,"Suwanee, GA 30024","    Description:     Description     Doosan Infracore North America is looking for a data-oriented Business Intelligence Analyst to join our talented on-site team in Suwanee, GA.     Who We Are     Doosan Infracore North America LLC, headquartered in Suwanee, Georgia, markets the Doosan brand of products that includes crawler excavators, wheel excavators, mini excavators, wheel loaders, articulated dump trucks, material handlers, log loaders, and attachments. With more than 160 equipment dealer locations in North America, Doosan is known for an unmatched dedication to service and customer uptime, and durable, reliable products. Doosan is fast becoming a global force in heavy construction equipment.     For more information on Doosan ® products, visit na.DoosanEquipment.com.     We offer a comprehensive and competitive total rewards package as well as a dynamic talent development opportunities.     What You'll Do     The Business Intelligence Analyst is responsible for the development, maintenance, and communication of data-driven insights and analytical solutions to their audiences. The position will directly strive for continuous improvement to processes and visualization tools and generate key implications to support business decisions for executives.     This position is also responsible for supporting the analysis of historical market and sales trends by various viewpoints based on real-time industry and customer information to facilitate strategically sound decisions to drive market share, identify competitive advantages and opportunities, optimize sales, and recommend product directions.     The Business Intelligence Analyst drives the prioritization and creation of dashboards and reports across the business, improving monitoring of performance, cost, and other key metrics to help Doosan meet its revenue and share goals. As a data steward, you will help maintain data integrity and accuracy for each project’s stakeholders.     Other responsibilities include:     Sales Support         Report wholesale and retail sales to identify business opportunities and gauge monthly progress      Report sales and inventory figures to AEM      Support monitoring and evaluation of performance of dealerships, sales personnel, and market forecast        Sales Data Analysis         Support development, maintenance, and improvement of critical sales-related dashboards for executives and other departments        Data Management, Visualization, and Analytics:         Periodically extracts data from various data sources and maintains the quality of back-end data for reports and visualizations      Performs eclectic functions related to data analysis and BI tool utilization, including management of datasets      Create new dashboards and reports to provide meaningful insight to related teams (Sales, Marketing, Dealer Development, etc.)     . Requirements:     What You'll Bring:         Bachelor’s degree in data Analysis or related degree/project experience      Fundamental proficiency of demonstrated basic data analytics and proactiveness to learn new tools and improve processes for reporting and data visualization.      Ability to utilize and further develop skills in applicable software for data analysis.      Advanced analytic and statistical programs/software preferred such as:     Power BI (or tableau) – relational data management & visualization     Python (or R) – statistical analysis & machine learning     MS Suite, especially Excel and PowerPoint      Demonstrated ability to interpret and validate data      Strong written, verbal, and presentation skills      High competency Strategic Thinking, and Execution      Demonstrated ability to manage multiple tasks with very short timelines/deadlines      Strong business acumen      Related experience 0-3 years      Travel < 5%        Doosan is committed to a diverse workforce and is an Equal Opportunity and Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to sex, age, race, color, religion, creed, citizenship status, national origin, disability, marital status, sexual orientation, gender identity, protected veteran status, or any other status or characteristic protected by law. Individuals with disabilities who require a reasonable accommodation in the application process or who need assistance accessing the information on this website should call  678-714-6676 . The Company’s hiring location is Suwanee in GA.   ",30+ days ago,11 reviews
https://www.indeed.com/viewjob?jk=80915243104acffb&from=web&vjs=3,90,Data Engineer,Morgan Stanley,"Alpharetta, GA","        Data Engineer                                    Job Number:      3203215           POSTING DATE: Mar 3, 2022          PRIMARY LOCATION: Americas-United States of America-Georgia-Alpharetta          EDUCATION LEVEL: Bachelor's Degree          JOB: Engineering          EMPLOYMENT TYPE: Full Time          JOB LEVEL: Associate                              DESCRIPTION            Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management, and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices. As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.    Technology works as a strategic partner with Morgan Stanley business units and the world's leading technology companies to redefine how we do business in ever more global, complex, and dynamic financial markets. Morgan Stanley's sizeable investment in technology results in quantitative trading systems, cutting-edge modeling and simulation software, comprehensive risk and security systems, and robust client-relationship capabilities, plus the worldwide infrastructure that forms the backbone of these systems and tools. Our insights, our applications and infrastructure give a competitive edge to clients' businesses—and to our own.               Morgan Stanley Enterprise Technology Service is looking for a data engineer to join our Data Service & Analytics team. The Data Engineer will support our data analysts and data scientist, ML engineer by working on analytics and ML projects as well creating fundamental component to support wider user communities across line of business in Morgan Stanley. The candidate must be self-motivated, dedicated, accountable and able to identify issue and find solutions independently.           Responsibilities:            Support our existing big data platform.       Expand and enhance our data pipeline.       Design, build and support our analytics and AI/ML platform and ML pipeline on cloud.       Support AL/ML operation on ML governance, process and release management.       Identify process improvement opportunities, automate manual processes and optimize data delivery.       Create prototyping for analytics and AI/ML tools       Support user communities to build applications on the platforms the team build.                    QUALIFICATIONS            Required:           Working experience on big data platform such as Hadoop, Databricks, etc.       Working experience with Cloud platform such as AWS and Azure.       Working coding experience on programming languages such as Python and Java.       Understanding of data analysis techniques and procedures       Understanding of machine learning process and operation       Understand security principal and practice on cloud platforms       Understand data governance and ML governance principals       Strong communication and organization skills.       Bachelor's degree in Computer Science or related fields required, Master's desired                    Desired:           Working experience on ETL tools such as AWS Glue ETL or Databricks       Working experience on AWS Glue and SageMaker       Working experience with tools used by Data Scientist       Working experience on network and security related areas       3 years’ of experience on data engineering, ml engineering or ml operation engineering          ",30+ days ago,"4,688 reviews"
https://www.indeed.com/viewjob?jk=aaef56452c0807dd&from=web&vjs=3,90,Principal Engineering Manager,Microsoft,"Atlanta, GA","        The Identity engineering team builds and manages Microsoft’s online identity providers for all of Microsoft’s online services and platforms like Azure, Office, Xbox, and HoloLens. We boldly pursue big ideas that power transformational advances in online security and user management. Our work spans both the consumer and enterprise space and can be found in internet scale online services, the Windows operating system and most phones and handheld devices. Identity engineering employees have deep technical expertise, customer insights, and a clear point of view that comes from first-hand, very large-scale experience. We are engineers, technology leaders and experts, digital transformation change agents, and customer advocates.              Our teams are seeking experienced and passionate software engineering managers to join us as we create and deliver mission critical services and processes to enable Microsoft’s online presence. You’ll have the opportunity to lead a team that builds Microsoft Authentication Method Framework and enables seamless and secure authentication capabilities. You will be responsible for hiring and growing the best engineers in the world while forming some of the best engineering team Microsoft.              Also, our culture promotes diversity, multiculturalism, and inclusion and is clearly reflected in all the things we do. Diversity is more than a commitment for us - it is the foundation of what we do. Our team has a strong sense of accountability and provides its members with many opportunities for learning and career growth.              We have exciting opportunities for you to innovate, influence, transform, inspire, and grow within our organization and we encourage you to apply to learn more!       Responsibilities        Responsibilities           This is a broad cross-team role with high visibility, collaborating with multiple teams across Microsoft.      Lead the architecture, design and implementation of client and services for extremely high scale, throughput, durability, and low latency.      Innovate and make service deployment and maintenance an efficient well-oiled machine that provides excellent reliability with minimal manual engineer intervention.      Lead the definition of requirements, KPIs, priorities and planning of engineering deliverables.      Mentor and grow the energetic, diverse, and driven team with a good mix of senior, mid-level, and junior talent.        Qualifications         Basic Qualifications:            At least 9 years of professional software development experience demonstrating responsibilities identified above.      At least 2 years of experience in leading an engineering team.               Preferred Qualifications:            Bachelor’s Degree in Computer Science, Computer Information Systems, Math, Engineering or related field, or completion of a Code/Developer academy program           #IdentityATL          #MicrosoftATL              Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:              Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.               Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.              Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.     ",28 days ago,"7,379 reviews"
https://www.indeed.com/viewjob?jk=7d477a97057105b0&from=web&vjs=3,90,Staff Machine Learning Engineer (Python & AWS),GE Digital,"Atlanta, GA 30339","Job Description Summary The Staff Machine Learning Deployment Engineer will be responsible for implementing and delivering re-usable analytics solutions on cloud in the area for physical-digital technologies to implement inspection, BOT, deep learning and other AI-based application in energy industry such as Thermal Power, Renewables, or Power Transmission and Distribution areas to grow AI-driven services for industrial applications. Use Lean principals, Digital technologies such as cloud/AI to implement, operationalize and scale analytics applications. Job Description Roles and Responsibilities You will work with a global set of experts in GE Digital, Gas Power, Renewable businesses to implement AI-Based algorithms for inspecting GE equipment such as Wind turbine blades, implement remaining life prediction algorithms, develop clustering algorithms for developing data-based predictive signatures. Deploy these algorithm on AWS with API and microservices architectures using Python. Leverage standard set of analytics & algorithms, cloud software technologies, data engineering practices to implement AI-based algorithms, integrate them into broader business applications, and scale them to thousands of users. You will engage key technical & subject matter experts (SMEs) across the business for knowledge capture into the solutions. You will also provide core product requirements to Product Management, Software Engineering and UX Design teams. You will mentor other engineers in analytics development process and methods. Work on a team of Analytics Engineers and Data Scientists to implement and operationalize algorithm on Cloud. Implement API, services to connect data to algorithm, running of algorithms, sorting of results and display of results in repeatable and reusable software modules. Write Analytics Functional Documentation for the Field Services teams, gather end-user and customer requirements and support product engineering in development of new generations of software solutions Develop a trusted advocate relationship with internal and external customer constituents. Drive repeatability in solution component architectures and improve speed of development and implementation via using of Lean principles. Foster an environment that encourages innovation, creative risk taking, speed, agility designing in analytics development and implementation. Technical Expertise:  Demonstrated ability to work within a small, collaborative project team Attention to detail with a willingness to follow a rigorous quality process. Strong oral and written communication skills. Aptitude for the use of complex software applications, abstract concepts, use of data Understanding of industrial equipment and process operations, especially in the areas of maintenance and process control Multiple years of Experience designing and implementing analytics Strong organizational and project management skills Strong analytical and problem resolution skills Clear understanding of Systems Development Life Cycle (SDLC) methodology and respective experience with its application in design and development phases Proven experience designing, deploying or operating applications / infrastructure in a public or private cloud environment Knowledge and experience using Analytics Software Packages like Matlab, and python and cloud based analytics services such as AWS Eligibility Requirement Legal authorization to work in the U.S. is required. GE may agree to sponsor an individual for an employment visa now or in the future if there is a shortage of individuals with particular skills. Business Acumen:  Strong Customer mindset and ability to understand commercial and product strategy Bridging between Research and Solution design Demonstrates awareness of important current trends (economic, political, environmental, regulatory, etc.) affecting the industries that GE Digital operates in Experience working effectively on multiple outcome-focused commercial solutions simultaneously Ability to synthesize broad-based user requirements into a unified plan to meet key business objectives Leadership:  Proactively engages with cross-functional teams to resolve issues and design solutions using critical thinking and analytics skills and best practices by actively incorporating input from various sources Strong analytical and strong problem solving skills - effectively evaluates information/data to make decisions; anticipates obstacles and develops plans to resolve Continuous improvement oriented – actively generates process improvements; champions and drives change initiatives Personal Attributes:  Emotional Intelligence, ability to influence up and out and the ability to work independently Must be a team player with a strong desire to win Highly organized and efficient; able to balance competing priorities and execute accordingly Strong oral and written communication skills. Required Qualifications: Bachelor's Degree Computer Science or “STEM” Majors (Science, Technology, Engineering and Math) + with 8 years of experience minimum  Strong knowledge of python-based analytic development, APIs and automation is required. Some experience in implementing and scaling of analytics on cloud platform such as AWS is required. Hands-on experience in docker, web services (eg, REST, SOAP, WSDL etc.), using Apache Commons Suite & Maven, SQL Database such as Oracle MySQL, PostgreSQL etc. is required. Desired Qualifications:  Master's degree is preferred. Strong knowledge and understanding of industrial equipment, their operations, reliability, failure is highly desired. Experience with Big Data / Hadoop and NoSQL Database is a big plus GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law. GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable). As a federal government contractor, GE may in the future be required to have U.S. employees fully vaccinated against COVID-19. Some GE customers currently have vaccination mandates that may apply to GE employees. Relocation Assistance Provided:  Yes",30+ days ago,182 reviews
https://www.indeed.com/viewjob?jk=de283f9d2b9220bd&from=web&vjs=3,90,Senior Threat Hunter,Microsoft,"Atlanta, GA","        The Microsoft Threat Experts Team is looking for threat hunters! No matter how sophisticated attacker behaviors become, Microsoft 365 Defender will help enterprises detect, investigate, and respond to advanced attacks and data breaches on their networks. Our team uses deep knowledge of the attacker landscape and rich telemetry from our sensors to perform root-cause analysis and generate custom alerts, ensuring that Microsoft 365 Defender customers are well equipped to quickly respond to human adversaries identified in their unique environments.              Ensuring that no human adversary can operate silently begins with experts harnessing the powerful optics provided by Microsoft 365 Defender, across the attacker kill-chain, coupled with world-class detections. We are looking for a leader to help us harness the power of Microsoft’s trillions of security signals to quickly identify and report the latest human adversary behaviors, drive critical context-rich alerts, build new tools and automations in support of hunting objectives, and drive innovations for detecting advanced attacker tradecraft.       Responsibilities         Explore and correlate large data sets to uncover novel attack techniques, monitor and catalog changes in activity group tradecraft, and generate custom alerts for enterprise customers.      Work with customer support teams to support investigation and response during an enterprise’s time of need.      Collaborate with our data science and threat research teams to develop and maintain accurate and durable cloud-based detections.      Build hunting tools and automations for use in the discovery of human adversaries.        Qualifications         Required Qualifications:            5+ years of experience in a technical role in the areas of Security Operations, Threat Intelligence, Cyber Incident Response, or Penetration Testing/Red Team.      Advanced knowledge of operating system internals and security mechanisms.      Experience analyzing attacker techniques that leverage email and cloud-service tactics.      Skilled working with extremely large data sets, using tools and scripting languages such as: Excel, SQL, Python, Splunk, and PowerBI.               Preferred Qualifications:            Knowledge of operating system internals, OS security mitigations & understanding of Security challenges in Windows, Linux, Mac, Android & iOS platforms      Knowledge of kill-chain model, ATT&CK framework, and modern penetration testing techniques      Excellent cross-group and interpersonal skills, with the ability to articulate business need for detection improvements      Knowledge of major cloud and productivity platforms as well as identity systems and related security concerns      Experienced with curation of Threat Intelligence      Experienced with direct customer communication in a service delivery role      Ability to use data to 'tell a story'      Experience with reverse engineering, digital forensics (DFIR) or incident response, or machine learning models      Experience with system administration in a large enterprise environment including Windows and Linux servers and workstations, network administration, cloud administration      Experience with offensive security including tools such as Metasploit, exploit development, Open Source Intelligence Gathering (OSINT), and designing ways to breach enterprise networks      Additional advanced technical degrees or cyber security certifications such as CISSP, OSCP, CEH, or GIAC certifications               #MicrosoftATL              Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to, the following specialized security screenings           Microsoft Cloud Background Check : This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.               Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.              Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.     ",30+ days ago,"7,379 reviews"
https://www.indeed.com/viewjob?jk=a7a00fb70728cc74&from=web&vjs=3,90,Principal Software Engineer - Applied Machine Learning,Splunk,"Atlanta, GA 30301","     Join us as we pursue our disruptive new vision to make data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we’re committed to our work, our customers, having fun, and most importantly to each other’s success. Learn more about Splunk careers and how you can become a part of our journey!     Role:     As the Principal Software Engineer for our Machine Learning team you will be responsible for ensuring that the development of ML systems and services meets all technical and quality standards. You will work with Product Management and other technical teams within Splunk, incorporating new requirements and providing technical information related to this sophisticated ML Platform as needed.     Responsibilities:     You will:         work with a team of senior ML engineers, applied researchers and security researchers, and experts within their own specialty. You will set an example for this group, as well as set high standards on quality, communication and ability to deliver with deadlines.      contribute to architecture and technical decisions while also mentoring junior members within the team.      be working in a multi-office, multi-location development environment and prior experience working with local and remote teams or groups will be a plus.        While expertise with ML products and their application within enterprise solutions is highly desirable, it is not required, provided you are willing to quickly come up to speed and you have some prior experience of ML technology and its application.     Requirements:         12+ years software development with focus on large scale distributed systems.      Some Machine Learning application development experience, this is NOT a data scientist role, but a services/platform development role.      Ability to communicate effectively in conversations with researchers and engineers from academia background.      Passionate about building and encouraging good engineering practices and processes such as continuous integration and deployment.      Experience developing and putting into production test automation and CI/CD systems.        Desired Skills (not required):         Expertise in developing software with container deployment and orchestration technologies at scale, with strong knowledge of the fundamentals including service discovery, deployments, monitoring, scheduling, load balancing.      Strong background in building streaming applications or streaming analytics platforms.      Expert in one of the streaming platforms, preferably Flink.      Expertise in developing software on a public cloud platform (AWS, GCP, Azure).      Expertise in developing software with stream processing technology (Kafka, AWS Kinesis).        We value diversity at our company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or any other applicable legally protected characteristics in the location in which the candidate is applying.     For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.   ",30+ days ago,66 reviews
https://www.indeed.com/viewjob?jk=12442bee8a9717e8&from=web&vjs=3,90,Public Health Data Scientist – Junior Level,Metas Solutions,"Atlanta, GA 30322","     About Us:     Metas Solutions  is a professional services firm headquartered in Atlanta, GA. We are an 8(a)-certified, Woman Owned Small Business (WOSB/EDWOSB) headquartered in Atlanta, GA. Metas is a full-service consulting firm focused on implementing public health and information technology (IT) solutions for our clients. We specialize in Health Informatics, Data Analytics, SharePoint Design and Transformation, Capacity Building and Technical Assistance, Evaluation, Strategy, and Population Health Strategies. See www.metassolutions.com for further details about us and careers with Metas.     Job Description:     Metas Solutions  has an  "" immediate opening""  for an experienced  Public Health   Data Scientist - Junior Level  to work  Remotely  with the possibility of working onsite in   Atlanta, GA.  In this position you will work as part of a team to perform data analytics and data visualization support for our client to help transform its current workflow for requesting access to critical public health data (""prioritizing pathogens of importance"") using a SAS data store for data analysis into an enhanced database and using R or Python to perform data analytics and visualizations. This position will work on a team to transform the current web portal request and review tool as well as enhance the back-end data store and corresponding analytics tool to a R or Python based solutions. In particular, this position will be responsible for developing and implementing the analytical tool and workflow integration in conjunction with a full stack developer who will develop the data store and web form/portal for the data entry request.     Responsibilities:         Addresses business problems to be solved with data science approaches which include:            Developing proof-of-concepts, evaluating project value and risk, examining user roles, and defining resource requirements.        Examining the Machine Learning (ML) lifecycle in Data Science/AI solutions, considering systems design, documentation, maintainability, interpretability, tool/frame choices, technical debt, etc.           Developing datasets by identifying and/or creating sources of data, evaluating the quality of data, and addressing sources of inadequacies, errors, and biases in the data.      Perform an As-is analysis of current web portal request tool and data store solution and based on stakeholders' requirements and your subject matter expertise, make recommendations on technology and process upgrades to the request and access request workflow and the analytical solution for the enhanced tool. This will require an understanding of SAS and associated analytical tools to make recommendations for enhancements      Work within a team of developers and with public health stakeholders to understand requirements for the new solution and recommend a proposed enhanced solution.      Work within your team to redesign the data store and the analytical toolset - options include R, Python or another enterprise approved tool.      Test the solution, support User Acceptance Testing and support the move to production activities      Train users and provide user support as required      Create end user and training documentation as required.      Delivering project results to leadership and other stakeholders and explaining the impact, ethics, and usage of the end model.      Assisting and/or guiding junior data scientists in data analysis efforts and model construction/design/implementation.        Qualifications:         Bachelor's degree in Computer Science focused on Data Science, Data Analytics or similar experience      Master's in public health preferred      2+ year of professional experience      2+ years of experience working in in a public health setting      2+ years of experience working with public health data exchange      Experience working with public health staff to gather requirements needed to execute on data analysis, queries, or visualizations      Experience with R and Python analytical programming      Some experience with SAS programming using advanced programming methods and techniques, including macros, arrays, or PROC SQL to manipulate large complex database files to gain an understanding of the current solutions to better design the enhanced solutions      Knowledge of data manipulation using statistical software        Preferred Experience:         Experience with visualization and analytical tools, including SAS, PowerBI, Tableau, or Splunk      Experience with technical documentation and user documentation      Ability to work in high performance and cloud-based environments      Master's degree in Public Health (MPH)        Security Requirements:         Must be US Citizen or with the ability to obtain a US Government security clearance (Public Trust 5 or Suitability/Fitness determination) within a reasonable period.      Market competitive salary, commensurate with experience and education.      Comprehensive benefits package available, Medical, Dental, Vision and Life Insurance, Paid Time Off (PTO), 401K with company match, growth, and promotion opportunities        We are an Equal Opportunity Employer/Veterans/Disabled   ",28 days ago,
