URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=5325fa5ffe7b2be3&from=web&vjs=3,20,Sr. Data & ML Engineer,"Amazon Web Services, Inc.",Iowa," ● Bachelor’s degree in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience ● 8+ years of experience of Data platform implementation ● 3+ years of hands-on experience in implementation and performance tuning of Kinesis, Kafka, Spark or similar implementations ● Hands on experience with building data or machine learning pipeline ● Experience with one or more relevant tools (Flink, Spark, Sqoop, Flume, Kafka, Amazon Kinesis) ● Experience developing software code in one or more programming languages (Java, JavaScript, Python, etc) ● Current experience with hands-on implementation      At Amazon Web Services (AWS), we’re hiring highly technical Data and Machine Learning engineers to collaborate with our customers and partners on key engagements. Our consultants will develop and deliver proof-of-concept projects, technical workshops, and support implementation projects. These professional services engagements will focus on customer solutions such as Machine Learning, Data and Analytics, HPC and more.  In this role, you will work with our partners, customers and focus on our AWS offerings such Amazon Kinesis, AWS Glue, Amazon Redshift, Amazon EMR, Amazon Athena, Amazon SageMaker and more. You will help our customers and partners to remove the constraints that prevent them from leveraging their data to develop business insights.    AWS Professional Services engage in a wide variety of projects for customers and partners, providing collective experience from across the AWS customer base and are obsessed about customer success. Our team collaborates across the entire AWS organization to bring access to product and service teams, to get the right solution delivered and drive feature innovation based upon customer needs.    You will also have the opportunity to create white papers, writing blogs, build demos and other reusable collateral that can be used by our customers. Most importantly, you will work closely with our Solution Architects, Data Scientists and Service Engineering teams.    The ideal candidate will have extensive experience with design, development and operations that leverages deep knowledge in the use of services like Amazon Kinesis, Apache Kafka, Apache Spark, Amazon Sagemaker, Amazon EMR, NoSQL technologies and other 3rd parties.    Inclusive Team Culture  Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.    Work/Life Balance  Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed.    Mentorship & Career Growth  Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.    This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.              Masters or PhD in Computer Science, Physics, Engineering or Math.     Familiar with Machine learning concepts     Hands on experience working on large-scale data science/data analytics projects     Hands-on experience with technologies such as AWS, Hadoop, Spark, Spark SQL, MLib or Storm/Samza.     Experience Implementing AWS services in a variety of distributed computing, enterprise environments.     Experience with at least one of the modern distributed Machine Learning and Deep Learning frameworks such as TensorFlow, PyTorch, MxNet Caffe, and Keras.     Experience building large-scale machine-learning infrastructure that have been successfully delivered to customers.     Experience defining system architectures and exploring technical feasibility trade-offs.     3+ years experiences developing cloud software services and an understanding of design for scalability, performance and reliability.     Ability to prototype and evaluate applications and interaction methodologies.     Experience with AWS technology stack.     Written and verbal technical communication skills with an ability to present complex technical information in a clear and concise manner to a variety of audiences.            Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit     https://www.amazon.jobs/en/disability/us    .         For employees based in Colorado, this position starts at $122,300 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.  ",30+ days ago,"81,592 reviews"
https://www.indeed.com/viewjob?jk=25d13b2c571f6148&from=web&vjs=3,20,Senior Service Resolution Specialist,Frontdoor,"Carroll, IA 51401"," Overview      Frontdoor is a company that’s obsessed with taking the hassle out of owning a home. With services powered by people and enabled by technology, it is the parent company of four home service plan brands: American Home Shield, HSA, Landmark and OneGuard, as well as ProConnect, an on-demand membership service for home repairs and maintenance, and Streem, a technology company that enables businesses to serve customers through an enhanced augmented reality, computer vision and machine learning platform. Frontdoor serves 2.2 million customers across the U.S. through a network of approximately 17,000 pre-qualified contractor firms that employ an estimated 60,000 technicians. The company’s customizable home service plans help customers protect and maintain their homes from costly and unexpected breakdowns of essential home systems and appliances. With 50 years of home services experience, the company responds to over four million service requests annually. For details, visit frontdoorhome.com.      Responsibilities      Utilizes problem solving skills to respond to and resolve escalated customer service issues via inbound and outbound telephone calls, written correspondence and/or electronic communication according to all company policies, standard operating procedures, and contract coverage.      Follows up with internal and external customers, contractors, and/or business partners to ensure customer service issues are resolved.      Maintains current knowledge of all company policies, procedures, and programs.      Provides guidance to associates so they can effectively resolve customer service issues.      Provides monetary approvals to associates so they can authorize or effectively resolve customer service issues.      Handles escalated calls from customers.      Handles contract cancellation requests, as well as saves and retentions.      Qualifications      High school diploma or general education degree (GED) required      2 -4 years customer service experience and/or training preferred      Experience resolving escalated customer service issues      Effective decision making, conflict resolutions, and negotiation skills      Strong verbal and written communication skills      Knowledge of contract coverage, including systems and appliances preferred      Computer skills (Microsoft Word, Excel, Outlook)      Need help finding the right job?      We can recommend jobs specifically for you!      Job Locations US-AZ-Phoenix | US-IA-Carroll | US-GA-Lagrange | US-TN-Memphis      ID 2022-2543      Category Customer Service/Support      Type Full Time      Company AHS American Home Shield Corp",5 days ago,2 reviews
https://www.indeed.com/viewjob?jk=d4437abff66d9b61&from=web&vjs=3,20,"Software Development Engineer - VMC Availability - Opportunity for Working Remotely Des Moines, IA",VMware,"Des Moines, IA","       Why will you enjoy this new opportunity?     We are the VMWare Cloud Availability team. We challenge ourselves to build solutions for cloud infrastructure that make it highly available and resilient to failure. Can you think out of the box, are you passionate about solving problems of high availability and resiliency for services or workloads running on virtual machines and containers in the cloud? if so, this is a role for you.     As a member of the VMC Availability team you’ll be part of a bright engineering team that is working on some of cutting-edge Cloud features. If you have a real passion for building cloud systems that are highly scalable, manageable, and fault tolerant, then you will fit right in.        Success in the Role: What are the performance outcomes over the first 6-12 months you will work toward completing?            Spend the first thirty days onboarding, learning more about VMWare services and products. Familiarizing and setting yourself up to work on solving some basic problems, issues.      In the forty-five-day time period: make simple code fixes/trivial improvement. Participate in code reviews. Understand metrics we measure and track. Be involved in triaging issues.      In sixty to ninety day-time period you will feel proficient to participate in all team charters designing, building software, being part of CI/CD, supporting our services in production, interfacing and collaborating with other teams           The Work: What type of work will you be doing? What assignments, requirements, or skills will you be performing on a regular basis?        You’ll be responsible for:              Design and development of Availability solutions for VMware cloud      Using Agile methodologies to develop and test the new features      Collaborate with other team members to support the lifecycle of new features      Fostering a culture of innovation within the team      Leading and delivering cross team projects               In order to be successful, you will need to have:           · MS or PhD in Computer Science, or equivalent degree and at least 7-10 years of experience working on similar industry technologies              Strong coding skills in working with Java programming      Must be motivated, detail-oriented, and the ability to thrive in a team environment      Industry experience involving significant design and development      Experience with Cloud based services, Microservices, Cloud Computing or similar experience      Experience developing distributed, multithreaded applications      Good teamwork and communication skills                Industry experience with machine learning is a definite plus        What is the leadership like for this role? What is the structure and culture of the team like?     The hiring manager for this role is Hema Kalsi, Senior Manager VMC Availability, who looks after the team from Palo Alto with diverse technical and leadership roles. She has been with VMWare for 2 years and has been in the industry for over 20 years. She believes happy teams are successful teams. She wants the team members to thrive, take ownership, lead and solve problems together.     The team is globally distributed. Currently, most of the team is based in Palo Alto California, and Bangalore India.        Where is this role located?     Flexible:  The role is considered flexible and will be a mix of working from a local VMware office and remote depending on your preferences and the arrangements determined with your future manager. You will be expected to live within a reasonable non-daily commute of the office.        What are the benefits and perks of working at VMware?     You and your loved ones will be supported with a competitive and comprehensive benefits package. Below are some highlights, or you can view the complete benefits package by visiting www.benefits.vmware.com.         Employee Stock Purchase Plan      Medical Coverage, Retirement, and Parental Leave Plans for All Family Types      Generous Time Off Programs      40 hours of paid time to volunteer in your community      Rethink's Neurodiversity program to support parents raising children with learning or behavior challenges, or developmental disabilities      Financial contributions to your ongoing development (conference participation, trainings, course work, etc.)      Wellness reimbursement and online fitness and wellbeing classes           This position is eligible for JoinCloudSolutions ERP campaign        Category :  Engineering and Technology   Subcategory:  Software Engineering   Experience:  Manager and Professional   Full Time/ Part Time:  Full Time   Posted Date:  2022-04-01     VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.        Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.  ",30+ days ago,935 reviews
https://www.indeed.com/viewjob?jk=9d8f8eb7486347cb&from=web&vjs=3,20,Analyst: Investment Overlay Strategies,Transamerica,"Cedar Rapids, IA 52402","     Job Description Summary     Transamerica has been helping people feel better about the future for more than 100 years, and we’re proud of the trust we’ve earned. But we believe our responsibility goes beyond insurance, investments, and retirement accounts. We’re also in the business of helping people improve their financial and personal well-being, so they can add more years to their lives, and more life to their years. Are you a problem solver and have strong analytical skills? Do you like detailed work and following procedures? Are you a strong communicator and have excellent customer service skills? If your answer is yes, we are looking for you!       Job Description        What You Will Do:  Build and analyze sophisticated models for insurance products, investments and/or portfolios to increase company risk adjusted returns. Collaborate with team members to solve business problems related to optimizing asset performance, including hedges, against liability performance using analytics, economics, finance, accounting, actuarial and tax disciplines.        What You Will Learn:  In this role, you will gain exposure to Transamerica’s rich history and culture. You will be working with a team of ambitious and engaged professionals who bring fresh ideas and diverse perspectives to help us continually shake up the status quo and stay on the forefront of reinventing how we meet our business partner’s needs.        What Success Looks Like:         Model and quantify risks including interest rate sensitivities, cash flow variability, credit, inflation, or liquidity risks.      Embrace new technologies to improve workflows.      Build external or embedded controls to mitigate operating risks in workflows.      Apply risk management techniques and procedures, including the company's mandated risk methodologies.      Gather and analyze market data, calculate hedge program or portfolio statistics and develop/use models to simulate financial reporting processes.      Apply and integrate statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources.      Interpret internal or external issues and recommend solutions/best practices.      Solve complex problems; take a broad perspective to identify solutions.      Apply judgment to modeling choices in a defensible manner.      Assess the materiality of various modeling and data choices.           What You Need:         Bachelor’s degree in a technical/quantitative discipline such as statistics, math, actuarial science, computer science, economics, engineering, or a related business field such as finance      Academic or job exposure to at least one area product such as insurance liability, asset valuation, derivatives modeling, liquidity management, machine learning, or artificial intelligence      Good understanding of investment and finance concepts, and be able to creatively apply them in solving analytical problems in the business setting           Preferred Qualifications:         Advanced degree      Insurance or asset/derivatives modeling experience      CFA      Actuarial Science background      Experience with database design and usage      2+ years of programming experience in C++/C#/Python or other advanced language      SAS, R, SPSS or other statistical software experience           Working Conditions:         Hybrid working environment           What You Receive:     A Comprehensive  Wealth + Health  package. It’s our passion to empower people, and especially our employees, to add years to their lives and more life to their years. That means a healthy account balance and a healthy body to match. As you’ll come to discover, Wealth + Health is a central part of everything we do!     Wealth Benefits; Competitive Pay, Bonus, and Benefits Package; Pension Plan, 401k Match, Employee Stock Purchase Plan, Tuition Reimbursement, Disability Insurance, Employee Discounts, Career Training & Development Opportunities, Certification Sponsorship     Health and Work/Life Balance Benefits;  Be Well  Company sponsored holistic wellness program which includes Wellness Coaching and reward dollars, Parental Leave, Adoption Assistance, Employee Assistance Program, College Coach Program, Back-up Care Program, Paid Time Off to Volunteer, Employee Matching Gifts Program, Employee Resource Groups, Inclusion and Diversity Programs, Employee Recognition Program        Our commitment to inclusion & diversity means that we value differences. We encourage the unique perspectives of individuals and are dedicated to creating a respectful and inclusive work environment.     ",30+ days ago,"1,460 reviews"
https://www.indeed.com/viewjob?jk=966099b3ace96599&from=web&vjs=3,20,Project Specialist - Contract Relations,Frontdoor,"Carroll, IA 51401"," Overview      Frontdoor is a company that’s obsessed with taking the hassle out of owning a home. With services powered by people and enabled by technology, it is the parent company of four home service plan brands: American Home Shield, HSA, Landmark and OneGuard, as well as ProConnect, an on-demand membership service for home repairs and maintenance, and Streem, a technology company that enables businesses to serve customers through an enhanced augmented reality, computer vision and machine learning platform. Frontdoor serves 2.2 million customers across the U.S. through a network of approximately 17,000 pre-qualified contractor firms that employ an estimated 60,000 technicians. The company’s customizable home service plans help customers protect and maintain their homes from costly and unexpected breakdowns of essential home systems and appliances. With 50 years of home services experience, the company responds to over four million service requests annually. For details, visit frontdoorhome.com. We are currently seeking a Projest Specialist - Contractor Relations.      Responsibilities        Responsibilities:    Plans, monitors and manages projects from initiation through completion.      Leads or coordinates project planning, progress reporting, and troubleshooting. Ensures project results meet requirements.      Prepares project plans to track progress and to ensure all steps are completed as scheduled.      Ensures project results meet requirements.      Monitors performance and recommends schedule changes, cost adjustments or resource additions.      Measures, reports, and communicates project progress and results.      Schedules meetings to complete project roll out to include training and documentation.      Maintains all paperwork required for the project.      Handles day to day issues.      May work with outside vendors for the purpose depending on project assignment.      Qualifications        Required Skills:    Knowledgeable of project/program management fundamentals, principles, and concepts      Analytical skills      Resource and client management skills      Ability to pay attention to details      Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists      Strong project management skills/event planning      Strong computer skills, including, but not limited to Microsoft Office.      Basic knowledge of HTML preferred      Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form.      Ability to write routine reports and correspondence.      Ability to speak effectively before groups of customers or employees of organization      Strong written and verbal communication skills      Need help finding the right job?      We can recommend jobs specifically for you!      Job Locations US-IA-Des Moines | US-AR-Little Rock | US-AL-Montgomery | US-IA-Carroll | US-GA-Atlanta | US-IL-Springfield | US-KS-Topeka | US-MS-Jackson | US-NE-Lincoln | US-TN-Nashville      ID 2022-2765      Category Customer Service/Support      Type Full Time      Company AHS American Home Shield Corp",16 days ago,2 reviews
https://www.indeed.com/viewjob?jk=e7996e8b0c48273a&from=web&vjs=3,20,100% Remote - Sr. Data Analytics Manager -Join a $40B Industry Leader!,Thermo Fisher Scientific,Iowa,"       Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of approximately $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them. Our global team of more than 100,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services, Patheon and PPD.         Position Summary:     The Senior Data Analytics Manager role will support the Analytical Instrument Group (AIG) to use Data Analytics to optimize pricing strategy and drive profitable growth. The role will report to AIG Pricing Director, working within AIG Pricing team to develop and improve pricing tools to empower business to make informed pricing choices. This is a highly visible role in which the talent can unlock significant business potential and facilitate the digital transformation within AIG.     Key Responsibilities:         Lead data analytics capability build and tool development across AIG pricing initiatives, responsible for building and implementing roadmap of sustained pricing analytics capabilities      Lead a team of Data Analysts accountable for delivering high quality and timely insights and models to empower key pricing decisions      Partner with divisions and AIG pricing teams to define and prioritize data needs and develop valuable and practical pricing tools that meet specific business needs      Build reports and dashboards to measure key business performance, including price impact, promotion effectiveness, share gain, customer acquisition/retention, win/loss, etc.      Lead User Acceptance Testing (UAT), user training, and continual enhancements of tools      Lead data collection, integration, transformation, and validation; build robust, efficient, and reliable data pipelines for various data analytics needs      Identify business problems and areas of opportunities and translate business needs into quantitative analyses that enable business to uncover patterns and insights      Collaborate with AIG Nucleus data team to deploy and improve data analytics models, growing data accessibility and quality, facilitating data-driven decision making      Collaborate with Corporate Data Science team to embrace sophisticated machine learning models and experiment data science within the organization        Minimum Requirements/Qualifications:         BS or MS Degree in business, engineering, math, statistics, computer science, or related      7+ years of work experience in data analytics, digital enablement, or related field; prior experience of building and leading teams is strongly preferred      Experience of building tools using data analytics and visualization tools (i.e., SQL, Python, R, Power BI, Tableau, or similar)      Strong problem solving, analytical, and troubleshooting skills      Strong communication skills; ability to articulate complex data models and business problems      Ability to work cross-functionally and effectively influence business partners      Ability to travel (~20%)        ",30+ days ago,"3,729 reviews"
https://www.indeed.com/viewjob?jk=5087cbd7f14b0504&from=web&vjs=3,20,Front Desk Associate,"Digital Diagnostics, Inc.","Coralville, IA","     Location – Coralville, IA      About Digital Diagnostics:         At Digital Diagnostics, we’re on a mission to transform the quality, accessibility, and affordability of global healthcare through the automation of medical diagnosis and treatment.         Our flagship product – IDx-DR – is an artificial intelligence algorithm where the computer, not the physician, performs the diagnosis. Built on a series of patented machine learning algorithms, our FDA-cleared software platform detects early signs of diabetic retinopathy, a debilitating eye disease that impacts 30+ million people with diabetes in the US.     We are using everything we’ve learned from IDx-DR to expand our AI platform across different therapeutic areas like skin cancer. To deliver on our mission, we need to expand our team of highly skilled and motivated team members to help us change healthcare for the better!      Who We Are:      Working for Digital Diagnostics offers you the opportunity to:             Work with world-renowned computer scientists and clinicians who are pushing the limits of artificial intelligence, computer vision, and machine learning in medicine.      Tackle complex challenges and projects with the highest levels of quality and execution for audiences that include top technologists, the FDA, and world-leading healthcare providers.      Push the accessibility and quality of healthcare to new heights to improve the lives of millions of people.      Contribute to a rapidly growing startup that lives by its mission to do “AI the Right Way”.        Who You Are:      Digital Diagnostics is looking for a part-time Front Desk Associate to provide additional support in our Coralville office. This position will be responsible for helping to triage phone calls to appropriate departments, sorting daily mail, managing incoming and outgoing shipments, and assisting with various administrative tasks and projects as necessary.         Our Front Desk Associate will:             Answer phones and direct incoming calls to the appropriate party      Provides administrative support in multiple areas including front desk operations, new hire packages, etc.      Receive mail and coordinate outgoing shipments      Monitor inventory and assemble toolkits      Provide assistance and support to team members across departments on a variety of administrative tasks      Assist with projects as needed        What We Are Looking For:          High school diploma or GED certificate preferred      Administrative or clerical experience a plus      Customer service, organizational, and time management skills      Computer proficiency         What We Believe:     At Digital Diagnostics, we’re doing “AI the right way” by building healthcare solutions that are safe, equitable, and accessible. We’re not only building a platform; we’re also building a community that emulates these values. We believe that inclusion and equity in healthcare start with a community of collaborators that celebrates human differences including race, ethnicity, gender, age, sexual orientation, human need, veteran status, political affiliation, and religion. We value what makes each person unique and create a place for everyone to thrive as we build towards shared goals. We’re committed to continuous learning and are striving to create a principled workplace while continuing to impact the world around us.      If this sounds like you, then apply to be our next Front Desk Associate!     Feeling over or underqualified but still think we’re cool? Have a specialty that doesn’t quite line up with this posting? We are recruiting at a number of levels for all sorts of specialties: Check out our career page at https://www.digitaldiagnostics.com/about/careers/current-openings/      This position can be located anywhere in the United States. We are not currently accepting applications for candidates located in countries outside of the U.S. Unfortunately, we are not able to sponsor an immigration case for employment at this time (for example, H-1B or other employment-based immigration cases).   ",2 days ago,
https://www.indeed.com/viewjob?jk=d4e16b9e61a18587&from=web&vjs=3,20,"Senior Associate, Federal Data Analyst",KPMG,"Des Moines, IA 50309","The KPMG Advisory practice is currently our fastest growing practice. We are seeing tremendous client demand, and looking forward we don't anticipate that slowing down. In this ever-changing market environment, our professionals must be adaptable and thrive in a collaborative, team-driven culture. At KPMG, our people are our number one priority. With a wealth of learning and career development opportunities, a world-class training facility and leading market tools, we make sure our people continue to grow both professionally and personally. If you're looking for a firm with a strong team connection where you can be your whole self, have an impact, advance your skills, deepen your experiences, and have the flexibility and access to constantly find new areas of inspiration and expand your capabilities, then consider a career in Advisory. KPMG is currently seeking a Senior Associate to join our Federal Advisory practice. Responsibilities: Assist leading delivery of client solutions using analytics, exploratory data analysis, data wrangling and ETL Derive insights from data using analytics and data wrangling tools (e.g. Python, R, Alteryx, SQL, SAS) Build and test machine learning models Gather analytic requirements from client and brief technical and non-technical audiences on analytic results Develop documentation and guides for analytics usage and maintenance Qualifications: A minimum of three years relevant work experience of data analysis experience; U.S. Federal government consulting experience preferred Bachelor's degree from an accredited college/university Experience with data wrangling tools such as Python, R, SAS, or other commonly used software Experience with communicating technical concepts with non-technical audiences Basic knowledge of data science and machine learning concepts and techniques U.S. citizenship required and an active U.S. Federal government Secret security clearance KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please. At KPMG, any partner or employee must be fully vaccinated or test negative for COVID-19 in order to go to any KPMG office, client site or KPMG event. In some circumstances, individuals who are not fully vaccinated may also be required to have a reasonable accommodation to not be fully vaccinated for COVID-19.",Just posted,"7,249 reviews"
https://www.indeed.com/viewjob?jk=fa834c9ba1a2c655&from=web&vjs=3,20,AI Psychometric Researcher,Pearson,"Des Moines, IA 50381","Pearson is seeking a research scientist versed in psychometrics to support its automated scoring business. This position will provide thought leadership and customer support for multiple types of assessments and testing programs. The position includes the opportunity to direct and conduct applied research in support of automated scoring.  General Responsibilities  Designs, applies, and maintains processes related to automated scoring  Advises customers on the implementation of automated scoring  Represents Pearson through conference presentations, technical papers, and other scholarly work  Aids in providing technical solutions and writing proposals to acquire business  Qualifications Education and Work Experience  Doctoral degree in educational measurement or a related field from a nationally recognized institution of higher education  At least five years of relevant job experience  Preference given to candidates with experience in automated scoring  Communication Skills, Technical Presentations, and Client Contact  Has strong communication skills (oral, written, and business) to function effectively in a leadership role with internal and external clients  Ability to tailor technical presentations to different audiences (e.g., client groups or technical advisory committees)  Familiarity with Psychometric Techniques and Software Development Processes  Ability to effectively apply and design solutions in psychometric techniques to new and unique operational testing settings.  Ability to consult across unique testing programs and situations  Practical experience working with software development teams  The anticipated starting salary range for Colorado-based individuals expressing interest in this position is $120-130k. This position is eligible to participate in an annual incentive program.  Benefits available to eligible employees can be seen at: https://pearsonbenefitsus.com/  Learning is the most powerful force for change in the world. More than 20,000 Pearson employees deliver our products and services in nearly 200 countries, all working towards a common purpose – to help everyone achieve their potential through learning. We do that by providing high quality, digital content and learning experiences, as well as assessments and qualifications that help people build their skills and grow with the world around them. We are the world’s leading learning company. Learn more at pearsonplc.com.  Pearson believes that wherever learning flourishes, so do people. We are committed to being an anti-racist company in everything we do. We value the power of an inclusive culture and a strong sense of belonging. We promote a culture where differences are embraced, opportunities are accessible, consideration and respect are the norm, and all individuals are supported in reaching their full potential. Through our talent, we believe that diversity, equity, and inclusion make us a more innovative and vibrant place to work. People are at the center, and we are committed to a sustainable environment and workplace where talent can learn, grow, and thrive.  To learn more about Pearson’s commitment to a diverse and inclusive workforce, please click here: http://www.pearson.com/careers/diversity-and-inclusion.html  Pearson is an Affirmative Action and Equal Opportunity Employer and a member of E-Verify. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be. All employment is decided based on qualifications, merit, and business need. All qualified applicants will receive consideration for employment without regard to race, ethnicity, color, religion, sex, sexual orientation, gender identity, gender expression, age, national origin, protected veteran status, disability status, or any other group protected by law.  Job:  RESEARCH AND DEVELOPMENT  Organization:  Assessment & Qualifications  Schedule:  FULL\_TIME  Req ID:  2382",30+ days ago,"2,762 reviews"
https://www.indeed.com/viewjob?jk=b2a34254fcc61c31&from=web&vjs=3,20,Data Mining Analyst - Remote (Anywhere US),Change Healthcare,Iowa,"Data Mining Analyst Overview of Position The HealthCare Senior Data Mining Analyst position is responsible for developing new and existing audit concepts, gaining client acceptance, and ensuring proper claims selection. The goal of the position is to generate high quality recoverable claims for the benefit of our clients. Conducts and documents complex audit projects independently. This is a senior skill level position. Considered a mentor, trainer, developer of less tenured Audit team members. What will be my duties and responsibilities in this job? Utilizes healthcare and auditing experience to perform audits that identify payment issues on medium to complex audit concepts. Leader in concept development. This includes identifying the concept, development of audit techniques, creating provider descriptions of audit findings, and interacting with client to obtain concept approval. Assists in development of new audit tools and processes. Fosters and implements new ideas, approaches, and technological improvements to support and enhance audit production, communication, and client satisfaction. Provides support for quality controls by performing reviews all level auditor claims prior to and after client submission. Prepares responses to client and provider disputes. Makes determinations based on advanced experience of client knowledge of contract terms. Assist in assessment of provider acceptance and likelihood of recovery. Performs contract modeling and testing in companies contract compliance application. Assist in the development of monthly financial targets and responsible for meeting those goals Assists in potential audit potential assessment for potential clients. Assists in development of internal and external reports and presentations. What are the requirements needed for this position?  5+ years audit experience with extensive knowledge of Commercial, Medicare and Medicaid payment policies What critical skills are needed for you to consider someone for this position? Healthcare billing and reimbursement methodology knowledge Knowledge of CPT and ICD-10 coding Familiarity with UB and HCFA claim forms and data Familiarity with Institutional and Professional EDI claim data Understanding of provider contracting and reimbursement methodologies Understanding of payer reimbursement and billing policies Knowledge of Medicare and/or Medicaid billing policies and regulations Proficiency in Microsoft Office suite Working knowledge of applicable industry-based standards Excellent verbal and written communication skills Ability to work well in an individual and team environment What other skills/experience would be helpful to have? Bachelor’s Degree preferred Prior healthcare billing and/or claims experience desired Ability to manipulate and analyze large data sets Knowledge of database software Client engagement experience preferred Presentation skills Healthcare coding certifications a plus What are the working conditions and physical requirements of this job? General office demands/Home office How much should I expect to travel? No travel #li-remote Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system! COVID Vaccination Requirements We remain committed to doing our part to ensure the health, safety, and well-being of our team members and our communities. As such, we require all employees to disclose COVID-19 vaccination status prior to beginning employment and we may require periodic testing for certain roles. In addition, some roles require full COVID-19 vaccination as an essential job function. Change Healthcare adheres to COVID-19 vaccination regulations as well as all client COVID-19 vaccination requirements and will obtain the necessary information from candidates prior to employment to ensure compliance. Equal Opportunity/Affirmative Action Statement  Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read  EEO is the Law  at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf. If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted. Click here https://www.dol.gov/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf to view our pay transparency nondiscrimination policy. California (US) Residents: By submitting an application to Change Healthcare for consideration of any employment opportunity, you acknowledge that you have read and understood Change Healthcare’s Privacy Notice to California Job Applicants Regarding the Collection of Personal Information. Change Healthcare maintains a drug free workplace and conducts pre-employment drug-testing, where applicable, in accordance with federal, state and local laws.",30+ days ago,"1,303 reviews"
