URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=39ec3143ff3007a1&from=web&vjs=3,20,Systems Support Engineer,Michigan City Area Schools,"Michigan City, IN 46360","     Education Required Level: Bachelor’s Degree, preferred     Reports to: Director of Information Technology and Media Service     General Description     The Systems Support Engineer (SSE) serves as a direct support for the Systems Engineer (SE). Together, the SSE and the SE manage all information technology servers, user access, file storage, print services, and all software related. The SSE will assist the SSE in server software updates, building level maintenance and support of all district personnel. The SSE will assist in monitoring all system activity to assure all systems are properly functioning and systems are available for MCAS faculty, students, and staff. The SSE will assist the SE in planning and the supervision of MCAS district technology projects. The SSE will stay current with technology and IT security trends. The SSE will assist in all data backups, retention of and security of all user data.     Education and Experience         Preferred Bachelor's Degree in a technology-related field or appropriate certification and experience.      Preferred 2 years of experience in the educational IT environment.      Ability to work closely with other Department of technology members, administration and staff in school buildings.      Displays vision and demonstration of leadership for the integration of technology into curricula, instruction, learning and administrative environments.      Displays evidence of successful project management involving deployment, construction, and contracts.      Able to lift 40 lbs.      Knowledge of or expertise on the following current systems:      Active Directory  OpenLdap  Windows Print Servers  Papercut and FOB Printing  ChromeBook Management  Google Docs, Sheets, etc  Google Apps Password Sync  Google Apps Directory Sync  Google Vault  Powershell  IIS and Apache  Video Editing  Video Hosting  Streaming Video  Print Drivers PPD  Database Queries  PrinterSync  Support for District Technicians  District Website Management  Open Source Solutions  Inventory Server  Postfix and Email Relays  VM Snapshots and Backups  DB Queries for PIVOT, ETC  Samba Password Syncing  PHP scripting and queries  Python programming  Linux/windows server maintenance  NTP  PXE Configuration  BackupPc Management  Linux File Servers  Windows File Servers  Windows WSUS  osTickets Management  FOG  Javascript  Batch and Bash  C#  OMD Monitoring  Nagios  BCFG2  SVN Subversion  RDS-SQL  MySQL  Postgres  OAPS  DNS Servers  DHCP Servers  Software Deployment  ISTEP, ECA  Pivot  Windows Images  Virtual Machines  Networking  Group Policies  RAID Configurations  RAID Expanding  Kiosk Deployment  etc.        Payment Type: Commensurate with degree and related experience        Benefits: Staff and Administrator Handbook            The Michigan City Area Schools does not discriminate on the basis of the Protected Classes of race, color, national origin, sex (including transgender status, sexual orientation and gender identity), disability, age, religion, military status, ancestry, or genetic information, which are classes protected by Federal and/or State law (collectively, ""Protected Classes""). This includes the Corporation's employment opportunities, programs, and/or activities, or, if initially occurring off Corporation grounds or outside the Corporation's employment opportunities, programs and activities, affecting the Corporation's environment. For further information, clarification, or complaint, please contact the MCAS School Administration, 408 S. Carroll Avenue, Michigan City, Indiana 46360 at  (219) 873-2000  for Title IX (gender equity related issues); or Special Education Director , 408 S. Carroll Avenue, Michigan City, Indiana 46360 at  (219) 873-2000  for Section 504 (non-discrimination/disability issues and Americans with Disabilities). Any other information concerning the above policies may be obtained by contacting the Superintendent, Dr. Barbara Eason-Watkins, 408 S. Carroll Ave., Michigan City, Indiana 46360 at  (219) 873-2000 .     ",30+ days ago,42 reviews
https://www.indeed.com/viewjob?jk=eff8dfc0ae72bf3e&from=web&vjs=3,20,Business Intelligence Engineer - 1st Shift,GXO Logistics,"Lebanon, IN 46052","Logistics at full potential. At GXO, we’re constantly looking for talented individuals at all levels who can deliver the caliber of service our company requires. You know that a positive work environment creates happy employees, which boosts productivity and dedication. On our team, you’ll have the support to excel at work and the resources to build a career you can be proud of. 1st Shift, Monday - Friday, 8:00am - 5:00pm At GXO, we believe that knowledge is power. As the Business Intelligence Engineer, you will drive our strategy for business intelligence (BI) solutions and reporting tools. You’ll be capturing and analyzing the data that ensures we stay at the top of our industry. On our team, you’ll have the support to excel and the resources to build a career you’ll be proud of. If you’re looking for an outstanding growth opportunity, you’ve found what you’re looking for with GXO.  Pay, benefits and more. We are eager to attract the best, so we offer competitive compensation and a generous benefits package, including full health insurance (medical, dental and vision), 401(k), life insurance, disability and more. What you’ll do on a typical day: Handle and execute the business analytics solution vision and feature definitions to ensure impact of developed solution, tool or application is achieved Gather and analyze business requirements and end user specifications for new products/functionalities and improve existing solutions Plan integration projects, priorities, risk mitigation, staffing, costs and impacts Schedule and coordinate pre-implementation meetings with representatives of customer, carriers and vendors Work with business partners to ensure all requirements are clearly documented to guarantee deliverables meets the objectives Coordinate development and testing with the business analytics, development and product teams Independently design, develop, document and deploy high quality dashboards, reports, analytical tools and other user-friendly functionalities What you need to succeed at GXO: At a minimum, you’ll need: Bachelor’s degree or equivalent related work or military experience 1 year of related work experience Knowledge in analyzing large, complex, multidimensional datasets with query languages (SQL) Understanding of best practices and principles in SQL, query design, data validation/automation and research functions Understanding of data warehouse concepts and using logical data models to document and explain business objectives Experience in dealing with structured and unstructured data, ETL design principles and best practices using various technologies and frameworks such as SSIS, SSRS, etc. It’d be great if you also have: Master’s degree in Mathematics, Engineering, Computer Science or related field 3 years of experience with reporting systems, creating applications, designing and implementing solutions, and developing applications/websites Up-to-date knowledge of BI tools (MicroStrategy, PowerBI, Tableau, etc.) Understanding of basic programming concepts and languages (Python, Java, Scala, HTML, C+, C#, etc.) Familiarity with adapting various API’s for customized applications Demonstrated proficiency for completing moderately complex projects and/or multiple assigned projects Understanding of SuccessFactors, Peoplesoft, Kronos, SAP Payroll systems, and visual reporting tools like Google Data Studio and Microsoft PowerBI Experience delivering business intelligence and data analytics solutions that involve statistical modeling or machine learning, the use of associated R/Python libraries and tooling, and which emphasize effective design and usability for end users Knowledge of statistical/mathematical software (R, SAS) We engineer faster, smarter, leaner supply chains.  GXO is a leading provider of cutting-edge supply chain solutions to the most successful companies in the world. We help our customers manage their goods most efficiently using our technology and services. Our greatest strength is our global team – energetic, innovative people of all experience levels and talents who make GXO a great place to work. We are proud to be an Equal Opportunity/Affirmative Action employer. Qualified applicants will receive consideration for employment without regard to race, sex, disability, veteran or other protected status. GXO adheres to CDC, OSHA and state and local requirements regarding COVID safety. All employees and visitors are expected to comply with GXO policies which are in place to safeguard our employees and customers. All applicants who receive a conditional offer of employment may be required to take and pass a pre-employment drug test. The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed. Review GXO's candidate privacy statement here.",30+ days ago,301 reviews
https://www.indeed.com/viewjob?jk=fa1b00eb56c45786&from=web&vjs=3,20,System Administrator,Resultant,"Indianapolis, IN 46240","    Company Description    We are a passionate team of 300+ engineers, mathematicians, data analysts, project managers, and business consultants. But more importantly, we are active listeners, deep thinkers, and courageous problem solvers.     The Resultant team purposefully comes together to produce a positive outcome. Our name symbolizes our commitment to empathy and collaboration—of not just delivering our clients with the best solutions, but to deeply listening to them, understanding their needs, and learning from each other in the process. The force of Resultant comes from the combined knowledge, passion, and innovation of our team and partners.     Together, we partner with clients in the public and private sectors to help them overcome their most complex challenges, empowering our clients to drive meaningful change in their organizations and communities. In everything you do, you’ll help your clients, colleagues, and communities thrive.     Resultant was founded as KSM Consulting in 2008.           Job Description    To help continue our rapid growth and solve our clients’ toughest problems, we need a Systems Administrator to join the team. This job is open to remote work anywhere in the U.S. If you love to solve problems and add value, please consider what your typical days might look like…         You will deliver assigned operational and project commitments to clients, utilizing the entire client team as necessary and as agreed with the Client Team Lead      You will provide amazing support to our clients, greatly exceeding their experience of what anyone else has ever done for them.      You will escalate customer support requirements as appropriate, communicating relevant information (such as criticality and timeliness), and confirming acceptance of the escalated issue.      You will manage the integrity and security of clients’ data, servers, devices, and software to support the database server, application servers, and storage systems of our clients’ businesses.      You will manage clients’ primary internal systems, from email to file sharing.      You will implement and maintain Remote Access Systems (VPN, RDS, Citrix, VMware)      You will manage and maintain phone systems as needed (Cisco, Avaya, VOIP, Digital)      You will manage security administration, ensuring all machines are protected and properly updated with Endpoint Security, Anti-Virus, Anti-Spam, Anti-Spyware, etc.      You will maintain domain policies, DNS, DHCP, and other integrated systems      You will keep client documentation up-to-date and accurate, including help desk tickets.      You will work collaboratively with teams of smart, thoughtful people to best meet the needs of our clients.              Qualifications    Some of the skills we are expecting are. . .         You should possess strong analytical skills and a demonstrated ability to troubleshoot problems.      You should possess excellent communication and customer service skills, both written and oral.      You should be able to explain just about anything technical to anyone, regardless of their background.      MCSA or equivalent certification.      You should be willing to participate in an on-call rotation and provide after-hours support as necessary.      You should be able to lift up to 50 lbs.      You should have 3-5 years of experience as a Desktop Support Specialist or Junior Systems Administrator.        Some of the technical skills we are expecting. . .         Servers: Active Directory, Domain, SSL Certificate, Backups, Antivirus      Network: Firewalls, Switches, Wireless, Voice, DHCP, TCP/IP, DNS, Routing      Computers: Computer replacement, printer installs      Applications and Products: Office 365, SharePoint      Service: CSAT Scores, SLA Ratings        Additional Information    What you should know about Resultant:         Rezzers are humble, hungry, and smart. We solve big problems, serve lots of clients, and are entirely committed to delivering transformative outcomes.      Rezzers are team players, deeply dedicated to the mission of the organization and to helping everyone around us be successful.      Resultant compensates well, rewarding performance that delivers positive outcomes for our clients and ensuring incentives are aligned to achieve our goals.      Resultant leaders work hard, serving as a shining example of what it means to be a great Rezzer. They are servant leaders, helping their team to be successful in all possible ways.      We have a great benefits package including unlimited vacation, significant 401k contributions, and several opportunities to develop yourself.      We pride ourselves in having the best talent in the industry and hope that you’re up for the challenge!        What our team members say about us…         “I love our true empathy and concern for our clients, it's very rare and appreciated. It is a pleasure to be a part of an organization like Resultant.”      “I learn something new every single day, and I feel like I'm a part of building an organization that has legs. I appreciate that I'm consistently humbled by the talent and caliber of our team.”      “The culture of the company is amazing, and the climate of my team is great. The benefits that employees are offered are better than competitors, and the one-on-one presence that my team lead gives is extremely beneficial to me.”        All qualified applicants will receive consideration for employment without regard to age, color, sex, disability, national origin, race, religion, or veteran status.     Equal Opportunity Employer   ",30+ days ago,
https://www.indeed.com/viewjob?jk=80ebea15bce1b82a&from=web&vjs=3,20,"Business Analyst, Defect Prevention & Reconciliation",Amazon.com Services LLC,Indiana,"     Bachelor's degree     2+ years experience in data analysis, report building, research or similar work     Experience with Excel, SQL and/or other relational databases           Job summary    Do you want to join an innovative team of engineers and analysts who use machine learning and analytic techniques to create state-of-the-art solutions for providing better value to Amazon's Sellers and Customers? Are you excited by the prospect of analyzing and modeling terabytes of data to solve real-world problems? Do you like to own end-to-end business problems/metrics and directly impact the profitability of the company? Do you like to innovate and simplify? If yes, then you may be a great fit to join the Business Intelligence and Analytics team for Global Supply Chain - Defect Prevention and Reconciliation (DP&R).         The Global Supply Chain - Defect Prevention and Reconciliation team is looking for a business analyst to analyze existing initiatives and operations, deep-dive/root cause issues as they come up, develop new business metrics, identify and quantify opportunities for improvement, and partner with internal stakeholders to help drive the business of Fulfillment by Amazon (FBA) Selling Partners.        Key job responsibilities:            Analyze and solve business problems at their root, stepping back to understand the broader context.      Develop solutions that utilize the highest standards of analytical rigor and data integrity.      Write high quality code to retrieve and analyze data.      Seek opportunities to implement advanced analytical techniques within the current environment.      Partner with product/program managers, software development teams, and other stakeholders to drive development of metrics and analyses necessary for evaluation and implementation of new strategies.      Manage and execute entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling, problem solving, and communication of insights and recommendations.                   Masters Degree in Engineering, Statistics, Mathematics, Computer Science, or related field      Experience with query optimization Knowledge of Amazon Web Services (AWS) Infrastructure including S3, Redshift, and Relational Database Service (RDS)      Experience looking at solutions in unconventional ways and seeing opportunities to innovate and lead      Excellent verbal and written communication skills        Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  ",28 days ago,"81,496 reviews"
https://www.indeed.com/viewjob?jk=08a1622cdd39714e&from=web&vjs=3,20,Research Software Developer (Research Software Engineer - Machine Learning),Indiana University,"Bloomington, IN","              Department                                         INTELLIGENT SYSTEMS ENGINEERIN (BL-ISRS-IUBLA)                                 Department Information                                         Indiana University's Cyberinfrastructure for Network Science Center (CNS) is looking for a full-time software developer to design, develop, test, and configure software systems and machine learning systems. Your contributions will directly impact the advancement of visualizations, datasets, tools, and services in the study of scholarly, social, biomedical, and other networks. You will be engaged in scholarly research and development (R&D) related to computer vision and machine learning for CNS operations. Indiana University is an equal employment and affirmative action employer. Bloomington is a college town well known for its great work-life balance.                                Job Summary                                   Provides analysis and programming related to the design, development, and support of research systems.          Develops and implements well-engineered software that supports and enriches research productivity and reliability.          Operates, monitors, and maintains the integrity of a broad scope of CI systems (storage, cluster computing, databases, virtual machines, network).          Consults with researchers in the use of a broad set of state-of-the-art research systems, tools, and software to enable research productivity; partners with researchers to co-create and co-learn relevant computing and data capabilities.          Connects and facilitates interactions between researchers and technology providers; provides regular communications to the systems and software/data professionals.          Engages and advises a broad set of researchers through support requests (i.e. email, ticketing systems, chats); follows best-practices for documentation, processes, and procedures to remediate support requests.          Supports researchers and other key IT (e.g. network and security) and Data Center partners.          Works on grant funded projects with a diverse set of stakeholders including CI professionals and faculty members.                                       Qualifications                                         EDUCATION         Required                 Bachelor's degree (preferably in computer science or a related field.)                WORK EXPERIENCE         Required                 Some experience in systems programming / analysis.                Combinations of related education and experience may be considered.         SKILLS                 Proficient communication skills.          Maintains a high degree of professionalism.          Demonstrated time management and priority setting skills.          Demonstrates a high commitment to quality.          Possesses flexibility to work in a fast paced, dynamic environment.          Seeks to acquire knowledge in area of specialty.                                       Working Conditions / Demands                                         This position requires the ability to communicate effectively and to operate computers and other related technical equipment. The role is required to maintain and interact with computers and frequently move objects weighing up to 50 pounds. The person in this role must be able to perform the essential functions with or without an accommodation.                                 Work Location                                         Bloomington, Indiana                                 Job Classification                                         Career Level: Core         FLSA: Exempt         Job Function: Information Technology         Job Family: Software/App Design, Dev & Eng         Click here to learn more about Indiana University's Job Framework.                                 Posting Disclaimer                                         Due to the COVID-19 pandemic, there may be differences in the working conditions as advertised in our standard job postings (e.g., the ability to travel from one campus to another, etc.). If you are invited for an interview, please discuss your questions or concerns regarding the working conditions at that time.         This posting is scheduled to close at 11:59 pm EST on the advertised Close Date. This posting may be closed at any time at the discretion of the University, but will remain open for a minimum of 5 business days. To guarantee full consideration, please submit your application within 5 business days of the Posted Date.         If you wish to include a cover letter, you may include it with your resume when uploading attachments.         Beginning with the fall 2021 semester, all Indiana University students, faculty, and staff will be required to be fully vaccinated for COVID-19 as a condition of enrollment / employment.   To learn more about this requirement, view our   COVID-19 vaccine information page .                                 Equal Employment Opportunity                                         Indiana University is an equal employment and affirmative action employer and a provider of ADA services. All qualified applicants will receive consideration for employment without regard to age, ethnicity, color, race, religion, sex, sexual orientation, gender identity or expression, genetic information, marital status, national origin, disability status or protected veteran status. Indiana University does not discriminate on the basis of sex in its educational programs and activities, including employment and admission, as required by Title IX. Questions or complaints regarding Title IX may be referred to the U.S. Department of Education Office for Civil Rights or the university Title IX Coordinator. See Indiana University’s Notice of Non-Discrimination here which includes contact information.                                 Campus Safety and Security                                         The Annual Security and Fire Safety Report, containing policy statements, crime and fire statistics for all Indiana University campuses, is available online. You may also request a physical copy by emailing IU Public Safety at iups@iu.edu or by visiting IUPD.                                 Contact Us                                         Request Support  Telephone:  812-856-1234                     ",30+ days ago,"1,225 reviews"
https://www.indeed.com/viewjob?jk=5f2fecd600cb7e95&from=web&vjs=3,20,Project Leader Artificial Intelligence,Equinor ASA,"Norway, IN","Project Leader Artificial Intelligence  Overview  Job ID:  21133 Country:  Norway Location(s):  Hammerfest Company:  Equinor ASA Contact Name:  gm_equinoremea@equinor.com Workplace:  Onshore Discipline:  Information Technology Education Preferred:  Bachelor or Master's degree Experience Preferred:  7 - 10 Years Closing Date:  Apr 29 2022  Job Description  We're 20,000 colleagues in more than 30 countries delivering oil, gas, wind and solar power to 170 million people worldwide. Taking on tough energy challenges is our job. Right now, we're facing an enormous task: supplying the world with the energy it needs, while lowering emissions. We're up for the challenge. Are you?  The position By joining our team in Marketing, Midstream & Processing you will have the opportunity to:  Lead the work of utilizing artificial intelligence (AI) at Hammerfest LNG to solve tasks that currently require people. This includes the use of technology / computer systems for artificial vision, speech recognition, machine learning and robotics Manage assigned projects, including budget follow-up Improve security through a more self-directed intelligent facility and offer cognitive support to people Reduce maintenance costs by reducing the wear on equipment and systems You will be an integral part of the leadership team and will contribute outside your own responsibility when required Sector for Technical and Plant Optimization (TPO) at Hammerfest LNG is a function-based delivery unit with task responsibility for technical integrity, preventive maintenance program, operation and maintenance support, LCI, as well as technical discipline support for modification and investment projects.  The unit is matrix organized where you are employed in discipline departments and deliver on assignments both within and outside your own sector. Over time, this gives our employees more opportunities to work with a wide range of work tasks and at the same time develop and specialize in their own subject area. Position as project manager for artificial intelligence is part of the sector's management team consisting of 4 managers with resource responsibility and 3 pure task managers with responsibility for organizing, assigning and following up assigned tasks. Each team member in the management team has flexibility and control over assigned tasks and at the same time takes an active and collective ownership so that the sector as a whole delivers on all its tasks.  You Some qualities are essential for Equinor. You identify with our values, open, collaborative, courageous and caring, which guide our decisions and help us succeed and grow. You make safety your priority and contribute to our zero-harm culture. For this position, we are also looking for:  Bachelor's or Master's degree in Automation, Informatics / computer science, Robotics or similar Relevant experience within Artificial Intelligence and have previously led projects Advanced English Language written and spoken Shape the future by setting a clear direction, looking beyond the known and looking for opportunities to improve our business and pursue them Provides responsibility by trusting and supporting, developing and learning together, creates energy through inclusion Delivers results through being a role model in safety and compliance, commercial decisions and achieving sustainable results The position is located in Hammerfest, and in accordance with company policy we offer relocation allowances and temporary housing arrangements.  General information Please attach copies of your diplomas, certificates and grades in English or a Scandinavian language. Applications submitted without necessary attachments will unfortunately not be evaluated. If you are in the process of completing a degree, please upload an official temporary transcript or other document describing subjects and grades completed to this point. Candidates are expected to openly offer all relevant information about themselves during the recruitment process. All permanent and temporary hires will be screened against relevant sanctions lists to ensure compliance with sanctions law.  Why join us?  At Equinor, we care about each other as much as our business. That's why we offer: Not just a job; a career.  In Equinor, your development begins on day one. You will build your competence through a wide range of learning activities while being empowered to build your career across multiple disciplines and geographies. Our internal job market allows endless opportunities for development and growth within your own field or in other interesting and relevant areas for you. Attractive rewards.  We offer a comprehensive benefits package with competitive salaries, global parental leave, variable pay schemes and a share savings plan. Wellness and work-life balance.  Our employees' well-being is a priority. We recognise that for you to be the best version of yourself in the workplace, being able to collect your children, attend a class or simply enjoy social time can be invaluable. That's why we encourage you to make use of our flexible work arrangements. An inclusive culture.  We believe embracing our differences makes us stronger. For us true inclusion means being able to bring your whole self to work, and for everyone to feel accepted and valued. For more information visit Equinor's website:  https://www.equinor.com/",22 days ago,284 reviews
https://www.indeed.com/viewjob?jk=1b515cae74da2ec2&from=web&vjs=3,20,Software Engineer,auticon,"Columbus, IN","                                                                   auticon is hiring! If you have an autism diagnosis and are looking for a career in tech we want to hear from you. We are hiring Software Engineers – from junior  (minimum 1-year professional experience, see skills section for specifics)  to senior-level professionals – to come join us at auticon. We realize that getting and keeping a job can be challenging, so we’re on your side. We provide a professional auticon Job Coach and an accommodating work environment to help you succeed. We offer competitive pay, benefits, and career growth.              If you are a senior developer, this can be an opportunity to mentor others and be part of their growth.              The job duties and main responsibilities for this role are below, but you do not have to meet all of them to apply!              Job duties and responsibilities may include?                          Provide technical solutions and support for our clients              Develop high-quality software design and architecture              Coding and debugging in different languages and technical environments              Identifying, prioritizing, and executing tasks in the software development life cycle              Develop tools and applications by producing clean, efficient code              Automate tasks through appropriate tools and scripting              Review and debug code              Perform unit and exploratory testing              Collaborate with teams to improve products              Document development phases and monitor systems              Ensure software is up to date with latest technologies              Help outline and scope engagements              Help interface and facilitate collaboration with the client’s team, in collaboration with and alignment with Job Coach and their responsibilities              In collaboration with the technical lead, develop strong client relationships and periodically check-in with previous and current clients to explore new opportunities to deliver value              Coach less experienced software engineers on your auticon team              Work alongside your dedicated Job Coach and Tech Lead for support              Learn, understand, and implement existing auticon procedures related to your role              Ensure auticon has the processes, tools, and infrastructure to be an effective, scalable company, working alongside your colleagues to do so and with sign-off from your manager              Be part of continuous and dedicated improvement of our procedures in collaboration and with agreement from other colleagues, with sign-off from your manager                         Required Skills and qualifications                          1+ year relevant work experience (Work experience does not have to be consecutive)                            This includes: Paid and unpaid work, full-time/part-time work, freelance professional work (paid or unpaid, client or family/friend), internships.                Does not include: College courses, personal projects (unless personal projects were at a significant scale)                           Programming experience in multiple languages with proficiency at least one of the following – SQL, Javascript, Angular, Typescript, Python, Java              Desire to work in a team              Authorized to work in the United States                         Bonus Skills and qualifications:                         Experience contributing significantly to the architecture and design of new and existing systems              Reporting, documentation, analytical, and problem-solving skills              Experience with the Salesforce Ecosystem              Experience with Machine Learning/AI                         auticon does not provide sponsorship for this opening. Candidates must now and in the future be legally eligible to work in the US for any employer.                               Apply now            Please send an email to with your resume attached, briefly stating whether or not you have an autism spectrum diagnosis and what your expertise is.            auticon provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.                                    ",30+ days ago,
https://www.indeed.com/viewjob?jk=a2dccbed1daf635c&from=web&vjs=3,20,Vice President-Chief Digital Officer,System Services,"Indianapolis, IN 46204","Overview   **Please do not apply through IU Health. Please apply directly through this link:  www.VPCDO/IUHealth **    Indiana University Health (IU Health) seeks a dynamic and innovative technology leader to serve as the inaugural Vice President, Chief Digital Officer (CDO). This is a unique opportunity to lead the digital transformation efforts at a financially strong and progressive health system. IU Health is the largest health system in Indiana and among the largest single state nonprofit health systems in the United States and dedicated to the health and well-being of Hoosiers. Reporting to the Senior Vice President & Chief Information Officer (CIO), the CDO will be a collaborative member of the Informatics and Information Services (IIS) senior leadership team. This leader will oversee digital innovation, informatics and analytics and will be the potential successor to the CIO. The CDO will join a health system that is committed to digital transformation. This position will lead in building digital initiatives that support clinical, administrative and business objectives focused on consumer engagement, patient experience and internal operational efficiencies. The CDO will work closely with senior leadership, clinical and administrative subject matter experts, and medical staff members to identify new ways to exceed expectations of the communities IU Health serves through digital innovations. The CDO will fully evaluate the existing environment and will lead the development of an integrated digital strategy to support the technology needs of the organization today while moving the health system towards consumer-driven digital solutions. They will leverage emerging technologies, such as machine learning, artificial intelligence and robotic process automation solutions to improve the user experience among patients, providers, facilities and the community. The CDO will align the digital roadmap with the broader enterprise strategy, mission and values of IU Health. The CDO must be an innovative, values driven leader with an ability to develop and deliver on a vision for digital transformation while having a strong understanding of the unique needs of the healthcare industry. This leader will have deep knowledge and a proven track record of successfully implementing digital technology that improves the user experience in healthcare or other industries. They will be a transparent professional with high emotional intelligence and an ability to develop strong trusting relationships. The ideal candidate will possess a track record of strong, executive level leadership within a large and complex organization that has recently undergone a period of significant growth and expansion. The candidate will have the ability to establish a tone of executive leadership which is patient centered and will foster a culture of quality and service. The incoming CDO must possess a highly inquisitive and creative mind and the ability to champion digital initiatives and lead transformational change in a highly matrixed and relationship-driven culture.  A Master's Degree is required. Must have at least 8 years of leadership experience in successful development and execution of large scale Information Systems strategic plans with innovative digital health technologies. Requires strong working knowledge and a proven track record of migrating traditional processes and systems to mobile, digital centric automated solutions. Must be a progressive, visionary leader with significant experience in large scale transformative culture change, digital innovation and resulting initiatives with positive operational outcomes. Requires superior oral and written communication skills, including the ability to listen effectively as well as teach, inspire and promote ideas and concepts, in a practical manner, to various constituencies, internal and external to the organization. Requires strong analytical and quantitative skills, including solid financial management, and the ability to use data effectively for benchmarking and operational decision-making. Requires the ability to effectively develop and manage external partnerships. Must be able to develop strong collaborative relationships with leaders, staff, mid-level providers, and physicians towards common goals of culturally responsive patient care and community service. Requires strong presentation skills for one-on-one executive briefings and large audience settings, both internal and external to the organization. Requires strong analytical and quantitative skills, including solid financial management, and the ability to use data effectively for benchmarking, operational decision-making and improving processes.  **Please apply directly through this link:  www.VPCDO/IUHealth **",30+ days ago,"1,881 reviews"
https://www.indeed.com/viewjob?jk=41ffbf99b728d3e8&from=web&vjs=3,20,Global director for process industry production and operational data management solutions,Pöyry,"Central, IN","Facebook Linkedin Twitter Qualifications  Do you have passion to change the industry and want to join our team to drive production and operational data management solutions across global process industry players? Have you been working with the process industry over a longer period of time and have experience in successfully control and data management system solutions? Are you also familiar with the DSC, MES, ERP systems, partners and applications that can be used to drive the process industry? If you answered yes to all these questions then you may be the person we are looking for to accelerate development of our, business and services across our global AFRY Process Industries Division organization. We are seeking an experienced expert, respected by the process industry players, to drive industry and our concepts, services and applications to the next level while also developing our global capabilities to deliver these services to our clients. The person we are looking for has the vision to transform industries and capability to convey that to the customers as well as to our own organisation. Experience from process industry in mining, pulp and paper, chemicals segment are preferred, but areas like power to X, battery are of growing interest. The successful candidate must fulfil at least the following requirements: Master of science technology degree Several years of experience in working with process industry sector and deep and wide focus on automation and process data management solutions like APC, SPC and artificial intelligence and machine learning Experience in new technologies in industrial process control and data management Track record of new business development including development of business concept, sales approach and value proposition Management experience of professional service sales Strong project management experience from large and complex projects Work experience in global context with multicultural teams spread across different time zones, but also experience in working with partners in the field of industrial automation Fluency in English language, other languages are an advantage  Company Description  AFRY Process Industries division supports global process industries in Pulp & Paper, Chemicals, Biobased solutions and biorefining, Mining & Metals, Food & Beverage and more. Our global presence makes us the ideal partner when global state-of-the-art process technology knowhow combined with local presence is required. Our service offering covers the whole lifecycle and value chain of clients’ business. We serve our clients from early strategic development phases to big CAPEX implementation projects and to operational support. The unique combination of process technology competences and multidisciplinary engineering expertise enables us to provide real value add to our clients in all kinds of studies, implementation projects as well as for daily operations of an industrial plant. Data management of production and operations, Environmental, Health and Safety and other consulting assignments are conducted in close co-operation with process technology specialists to enable the big picture and understanding of correlations with processes. We provide you with opportunities to deepen your expertise in a stable company where new idea creation is encouraged and innovations are taken forward. Our work is demanding, but it is accompanied by freedom – freedom to develop and learn, and to combine professional and private life into a fulfilling match. We at AFRY want to build a better future and find the best solutions, serving our clients but also the wider society. We are a modern employer strongly driven by our values based on long-term sustainability. Read more about AFRY and what our employees tell about their work https://afry.com/en/join-us/get-know-us  Additional Information  This position will be based in suitable location in Northern or Central Europe. If you fulfil the above qualifications please submit your English language CV demonstrating the relevant experience by no later than April 30 2022. For questions please contact AFRY Process Industry Division COO Kai Vikman kai.vikman@afry.com AFRY is committed to creating an inclusive & diverse environment and we are actively looking for qualified candidates irrespective of gender, gender identity, sexual orientation, ethnicity, religion, disability, or age. You will be part of a global and diverse company where our differences are our strengths. Join us to accelerate the transition towards a sustainable society.",30+ days ago,
