URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=5a0ca2f1cd96640a&from=web&vjs=3,10,SQL Server & .NET Developer,Capgemini,"Hopkinsville, KY","     Role Duration: 12+ months        Requires Skills and Experience:         Experience in SQL Development      Experience in production support processes.      Working knowledge of Structured Query Language (SQL) - Transact - SQL      Knowledge in SSIS and SSRS are preferred      Troubleshoot the application to identify root causes of issues      Collaborate with development teams for escalations and meet SLA to resolve tickets      Working knowledge of triaging tickets, working on tickets, and monitoring alerts      Willing to work during Production environment maintenance hours outside of normal business hours      Resource should be good in SQL Server - write ad-hoc queries, stored procedures, experience in performance optimization      Essential to have the knowledge of .Net Framework      Have experience in C#, ASP.Net, OO Programming      Good communication skills (verbal and written)      Problem solving and analytical skills      Fast learner to learn the business           The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job.        A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion.   ",30+ days ago,"8,631 reviews"
https://www.indeed.com/viewjob?jk=113f4970cb48ef9c&from=web&vjs=3,10,Senior Data Scientist,Humana,"Louisville, KY 40202","       Responsibilities        Humana Pharmacy Solutions is looking for a Senior Data Scientist to join our Data Science and Research team! This role supports Humana’s in-house pharmacy benefit manager and mail-order pharmacy segments by creating predictive models that use machine learning and AI to solve some of our trickiest business problems. You will do well here if you:         Are able to exercise independent judgement.  We believe leaving space for creativity can spark great ideas, so you can expect an environment where you have latitude to determine your own objectives, and considerable ambiguity in how best to approach the problem.      Enjoy a collaborative, scientific approach.   We are firm believers in the scientific process and in collaboration both with our team and others. We work independently, but also come together on a regular basis to test our ideas and gain feedback.      Appreciate the simple things.  We build stuff that’s on the cutting edge of AI. But we’ve also found that a lot of business problems can become quick wins with very simple techniques. Do you know when to go big and when to exercise restraint?      Are a continual learner .   Data Science is ever evolving and requires continual education in new methods and strong foundational understanding of how models work. We are looking for individuals who love learning new things and love sharing what they learn with others.      Are humble and consultative when working with internal business partners.  We are looking for individuals willing to learn the business in order to make the best and most applicable models.           We work with all kinds of data (both structured and unstructured), on local workstations as well as modern MLOps platforms like Databricks and Azure DevOps, using tools like PySpark, Scikit-learn, and Spark MLlib. The work we do can influence strategic-level decision-making, so we are strong believers in communicating complicated things in simple ways, presenting what we discover back to the business, and measuring the business value of the models we build. Our team has demonstrated success in building models that generate measurable value to the business. If you are looking to do good data science with real impact, then this is the role for you!         Required Qualifications         Bachelor's Degree in a quantitative field (including engineering, physical sciences, or social sciences) and 5 years of applicable experience OR Master's Degree in a quantitative field and 3 or more years of experience      Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions      Experience successfully building machine learning or AI applications in a business setting      Experience in working with assignments that involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors      Experience in creating reports, projections, models, and presentations to support business strategy and tactics      Ability to make decisions on moderately complex to complex issues regarding technical approach for project components      Must be passionate about contributing to an organization focused on continuously improving consumer experiences      3+ years coding experience in Python.           Preferred Qualifications            Master's Degree in a quantitative field (including engineering, physical sciences, social sciences, or other field with an analytic focus)      PhDin a quantitative field (including engineering, physical sciences, social sciences, or other field with an analytic focus)      Experience with SAS      Experience with PySpark and Databricks      Experience working in Azure Cloud Environments      Experience working on the full model development lifecycle from ideation through production and evaluation           #LI-ER1        Scheduled Weekly Hours     40  ",4 days ago,"7,161 reviews"
https://www.indeed.com/viewjob?jk=d0f3f4ca1ac3d6e5&from=web&vjs=3,10,"Senior Machine Learning Infra/OPS Engineer - Opportunity for Working Remotely Louisville, KY",VMware,"Louisville, KY","     The Security Analytics Engineering group is looking to hire a Sr. Data Scientist to help lead the development of cutting-edge machine learning models to better protect our users from malicious actors and improve our customer product experience. We are looking for a hands-on engineering leader with deep data science and software engineering expertise who can help architect and own the platform for deploying and tuning the machine learning models used to protect user authentication and security.        The teams focuses on using analytics, machine learning, and threat research on petabyte-scale data to deliver security value to millions of business users across thousands of businesses. The product portfolio is a part of the rapidly growing Carbon Black Cloud platform that delivers next-generation endpoint protection capabilities from the cloud. Now with the full resources of VMware, you have the opportunity to make an impact and build upon Carbon Black’s success.        Responsibilities         Design and develop core components, infrastructure, and architecture of a machine learning platform for VMware CB SBU to create, train and deploy ML models      Automate the day to day operational support for model training and model serving pipelinesCreate monitoring solutions that allow effective system accuracy, performance and enable troubleshooting of production ML models.      Identify gaps and evaluate relevant tools and technologies as needed to improve processes and systems, leveraging open-source and cloud computing technologies to build effective solutions.      Collaborate with data scientists, data engineers, product teams, and other key stakeholders and drive ML platform projects from conception to completion and production monitoring.           Skills         6+ years strong experience in large scale distributed systems, Data Engineering, MLOps, Machine Learning and Data Science areas      Experience developing data pipelines and orchestrating the deployment of ML models for production ready systems .      Must have working experience to MLOps tools such as KubeFlow, MLFlow, Metaflow, or Sagemaker      Infrastructure as code - Terraform experience      You can use AWS service and have a solid understanding of VPC, ALB/ELB, EC2, Route53, Kinesis, IAM, and other AWS concepts.      Strong understanding of containerization (Docker) and container-orchestration systems like Kubernetes; experience with data workflow managers such as Airflow is a plus      Experience with stream processing technology Kafka, Spark, Samza, Flink, etc.           Bonus Skills         Working proficiency in SQL. Experience with big-data processing engines (Hive, Tez, Spark, Presto, Athena) is a plus.      Familiarity with machine learning frameworks (like Keras or Tensor           This position is eligible for CarbonBlackUSA referral campaign        Category :  Engineering and Technology   Subcategory:  Software Engineering   Experience:  Manager and Professional   Full Time/ Part Time:  Full Time   Posted Date:  2022-04-01     VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.        Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.  ",30+ days ago,935 reviews
https://www.indeed.com/viewjob?jk=590601663014ce9b&from=web&vjs=3,10,Biomedical Data Scientist,University of Kentucky,"Lexington, KY","        Posting Details                                Job Title                    Biomedical Data Scientist                                    Requisition Number                    RE33689                                    Working Title                                          Department Name                    40113:Opioid Abuse Research Strategic Invstmnt                                    Work Location                    Lexington, KY                                    Grade Level                    47                                    Salary Range                    $56,035-92,435/year                                    Type of Position                    Staff                                    Position Time Status                    Full-Time                                    Required Education              MS                                     Click here for more information about equivalencies:                    http://www.uky.edu/hr/employment/working-uk/equivalencies                                    Required Related Experience              1 yr                                     Required License/Registration/Certification                    None                                    Physical Requirements                    The essential job functions of this position require: communicating effectively; building positive working relationships with individuals from diverse backgrounds; abiding by University, state, and federal guidelines; maintaining confidentiality; prioritizing and managing work effectively; ensuring work is detailed, accurate, and completed in a timely manner; performing work in a sedentary position; reporting to meetings at different locations both on campus and off campus; interacting with individuals from various levels throughout the university; and working successfully with a team, as well as independently.                                    Shift                    Monday – Friday 8:00 a.m. – 5:00 p.m. Additional hours when needed to meet department needs                                    Job Summary                    This position will perform explanatory data analyses, generate and test working hypotheses, prepare and analyze historical data, identify patterns and correlations among various data points and discover new insights. Work collaboratively with teams of faculty and health care providers to draw insight and intelligence from large datasets, electronic medical records and various healthcare registry datasets. Identify and develop solutions to key strategic business problems using high-level modeling and statistical analyses. Utilize SQL to perform advanced-level data extraction, transformation and data management; fully document and manage library of source code and algorithms for future use techniques. Use data mining, statistics, statistical modeling and machine learning to understand relationships and patterns in data. Responsible for developing tools to enable visualization to translate analytics into information that can be used by clinical and operational leadership.                The University of Kentucky considers the health, safety and well-being of our entire community to be a top priority. In alignment with this priority, all new hires must provide proof of COVID-19 vaccination or obtain an approved medical or religious exemption as a condition of employment. For areas that fall under the federal CMS mandate, start of employment cannot occur until two weeks after receiving the full COVID-19 vaccination series or upon obtaining an approved exemption. Only vaccines approved by the World Health Organization can be accepted.                                    Skills / Knowledge / Abilities                    Statistical programming, database management, data science, working with biomedical data                                    Does this position have supervisory responsibilities?                    Yes                                    Preferred Education/Experience                    PhD, Statistical programming, database management, data science, working with biomedical data                                    Deadline to Apply                    05/11/2022                                    University Community of Inclusion                    The University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.                As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.                Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen.                    ",4 days ago,767 reviews
https://www.indeed.com/viewjob?jk=49738b656eb089e6&from=web&vjs=3,10,Data Scientist,Schneider Electric,"Louisville, KY","Job Description: Schneider Electric is looking for a passionate, talented, and inventive Applied Data Scientist with a strong machine learning and data science background to help build industry-leading machine learning tools in the energy and sustainability management industry. As a member of the Sustainability Business team, you will collaborate with technology and business teams to build new services and help our existing teams be more productive. You will be working with terabytes of structured and unstructured data to solve real-world problems. You will design and run experiments, research new algorithms, and find new ways of optimizing risk, profitability, and customer experience. What will you do? Design and develop optimization techniques and tools to identify trends in complex, large, structured, and unstructured data sets. Design and develop simulation tools for training and testing ML, deep learning, and AI models. Collaborate with other business team resources to identify, develop, test, and new ideas. Apply knowledge of technology with knowledge of contemporary business models to synthesize potential opportunities. Work with cutting-edge technologies in ML subfields such as Natural Language Processing (NLP) and Reinforcement Learning (RL) What qualifications will make you successful?  Degree in computer science, mathematics, physics, engineering, ML/AI, or equivalent. A strong understanding of AI and ML development, experience with MLOps. – Machine Learning Operations A “can-do” attitude and the ability to work both independently and within a small group. Experience with optimization strategies, network design, training, testing, performance analysis and evaluation methodologies. Experience with both cloud computing (AWS, Azure, etc.) and edge computing in the context of ML and AI and P2P networks. Programming expertise in languages such as Python, SQL, C++, R, etc. Experience with Natural Language Processing, Deep Learning, Transfer Learning, etc. Experience building customer recommendations and analysis of web traffic data. Analytical self-starter with strong attention to detail and desire to learn new things. Strong organizational and problem-solving skills with the ability to work on multiple complex projects in diverse areas, versatile and capable within multiple disciplines. (External) English Qualifications:  (External) English Company Boiler Plate: Why us? Schneider Electric is leading the digital transformation of energy management and automation. Our technologies enable the world to use energy in a safe, efficient and sustainable manner. We strive to promote a global economy that is both ecologically viable and highly productive. €25.7bn global revenue 137 000+ employees in 100+ countries 45% of revenue from IoT 5% of revenue devoted for R&D You must submit an online application to be considered for any position with us. This position will be posted until filled It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct. Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such.",5 days ago,"3,867 reviews"
https://www.indeed.com/viewjob?jk=aef86d15fafcb4db&from=web&vjs=3,10,Data Scientist 2 (Remote),Humana,"Louisville, KY 40202","      The Data Scientist 2 uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Data Scientist 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action.       Responsibilities        The Data Scientist 2 develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Builds models, creates reports, and presentations to support business strategy and tactics. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Exercises considerable latitude in determining objectives and approaches to assignments, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures.         Required Qualifications         Bachelor's Degree and 4 years of applicable experience OR Master's Degree and 1 or more years of experience      Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions      Experience working with and analyzing various types of data using Python, R or similar software      Experience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reporting      Experience in creating reports, projections, models, and presentations to support business      Clear and concise oral and written communication skills, with a proven ability to translate complex methodologies and analytical results to higher-level business insights and key takeaways      Must be passionate about contributing to an organization focused on continuously improving consumer experiences           Preferred Qualifications         Master's Degree      Experience in Big Data environment, Microsoft Azure      Experience using machine learning techniques such as neural networks, random forest, etc.      Experience in a health care and/or Insurance setting           Additional Information     Humana and its subsidiaries require vaccinated associates who work outside of their home to submit proof of vaccination, including COVID-19 boosters. Associates who remain unvaccinated must either undergo weekly negative COVID testing OR wear a mask at all times while in a Humana facility or while working in the field.        #DHA #LI-Remote        Scheduled Weekly Hours     40  ",30+ days ago,"7,161 reviews"
https://www.indeed.com/viewjob?jk=7e8f73949310c724&from=web&vjs=3,10,"Senior Associate, Federal Data Analyst",KPMG,"Louisville, KY 40202","The KPMG Advisory practice is currently our fastest growing practice. We are seeing tremendous client demand, and looking forward we don't anticipate that slowing down. In this ever-changing market environment, our professionals must be adaptable and thrive in a collaborative, team-driven culture. At KPMG, our people are our number one priority. With a wealth of learning and career development opportunities, a world-class training facility and leading market tools, we make sure our people continue to grow both professionally and personally. If you're looking for a firm with a strong team connection where you can be your whole self, have an impact, advance your skills, deepen your experiences, and have the flexibility and access to constantly find new areas of inspiration and expand your capabilities, then consider a career in Advisory. KPMG is currently seeking a Senior Associate to join our Federal Advisory practice. Responsibilities: Assist leading delivery of client solutions using analytics, exploratory data analysis, data wrangling and ETL Derive insights from data using analytics and data wrangling tools (e.g. Python, R, Alteryx, SQL, SAS) Build and test machine learning models Gather analytic requirements from client and brief technical and non-technical audiences on analytic results Develop documentation and guides for analytics usage and maintenance Qualifications: A minimum of three years relevant work experience of data analysis experience; U.S. Federal government consulting experience preferred Bachelor's degree from an accredited college/university Experience with data wrangling tools such as Python, R, SAS, or other commonly used software Experience with communicating technical concepts with non-technical audiences Basic knowledge of data science and machine learning concepts and techniques U.S. citizenship required and an active U.S. Federal government Secret security clearance KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please. At KPMG, any partner or employee must be fully vaccinated or test negative for COVID-19 in order to go to any KPMG office, client site or KPMG event. In some circumstances, individuals who are not fully vaccinated may also be required to have a reasonable accommodation to not be fully vaccinated for COVID-19.",Just posted,"7,249 reviews"
https://www.indeed.com/viewjob?jk=d9d72314f2aff278&from=web&vjs=3,10,Software Engineer,InfoBeyond Technology,"Louisville, KY 40222","     Employer: InfoBeyond Technology, LLC     Location: 320 Whittington Parkway, Suite 117, Louisville, KY 40222     Duties:   Conduct software development for Artificial Intelligence, Machine Learning, Microsystems and Sensors, and Power Grid systems. Design and develop software modules and protocols for power grid sensor data interoperability using state-of-art data model and distributed architecture. Design and develop a protocol for grid data protection approach to achieve grid data integrity, immutability and traceability. Design and develop approach for power grid data machine learning for power grid optimization. Design and develop data learning and fusion approach for largescale grid sensor networks. Develop and prototype Artificial Intelligence (AI) or deep learning algorithms for real-time power traffic analysis and smart grid services. Evaluate and test the effectiveness of the implement power grid protocols and algorithms. Design and develop software products corresponding to the research results. Design layered software framework and build distributed architecture with software modules that implements the algorithm functionalities. Assess the software system efficiency and usability to meet the market requirements.     Requirements:  Must possess a Master’s degree in Electrical Engineering, Computer Science, or Computer Engineering plus 12 months experience as a Software Engineer or Research/Teaching Assistant. (Employer accepts experience gained during Master’s degree studies.) Experience must include research experience in the areas of artificial intelligence, machine learning, microsystems, sensors, and power system, and a solid theoretical background in advanced mathematics. Technical skill set must include C/C++, C#, Java, and Oracle Database. Must have published research papers/scientific articles in IEEE journals or conferences in the areas of Computer Engineering or Electrical Engineering.     Compensation: $75,000 to $81,000 per year     Working conditions: 40+ hours per week.     Submit resume with complete references to: Bin Xie, InfoBeyond Technology, LLC, 320 Whittington Parkway, Suite 117, Louisville, KY 40222. An EOE.     Please contact Bin.Xie@InfoBeyondtech.com for any question.   ",30+ days ago,
https://www.indeed.com/viewjob?jk=73a198d567d48bd2&from=web&vjs=3,10,Senior Data Engineer,Humana,"Louisville, KY 40202","       Responsibilities        Senior Data Engineer        Job Description Summary     The Senior Data Engineer Designs, builds, and maintains data processing architectures and solutions enabling the efficient conversion of structured and unstructured data to insights at enterprise scale. The Senior Data Engineer work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors.        Role Responsibilities:         The Senior Data Engineer Ingests data from internal and external sources utilizing cloud native platforms and software development best practices and patterns.      Develops software tools that leverage artificial intelligence, machine learning, and big-data techniques to cleanse, organize, and transform data into insights and actions that enables Humana to better serve our members.      Begins to influence department’s strategy.      Makes decisions on moderately complex to complex issues regarding technical approach for project components, and work is performed without direction.      Exercises considerable latitude in determining objectives and approaches to assignments.        Required Qualifications:         Bachelor's degree, preferably in computer science, information technology, computer engineering, or a related IT discipline; or possess equivalent work experience.      Expert knowledge of the Agile methodologies      5 or more years of experience as a data scientist or engineer      Experience with Azure DevOps      Deep understanding of SQL-based Big Data systems and experience with modern ETL tools      Hands-on experience in cloud technologies, such as o AWS - S3, Glacier, EC2, Lambda, SQS, Redshift, Azure - Blob Storage, and SQL data warehouse.      4+ years’ experience with SSIS      Knowledge of SQL with the ability to write complex SQL queries      Experience sourcing code and building debugs      Knowledge of relational and multi-dimensional database architectures      Experience working in a complex technical environment        Preferred Qualifications:         Healthcare industry experience      Experience in Assure warehousing      Experienced in Oracle, Enterprise data warehouse      Experienced in Oracle FAW/ fusion, analytic warehouse      Knowledge and experience working with networking, business intelligence, and data visualization        Location, work schedule, travel requirements:         Remote work from home USA      Up to 10% travel- Occasional travel to other offices, third-party vendors, or educational conferences may be required.      EST working time zone required           Vaccine Policy     For this job, associates are required to be fully COVID vaccinated (preferred) or undergo weekly COVID testing and wear a face covering while at work. The weekly testing will need to be done through an approved Humana vendor, and unvaccinated associates should follow all social distancing and masking protocols if they are required to come into a Humana facility or work outside of their home. We are a healthcare company committed to putting health and safety first for our members, patients, associates, and the communities we serve.     If progressed to offer, you will be required to:         Provide proof of full vaccination or commit to testing protocols  OR      Provide proof of applicable exemption including any required supporting documentation        Medical, religious, state and remote-only work exemptions are available.        Additional Information        Alert: Humana values personal identity protection. Please be aware that applicants being considered for an interview will be asked to provide a social security number, if it is not already on file. When required, an email will be sent from Humana@myworkday.com with instructions to add the information into the application at Humana’s secure website.        Interview Format:     As part of our hiring process for this opportunity, we will be using an exciting interviewing technology called Modern Hire to enhance our hiring and decision-making ability. Modern Hire allows us to quickly connect and gain valuable information for you pertaining to your relevant skills and experience at a time that is best for your schedule.        If you are selected for a first round interview, you will receive an email correspondence inviting you to participate in a Modern Hire interview. In this interview, you will receive a set of interview questions over your phone and you will provide recorded or text message responses to each question. You should anticipate this interview to take about 15 minutes. Your recorded interview will be reviewed, and you will subsequently be informed if you will be moving forward to next round of interviews.               Scheduled Weekly Hours     40  ",30+ days ago,"7,161 reviews"
https://www.indeed.com/viewjob?jk=4f4721ff24a35fb5&from=web&vjs=3,10,Data Scientist - Customer Analytics,Change Healthcare,Kentucky,"     Data Scientist, Customer Analytics        POSITION SUMMARY        The Data Scientist, Customer Analytics is responsible for strategic interpretation of data and business requirements to provide executive leadership and customer operations with customer centric data driven insights and data solutions. Working in collaboration with the VP, Customer Insights & Operations and the Sr. Manager, Customer Analytics, this role works to identify new business requirements across the organization, translate business requirements into data models, perform data engineering to combine diverse data sets, and develop custom algorithms for predictive models for the business.        KEY RESPONSIBILITIES        Business and data requirements     15%     Data engineering     30%     Data modeling, machine learning and AI     45%     Data product support and refinement     10%        RESPONSIBILITIES            Work with key business stakeholders to develop business solutions based on data driven insights      Lead projects that combine diverse customer data sets to identify trends, develop custom machine learning models, and provide recommendations to optimize the business and address data-related problems      Coordinate with different functional teams to improve customer data architecture, ensure accuracy of model output and implement new data gathering processes      Create customized summaries, business presentations and documentation for internal business clients based on the results of research           MINIMUM JOB Qualifications        Education / Training:         4-year degree (Bachelors or Masters) in any of: science, computer science, statistics, mathematics, physics, engineering, machine learning, or equivalent experience           Business Experience:         2+ years of experience using data analysis and machine learning to generate data driven insights and development of data solutions for business partners      Experience with relational and dimensional data modeling, data engineering, and leveraging business intelligence technology to drive business impact      Ability to work on multiple projects across functional teams           Specialized Knowledge / Skills:         2+ years of programming experience in Python, R, or SAS to manipulate data and draw insights from large data sets      2+ years of experience in a variety of machine learning techniques including natural language processing algorithms, classification and clustering, time-series forecasting and predictive/prescriptive modeling      Excellent knowledge of statistical techniques and concepts      Strong written and verbal communication, and people skills to interact with all levels of management, business partners, internal clients, technology team members, and vendors           Working Conditions:         Office environment or remote      Travel up to 10% of the time           #li-remote     Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system!        COVID Vaccination Requirements        We remain committed to doing our part to ensure the health, safety, and well-being of our team members and our communities. As such, we require all employees to disclose COVID-19 vaccination status prior to beginning employment and we may require periodic testing for certain roles. In addition, some roles require full COVID-19 vaccination as an essential job function. Change Healthcare adheres to COVID-19 vaccination regulations as well as all client COVID-19 vaccination requirements and will obtain the necessary information from candidates prior to employment to ensure compliance.        Equal Opportunity/Affirmative Action Statement         Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read  EEO is the Law  at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf.        If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted.        Click here https://www.dol.gov/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf to view our pay transparency nondiscrimination policy.        California (US) Residents: By submitting an application to Change Healthcare for consideration of any employment opportunity, you acknowledge that you have read and understood Change Healthcare’s Privacy Notice to California Job Applicants Regarding the Collection of Personal Information.        Change Healthcare maintains a drug free workplace and conducts pre-employment drug-testing, where applicable, in accordance with federal, state and local laws.     ",4 days ago,"1,303 reviews"
