URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=ac4d77d6d3fe4c08&from=web&vjs=3,230,Principal Research Scientist,Bigbear.ai,"Laurel, MD 20707","    Overview:     BigBear.ai  is seeking a  Principal Research Scientist   to help develop and deliver advanced analytic solutions to our customers, and to contribute technical growth and development to all of BigBear.ai. This position will split time between a customer site in Laurel, MD and the Columbia, MD headquarters with the possibility of some remote work.     The right candidate will help develop and lead a team to investigate, analyze and review Artificial Intelligence (AI) Analytics for the research, development, and realized solutions to support the exploitation of the extraordinary volume and variety of Signals Intelligence (SIGINT) communications and Cybersecurity.  What you will do:        Performs research, design, development, and implementation activities for technically complex AI efforts      Resolves complex AI technical problems by applying advanced principles and Research and Development (R&D) techniques      Resolves highly complex AI business and managerial problems.      Develops and applies advanced methods, theories, and Research and Development (R&D) techniques from a variety of technical specialties for complex and difficult AI problems.      Directs the efforts of a team of engineers or scientists to achieve the objectives of AI projects or tasks     What you need to have:        Clearance: Must Possess and maintain a TS with Polygraph      15 years experience and a Bachelor's Degree in a STEM field            a Master's Degree can substitute for 2 years of experience (13 years total)        a PhD can substitue for 5 years of experience (10 years total)          What we'd like you to have:        Willingness to travel and represent BigBear.ai at technical conferences     About BigBear.ai:     A leader in decision dominance for more than 20 years, BigBear.ai operationalizes artificial intelligence and machine learning at scale through its end-to-end data analytics platform. The Company uses its proprietary AI/ML technology to support its customers’ decision-making processes and deliver practical solutions that work in complex, realistic and imperfect data environments. BigBear.ai’s composable AI-powered platform solutions work together as often as they stand alone: Observe (data ingestion and conflation), Orient (composable machine learning at scale), and Dominate (visual anticipatory intelligence and optimization).     BigBear.ai’s customers, which include the U.S. Intelligence Community, Department of Defense, the U.S. Federal Government, as well as customers in the commercial sector, rely on BigBear.ai’s high value software products and technology to analyze information, identify and manage risk, and support mission critical decision making. Headquartered in Columbia, Maryland, BigBear.ai has additional locations in Virginia, Massachusetts, Michigan, and California.   ",30+ days ago,19 reviews
https://www.indeed.com/viewjob?jk=19e4813bbc2c39c5&from=web&vjs=3,230,Test Engineer,Aces Incorporated,"Annapolis Junction, MD 20701","Job Title: Test Engineer Overview: EverWatch is a government solutions company providing advanced defense, intelligence, and deployed support to our country’s most critical missions. We are a full-service government solutions company. Harnessing the most advanced technology and solutions, we strengthen defenses and control environments to preserve continuity and ensure mission success. Founded in 2010, BrainTrust is an ever-growing and evolving company, with focus areas of Software Engineering (Machine Learning, Cloud Computing, HPC, Data Mining, HLT), Mission Operations (System Integration, Sensors, Deployment, Training, Support), and System Engineering (System Design, Requirements, Process Engineering, Resource Allocation). In August of 2020, BrainTrust joined forces with EverWatch. This integration will enhance the merged company’s set of technical capabilities, mission expertise, and contract presence for intelligence community customers. BrainTrust employees are focused on tackling the most difficult challenges of the US Government. We offer the best salaries and benefits packages in our industry - to identify and retain the top talent in support of our critical mission objectives.  Clearance:  The majority of positions require a Top Secret security clearance, based on current background investigation (SBI), as well as the favorable completion of polygraph. Clearance and polygraph processing will be completed by the U.S. Government. BrainTrust is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), gender identity, sexual orientation, national origin, age (40 or older), disability, genetic information, citizenship or immigration status, and veteran status or any other factor prohibited by applicable law  Responsibilities:  Job Description: Conduct local and on-site courses relevant to the area of training Review and analyze training materials and recommend changes based on type of instruction needed Perform task and skill analysis of training requirements and personnel based on the deployment of a particular system or training needs for a particular system Tailor instruction based on the level of knowledge of the students Interact with training developer, training coordinator, developer, and user to assist with design and implementation of total training package Familiarity with 802.11 technologies  Qualifications: Eight (8) years test engineering experience in programs and contracts of similar scope, type and complexity is required. Bachelor's degree in Math, Science, Engineering, Statistics, Engineering Management or related discipline from an accredited college or university is required. Four (4) years of additional TE experience may be substituted for a bachelor's degree.  Clearance Level:  TS/SCI polygraph Job Locations: US-MD-Annapolis Junction Skills: 802.11",24 days ago,
https://www.indeed.com/viewjob?jk=0885695850017fd8&from=web&vjs=3,230,"Staff Data Scientist - Opportunity for Working Remotely Baltimore, MD",VMware,"Baltimore, MD","     The Security Analytics Engineering group is looking to hire a Sr. Data Scientist to help lead the development of cutting-edge machine learning models to better protect our users from malicious actors and improve our customer product experience. We are looking for a hands-on engineering leader with deep data science and software engineering expertise who can help architect and own the platform for deploying and tuning the machine learning models used to protect user authentication and security.        The teams focuses on using analytics, machine learning, and threat research on petabyte-scale data to deliver security value to millions of business users across thousands of businesses. The product portfolio is a part of the rapidly growing Carbon Black Cloud platform that delivers next-generation endpoint protection capabilities from the cloud. Now with the full resources of VMware, you have the opportunity to make an impact and build upon Carbon Black’s success.        Responsibilities include:         Lead the efforts to define the vision of how Data Science and Machine Learning will be used at Carbon black threat analytics and Alerts management .      Use analytical and statistical methods, programming, data modeling, simulation, and advanced mathematics to analyze large amounts of data, recognizing patterns, identifying opportunities, posing security questions, and making valuable discoveries      Develop algorithms to detect anomalies, assess risks/threat, classify and prioritize alerts, and group related entities for investigation enhancements      Document projects including business objectives, data gathering and processes, leading approaches, final algorithm, and detailed set of results and analytical metrics      Work with Data Engineers to design and maintain data processing pipelines to support new decision and scoring models.      Provide Architecture guidance and work closely to up-level the Data Science and ML engineering organization.      Evangelize the value of Machine Learning and Data Science to upper management and other Engineering teams within the organization.           What you bring:         Degree MS/PhD in Machine Learning, Computer Science, Electrical Engineering, Statistics, Applied Math, or other quantitative fields      7-10 plus years experience developing data models as a Data Scientist and experience building products backed up ML /AI.      Working experience in analytics, data mining, and/or predictive modeling, and data interpretation.      Proven track record in modifying and applying advanced algorithms to address security problems in core engineering work.      Experience implementing machine learning models, data pipelines and testing frameworks for production use      Hands on skills on industry-standard machine-learning stack (Jupyter, pandas, numpy, sklearn, Keras, Spark).      Working knowledge of AWS Sagemaker, Lambda, and API Gateway including production deployment           Bonus :         Experience in big data technologies. (Spark, Flink, MapReduce, HDFS, Hive, Presto, Avro, Parquet, Airflow, etc)      Experience in the Security domain is a plus.           Category :  Engineering and Technology   Subcategory:  Software Engineering   Experience:  Business Leadership   Full Time/ Part Time:  Full Time   Posted Date:  2022-04-01     VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.        Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.  ",30+ days ago,935 reviews
https://www.indeed.com/viewjob?jk=70688dd2e6c4c0d7&from=web&vjs=3,230,Senior/Bioinformatics Engineer,Qiagen,"Frederick, MD 21704","Overview At the heart of QIAGEN’s business is a vision to make improvements in life possible.  We are on an exciting mission to make a real difference in science and healthcare. We are still the entrepreneurial company we started out as and have today achieved a size where we can bring our full power to many initiatives and to our presence across the globe. Our most valuable asset are our employees – more than 5000 in over 35 locations around the world. Our ambition is to ensure we have outstanding and passionate people working in the best teams and we are constantly looking for new talent to join us. There are few players who have shaped the world of modern science and healthcare as much as QIAGEN, and we have only just started. If you are looking to advance your career, are seeking new challenges and opportunities, enjoy working in dynamic and international, diverse teams and want to make a real impact on people’s lives, then QIAGEN is where you need to be.  Join us. At QIAGEN, you make a difference every day. Position Description We are currently seeking a Senior Bioinformatics Scientist to collaborate with product development scientists to analyze complex genomic data from NGS and qPCR/dPCR platforms and develop data analysis algorithms and pipelines. The data analysis pipelines support both internal product development needs and also customer-facing services. The position requires both strong coding skills and expertise in analysis of genomic data.  Primary responsibilities are:  Collaborate with molecular biologists on data analysis for development of new products for a wide range of sequencing based and PCR based applications  Evaluate NGS data analysis methods published in peer-reviewed literature, and extend them to develop and deploy state-of-the-art NGS data analysis solutions for both internal R&D work and for our customers  Use data analysis to refine and optimize the design of assays (e.g. PCR primers, hybridization capture probes, etc.) for a wide range of NGS and qPCR/dPCR applications  Position Requirements PhD or MS degree with equivalent experience, in bioinformatics, computer science, or molecular biology  At least five years of experience analyzing genomic data from NGS reads. Experience with all stages of next generation sequence analysis: quality control, genome alignment, variant calling, annotation, etc. Experience using common sequence handling and analysis tools (e.g., GATK , BWA, BEDTools, VCFtools, SAMtools, IGV, STAR, Kallisto, etc)  Experience writing code to manipulate and analyze complex genomic measurements and annotations  Proficiency writing Bash, R and Python code in a Linux environment. Experience with Ruby, C++ and Java are a plus  Skills in machine learning, deep learning, statistical modeling, etc. are a plus  Experience designing assays for NGS target enrichment or for qPCR/dPCR quantification and mutation detection is a plus  Experience with multiple sequencing applications (e.g., DNA variant calling, ChIP-seq, RNA-seq, Hi-C, etc.) is a plus  Experience with multiple sequencing platforms (e.g. Illumina, Ion/Proton, PacBio, Oxford Nanopore) is a plus  Experience with container technology (e.g. Docker) , version control systems (e.g. git), and major cloud provider tools (e.g. Google Compute Platform, Microsoft Azure, Amazon Web Services) are also helpful Personal Requirements Work daily directly with internal product development scientists as well as manufacture, sales and marketing teams  Develop and support high quality data analysis pipelines in an environment without professional software engineering support  QIAGEN requires proof of full COVID-19 vaccination as a condition of employment for new hires in all U.S. states other than Montana effective as of September 1, 2021. New hires and candidates will be required to present proof of full COVID-19 vaccination within three business days of start date or upon entry into the office (i.e., for interviews), whichever comes first. QIAGEN complies with applicable laws regarding the confidentiality of employee health information and the reasonable accommodation of individuals with disabilities and/or sincerely held religious beliefs. Candidates who require accommodation should contact Benefits@QIAGEN.com. This policy is part of QIAGEN’s ongoing efforts to support public health efforts and to ensure the safety and-well-being of its employees, customers, business partners, and community. What we offer At the heart of QIAGEN are our people who drive our success. We act with passion, always challenging the status quo to drive innovation and continuous improvement. We inspire with our leadership and make an impact with our actions. We create a collaborative, safe and engaging workplace which forms the basis for high performing individuals and teams. We drive accountability and entrepreneurial decision-making and want you to excel your growth and shape the future of QIAGEN.  QIAGEN is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), sex stereotyping (including but not limited to assumptions about a person’s appearance or behavior, gender roles, gender expression, or gender identity), gender, gender identity, gender expression, national origin, age, mental or physical disability, ancestry, medical condition, marital status, military or veteran status, citizenship status, sexual orientation, genetic information, or any other status protected by applicable law. Job Reference: US/CA01000",29 days ago,78 reviews
https://www.indeed.com/viewjob?jk=dba1d1887e3ac5c3&from=web&vjs=3,230,Systems Architect,Centurion Consulting Group,"Germantown, MD","  We are hiring for a Systems Architect that will lead the next generation satellite system concept and prototype development for communications and sensing applications – entailing software defined networking, optical and RF links, GEO/LEO satellites, cognitive control and management, and modeling. This area is strategic for Hughes, involves cutting edge space, cyber, network, AI/ML, modem, and software technologies, and provides significant growth potential as the organizational scope expands. Responsibilities:       Responsible for system design, technical concept/proposal development, prototyping and modeling    Works on advanced product development and risk mitigation    Works with software and hardware engineers for productization and system development     Requirements:       Bachelors degree in Electrical Engineering, Computer Science or related field    8+ years of experience    Must be capable of obtaining and holding a U.S. government security clearance     Preferred Qualifications:       Master degree in Electrical Engineering, Computer Science or related field    Experience with modeling tools and languages such as MATLAB, C++, Java, OpenStack    Analytical and modeling skills in networking, control/management and/or space domains    Excellent verbal and written communication skills and an ability to function well on a team    Experience in networking, space, sensing or cyber development domains    Exposure to Artificial Intelligence (AI) and Machine Learning (ML) techniques    Exposure to System-on-a-Chip (SOC) based development comprising firmware (FPGA) and software (CPU)    Familiarity with network routing protocols, RF links, optical links, and their space adaptations    Ability to interact with both business and technical teams    Clearance (SECRET) for US Government work preferred     Will be eligible for discretionary bonus, with funding based on company performance. Position Details:    Clearance: N/A   US Citizenship is required   Travel: < 10% (CONUS)   Centurion Consulting Group, LLC is an Equal Opportunity Employer EOE M/F/D/V   No third parties or subcontractors   Job Type: Full-time ",,
https://www.indeed.com/viewjob?jk=1a57c890b168dc95&from=web&vjs=3,230,Software Engineer for Chapel Team,Hewlett Packard Enterprise,Maryland,"HPE is seeking an experienced, motivated, and skilled software developer to join the Chapel development team. Chapel (chapel-lang.org) is an open-source programming language being developed to improve the productivity of scientists and engineers writing parallel programs for running on laptops, clusters, and supercomputers. This software developer will work in collaboration with other team members on improving the implementation and design of the Chapel language through development of the Chapel compiler (which is implemented in C++) and libraries (which are implemented in Chapel).   Responsibilities : Contribute to the implementation of a parallel programming system Actively participate in a consensus-oriented design process Identify and optimize performance problems in the Chapel compiler and in generated LLVM code In-depth parallel computing and compiler debugging Participate in an agile development process involving regular releases Respond to and help users Education and Experience Required: At least 2 years of experience doing software development. Required Knowledge and Skills: Expertise in writing and maintaining C++ programs Experience in working with large, cooperative projects Excellent analytical and problem-solving skills Excellent written and verbal communication skills in English Ability to develop, communicate, and negotiate design proposals Ideal candidates will have experience with one or more of the following topics: programming languages and compilers compiler implementation and architecture, particularly LLVM-based parallel computing on supercomputers, clouds, or desktops standard/scientific/machine learning library development GPU programming and/or code generation performance analysis and debugging 1109878",30+ days ago,"4,872 reviews"
https://www.indeed.com/viewjob?jk=12a0d082eff1d80f&from=web&vjs=3,230,Software Developer (f/m),LS telcom,"Bowie, MD 20715","LS telcom Inc., USA 5021 Howerton Way, Suite E Bowie, Maryland 20715   Phone:  +1 (301) 266-2008  lstelcomincjobs@lstelcom.com www.LStelcom.com  LS telcom Inc. provides innovative solutions for the telecommunications and spectrum management industry. With a friendly, informal culture, and substantial growth opportunities, LS telcom provides an ideal environment for talented software engineers. This position is for a mid-level programmer with experience programming with C# and SQL software development.   Software Developer for LS telcom Inc. (f/m)   Job description  The Software Engineer will perform all or some of the following: Provide computer science software development support using industry standard software development practices and modern programming languages/operating systems Participate in a research team: gather information, test theories, document findings Contribute to complete technical projects/organizational objectives on multidisciplinary teams Design, implement, deploy, and maintain software systems using object-oriented analysis, design, and programming techniques Share knowledge/opinions/recommendations with developers to fulfill deliverables as a team Minimum Requirements: Implementation, integration, testing, and deployment Experience developing software with both C++ and C# Experience developing software applications in a Windows environment. Experience with Linux and other operating systems is a plus Experience with data analysis algorithms, data management approaches, relational databases, machine learning algorithms (1 or more) Ability to effectively manage concurrent technical tasks/competing priorities; approach difficult problems with enthusiasm/creativity; change focus when necessary Ability to work independently, implement research concepts in multidisciplinary team environment commitments, deadlines important to project success Effective interpersonal skills necessary to interact with all levels of personnel Ability to communicate technical information, document work, prepares and presents successful proposals and high-quality research papers Demonstrated effective analytical/problem-solving skills, ability to work with minimal guidance and competing priorities; provide innovative, creative solutions to tasks and problems.   LS telcom Inc., USA 5021 Howerton Way, Suite E Bowie, Maryland 20715   Phone:  +1 (301) 266-2008  lstelcomincjobs@lstelcom.com www.LStelcom.com Experience/Skills/Knowledge Microsoft .Net ADO.Net Windows Forms Windows Communication Foundation (WCF) CAB Windows Operating Systems Administration User right management SQL Programming and queries Database administration and configuration Network TCP/IP, routing, interface configuration, DNS, firewall, proxy, remote access and VPN    Other Requirements   US Citizenship required Ability to multitask Good communications skills Ability to travel internationally on occasions Self-starter Independent thinker and good team player Capable to troubleshot computer hardware    Desired Experience :   Basic radio communications knowledge is a plus  Minimum Educational Requirement   Bachelor's Degree in Computer Science     Please send your complete application to lstelcomincjobs@lstelcom.com.",30+ days ago,
https://www.indeed.com/viewjob?jk=a96c5e218b4f2929&from=web&vjs=3,230,Manager Supply Chain Data Analytics,MEDSTAR HEALTH,"White Marsh, MD","         Job Summary      Has an enterprise wide strategic and operational responsibility to conduct sophisticated data analysis to help address critical business processes and supply utilization and presents the outputs to various hospital stakeholders to enable member improvements in clinical, operational, and economic outcomes. Applies an in-depth understanding of advanced healthcare supply chain concepts, operations, and statistics to solve new and complex problems and develops innovative strategies. Analyzes purchasing and clinical data from a variety of primary and sub-system data sources to develop models and present data to key stakeholder groups for improvements in cost, quality and outcomes that can support the organizations short- and long- term goals. Leads others to implement the tools and strategies required to continually improve processes.          Minimum Qualifications      Education/Training: Bachelors degree in related field. Advanced degree (Masters or higher) in healthcare administration, applied math, statistics, computer science, business, analysis or related field, preferred.      Experience: 10 years of experience in healthcare, with in emphasis in managing large disparate data sets, and who have used quantitative and qualitative analysis to draw meaningful and valid insights.      License/Cert/Reg: No special certification, registration or licensure required.      Knowledge, Skills & Abilities:      Strong analytical and negotiating skills. Professional verbal and written communication skills with strong understanding of industry related terminology. Advanced working knowledge of Microsoft suite of products, statistical software applications, procedural documentation applications as well as visual analytics platforms, such as Tableau. Should have a passion for using data to solve complex business problems and a desire to help turn ongoing analysis into predictive models that will help guide product and content strategy with actionable data. Contract and RFX creation and response experience preferred.      Primary Duties and Responsibilities      1. Conducts sophisticated data analyses to identify and address critical issues/questions, the outputs of which enable MedStar to drive improvements in clinical, operational, and economic outcomes.      2. Contributes to the achievement of established department goals and objectives and adheres to department policies, procedures, quality standards and safety standards. Complies with governmental and accreditation regulations.      3. Ensures quality of data within key applications, as well as, development and documentation of processes with other functional data owners to support ongoing maintenance and data integrity.      4. Identifies areas for data quality improvements and helps to resolve data quality problems through the appropriate choice of error detection and correction, process control and improvement, or process design strategies.      5. In collaboration with subject matter experts and data stewards, defines and implements data strategy, policies, controls, and programs to ensure the enterprise data is accurate, complete, secure, and reliable.      6. Leverages relational database designs and creates charts, graphs, tables, and reports to support findings and develops recommendations.      7. Leveraging Supply Chain operational experience, develops and maintains relationships with key leaders and clinicians, imperative to the ability to drive improvements through the appropriate recommendations to this audience. Generates hypotheses and develops data models to predict outcomes for future impact of key decisions, including interpreting and effectively communicating these findings to key leaders and clinicians.      8. Identifies improvement opportunities in reporting and BI tools and collaborates to provide feedback on enhancement opportunities, as well as customer relationship management.      9. Organizes results into presentation quality materials including executive level presentations for use in management meetings. Provides monthly status level reporting, key performance metrics, compliance, and other tracking tools for goal achievement of various improvement opportunities, operational or financial.      10. Participates in internal training of new products or releases; updates training documentation materials; transfers knowledge to other team members.      11. Creates and implements exhaustive routine data integrity, quality assurance audits and validation strategies to ensure all outputs will be trusted and actionable.      12. Provides education and has leadership responsibility of the Supply Chain Service Line Support Analysts to manage operational activities, develop and promote critical thinking to provide actionable and compelling insights that will motivate sustainable change to achieve goals.      13. Promotes team and individual growth through coordinating hiring decisions, internal training, and professional development opportunities to build an analytical acumen across all MedStar using all available tools.      14. Collaborates with Purchasing and Database teams to properly manage and strategize to minimize Price Management challenges.      15. Implements data collection strategies in order that analysis can identify problematic areas and suggest improvements and channel insights to improve strategy.      16. Responsible for issue recognition, identification, and application of appropriate resources necessary to resolve issues, status reporting, and overall management of issues through resolution.      17. Serves as resident data expert and shares best practices/approaches for statistics, machine learning techniques, data modeling, simulation, and advanced statistical computations. Shadows and assists with implementations and process improvement initiatives. Works collaboratively among team members to provide direction and delivers value through advanced analytic and modeling techniques.      18. Coordinates with other professionals to develop and implement supply chain strategy, change management, new systems and recommends improvements to boost performance and reduce costs.      19. Participates in meetings and on committees and represents the department and hospital in community outreach efforts. Participates in multi-disciplinary quality and service improvement teams.      20. Performs other duties as assigned.         About MedStar Health     MedStar Health is dedicated to providing the highest quality care for people in Maryland and the Washington, D.C., region, while advancing the practice of medicine through education, innovation and research. Our 30,000 associates and 5,400 affiliated physicians work in a variety of settings across our health system, including 10 hospitals and more than 300 community-based locations, the largest visiting nurse association in the region, and highly respected institutes dedicated to research and innovation. As the medical education and clinical partner of Georgetown University for more than 20 years, MedStar is dedicated not only to teaching the next generation of doctors, but also to the continuing education and professional development of our whole team. MedStar Health offers diverse opportunities for career advancement and personal fulfillment.  ",30+ days ago,637 reviews
https://www.indeed.com/viewjob?jk=25b41e08fa1ef176&from=web&vjs=3,230,Process Engineer PE3,Aces Incorporated,"Annapolis Junction, MD 20701","    Job Title: Process Engineer PE3 Overview:        EverWatch is a government solutions company providing advanced defense, intelligence, and deployed support to our country’s most critical missions. We are a full-service government solutions company. Harnessing the most advanced technology and solutions, we strengthen defenses and control environments to preserve continuity and ensure mission success.              Founded in 2010, BrainTrust is an ever-growing and evolving company, with focus areas of Software Engineering (Machine Learning, Cloud Computing, HPC, Data Mining, HLT), Mission Operations (System Integration, Sensors, Deployment, Training, Support), and System Engineering (System Design, Requirements, Process Engineering, Resource Allocation).              In August of 2020, BrainTrust joined forces with EverWatch. This integration will enhance the merged company’s set of technical capabilities, mission expertise, and contract presence for intelligence community customers.          BrainTrust employees are focused on tackling the most difficult challenges of the US Government. We offer the best salaries and benefits packages in our industry - to identify and retain the top talent in support of our critical mission objectives.                    Clearance: The majority of positions require a Top Secret security clearance, based on current background investigation (SBI), as well as the favorable completion of polygraph. Clearance and polygraph processing will be completed by the U.S. Government.          BrainTrust is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), gender identity, sexual orientation, national origin, age (40 or older), disability, genetic information, citizenship or immigration status, and veteran status or any other factor prohibited by applicable law.     Prospective and/or new employees will be required to adhere with EverWatch’s vaccination policy. All EverWatch employees must be fully vaccinated, and they must submit proof of vaccination on their first day of employment. Prospective or new employees may seek an exemption to the vaccination requirement at vaccinestatus@everwatchsolutions.com and must have an approved exemption prior to the start of their employment. Customer site vaccination requirements, if stricter, will take precedence over EverWatch’s vaccination policy.     Responsibilities:           Job Description:       Provide process engineering support in the area of DIB Cybersecurity Operations. Primary responsibilities include analyzing and improving organizational processes, conducting technical research, analysis and writing responses for government-provided high-priority data calls to create representations/characterizations of strategy alignment, resource allocations, discrepancies and gaps, and organizational accomplishments. Perform research and analysis on data as well as compile and correlate data sets to track operational plans, understand technical capabilities and gaps, relationships status and report results to leadership. Assist the lead in developing key messages in point papers, briefings, and informational materials in support of engagements with internal and external stakeholders. Assist in the design, maintenance and update of documents to include web-based resources, PowerPoint, SharePoint, aliases and SiteWorks. Supports documentation creation and reporting to be readily accessed that is compliant with Agency security and documentation policies. Conduct thorough reviews and detailed assessments of systems engineering documentation. Define, review, propose and develop process improvements. Additionally, the individual selected for this position will oversee and guide creation, modification, and implementation of process governance and required systems engineering documentation and artifacts. The candidate selected must be able to communicate with other government and contract personnel, project leads, and program managers.    Qualifications:        Individual Capabilities/Experience Required:          Bachelor’s Degree in Computer Science, Information Systems, Engineering, Business, or Education from an accredited school or university is required. Four years of additional experience may be substituted for a Bachelors’ Degree.     Requires Fifteen (15) years of experience with Process Improvement on programs and contracts of similar scope, type, and complexity. Experience is to include, within the past ten (10) years, five (5) years' experience in facilitation, training, methodology development and evaluation, process engineering across all phases of acquisition identifying best practices, change management, business management techniques, organizational development, activity and data modeling, or information system development methods and practices.     Position requires TS/SCI clearance with polygraph.     This is a full-time position requiring 1880 hours per year.     Ability to communicate with other government and contract software developers, project leads, and program managers.     Knowledge of process engineering, executing operational procedures, and analyzing operational workflows.     Experience in documenting processes and process improvement.     Experience in SharePoint, Confluence and documentation management.     Excellent writing, communcation and presentation skills.          Individual Capabilities/Experience Desired:          Experience in gathering functional requirements.     Experience in Cybersecurity domain is a plus.     Ability to analyze user requirements.    Clearance Level: TS/SCI polygraph Job Locations: US-MD-Annapolis Junction Skills: Process Engineering  ",24 days ago,
https://www.indeed.com/viewjob?jk=ba1379c3e14d5f63&from=web&vjs=3,230,Software Engineer,Leidos,"Bethesda, MD 20889","     Description         Job Description:     Are you ready to join Leidos all-star team? Through training, teamwork, and exposure to challenging technical work, let Leidos show how to accelerate your career path.        The Leidos Innovations Center has an exciting opening for you, our next Software Integration Engineer, to play a key role with the integration and deployment of software for the DOMEX Data Discovery Platform (D3P). The DOMEX Data Discovery Platform (D3P) program is a next generation machine learning pipeline platform providing cutting edge data enrichment, triage, and analytics capabilities to Defense and Intelligence Community members. Our team includes highly skilled systems engineers, software and data engineers, and data scientists and work in Reston, VA or Bethesda, MD.           Working closely with project team members, you will have the opportunity to be involved in the following activities:              Work with a team of system integration engineers to successfully deploy release candidates to production environment.      Participate in test, staging and production deployment.      Assist in the maintenance of services and procedures for a big data pipeline which includes Kafka, Elasticsearch, and several in house written python/java micro services running on Kubernetes      Integrate Docker containers using Kubernetes, Rancher, Helm and other DevOpsSec integration tools      Monitor automated system integration tests to identify failed modules and components      Manage individual project priorities, deliverables, and deadlines      Foster an environment of collaboration with the different team members in the goal of providing quality service and product to our customer                  This is you:              Bachelor’s degree in a related technical field and 4 + years of prior relevant Software Engineering experience or master’s degree with 2+ years of prior relevant experience      Must possess an Active Top Secret clearance and ability to obtain TS/SCI with Poly      At least 2 years of experience with Python      Experience with Docker      Experience with DevOps practices and tools including Continuous Integration/Continuous Delivery (CI/CD) tools and practices      Knowledge of message passing systems such as Kafka or Pulsar or any other messaging system      Experience with Agile practices      Experience with configuration management tools such as Git      Strong verbal and written communication skills      Ability to work in a team and a self-starter who can work on their own                  You will wow us even more if you have these skills:              Experience with ElasticSearch      Experience with NiFi      Experience with any of the following technologies:      o Jenkinsfiles and Groovy     o Make/Makefiles     o Kubernetes monitoring, e.g., Prometheus     o GPU-based Kubernetes     o SALT for deployment automation     o Elasticsearch, Kibana, and Logstash, specifically admin experience     o YAML     o Helm and Helmfile     o Cloudera usage, including Kafka topic creation/management, Zookeeper, Solr, and Flume     o Nexus          Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world's toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company's 32,000 employees support vital missions for government and commercial customers. For more information, visit www.Leidos.com.        Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement.        Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com .        All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.        LInC  D3P        Pay Range:     #Featuredjob   ",30+ days ago,"1,314 reviews"
