URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=22294a98c9b63eeb&from=web&vjs=3,20,"Associate Staff Scientist, WFIRM-Organs on a Chip/Machine Learning/Artificial Intelligence",Wake Forest Baptist Health,"Winston-Salem, NC","     The Wake Forest Institute for Regenerative Medicine (WFIRM) is a world leader in the research and development of technologies and products in the fields of tissue engineering and regenerative medicine. WFIRM is an interdisciplinary institute, with an open laboratory concept aimed towards fostering collaboration. WFIRM is located in the Richard H. Dean Building at the Wake Forest Innovation Quarter in Winston-Salem. WFIRM houses an FDA compliant facility for the development of clinical products. Fifteen applications of technologies developed by WFIRM scientists have been applied to patients.     We are currently recruiting for all skill levels in chemistry, biology, biotechnology, computer sciences and engineering, to join a multidisciplinary team in a cutting edge program that marries the fields of organs on a chip with 3D Bioprinting, regenerative medicine, and machine learning and artificial intelligence. This project is focused on protecting our warfighters and nation against threat agents by utilizing state of the art organs on a chip. Studying the pathogenesis of these threat agents will allow us to understand changes occurring at the molecular level, which will serve as learning data sets for computer algorithms and enable predictive modeling of threat agents.     Successful candidates will be highly motivated, and will have exceptional scientific creativity, good organizational skills, and effective communication skills (written and oral). The candidate should have the ability to work both independently to design and conduct experiments, as well as the ability to collaborate effectively with team members inside and outside the immediate lab environment. The position offers a competitive salary and exposure to a rich and highly collaborative scientific environment.     Relevant experience in one or more of the following categories is also desirable.         Cell culture, cell biology, organoid fabrication and characterization, disease modeling, molecular biology, physiology, pharmacology, toxicology      Biochemistry, biomaterial chemistry, hydrogel development, bioengineering, materials science      Microfluidic development for biological applications, fluid (gas/liquid) modeling and control, nanotechnology      Chemical, biochemical and biological sampling, assay development and standardization, bioinformatics, artificial intelligence, computer programming and 3D printing.        JOB SUMMARY     Under supervision, the Associate Research Staff Scientist uses fundamental concepts, practices, and procedures of particular field of specialization to perform scientific research tasks requiring application of established techniques, procedures, and criteria. Position may have supervisory responsibility of technicians, post-doctoral fellows, and graduate students.     EDUCATION/EXPERIENCE     Terminal doctoral degree in related scientific areas with three years of postdoctoral training.     SKILLS/QUALIFICATIONS         Ability to develop and follow research methodology and protocol.      Knowledge of scientific approach and methodologies.      Knowledge of current technological developments/trends in area of expertise.      Knowledge of scientific research principles, practices, and protocols.      Ability to design, organize, and coordinate scientific research projects.      Ability to read, understand, follow, and enforce safety procedures.      Excellent oral, written, listening, and interpersonal communication skills.      Ability to establish and maintain effective working relationships with others.      Ability to operate laboratory equipment.      Knowledge of the maintenance of routine records and reports.        ESSENTIAL FUNCTIONS              Performs routine and highly specialized or unique laboratory tests for specific research projects.       Performs and devises specialized tests and research procedures, troubleshooting problems with their own and other researchers' results.       Provides input to the overall research design, evaluate research data, and initiate alternative approaches to improve quality of the results.       Evaluates the quality of research outcomes and ensure that all laboratory procedures are performed properly.       Trains and provides guidance to technicians, interns, and researchers in specialized procedures, use of equipment, and theoretical basis of unique tests.       Prepares articles, manuscripts, reports, and documents that relate to projects.       Participates in professional activities that relate to the research.       Ensures timely progress of research projects, identifies areas of technical difficulty, and provides solutions.       Evaluates progress of research projects and assess validity of research data.       Participates in grant proposal planning and writing.       Manages research projects and oversees day-to-day laboratory activities.       Ensures that all laboratory procedures are performed in adherence with applicable regulations.            WORK ENVIRONMENT         Research laboratory environment      Exposure to chemicals      Exposure to glass and other breakable objects      Possible exposure to animals      Possible exposure to bloodborne pathogens      May be required to work hours beyond typical 8 a.m.-5 p.m. schedule and/or evenings and weekends as needed      ",30+ days ago,887 reviews
https://www.indeed.com/viewjob?jk=d0b3afa3817ef005&from=web&vjs=3,20,Head of Machine Learning - Document Analysis and NLP,Recruiting From Scratch,"Durham, NC 27517","         Who is Recruiting from Scratch:      Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.      If you are a fit, the team will reach out to you about this role or any others that may be a fit for our clients.      Our Client      Our client helps organizations globally to build trust and speed into their business by matching the Speed of PrivacyOps to the Speed of Dev/BusinessOps. Clients include Patreon, Twilio, Coinbase, Robinhood, and Samara.      The Role      Lead Natural Language Processing (NLP) and legal document analysis to deliver machine learning models and systems end to end. You partner with cross-functional stakeholders to design a high-value roadmap that scales the impact of ML for customers, and you make prioritization and architecture decisions to drive the execution of this roadmap. Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain a forward-thinking outlook as well as scrappiness for the present needs. You lead by example to build a cohesive team culture of ownership, growth, transparency, and customer focus, and you attract and close top talent for your team.      Responsibilities:           Design, architect, manage and hire to lead a document analysis and NLP team       Strategy: actively participate in customer engagements and partner with cross-functional stakeholders (legal product managers, customer success) to discover new opportunities to apply ML/NLP to solve critical problems and design a high-value roadmap that scales the impact of ML for customers       Execution: make customer-centric prioritization decisions to balance between immediate impact and long-term bets with limited resources and partner with the team manager to drive alignment and collaboration with other engineering teams       Design: deeply understand how everything fits together; architect systems to balance scrappiness for the current needs with a forward-thinking outlook to improve and scale our infrastructure; continuously look for opportunities to automate and build tools to lower operational barriers       Hands-on problem solving: help the team solve its most complex problems with the simple, pragmatic solutions       Culture: lead by example to build a cohesive team culture of ownership, growth, transparency, and customer focus       Hiring: attract and close top ML/NLP engineers and software engineers for your team          You are a good fit if you:           Have an exceptional track record of successfully delivering large scale ML/NLP models and systems that result in substantial positive impact to customers across multiple organizations (7+ years)       Have a track record of building teams that consistently deliver results and investing in the learning and growth of the people you lead       Are a creative and strategic thinker with a change agent mindset who enjoys identifying business problems with the highest impact for customers and designing end-to-end ML/NLP models and systems to address them       Have a “get stuff done” attitude and enjoy being hands-on and working alongside the team to solve its most pressing problems in a fast-paced, collaborative environment       Are a skilled technical influencer with a track record of successfully influencing product direction through a strong perspective that motivates engineers to develop simple, pragmatic solutions to complex problems       Are an expert communicator with clear and concise, active listening and empathy skills, and a respectful, collaborative approach that earns the trust of your peers       Are a strong source of ML/NLP engineering and software engineering talent and are comfortable closing applicants for your team                     Benefits:  PTO, Healthcare, and More!                 Base Salary Range:  $140,000 to $200,000              ",30+ days ago,
https://www.indeed.com/viewjob?jk=23ce7c0c1853aabe&from=web&vjs=3,20,Machine Learning Scientist,AlignTech,"Morrisville, NC 27560","Join a team that is changing millions of lives.  Transforming smiles, changing lives At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible. Ready to join us? About this opportunity Align Technology Inc. is looking for a talented  Machine Learning Scientist  to join our team in  Morrisville, NC . The Machine Learning Scientist will help revolutionize our products by using our existing database of medical data to build services that improve treatment plans and doctor and patient experiences with Invisalign The candidate will help to define the effort to leverage artificial intelligence and machine learning to improve treatment planning, assessment, and medical device performance. The candidate will contribute to projects from inception to execution. In this role, you will… Use data science and machine learning to solve complex, multidisciplinary challenges in applied research and turn technology know-how into execution in a dynamic business environment Develop algorithms and models in collaboration with business partners, product managers, and software engineers to solve key business initiatives Design and implement machine learning techniques to improve treatment planning, customer engagement, and device manufacturing based on historical data Collaborate effectively with other data science teams globally to ensure technology re-use and transfer of new capabilities to drive innovation Quickly learn and assimilate new business processes, ideas and concepts to formulate conclusions and deliver results. Identify features and data needed for machine learning solutions. Help to deliver a vision for our product evolution using machine learning Stay current on the emerging directions in AI-technologies and support the development of the AI/ML roadmap Stay current on specific AI-technologies and apply them in an appropriate manner to applicable projects In this role, you’ll need … 5+ years of machine learning, artificial intelligence, statistical science or other related practice (including graduate work) Masters degree or higher in Computer Science, Statistics, Machine Learning, Statistical Data Modeling or related field. Knowledge of machine learning theory and practice. 2+ years in a rapid prototyping environment such as R or Python, or in C / C++. A ""can do"" proactive attitude, high energy, and creativity are required along with excellent organizational skills and the ability to multi-task Strong interpersonal, oral, written, and visual communication skills, with ability to present findings concisely and effectively. Ability to collaborate effectively with developers, program management, and internal customers on objectives, requirements and design constraints in a distributed development environment. Able to solve complex, multidisciplinary challenges in applied research and turn technology know-how into execution in a dynamic business environment Quickly learn and assimilate new business processes, ideas and concepts to formulate conclusions and deliver results. Actively pursues opportunities for learning and self-development. Understands span of control to escalate or delegate issues to appropriate levels. Ability to excel in dynamic, fast-paced environment Nice to Have: Experience in developing software in an Agile SDLC Proven ability to translate insights into business recommendations Experience in collaborative work with users and other technical teams Experience in collecting requirements, describing software product features, technical designing, and building product strategies. Strong background in Computer Vision, Pattern Matching, or Medical Applications. Sound like a good fit? Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network. About Align Align Technology is a publicly traded medical device company that is  transforming smiles and changing lives . Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials. By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work. We respect your privacy. Please review our  Applicant Privacy Policies   for additional information. Global Diversity Statement: At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. Equal Opportunity Statement It is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.",30+ days ago,133 reviews
https://www.indeed.com/viewjob?jk=ba0854b431d348ce&from=web&vjs=3,20,Senior Machine Learning Engineer - NLP (Remote),BenchSci,"Raleigh, NC","             BenchSci’s vision is to bring novel medicine to patients 50% faster by 2025. We’re achieving it by empowering scientists with the world’s most advanced biomedical artificial intelligence. Backed by F-Prime, Gradient Ventures (Google’s AI fund), and Inovia Capital, our platform accelerates science at 15 top-20 pharmaceutical companies and over 4,300 leading research centers worldwide. We’re a remote-first company recognized for our impact and culture as a Deloitte Tech Fast 50TM, CIX Top 10 Growth, Great Place to Work®, and top-ranked organization on Glassdoor. Learn more at www.benchsci.com.                  We are seeking a      Senior Machine Learning Engineer - NLP  to join our growing      R&D  team! You will work on complex and challenging NLP problems that will have an impact on the 41,000+ scientists across the world who rely on BenchSci for their research.                  Reporting to the Engineering Manager, R&D, you’ll apply your domain expertise to design and build advanced machine learning algorithms, collaborate with data engineers to build benchmarking and data preparation pipelines, and work with core infrastructure engineers to deploy and monitor your models in our production system. In this role, you will have the opportunity to apply state-of-the-art solutions that will shape the future of scientific discovery.                    You will:             Design, build, evaluate and deploy robust, scalable, and production-ready ML models that enhance the speed and quality of life-saving research  Collaborate with data and core infrastructure engineers to solve the complex problems of extracting insights from biomedical text data  Continuously improve our machine learning workflow by keeping up to date with the latest optimizations in libraries such as PyTorch, and expand our usage of modern tools such as DVC  Drive design discussions, apply best practices, diagnose problems and lead the resolution  Own the solutions and long-term technical investments that will drive innovation at BenchSci  Work cross-functionally with different stakeholders including BenchSci's R&D scientists and Chief Science Officer to learn, model, and capture the nuances of biology  Participate and contribute to sprint planning, estimation, and design/code reviews  Provide guidance to less experienced engineers and help to foster a culture of continuous growth  Establish and apply best industry practices                          You have:             4+ years of experience working as a professional developer or researcher applying machine learning techniques to solve business problems  Strong experience with Python and programming fundamentals  Extensive experience with NLP and PyTorch  Experience with designing, building, and evaluating robust and scalable production-ready ML models  Experience with complex problem solving and an eye for details such as scalability and performance of a potential solution  Experience with data manipulation and processing, such as SQL or pandas  A growth mindset and a constant desire to learn  Strong cross-team communication and collaboration skills                          Nice to haves, but not mandatory qualifications:             Research publications in ML/AI-related fields  Experience working with cloud environments and services  Experience with computer vision  A degree in Computer Science, Mathematics, or other closely-related disciplines                          What BenchSci will provide you with:             Remote first culture to allow you to work from your preferred location  On-site Ph.D. scientists that give expert feedback on models  Fresh datasets that are custom curated and constantly updated  One-on-one coaching and investment in your personal and professional growth  Empowerment to own your solutions                             Benefits and Perks:              An engaging remote-first culture that hires the best talent from around the world             A competitive compensation package that includes BenchSci equity options             Comprehensive health and dental benefits with an emphasis on mental health             An annual Executive Health Assessment at Medcan for proactive health awareness             Three weeks of vacation plus an additional day for every completed year             A $2000 Annual Learning & Development budget             Generous parental leave benefits with a top-up plan or paid time off options             Additional time-off: 2 weeks for Winter Holiday, every other Friday in July and August, your birthday, and more!             A $1000 work from home allowance to make your home setup perfect for you             An Oculus Quest 2 to connect with your team members in Virtual Reality             An executive coach for managers to assist in leading high-performing teams             Complimentary Headspace account to support mental wellness and focus             Complimentary genome sequencing from 23andMe to better understand your health through your DNA                  Our Culture:              We believe culture is critical to success and invest accordingly. We live and promote our FASTT values of focus, advancement with speed, tenacity, and transparency. We work hard to maintain an engaging, supportive environment where everyone can do their best work. To learn more, read our culture deck.                  Diversity, Equity, and Inclusion:              We're committed to creating an inclusive environment where people from all backgrounds can thrive. We believe that improving diversity, equity and inclusion is our collective responsibility, and this belief guides our DEI journey. To learn more, read about our DEI initiatives.                  Accessibility Accommodations:              BenchSci provides accessibility accommodations during the recruitment process. Should you require any accommodation, we will work with you to meet your needs.                  #LI-Remote         ",Just posted,
https://www.indeed.com/viewjob?jk=555a00ed8e818b56&from=web&vjs=3,20,DATA SCIENTIST,Durham County,"Durham, NC 27701","     Durham County Government employs approximately 1,900 employees that work towards providing needed services throughout the community. With a wide array of services, Durham County Government is at the heart of a rapidly growing and diverse area offering residents, employees and visitors exciting opportunities to live, work, grow and play.                 DEPARTMENT:        Fire Marshal/Emergency Mgmt               DATE POSTED :        July 12, 2021               CLOSING DATE :        Open until filled               SALARY MIN:        $65,072.00               SALARY MAX:       $117,129.00               POSITION NUMBER:        40008281               JOB TYPE:       Full-Time               GENERAL DESCRIPTION        This position will be responsible for supporting multiple divisions in their data needs and will be essential to the implementation of EPIC. This position is essential in response to data gathering and community reporting during emergency and outbreak situations.        DUTIES AND RESPONSIBILITIES            Creates Machine Learning Algorithms, Deep Learning models and NLP pipelines.      Updates existing dashboards, clean databases and gathers data.      Produces production level code to run complex analysis for predictive analytics.      Manages and produces maps via ArcGIS online and ArcGIS Pro.      Presents data findings and recommendations to leadership and provides rationale to analysis and next steps.      Generates and develops complex SQL to extract and consolidate data from disparate databases.      Validates statistics, linear algebra, and regression models.      Creates and cleans complex datasets into usable and actionable dashboards.      Codes applications to be used by management.           KNOWLEDGE, SKILLS, AND ABILITES            Ability to work with large and complex data sets.      Thorough knowledge and experience creating Machine Learning Algorithms, Deep Learning models and NLP pipelines.      Thorough knowledge and experience creating and updating existing dashboards, cleaning databases and gathering data.      Ability to write a production-level code to run complex analysis for predictive analytics.      Thorough knowledge of managing and producing maps via ArcGIS online and ArcGIS Pro.      Thorough knowledge of generating and developing complex SQL to extract and consolidate data from disparate databases.           MINIMUM EDUCATION AND EXPERIENCE REQUIREMENTS        Requires a Master’s Degree in Data Science, Computer Science, Information Technology, Programming or related fields with a minimum of three years of experience working with large, complex data sets, cleaning data, creating data dashboards and visualization; or possession of any equivalent combination of education, training, and experience which provides the requisite knowledge, skills, and abilities.        Durham County Government is an Equal Opportunity Employer   ",30+ days ago,113 reviews
https://www.indeed.com/viewjob?jk=349e4d544febcd47&from=web&vjs=3,20,Data Scientist,Lowe's,"Charlotte, NC 28202","         Job Summary :    The primary purpose of this role is to provide advanced analytical capabilities to support data science initiatives. This position gains experience in various areas including, but not limited to: predictive modeling; personalization and recommendation algorithms; natural language processing and text mining; search recall, precision, ranking, and related problems; optimization and mathematical programming with applications in labor scheduling, inventory and capacity planning, network flows, and supply chain optimization.                    Key Responsibilities      :                   Mines and extracts data and applies statistics and algorithms necessary to derive insights for Lowe's and Lowe's Digital        Supports the generation of an automated insights generation framework for Lowe's business partners to effectively interpret data        Provides actionable insights through data science on Personalization, Search & Navigation, SEO & Promotions, Supply Chain, Services, other company priorities, etc.        Tracks success of Lowe's through the development of dashboard reports that measure financial results, customer satisfaction, and engagement metrics        Conducts deep statistical analysis, including predictive and prescriptive modeling in order to provide a competitive advantage at Lowe's        Maintains expert-level knowledge on industry trends, emerging technologies, and new methodologies and applies it to projects as well as using it to guide team members        Serves as a leading member on automation and analytical projects, collaborating across functions in Lowe's and Lowe's Digital         Works with more senior level scientists on the team to translate requirements into an analytical approach; asks the right questions to understand the problem         Contributes to, or builds the analytic approach to solving a business problem; helps identify the sources, methods, parameters, and procedures to be used; may also communicate with stakeholders on project scope and timelines         Gathers and assimilates data according to the project plan; works with the team to discuss analysis and findings         Prepares final recommendations, ensuring solutions are implementable in the business         Executes plan for measuring impact based on discussions with stakeholders, partners and senior team members         Executes projects with full adherence to enterprise project management practices by participating in formal and informal training        Maintains knowledge of techniques, technology, industry trends, best practices, and emerging methodologies                             Minimum Qualifications      :                   Bachelor's degree in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field AND 2 years of experience in analytics AND 1 year of programming experience (Python, Java, Scala, Rust, etc.)            OR                   Master's degree in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field AND 1 year of experience in analytics            OR                   Ph.D. in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field            ALSO                    Knowledge of SQL and various statistical modeling or machine learning techniques                             Preferred Qualifications      :                   Master's degree in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field        Experience in performing predictive analytics in a large scale enterprise        2 years of experience in data science or advanced analytics in industry        SQL experience        Programming experience (Python, Java, Scala, Rust, etc.)        Experience using multiple data systems and sources (such as Hadoop, Spark, Aster, Teradata, etc.)                        About Lowe’s:    Lowe’s Companies, Inc. (NYSE: LOW) is a FORTUNE® 50 home improvement company serving approximately 19 million customer transactions a week in the United States and Canada. With fiscal year 2021 sales of over $96 billion, Lowe’s and its related businesses operate or service nearly 2,200 home improvement and hardware stores and employ over 300,000 associates. Based in Mooresville, N.C., Lowe’s supports the communities it serves through programs focused on creating safe, affordable housing and helping to develop the next generation of skilled trade experts. For more information, visit Lowes.com.        EEO Statement  Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.  ",2 days ago,"47,970 reviews"
https://www.indeed.com/viewjob?jk=2c00fa2283725efc&from=web&vjs=3,20,Senior Data Scientist,AgBiome,"Research Triangle Park, NC 27709","Senior Data Scientist  Are you looking for an exciting and collaborative environment where you can apply your data science skills to help feed the world responsibly?  We are looking for a Senior Data Scientist to join our cross-disciplinary data science team where we enable innovative discoveries for biological products.  In this role, you will fuel the evolution of AgBiome’s data science capabilities to help power our proprietary research engine. As a data science thought leader you will help shape the design and delivery of novel big data analytics, modeling and cloud computing. You will work closely with scientists from different backgrounds and have the opportunity to develop and grow your own knowledge base through collaboration and hands-on project work.  Responsibilities:  Influence the technical strategy for enhancing and expanding our data science capabilities  Drive novel insights from large and complex data sets by developing and applying cutting-edge data wrangling and analytics capabilities  Build, validate and implement predictive models to address key scientific and business questions in partnership with project teams  Promote the successful leverage of data science outputs through visualization, storytelling and two-way dialogue  Drive development of a forward-looking data generation strategy, including quality experimental design, robust training datasets, and best practices  Work proactively with research teams to enhance the interactive feedback between data generation and analytics cycles  Work with data science lead to develop meaningful metrics to drive continuous improvement and technical excellence  Be a data science thought leader who proactively partners internally and externally to incorporate cutting edge capabilities, promote growth and development of our data scientists, and drive adoption of data science best practices  Qualifications:  Multiple years of proven hands-on experience solving complex real-world problems with data science approaches  Demonstrated knowledge and experience in predictive modeling analytics, including one or more of machine learning, mathematical modeling and statistical modeling  Demonstrated experience with the end-to-end modeling process, including ideation, hypothesis generation, modeling building, calibration, validation and application  Proven experience partnering effectively in teams  Excellent communication skills and a passion for cross-disciplinary collaboration  Technical proficiencies:  Fluency and strong data science coding skills in programming languages such as Python, R or Matlab  Experience with Github (preferable) or other code management and version control technologies  Experience with AWS or other cloud-based computing is preferred  Visualization experience (such as Tableau, Shiny, PowerBI, Quicksight, Plotly/Dash) is a plus  Solid understanding of data science best practices and their implementation  Curiosity, love of learning and a passion for solving complex problems  Masters degree or PhD in a quantitative sciences discipline  Postgraduate hands-on data science experience is strongly preferred  Curiosity, love of learning and a passion for solving complex problems   No third-party agencies; principals only. COVID vaccine required, and we are currently not providing sponsorship.",11 days ago,2 reviews
https://www.indeed.com/viewjob?jk=c27f5c525719fccd&from=web&vjs=3,30,"AI/ML - Machine Learning Researcher, MLR",Apple,"Raleigh, NC 27612","                    Summary                      Posted: Apr 19, 2022                      Weekly Hours:         40                       Role Number:        200358385                           Imagine technology that does what people want, when people want, and how people want. Imagine that same technology doing this uniquely for each of the millions of users of Apple products, making it feel like the experience was built just for them. Play a part in building groundbreaking technology, revolutionizing human-computer interaction, and changing the way that people interact with AI technologies. Machine Learning Research is looking for passionate researchers with expertise in aligning AI behaviors with human preferences, especially in the context of learning reward functions for reinforcement learning agents.                                                    Key Qualifications                                           Demonstrated expertise in reinforcement learning with a passion for human-in-the-loop RL.            Strong publication record in relevant conferences (e.g., NeurIPS, ICML, ICLR, IJCAI, AAAI, CoRL, HRI).            Good programming skills in Python.            Hands-on experience working with deep learning toolkits such as Tensorflow, PyTorch, or Keras.            Strong mathematical skills in linear algebra and statistics            Ability to formulate a research problem, design, experiment, and implement solutions.            Ability to work in a collaborative environment.                                                                       Description                                You should be passionate about building extraordinary products in collaboration with teams across Apple, whilst exploring innovative ideas in machine learning to transform the product experience of Apple’s customers. You should be inspired by a fast-paced environment that is driven by research ideas, publication deadlines, and product impact. You will help to identify gaps in the research field, define your personal research agenda that aligns with the broader team, and develop innovative machine learning strategies for challenging problems that will affect current and future Apple products. You will provide technical mentorship and guidance, prepare technical reports, papers for publication, and conference talks. You have the ability to work both independently and in collaboration with partner teams. You will be responsible for delivering machine learning technologies aligned with the core values of Apple, ensuring the highest standards of quality, scientific rigor, innovation, and respect for user privacy.                                                             Education & Experience                                PhD, or equivalent practical experience, in Computer Science, or related technical field.                                                             Additional Requirements                              ",30+ days ago,"10,876 reviews"
https://www.indeed.com/viewjob?jk=de64d52402b7ce17&from=web&vjs=3,30,"Machine Learning Engineer, Alexa AI - Conversational Experiences - Suggested Hints and Q&A",Amazon.com Services LLC,"Charlotte, NC","         1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.      2+ years of non-internship professional software development experience      Programming experience with at least one software programming language.               2+ years of non-internship professional software development experience     Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design     1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.     Experience in ML as listed in preferred qualifications          Job summary Do you have experience working with or building information retrieval, search or question answering systems? Are you passionate about functional and operational performance? Do you want a chance to use cutting-edge tools, technologies and work in close collaboration with machine learning scientist to deliver value to millions of customers? Amazon is looking for a Machine Learning Engineer for initiatives within Alexa Web Info which is part of our ongoing Alexa Information efforts focused on reinventing information extraction and retrieval for a voice-forward, multi-modal future. You will have an opportunity to directly impact the customer experience, design, architecture, and implementation of products that will be used every day by people you know. We're looking for someone passionate about innovating on behalf of customers, who demonstrates strong product ownership and is willing to think in new ways to solve difficult problems. Job responsibilities include: · Collaborate closely with applied scientists on machine learning operations tasks ranging from ML data management to training and deployment of ML models. This work will be primarily based on Python and a distributed computing framework (e.g. Spark). · Develop data collections, labeling pipelines and evaluation pipelines. Research and develop machine learning models for text training resources. · Design and build text-based storage and indexing systems in a large distributed computing environment and ensure these systems are scalable, fault-tolerant, low cost, and easy to manage/use, etc. About the team Alexa AI aims to reinvent search and information retrieval for a voice-forward, multi-modal future. We enable customers to interact with unstructured and semi-structured content via a broad range of customer experiences including question answering, summarization, search, and multi-turn dialogues. NOTE: This role is also available in Seattle, bay area, NYC, Austin, LA and Canada.    An ideal candidate will have experience or have demonstrated expertise in some of the following: · MS or PhD in Computer Science or equivalent experience in ML · ML data management (collect, store, manage data), creating training datasets (data labeling, feature engineering, data partitioning, sampling and slicing), building and training machine learning infrastructure, model deployment (inference constraints, model compression, server and client side ML, employment evaluation), ML infrastructure monitoring and maintenance, familiarity with architectural choices for ML systems. · Prior experience with using or maintaining a NoSQL database (e.g. MongoDB) is a plus. · Prior programming experience and expertise in Python (and basic ML libraries such as numpy, scipy) and a distributed computing framework (e.g. Spark) is a plus. · Experience managing and running Mturk experiments · Adept at handling ambiguous or undefined problems · Prior experience working in collaboration with ML/data scientists Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",30+ days ago,"81,494 reviews"
https://www.indeed.com/viewjob?jk=2ce32265ee8284f8&from=web&vjs=3,30,Machine Learning- AI Engineer/Scientist,Vadum,"Raleigh, NC 27606","Vadum is seeking a Signal Processing Engineer/Scientist to develop machine learning and complex signal processing algorithms. The individual should be capable of playing a key role in a variety of machine learning and algorithm development for next-generation applications; in radar, communications, and electronic warfare.  Responsibilities:   Participate in the development of innovative detection, estimation and classification algorithms and techniques for advanced applications.  Develop signal processing algorithms, waveforms and techniques that exploit and optimize radar, radio and EW architectures that take advantage of advanced radio frequency and processing technology.  Perform concept and performance trade studies and demonstrate developed capabilities for streaming data applications.  Develop prototype, and test sensor models and signal processing algorithms in detailed high-fidelity simulations written in C/C++, and MATLAB.  Operate with broad direction and minimal supervision.  Interact with customers and development partners.   Requirements:   Excellent oral and written communication skills, must be able to communicate and document, prepare and give briefings to Program managers.  Develop and prototype algorithms.  Knowledge of programming languages (such as C/C++, MATLAB, Python, Simulink).  Ability to contribute in a team environment to develop creative solutions to technical challenges.  Coursework and/or experience with digital signal processing, probability theory, stochastic signal processing and machine learning.   Knowledge of any of the following desired:   Electronic Warfare systems.  Radar, waveforms, radar signal processing.  Communication Simulators, Communications Jamming.  Wireless communication systems.  Knowledge of Kalman filtering, CNN, Random Forest, Support Vector Machine, Adaptive Neural Networks, Belief Propagation, other machine learning algorithms.   Education required:  BS or above in Engineering, Physics or Mathematics or related  Eligibility:   This position requires a Dept. of Defense security clearance and is therefore open only to:   United States Citizens   The Department of Defense handles and adjudicates the security clearance process; there are no costs for the applicant. Security clearance factors include allegiance to the US, foreign influence, foreign preference, criminal conduct, security violations and drug involvement.   Apply Here",30+ days ago,
