URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=36c1c7d3ec1c91e4&from=web&vjs=3,10,Data Scientist - Customer Analytics,Change Healthcare,Nebraska,"     Data Scientist, Customer Analytics        POSITION SUMMARY        The Data Scientist, Customer Analytics is responsible for strategic interpretation of data and business requirements to provide executive leadership and customer operations with customer centric data driven insights and data solutions. Working in collaboration with the VP, Customer Insights & Operations and the Sr. Manager, Customer Analytics, this role works to identify new business requirements across the organization, translate business requirements into data models, perform data engineering to combine diverse data sets, and develop custom algorithms for predictive models for the business.        KEY RESPONSIBILITIES        Business and data requirements     15%     Data engineering     30%     Data modeling, machine learning and AI     45%     Data product support and refinement     10%        RESPONSIBILITIES            Work with key business stakeholders to develop business solutions based on data driven insights      Lead projects that combine diverse customer data sets to identify trends, develop custom machine learning models, and provide recommendations to optimize the business and address data-related problems      Coordinate with different functional teams to improve customer data architecture, ensure accuracy of model output and implement new data gathering processes      Create customized summaries, business presentations and documentation for internal business clients based on the results of research           MINIMUM JOB Qualifications        Education / Training:         4-year degree (Bachelors or Masters) in any of: science, computer science, statistics, mathematics, physics, engineering, machine learning, or equivalent experience           Business Experience:         2+ years of experience using data analysis and machine learning to generate data driven insights and development of data solutions for business partners      Experience with relational and dimensional data modeling, data engineering, and leveraging business intelligence technology to drive business impact      Ability to work on multiple projects across functional teams           Specialized Knowledge / Skills:         2+ years of programming experience in Python, R, or SAS to manipulate data and draw insights from large data sets      2+ years of experience in a variety of machine learning techniques including natural language processing algorithms, classification and clustering, time-series forecasting and predictive/prescriptive modeling      Excellent knowledge of statistical techniques and concepts      Strong written and verbal communication, and people skills to interact with all levels of management, business partners, internal clients, technology team members, and vendors           Working Conditions:         Office environment or remote      Travel up to 10% of the time           #li-remote     Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system!        COVID Vaccination Requirements        We remain committed to doing our part to ensure the health, safety, and well-being of our team members and our communities. As such, we require all employees to disclose COVID-19 vaccination status prior to beginning employment and we may require periodic testing for certain roles. In addition, some roles require full COVID-19 vaccination as an essential job function. Change Healthcare adheres to COVID-19 vaccination regulations as well as all client COVID-19 vaccination requirements and will obtain the necessary information from candidates prior to employment to ensure compliance.        Equal Opportunity/Affirmative Action Statement         Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read  EEO is the Law  at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf.        If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted.        Click here https://www.dol.gov/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf to view our pay transparency nondiscrimination policy.        California (US) Residents: By submitting an application to Change Healthcare for consideration of any employment opportunity, you acknowledge that you have read and understood Change Healthcare’s Privacy Notice to California Job Applicants Regarding the Collection of Personal Information.        Change Healthcare maintains a drug free workplace and conducts pre-employment drug-testing, where applicable, in accordance with federal, state and local laws.     ",4 days ago,"1,303 reviews"
https://www.indeed.com/viewjob?jk=dcda6817a1e02592&from=web&vjs=3,10,Full Stack Engineer- REMOTE,First National Bank of Omaha,"Omaha, NE","At FNBO, our employees are the heart of our story—and we’re committed to their success! Please see below the details of this career opportunity and how it fits into our organization’s success. The New Stockyard Group (NSG) is building a platform and ecosystem that levels the playing field across the beef supply chain—through leveraging cutting edge AI and blockchain technology, cattle can be digitally identified and tracked through all avenues of the chain. We are looking for an experienced full stack engineer who can build and own parts of the tech pipeline that will increase Ag producers’ access to future markets. You will spearhead prototyping, execution, and maintenance of critical company services while having a voice in the direction of the company. Reports directly to the Director of the NSG and works closely with the technical and product development teams to create experiences that provide lasting impacts to the beef supply chain. Key roles and responsibilities: Develop a strong understanding of our core product, the problem it’s solving and our customer base. Lead the development, deployment and maintenance of the Cattle ID application. Collaborate frequently with product management, developers, and the leadership team to create solutions that solve real world problems. Establish and maintain technology standards. Evaluate new tools and techniques that support the growth of the company. Stay up to date with new trends and technologies across cloud computing, mobile development, machine learning and security. Assist in hiring and training for new software engineers. Skills and Technologies Required: Ability to thrive and glide between a diverse set of projects in a fast-paced environment Excited about the prospect of tackling and deploying seemingly-impossible problems Passionate about providing equitable data access Experience with Flask, Express or similar web framework (API design is a plus) Experience with React and/or React Native (Expo Managed+Bare workflow is a plus) Strong communicator Cloud platform experience (preferably AWS) is a plus Bonus for familiarity with machine learning and/or blockchain Benefits: Flat organization structure Unlimited PTO and flexible scheduling Employer sponsored health care and 401k matching Connect as a team at our Downtown Omaha, NE HQ. This position provides a flexible remote work environment with in person collaboration opportunities. What is the NSG? The NSG is a consortium of Ag, financial, technology, and strategic partners working together to increase Ag producers’ access to future Ag markets. At FNBO, the NSG is building products that leverage AI and blockchain technology to solve real-world problems, ensuring agriculture producers maintain continued access to traditional markets while evolving to create new market opportunities. What is Cattle ID? Cattle ID is a blockchain-based system that identifies individual animals using facial-recognition technology and tracks their movement through the supply chain. It is currently deployed as a cross-platform React-native application. Ask us about getting an invite! Equity, Diversity, & Inclusion: FNBO is committed to belonging, inclusion, diversity and equity. We are committed to intentionally and proactively creating pathways to success for historically underrepresented populations. To accomplish this, we foster a culture of belonging and inclusion so that every employee is valued, and has opportunity and the ability to make an impact. FNBO strives to reflect the diversity of the communities we serve in the makeup of our workforce. See the full  FNBO Equity, Diversity, & Inclusion Statement  here All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.",12 days ago,229 reviews
https://www.indeed.com/viewjob?jk=a502c5b15bb7d3c2&from=web&vjs=3,10,Data Scientist,CSG,Nebraska,"       CSG is a leader in innovative customer engagement, revenue management, and payments solutions that make ordinary customer experiences extraordinary.  As a flexible first organization, you can find our remote and on-site locations here.        Summary:     CSG’s Enterprise Public Cloud Practice is looking for a Data Scientist to join our Cloud FinOps Team. In this role you will use various data sets to find opportunities for cost, product, and process optimization. This role involves creating and using models to test the effectiveness of different courses of action. You will need to be passionate about using data to drive business outcomes. Join us as we continue the transformational work of building out CSG’s Cloud Practice.        Your primary responsibility will be using a variety of data mining/data analysis methods, using a variety of data tools, building, and implementing models, using/creating algorithms, and creating/running simulations. The outcomes of your work will inform the Cloud Financial Analysts and technical teams on spend efficiencies and optimization. The outcomes of your work will assist in building CSG’s future.        What you will be doing:         You will be working with the FinOps team, technical teams, and stakeholders throughout the business to solve cloud costing efficiencies with data informed decisions.      You will mine and analyze data from company databases, AWS/Azure datasets to drive optimization and improvement.      You will assess the effectiveness and accuracy of new data sources and data gathering techniques.      You will develop custom data models and algorithms to apply to data sets.      You will develop company A/B testing framework and test model quality.      You will coordinate with different functional teams to implement models and monitor outcomes.      You will develop processes and tools to monitor and analyze model performance and data accuracy.      You will use your strong technical aptitude and the people on your team to help gather and interpret requirements, create models, and develop timelines, manage execution, and communicate progress.           Requirements:         Bachelor’s Degree in Computer Science or IT related field or equivalent work experience.      Experience with statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.      Experience working with and creating data architectures      Experience with modern software development methodologies and techniques.      Research shows that candidates from underrepresented backgrounds often don't apply for roles if they don't meet all the criteria. We strongly encourage you to apply if you’re interested.           #LI-Remote     #LI-CA1        Benefits:     CSG is proud to offer employee-focused benefits that are robust in design and support a wide spectrum of employee well-being needs. Included in our benefits package is your choice of 3 medical plans administered by United HealthCare, MetLife dental, and vision coverage. CSG also offers an Incentive Savings Plan (401k), serviced by Fidelity Investments. CSG makes a dollar-for-dollar Matching Contribution based on the first 5.5% of your eligible pay you contribute as Pre-Tax or Roth After-Tax Contributions. All contributions are immediately 100% vested. At CSG, we recognize the ability to take time away to recharge is important. We offer a US Tiered Vacation Plan for non-exempt (hourly) roles, and a Flexible Vacation plan for all exempt (salaried) employees. For more benefit details, please view: https://online.flippingbook.com/view/854641217/ .        This role is eligible for a bonus opportunity.   ",16 days ago,59 reviews
https://www.indeed.com/viewjob?jk=093853db02e56bc2&from=web&vjs=3,10,Junior Software Developer,Omni Federal,"Offutt AFB, NE","                             Location: Offutt AFB, Bellevue NE         Security Clearance: Active Top Secret                Omni Federal  is a small business focused on modern application development, cloud, and data analytics for the Federal government. Our past performance is a mix of commercial and federal business that allows us to leverage the latest commercial technologies and processes and adapt them to the Federal government. Omni Federal designs, builds and operates data-rich applications leveraging advanced data modeling, machine learning and data visualization techniques to empower our customers to make better data-driven decisions.                We are seeking strong  Junior Software Developer  to support our DoD Customer at Offutt AFB. This is an exciting new initiative where our Customer   is mirroring Silicon Valley processes and capabilities to quickly deploy new capabilities. Candidates must be passionate, energized, and excited to work on modern architectures and solve challenging problems for our clients.                                                Required Skills                                           Position Description (what you will do)                 Develop, create, and modify general computer applications software or specialized utility programs.          Analyze user needs and develop software solutions.          Design software or customize software for client use with the aim of optimizing operational efficiency.          May analyze and design databases within an application area, working individually or coordinating database development as part of a team.          May supervise computer programmers.          Applies fundamental concepts, processes, practices, and procedures on technical assignments.          Performs work that requires practical experience and training. Work is performed under supervision                       Requirements :                 Bachelors Degree          1-3 years of experience          Required Skills include SQL, DDL, HTML, JAVA, JAVASCRIPT, SCRIPT, CSS, AND XMLSCOPE                                                       Desired Skills                                                About Omni Federal                                           Omni Federal   is a small business Defense Contractor focused on modern application development & deployment, cloud enablement, data analytics and DevSecOps services for the Federal government. Our past performance is a mix of commercial and federal business that allows us to leverage the latest commercial technologies and processes and adapt them to the Federal government. Omni Federal designs, builds and operates data-rich applications leveraging advanced data modeling, machine learning and data visualization techniques to empower our customers to make better data-driven decisions. We are on the forefront of Modernization and Automation, and are providing our Customers the option through our services to help them get to where they want to be, and ultimately the end-user.                     ",30+ days ago,
https://www.indeed.com/viewjob?jk=f4ac8616b2bcd52b&from=web&vjs=3,10,Data Scientist,OTC Direct Inc,"Omaha, NE 68127","       Data Scientist  Join us as part of the Berkshire Hathaway family of companies and work with an elite team of Marketing professionals optimizing customer acquisition and retention through advanced practices including         Estimated Lifetime Value modeling      Promotion and Product propensities      Advanced search optimization      Cloud-based, integrated marketing tech stack applications with Facebook, Google, TikTok Connected TV and others        The Data Scientist solves complex problems by working with large amounts of data to produce insight into complex organizational problems. You will work with customer data, purchase, order, and sales data, as well as data from media platforms including Facebook, TikTok, Google, email and print data. You will assist in prescribing media spend against customer segments across a wide range of media channels and customer types.     Our company is located in Omaha, NE but  this position can work remote  from Nebraska, Minnesota, or South Carolina.     In this role you will...         Retrieves data using SQL within the Netezza framework and quality-checks the data prior to analysis. Identifies data types (transactional, text, clickstream, etc.) and volume of data      Preps incoming data for use by Data Scientists Optimizes code to make ongoing data retrieval as quick as possible      Modifies basic R, SAS, or Python code, developed by Data Scientists, for broader application within the team Works with stakeholders to identify requirements and expected outcomes, and works with subject-matter-experts to retrieve relevant information in order to solve business challenges      Interprets model output produced by Data Scientists and helps to communicate findings and applications to the organization      Validates findings by comparing to existing body of research. Helps identify weaknesses in current research Tracks and monitors decision-making progress      Identifies KPIs related to the decision-making process such as the current iteration of knowledge-discovery and level of uncertainty in the target outcomes      Displays KPIs in a dashboard format to facilitate communication with the organization      Abide by all policies and procedures of Oriental Trading Company.      Maintain regular, predictable attendance            Here is what you need to join the FUN...          Knowledge, Skills, and Abilities               SQL fluency required      Basic understanding of linear modeling, clustering, and classification preferred      Strong communication skills required      Experience with a large (multi-million) customer base preferred                Education               Bachelor's degree in a quantitative field, such as Statistics, Mathematics, Finance, Economics, Management Information Systems, or related field required                Experience               Three years of reporting/analytics required      Familiarity with Tableau or equivalent preferred                Other Qualifications and Physical Requirements               Understanding of data measurement and data structures preferred      Ability to receive and contribute constructive criticism in a highly professional manner            To apply in less than ten minutes click the “Apply” button or view a complete list of our current openings at http://www.myotccareer.com     All work and no play just isn’t our style. Join us today!     Oriental Trading Company  (a Berkshire Hathaway company) is the nation’s largest direct retailer of value-priced party supplies, arts and crafts, toys and novelties, and a leading provider of teaching supplies and affordable home décor and giftware. Founded in 1932 by a Japanese American, the Oriental Trading' history of fun spans the better part of the last century. Today, Oriental Trading offers more than 60,000 products to individuals, teachers, schools, churches, businesses and nonprofits. With a corporate vision to “Make Life More Fun,” Oriental Trading spreads joy and smiles to millions each year through a robust family of brands; orientaltrading.com, Fun Express, MindWare, SmileMakers, Morris Costumes and halloweenexpress.com.     EOE     ",30+ days ago,
https://www.indeed.com/viewjob?jk=bbd54e0e7ce2b82f&from=web&vjs=3,10,Data Scientist,S&P Global,"Bennington, NE 68007","  Segment:  Market Intelligence     The Role:  Data Scientist III     Location:  Boston or Remote, EST Time Zone   GL: 10 (for internal use only)      At S&P Global Market Intelligence, we hire talented people and give them the autonomy and support needed to build amazing technology and products. To do this, we look for people who insist on a bias towards action and encourage open, honest, and efficient collaborations. We dedicate time and resources to explore new ideas and, as a result, we produce technology that is scalable, robust, and useful.      The Team   You will be part of a rapidly growing organization, joining the team of highly motivated and professional Data Scientists and Machine Learning Engineers within the S&P Global Market Intelligence Data Science Team.      The Impact   Market Intelligence provides financial and industry data, research, news and analytics to investment professionals, government agencies, corporations, and universities worldwide. We integrate news, comprehensive market and sector-specific data and analytics into a variety of tools to help clients track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuations, and assess credit risk. Given the incredible scope of MI’s offerings, we are tackling many complex and exciting problems including but not limited to NLP, time series modeling, record linkage, recommendation systems, anomaly detection, and graph theory.        What You’ll Do:    Collaborate with a variety of stakeholders across the data, product, commercial, and technology organizations and cross divisionally   Conduct original research on some of the most interesting datasets - both proprietary and open source   Identify, research, prototype, and build predictive products   Analyze, transform, structure, and crunch financial data that is growing in size, diversity, and complexity   Write production-ready code and collaborate with machine learning engineers to deploy ML models        What We're Looking For:    Advanced degree in Computer Science, Math, Statistics, Engineering, or related quantitative field   3+ years of experience in data analysis or similar role   Proficiency in Python   Experience with advanced machine learning, natural language processing, and statistics models   Strong statistical knowledge and intuition, especially for applying analysis to real data   Strong communications skills   Strong interest in capital market & economics theory        How to Get Our Attention:          Your GitHub/Kaggle profile shows a project or problems you’ve tackled     You have relevant research or publications     You’ve demonstrated success in academic or industry as a key individual contributor.       Compensation/Benefits Information:    S&P Global states that the anticipated base salary range for this position is $68,300 to $155,900 . Base salary ranges may vary by geographic location.      This role is eligible to receive S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires .        To all recruitment agencies:    S&P Global does not accept unsolicited agency resumes. Please do not forward such resumes to any S&P Global employee, office location or website. S&P Global will not be responsible for any fees related to such resumes.      S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. Only electronic job submissions will be considered for employment.      If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.   The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdfdescribes discrimination protections under federal law.      -----------------------------------------------------------      Equal Opportunity Employer   S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.      If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.        US Candidates Only:  The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.      ----------------------------------------------------------- 20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)        Job ID:  271991     Posted On:  2022-04-17     Location:  Boston, Massachusetts, United States",15 days ago,"1,386 reviews"
https://www.indeed.com/viewjob?jk=10932a69f0579ae0&from=web&vjs=3,10,"Associate Systems Engineer, Computer Vision and Machine Learning",Union Pacific,"Omaha, NE","At Union Pacific, we understand that our technology solutions are at the heart of our success. We’re looking for a talented Senior Machine Learning Engineer with experience developing deep learning models for computer vision problems.  Accountabilities  Ensure compliance with data architecture principles and standards for systems and components based on design patterns Build production pipelines and runtime system for processing images and videos using deep learning models Develop deep learning models for computer vision problems such as: object detection, classification, object tracking and anomaly detection Qualifications  Required A Bachelor's degree or commensurate experience in this field Experience building production pipelines and runtime system for processing images and videos using deep learning models Experience training deep learning models and evaluating their performance Experience with technologies like Python, Git and/or PyTorch Preferred Working experience with any of the following: C++, Linux, Shell / Bash, Redis, TensorRT, DVC, Jenkins, Chef, Rust",6 days ago,"2,261 reviews"
https://www.indeed.com/viewjob?jk=260b91c2b4825639&from=web&vjs=3,10,Data Scientist,"Sandhills Global, Inc.","Lincoln, NE 68521","     The Data Scientist may be responsible for any of the following tasks: Analyzing data that is collected in our current and future products and services. The Data Scientist would need to be able to take this data and apply to the markets our products are in for us to better serve our customers. The Data Scientist must have good communication and organization skills, along with a working knowledge of day to day operations and priorities within their department and the company. Assume other duties as ssigned.     Qualifications: Bachelors or Masters Degree in Statistics or Mathematics preferred or any other quantitative discipline  Strong proficiencies in Python and its frameworks   Knowledge of the products and customers of the Auction and Heavy Equipment industries  Technical expertise regarding data models, database design and development, data mining and segmentation techniques  Strong skills working with technical aspects of SQL, R and Tableau  Knowledge of statistics and experience using statistical packages for analyzing large datasets  Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy  Adept at queries, report writing, and present findings  Excellent oral and written communication skills  Able to work independently and communicate within a team environment  Results oriented  Flexible and open to change  Stable and progressive work history  Professional appearance and demeanor,  Ability to travel by air and ground - valid driver’s license required  Able to work with minimal supervision.   ",30+ days ago,61 reviews
https://www.indeed.com/viewjob?jk=d7f9942a0f64f4f6&from=web&vjs=3,10,Part-Time AI Courier,DNA Genetics,"Columbus, NE 68601","     Part-Time AI Courier     This is the perfect part-time job for people who like to drive. We have openings for a part-time couriers throughout Nebraska, Iowa, South Dakota, Wisconsin, and Indiana. This job entails making AI deliveries to pork producers within a 250 mile radius. Clean, comfortable, well-maintained vehicle is provided. Candidates must have a clean driving record and be comfortable with night driving and seasonal road conditions. Schedules and start times will vary, but in general will range from 8-20 hours per week (1-2 routes per week) and rotate between Mondays, Wednesdays, and Fridays. This is the ideal part-time job for those seeking some extra income, or those wishing to get out and see the countryside.     ",30+ days ago,3 reviews
https://www.indeed.com/viewjob?jk=e9394e1a4589eb79&from=web&vjs=3,10,Business Analyst,"Fiserv, Inc.","Omaha, NE 68154","                             What does a great Business Analyst do?           As a Business Analyst, you will be involved in projects which require data analysis, efficient metrics reporting using tools like PowerBI, excel etc., querying out data from different source systems based on SQL/Oracle and building dashboards. In this role, you can look forward to performing data analysis, profiling, generating data-driven business insights, and strategy recommendations to improve ROI. You will be generating insights through data mining, analysis and machine learning for various projects.           What You Can Expect in This Role:                   Formulate a solid understanding of business drivers and how data is used to inform and drive decisions and behaviors          Mine and clean data in preparation for analysis          Design dynamic self-service dashboards, develop models, and analytics solutions as applicable          Identify metrics and measurement plans to produce accurate forecasts and insights          Setup job schedules and automate reports          Manage communication and stakeholder expectations          Results oriented with excellent communication and interpersonal skills            Basic Qualifications for Consideration:                     Bachelor’s degree in Computer  Science/Management/Business  or related field          3+ years’ hands-on experience with business analysis, capacity planning, and/or workforce management          Proficient in MS Office Tools          Knowledge of Spreadsheets - Pivot tables and charts          Ability to perform research, gathering data and finding patterns          Must have analytical, problem solving, team building, and change management skills          Excellent communication (verbal and written), interpersonal, organizational, collaboration, and trouble shooting skills          Ability to work independently, prioritize tasks and solve problems          Be a pro-active, self-starter with a dynamic and resilient nature            Preferred Qualifications for Consideration:                          Master’s degree in Analytics or related field          Modeling experience          Data visualization and presentation skills          Hands on experience on statistical tools like Microsoft Excel, Structured Query Language (SQL), and R or Python programming knowledge                 We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.                Learn more about Fiserv:         To support the total well-being of our associates, Fiserv takes a broad approach to our benefits. We offer a comprehensive benefits package that provides flexibility and affordability with a variety of medical, dental, vision, life insurance and disability options. We are #FISVProud of our benefits and well-being programs. Our commitment to wellness, wellness education, preventive services and fitness activities are designed to meet you where you are.         Life moves fast. And as it does, we know most people aren’t thinking about “financial services”. But we are.         We help people and businesses move money and information every minute of every day. Our solutions connect financial institutions, corporations, merchants and consumers to one another, millions of times a day, behind the scenes, reliably and securely.         We’re Fiserv, a global leader in Fintech and payments enabling innovative financial services experiences that are in step with the way people live and work today. The company’s approximately 44,000 associates proudly serve clients in more than 100 countries, so their customers, members and consumers can move money when and where they need it, at the point of thought.         Our Aspiration is to move money and information in a way that moves the world. As a FORTUNE™ 500 company and one of FORTUNE Magazine World’s Most Admired Companies for the seventh consecutive year, we are committed to excellence and purposeful innovation.         Explore the possibilities of a career with Fiserv and Find Your Forward with us.                     ",3 days ago,"6,221 reviews"
