URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=851817f4093272c4&from=web&vjs=3,10,Machine Learning Engineer,Capital One - US,"404 5 Ave, New York, NY 10018","NYC 404 5th Avenue (22885), United States of America, New York, New York Machine Learning Engineer No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at  1-800-304-9102  or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.com Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site. Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).",4 days ago,"9,549 reviews"
https://www.indeed.com/viewjob?jk=6e7e86ce14cf7d05&from=web&vjs=3,10,Machine learning engineers,NR Consulting LLC,"New York, NY","Responsibilities: Strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-server architecture. Design and implement Machine learning models and data ingestion pipelines.  Develop and support a platform that enables data scientists to rapidly develop, train, and experiment with machine learning models. Expand and optimize data pipelines, data flow, and collection for cross functional teams. Create and maintain optimal data pipeline architecture by assembling large, complex data sets to meet functional and non-functional business requirements. Identify and implement internal process improvements including automating manual processes, optimizing data delivery, and redesigning infrastructure for greater scalability. Support the building of machine learning, data platforms, and infrastructure required for optimal data extraction, transformations, and loading of data from a wide variety of data sources. Partner with data scientists to understand, implement, train, and design machine learning models. Collaborate with the infrastructure team to improve the architecture, scalability, stability, and performance of Client platform. Develop processes, model monitoring, and governance framework for successful Client model operationalization. Work with architecture, data, and design teams to assist with data related technical issues and support data infrastructure needs. Implement Machine Learning (Client) and Big Data platforms in Hybrid and multi-cloud environment specifically in AWS SageMaker environment Experience in container, streaming and messaging technologies is a plus  Skills / Qualifications: Bachelor's degree in computer science, computer engineering or any other relevant field of engineering- Masters' degree preferred At least Three years' experience as a machine learning engineer. Advanced proficiency with Python framework, Java and Scala Extensive knowledge of Client frameworks, libraries, data structures, data modeling, and software architecture. Good understanding of mathematics, statistics, and algorithms. Excellent analytical and problem-solving abilities. Great communication and collaboration skills.",18 days ago,
https://www.indeed.com/viewjob?jk=f71bce4cdd566013&from=web&vjs=3,10,Machine Learning Engineer – Corporate Bank - Vice President,Deutsche Bank,"New York, NY","Job Title:  Machine Learning Engineer – Corporate Bank Corporate Title:  Vice President Location:  New York, NY Overview Our Corporate Bank Technology team is expanding, looking for an Artificial Intelligence (AI)/ Machine Learning (ML) engineer. You’ll be working on innovative projects involving Artificial Intelligence (AI) and Machine Learning (ML). Your role includes specification, development, and testing & rollout of new models and features for an Artificial Intelligence (AI) based cash flow forecasting product. You will contribute to the vision, understand our product roadmap, integrate business value with experience, and contribute to building an engineering culture within the team. You will be heavily involved in the design process and will provide the technical implementation of the resulting looks and behavior. What We Offer You: We offer competitive health and wellness benefits, empowering you to value life in and out of the office Retirement savings plans, parental leave, and other family-friendly programs An environment that encourages networking and collaboration across functions and businesses Active engagement with the local community through Deutsche Bank’s specialized employee groups Hear from our people and look inside our office: DB@The Muse Return to Office: At this time, all individuals present in the location must be fully vaccinated for Covid-19 It is the Bank’s expectation that employees hired into this role will work in the New York office in accordance with the Bank’s hybrid working model Deutsche Bank provides reasonable accommodations to candidates and employees with a substantiated need based on disability and/or religion Your Key Responsibilities: Design, develop, validate, deploy, and manage new functionality of a Cash Flow Forecasting solution. In addition, work with Bank and client SMEs on understanding Cash Flow Forecasting problem Build data sourcing and integration layer of AI engine. Also keep current of latest AI research relevant to our Business domain Create APIs and help business customers put results of your AI models into operations. Furthermore, document business and functional requirements, design decisions, and API Code, test, and review other team member’s changes Partner with QA team on test automation of new and existing functionalities Contribute to the definition of the future state of the system architecture Your Skills and Experience: Bachelor's degree in Computer Science or related technical field, or equivalent practical experience. You will have previous relevant work experience or educational experience in ML / AI as well as software development Strong hands-on experience of Python and strong SQL knowledge. Familiarity with TensorFlow, TensorFlow Extended, and Kubeflow is an advantage. In addition, having familiarity with modern SDLC tools - Git, JIRA, Artifactory, Jenkins/TeamCity - is another advantage Experience designing and implementing reliable and high availability solutions for training, inferencing stages of production models. Also having experience designing and implementing microservices Working knowledge of cloud computing services such as Google Cloud Platform (GCP) and Amazon Web Service (AWS) Experience communicating effectively and positively influencing diverse stakeholders and team members Our values define the working environment we strive to create - diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer. We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.  Click here to find out more about diversity and inclusion.    We are an Equal Opportunity Employer - Veterans/Disabled and other protected categories. Click these links to view the following notices: ""EEO is the Law poster"" and supplement ; Employee Rights and Responsibilities under the Family and Medical Leave Act ; Employee Polygraph Protection Act and Pay Transparency Nondiscrimination Provision .",30+ days ago,"3,028 reviews"
https://www.indeed.com/viewjob?jk=6269be3f9d6b811b&from=web&vjs=3,10,PYTHON LIBRARY DEVELOPERS [MACHINE LEARNING],Big Apple Information Systems,"50 Main Street, White Plains, NY 10606","Hands-on proficiency in design and coding Core Python  Data Visualization  Data Analysis  Data Wrangling and Data cleaning  Use of Python packages E.g. (NumPy, MatPlotlib, Scikit learn, etc) for Data Science.  Good SQL Knowledge",30+ days ago,
https://www.indeed.com/viewjob?jk=04091edbc2b58ac3&from=web&vjs=3,10,Staff Machine Learning Engineer,WarnerMedia,"New York, NY","Company Overview WarnerMedia is a powerful portfolio of iconic entertainment, news, and sports brands. We bring people, technology, and the world’s best storytellers together to drive culture and meaningful connection. We believe the enduring power of stories can open our eyes to the world, to each other, and to new and different perspectives. This is our story We are the now and the next. The power behind the people building the future. We are born from the spirit of innovation. We are created from the idea that people around the world want more, need more, deserve more. We are the home of the global digital revolution. We are CNN. See what it’s like to work at CNN! Follow us on Instagram, Twitter and Facebook. Join us. Shape your story here. Staff Machine Learning Engineer We are looking for a Staff Machine Learning Engineer to help us significantly scale how we experiment, build, and collaborate on ML-based data products. We are currently optimizing our first ML platform to help accelerate our experimentation and model production, and we would love for you to join us in making a huge impact on the overall organization. This is a remote position, and candidates who live near a CNN office are welcome but not required to work from an office as desired. Here’s some of the problems you’ll be helping us solve: The news cycle moves fast. What can we learn from readers’ engagement with breaking news to recommend writing or video which deepens their understanding? How can we create a virtuous recommender system which drives diversity in people’s reading habits? What’s the best way for a machine learning group to work closely with journalists and editors to keep our audience engaged and informed? What You’ll Do Prototype and train new models to serve recommendations-oriented products for learning and experimentation Collaborate with other ML and software engineers to develop and improve core components, infrastructure and architecture of our ML Platform to train, deploy, and serve models at scale Author, test, review, and optimize production-level code in Python and Golang while executing best practices in version control and code integration Use and build upon open-source cloud computing technologies Guide data scientists, engineers, product teams and other key stakeholders and drive ML projects from conception to completion Mentor ML Engineers across the organization Initiate and lead architecture improvements for our ML products and infrastructure in collaboration with other ML and software engineers Who You Are You can design and build real time distributed systems for machine learning at scale. You have experience guiding and collaborating with data scientists, data engineers, backend engineers, and product stakeholders on machine learning products. You are excited about complex architecture/infrastructure for training, deploying, evaluating, and serving models, and finding ways to make all of it faster by using the latest technologies. You enjoy keeping up with the latest ML research but get more satisfaction from building things with real user impact. You understand the constraints of working with a growing team and thrive in an environment that is fast-paced and sometimes scrappy. You understand that serving a user-facing model comes with a set of restrictions and you know how to be creative to solve them. You can work independently when needed. You can contribute to multiple team projects simultaneously. You have a deep curiosity and are proactive in seeking innovative solutions to business problems. You are highly communicative with your team and collaborators. You have collaborated with others on a team to design and build web scale distributed systems. Things You Should Know How to write robust code in Python, Golang or an equivalent modern programming language How to wrangle data - working with databases (relational or columnar), how to write SQL, how to work with a data pipeline, and other big data technologies and working with large data sets How to take a product problem and choose the right ML approach to prototype, evaluate, and tweak a solution quickly before taking it to production scale Commonly used machine learning frameworks (like Keras, PyTorch or TensorFlow) and libraries (like scikit-learn) Things You Might Know Experience with AWS and MLOps tools such as Sagemaker, MLFlow and Metaflow Experience with graph databases Experience with containerization (Docker) and container-orchestration systems such as Kubernetes Experience with Terraform, Azure or a similar IaC (infrastructure-as-code) tool If you don’t know any of these, that’s OK- you’ll get the opportunity to learn them on the job once you join! The Perks Exclusive WarnerMedia events and advance screenings Paid time off every year to volunteer for eligible employees Access to well-being tools, resources, and freebies Access to in-house learning and development resources Part of the WarnerMedia family of powerhouse brands Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.",20 days ago,433 reviews
https://www.indeed.com/viewjob?jk=5b1c0366f01b20db&from=web&vjs=3,20,Machine Learning Engineer,Runway AI,"New York, NY","About the role At Runway, we’re building a next-generation creative tool that enables a new level of interactivity with cloud-based machine learning models. For our tool to be maximally expressive, it needs to establish a seamless feedback loop between its users and the machine learning models powering its abilities. It’s not sufficient for our models to be accurate; nor is it enough for our user interface to be beautiful and responsive; we need to ensure that the link between the two is as fast and reliable as possible. For this reason, we’re looking for a Machine Learning Engineer who can help us create the server-side engine that powers our interactive tools for image and video synthesis. You’ll be working closely with our research and frontend teams to design and build low-latency, high-reliability machine learning deployments. The best fit for the role is someone who is deeply interested in the intersection of machine learning and systems design, and has extensive experience building web-based real-time server applications. This is a full-time role. We are based in New York, but welcome remote applications from everywhere About the company Runway is building the next generation of creative tools. We are a small team of artists, engineers, developers, and researchers working together to predict-by-inventing the future. Our team members used to work at NYU, Disney Research, IBM Research, Linode, and Stanford. We have built a tool that makes machine learning easy and accessible for all types of creatives. And our users love it. But our vision is bigger. We are transforming how content and media is created. For decades, media creation has relied on incremental iterations of the same old tools. And while some of those tools have become  smarter  in recent years, they're still very much rooted in an outdated paradigm. We've been stuck with the same old  Creative Suite  for way too long. Artificial intelligence and machine learning will not just bring automation at every scale, but a significant change in  how  we create. That's why Runway is reimagining how we create, so we can create new things.  Runway has an active and growing community of artists and creators all over the world. IBM, Google, R/GA, New Balance, Chanel, and dozen of companies are using Runway to create and explore new creative boundaries. Runway is also used to teach at a wide variety of institutions. From architectural programs at MIT to self-organized independent workshops in Perú. We are a young company and this role is a unique opportunity to join a market-defining company in its early stages.  Requirements: Solid knowledge of at least one machine learning research framework (e.g. PyTorch, Tensorflow), and at least one high-performance inference framework (e.g. TensorRT, Apache TVM). Experience profiling and optimizing deep neural networks, including knowledge of GPU profiling tools such as NVIDIA Nsight. Familiarity with Python-based image and video manipulation/encoding/decoding frameworks, such as OpenCV and PyAV. Experience with cloud orchestration systems such as Kubernetes and cloud providers such as AWS, GCP, and Azure. Opinionated about writing robust and maintainable client-server architectures and APIs. Ability to rapidly prototype solutions and iterate on them with tight product deadlines. Strong communication, collaboration, and documentation skills.",30+ days ago,
https://www.indeed.com/viewjob?jk=d18391ceefc14457&from=web&vjs=3,20,Data Analyst,Disney Streaming,"New York, NY","Job Summary: Data Analyst, Disney+  The Disney+ Product & Tech Analytics team is seeking a Data Analyst who will be an outstanding addition to our team. We partner with other teams across the business to turn data into information, information into insights and insights into key business decisions that steer the strategic direction of the company. The right person for this role thrives in a fast-paced environment, loves problem-solving, and is a good communicator; telling high-impact stories with data. If you are someone who gains personal happiness from transforming data into knowledge and driving business action, then this is a phenomenal role for you. You will design innovative analytic approaches to test hypotheses, extract actionable insights by identifying patterns in structured and unstructured data, and develop recommendations to drive product performance across Disney’s streaming platforms. You will be instrumental in leading the use of analytics as a critical value driver across our organization.  Responsibilities: Business Performance Reporting, Visualization : Be a partner for cross-functional stakeholders to understand performance of the platform. When a metric is ahead or behind expectations, dig in to drive meaningful, actionable insights that help the business performance improve or double-down on success. Deep-Dive Analysis:  Use advanced techniques (statistical modeling, experimentation, causal inference) to analyze user behavioral data to identify patterns and uncover opportunities. Create a rich understanding of how people are interacting with the platform and content and use these insights to then make recommendations. Opportunity Identification and Sizing:  Both to set goals and help evaluate potential opportunities, this analyst will be tasked with forecasting and opportunity sizing. This will help business stakeholders evaluate trade-offs in different approaches, and create targets for driving business performance. Partnership and communication:  Partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform capabilities around data modeling, testing platforms, data visualization, and data architecture.    Basic Qualifications: 2+ years of analytical experience. 2+ years’ work experience using SQL Some experience with Python/R or other statistical programming language Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. Understanding of statistics concepts (e.g. confidence intervals, hypothesis testing, regression analysis). Ability to think strategically, analyze and interpret market and consumer information. Intense curiosity, high intellectual and analytical horsepower, passionate pursuit of analytics driven insights Strong communication skills, as well as written and verbal presentation skills and experience presenting to diverse audiences. Preferred Qualifications: Nice to haves: General knowledge of optimization algorithms (e.g. MAB, randomized search, Thompson sampling), supervised and unsupervised machine learning techniques. Required Education A bachelor’s or master’s degree in Computer Science, MIS, Statistics, Economics, Mathematics, etc",19 days ago,
https://www.indeed.com/viewjob?jk=a4e96803bc030ca6&from=web&vjs=3,20,"Senior Backend Engineer, Machine Learning (Remote Eligible, Americas)",Spotify,"New York, NY","Engineering Backend We work at the intersection of advertising and messaging technologies to connect millions of brands to billions of fans. As part of the Advertising team, we’re paving the way for a sustainable global Spotify business that allows even more creators to make a living off their art. Come join us and help build the platform that powers promotion at Spotify. Location New York or Remote Americas Job type Permanent  We are looking for backend engineers with experience or active interest in machine learning to join our team of talented engineers that share a common interest in distributed backend systems, their scalability and continued development. You will build the backend systems that power our application, scale highly distributed systems, and continuously improve our engineering practices. Above all, your work will impact the way the world experiences music and podcasts. At Spotify, we’re proud of our ambitious mission of having 1 billion fans enjoying music and podcasts around the world, and are seeking a backend engineer with a proficiency in machine learning to join our team, which uses machine learning to drive advertiser outcomes and listener satisfaction in Spotify Free, helping democratize music access globally while positively impacting Spotify’s bottom line. We develop innovative and scalable solutions around the core problem of getting the right ad to the right user at the right time, while embodying Spotify’s values and taking our users’ best interest at heart. What you'll do Architect, design, develop, deploy and operate Java services and systems that serve real-time predictions to millions of users Help build and improve features that impact our users and make them better leveraging machine learning Collaborate with a cross functional agile team spanning design, data science, product management, and engineering to build new technologies and features Participate in the Spotify-wide backend developer community affecting and driving our architecture across the company Build systems that personalize our listeners’ experience of ads Prototype new approaches and productionize solutions at scale. If you are coming in with interest but not experience in ML, you will be expected to develop a proficiency in ML during your first year. Who you are You have a strong background in designing and building distributed, high-volume services (Java, PHP, etc) You are proficient in bare-metal programming languages (Java / C++) You are experienced with deploying and operating services on Linux. You have a deep understanding of system design, data structures, and algorithms. You have experience with or active interest in machine learning systems, theory, and development workflows You care about quality and you know what it means to ship high quality code. You care about agile software processes, data-driven development, reliability, and disciplined experimentation You have experience and passion for fostering collaborative teams. Where you'll be We are a distributed workforce enabling our band members to find a work mode that is best for them! Where in the world? For this role, it can be within the Americas region in which we have a work location Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here. Working hours? We operate within the Eastern Standard time zone for collaboration Our global benefits Extensive learning opportunities, through our dedicated team, GreenHouse. Flexible share incentives letting you choose how you share in our success. Global parental leave, six months off - fully paid - for all new parents. All The Feels, our employee assistance program and self-care hub. Flexible public holidays, swap days off according to your values and beliefs. Spotify On Tour, join your colleagues on trips to industry festivals and events. Learn about life at Spotify Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens. Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 381 million users.",30+ days ago,65 reviews
https://www.indeed.com/viewjob?jk=b8ed3b87827bb236&from=web&vjs=3,10,Machine Learning Engineer,Comcast,"New York, NY","Comcast brings together the best in media and technology. We drive innovation to create the worlds best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast. Job Summary Responsible for developing and deploying machine learning algorithms. Evaluates accuracy and functionality of machine learning algorithms. Translates application requirements into machine learning problem statements. Analyzes and evaluates solutions both internally generated as well as third party supplied. Develops novel ways to use machine learning to solve problems and discover new products. Has in-depth experience, knowledge and skills in own discipline. Usually determines own work priorities. Acts as resource for colleagues with less experience. Job Description Core Responsibilities Implements, refines and validates machine learning algorithms for products and applications. Takes action on existing specifications of designs and develops data pipelines consisting of data ingest, data validation, data cleaning and data monitoring. Trains machine learning models, validates the accuracy of the machine learning models once trained and deploys validated machine learning models into production. Researches, writes and edits documentation and technical requirements, including evaluation plans, confluence pages, white papers, presentations, test results, technical manuals, formal recommendations and reports. Contributes to the company by creating patents, Application Programming Interfaces (APIs) and other intellectual property. Tests and evaluates solutions presented to the Company by various internal and external partners and vendors. Completes case studies, testing and reporting. Designs proof of concept solutions and contributes to studies to support future product or application development. Collaborates with teams outside of immediate work group. Represents the work team in providing solutions to technical issues associated with assigned projects. Provides guidance and leadership to more junior engineers. Consistent exercise of independent judgment and discretion in matters of significance. Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary. Other duties and responsibilities as assigned. Employees at all levels are expected to: Understand our Operating Principles; make them the guidelines for how you do your job. Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services. Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences. Win as a team - make big things happen by working together and being open to new ideas. Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers. Drive results and growth. Respect and promote inclusion & diversity. Do what's right for each other, our customers, investors and our communities. Disclaimer: This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications. Comcast is an EOE/Veterans/Disabled/LGBT employer. Education Bachelor's Degree Relevant Work Experience 2-5 Years Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",30+ days ago,"17,213 reviews"
https://www.indeed.com/viewjob?jk=92fe234754657a52&from=web&vjs=3,10,Senior Machine Learning Engineer,OkCupid,"New York, NY 10014","OkCupid is looking to hire a Senior Machine Learning Engineer! If you're an ML Engineer that likes the idea of working on a product used by millions of people, read on. What's it like being a Machine Learning Engineer at OkCupid? We're a tight-knit team of Machine Learning Engineers that manage all aspects of OkCupid's production modeling. We give lots of ownership; your input will be a big part of what we do and how we do it. You will have the opportunity to drive machine learning applications at OkCupid and the infrastructure needed to do so. There's a sense of satisfaction that comes from helping millions of people find love. If that's the kind of thing that appeals to you, you're probably a good fit for OkCupid!  What you'll work on:  Own, develop, evaluate, and communicate modeling approaches to complicated and potentially unfamiliar product problems. Select and research the right tools for the job, and make them all work well together Troubleshoot & find sustainable solutions for data issues and anomalies Proactively identify opportunities where infrastructure is appropriate to build and work with the data engineering and backend teams to do so Work with product teams (e.g., recommendations, pricing, moderation) to understand and drive user impact  We're seeking someone who:  Has 2-3 years of experience building Machine Learning models and workflows (TensorFlow, etc. a plus) Knows how to get data from a relational database with SQL and is fluent in working with it in Python Understands the fundamental and unique challenges behind productionizing algorithms learned from data. Can learn and communicate how to fit their knowledge in machine learning to a complex and evolving product Has a Bachelor's degree or equivalent real-world experience, preferably in a related field (Engineering, Computer Science, Statistics, Applied Math) Is always willing to learn and apply new techniques where appropriate  Bonus Points if you have:  Experience with a mass-market consumer-facing product Familiarity with auto-differentiation libraries (e.g., TensorFlow, PyTorch, etc.) Proficiency with the pydata stack (NumPy, scipy, pandas) Familiarity with scheduling and orchestration tools (e.g., Airflow, Metaflow, etc.) Experience with large scale distributed data processing (e.g., Spark, EMR) Familiarity with AWS services (e.g., SageMaker, S3, EC2, etc.) What’s in it for you? Competitive salary and full benefits, including Medical, Dental, Vision, and 401k Workstation and tools of your choice Paid attendance to conferences Complimentary catered lunch and an endless supply of snacks & drinks (in-office) Monthly snack boxes (remote) Company funded happy hours/events Discounted fitness membership with ClassPass Generous maternity and/or paternity leave and contributions towards fertility preservation A team full of incredibly curious and friendly people OkCupid is an equal opportunity employer. We celebrate diversity and are deeply committed to fostering an inclusive environment for all employees.",30+ days ago,5 reviews
