URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=b1b5e1ac26f12f61&from=web&vjs=3,10,"Senior Associate, Federal Data Analyst",KPMG,"Oklahoma City, OK 73102","The KPMG Advisory practice is currently our fastest growing practice. We are seeing tremendous client demand, and looking forward we don't anticipate that slowing down. In this ever-changing market environment, our professionals must be adaptable and thrive in a collaborative, team-driven culture. At KPMG, our people are our number one priority. With a wealth of learning and career development opportunities, a world-class training facility and leading market tools, we make sure our people continue to grow both professionally and personally. If you're looking for a firm with a strong team connection where you can be your whole self, have an impact, advance your skills, deepen your experiences, and have the flexibility and access to constantly find new areas of inspiration and expand your capabilities, then consider a career in Advisory. KPMG is currently seeking a Senior Associate to join our Federal Advisory practice. Responsibilities: Assist leading delivery of client solutions using analytics, exploratory data analysis, data wrangling and ETL Derive insights from data using analytics and data wrangling tools (e.g. Python, R, Alteryx, SQL, SAS) Build and test machine learning models Gather analytic requirements from client and brief technical and non-technical audiences on analytic results Develop documentation and guides for analytics usage and maintenance Qualifications: A minimum of three years relevant work experience of data analysis experience; U.S. Federal government consulting experience preferred Bachelor's degree from an accredited college/university Experience with data wrangling tools such as Python, R, SAS, or other commonly used software Experience with communicating technical concepts with non-technical audiences Basic knowledge of data science and machine learning concepts and techniques U.S. citizenship required and an active U.S. Federal government Secret security clearance KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please. At KPMG, any partner or employee must be fully vaccinated or test negative for COVID-19 in order to go to any KPMG office, client site or KPMG event. In some circumstances, individuals who are not fully vaccinated may also be required to have a reasonable accommodation to not be fully vaccinated for COVID-19.",Just posted,"7,249 reviews"
https://www.indeed.com/viewjob?jk=4a61c5db769568ce&from=web&vjs=3,10,Data Scientist - Customer Analytics,Change Healthcare,Oklahoma,"     Data Scientist, Customer Analytics        POSITION SUMMARY        The Data Scientist, Customer Analytics is responsible for strategic interpretation of data and business requirements to provide executive leadership and customer operations with customer centric data driven insights and data solutions. Working in collaboration with the VP, Customer Insights & Operations and the Sr. Manager, Customer Analytics, this role works to identify new business requirements across the organization, translate business requirements into data models, perform data engineering to combine diverse data sets, and develop custom algorithms for predictive models for the business.        KEY RESPONSIBILITIES        Business and data requirements     15%     Data engineering     30%     Data modeling, machine learning and AI     45%     Data product support and refinement     10%        RESPONSIBILITIES            Work with key business stakeholders to develop business solutions based on data driven insights      Lead projects that combine diverse customer data sets to identify trends, develop custom machine learning models, and provide recommendations to optimize the business and address data-related problems      Coordinate with different functional teams to improve customer data architecture, ensure accuracy of model output and implement new data gathering processes      Create customized summaries, business presentations and documentation for internal business clients based on the results of research           MINIMUM JOB Qualifications        Education / Training:         4-year degree (Bachelors or Masters) in any of: science, computer science, statistics, mathematics, physics, engineering, machine learning, or equivalent experience           Business Experience:         2+ years of experience using data analysis and machine learning to generate data driven insights and development of data solutions for business partners      Experience with relational and dimensional data modeling, data engineering, and leveraging business intelligence technology to drive business impact      Ability to work on multiple projects across functional teams           Specialized Knowledge / Skills:         2+ years of programming experience in Python, R, or SAS to manipulate data and draw insights from large data sets      2+ years of experience in a variety of machine learning techniques including natural language processing algorithms, classification and clustering, time-series forecasting and predictive/prescriptive modeling      Excellent knowledge of statistical techniques and concepts      Strong written and verbal communication, and people skills to interact with all levels of management, business partners, internal clients, technology team members, and vendors           Working Conditions:         Office environment or remote      Travel up to 10% of the time           #li-remote     Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system!        COVID Vaccination Requirements        We remain committed to doing our part to ensure the health, safety, and well-being of our team members and our communities. As such, we require all employees to disclose COVID-19 vaccination status prior to beginning employment and we may require periodic testing for certain roles. In addition, some roles require full COVID-19 vaccination as an essential job function. Change Healthcare adheres to COVID-19 vaccination regulations as well as all client COVID-19 vaccination requirements and will obtain the necessary information from candidates prior to employment to ensure compliance.        Equal Opportunity/Affirmative Action Statement         Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read  EEO is the Law  at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf.        If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted.        Click here https://www.dol.gov/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf to view our pay transparency nondiscrimination policy.        California (US) Residents: By submitting an application to Change Healthcare for consideration of any employment opportunity, you acknowledge that you have read and understood Change Healthcare’s Privacy Notice to California Job Applicants Regarding the Collection of Personal Information.        Change Healthcare maintains a drug free workplace and conducts pre-employment drug-testing, where applicable, in accordance with federal, state and local laws.     ",4 days ago,"1,303 reviews"
https://www.indeed.com/viewjob?jk=5f0648874b59667a&from=web&vjs=3,10,Data Analyst,Koch Engineered Solutions,"Tulsa, OK 74116","Description  Koch Engineered Solutions (KES) is currently looking for a Data Analyst to work with our Information Technology (IT) Team at our Wichita, KS headquarters. The IT team is a vital component in KES’ strategy to improve business performance through the application of technology and profitably transform our business. Working as an integrated group with the Engineering, Operations, Commercial, and Financial teams that design and maintain facilities. Our team functions as a startup entity within our enterprise to develop innovative solutions and build a market for their solutions through transforming KES work processes.  As a member of the Information Technology team, you will need to thrive in a fast pace and innovative environment. You will collaborate to develop solutions and prove their value through experimentation and scalable deployment in our business. Collaboration, creativity, and focus on attaining positive business results will be necessary skills. Like an employee of a startup, you will need to be resourceful and capable of partnering with market solution providers that can accelerate progress of our business objectives.  What You Will Do In Your Role Partner with the business as it pertains to identifying opportunities to automate manual analysis using modern tools Communicate the results of data analysis in written and verbal form to business customers of varying levels Rigorously, and effectively, examine/clean large quantities of data, and derive insights from these data sets Collaborate across multiple teams to research and configure complex data analytic solutions, to specified requirements in support of business outcomes Support end-users with analysis and troubleshooting Work closely with business analysts in understanding and translating business requirements into stories, tasks, and subtasks in support of delivering consumable value to our business partners in an Agile manner Grow, through influence, a data enablement mindset across the organization and mentor others on how to think about data needs   The Experience You Will Bring The ability to adapt to new problems and successfully operate within an experimentation environment Strong collaboration and communication skills and ability to work within cross functional teams Strong economic thinking skills Self-motivation and the persistence to create value through work process transformation A positive attitude and the innovative thinking skills to turn the impossible into a capability Experience with SQL Requirements: Ability to quickly stage & shape data from data warehouses into reporting and analytic solutions Proficient at visual storytelling Experience rapidly developing proof of concepts and testing new ideas, as well as scale these ideas into production ready solutions Capable of reaching out across the organization and conducting interviews to understand business processes and requirements   What Will Put You Ahead Strong Power BI skills Experience with SSRS Experience with AWS technologies Bachelor’s Degree in Computer Science, Engineering or Mathematics preferred A background in machine learning Python and R experience      Our goal is for each employee, and their families, to live fulfilling and healthy lives. We provide essential resources and support to build and maintain physical, financial, and emotional strength - focusing on overall wellbeing so you can focus on what matters most. Our benefits plan includes - medical, dental, vision, flexible spending and health savings accounts, life insurance, ADD, disability, retirement, paid vacation/time off, educational assistance, and may also include infertility assistance, paid parental leave and adoption assistance. Specific eligibility criteria is set by the applicable Summary Plan Description, policy or guideline and benefits may vary by geographic region. If you have questions on what benefits apply to you, please speak to your recruiter.   At Koch companies, we are entrepreneurs. This means we openly challenge the status quo, find new ways to create value and get rewarded for our individual contributions. Any compensation range provided for a role is an estimate determined by available market data. The actual amount may be higher or lower than the range provided considering each candidate’s knowledge, skills, abilities, and geographic location. If you have questions, please speak to your recruiter about the flexibility and detail of our compensation philosophy.   Equal Opportunity Employer, including disability and protected veteran status. Except where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test. This employer uses E-Verify. Please visit the following website for additional information: www.kochcareers.com/doc/Everify.pdf",9 days ago,758 reviews
https://www.indeed.com/viewjob?jk=852b326e3c775486&from=web&vjs=3,10,Artificial Intelligence Machine Learning (AI/ML) Specialist,L3Harris Technologies,"Tulsa, OK","Description: Job Title: Artificial Intelligence Machine Learning (AIML) Specialist  Job Code: IMS20210112-73541  Job Location:  Tulsa, OK (Aeromet) or Mason, OH  About Aeromet  L3Harris -Aeromet is a Division of Integrated Mission Systems Segment with its main office is located in Tulsa, OK. L3Harris-Aeromet is established within the DoD Community as the developer and operator of special mission ISR systems. We provide special mission system design, modification, and operations with emphasis on the development and integration of state-of-the-art EO/IR sensor systems.  Job Description:  L3Harris Aeromet has an opportunity for an Image Science Engineer working to enhance and develop image processing techniques for our advanced EO/IR mission systems. The selected engineer will be a key member of a team applying AIML techniques to real world applications to close gaps that are critical to mission success for service members in the field. Technologies you develop will consistently provide faster decision-making capabilities and increase the utilization and productivity of its users. Dedication to improving the application of AIML to real world applications is what motivates you and nothing makes you happier than seeing a product you helped develop successfully perform its mission. You know what Pd Fa is and why they are critically important to coming home. Essential Functions:   EO/IR Image Processing in real-time architectures  Evaluation and optimization of ML/DL models for target hardware  Visualization  Data Curation/Analysis  Model Architecture research and development  Pipeline Development/Data Engineering   Qualifications:   U.S. Citizenship with the ability to obtain a DoD Security Clearance  Bachelor’s Degree in Computer Science, Mathematics, Statistics, or related field.  4-5 years of relevant experience or 2-3 with Masters using unsupervised learning techniques such as PCA or Clustering for exploratory data analysis.  4-5 years of relevant experience or 2-3 with Masters using supervised learning techniques to train and test ML/DL models.  Strong Python, or other scientific language, experience.  Strong Image and/or Signal Processing experience with multi-spectral imagery.  Experience designing (Hidden) Markov chain processes e.g. Kalman Filters, Particle Filters.  Experience with learning under uncertainty i.e. Bayesian inference.  Demonstrated experience with data science, training data, labeling Excellent written and verbal communications with peers, managers, company leadership, industry. Able to lead if called upon, Able to constructively follow as a team member. Distinguished yourself during the completion of a course of education relevant to AIML resulting in at least Bachelor of Science.   Preferred Additional Skills:   Master’s Degree in Computer Science, Mathematics, Statistics, or related field.  Database management/design  Experience with Optimization/Quantization libraries for Model deployment e.g. TensorRT and OpenVINO  Experience with HPC languages/frameworks e.g. Cuda, OpenCL  Experience with low-power processing architectures (e.g. NVidia Jetson, Intel Movidius)  Experience in model development/deployment lifecycle.  Mentorship/Teaching/Team lead experience.  An interest to participate in the overall AI/ML community e.g. attend and present at premier conferences.  Active DoD Security Clearance",30+ days ago,"4,714 reviews"
https://www.indeed.com/viewjob?jk=8cc3662808b8f4f0&from=web&vjs=3,10,Data Scientist,Warwick Investment Group,"Oklahoma City, OK 73116","FIRM INTRODUCTION  Warwick Group is a private equity firm that invests in real assets. We are a small but fast-growing team with ~$2 bn. in managed assets. At Warwick we strive to couple innovative techniques in data mining and machine learning to make intelligent data-driven investment decisions.  Data is deeply embedded in the culture at Warwick. Every department uses data in different varieties and volumes. We rely on public and private data – lots of it – to improve asset identification and management and continuously evaluate risk.  As a Data Scientist within the Data Science & Engineering team, you will take an essential role in scaling and improving prediction capabilities. This is a unique opportunity to work with a talented group founded with the goal of applying cutting-edge technology to rich data for improving investment strategies.  We're looking for a talented data scientist with extensive experience in machine learning to join us as a foundational member of the team and to provide leadership in all areas that relate to predictive modeling and algorithm development.  JOB RESPONSIBILTIES  Interface with data scientists to evaluate prototypes and build production-ready software  Perform hands-on data analysis and modeling with large and small data sets  Apply data mining, NLP and machine learning (both supervised and unsupervised) to improve prediction algorithms  Build ML models to measure real-time risk on managed assets and new opportunities  Discover and procure data sources, import them, clean them, and make them model-ready  Draw conclusions on the impact of data science work and communicate results to peers and leaders  QUALIFICATIONS  Strong understanding of SQL, NoSQL, Graph Databases, and a cloud-based environments (MSFT Azure).  Development experience with common analysis tools – Python, Julia, JavaScript and SQL  Experience building data processing pipelines, including API's, ETL and data ingestion of both structured, unstructured data  Quantitative background in statistics, computer science, math or another technical field  Strong understanding of statistics, machine learning, and data analysis techniques used for classification, regression, clustering, dimensionality reduction, anomaly detection, and more  Ability to draw conclusions from data, connect with stakeholders, and recommend actions.  Ability to break down technical concepts into simple terms and present to diverse, technical, and non-technical audiences.  Experience with continuous integration and deployment with regards to predictive model management.  Must have legal authority to work in the U.S.",30+ days ago,
https://www.indeed.com/viewjob?jk=c92e0bdf9be4d57f&from=web&vjs=3,10,"SDE II-- Virtual, CTPS",Amazon.com Services LLC,Oklahoma,"      1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.     2+ years of non-internship professional software development experience     Programming experience with at least one software programming language.     Job summary   About the team...   Preserving Trust in Amazon with every customer, every transaction, every second is our mission. We do this by identifying and removing bad actors from the platform, while supporting a best-in-class customer experience. Amazon has hundreds of millions of customers, sellers, and developers all over the world that rely on Amazon products and services. Our success comes from preventing bad actors from abusing these products and undermining the trust customers have in them. We are handling massive scale. Amazon is one of a kind in the number of customers served, transactions processed, and products handled.   About the role...   We’re looking for a software engineer with an interest in fraud prevention to help outwit the bad actors without impacting customer experience. We use the most recent advances in machine learning and data collection to make real-time decisions to eliminate payment fraud at Amazon scale.   About the candidate...   The ideal candidate for our team is passionate about creative solutions to our technical problems. You have technical curiosity, drive for results, but at the same time you embody ownership at the business level and contribute to product development.            MS or PhD in Computer Science or related field     Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.     Understanding of CI/CD and Agile software engineering practices     Background in support for large scale application implementations.     Experience with distributed computing and enterprise-wide systems     Experience mentoring software engineers     Strong sense of ownership and drive     Excellent written and verbal communication, analytical and collaborative problem-solving skills     Comfortable working across multiple teams and organizations     Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success and we make recruiting decisions based on your experience and skills. We welcome applications from all members of society irrespective of age, gender, disability, sexual orientation, race, religion or belief.      Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",30+ days ago,"81,592 reviews"
https://www.indeed.com/viewjob?jk=f858c499cefc0d41&from=web&vjs=3,10,Jr. Business Analyst - Innovation & Service Improvements,CACI,"Oklahoma City, OK 73169","    Jr. Business Analyst - Innovation & Service Improvements    Job Category: Information Technology    Time Type: Full time    Minimum Clearance Required to Start: None    Employee Type: Regular    Percentage of Travel Required: None    Type of Travel: None       What You’ll Get to Do:     This position is for the critical thinker interested in automation, analytics, and problem solving. With access to the latest automation and analysis tools, this position will be given the opportunity to provide insights and create efficiencies under the supervision of the Office of Innovation team. This team acts as a task force for advancing the Shared Services Center into the future as the use of machine learning, AI, and analytics grow in our company.        This position will be in our Shared Services Center (SSC) in support of our mission critical government contracts. Under close supervision, is involved in service improvement initiatives to include the review and documentation of as-is/to-be business processes and to identify service improvements through automation and innovation.     More About the Role:         Develop automation (bots and flows) and create dashboards using UiPath robotics desktop automation (RDA), Microsoft Power Automate & Power BI, as well as SharePoint 360.      Learn to conduct business process discovery sessions with functional staff to document and workflow as-is/to-be business processes following ITIL best practices/ISO 20K standards using Microsoft Word & Visio      Develops understanding of CACI corporate structure and interacts with other staff to update documentation effectively.      Supports in the maintenance and pulling of data feeds from COGNOS reporting to SharePoint to update data model platforms, running robotics desktop automations, and document repositories.        You’ll Bring These Qualifications:         Pursuing higher education in Business Management or Information Technology.      Desire to learn the basic functions of a shared services organization.      Comfortable building and maintaining professional relationships with customers, internal and external.      Good organizational and time management skills.      Good communication and presentation skills.      Critical thinker.      Creative problem solver.      Good analytical skills.      Data-driven approach.      Must be able to obtain and maintain security clearance (if applicable to position)           These Qualifications Would be Nice to Have:         If Undergraduate or Graduate, pursing a degree in Business Management, Information Technology, Financial Management or similar relevant field is preferred but not required      Experience with MS Office      Minimum GPA of 3.0 or higher is preferred            What We Can Offer You:                   We’ve been named a Best Place to Work by the Washington Post.                   Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.                   We offer competitive benefits and learning and development opportunities.                   We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.                   For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.            Company Overview: At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is an Equal Opportunity Employer – Females/Minorities/Protected Veterans/Individuals with Disabilities.       As a federal contractor, CACI is subject to any federal vaccine mandates or other customer vaccination requirements. All new hires are required to report their vaccination status.   ",30+ days ago,"2,083 reviews"
https://www.indeed.com/viewjob?jk=876aca8884dc2b29&from=web&vjs=3,10,Remote Lead Generation Specialist,SalesRoads,"Tulsa, OK","           Do You Have Outbound Calling Experience?      SalesRoads provides a dynamic work environment that facilitates personal & professional growth while making you feel at home.           100% remote environment       Flexible schedules Monday through Friday       A family atmosphere allows you to have a meaningful sales career, without sacrificing your life outside of work.       We promise to facilitate your professional development by providing frequent coaching, as well as daily opportunities to drive positive outcomes for our business and our clients.       On Target W2 Earnings of $45,000 to $55,000+ per year depending on experience.       Career path from internships through senior-level management.       The most comprehensive training platform in the industry       Employment (as opposed to contract work)       We do not hold a week of pay. The first check is made within 2 weeks including commission/bonuses and training.       Full-time. (However, part-time is also available)       A fun, connected, and vibrant award-winning culture.       Employee Benefits including Life, Dental, Vision, 401K and Medical          Who You Are:           You are a persuasive speaker and love communicating. You’re savvy and perform best when thinking on your feet. If you have ever talked your way out of a speeding ticket, this is the job for you!       You are not intimidated by new and emerging technologies. SaaS, Cloud Computing, and Machine Learning are more than just buzzwords to you.       You are a hunter who methodically and persistently chases the deal, even if the first answer is no.       You are a quick learner with a positive attitude, and you approach challenges with an inquisitive mindset.       You are devoted to your own personal and professional growth. When you sit down for a coaching session, you already have ideas on how to improve.       You believe in a healthy work/life balance and you understand the importance of holding yourself accountable in terms of attendance.       You may or may not have B2B sales experience, but you have built a reputation as an overachiever.       You are competitive but would never steal a teammate's deal and you're even willing to teach them your secrets because you hate a cut-throat environment.       You will need to have a high-speed Internet connection and your own reliable computer.       You are driven to crush quota and enjoy being at the top of the leaderboard. Every individual in this organization is measured by the results they deliver. If this scares you, no need to apply.          We want YOU!           In this role, you will be calling executives from a list provided to introduce them to our client's products and services.       Because of our diverse client base, you will gain valuable insider experience working in a variety of industries.       If you are looking to work directly with business leaders and want an opportunity to learn, you have got it!       You will be constantly recognized for your performance with shout-outs, bonus incentives, and awards along the way!       Also, you might have missed it, but this is a work-from-home position. With no commute and a flexible work schedule, you can hit the gym, catch your kid's big game, take your dog for a walk, or meet with friends for an extended lunch - the world is your oyster!           What else do we offer you?           The most comprehensive training platform in the industry       Employment  (as opposed to contract work)       We do not withhold a week of pay. The first paycheck is made within 2 weeks including commission/bonuses and training.       Full-time. (However, part-time is also available)       A fun, connected, and vibrant award-winning culture       Employee Benefits including dental, vision, 401k, and Medical                          EEO2ad8ERr   ",30+ days ago,25 reviews
https://www.indeed.com/viewjob?jk=49cec9b338e41c57&from=web&vjs=3,10,OMMA Data Scientist,State Department of Health,"Oklahoma City, OK","     OMMA Data Scientist          Recruitment #220420-X14C-03                               Department                    State Department of Health                                    County Location                    Oklahoma OK                                            Date Opened                    4/20/2022 08:00:00 AM                                    Filing Deadline                    Continuous                                    Salary                    Up to $65,000.00, based on education and experience.                                    Full or Part Time                    Full-Time                                           INTRODUCTION                             The Oklahoma State Department of Health (OSDH) is committed to leading Oklahoma to prosperity through health. Our mission is to protect and promote health, prevent disease and injury, and cultivate conditions by which Oklahomans can thrive. We value respect, collaboration, and service.                OSDH is seeking a full time Data Scientist providing support to Oklahoma Medical Marijuana Authority. This is a state employee position governed by the Civil Service Rules, located in Oklahoma City, Oklahoma. OSDH offers a comprehensive        Benefits Package , including a generous benefit allowance to offset the cost of insurance premiums for employees and their eligible dependents. For more information about the benefit allowance, follow this link        Plan Year 2022 . The annual salary for this position are up to $65,000.00 based on education and experience.                       Position Summary :         This position will be responsible for planning, developing, implementing, monitoring, and evaluating quality improvement and quality assurance activities related to the Oklahoma Medical Marijuana Authority (OMMA) data systems. Data analytics, data visualizations, data cleaning, and data wrangling procedures will be used to enrich program decision making. In order to achieve this, the incumbent will be required to consult and collaborate with the OMMA Data/Business Analyst, OSDH OMMA staff, as well as other OSDH programs and external partners that rely on the information collected.                       Position Responsibilities /Essential Functions                        Create automated reports from OMMA data systems that are relevant, informative, and actionable to enable data-based program decisions (e.g., workflow productivity; business lists, time to process, etc.)         Assist the OMMA Data Analyst and other OMMA staff to determine needs and build programs and business intelligence reports based on those needs         Ensure that data problems become data solutions         Assist in public health surveillance activity for the OMMA         Identify and implement improvements in programmatic system inefficiencies         Develop and execute quality assurance procedures         Implement internal analytical protocols to identify system issues         Perform inferential and non-inferential analyses for all medical marijuana data requests and interpret findings         Communicate complex findings or results in a meaningful yet understandable way         Participant in appropriate agency committees and councils         Develop regular and ad hoc reports with interpretation of findings including but not limited to business intelligence reports, statistical reports, data visualizations         Presentations to internal staff, licensees, and the public         Create workflow charts and diagrams.          Document and diagram database structure and relationships.          Create data dictionaries and mappings for all data collected         Monitor progress by tracking activity, resolving problems, and creating progress reports         Identify potential or actual problems and recommend solutions                        Other Duties:          • Demonstrates knowledge of and supports mission, vision, value statements, standards, policies and procedures, operating instructions, confidentiality standards, and the code of ethical behavior.                        Works effectively in team environment, participating and assisting their peers.                        Valued Knowledge, Skills and Abilities:         • Requires high level of communication skills using all types of communication methods.                       Physical Demands and Work Environment :                       Office environment, possible remote work, computer based, and some travel required.                         MINIMUM QUALIFICATIONS                    Master’s in Data Science, Public health (Biostatistics/Epidemiology), Business Administration, Analytics, Informatics, or related Master’s level degree.                     Preferred Qualifications                       Experience with Large data sets, Strong SAS coding skills plus SQL knowledge and experience, 2 or more years of experience manipulating data using SQL and/or SAS in a professional setting. Data Science and Business Intelligence         experience will also be prioritized.                 NOTES             REQUIREMENTS:  If education, certification or licensure is required to meet qualifications, applicants must provide documentation at the time of interview.    All applicants are subject to a background check and must be legally authorized to work in the United States without visa sponsorship.     FOR ADDITIONAL INFORMATION ABOUT WORKING AT THE OKLAHOMA STATE DEPARTMENT OF HEALTH  CLICK HERE       Please read instructions carefully and include all required documents when you submit your application.      No additional information will be accepted after the application has been submitted.                 ",11 days ago,10 reviews
https://www.indeed.com/viewjob?jk=95d16fcc88a5f85f&from=web&vjs=3,10,Research Chemist,CPChem,"Bartlesville, OK 74003","You may not realize it, but you’ve likely used a product today made possible by the plastics and chemicals manufactured by Chevron Phillips Chemical. From medical supplies and electronics to food packaging and cosmetics, we create the building blocks for more than 70,000 consumer and industrial products.   Even as a global company with 5,000 employees, we maintain a “small company feel” and uphold a culture of respect, diversity, and inclusion. Ask any Chevron Phillips Chemical employee what they like best about their job, and universally, the answer is “the people I work with!” We value work-life balance, and love to see our employees thrive both professionally and personally. There has never been a better time to work for Chevron Phillips Chemical. If you’re ready to grow with us and become part of our vision of being the premier Chemical Company, apply today!   Purpose/Introduction  Chevron Phillips Chemical Company is currently seeking a Research Chemist to join the Polymer Science Group within the Research & Technology (R&T) organization in Bartlesville, Oklahoma. #HPCP  Responsibilities  Demonstrate leadership in safety. Participate in all safety, environmental and sustainability initiatives set forth by the company, and strive to uphold and improve the safety culture of the company Proven expertise in polyolefin characterization using high-temperature GPC technique and related method development experience Demonstrated expertise in the maintenance and troubleshooting of GPC instruments and its key components  e.g.,  columns, pump, oven, detector etc. Solid knowledge of the configuration, functional principles, and operation of RI, IR4, IR5 and multi-angle light scattering (MALS) detector Proven expertise in the collection and analysis of GPC data of polyolefins to determine MW, MWD, SCB, SCBD, LCB, LCBD Demonstrated expertise in developing and using structure-property relationships in polymer systems Ability to utilize Design of Experiment, Statistical Response Surface Modelling, Chemometrics and statistical analysis tools in research projects  Participate in current research and development initiatives of the company, contribute to the existing research projects of the group, and provide individual research contributions.  Experience in working with pilot plant and manufacturing plant engineers to identify the root-cause of off-spec products and help to find solution. Ability to respond to fast evolving challenges and manage multiple projects simultaneously  Maintain the optimum performance of the existing lab instruments and support the supervisor / manager in improving the mechanical property characterization capability of the group Build and maintain relationships with peers, customers, and business partners   Required Qualifications  A Ph.D. in chemistry, polymer science (chemistry or physics), or material science and engineering  A minimum of 2 years of working experience and/or training in polyolefin characterization using high temperature GPC technique, maintenance and troubleshooting of GPC instrument and all its components Excellent computing and data processing skills and a familiarity with Microsoft Office products and statistical experimental design software   Preferred Qualifications  A Ph.D. in polymer chemistry with specific focus on polyolefin characterization using high temperature GPC technique  At least 5 years of job-related work experience in an industrial setting  Knowledge and experience in scripting software language, experimental design software, chemometrics, machine learning and Matlab   Chevron Phillips Chemical offers competitive salaries, a comprehensive benefits package and at most locations, alternate work schedules.   Paper resumes will not be accepted. All job seekers must go to the web site to be considered for positions. If you are interested in applying for this position and need an accommodation to apply, please contact our Human Resources Service Center at  1-800-446-1422 , option 4.   Chevron Phillips Chemical Company is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, ancestry, age, disability, veteran status or marital status.   To all recruitment agencies:  We are not responsible for any fee related to unsolicited resumes from 3rd party staffing and recruiting agencies (whether submitted through this website or sent directly to employees) unless a written agreement is in place between the agency and Chevron Phillips Chemical Company LP (“Company”) and an authorized Company representative makes a written request to the agency to assist with this requisition. Similarly, no fee will be paid for candidates who apply and claim to be represented by an agency. Any unsolicited resumes, CVs, or other candidate information submitted by an agency will become the property of Company, and no fee will be paid in the event such candidate is hired.  Travel Requirements:  Up to 20%  Eligibility for Relocation:  Yes  Closing Date:  05/17/2022   Nearest Major Market:  Tulsa  Nearest Secondary Market:  Oklahoma  Job Segment:  Chemist, Chemical Research, Engineer, Chemical Engineer, Materials Science, Science, Engineering",12 days ago,
