URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=c15deaf79f97c785&from=web&vjs=3,420,Machine Learning Engineer,Komodo Health,"New York, NY","We Breathe Life Into Data  At Komodo Health, our mission is to reduce the global burden of disease. And we believe that smarter use of data is essential to this mission. That's why we built the Healthcare Map — the industry's largest, most complete, precise view of the U.S. healthcare system — by combining de-identified, real-world patient data with innovative algorithms and decades of clinical experience. The Healthcare Map serves as our foundation for a powerful suite of software applications, helping us answer healthcare's most complex questions for our partners. Across the healthcare ecosystem, we're helping our clients unlock critical insights to track detailed patient behaviors and treatment patterns, identify gaps in care, address unmet patient needs, and reduce the global burden of disease.  As we pursue these goals, it remains essential to us that we stay grounded in our values: be awesome, seek growth, deliver ""wow,"" and enjoy the ride. At Komodo, you will be joining a team of ambitious, supportive Dragons with diverse backgrounds but a shared passion to deliver on our mission to reduce the burden of disease — and enjoy the journey along the way. The Opportunity at Komodo Health  As a Machine Learning Engineer on our Predictive Pulse team, you will be responsible for building AI/ML solutions for the healthcare industry. Your work will be at the forefront of innovation in healthcare and on one of the richest datasets in the world with enormous potential to create change in an industry traditionally limited by highly complex and incomplete data. Your initial project will focus on our disease prediction system which unlocks insights from our billions of records. You will collaborate with Data Science and Engineering teams to scope and build client solutions on our ML Ops platform. You will foster a culture of trust, transparency, and technical expertise that is founded on constructive feedback and open evolution in thinking and approaches. Looking back on your first 12 months at Komodo Health, you will have:   Advanced our model creation process through improving creation of training/test data sets, feature selection, and learner methods  Implemented ML-based client solutions for targeted therapeutic areas in our patient population  Developed an understanding of healthcare-specific challenges and developed innovative solutions to address them  Actively collaborated with team members to iterate on approach in order to optimally handle the multitude of use cases  Partnered with Data and Product teams to develop technical requirements and delivery of robust solutions  Contributed to hiring and growing the team by recruiting research scientists and improving our hiring processes   What You Bring to Komodo   Industry experience building AI/ML solutions for a production-level system  Proficient with complex topics in ML modeling, statistics, algorithm design and knowledge of ML software packages  Desire to learn the complexities of healthcare and incorporate domain knowledge into models  Ability to communicate clearly and openly with both technical and non-technical teams  Experience with large-scale data and computational technologies (e.g. Spark, Snowflake)  Proficiency in Python and SQL  Ability to work in a fast-paced environment   #LI-CT1 Where You'll Work  Komodo Health has a hybrid work model; we recognize the power of choice and importance of flexibility for the well-being of both our company and our individual Dragons. Roles may be completely remote based anywhere in the country listed, remote but based in a specific region, or local (commuting distance) to one of our hubs in San Francisco, New York City, or Chicago with remote work options.  What We Offer  On top of our commitment to providing competitive, fair pay for all roles at Komodo Health, we're proud to offer robust and inclusive benefits to all Dragons at Komodo Health. We offer global time off programs, extensive internal and external career development and learning opportunities, multiple affinity groups celebrating our team's diversity, and an annual wellness and productivity stipend to support you in being your healthiest, best self.  Equal Opportunity Statement  Komodo Health provides equal employment opportunities to all applicants and employees. We prohibit discrimination and harassment of any type with regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.",30+ days ago,4 reviews
https://www.indeed.com/viewjob?jk=61f4cc9a41fa8b1e&from=web&vjs=3,420,"Data Scientist Analysts, (Remote)",Delmock Technologies Inc,Remote,"     Delmock Technologies Inc’s , Senior Recruiter Stan Blackwell (sblackwell@delmock.com /    410-218-0900 ) would love to speak with you regarding a    Proposal  for        Data Scientist Analysts ,    (Remote)  in    Prince George County, MD.             What You Will Do     Use scientific methods, processes, frameworks, algorithms, and system to extract knowledge and insights from structured and unstructured data and apply knowledge and actionable insights from data across a broad range of application domains building tools to automate data collection. AI and Machine Learning.           Power BI      BW/BI (Crystal)      SAS      OpenGov      Salesforce/ Tableau      Socrata                   Current Employee Testimonies     Best work experience to date. The salary and benefits are excellent, while the company cares about its employees. It’s rare when the CEO knows each employee personally.       About Your New Company     Employment with DTI means growth. DTI is a Baltimore-based certified HUBZone business providing complex mission-critical IT and Health solutions.     Valuing Ethics Expertise, Technology and Delivery of Superior Service.  ",3 days ago,8 reviews
https://www.indeed.com/viewjob?jk=44a5250dc173ba22&from=web&vjs=3,420,People Ops Specialist,6sense,"San Francisco, CA","People Ops Specialist  Location:  United States, Remote  The Company:  It's no surprise that 6sense is named a top workplace year after year — we have industry-leading technology developed and taken to market by a world-class team. 6sense is Top Rated on Glassdoor with a 4.9/5 and was ranked as part of Inc. Best Places to Work in 2019, 2020, and 2021. Our CEO Jason Zintak was recognized as the #1 CEO in the small & medium business category by Glassdoor's 2021 Top CEO Employees Choice Awards. According to our 6sense team members (via Comparably), we have the Happiest Employees and Best Perks and Benefits.  The 6sense Account-Based Orchestration Platform helps B2B revenue teams better compete and win by putting the power of AI, big data, and machine learning behind every member of the B2B revenue team, empowering them to uncover anonymous buying behavior, prioritize fragmented data to focus on accounts in market, and engage resistant buying teams with personalized, multi-channel, multi-touch campaigns. 6sense helps revenue teams know everything they need to know about their buyers so they can easily do anything they need to do to generate more opportunities, increase deal size, get into opportunities sooner, compete and win more often.  Come join us and see what all the fuss is about.  The Role:  You will join our growing People Operations team and help execute our HR strategy. You should be deadline driven, organized, detail oriented and have great written and communication skills. Most importantly, you have a customer-first mindset and maintain a personable and approachable attitude.  We are looking for a Human Resource Generalist to join our People Operations Team. In this position you will help administer HR related tasks and provide support on various HR projects.  Job Responsibilities:   Own and administer the company's global immigration procedures by ensuring all paperwork and applications for immigration visas are completed accurately and in a timely manner  Act as liaison between the company and outside legal counsel on all immigration matters  File and track all applications and petitions (H-1B, TN, L-1, F1, etc.)  Advise and provide support to employees, managers, people partners and recruiters on all immigration related matters  Conduct quarterly educational trainings with the recruiting team to ensure compliance, alignment, and understanding of our immigration processes  Standardize immigration policy in partnership with the legal team  Maintain personnel files in compliance with applicable legal requirements  Maintain Public Access Files and ensure compliance with record keeping requirements  Assist in new hire onboarding process, including tracking new hires, communicating with new hires, setting up employee profiles, creating new employee files, ensuring all necessary paperwork is properly filled out and conducting new hire orientations  Provide additional administrative support on a variety of HR projects as needed  Stay up to date on Global HR and immigration laws (payroll, benefits, compliance, terminations, leave of absence, etc.)   Requirements and Qualifications:   2-4 years of HR Generalist experience  2-4 years of previous immigration experience  Solid understanding of immigration visa processes and procedures in the United States  Exposure to immigration processes and procedures in the UK, Canada, Singapore, and India  Benefits & Payroll Administrative knowledge  Working understanding of human resources principles, practices and procedures  Understanding of employment law  Excellent Collaborator  Strong skills using Microsoft Office Suite  Willingness to take initiative  Strong communication skills, both oral and written  Bachelor's degree in human resources or related field preferred   6sense is an Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. If you require reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to jobs@6sense.com.   #LI-remote",1 day ago,2 reviews
https://www.indeed.com/viewjob?jk=7e3594b91f54926d&from=web&vjs=3,420,Technical Trainer (Virtual),"Amazon Web Services, Inc.",Remote,"      AWS Solutions Architect Associate Certification     4+ years of experience in programming, systems architecture or systems administration     Experience conducting classroom training for related technology products and services     Technical degree (i.e. Computer Science) or 4 years' equivalent experience     Our mission is to be Earth's most customer-centric company. This is what unites Amazonians across teams and geographies as we are all striving to delight our customers and make their lives easier, one innovative product, service, and idea at a time.      Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform, offering over 175 fully featured services from data centers globally. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—are using AWS to lower costs, become more agile, and innovate faster.      As cloud technologies continue to transform businesses, skilled individuals are in high demand. At AWS Training and Certification (T&C), we are passionate about revolutionizing the way people advance their cloud skills and careers. We equip diverse builders of today and tomorrow with the knowledge they need to leverage the power of the AWS Cloud. Join our dynamic, fast-growing team and help us empower our customers to build cloud skills.      Are you interested in working as a Technical Trainer, directly serving a wide variety of customers and staying current on all the latest technology that AWS has to offer?      In this role, you will deliver training content to developers, administrators, architects, and partners to drive adoption and usage of AWS infrastructure services. You’ll have an opportunity to combine a passion for teaching, with enthusiasm for technology, to drive learning and establish positive customer relationships. You must have excellent communication skills and proven technology training experience.        Responsibilities (What’s cool about this job?):          Deliver instructor-led classroom training to end-user customers and partners on a regular schedule in US and abroad     Assist in developing & maintaining technical training content, lab exercises, presentations, and accompanying materials     Mentor and train internal and external authorized trainers as part of a train the trainer program     Special Projects as assigned     Please note that travel for this role is up to 50% globally (post-pandemic)      *** This position must be based near an office in the Central US: From the Great Lakes to Dallas ***      Inclusive Team Culture   Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have twelve employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.      Work/Life Balance   Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.      Mentorship & Career Growth   Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.            Knowledge and/or hands-on experience with AWS infrastructure services highly desired     A strong “stage presence” and ability to manage a classroom of adult learners     Self-sufficient, self-starter with proven success taking ownership of training projects     Excellent oral presentation skills, interpersonal communication, and writing skills     Experience designing and developing instructor-led content with technical subject matter content     Subject matter experience and experience in at least two of the following:     Artificial Intelligence (AI)     Big Data     DevOps     Internet of Things (IoT)     Large scale application or data center migration     Machine Learning (ML)     Serverless computing     Software Engineering or Application Development     Solutions Architecture     System Operations     Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us      The pay range for this position in Colorado is $101,100 - $160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location.      Pursuant to the San Francisco and Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",30+ days ago,"81,490 reviews"
https://www.indeed.com/viewjob?jk=2b46b4da146d0626&from=web&vjs=3,420,Software Engineering Manager,Climate Central,Remote,"  The time is now to join a high-impact effort addressing the unprecedented challenges of climate change. Climate Central is a non-profit organization that sits at the intersection of cutting-edge scientific research and public communication. We are looking for a motivated, standout engineering leader for our experienced, distributed team. The scale of our challenges requires leveraging the best available computational methods, infrastructure, and talent. We have a larger portfolio of ambitious technology projects than ever before, and are looking for deep expertise in software development and engineering management to realize our vision.   Your responsibilities will include:       Managing a small team of experienced software developers    Crafting specifications, designs, and system architectures    Coordinating contributions to large systems    Thoughtful design and code reviews for SQL and Python code    Collaborating with the CTO, product and project managers to ensure development activities are aligned with business goals    Streamlining our research-to-product pipeline in collaboration with climate scientists and data scientists    Insisting on engineering excellence, while maintaining a very tight development schedule    Hands-on contributions to systems where it makes sense, in balance with other duties     Essential qualifications for this role:       10+ years of professional Python and/or SQL development for production software systems    Significant direct experience (3+ years) developing for PostgreSQL    Superb polyglot programming skills    Expertise in software architecture of batch processing systems    Expertise in managing code complexity    Accomplishment as a technical designer, expositor and communicator    Demonstrated leadership by example     Preference will be given to candidates who:       Have at least some Machine Learning or data science education or experience. The more the better.    Have experience with geospatial data and GIS systems, including PostGIS SQL extensions    Have experience working with social network data, especially Twitter    Have experience with Python web frameworks - Django and Django REST Framework in particular     Location      This position could be substantially or even fully remote. We are a 21st Century organization and understand the value of distributed teams. However, we also value on-site presence. Climate Central’s headquarters are in Princeton, N.J., operating under standard US Eastern time business hours. Preference will be given to candidates who are able to be present in our Princeton, NJ office at least once per month, and ideally once per week or more. Candidates must be eligible for employment in the United States.     Compensation      Compensation is competitive for a mission-driven non-profit. Salary will depend on qualifications.     Diversity      Climate Central strongly encourages diverse candidates to apply. We are an Equal Employment Opportunity employer and as such do not discriminate against any applicant for employment or employee on the basis of race, color, religious creed, gender, age, marital status, sexual orientation, national origin, disability, veteran status or any other classification protected by applicable discrimination laws.     How to Apply      Please send your cover letter including salary expectations and your resume to ""jobs -at- climatecentral.org"" with the exact subject line, “Engineering Manager” (no quotes). Due to the volume of employment applications and queries received, Climate Central is unable to respond to each application individually. Applicants will be contacted directly if selected as a candidate. The search will close when a successful candidate is recruited.     Job Type: Full-time   Pay: From $140,000.00 per year   Benefits:      401(k)    401(k) matching    Dental insurance    Flexible schedule    Health insurance    Health savings account    Life insurance    Paid time off    Parental leave    Professional development assistance    Tuition reimbursement    Vision insurance     Schedule:      Monday to Friday     Experience:      Software Engineering: 10 years (Required)     Work Location: Remote ",,
https://www.indeed.com/viewjob?jk=1934746d7e53c8b5&from=web&vjs=3,420,Machine Learning Engineer,EXL Services,Remote,"  Overview EXL (NASDAQ:  EXLS) is a leading operations management and analytics company that designs and enables agile, customer-centric operating models to help clients improve their revenue growth and profitability. Our delivery model provides market-leading business outcomes using EXL’s proprietary Business EXLerator Framework™, cutting-edge analytics, digital transformation and domain expertise. At EXL, we look deeper to help companies improve global operations, enhance data-driven insights, increase customer satisfaction, and manage risk and compliance. EXL serves the insurance, healthcare, banking and financial services, utilities, travel, transportation and logistics industries. Headquartered in New York, New York, EXL has more than 32,000 professionals in locations throughout the United States, Europe, Asia (primarily India and Philippines), South America, Australia and South Africa. For more information, visit www.exlservice.com.      Job description   The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.   Responsibilities         Design and Develop solutions using Machine Learning/Deep Learning and other advanced technologies to solve a variety of problems     Translate user stories and business requirements to technical solutions by building quick prototypes or proof of concepts with several business and technical stakeholder groups in both internal and external organizations     Work with Machine Learning and Data scientist to build features for products.     Convert the proof of concepts to production-grade solutions that can scale for hundreds of thousands of users     Be hands-on where required and lead from the front in following best practices in development and CI/CD methods     Own delivery of features from top to bottom, from concept to code to production     Develop tools and libraries that will enable rapid and scalable development in the future     Architect key paradigms, pipelines and other mechanisms to take ML systems from proof of concepts to realities in Production     Analyze raw data: assessing quality, cleansing, structuring for downstream processing     Design accurate and scalable prediction algorithms     Collaborate with engineering team to bring analytical prototypes to production     Generate actionable insights for business improvements     Qualifications         Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.) & 5-6 Years of Industry experience     2-7 years' of experience in quantitative analytics or Predictive modeling     Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and Deep Learning algorithms     Fluency in a programming language     Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)     Mathematical understanding of a variety of statistical learning algorithms     Expertise in a variety of Deep Learning architectures including Residual Networks, RNN/CNN, Transformer, LSTM, time series modeling – And delivering value using these in real production environments for real customers     You have deep proficiency in Python and at least one major language (Java, R, Go, Rust, C,C++)     You are very fluent in one or more ML tools like Tensorflow, Pytorch, Caffe, and/or Theano and have solved several real-life problems using these     You preferably have proficiency and experience working with AWS tools or equivalent tools (services) on other clouds (Azure, GCP)     Visualization tools such as QuickSight, Power BI, Tableau is a good to have     Employment Type   Full-time      EEO/Minorities/Females/Vets/Disabilities      Please be aware that EXL requires all employees to be vaccinated for COVID-19. This position will require the successful candidate to obtain and show proof of a vaccination. EXL is an equal opportunity employer, and will provide reasonable accommodation to those individuals who are unable to be vaccinated consistent with federal, state, and local law.      Please also note that the data shared through the job application will be stored and processed by EXL in accordance with the EXL Privacy Policy.",30+ days ago,"1,670 reviews"
https://www.indeed.com/viewjob?jk=3b579ff7783533d6&from=web&vjs=3,420,"Senior Software Engineer, Machine Learning",Jane Technologies,"Santa Cruz, CA","Jane Technologies -  Senior Software Engineer, Machine Learning  Jane Technologies, Inc. is an MIT-founded technology company in the cannabis industry, and we are growing extremely quickly. Our technology digitizes dispensary inventories and creates virtual menus to allow users to explore, purchase, and review products. Our secret sauce is a clean product catalog with rich content, which we use to map inventory across thousands of stores to a single product. For this reason, we have some of the cleanest transactional, browsing, and product data in the industry. And we're looking for a passionate, personable, creative, and entrepreneurial software engineer to work with our machine learning engineers to leverage the data.  Culture is the single most important component of Jane's success to date. A successful candidate will thrive in our environment of mutual support, relentless pursuit of excellence, creativity, and complete lack of ego. We believe in the cannabis industry's ability to bring well-being, health, and love into this world, and it is our mission to bring confidence to the online cannabis shopping experience. To learn more about who we are, our culture, and whether this is the right place for you, read our Key Values profile: https://www.keyvalues.com/jane. Check out our product at: https://www.iheartjane.com/.  About Us:   We are a small close-knit team of highly technical engineers with diverse backgrounds.  We have a strong engineering culture, which values lean development, data-driven practices.  We are rapidly growing 20% month over month and are always tackling challenging and interesting technical problems  We are building machine learning services that leverage our industry leading data sources. Our initial focus is with personalization, but we have plenty of data to grow beyond that scope!   What You'll do:   Build scalable backend services and APIs that power our machine learning services.  Work with other senior engineers to contribute to high level decisions about the architecture and design.  Work with Product Managers to bring the power of machine learning to our customers.  Work with Data Scientists and Machine Learning Engineers to integrate machine learned models into production services, build tools for debugging and automation, and integrate new features.  Help communicate and implement best practices across the engineering team.  Perform and participate in design reviews and code reviews.  Identify and resolve performance bottlenecks.   Qualifications:   4+ years of professional software engineering experience in a product-centered team.  Strong Computer Science fundamentals: compute, storage, and network.  Proficiency in at least one system language: Go (preferred), Java, etc.  Ability to grow and adapt to a rapidly evolving technology stack.  Can dive deep into complex problems.  Ability to write readable, testable, extendable code.  Fierce passion about collaboration and the way you develop software.   Preferred Qualifications:   Experience supporting services and/or platforms that are highly dependent on ML models.  Experience integrating Tensorflow into runtime binaries is a huge plus.  Experience building feature stores and their associated data pipelines to be used for online and batch inference.  Experience with data-intensive applications.   Jane Technologies is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets.",30+ days ago,
https://www.indeed.com/viewjob?jk=cd7962963e9d302a&from=web&vjs=3,420,Data Scientist – Machine Learning Engineering,Plentina,Remote,"         Overview      Plentina is an early-stage fintech startup on a mission to serve the world’s emerging middle class with access to affordable credit. There are 4B underbanked people in the world, most of whom are in emerging markets that lack a viable credit infrastructure. We’re building new approaches to unlocking creditworthiness at scale for the world’s unbanked. Plentina was founded by two Stanford graduates that are alums of tech and finance giants including Google, NASA, Bridgewater Associates, and Charles Schwab.      The team is a group of passionate individuals striving to unlock the potential for emerging markets by providing access to finance through a collection of diverse skill sets working together to provide customers value.      The role      Plentina is looking for a mission-driven Data Scientist that can lead the design of our core AI models driving outcomes for both our users and the financial health of our company. We’re seeking candidates who are experts at the lifecycle of data in a company, whose technical ability does not limit the theoretical performance of our data. You’ll collaborate with our data team and technical CEO to impact the company’s bottom line.      Training will be paid for by the company as necessary to keep up to date with the latest regulation changes.      The Data Scientist will report directly to the technical Chief Executive Officer.      What is expected in the role:      Ultra passionate about our mission to unlock financial services for the emerging middle class in emerging markets.   Comfortable being part of a high risk / high reward startup environment as a member of our founding team   Strength in producing accurate models that are flexible to the needs of our business.   Enough coding skills and best practices to be able to take on a software engineer role if they so desired, in order to efficiently access and process our data and maintain our algorithms.   Experience processing big data on distributed cloud computing and deploying machine learning algorithms to production.   Ability to analyze data quickly, understand data collection processes and how they impact signals we’re measuring.   Experience building and improving algorithms through a variety of techniques, with a good understanding of what drives algorithm performance   Manage the end to end lifecycle of a machine learning model from model development to deployment and monitoring.   Excellent ability to convert between business needs and data insights, with excellent communication skills   Experience with and respect for data privacy and security practices   Transparency in both the successes and setbacks of work       Company:       Plentina       Qualifications:       3-5 years of professional experience with machine learning / data analysis / data engineering in production   2-3 years of professional experience developing and launching data pipelines in production   Experience developing on cloud platforms   Intermediate experience with Python-based data processing and machine learning frameworks   Experience with MLOps   Expert level experience in Python/SQL   Experience with Google Cloud Platform   1+ year of experience in a fast-growing start-up company   1+ year of professional data science experience in retail or financial applications   Working with remote teams   Research publications, an advanced degree, or industry experience featuring expertise in machine learning or statistics       Level of experience (years):       Mid Career (2+ years of experience)           Tagged as: Big Data, Data Mining, Industry, Philippines      ",30+ days ago,
https://www.indeed.com/viewjob?jk=629de35aee751425&from=web&vjs=3,420,Senior Data Scientist,OneSignal,Remote,"  1+ million mobile app developers and marketing teams use OneSignal to send push notifications, in-app messages, emails, and SMS messages. We started as a YCombinator-backed company. Our founders were frustrated with existing push notification tools, so we built our own system. Our customers can design banners, pop-ups, and interstitials without a single line of code.   When you pick up your smartphone, the first thing you will see are push notifications - maybe there’s a breaking news alert, a football game reminder, a promo from your favorite retailer. Whatever it is, chances are the message you are reading was sent using OneSignal. Now we help businesses send over 10 billion push notifications a day.   We have raised a total of $35M from investors including SignalFire, Y Combinator, Rakuten Ventures, and Hubspot. OneSignal customers include Volkswagen, Verizon, Burger King, 7 Eleven, Zynga, Virgin Mobile, KFC, and many more. Join us in scaling the business!   OneSignal has a lot of the great tech startup qualities you'd expect, but we don't stop there. Our massive scale and small team, emphasis on healthy life balance and kindness in all our interactions, and focus on ownership and personal growth make OneSignal a uniquely great place to work.   In a typical month, you’ll support our teams by:       Wear many different hats at a startup. Provide thought leadership by deriving strategic insights from TB-level data. Evaluate, develop, and build automated tracking of KPIs across the business.    Model data for analytical purposes. Build visualizations to help teams align around strategic initiatives. Create in-depth analysis and dashboards that will become the source of truth for internal- and external-facing projects.    Build scalable, product-grade machine learning models to integrate with OneSignal’s product. Help customers optimize their customer engagement strategies with insights from billions of messages    Work alongside a world-class team in a full-stack data environment, with projects ranging from data extraction, transformation, to feature engineering, machine learning, and exploratory analysis.    Evaluate ways to increase the efficiency of internal data flows and help bring on new tooling to serve data use cases.    Work with distributed systems such as Presto (Trino), Airflow, Spark, dbt, and modern analytics tools such as Metabase, Superset, etc.     What you'll bring:       5+ years of experience with expertise in Data Science and Data Analytics.    Strong communications skills to collaborate cross-functionally and manage projects independently.    Self-driven and curious, not only interested in the data but also the “why” behind it.    Strong quantitative skills and critical thinking skills, with business outcomes in sight.    Skilled at querying relational databases (SQL) and visualizing data, with attention to detail.    Proficiency with Python and data science tools and libraries.    This role requires work authorization in the US.     Qualities we look for:       Friendliness and empathy    Modesty    Ability to collaborate well on a team    Can deliver solutions independently    Love of learning     In keeping with our beliefs and goals, no employee or applicant will face discrimination/harassment based on: race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status. Above and beyond discrimination/harassment based on 'protected categories,' we also strive to prevent other, subtler forms of inappropriate behavior (e.g., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place in our workplace.   Job Type: Full-time ",,
https://www.indeed.com/viewjob?jk=a2acca943d8e2365&from=web&vjs=3,420,"FP&A Data Analyst Consultant (Part-Time Contractor), Virtual Role","Stride, Inc.",Remote,"     Meet Stride    Success Stories    Responsibility and Inclusion     Over 20 years ago, Stride was founded to provide personalized learning — powered by technology. We reached students where they were in their own journeys. We knocked down their barriers to great education. And we gave every learner equal opportunity to succeed — however they defined success. Stride innovated the learning experience with online and blended learning that prepared them for their lives ahead.   Stride is a community of passionate leaders. Whether teachers, engineers, curriculum writers, or financial managers — whatever your expertise or role, we all work to empower futures through learning. And changing the trajectory of learning itself is one of our greatest missions. Join us in developing more effective ways to learn and helping learners build the skills and confidence they need to make their way forward in life.   This Data Analyst Contractor will join our Financial Planning & Analysis team to develop and enhance forecasting models, and collaborate with other groups across K12’s Analytics Community of Practice.   Essential Functions: Reasonable accommodations may be made to enable individuals with disabilities to perform the essential duties.      Enhance forecasting models and tools to understand the impact of trends within the business.    Collaborate with stakeholders to ensure the forecasting model and tools are delivering reliable and valid outputs.    Perform analyses on the data derived from the tool in order to provide recommendations and implement further tool enhancements.     Supervisory Responsibilities: This position has no formal supervisory responsibilities.   Minimum Required Qualifications:      Bachelor’s degree in Analytics, Business, Finance, STEM, or relevant field AND    Five (5) years in relevant experience OR    Equivalent combination of education and experience     Certificates and Licenses: None required   OTHER STRONGLY DESIRED QUALIFICATIONS:      4 years of data-focused development in Python    2 years development of machine learning models in Python or similar language    2 year creating dashboards and visualizations within Excel    2 years of data development within SQL (procedures, views, modeling business rules)    Strong capabilities within the following areas:    Problem-solving / critical thinking    Teamwork / collaboration    Written and verbal communication    Ability to pass required background check     Work Environment: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.      This position is virtual and open to residents of the 50 states and D.C.    We anticipate this position will pay between $32.29 to $100.00 per hour. This is a temporary/contractor role and you will be an employee of Randstad. This salary is not guaranteed, as an individual’s compensation can vary based on several factors. These factors include, but are not limited to, geographic location, experience, training, education, and local market conditions. Randstad offers a robust benefits package for eligible employees that can include health benefits, retirement contributions, and paid time off.     The above job is not intended to be an all-inclusive list of duties and standards of the position. Incumbents will follow any other instructions, and perform any other related duties, as assigned by their supervisor. All employment is “at-will” as governed by the law of the state where the employee works. It is further understood that the “at-will” nature of employment is one aspect of employment that cannot be changed except in writing and signed by an authorized officer.   Stride, Inc. is a Federal Contractor, an Equal Opportunity/Affirmative Action Employer and a Drug-Free Workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected Veteran status age, or genetics, or any other characteristic protected by law.   Job Types: Part-time, Contract   Pay: $32.29 - $100.00 per hour   Experience:      SQL: 2 years (Required)    Python: 4 years (Preferred)     Work Location: Remote ",,348 reviews
