URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=28d23181c39107f3&from=web&vjs=3,20,Software Developer,SecureLink,"Nashville, TN 37203","  Who We Are At SecureLink, we take our jobs seriously, but ourselves - not so much. We’re a results-driven team that isn’t afraid of a challenge and understands the team effort required to accomplish something great. We’re also people-oriented, so respect, teamwork, collaboration, and culture are some of our top priorities. When you work for SecureLink, you’re making a difference. As the industry leader, it’s our mission to secure the most critical systems and highly sensitive data of organizations around the globe. SecureLink provides security, privacy, data governance, and compliance solutions for companies across multiple industries, including healthcare, critical infrastructure, manufacturing, government, legal, and gaming. Whether you’re helping organizations implement secure third-party remote access, developing innovative solutions using the most advanced machine learning and artificial intelligence tools and approaches, providing mission critical support or contributing to our sales and marketing efforts, you’re making the world a more secure and safe place while working at SecureLink. Our Vision At SecureLink, we value authenticity over perfection. We know that coming as you are can feel unsafe in some work environments. SecureLink employees and leadership are working to create an empowering environment for everyone. We are committed to the ongoing examination of our practices, candid evaluation of our own biases, data-informed improvements, and respectful forums for voicing our honest perspectives and feedback. We foster a workplace environment marked by creativity, collaboration, and most importantly, kindness. Different ideas, perspectives, and backgrounds create a stronger and more creative work environment that delivers better results. We embrace differences and do not discriminate on the basis of actual or perceived race, ethnicity, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital/family status, veteran status, sexual orientation, gender identity and expression, genetic information, political affiliation, neurodiversity, socioeconomic background or any other characteristics that make us unique. Choose Where You Work At SecureLink, we believe trust is an essential ingredient for building productivity in the workplace. We want to ensure that all of our employees feel both safe and productive. Our employees have the option to work 100% remotely, 50% remotely, or 100% from our physical offices located in Austin, TX, Nashville, TN, and San Jose, CR. What You'll Do SecureLink offers a large scale web application using Python and Django to audit PHI accesses in compliance with HIPAA through a feature full, data-focused interface. Our product is crucial to our customers and success depends on our ability to evolve the product to satisfy new customer demands while continuing to improve stability and maintaining security and quality. Day-to-day responsibilities include:      Helping improve product quality and performance.    Designing, building, and maintaining UIs, services, and systems to fulfill product needs.    Working with other engineers and product owners building new features.    Aiding a team of support engineers in monitoring and addressing real time issues that may arise.     You Might Work On      Creating and supporting environments to house instances of the app.    Creating design documents and specifications out of requirements.    Expanding our automated test suite.     What You'll Need      2-5 years experience as a Software Engineer, or similar experience in software with regards to testing, reliability, architecting, and usability.    Experience developing, maintaining, and supporting complex web applications.    A team player mentality.    Solid coding skills in Python and Javascript.    Experience with working in React or another comparable front-end framework.    Experience with working in Django or another comparable web framework.    Experience with SQL based databases.    Ability to learn new concepts quickly.     What's it Like to Develop Software at SecureLink? SecureLink is building a world-class solution for Critical Access Management, supporting over 900 customers in a wide range of environments. We strive to make our products easy to use, maintain, and deploy. We have several teams focused on:      Platform: preparing the Operating System, hardening the system for production, reliability, operability, and support    Application: multiple, feature-full web applications and the backend services that deal with audit, connectivity, and patient privacy.    Integrations and customizations (APIs, SDKs, customer data, etc).    Internal tools and development experience: CI/CD, data integrations, automating deployments, and creating virtual environments.    System-level development: Windows, Mac, and Linux drivers and native clients.    Cloud Operations: (AWS, EC2, IAM, etc.)    User Experience and Design: bringing applications up to date with the latest front end technologies     We encourage our engineers to experiment with a wide set of languages, technologies, and tools. So far we maintain projects in Java, Javascript, C, C++, C#, Objective C, Swift, Go, Bash, and Python. We’ve also let our developers contribute to open source projects from which we have benefited. We like to have fun and solve hard problems. Our team is highly motivated, smart, and supportive. If you thrive in a collaborative environment and would like to learn more about the position, we would like to hear from you. Why Choose Us SecureLink doesn’t just Have Fun Creating Value Over the Long Run (HFCV/LR) for our customers and shareholders, we Have Fun Creating Value in the lives and careers of our employees. SecureLink invests in employee development including extensive job and product training, access to LinkedIn Learning, monthly knowledge sharing sessions, career pathing, professional development, and more. Benefits also include:      Medical, dental, and vision insurance - SecureLink pays 100% of the premium for employees and 75% for dependents.    We contribute generously to your HSA (75% of the IRS maximum allowable).    We help you save for retirement. We contribute equivalent to 3% of your annual base salary to a 401k.    Employees enjoy unlimited PTO, including the time to volunteer.    We give $100 per month towards cell phone reimbursement.    At the office, employee perks include two meals a day, bringing your dog to work, and an onsite gym.     #BI-Remote   Job Type: Full-time ",,
https://www.indeed.com/viewjob?jk=c1164c2b928092ce&from=web&vjs=3,20,Senior Technical Product Manager (Remote),Frontdoor,"Memphis, TN 38111"," Overview      Frontdoor is a company that’s obsessed with taking the hassle out of owning a home. With services powered by people and enabled by technology, it is the parent company of four home service plan brands: American Home Shield, HSA, Landmark and OneGuard, as well as ProConnect, an on-demand membership service for home repairs and maintenance, and Streem, a technology company that enables businesses to serve customers through an enhanced augmented reality, computer vision and machine learning platform. Frontdoor serves 2.2 million customers across the U.S. through a network of approximately 17,000 pre-qualified contractor firms that employ an estimated 60,000 technicians. The company’s customizable home service plans help customers protect and maintain their homes from costly and unexpected breakdowns of essential home systems and appliances. With 50 years of home services experience, the company responds to over four million service requests annually. For details, visit frontdoorhome.com.      What is this role about?      Are you passionate about improving the quality of Customer experience? Do you thrive in a fast-paced, front-line environment in which you have the opportunity to ensure Customers benefit from quality work and great value? Would you like to chart the course that drives business growth and efficiency across all of Frontdoor? Frontdoor is looking for a Senior Product Manager to join the Frontdoor team! In this role, you will collaborate with numerous cross functional teams to identify, define and specify solutions to exceed customer’s expectations including but not limited to; seeking data from internal and external customers to test hypothesis, pilot initiatives, and help shape the Future of Frontdoor.      Responsibilities        We Are Owners:  Our Product Managers are self-starters that can juggle multiple priorities and make things happen in a fast-paced, dynamic and often ambiguous environment. You will own the definition of the Product strategy, roadmap and product features (deliverables/trade-offs) by talking with users and business stakeholders at multiple levels and dynamically lead business and product teams to define and deliver solutions. Most importantly, you will keep the customer top of mind, and their needs at highest priority.        We Are Transparent:  As a product manager you have to influence without authority and do this by building partnerships and trust across the organization. Your communication methods will produce clear, transparent, concise documents (e.g., functional, specifications, PR/FAQs), and you are comfortable communicating your project/product status regularly to business leaders.        We Build for Scale:  You enjoy getting your hands dirty in day-to-day tasks and being able to take a step back to identify opportunities for improvement. You can spot risks and ask the right technical questions to drive the correct decisions for a supportable and scalable system.        We Collaborate:  Product Managers are visible and vocal role models across the wider business for Frontdoor’s House Rules. You strive for building empathy by connecting all teams to the end-user/customer experience. You are used to, and comfortable with, working side by side with customers, UX, and engineering management to define/clarify product features and roadmap, and when you have to, you know how to escalate appropriately.        We Demonstrate Operational Excellence:  You have an eye for process improvement where you see the need. Your analytical mind will want to dive deep into the data to improve business metrics where you know you can have impact. And because you strive for perfection, it will be expected that you may challenges the status quo        We Innovate:  You fall in love with problems and understand there could be many solutions. You remain flexible to changing priorities, open to new ideas, and continually looking for new approaches to better align the busines.        We Treat Each Other With Respect:  We assume everyone is doing their best and treat everyone with respect. We expect people to have strong opinions, loosely held. This means that although you should always bring your honest and thoughtful opinions, recommendations, and experience to the table, we expect everyone to be willing to change their opinion based on new information and respect decisions.      Qualifications      5+ years of product management or consulting experience is required      5+ years of experience leading project delivery for large, cross-functional projects      Bachelor’s degree in engineering, business, design or related field; or equivalent work experience.      Experience leading initiatives with cross-functional stakeholders      Analytical and quantitative skills; experience using data and metrics to back up assumptions and develop business cases      Track record of influencing and driving change through diverse stakeholder groups      Ability to work effectively with tight deadlines in a fast-paced environment      Attention to detail and proven ability to manage multiple, competing priorities simultaneously      Demonstrated ability to work in ambiguous situations and across organizational boundaries      An ability to effectively develop key processes and procedures that facilitate efficient planning, reporting and control processes      Belief in the value of participating in and contributing to a collaborative team environment      Need help finding the right job?      We can recommend jobs specifically for you!      Job Locations US-TN-Memphis | US-CO-Denver | US-FL-Tallahassee | US-GA-Atlanta | US-ME-Augusta | US-SC-Columbia | US-VA-Richmond      ID 2022-2639      Category Engineering      Type Full Time      Company AHS American Home Shield Corp",26 days ago,2 reviews
https://www.indeed.com/viewjob?jk=81e8dffad68ed152&from=web&vjs=3,20,Data Science & Machine Learning SA w/ Conversational AI,PRICE WATERHOUSE COOPERS,"Nashville, TN 37201","A career within Data and Analytics services will provide you with the opportunity to help organisations uncover enterprise insights and drive business results using smarter data analytics. We focus on a collection of organisational technology capabilities, including business intelligence, data management, and data assurance that help our clients drive innovation, growth, and change within their organisations in order to keep up with the changing nature of customers and technology. We make impactful decisions by mixing mind and machine to leverage data, understand and navigate risk, and help our clients gain a competitive edge. As part of our Analytics and Insights Consumption team, you’ll analyze data to drive useful insights for clients to address core business issues or to drive strategic outcomes. You'll use visualization, statistical and analytics models, AI/ML techniques, Modelops and other techniques to develop these insights. To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future. As a Senior Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to: Use feedback and reflection to develop self awareness, personal strengths and address development areas. Delegate to others to provide stretch opportunities, coaching them to deliver results. Demonstrate critical thinking and the ability to bring order to unstructured problems. Use a broad range of tools and techniques to extract insights from current industry or sector trends. Review your work and that of others for quality, accuracy and relevance. Know how and when to use tools available for a given situation and can explain the reasons for this choice. Seek and embrace opportunities which give exposure to different situations, environments and perspectives. Use straightforward communication, in a structured way, when influencing and connecting with others. Able to read situations and modify behavior to build quality relationships. Uphold the firm's code of ethics and business conduct. Preferred Knowledge/Skills : Demonstrates thorough abilities and/or a proven record of success in the following areas: Using analytical models and algorithms including Machine/Deep learning, Multivariate Statistics (e.g., Clustering, Principal Component Analysis, Regression, Hypothesis testing and Factor Analysis), Optimization, and Data Mining, Exploration, and Manipulation; Leveraging structured and unstructured data for solving analytical problems; Developing and deploying analytical solutions as part of a larger automation pipeline; Using common cloud platforms e.g., Azure, AWS and GCP, for manipulating large data sources, model, development, and deployment; Performing data engineering and cleansing, train-test-validation of models, field testing (A/B Testing), and experimental test & design; Demonstrating thorough aptitude for conducting quantitative and qualitative analysis; Converting client problems/requests into appropriate analytical techniques; and, Explaining analytical/quantitative outcomes to internal and client teams, and correlate it to business value realized; Demonstrates thorough abilities and/or a proven record of success learning and performing in functional and technical capacities, including the following areas: Using SQL, Python (e.g. Scikit-Learn, Pandas, SciPy etc.), Relational storage (SQL); Understanding and/or hands on experience with Alteryx, R, Non-relational storage (NoSQL), tools for data visualization (Tableau, Power BI, etc); Understanding of conversational (Chats, emails and Calls) data, and the use of this data to train NLP Pipeline and chatbots; Implementing NLP /NLG techniques such as parts of speech tagging, lemmatization, canonicalization, Word2vec etc.; and, Implementing bot framework like RASA and NLP tools like LUIS/ Dialog flow or Lex. At PwC, our work model includes three ways of working: virtual, in-person, and flex (a hybrid of in-person and virtual). Visit the following link to learn more: https://pwc.to/ways-we-work.  PwC does not intend to hire experienced or entry level job seekers who will need, now or in the future, PwC sponsorship through the H-1B lottery, except as set forth within the following policy: https://pwc.to/H-1B-Lottery-Policy.  All qualified applicants will receive consideration for employment at PwC without regard to race; creed; color; religion; national origin; sex; age; disability; sexual orientation; gender identity or expression; genetic predisposition or carrier status; veteran, marital, or citizenship status; or any other status protected by law. PwC is proud to be an affirmative action and equal opportunity employer.  For positions based in San Francisco, consideration of qualified candidates with arrest and conviction records will be in a manner consistent with the San Francisco Fair Chance Ordinance.  For positions in Colorado, visit the following link for information related to Colorado's Equal Pay for Equal Work Act: https://pwc.to/coloradoadvisoryseniorassociate.  #LI-Remote",30+ days ago,"7,980 reviews"
https://www.indeed.com/viewjob?jk=997d7598781674e3&from=web&vjs=3,20,SYSTEMS ADMINISTRATOR-ADVANCE - 04212022-30533,State of Tennessee,"Nashville, TN 37243","              Job Information                                            State of Tennessee Job Information                                               Opening Date/Time                               Thur 04/21/2022 12:00AM Central Time                                                           Closing Date/Time                               Wed 05/04/2022 11:59PM Central Time                                                           Salary (Monthly)                               $5,483.00                                                           Salary (Annually)                               $65,796.00                                                           Job Type                               Full-Time                                                           City, State Location                               Nashville, TN                                                           Department                               Finance and Administration                                                                     LOCATION OF (1) POSITION TO BE FILLED: DEPARTMENT OF FINANCE AND ADMINISTRATION, STRATEGIC TECHNOLOGY SOLUTIONS DIVISION, DAVIDSON COUNTY                This position requires CJIS & FTI fingerprints.         This position requires a criminal background check. Therefore, you may be required to provide information about your criminal history in order to be considered for this position.                                 Minimum Qualifications                                   Education and Experience:  Graduation from an accredited college or university with a Bachelor's Degree and two years of experience in the configuration, maintenance and replacement of enterprise systems, including the maintenance of server hardware and operating systems, or the ongoing operation and support of application software running in an enterprise environment.                                      Substitution of a Specific Associates Degree for the Required Bachelor's degree:  An Information Technology Associate's degree may be substituted for the required Bachelor's degree.                                               Substitution of Education for Experience:  Any graduate coursework in Information Technology may substitute for the required experience on a year-for-year basis to a maximum substitution of one year.                                               Substitution of Experience for Education:  Experience in the configuration, maintenance and replacement of enterprise system hardware, operating systems, or the ongoing operation and support of application software may substitute for the required education on a year-for-year basis to a maximum of four years.                                      Other Requirements                                   Necessary Special Qualifications:  None.                                               Examination Method:  Education and Experience, 100%, for Preferred Service positions.                                      Job Overview                                   Summary:  Under general direction, performs enterprise systems technical support work of considerable difficulty.                                      Distinguishing Features:  An employee in this class functions in a working capacity to perform advanced systems administration duties, analyzes system logs and researches failure codes for resolutions and implements solution. This class differs from that of Systems Administrator-Intermediate in that an incumbent of the latter functions in a working capacity to perform systems administration duties. This class differs from that of Systems Administrator Lead in that an incumbent of the latter leads or supervises complex systems administration duties and is primarily responsible for researching, architecting and designing new enterprise solutions.                                               Work Activities                                   Monitor Processes, Materials, or Surroundings:                                 Monitors systems log failure codes and researches resolutions.                           Monitor Storage Area Network Tools that manages the arrays configurations and reporting tools.                           Monitors the health of Hosts and Virtual Guests for potential issues, notify and suggest solutions for resolution.                        Analyzing Data or Information:                          Assists in collecting statistical information to monitor growth and report to management.                           Analyze system logs and researches failure codes for resolutions and implements solution.                        Interacting With Computers:                          Assist in adding Network Attached Storage (NAS) and Storage Area Network space.                           Assist in configuration of Network Attached Storage for Network File Shares (NFS) and Common Internet File System (CIFS).                           Assist in connecting and monitoring fiber channel connectivity using fiber switches.                           Assist in setting up Storage Area Network (SAN) to include Raid groups across the disks to adhere to vendor's best practice across different disk types.                           Assist Administrators in setting backup clients and performing recoveries.                           Assist in working with Enterprise Backup Solutions in an Enterprise Environment.                           Maintains Enterprise tape libraries and maintains tape robots.                           Assist server administrators on loading proper backup clients for the operating system on the supported server.                           Assists Agencies with all backup environments to include non-enterprise supported tape libraries and tape drives.                           Assists backup personnel with loading backup tapes in all respective tape drives and robotic libraries.                           Configure tapes to be used in enterprise library by using enterprise backup best practices.                           Assist in configuring server and data backup to adhere to state methods.                           Assists in using server and data backup support tools to provide backup reports and ensure all backups are completed.                           Assist server Administrators in managing and provisioning storage within the Server Operating System.                           Assist in server and data backup support issues.                           Assist in the maintenance of Enterprise server and data Backup solution for enterprise environment.                           Assists in Maintaining Operating Systems in which Enterprise solutions reside.                           Configures, maintains and performs reporting on Data Domain storage for Enterprise Backup Environment.                           Support by using IT Best Practices for administering Operating Systems and Virtualization technologies and backup devices and components.                           Assist in the maintenance and configuration of enterprise Backup network.                           Assist in troubleshooting server and data backup client routing and server/datacenter firewall issues.                           Assist in the Configuration of disk pools, storage groups, storage units, volume units, and robotic libraries.                           Assist in the installation of Storage Area Networks (SAN) to include Raid groups across the disks to adhere to vendor's best practice across different disk types.                           Utilizes Virtual Operating System console to assist in troubleshooting issues, review logs and manage the virtual environment.                           Creates virtual machines, modify existing virtual machines, manage virtual machines and configure virtual machines base on customer requests or performance needs.                           Maintain enterprise servers and data Backup solution for enterprise environment.                           Configure, Monitors and implements Storage Area Networks to include Virtualization methodologies.                           Configure applications to correct storage tiers due to performance requirements.                           Installs, configures and maintains operating systems for servers in which Enterprise solutions reside.                           Configures and breaks replications on the Storage Area Network to ensure proper failover for Disaster Recovery.                           Installs and configures Storage Area Network (SAN) to include Raid groups across the disks to adhere to vendor's best practice across different disk types.                           Configures, maintains, and troubleshoots Data Domain storage devices for Enterprise Backup Solution.                           Creates and manages disaster recovery procedures.                           Implement by using IT Best Practices for administering Operating Systems and Virtualization technologies and backup devices and components.                           Maintain Storage Area Network Tools that manages the arrays configurations and reporting tools.                           Maintains and configures enterprise Backup network to ensure enterprise backup environment.                           Troubleshoots advanced backup issues to include client side, routing and server/firewall issues.                           Create Clones of virtual machines.                           Configures and implements disk pools, storage groups, storage units, volume units, and robotic libraries are established.                           Provisions new technologies for enterprise environment.                           Installs, troubleshoots, Monitors and Maintains enterprise support tools to provide reports and functionality.                           Configure enterprise storage to connect to all different Operating Systems.                           Perform maintenance tasks that include downloading, validating and applying enterprise level patches on systems.                           Installs and configures, maintains virtual components as well as upgrade Virtual based on vendor best practices.                           Determine the needs of Storage Area Network space resources based on customer requests.                        Documenting/Recording Information:                          Documents environments to include policies and procedures.                        Coaching and Developing Others:                          Assists team members with resolving assigned problem management incidents.                        Getting Information:                          Monitors and responds to incidents using the problem management database.                        Estimating the Quantifiable Characteristics of Products, Events, or Information:                          Assists in performing proactive capacity planning, including short term and long-term trend analysis, ensuring all backup and storage are monitored for capacity and stability.                        Developing Objectives and Strategies:                          Serves as part of the IT Infrastructure Team in developing and implementing next generation backup systems' architectures around backup products.                        Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment:                          Identifies and provides enterprise servers upgrades and instructions for other system administrators.                           Configures and maintains disaster recovery procedures based on multiple data centers.                           Configures and maintains all changes to enterprise environment.                        Communicating with Persons Outside Organization:                          Interacts routinely with vendors website to properly send off and return tape containers.                           Assist in setting up server and data backup rotations and shipping offsite to outside vendors.                           Schedules and works with state vendors to troubleshoot issues and discuss new technologies.                           Utilizes vendor support to troubleshoot and resolve technical problems.                        Communicating with Supervisors, Peers, or Subordinates:                          Coordinate communications between server and data backup staff and support groups to resolve issues, and to assist in escalating issues to advanced backup team members.                                               Competencies (KSA'S)                                   Competencies:                                 Decision Quality                           Functional/Technical Competency                           Problem Solving                           Technical Learning                           Organizing                           Planning                           Time Management                           Standing Alone                           Customer Focus                           Integrity and Trust                        Knowledge:                          Knowledge of Systems Log                           Knowledge of Systems Tools                           Knowledge of Array Configuration                           Knowledge of Network Attached Storage (NAS)                           Knowledge of Storage Area Network                           Knowledge of File Share                           Knowledge of Common Internet Files System (CIFS)                           Knowledge of Fiber Channel Connectivity                           Knowledge of Fiber Switches                           Knowledge of Raid Groups                           Knowledge of Systems Backup and Recovery                           Knowledge of Tape Libraries and Robots                           Knowledge of Server Operating System                           Knowledge of Storage Provisioning                           Knowledge of Enterprise Servers                           Knowledge of Data Domain Storage                           Knowledge of Virtualization Technology                           Knowledge of Firewalls                           Knowledge of Disk Pools                           Knowledge of Storage Groups                           Knowledge of Virtual Operating Systems Console                           Knowledge of Systems Logs                           Knowledge of Replication Configuration                           Knowledge of Disaster Recovery Procedures                        Skills:                          Active Listening                           Troubleshooting                           Learning Strategies                           Equipment Maintenance                           Installation                           Speaking                           Complex Problem Solving                           Operation and Control                           Operation Monitoring                           Quality Control Analysis                           Technology Design                        Abilities:                          Oral Comprehension                           Deductive Reasoning                           Oral Expression                           Problem Sensitivity                           Written Comprehension                           Written Expression                           Dynamic Strength                           Static Strength                                               Tools and Equipment Used                                            Computer                           Cell Phone                           Telephone                           Printer                           Broadband Internet                                               TN Driver Standards                                         State of Tennessee positions that may involve driving responsibilities require candidates to meet the following minimum driver qualifications:                 A valid driver's license          For the past five years, the candidate's driver record must not have record of the following violations: driving under the influence (DUI), reckless driving, license suspension for moving violations, more than 4 moving violations.                Please include your Driver's License Information under the Licenses and Certifications section of your application.         **Agencies may allow an exception based on other factors.                     ",11 days ago,972 reviews
https://www.indeed.com/viewjob?jk=2736044eff50326f&from=web&vjs=3,20,Data & Analytics Engineer,Varsity Spirit,"Memphis, TN 38133","              OUR COMMITMENT TO YOUR SAFETY       In response to the COVID 19 pandemic, we remain focused on the health and safety our current employees, customers and you, as an applicant. Interviews, onboarding, and daily work mostly takes place virtually. In areas where physical location is important (like our manufacturing plants), we strictly follow health and safety measures, including social distance, masks, and - where applicable - temperature checks.                  JOIN THE BEST TEAM ON THE FIELD IN SPORT, SPIRIT & ACHIEVEMENT              At Varsity Brands, we believe every student deserves the opportunity to succeed and every educator wants to make a difference. It takes a team to make a real impact, and through our three distinct brands – BSN Sports, Varsity Spirit and Herff Jones – and our network of 9,000+ employees and independent representatives, we are proud to partner with schools, colleges and universities across the country to transform the student journey in SPORT, SPIRIT and ACHIEVEMENT.                  THE DRIVING FORCE IN CHEER, DANCE AND BAND – VARSITY SPIRIT       Memphis-based Varsity Spirit, is the driving force behind cheerleading’s dynamic transformation into the high-energy, athletic activity it is today, is the leading global source for all things spirit, including cheerleading, dance team and performing arts. A leader in uniform innovation, as well as educational camps, clinics and competitions, Varsity Spirit impacts more than a million athletes each year. Focused on safety, entertainment and traditional school leadership, Varsity Spirit’s 5,000+ employees have been dedicated to celebrating school spirit through its brands since 1974. Our continued success relies on hiring extraordinary talent, with a passion for making a difference to help us support athletes on and off the mat.                  Your Opportunity:              Varsity Spirit is looking for an      Data & Analytics Engineer  to join our team in Memphis, TN                   What We’re Looking For           We are expanding our data and analytics team, and are looking for clever, creative, data-savvy people who can put themselves in the shoes of our business team members in order to create and manage BI and analytics solutions that turn data into knowledge and help the company improve its business performance. You will be working with a team of data professionals to deliver end to end data and analytics projects from requirements gathering, through programming, while providing technical leadership and guidance along the way.          The ideal candidate will have a background in data, business analysis, and possess expert level understanding of Power BI as well as the wider Microsoft BI stack. You should be analytical and an excellent communicator. If you also have a business acumen and problem-solving aptitude, we’d like to meet you.          You will help us deliver products to our employees and customers, not just features. You will not do this alone. You will partner with a team consisting of business analysts, project managers, software engineers, DBAs, and business partners to define and build great solutions. You will mentor junior team members providing learning and growth opportunities through real day to day work.              Job Responsibilities                 Design, develop, and maintain enterprise data lake and data analytics solutions               Translate business needs to technical specifications               Design and deploy data table structures, reports, and queries               Develop and maintain database stored procedures, views, and functions that support reporting data models               Develop and maintain ETL processes               Create analytics, visualizations, and reports for requested projects               Internal subject matter expert on Data and Analytics solutions               Diagnose and resolve database access and performance issues               Assure security of data from external parties and for management of row-level-security within the organization               Conduct unit testing and troubleshooting               Provide support for data and analytics solutions; perform triage on incidents, troubleshoot issues, and resolve while communicating with stakeholders               Works with technical solution vendors to ensure successful delivery of solutions               Provides superior customer service while managing relationships with end users, business leaders, and others to ensure service delivery exceeds expectations               Utilizes sound development life cycle practices, adheres to established processes, and documents delivery of application solutions (including business analysis, design, testing, implementation, support, and decommissioning).               Performs changes according to process, teamwork, and best practices for IT Change Management, i.e. documents change, facilitates architecture review, plans and schedules change, coordinates with stakeholders, conducts testing, ensures training needs are addressed, and plans for roll-back in the event that roll-back is needed               Develop systems adhering to security best practice (OWASP)               Properly maintain source code and documentation               Adheres to established software development processes               Actively supports corporate efforts, policies, and protocols for security, information protection, and threat protection               Responsible for the proper project hand off from build to run mode ensuring knowledge transfer, documentation, and organizational change management has been adequately completed                Knowledge, Skills, Abilities                 Maintains a customer focus               Passionate about telling stories with data               Deals effectively with ambiguity               Proven abilities to take initiative and be innovative               Analytical mind with a problem-solving aptitude               Excellent oral and written communication skills               The ability to interact with users in clear non-technical terms               Action oriented and works with a sense of urgency               Background in data warehouse design (e.g. dimensional modeling) and data mining               In-depth understanding of database management systems, online analytical processing (OLAP) and ETL (Extract, transform, load) framework               Experience with Power BI, SSAS, SSRS, Tabular-based reporting, Tabular Data Models, SQL queries               Familiarity with cloud services (Azure (preferred), AWS, Google Cloud)               In-depth understanding of data management (permissions, recovery, security, monitoring)               Comprehensive grasp of data modeling and data visualization methods               Power Query (""M"" language), and DAX language experience               Solid presentation skills and the ability to present to audiences of 10-15 people               Familiarity with Kimball methodologies of data warehousing               Understanding of Row Level Security in Power BI.               Experience with enterprise BI solution development using Azure components like Azure functions, Azure Data Factory, Azure Data Lake               Must be a team player with strong attention to detail and able to work independently               Proven track record of delivering timely and accurate results in a fast-paced environment               Excellent critical thinking, problem solving, mathematical skills, and sound judgment               Strong business acumen and ability to interface with non-technical counterparts.                Supervisory Responsibility                 Supervision of a small team of data professionals               Mentoring and training of other employees                Physical Demands and/or Work Environment              This is largely a sedentary role; however, some general office activities are required. This would require the ability to lift files, open filing cabinets, bending, standing, and walking as necessary          This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines              Travel           Overnight travel based on business needs, but generally less than 10%              Education, Certification and Experience                 Bachelor’s Degree in Computer Science, Information Systems, Math, or Engineering               3 to 5 years of experience in development with PowerBI, SQL and the Microsoft stack               Functional knowledge of GIT or other mainstream source control products               Expertise with database and data warehouse designs, data modeling, data performance tuning, data integration               Proven experience as a BI Developer               Experience with scripting languages Python, PowerShell, or DAX               Experience with Snowflake is a plus               Strong understanding of project lifecycle and delivery approaches, e.g. waterfall, agile, etc.               Experience implementing and supporting operational processes, security, and compliance policies.                Other Duties           Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.     ",30+ days ago,80 reviews
