URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=00094cae0fa0f590&from=web&vjs=3,420,Java Software Engineer,"JPMorgan Chase Bank, N.A.","Houston, TX","    As an experienced member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.           This role requires a wide variety of strengths and capabilities, including :           BS/BA degree or equivalent experience      Expertise in application, data, and infrastructure architecture disciplines      Advanced knowledge of architecture and design across all systems      Proficiency in multiple modern programming languages      Knowledge of industry-wide technology trends and best practices      Keen understanding of financial control and budget management      Ability to work in large, collaborative teams to achieve organizational goals      Passionate about building an innovative culture      Expertise in  Core Java, data structures, algorithms and infrastructure architecture disciplines       Understanding of industry wide design patterns      Experience in  developing microservices in Core Java and various frameworks like Spring, Spring Boot       Experience in  messaging platforms like Apache Kafka is an added advantage       Experience in  NoSQL DB's like Oracle SQL, Mongo DB and Dynamo DB would be added advantage       Exposure to  web technologies like Node/ReactJS would be added plus       Ability to understand functioning of monolithic technology suites and split the functionality into microservices      Past experience of driving initiatives to migrate the current technology stack from physical machines to public/private cloud would be an added advantage        JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.     We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.     The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment.     As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. Employees are expected to follow the Firm's current COVID-19 or other infectious disease health and safety requirements, including local requirements. Requirements include sharing information including your vaccine card in the firm's vaccine record tool, and may include mask wearing. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests as required by applicable law.     Equal Opportunity Employer/Disability/Veterans   ",7 days ago,"8,691 reviews"
https://www.indeed.com/viewjob?jk=8ee1746b3b2fa6f4&from=web&vjs=3,420,Cloud Administrator,ClearDATA,"Austin, TX 78701","The best Cloud Admins serve as technical guides that help customers to achieve business results. They streamline processes & positively impact customer experience by working cross-functionally across the organization (i.e. engineering, solution & enterprise architects, & product developers). The top Core Capabilities for success include:  Adaptability| Analytical Thinking | Attention to Detail | Communication | Continuous Learning | Decision Making| Customer Success | Initiative | Problem Solving | Consulting & Advising | Teamwork  Top Technical Capabilities for success include:  Cloud Infrastructure | Operating Systems | Performing system upgrades and patching | Backups and/or Restorations | Compliance | Security |  Performance Objectives:   Demonstrate solid technical knowledge and ability, and can apply key technical capabilities, with minimal or no guidance, in the full range of typical situations & seek guidance to handle novel or more complex situations  Provide technical troubleshooting assistance & guide customers to maximize success in their cloud journey  Demonstrate high performance in resolving customer issues in complex, multi-tenant environments with a managed-service focus  Maintain the security & compliance of customer environments across 3 public cloud partners (AWS, Azure, &/or GCP)  Partner with key stakeholders to optimize customer experience & deepen understanding of customer pain points & business needs  Seek opportunities to increase value, customer satisfaction & retention  Optimize key processes, documentation & knowledge sharing to enhance team success & decrease ticket resolution time   What You Need:  Minimal 1 year systems administration experience in managed service(s), service integrator(s), or similar environment(s); 6 months - 1 year cloud systems administration experience; Linux/Windows experience  You Will Stand Out, With Experience In:  Cloud Platforms (AWS, Azure, GCP) | Managed Services in Large Multi-Tenant Environments | Identity Management | Healthcare Industry | High-growth VC-backed Startup | Security and/or Compliance  Location:  Austin,TX or Remote  Engineer Success with ClearDATA:  Strong predictors of success as a Cloud Engineer is the ability to continuously learn & improve in a fast-paced, complex startup environment, collaborate & communicate with a disbursed team & cross-functionally across the organization, with a focus on providing exceptional Next-Gen Managed Services.  Common Language | Learned Behaviors | Shared Beliefs:  Insights Discovery |Servant Leadership | Lencioni |OKRs |Collaboration |Hyper-growth | VUCA | Continuous learning | Strategic innovation machine| Take risks & fail forward |High performing team model |Culture of coaching |Growth mindset & change leadership |Value creation through customer success    Rituals & Norms : Self-directed & continuous learning |Strategic Quarterly Planning & Alignment, Quarterly All Hands & Monthly Standups | Yearly engagement survey + ad hoc pulse surveys |Social events    Why You'll Like Working Here:   Contribute to the Health Care revolution to the Cloud  Casual dress code  Flexible working hours  Remote work options  Medical, Dental, Vision, HSA, Life & 401K  Unlimited Vacation!  Stock options",30+ days ago,5 reviews
https://www.indeed.com/viewjob?jk=39c5d105adb54151&from=web&vjs=3,420,Solution Architect - AI/ML Software Defined Vehicle,General Motors,"Austin, TX","Job Description  About the Team:  The SDV team supports the definition, design, and development of continuously improving mobility services. SDV is a new vehicle intelligence platform that will underpin all our future innovations across a wide range of technological advancements, including EVs and expanded automated driving. This means that you can potentially put a fingerprint on the vehicles that drive down the road! This space is ripe with technical leadership opportunities for sophisticated technology development, as well as the ability to provide mentorship for new employees. You can flex your collaboration muscles as you will be tasked with working with several other areas of engineering, IT, and the business. The Automated Driving, Active Safety (ADAS) Mapping Software team develops and delivers mapping software solutions using artificial intelligence and machine learning (AI/ML) techniques to support GM's automated, hands free driving solutions for North America and beyond. We tackle the many challenges of map topology, scalability, real-time performance, verification and safety. The team is part of an Agile Release Train in the SAFe© framework.   The Role  The AI/ML Solution Architect is a technical leader who will contribute to the overall technical design of a variety of data driven systems across the vehicle AI/ML product suite that provide key capabilities in enabling future Automated Driving within General Motors. Role will support mapping systems that support GM ADAS solutions.   Responsibilities include:  Lead the overall AI/ML product architecture approach; acting as the solution architect on specific vehicle oriented AI/ML products Engage with stakeholders and relevant 3rd parties to coordination technical integration Ensure the integrity of product architectures across the vehicle AI/ML landscape, the software-define vehicle landscape and the software-enabled services landscape Design and architect scalable and resilient data driven systems Engage senior GM business executives and engineering leadership on solutions and technology capabilities  Additional Job Description  Required Skills and Experience  5+ years of industry software development experience 4+ years' experience with Java, Python and databases (Oracle, MySQL, Elastic Stack) 2+ years' experience in an Architect /Technical leadership position Deep experience in software development practices as well as mastery in data collection, system architecture, design, and integration Experience in developing highly scalable, and high-performance distributed systems, with a proven understanding of data structures and algorithms An understanding of technical security as it applies to application and system design Bachelor's Degree in Computer Science, Software, Electrical or Computer Engineering  Preferred Skills and Experience  A master's degree in a technical discipline, or the background and experience that demonstrates a similar level of strong programming skills and practices Design and development of stream/event-processing architectures using technologies such as Kafka, Spark, Akka, Flink or their equivalents Design and development of cloud native applications using Pivotal Cloud Foundry or equivalent PaaS Knowledge and experience with application containerization and orchestration such as Docker and Kubernetes Experience with large datastore technologies such as HDFS, Cassandra, Elastic, S3 Experience with geospatial data processing, analytics, and visualization Understanding of major automotive vehicle systems such as Advanced Driver-Assistance (ADAS) Experience with Machine/Deep Learning algorithms Experience with Data Visualization and Business Intelligence tools (e.g. HUE, Jupyter, PowerBI)  About GM  Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.   Why Join Us  We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.   Benefits Overview  The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:  Paid time off including vacation days, holidays, and parental leave for mothers, fathers and adoptive parents; Healthcare (including a triple tax advantaged health savings account and wellness incentive), dental, vision and life insurance plans to cover you and your family; Company and matching contributions to 401K savings plan to help you save for retirement; Global recognition program for peers and leaders to recognize and be recognized for results and behaviors that reflect our company values; Tuition assistance and student loan refinancing; Discount on GM vehicles for you, your family and friends.  Diversity Information  General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.  We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.   Equal Employment Opportunity Statements  The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",Today,"9,341 reviews"
https://www.indeed.com/viewjob?jk=c17fb9eee6bd856d&from=web&vjs=3,420,Group Product Manager,Jerry,"Austin, TX","              We'd love to hear from you if you are:                   Excited to make a big impact at one of LinkedIn's Top 50 technology startups      Passionate about solving problems in a huge market ($2T market size)      Energized by working on products that have traction (17X revenue growth in 2 years)      Looking for an opportunity to work closely with serial entrepreneurs and strong leaders who have scaled companies like Amazon, Facebook, Alibaba, Robinhood, SoFi, Microsoft, etc.                   About the role:                   Partner with senior leaders to create and execute a well-defined product vision, strategy and roadmap for our core insurance product       Hire and manage a high-performing product org      Develop guiding principles and provide mentorship to the product team       Drive disciplined research efforts to understand customer needs, define priorities and product decisions      Define, monitor, and analyze product metrics, and incorporate learnings back into the development process                   About you:                   Creative problem-solver: No challenge is too complex, no issue is too hard, and “no” is not an acceptable answer.      Data-driven: You're extremely analytical and live in data. At the same time, you're confident enough to make decisions when the data is limited.      Curious: You can dig deep past the number to understand the underlying reasons/story behind the data      Driver: You set a high bar for yourself and those around you. Your energy and determination inspire your team to continuously strive for better.                   Requirements:                   8+ years of product leadership experience       Proven track record running a high-performing product team      Experience building and scaling intuitive, end user products      Intimate knowledge of user-centric design principles and best practices                     About Jerry:                   Jerry is building the first Super App to save car owners time and money on all their car expenses. Drivers deserve better. That’s why we’re committed to making shopping for insurance, financing, maintenance, repairs, parking and more just a few clicks, texts, or swipes away.                  Jerry is taking processes that haven’t substantively changed in decades and reimagining and redesigning them. Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all car-owners’ needs.                  Today, Jerry is the #1 rated and most downloaded app in its category and the fastest way to compare and buy car insurance. We have more than 1M customers and we are just getting started. Join our team of curious and passionate people who love tackling real-world problems and be a part of building a revolutionary product that’s disrupting a massive market.                  Jerry was founded in 2017 by serial entrepreneurs and has raised more than $130 million in financing.           ",6 days ago,8 reviews
https://www.indeed.com/viewjob?jk=729bb91d3b799bb1&from=web&vjs=3,420,Research Assistant I,Baylor College of Medicine,"Houston, TX 77030","Summary The department of Neuroscience is seeking a talented Research Assistant to join a multi-disciplinary team of scientists and engineers working on large scale technologies for brain activity and connectivity mapping. The applicant will support a team of leading researchers in experimental neuroscience, computational neuroscience, and machine learning in an effort to discover algorithmic principles that bridge artificial and natural intelligence and link brains to intelligent machines. The goal of the team is to understand the brain’s mechanisms of intelligence and engineer smarter AI. We are hiring someone with NHP and/or large scale electrophysiology experience who will be involved in exciting projects studying brain cognition using state of the art facilities and tour de force large scale electrophysiological recordings including neuropixels. This individual will perform responsible research working with non-human primates. Job Duties Plans, directs and conducts research experiments. Collects, evaluates and analyzes data. Documents results of experiments and reports to principal investigator. Trains and orients less experiences staff. Assists with protocol development and compliance. Regularly inspects and maintains lab equipment and lab facilities to meet sanitation standards that assure the highest quality of animal care. Monitors to assure compliance with USDA, PHS, AAALAC, BCM and other relevant regulations, guidelines and policies. Interacts and coordinates with veterinary services staff to assure health and welfare of animals. Works closely and interacts daily with NHP to assist with aspects of their daily routine. Assists with several aspects of surgery preparation and surgery, including organizing and setting up surgery tools, monitoring patient vitals, etc. Works with BCM vets and vet techs to assist with pre-operative and post-operative care of NHP patients. Works with BCM vets and vet techs to assist with injections, administering medications, and performing anesthetic maintenance and monitoring. Minimum Qualifications Bachelor's degree in a Basic Science or a related field. Two years of relevant experience. Preferred Qualifications Master’s degree in a basic science or Bachelor’s degree in a basic science with 2 years of direct experience. Candidates with experience in NHP research and/or large scale electrophysiology will be given preference. Baylor College of Medicine requires employees to be fully vaccinated -subject to approved exemptions-against vaccine-preventable diseases including, but not limited to, COVID-19 and influenza. Baylor College of Medicine is an Equal Opportunity/Affirmative Action/Equal Access Employer.  10991 CA; SN",19 days ago,594 reviews
https://www.indeed.com/viewjob?jk=4d0052b1fb5fcbd3&from=web&vjs=3,420,"Director, Data Science",Bain & Company,"Austin, TX"," WHAT MAKES US A GREAT PLACE TO WORK      We are proud to be [1] consistently recognized as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are currently ranked the #1 consulting firm on Glassdoor’s Best Places to Work list, and we have maintained a spot in the top four on Glassdoor's list for the last 12 years. We believe that diversity, inclusion and collaboration is key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. We are publicly recognized by external parties such as Fortune, Vault, Mogul, Working Mother, Glassdoor and the Human Rights Campaign for being a great place to work for [2] diversity and inclusion, women, LGBTQ and parents.      WHAT YOU’LL DO      As a senior member of the growing Data Science team in Bain’s Advanced Analytics Group, you will:         Collaborate closely with and influence business consulting staff and leaders as part of multi-disciplinary teams to assess opportunities and develop data driven solutions for Bain clients across a variety of sectors     Translate business objectives into data and analytics solutions and, translate results into business insights using appropriate data engineering and data science applications     Partner closely with Engineering and product leaders at Bain to support development of innovative analytics solutions and products     Provide thought leadership in state-of-the-art machine learning techniques     Develop and deploy industry-leading machine learning models, aimed at solving client problems across industry verticals and business functions.     Manage a team of 3-5 data scientists     Work closely with AAG leadership and Global Engineering to extend and innovate our data and analytics capabilities     Help develop Advanced Analytics intellectual property and identify areas of new opportunity for data science and analytics for Bain and its clients     This position will be located in Atlanta, Austin, Dallas, Boston, Washington DC, Chicago, Los Angeles, Seattle or Palo Alto     Travel is required     Lead recruiting and onboarding for manager/expert level team member     Ensure standards and guidelines are being used by team to develop re-usable common frameworks, model and components that address repeatable tasks and problem/data sets in specific industries or business functions     Share learnings and drive adoption of best demonstrated practices with your teammates in AAG about theoretical and technical developments in the rapidly evolving data science field, collaborate with the open source community, and work together to create a great working environment that attracts other great data scientists     Develop relationships with external data and analytics vendors and interact as needed     Keep abreast of new and current data science techniques and technologies     Provide client and client development support     Participate in expert advisory activities that required deep expertise in data science domain     Advise client executives on data and analytics strategy and roadmap design     Work with consulting teams to understand business problems, translate them into data science projects and appropriately prioritize and execute     Be an expert advisor in proposal discussions     Act as an ambassador and coach towards data science teams at our clients and partners to raise their capabilities and ensure that our work is successfully deployed     Other duties as required     ABOUT YOU        We are looking for someone who has:          Advanced Degree in a quantitative discipline such as Computer Science, Engineering, Econometrics, Statistics or Information Sciences such as business analytics or informatics     10+ years of experience in analytics     3+ years of experience managing data scientists     Shipped production, enterprise scale data products     Track record of leading and collaborating on strategic initiatives     Strategic Consulting experience a plus     Strong interpersonal and communication skills, including the ability to explain and discuss mathematical and machine learning technicalities with colleagues and clients from other disciplines     Interest in learning about business applications, business models and economics of machine learning and data technologies - you will have the opportunity to work with world-leading practitioners in this area     Ability to collaborate with people at all levels and with multi-office/region teams     Solid fundamental knowledge of supervised, unsupervised, reinforcement learning machine learning algorithms such as classifiers, cluster analysis, dimension reduction, regression, CNN, RNN, DQN, GAN, temporal difference methods, sequence modeling, NLP/NLU, word/doc embeddings, collaborative filtering, self-attention, transformers, etc.     Experience with MLOps - scalable development to deployment of complex data science workflows     Experience with model explainability and interpretability techniques     Proficiency in Python required     Experience with Containers, Dockers and Git is required     Experience in machine learning frameworks and tools (e.g. scikit-learn, mlr, caret, H2O, TensorFlow, MXNet, Pytorch, Caffe/Caffe2, CNTK, MLlib) required     Experience with cloud platforms required     Experience in big data technologies such as Hadoop, BigQuery, S3, MapReduce, Apache Spark is required     Ability to work independently and juggle priorities to thrive in a fast paced environment, while also collaborating as part of a team in complex situations     Applicant must have received, or be willing to receive, the COVID-19 vaccine, and be fully vaccinated (established 2 weeks following final dose) by date of employment with Bain & Company to be considered for U.S. based jobs subject to required accommodation process.      ABOUT US      Bain & Company is a global consultancy that helps the world’s most ambitious change makers define the future.      Across 59 offices in 37 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster and more enduring outcomes. Our 10-year commitment to invest over $1 billion in pro bono services brings our talent, expertise and insight to organizations tackling today’s urgent challenges in education, racial equity and social justice, economic development and the environment. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry.      Ind123      #LI-GK1      References      Visible links   1. http://www.bain.com/about/what-we-do/awards/index.aspx   2. https://www.bain.com/about/diversity-inclusion/",30+ days ago,187 reviews
https://www.indeed.com/viewjob?jk=512fe4b4d9f453f5&from=web&vjs=3,420,IT Project Manager,Capgemini,"Houston, TX","     Contract length: 6+ months        Job Description:        Required Skills:            Ability to to come into the office in Houston as needed      PM certified - Must be familiar with application development      Drive projects based on Waterfall and Agile methodologies.      Communicate with Sr leadership, develop / define requirements,      Must be proficient with PPT, and Project      A plus would be experience with Atlassian suite (Jira and Confluence), PMP or Scrum Certification and Scaled Agile Framework           The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job.     A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion.   ",30+ days ago,"8,628 reviews"
https://www.indeed.com/viewjob?jk=6662bbf751a3f219&from=web&vjs=3,420,Data Scientist,CREF,"Dallas, TX 75201","     About CREF        CREF (Corporate Real Estate & Facilities) is a fully integrated global corporate real estate & facilities management firm that manages all aspects of your corporate real estate and facilities while increasing the value to organizations, achieving business goals, and offering real-time access to quantifiable data.        CREF was formed with one single objective - to help health care institutions more efficiently and productively manage their real estate assets. Realizing the regulatory and management complexity of overseeing diverse health care real estate portfolios, CREF has attracted a team of over 150 leading real estate professionals who specialize in all aspects of health care.        Relying on decades of institutional knowledge, we have developed proprietary web-based technologies to provide our heath care clients with up to the minute assessments of what is happening in their real estate portfolio, avoid surprises and maximize the value of their real estate assets.        Unlike other real estate management companies serving multiple industries, CREF has pioneered the application of state-of-the-art real estate tools and management to the health care industry exclusively. With operations in nine states, three countries, $10 billion in asset management representing forty million square feet, CREF is the undisputed leader in health care real estate asset management.        About iCREF             iCREF is a fully integrated global corporate real estate & facilities software suite that manages all aspects of your corporate facilities and property projects while increasing the quality of the organizations, reducing costs, achieving business goals, and offering easy-to-understand real-time access to quantifiable data.        Data Scientist             The Data Scientist will be an integral member of the Product Development team and will own the analysis, modeling, system design, and development of iCREF. This role will work with the team to build the data science elements of iCREF to help improve user experience and, help drive the design and architecture of this product.        Core Responsibilities             Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations research      Utilize a diverse array of technologies and tools as needed, to deliver insights, such as Alteryx, R, SAS, Python, Spark, PowerBI, and Tableau      Translate advanced business analytics problems into technical approaches that yield actionable recommendations and educate others through insightful visualizations, reports and presentations      Perform exploratory data analysis, generate and test working hypotheses, and uncover interesting trends and relationships                Essential Skills and Experience          Master’s degree (PhD preferred) from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering;      2+ years of relevant experience and strong knowledge in at least one of the following fields: statistics, data mining, machine learning, natural language processing      Experience working within healthcare and/or real estate environment strongly preferred      Agile experience: strong partnering with Engineering related to roadmap planning and strategy      Demonstrable experience in Supervised and Unsupervised learning – from Regression, Forecasting, Classification, to NLP, Decision and Search Algorithms      High level of problem-solving abilities      Ability to manage shifting priorities      Ability to thrive in an entrepreneurial or start-up environment      Excellent verbal, written and presentation skills      Demonstrated leadership experience with a focus on quality, efficiency, and customer service.                Reporting Structure      Reports to the Director, Product Development        Work Location      Boston, MA/hybrid, Dallas, TX/hybrid, or Washington, DC/hybrid        E-Verify      CREF Integrated is an E-Verify Company             Why CREF?        CREF is committed to finding the best talent to support our growth. Our success is rooted in our commitment to remain the leader in health care real estate asset management through our dedication to continuous improvement, engaging our people, and delivering on our promise to help health care institutions more efficiently and productively manage their real estate assets.      At CREF, we want our employees to have a peace of mind when caring for themselves and their families. We offer a competitive salary, generous benefits package, and the opportunity to work on a growing and innovative team.        CREF is an equal opportunity employer. If you require accommodation due to a disability in order to complete the application process, please contact Human Resources at  508-562-4181  or submit a request in writing to jchace@cref.com. All applicants will be considered for employment without attention to race, age, color, religion, sex (including pregnancy, gender identity, and sexual orientation), national origin, parental and marital status, genetic information, disability or protected veteran status.   ",30+ days ago,
https://www.indeed.com/viewjob?jk=97fd3cec0910abf7&from=web&vjs=3,420,(USA) Staff Data Scientist - Machine Learning Engineer (Conversational AI),Walmart,"Dallas, TX 75202","Position Summary... What you'll do... Nextech is looking for a  Staff Data Scientist (Machine Learning Engineering- Conversational AI)  to lead the development of cutting-edge AI algorithms and techniques powering internal conversational AI solutions in HR/support domains. You’ll be responsible for identifying approaches and techniques to solve some of the most challenging problems in Natural Language Understanding, Dialog Management, Question Answering and Natural Language Generation. You’ll spend your days developing models and guiding other team members through the processes of building, testing, optimizing, and deploying various NLP models and solutions. You will help establish best practices for models' deployment, monitoring, and risk assessment, and be instrumental in productionizing and optimizing ML solutions for low latency inference times. You’ll sweep us off our feet if… You come to the table with a comprehensive knowledge of Machine Learning Engineering, Cloud Deployments, Kubernetes, Azure and GCP. You are well-versed in NLP or Conversational AI, experienced in using Python and PyTorch as well as comfortable with Agile methodologies. You are a self-starter capable of coming up with creative solutions that can be reused and generalized for other applications or domains. You level up when you have the opportunity to teach others and empower those around you to excel. You have experience of giving technical guidance and advice to more junior team members, reviewing PRs and improving the code quality for better performance, maintainability, readability. You are good at analyzing existing code, finding bugs or flows in the existing solutions and recommending how to improve or enhance the baseline. You’ll make an impact by: Building effective partnerships with other teams and tech leads. Building solutions that are easy to integrate into external framework or existing platforms. Being able to quickly adapt to new requirements. Effectively translating requirements into project parameters while working with agility from cradle to grave. Encouraging the project teams that you oversee to work collaboratively and to aim for insight-driven outcomes. Live our Values Culture Champion  Models the Walmart values to foster our culture; holds oneself and others accountable; and supports Walmart’s commitment to communities, social justice, corporate social responsibility, and sustainability; maintains and promotes the highest standards of integrity, ethics and compliance. Servant Leadership  Acts as an altruistic servant leader and is consistently humble, self-aware, honest, and transparent. Embrace Change Curiosity & Courage  Demonstrates curiosity and a growth mindset; fosters an environment that supports learning, innovation, and intelligent risk-taking; and exhibits resilience in the face of setbacks. Digital Transformation & Change  Seeks and implements continuous improvements and encourages the team to leverage new digital tools and ways of working. Deliver for the Customer Customer Focus  Delivers expected business results while putting the customer first and consistently applying an omni-merchant mindset and the EDLP and EDLC business models to all plans. Strategic Thinking  Adopts a holistic perspective that considers data, analytics, customer insights, and different parts of the business when making plans and shaping the team’s strategy. Focus on our Associates Diversity, Equity & Inclusion  Identifies, attracts, and retains diverse and inclusive team members; builds a high-performing team; embraces diversity in all its forms; and actively supports diversity goal programs. Collaboration & Influence  Builds strong and trusting relationships with team members and business partners; works collaboratively and cross-functionally to achieve objectives; and communicates with energy and positivity to motivate, influence, and inspire commitment and action. Talent Management  Creates a discipline and focus around developing talent, promotes an environment allowing everyone to bring their best selves to work, empowers associates and partners to act in the best interest of the customer and company, and regularly recognizes others’ contributions and accomplishments. Minimum Qualifications... Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications. Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 4 years' experience in an analytics related field. Option 2: Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 2 years' experience in an analytics related field. Option 3: 6 years' experience in an analytics or related field As permitted by applicable law, provide evidence of full vaccination as defined by CDC guidelines OR secure approval of medical or religious accommodation for the vaccination mandate. Preferred Qualifications... Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications. Data science, machine learning, optimization models, PhD in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch) Primary Location... 603 MUNGER AVE STE 400, DALLAS, TX 75202, United States of America",22 days ago,"234,575 reviews"
https://www.indeed.com/viewjob?jk=7229e556aeaf99ff&from=web&vjs=3,440,Power Business Intelligence Developer,Transocean,"Houston, TX","    Information Technology Group           Transocean is focused on being the employer of choice for the drilling industry.            We are challenging ourselves every day to push the performance of the company through technological advances and passion for our work.              Job Summary    Senior BI Developer and Data Analyst with some competencies in advanced analytics/machine learning. The candidate will drive internal initiatives on the Microsoft Azure Platform and in advanced analytics, with a main focus on Reliability. The candidate will need to have strong functional process and analytical knowledge within Reliability for Engineering. The candidate will also need to have knowledge within IT when it comes to the data domain (IoT, Predictive analytics, Data Modelling, Data Migration, Data Quality, Databases, ETL, programming language, BI development), and acquire further skills in BI development and Machine learning.          Job Description             Key Roles and Responsibilities:           Leverage internal and external data to further evolve Transocean’s reliability management approach and help implement additional strategies useful for driving uptime improvements.      Leverage analytics to develop analysis and decision layer reports and visualizations.      Support administration of SQL database for reliability department analysis, reports, and continued strategies.      Support the continued development and administration of analytical platforms and applications designed to improve data reporting, analysis, and decision layer visualization and reports.      Using advanced data analytics and predictions to improve our Reliability and Maintenance processes.      Understand and development Transocean’s overall data estate for Reliability and Maintenance, IT and business priorities and success measures to design implementation architectures and solutions.      Ensure that solution exhibits high levels of performance, security, scalability, maintainability, appropriate reusability, and reliability upon deployment.      Designing, developing, and maintaining business intelligence solutions.      Maintain technical skills and knowledge, keeping up to date with market trends and competitive insights.                Perform other related tasks, projects, and ad-hoc analysis to drive short-term strategies within Transocean.                   If you want to push yourself to great achievement, let Transocean develop your career.      ",30+ days ago,445 reviews
