URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=5eab494052178701&from=web&vjs=3,10,Health Science Specialist-Research Data Manager,US Veterans Health Administration,"Salt Lake City, UT","    Help    This job is open to                       The public        U.S. Citizens, Nationals or those who owe allegiance to the U.S.           ",3 days ago,"10,709 reviews"
https://www.indeed.com/viewjob?jk=688daa8cff44ca29&from=web&vjs=3,10,Machine Learning Engineer (Remote),Progressive Leasing,"Draper, UT","    Job Description:         Progressive Leasing  is hiring a     Machine Learning Engineer (Remote)  for our Draper, Utah headquarters. As a Machine Learning Engineer, you will blend machine learning and software engineering to build tools and pipelines that will allow our Data Science team to quickly, easily, and seamlessly build and deploy predictive models into a production environment.              This role can be performed remotely anywhere in the US or from one of our office locations in Draper, UT or Glendale, AZ.               THE DETAILS           You will be responsible for ensuring that models built using this pipeline are robust to outliers and data issues, are thoroughly tested, and performance is closely monitored. You will explore new algorithms and technologies as you work to ensure we stay on the cutting edge of the latest machine learning tools available. You will ensure that your tools are tailored to the needs of the users, are flexible enough to handle a variety of problems, and are continuously improving over time in meaningful ways. Most importantly, you’ll be part of a team that forms the backbone of a fast-growing company at the forefront of an exciting, growing industry.              ESSENTIAL FUNCTIONS            Work with Data Science and Engineering teams to build a machine learning pipeline that covers data ingestion, normalization and preparation, feature creation and selection, modeling, evaluation of model performance, explanation of model workings, deployment to production, and monitoring in production      Develop tools to optimize model performance in terms of accuracy, time to train, time to deploy, and prediction speed in production      Develop diagnostic tools to understand model performance, detect outliers and data drift, monitor accuracy across time, and ensure that any errors are quickly discovered      Work with deployment team to ensure that models can be deployed seamlessly in a continuous integration environment      Identify, evaluate, and help implement emerging advanced analytics technologies and methods      Be part of a collegial, fast-growing team of like-minded data scientists who work and play together, and who love what they do and where they do it            REQUIRED QUALIFICATIONS            Bachelor’s Degree in Computer Science or related field, MS preferred      2+ years of experience in machine learning      2+ years of software development experience      Experience with collaborative version control frameworks e.g., GIT      Experience with Python including analytics and ML libraries      Experience with AWS, Azure, Databricks, Delta Lake, Snowflake preferred            WHAT WE OFFER            Competitive Compensation      Full Health Benefits; Medical/Dental/Vision/Life Insurance + Paid Parental Leave      Company Matched 401k      Paid Time Off + Paid Holidays + Paid Volunteer Time      Diversity Alliance Resource Groups      Employee Stock Purchase Program      Tuition Reimbursement      Charitable Gift Matching      Job Required Equipment & Services Will Be Provided               WHO WE ARE           Progressive Leasing (NYSE: PRG) is the largest and longest-tenured virtual lease-to-own provider in the United States. The Company’s mission is to provide simple and affordable purchase options for credit challenged consumers. Over the last 20+ years, Progressive Leasing’s alternative lease-purchase options have helped millions of customers with less than perfect credit acquire needed items with ease. Progressive partners with 30,000 retail stores, helping to drive increased revenue and improve customer satisfaction. Learn more at ProgLeasing.com.              Progressive Leasing welcomes and encourages diversity in the workplace. We do not discriminate in any aspect of employment on the basis of race, color, religion, national origin, ancestry, gender, sexual orientation, gender identity and/or expression, age, veteran status, disability, or any other characteristic protected by federal, state, or local employment discrimination laws where Progressive Leasing does business.      ",3 days ago,221 reviews
https://www.indeed.com/viewjob?jk=423e0a8a98e9a0e0&from=web&vjs=3,10,Interdisciplinary (Data Scientist),USDA Food Safety and Inspection Service,"Salt Lake City, UT","    Help    This job is open to                       Career transition (CTAP, ICTAP, RPL)        Federal employees who meet the definition of a ""surplus"" or ""displaced"" employee.                          The public        U.S. Citizens, Nationals or those who owe allegiance to the U.S.                          Veterans                    Clarification from the agency      Direct Hire Authority will be utilized for the Mathematical Statistics Series 1529 at the GS-11 and GS-12 grade levels only.      ",2 days ago,28 reviews
https://www.indeed.com/viewjob?jk=8512935fa2024d4c&from=web&vjs=3,10,Machine Learning Engineer,Fashionphile,"Lehi, UT 84043","FASHIONPHILE is more than just fashion — we’re revolutionizing the ultra-luxury fashion experience in order to create a sustainable alternative that extends the life cycle of products and makes them more accessible to a diverse customer base. As we strive to become the world's most sought-after brand in luxury re-commerce, we know it's our team members who make it all happen! We value diversity in our people, perspectives, and products. For us, it's the only way to cultivate the creativity and innovation essential to achieving our mission and supporting our customers. We do this both in-person and through our digital omni-channel experiences. If you're someone who embraces change, is authentic, and wants to make an impact this is the place for you. About the Opportunity NOTE: Our Engineering teams are based in LEHI, UT and LOS ANGELES, CA ,   but this role can be REMOTE from any state where we have a physical presence: CA, NJ, UT, NY, TX, AZ, PA, GA, OR FL. This is a new and very important role on our Technology Team, reporting directly to the Director of Engineering. In this role you will work with our large data set, vast number of images, and current models to help us understand what questions to ask and identify patterns, then creating data models to help us accomplish long term goals. These results will help our organization to make decisions around pricing, demand prediction, and many other improvements. Responsibilities include: Work on a team of Backend and Machine Learning engineers - Collaborating together to build out heuristics to help us understand the correct questions we should be asking. Create Machine Learning models based off the patterns you will help us to understand - Also taking current models and verifying efficacy and validating their usefulness. Work iteratively on these models, helping continually push FASHIONPHILE as an innovative and creative technology leader. Use a mix of writing custom Python code and using AWS services to accomplish business goals. Mentor team members and the organization as a whole on how to best leverage these results. What We’re Looking For 4+ years in a Machine Learning Engineering role. 4+ years of professional experience in Python. Strong Data Science background, working with statistics and mathematics. Expert ability to break down complex and ambiguous requirements into actionable and technical deliverables. Cares about team culture and creating a communicative and transparent environment. Database fundamentals: MySQL, MariaDB, AWS RDS, AWS Aurora AWS Sagemaker, AWS Forecasting -  Nice to Have What We Offer Medical, Dental and Vision Coverage FSA options for Medical, Dependent Care & Commuter Benefits Paid Time off, Paid Sick Time, and Paid Holidays 401(k) with generous match program Free Life Insurance and AD&D Long Term Disability Insurance Employee Discount  This position is not able to offer work visa sponsorship. All applicants must be immediately eligible to work in the US without work visa sponsorship now or in the future.  #LI-JN1 #LI-Remote",10 days ago,19 reviews
https://www.indeed.com/viewjob?jk=75f51387b4996181&from=web&vjs=3,10,Senior Machine Learning Engineer - NLP (Remote),BenchSci,"Salt Lake City, UT","             BenchSci’s vision is to bring novel medicine to patients 50% faster by 2025. We’re achieving it by empowering scientists with the world’s most advanced biomedical artificial intelligence. Backed by F-Prime, Gradient Ventures (Google’s AI fund), and Inovia Capital, our platform accelerates science at 15 top-20 pharmaceutical companies and over 4,300 leading research centers worldwide. We’re a remote-first company recognized for our impact and culture as a Deloitte Tech Fast 50TM, CIX Top 10 Growth, Great Place to Work®, and top-ranked organization on Glassdoor. Learn more at www.benchsci.com.                  We are seeking a      Senior Machine Learning Engineer - NLP  to join our growing      R&D  team! You will work on complex and challenging NLP problems that will have an impact on the 41,000+ scientists across the world who rely on BenchSci for their research.                  Reporting to the Engineering Manager, R&D, you’ll apply your domain expertise to design and build advanced machine learning algorithms, collaborate with data engineers to build benchmarking and data preparation pipelines, and work with core infrastructure engineers to deploy and monitor your models in our production system. In this role, you will have the opportunity to apply state-of-the-art solutions that will shape the future of scientific discovery.                    You will:             Design, build, evaluate and deploy robust, scalable, and production-ready ML models that enhance the speed and quality of life-saving research  Collaborate with data and core infrastructure engineers to solve the complex problems of extracting insights from biomedical text data  Continuously improve our machine learning workflow by keeping up to date with the latest optimizations in libraries such as PyTorch, and expand our usage of modern tools such as DVC  Drive design discussions, apply best practices, diagnose problems and lead the resolution  Own the solutions and long-term technical investments that will drive innovation at BenchSci  Work cross-functionally with different stakeholders including BenchSci's R&D scientists and Chief Science Officer to learn, model, and capture the nuances of biology  Participate and contribute to sprint planning, estimation, and design/code reviews  Provide guidance to less experienced engineers and help to foster a culture of continuous growth  Establish and apply best industry practices                          You have:             4+ years of experience working as a professional developer or researcher applying machine learning techniques to solve business problems  Strong experience with Python and programming fundamentals  Extensive experience with NLP and PyTorch  Experience with designing, building, and evaluating robust and scalable production-ready ML models  Experience with complex problem solving and an eye for details such as scalability and performance of a potential solution  Experience with data manipulation and processing, such as SQL or pandas  A growth mindset and a constant desire to learn  Strong cross-team communication and collaboration skills                          Nice to haves, but not mandatory qualifications:             Research publications in ML/AI-related fields  Experience working with cloud environments and services  Experience with computer vision  A degree in Computer Science, Mathematics, or other closely-related disciplines                          What BenchSci will provide you with:             Remote first culture to allow you to work from your preferred location  On-site Ph.D. scientists that give expert feedback on models  Fresh datasets that are custom curated and constantly updated  One-on-one coaching and investment in your personal and professional growth  Empowerment to own your solutions                             Benefits and Perks:              An engaging remote-first culture that hires the best talent from around the world             A competitive compensation package that includes BenchSci equity options             Comprehensive health and dental benefits with an emphasis on mental health             An annual Executive Health Assessment at Medcan for proactive health awareness             Three weeks of vacation plus an additional day for every completed year             A $2000 Annual Learning & Development budget             Generous parental leave benefits with a top-up plan or paid time off options             Additional time-off: 2 weeks for Winter Holiday, every other Friday in July and August, your birthday, and more!             A $1000 work from home allowance to make your home setup perfect for you             An Oculus Quest 2 to connect with your team members in Virtual Reality             An executive coach for managers to assist in leading high-performing teams             Complimentary Headspace account to support mental wellness and focus             Complimentary genome sequencing from 23andMe to better understand your health through your DNA                  Our Culture:              We believe culture is critical to success and invest accordingly. We live and promote our FASTT values of focus, advancement with speed, tenacity, and transparency. We work hard to maintain an engaging, supportive environment where everyone can do their best work. To learn more, read our culture deck.                  Diversity, Equity, and Inclusion:              We're committed to creating an inclusive environment where people from all backgrounds can thrive. We believe that improving diversity, equity and inclusion is our collective responsibility, and this belief guides our DEI journey. To learn more, read about our DEI initiatives.                  Accessibility Accommodations:              BenchSci provides accessibility accommodations during the recruitment process. Should you require any accommodation, we will work with you to meet your needs.                  #LI-Remote         ",Just posted,
https://www.indeed.com/viewjob?jk=1ff178ed4a35b1cc&from=web&vjs=3,10,Data Scientist - 100% Remote,Pluralsight,Utah,"        This position is also available for employment in these areas:    Remote - USA, Remote - Utah          Job Description:          Data Scientist — Skills Learning Sciences             At Pluralsight, you will be part of an established team of collaborative data scientists supporting our Skills product. This product is charged with delivering 10k+ pieces of content via an optimized learning environment to hundreds of thousands of learners. You will be centered in the Learning Sciences group that works to bring forward insights from cognitive science, instructional design, and behavioral research to improve the effectiveness of the learner’s experience.             You will work closely across the content and curriculum world to optimize the efficacy of our content and assessments, bringing data science to improve instructional design, production standards, delivery modes, psychometrics, etc.              Who you’re committed to being:                      Critical thinker who understands how data science can solve business problems                      Interpreter who finds trends and patterns in disparate data                      Independent creator of models, analyses, and        visualizations                      Communicator able to translate technical details into business insights                      Partner to internal stakeholders who share high-value business objectives                    What you’ll own:                      Applying data science to improve curation of our vast content catalog                      Creating data products to objectively assess Pluralsight content along disparate axes                      Cross-functional project collaboration on data science deliverables                      Development and implementation of analyses and predictive models                      Explanation of algorithms to business partners, eliminating “black box” distrust                      Presentation of results to business partners and company leaders                    Experience you’ll need:                      Applying statistics and data science theories and techniques                      Working with popular data science languages and tools (Python, R, Jupyter Notebooks, scikit-learn, pandas, tensorflow, etc)                      Using SQL and relational databases as well as big data platforms (Snowflake, Kafka)                      Producing effective and interactive data visualizations (Tableau, Shiny, Dash)                      Preferred but not required: Familiarity with Docker and Airflow                    Working at Pluralsight             Founded in 2004 and trusted by Fortune 500 companies, Pluralsight is     the  technology skills platform organizations and individuals in 150+ countries count on to innovate faster and create progress for the world.             At Pluralsight, we believe everyone should have the opportunity to create progress through technology. That everyone should have access to the skills of tomorrow. That technology can make the world a better place. Through the work we do every day, we empower the people who power our world.             And we don’t let fear, egos or drama distract us from our mission. Our mission to democratize technology skills is what drives us and our values are at the helm of how we work together. It’s our commitment to practicing them day in, day out that enables our performance. We’re adults, and we treat each other that way. We have the autonomy to do our jobs, transparency to eliminate office politics and trust each other to do the right thing. We thrive in an environment with creativity around every corner, challenges that keep us on our toes, and peers who inspire us to be the best we can be. We bring different viewpoints, backgrounds and experiences, and united by our mission, we are one.             Be yourself. Pluralsight is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age or veteran status.              [Additional Information field]             To Embed Culture Video: https://www.youtube.com/watch?v=-HTcEYIzA6c&t=1s             #LI-SK          #LI-Remote     ",1 day ago,25 reviews
https://www.indeed.com/viewjob?jk=c275171d5e3be4d5&from=web&vjs=3,10,Machine Learning Engineer,Overstock.com Inc.,"Midvale, UT 84047","     We Are Overstock:        At Overstock.com, we believe that everyone should “Be You!”. Overstock is a community that upholds a culture of understanding, acceptance, and respect. We believe a person’s individuality is at the core of diversity, and those traits, beliefs, and characteristics should be valued and embraced. Living by this ethos is essential to the success of our business. Our goal is to foster a more diverse environment where every employee visibly demonstrates inclusive behaviors and respect for individuals.        Machine learning is a key initiative for Overstock as we strive to help our customers find great deals on furniture, décor, and other items to make every home a dream home.        This position is eligible for remote work. Currently we can hire employees in the following states: California, Connecticut, Kansas, Maine, Massachusetts, Michigan, Minnesota, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Dakota, Texas, Utah, Washington, Wisconsin, Wyoming. This role will have occasional on site expectations.        This position is eligible for remote work. Currently, we can hire employees in the following states: California, Connecticut, Kansas, Maine, Massachusetts, Michigan, Minnesota, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Dakota, Texas, Utah, Washington, Wisconsin, Wyoming.     Overstock is looking for an Engineer to support our Core Machine Learning team where we are leveraging the power of technology and data science to improve customer engagement and experience.     In the Machine Learning Engineer role, you will collaborate with other team members, including data scientists, software engineers, product managers, and external partners to understand relevant business needs and optimize performance of our Machine Learning infrastructure.     You will work on problems like recommender systems, search ranking, and personalization. You will build frameworks, webservices, and data pipelines for mature production machine learning systems. Sometimes you will be the one training the model and sometimes you’ll work with a crack Machine Learning Scientist who’s in that role. We work in Python, Scala, and Java and use technologies including Spark, Kafka, TensorFlow, Docker, Kubernetes, Cassandra, Redis, Hadoop, and GCP.        Responsibilities        Develop and maintain production-quality ML systems, including ETL and on-demand modeling runtimes.     Collaborate with other developers (both data scientists and engineers) to design, research, implement, and integrate solutions.     Be a source of knowledge and mentorship for data scientists who do not have an engineering background.     Designs, develops, and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources.     Interacts with product and service teams to identify questions and issues for data analysis and experiments.     Develop and code software programs, algorithms, and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources.        Requirements         5 years professional experience as a software engineer      Proven hands-on experience building solutions for large-scale data infrastructures and ML pipelines.      Expert in Python programming      Experience with Linux, AWS (EC2 and serverless), Kubernetes, and Docker      Understanding of DevOps practices and tools      Exposure to multiple ML frameworks including Scikit-learn, TensorFlow, and PyTorch      Experience with all aspects of version control, CI/CD pipelines, and software build tools      Experience instrumenting and monitoring data workflows in production.      Ability to automate the setup and management of data infrastructure.      Solid experience working on large-scale, production data processing systems including data ingestion, normalization, and storage.           Who We Are:        We’re a passionate group of collaborative problem solvers and creative innovators, working on cutting-edge technology. From building award-winning retail applications (with amazing AR functionality) to creating leading blockchain and machine learning technologies, each of us embodies a unique value and contributes a diverse perspective to the team.        What We Offer:         401k (6% match)      Flexible Schedules      Onsite Health Clinic      Tuition Reimbursement, Leadership Development Program, & Mentorship Program      Onsite Fitness Center      Overstock Women's Network (OWN)      And More…     Benefits vary based on position, tenure, location, and employee election           Physical Requirements:     This position requires you to sit, stand and perform general office functions. You may also be required to lift up to 25 pounds occasionally. Bending, stooping and reaching are also frequently required.        Equal Employment Opportunity:     It is our policy to provide equal employment opportunity for all applicants and associates. This policy includes our commitment to ensure that all employment decisions are made without regard to race, color, religion, gender, national origin, disability, pregnancy, veteran status (including Vietnam era veterans), age, sexual orientation, gender identity, or any other non-job-related characteristic protected by law.        Back to Overstock Careers   ",30+ days ago,
https://www.indeed.com/viewjob?jk=11d0e53098f06688&from=web&vjs=3,10,Data Science & Analytics,Digital Trike,"South Jordan, UT 84095","As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms.",30+ days ago,
https://www.indeed.com/viewjob?jk=655e1551430353b4&from=web&vjs=3,10,Associate/ Reliability Engineer/Data Scientist,Northrop Grumman,"Corinne, UT 84307","     Requisition ID: R10040674         Category:  Engineering      Location:  Corinne, Utah, United States of America      Citizenship Required:  United States Citizenship      Clearance Type:  None      Telecommute:  Yes-May consider hybrid teleworking for this position      Shift:  1st Shift (United States of America)      Travel Required:  Yes, 10% of the Time      Positions Available:  1                At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.     Northrop Grumman’s Space Systems is looking for  Associate/ Reliability Engineer/Data Scientist  to join our team at the  (Promontory/Bacchus) UT, Facility.      Description & Responsibilities:      This position provides data science and reliability analysis support on Northrop Grumman rocket motor programs including the USAF Minuteman missile, the US Navy Trident (D5) missile, as well as developing rocket motors such as CBS, Hypersonics, Castor and GEM motor programs. This position supports other Propulsion Systems organizations outside of Science and Engineering, (Operations, Business Development, Information Technologies, Quality, etc.) with statistical and reliability analyses.      A Data Scientist/Reliability Analyst provides analysis and support on many programs and varied data types. Opportunities vary widely across many applications of statistics and data science needs as well as using statistical methods to predict reliability measures for rocket and missile programs. There are also opportunities to present findings and predictions to design reviews where rocket and missile designs are reviewed and evaluated by the customer. This position may be located at either the Promontory or Bacchus facilities.      Job Duties:           Analyze and interpret data from various performance tests on rocket motor systems.       Provide support for reliability predictions on Hypersonics and other programs as needed.       Support data mining and statistical modeling needs for prediction of aging effects on systems.       Prepare and present reliability allocations and predictions at technical interchange and design review meetings.       Provide consulting support for process control measures on ingredients and material properties data.       Make reliability assessments of engineering changes and signoff on those changes.       Support regular reliability reporting and predictions on the Trident II (D5) missile program.          Experience Requirements:           Candidate must have a minimum of 0-3 years of experience in statistics, data science, or other industrial mathematics.       Ability to travel: Travel expectation of up to 10%       Experience with probability or reliability calculations and topics is a plus       Excellent written and oral communication skills is required       Self-directed and self-motivated. Strong team player.       Writing, documentation and presentation experience          Skills           Strong skills in MS Word, PowerPoint, Excel       Technical software knowledge or experience with R & Rstudio, JMP, Statistica, or other statistics software       Ability to learn how to apply statistics and data science to other fields of science       Excellent written and oral communication skills       Excellent time management and organizational skills          Competencies for Success:           Experience or background in applied statistics and/or reliability analysis       Experience and/or background in failure modes and design for reliability       Computer applications programming and/or administration          Education/Requirements:           BS degree in Engineering, Statistics, Data Science or other quantitative field (Mathematics, Industrial Math, Reliability Engineering) with 0 years’ experience with a BS degree       Position can be filled one level higher, 2 years with a BS or 0 years’ experience with MS          UTspace                    Salary Range:  $58,800 USD - $88,200 USD           Salary Range 2:  $71,000 USD - $106,700 USD                 Employees may be eligible for a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business.                   The health and safety of our employees and their families is a top priority. With the continuing impacts of COVID-19 around the world, we are taking action to protect the health and well-being of our colleagues and maintain the safety of the communities where we operate. As a federal contractor, and consistent with Executive Order 14042 (https://www.saferfederalworkforce.gov/contractors/) we require all newly hired employees in the United States to be fully vaccinated by their start date. Federal guidance allows for disability/medical and religious accommodations with respect to the vaccine requirement. Any requested accommodations must be reviewed and approved (if applicable) in advance of your start date.      Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit http://www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.        ",11 days ago,"6,213 reviews"
https://www.indeed.com/viewjob?jk=a1c98dabbfde4d5b&from=web&vjs=3,10,"Jr. Data Scientist, Revenue Operations",Qualtrics,"Provo, UT 84604","     The Qualtrics XM Platform™ is a system of action that helps businesses to attract customers who stay longer and buy more, to engage and empower employees to do the best work of their lives, to develop breakthrough products people love, and to build a brand people can’t imagine living without.     Joining Qualtrics means becoming part of a team bold enough to chase breakthrough experiences - like building a technology that will be a force for good. A team committed to diversity, equity, and inclusion because of a conviction that every voice holds value, with a vision for representation that matches the world around us and inclusion that far exceeds it. You could belong to a team whose values center on transparency, being all in, having customer obsession, acting as one team, and operating with scrappiness. All so you can do the best work of your career.     We believe every interaction is an opportunity. Are we yours?     The Challenge      The Qualtrics Revenue Operations Team is looking for a Jr. Data Scientist who will make a significant impact on the Data Strategy and Architecture team. We’re a high growth company and are looking for the right person to join our team.      Qualtrics is seeking a full-time Jr. Data Scientist to develop tooling, applications and drive insights for both the analytics community and business stakeholders to drive the business forward. This is a cross functional role that requires collaboration w/ Eng, Sales, Finance and other departments. If you have a STEM Bachelor’s degree, up to one year of experience working with data, and enjoy a dynamic and fast paced environment, Qualtrics is the place for you.      The Expectation for Success      You are a core contributor to the tooling, applications and insights developed by the team. You design and develop processes that are new and innovative. You incorporate creativity and forward thinking in your work. You work cross-functionally, are a self-starter, can multitask, and manage your time effectively.      A Day in the Life          Design, develop and maintain tooling & applications      Work with key stakeholders to manage and automate data requests Maintain key data integrations within the organization      Find anomalies and develop unit tests to ensure data integrity      Manage change communication and implementation for processes      Leverage data to drive growth         Preferred Qualifications          Creativity and forward thinking      Continuous development of new skills      Python - Proficient             Big data experience - preferred            Web dev experience - preferred      ",30+ days ago,39 reviews
