URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=87827f28472f22f5&from=web&vjs=3,10,"Software Data Analyst, Cloud",Genesys,"Indianapolis, IN","Want to be part of creating the world’s #1 Customer Experience platform?   You will be part of the product management organization and you will work for one of the world’s leading software companies. You will collaborate with incredibly talented multi-functional teams and will have the opportunity to influence Product Strategy across the Genesys Multicloud CX Portfolio.   The ideal candidate will have a strong Data Science background with demonstrated technical background in current SaaS technologies. As a Product Manager, Cloud Analytics, the candidate will bring new insights to the PM Organization by converting data into digestible business intelligence and actionable information. The candidate should also have a business background that enables them to support a process of researching, analyzing, and reporting on business development activities. You will be a customer-centric, strategic, detail-oriented, and highly creative driver with the primary responsibilities outlined below.   Responsibilities include but are not limited to:  Assist in analyzing potential deals and assessing their profitability  Analyze initiatives for cloud cost optimization, monitor progress, drive financial and operational excellence and growth  Be accountable for calculating and communicating cloud hosting costs  Understand financial modeling  Manage day-to-day activities required for the success of your programs and ensure that activities and deliverables are executed in a timely fashion with high quality  Own relationships with internal and external customers  Product Portfolio management and cost analysis  Calculate Gross Margin both per Customer and per service   Qualifications/Requirements:  BS/BA degree or equivalent work experience  3 plus years of product management and/or data analytics  Data Science Qualifications, some experience with data applications preferred  Understanding cloud platform economics is a plus  Fluency in Power Pivot, Tableau and SFDC preferred  Familiarity with finance and accounting terms and principles  Perfect communications skills  Ability to work effectively with cross-functional teams including technical and financial.  Eager learner, collaborator and critical thinker  Leadership and initiative to own problem sets and work them through to resolution  Ability to manage ambiguity, build consensus toward solutions, and defend a chosen strategy to various stakeholders   Benefits  Medical, Dental, and Vision Insurance  Telehealth coverage  Flexible work schedules and work from home opportunities  Development and career growth opportunities  Open Time Off  401(k) matching program  Adoption Assistance  Infertility treatments   See more Genesys benefits information at https://mygenesysbenefits.com/  #LI-BJ1  Covid-19  Safety for our employees and our communities is a key priority for Genesys. We continue to experience rapid growth during the Covid-19 pandemic and are conducting remote hiring and onboarding processes. All hiring and onboarding processes are being conducted remotely at this time. We utilize Zoom video meetings and phone calls during the interview process. We will be working remotely through at least December 31, 2021, in most locations, and we are re-evaluating the opening date of all the Genesys offices on an ongoing basis. About Genesys: Every year, Genesys® orchestrates more than 70 billion remarkable customer experiences for organizations in more than 100 countries. Through the power of our cloud, digital and AI technologies, organizations can realize Experience as a Service℠, our vision for empathetic customer experiences at scale. With Genesys, organizations have the power to deliver proactive, predictive, and hyper personalized experiences to deepen their customer connection across every marketing, sales, and service moment on any channel, while also improving employee productivity and engagement. By transforming back-office technology to a modern revenue velocity engine Genesys enables true intimacy at scale to foster customer trust and loyalty. Visit www.genesys.com.    Genesys is an equal opportunity employer committed to diversity in the workplace. We evaluate qualified applicants without regard to race, color, age, religion, sex, sexual orientation, gender identity or expression, marital status, domestic partner status, national origin, genetics, disability, military and veteran status, and other protected characteristics.",3 days ago,296 reviews
https://www.indeed.com/viewjob?jk=fc1b0d856c3f6743&from=web&vjs=3,10,Data Intelligence Analyst,Allied Solutions,"Carmel, IN","The Data Intelligence Analyst supports key strategic data initiatives as well as consults with various business units across the organization to understand their core data and reporting challenges. This role requires expertise in data discovery, querying, requirements gathering, and BI report development that will in turn help the business drive growth and innovation. Must have the relentless curiosity to seek out and transform our data into actionable insights using Business Intelligence technologies. Data Exploration, Analysis, & Presentation (75%) Analyzes and interprets trends or patterns in complex datasets Conducts data manipulation, mining, and or wrangling within source system databases Consults with the enterprise to build reporting requirements and develops meaningful BI reporting solutions Works to become a data and BI SME for the enterprise Identifies areas of opportunity to improve data quality and governance Uses root cause analysis techniques to understand and interpret where data challenges exist as reported by key business areas Develops SQL statements and runs ad hoc queries as needed to support the Data Intelligence team Other duties as assigned Communication & Leadership (25%) Ability to interact professionally on a cross-functional team with a diverse group of executives, managers, and subject matter experts Proven ability to communicate both data and technical concepts to a non-technical audience Proactively communicates and collaborates with external and internal customers to analyze information needs and functional requirements Creates visualizations to support and communicate results of completed analyses Self-motivated leader with an entrepreneurial spirit that achieves results with little oversight needed Conducts training on BI technology with internal and external customers as needed Qualifications Bachelor’s Degree from an accredited institution in Data Analytics, Informatics, Statistics, Mathematics, Computer Science, Information Systems, or Computer Engineering required 2+ years experience in a data analyst or business intelligence role required 1+ years experience in Structure Query Language (SQL) required 1+ years experience developing reports in Microsoft Power BI preferred Intermediate understanding of data file structures and relational databases Experience with data wrangling preferred Understanding of data warehouses and data modeling preferred Advanced in Microsoft Excel Strong attention to detail and demonstrated critical thinking skills Familiarity with Agile Project Management Methodology and the SDLC Excellent written and verbal communication skills Adapts well to change Ability to work in a fast-paced often high-pressure environments Experience with data governance and data management a plus Interest in Business Intelligence and or Data Science Interest in technology, innovation, and continual learning Knowledge of Insurance or Financial Services Industries a plus We offer our employees a robust compensation package! Our comprehensive benefits include: medical, dental and vision insurance coverage; 100% company-paid life and disability coverage, 401k options with company match, three weeks PTO by the end of the first year and much more. Allied proudly promotes from within as part of a strong commitment to providing career growth opportunities for employees of all levels. Our diverse business portfolio allows employees broad career options with the advantage of staying with the same organization.  All qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.",1 day ago,122 reviews
https://www.indeed.com/viewjob?jk=c71fe2480ae50f9c&from=web&vjs=3,10,"Sr Data Analyst, IHCI",Community Health Network,Indiana,"Partner with Community Health Network and Deaconess Health System – IHCI The Innovative Healthcare Collaborative of Indiana LLC (IHCI) is a company formed through the partnership of Community Health Network (CHNw) and Deaconess Health System (DHS). Both CHNw and DHS place high importance on continuing and advancing population health and value-based care to improve patient health outcomes.  Join our community The Sr. Data Analyst is responsible for organizing, documenting, and assessing quality and validity of incoming files, processed/stored data, and outgoing reports. You will use analytic tools to code and develop processes, and outputs, maintain routine reporting functions, and promote advancement of data utilization.  Your exceptional Skills Your ability to recognize key components of ACO and VBC models will lead to your success in this position. Your teamwork, creativity, and ability to work in a dynamic technological environment will lead to your ability to adapt within phase implementation.  Your exceptional qualifications  Bachelor’s degree in information technology, computer science, data science, operations research, statistics, applied mathematics or other related quantitative fields required.  Master’s degree preferred.  1 + years of experience deploying healthcare analytics solutions, to support success in value-based care and inform business decisions required.  1 + years of experience in data analytics, data science, or relevant population health roles required.  3 + years of experience with health insurance and EMR (preferably Epic) data required.  3 + years of experience with SQL and multiple programming languages, including data manipulation and management required.  3 + years of experience in creating and using analytics visualization programs such as Tableau, Power BI, or Qlik preferred.  Your life with Community You work hard to provide our patients with the exceptional care, and you deserve benefits to match. Community offers a unique employment package that encompasses not only your day-to-day job, but also your career.  You will have the opportunity to grow your career thanks to scholarships and tuition reimbursement from the Community Health Network Foundation and receive recognition for your achievements.  A representative and diverse workforce  At Community Health Network, we build teams that deliver exceptional care through empathy, communication, and collaboration. Caregivers play a vital role in our mission as they fulfill our PRIIDE values: Patients First. Relationships. Integrity. Inclusion. Diversity. Excellence.  Community is proud to be an equal opportunity employer, ensuring caregivers feel welcomed, comfortable, and respected in our environment at all times. We value different perspectives by actively seeking a diverse workforce that is inclusive and equitable to all.  A representative and diverse workforce  At Community Health Network, we build teams that deliver exceptional care through empathy, communication and collaboration. Caregivers play a vital role in our mission as they fulfill our PRIIDE values: Patients First. Relationships. Integrity. Inclusion. Diversity. Excellence.  Community is proud to be an equal opportunity employer, ensuring caregivers feel welcomed, comfortable and respected in our environment at all times. We value different perspectives by actively seeking a diverse workforce that is inclusive and equitable to all.",13 days ago,508 reviews
https://www.indeed.com/viewjob?jk=c2e7dd2073b833b0&from=web&vjs=3,10,Immunization Data Scientist,CDC Foundation ( Contract),"Indianapolis, IN","The CDC Foundation is working with CDC and state and local authorities to provide surge staffing that are crucial to the nation’s COVID-19 response including support for implementation of Covid-19 vaccine. We are seeking candidates for the Indiana Immunization Data Scientist role. This resource will join an existing data science team in the Indiana Department of Health and will support with establishing and managing numerous data flows and data tasks. The duties require proficiency in multiple programming languages/applications including Structured Query Language (SQL), R, and Python. Required experience with working with large data, data analytics/visualization, building, testing, publishing, and maintaining ETL processes and pipeline automation. This position is located in Indianapolis, IN but work will be performed remotely. Responsibilities Conducts COVID-19 specific epidemiologic analyses that involve large datasets, or linkage of multiple datasets, building and automating pipelines, and programming and comparing complex matching algorithms Database Management and liaising with vendors to build and manage database enhancement processes Building routine reporting mechanisms such as dashboards on trend analyses, descriptive statistics, and interactive geographic data displays Collaborates with division and department stakeholders to define and manage data science projects from conception through implementation, including identifying and developing statements of business problems; conducting exploratory data analysis and data mining; developing model specification requirements; and conducting advanced statistical analyses. Develops and presents visualizations of findings and recommendations that can be used to support business decisions and allocate resources. Works with various stakeholders to document business requirements and helps frame business problems so that appropriate corresponding data science techniques can be identified and applied. Collaborates with other Data Scientists, Analysts, Epidemiologists, and IT staff to select, evaluate, improve, and document tools and systems in order to strengthen divisional and departmental analytic capacity. Independently conducts advanced analytical studies for the resolution of business problems and transfigures data into critical information by selecting and deploying appropriate advanced statistical techniques such as machine learning, bivariate and multivariate analyses, predictive/prescriptive analytics, and optimization. Uses statistical computer scripting, domain-specific, and programming languages and other software and tools, to digest, manipulate, prepare, augment, evaluate, analyze, summarize, and visualize data. Works with program staff to understand the implications of analyses and to ensure that findings are actionable and support data-driven program, policy, and operational decision-making. Works with functional teams to develop and implement products, services, and tools, such as dashboards and reports, emerging from the analysis. Education A Master's degree in Public Health with a concentration in Epidemiology or related degree from an accredited university plus three (3) years of full-time experience is strongly encouraged. Qualifications Thorough knowledge of public health principles and practices, epidemiology, and biostatistics. Experience in the use of statistical software for data analysis (R, Python, SAS, etc). Ability to analyze and interpret disease data from a wide variety of data sources. Ability to initiate, conduct, and report on disease control and epidemiological studies and research. Ability to provide technical assistance to the health care and public health communities. Ability to effectively work independently and within a team environment. Extensive ability to communicate with health care and public health professionals, policy makers, agency staff, and the general public both verbally and in writing. Ability to develop and maintain effective working relationships with national, state, and local partners in various governmental, private, and voluntary agencies. https://jobs.lever.co/cdcfoundation/368ba106-302c-4793-acad-2b6ae52b28bf?lever-via=d6RpLV9Zom Job Types: Full-time, Contract Pay: $100,000.00 - $110,000.00 per year Benefits: Dental insurance Employee assistance program Health insurance Life insurance Paid time off Referral program Retirement plan Vision insurance Schedule: 8 hour shift Day shift COVID-19 considerations: All employees to be fully vaccinated for COVID-19 as a condition of employment effective November 22, 2021. All offers of employment after that date are contingent upon proof of full-vaccination status as a part of the pre-employment process. Education: Master's (Preferred) Experience: Epidemiology: 3 years (Preferred) Data analytics: 3 years (Preferred) Work Location: Multiple Locations",,
https://www.indeed.com/viewjob?jk=63d567756d0d46e3&from=web&vjs=3,10,"Data Scientist II- Must be local to Indianapolis, IN",Tailored Management,"9115 Hague Rd, Indianapolis, IN 46256","Data Scientist II- Must be local to Indianapolis, IN  *will start fully remote Contract Duration: 12/2021 to 04/2022 with opportunity for extension Job Overview: You will help continue to progress through the data maturity model using data science methods and principles to generate deeper insights from a great variety of internal and external data sources. To achieve this, you will identify needs, lead the design and implementation of analytical solutions, provide advice and consulting support to our key business stakeholders and demonstrate value by executing proof-of-concept initiatives and prototyping analytical solutions to answer business questions. As a Data Scientist, you will position data science as a key competency within the enterprise and be responsible for creating value from data assets using advanced analytics capabilities including data science, machine learning, and artificial intelligence methodologies to identify critical business risk and opportunities. You have an overall understanding of the key challenges in our industry. You have experience in the areas of analytics, data transformation, and data science. You are passionate about applying state-of-the-art analytical methods, as well as cutting edge machine learning algorithms to find solutions to complex business problems. What you’ll be working on: Project to deliver a cross-functional capacity model covering numerous roles across multiple departments with a variety of demand signals as data sources. Ideal candidate will have direct experience in the development of complex capacity models covering multiple roles and functions. Evaluate, drive and implement solutions from concept to minimum viable product and final product. Apply analytical and statistical methods to solve identified use cases in an agile manner using multiple data sources and analytical tools. Collaborate within cross-functional teams to develop solutions, gain alignment and deliver impactful business insights; engage necessary stakeholders to enable better decision-making. Interpret and communicate analytics results clearly and concisely to audiences with varying backgrounds and degrees of technical understanding. Take an enterprise mindset, linking individual responsibilities with the broader organization; focus on outcomes that provide most business value Partner with data science experts around the world within the company to share best-in-class solutions and drive collaborative approaches towards data science challenges. Required Skills: Experience implementing a capacity model in a professional setting. Experience with implementation of Machine Learning Operations Management (MLOps) implementation and usage. Masters or PhD in Computer Science, Statistics, or Bio-informatics (minimum of a bachelor degree required). #IND2 Job Types: Full-time, Contract Pay: $65.00 - $67.42 per hour Benefits: Dental insurance Health insurance Vision insurance Schedule: 8 hour shift Monday to Friday Ability to commute/relocate: Indianapolis, IN 46256: Reliably commute or planning to relocate before starting work (Required) Education: Bachelor's (Required) Experience: Data science: 1 year (Required) MLOps: 1 year (Required) Capacity Model Implementation: 1 year (Required) Work Location: One location",,78 reviews
https://www.indeed.com/viewjob?jk=aadb6561577ef209&from=web&vjs=3,20,Data Scientist,CooTek,Indiana,"Responsibilities  Analyze large datasets to glean actionable insights and identify emerging opportunities. Create metrics to measure the success of products, services, and features. Use data mining and machine learning skills to design and develop products which drive engagement, growth, retention, and monetization. Develop and deploy scalable classification, regression, ranking, and optimization algorithms. Work with data engineers and other stakeholders in data products pipeline to enable automation of the data-driven products. Communicate both routine and ad-hoc data analysis results in a clear, insightful and actionable way. Minimum Qualifications  BA/BS in Statistics, Computer Science, Math or other related technical fields. 2+ years prior research, data science, or engineering experience in building and implementing recommender systems, machine learning models/algorithms, etc. Excellent programming skills - ability to prototype effective simple or complex algorithms and collaborate with engineering team to implement them in the production system. Familiarity with or willingness to learn large-scale distributed computing tools (Hadoop, Hive, etc.) Preferred Qualifications  PhD or MSc degrees in Statistics, Computer Science, Math or other related technical field. Proficient in R or Python. Familiar with or have contributed to open source machine learning tools/platforms. First author publications in top-tier conferences or journals.  Email us: recruit@cootek.com",30+ days ago,
https://www.indeed.com/viewjob?jk=e42a01b4e074d56e&from=web&vjs=3,10,Data Engineer - MSBI,Micron Technology,Indiana,"Our vision is to transform how the world uses information to enrich life for all. Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing. JR12466 Data Engineer - MSBI Do you want to be at the forefront of data warehousing and analytics capabilities? Do you accept the challenge of working with in-memory technologies to construct and deploy data assets delivering insights for business value? Micron Technology is hiring data engineers to be part of our IT Business Data & Analytics Data Delivery Team within the Enterprise Analytics organization. BDA Data Delivery team works very closely with the business functions as well as the delivery teams in providing the required data on time to run the business We are looking for individuals with database and ETL skills to be part of our team. This role will work primarily with SQL Server and SSIS ETL tools in data warehouse environment. About Micron Technology, Inc. We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life  for all . With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.  To learn more, please visit micron.com/careers  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.  To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_in@micron.com Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards. Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.",2 days ago,"1,070 reviews"
https://www.indeed.com/viewjob?jk=2a5f348341ff4538&from=web&vjs=3,20,Senior Data Scientist (Remote),Johnson Controls,"1255 N Senate Ave, Indianapolis, IN 46202","Senior Data Scientist (Remote) - WD30130149300  What you will do:  The Senior Data Scientist mines and analyzes complex data sets using advanced statistical methods for use in data driven decision making. The Senior Data Scientist leads in the production of research and analysis to quantify the impact of internal and external environments on operational performance. This position is responsible for summarizing, reporting, and providing polished presentations of findings to a variety of internal and external users as well as working with other departments to achieve the overall analytical objectives. The data scientist will report results via visualization tools such as power BI and use tools such as R studio, Azure Machine Learning (AML) for algorithmic analysis. He/she will lead and provide technical guidance, and also serve as a mentor to other team members on statistical analysis, predictive analytics and machine learning.  How you will do it:  Performs research, analysis, and modeling on organizational data (large datasets).  Responsible for enterprise-grade statistical solutions (using machine learning and predictive analytics) catering to both internal and external customers.  Assists in analyzing key metrics and performing data analysis.  Identify and understand business issues and map these issues into quantitative questions  Stay involved in all aspects of the program lifecycle from requirements gathering, ideation, data wrangling, hypothesis generation, programming, testing and implementation of new processes and tools.  Develops and applies algorithms or models to key business metrics with the goal of improving operations or answering business questions.  Provides findings and analysis for users in decision making using visualization tool such as Power BI.  Ensures that the delivered products meet the business needs of the company.  Partners with and provide recommendations to business leadership on the appropriate application of analytics to business strategies and effectively communicate analysis and implications to senior leadership.  Support and drive analytic leadership efforts around machine learning and innovation, business and technology planning, and positive team environment.  Contribute to team training materials, reference documents, technical documents and business presentations. Provides leadership, coaching, and/or mentoring to junior data scientists.   Qualifications What we look for:  Required:  Bachelor degree or higher from a reputed university in engineering, IT, economics, math, statistics, science or other related fields. 5+ years of experience in quantitative related field (data science, statistics, analytics, reporting).  Expert level skill in R programming & Python.  Experience applying computational algorithms and statistical methods to structured and unstructured data.  Experience with using Microsoft analytics Stack (SSAS Tabular, Power BI, Power Query, DAX, SQL and T-SQL).  Experience with working with SSAS cubes.  Experience with Azure Machine Learning (AML). Understanding of Azure and its data services.  Knowledge of working with database client tools such as Toad.  Excellent skill level in relational database required. Proficient in Microsoft Office Suite and Office 365.  Superior documentation and organizational skills. Must be detail oriented.  Excellent critical-thinking skills with the ability to research and analyze data retrieved from multiple sources  Must possess and demonstrate excellent verbal, written, and interpersonal communications skills. Must be an adaptable self-starter and work with minimal supervision. Must be able to handle multiple projects and organize time effectively.  Must be willing to put in extra time and effort if need be. Go above and beyond the requirements of the job and strive to exceed expectations.  Where legally permissible, if hired, candidate is required to be fully vaccinated against Covid-19 no later than his/her start date, unless candidate has a valid medical condition or sincerely held religious belief precluding he/she from receiving the vaccine. Preferred:  Experienced with Data Mining, Clustering & Statistical Modelling (preferred).  Oracle knowledge preferred.   Johnson Controls International plc. is an equal employment opportunity and affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law. For more information, please view EEO is the Law. If you are an individual with a disability and you require an accommodation during the application process, please visit www.johnsoncontrols.com/careers.  Job  Innovation & Technology Primary Location US-IN-Indianapolis Organization  Bldg Technologies & Solutions",21 days ago,"6,821 reviews"
https://www.indeed.com/viewjob?jk=fd53272f5274ce6f&from=web&vjs=3,20,SR. APPLICATION SUPPORT – DATA ANALYST,CalPrivate Bank,Indiana,"Job Summary:  The Sr. Application Support – Data Analyst is responsible for providing expert technical and consultative support. The Sr. Application Support – Data Analyst manages a variety of technology projects that require in-depth knowledge of business processes and the applications used in the business’ daily operations. This position works with the SDPB/CalPrivate business units to define solutions for improving/automating workflow and utilizing the applications more efficiently. The Analyst also performs research and root-cause analysis of system-related issues, and provides technical expertise to end users. This position is responsible for performing all duties in accordance with the company’s policies and procedures, and all US state and federal laws and regulations.   Duties and Responsibilities:   Manage projects of varying size and complexity to support business initiatives, cost-control efforts, and compliance activities. Assist the business with defining opportunities for streamlining workflow, improving operational performance, increasing productivity, reducing costs, and employing new technologies; define project scope and business requirements; prepare project documentation (business requirements, workflow diagrams, user training guides, and interface run guides).  Provide system consulting and process-improvement expertise to the business. Identify opportunities and make recommendations to the business for maximizing system features, functionality, and interfaces with other applications and vendors; identify areas where system training will improve operational performance and user productivity; prepare and deliver ad hoc system training; work with the business to implement system enhancements and workflow efficiencies.  Provide Tier 2 troubleshooting of system issues and system-related requests reported by users. Work with the business end users to define, assess, and prioritize system issues based on business impact; log and monitor issues in the department’s Issue Tracking System;  Perform system administration functions to support the business needs. Perform system configuration changes; document and report creation; user security setup and changes; setup of system parameters; oversight of test environments and support of business testing activities; system research, analysis, and testing to support new products and business initiatives.  Work with third-party technical support teams and vendor account managers to troubleshoot and escalate system issues impacting business operations. Log and monitor issues and requests in Service Now, serve as the liaison between the business and vendors, ensure that vendors handle system issues in accordance with SLAs, and escalate issues to vendor management as needed.  Provide technical support and vendor management oversight on system upgrades. Support the installation of software releases; coordinate troubleshooting of post-release issues; communicate system upgrades and code corrections to the business; coordinate enhancement processes with vendors and work with the business to define enhancements; communicate expectations to the vendors; ensure issues are resolved timely; implement all changes in accordance with IT SDLC practices and change control procedures.   Qualifications:   Five to seven (5-7) years demonstrated experience in the banking/financial services industry, core systems administration, performing systems support and workflow analysis, project management, process redesign, defining and documenting business requirements, performing root-cause analysis, and implementing system/process improvements.  Knowledge of commercial banking and the systems and applications used.  Experience with MIS platforms such as Case Management Systems, SharePoint, Business Objects/Cognos, Power BI, nCino, Salesforce, Other Data Warehouses, Payment Platforms,  Strong judgment, decision-making abilities, and time management skills.  Proficient with Microsoft Office Excel and Visio.  Additional Knowledge preferable:  General understanding of ‘life-of-loan’ concepts, processes, and practices is preferred.  Strong analytical skills and ability to synthesize complex or diverse information.   BSA/AML/Compliance:  This position includes direct or indirect interaction with customers and other employees and therefore includes responsibilities relating to BSA/AML. The employee will have opportunity to examine and view information and documents produced by other employees of the Bank relating to BSA and therefore has the obligation to report suspicious activity to the BSA Officer as appropriate. The employee is responsible for understanding and following the Bank’s BSA/AML policies including elevating suspicious activity to the BSA Officer. Additionally, the employee is required to understand and follow the Bank’s compliance program.   Competencies:   Exceptional customer services skills; consistently responsive to customer inquiries and possesses the ability to be flexible and open to solving problems.  Ability to identify issues, analyze and interpret data and develop innovative solutions to a variety of unusually complex matters;  Excellent analytical, verbal and written communication skills to accurately document, report, and present findings to a variety of audiences including senior management and senior external parties  Excellent interpersonal skills to influence and guide all levels of employees, including senior managers and senior external parties;  Ability to represent the company as a technical expert on external projects.  Ability to work independently or in a team environment is essential as is the ability to work extended hours and travel as required.  Strong project management and implementation skills; ability to meet project deadlines and work with key stakeholders.  Can-do attitude and self-motivated.  Excellent organizational and time management skills  Strong ability to exercise and demonstrate good judgment and sound decision making.  Completes work thoroughly and with a high degree of accuracy.  Strong problem solving skills.  Ability to coordinate and work collaboratively with internal and external contacts on a daily basis.",16 days ago,3 reviews
https://www.indeed.com/viewjob?jk=d4f21a2945534019&from=web&vjs=3,20,Senior Data Analyst,System Services,"Indianapolis, IN 46204","Overview  Develops reports, prepares analyses, makes predictions, and prepares recommendations for decisions based on data and analysis. Works closely with leadership to understand priorities and initiatives and determine what data and analysis can be most beneficial in supporting organizational efforts. Assists business partners with their information needs around workforce planning and other efforts. Collaborates with other departments to extract and synthesize data from multiple sources. Develops new and/or more automated ways of tracking and retrieving data. Identifies data gaps and makes recommendations for what the data needs to be maintained. Participates on internal project teams to provide data and/or assist with analysis and interpretation for project efforts.  Bachelor's Degree required or equivalent work experience. Requires 5-7 years of relevant experience. Requires knowledge of computer applications such as MS Excel, MS Access. Requires analytical and financial capabilities; statistical background preferred. Clinical and/or healthcare experience preferred.",30+ days ago,"1,861 reviews"
