URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=e0d51da581d6ec35&from=web&vjs=3,260,Sr. Software Engineer - Data Science,Resolute Technologies,"Annapolis Junction, MD 20701","Senior Software Engineer – Data Science Resolute is looking for a Sr. Software Engineer to join a Data Science program. The engineer will be responsible for creating complex operational data flows including the storage, transport, management of data, and data security, data compliance, and knowledge store management.  Will also be working with the mission customer to perform exploratory data analysis on raw data to clean, enrich, transform and convert the raw data. Required Skills 7 years or more of experience as a Software Engineer Experience using the Unix command line Experience writing scripts using Bash and/or Python Experience creating, managing, and troubleshooting complex data flows Experience using Apache NiFi to process and distribute data Experience with Corporate data flow processes and tools, data security and compliance procedures and policies Experience with infrastructure as code principles and automation tools such as Ansible (Puppet and SaltStack acceptable) Bachelor's degree in Computer Science, or related discipline from an accredited college or university, or in lieu of degree, additional years of experience Required clearance: TS/SCI with poly Desired Skills General High Performance Computing (HPC) technical knowledge regarding compute, network, memory, and storage components Experience with the Elastic Stack: Elasticsearch/Kibana Experience with the Atlassian Tool Suite: JIRA, Confluence, Bitbucket Experience with time-series visualization tools such as Grafana What's it like to work at Resolute?  Resolute offers benefits such as 39 days paid leave, including birthdays off, robust training, student loan repayment, a company contribution into your 401k retirement plan up to 10%, of base salary, maternity/paternity benefits, a flexible schedule, and more!  Our culture consistently demonstrates the appreciation we have for our employees.   Voted #1 Place to Work in the Baltimore area!",30+ days ago,5 reviews
https://www.indeed.com/viewjob?jk=1726b005db545d6b&from=web&vjs=3,260,Lead Data Scientist - Remote OK,Nielsen,Maryland,"Lead Data Scientist - Remote OK - 101791 Data Science - USA Offsite, Offsite The Lead Data Scientist’s primary responsibility in the Audio Data Science team is to develop creative solutions to enhance the data and analysis infrastructure and pipeline which underpins the survey quality for all Nielsen Audio survey products. In order to deliver high quality standards, the Data Scientist will work as subject matter expert on a team of analysts to establish, maintain and continuously improve data tools and processes supporting the Audio data science team. Tasks will include developing system enhancements, procedural and technological documentation, working with cross functional teams to implement solutions into production systems, supporting survey methodology enhancement projects, and supporting client facing data requests. What will I do? Maintain and continuously improve the variety of data infrastructure, analysis, production and QA processes for the Audio Data Science team Assist in the transition of the data science tech infrastructure away from legacy systems and methods Work with cross-functional teams to implement and validate enhanced audience measurement methodologies Build and refine data queries from large relational databases/data warehouses/data lakes for various analyses and/or requests Utilize tools such as Python, Tableau, AWS, Databricks etc. to independently develop, test and implement high quality custom, modular code to perform complex data analysis, visualizations, and answer client queries Maintain and update comprehensive documentation on departmental procedures, checklists and metrics Implement prevention and detection controls to ensure data integrity, as well as detect and address quality escapes Work closely with internal customers and IT personnel to improve current processes and engineer new methods, frameworks and data pipelines Work as an integral member of the Audio Data Science team in a time-critical production environment Key tasks include – but are not limited to – data integration, data harmonization, automation, examining large volumes of data, identifying & implementing methodological, process & technology improvements Develop and maintain the underlying infrastructure to support forecasting & statistical models, machine learning solutions, big data pipelines (from internal and external sources) used in a production environment Is this for me? Undergraduate or graduate degree in mathematics, statistics, engineering, computer science, economics, business or fields that employ rigorous data analysis Must be proficient with Python (and Spark/Scala) to develop sharable software with the appropriate technical documentation Experience utilizing Gitlab, Git or similar to manage code development Experience utilizing Apache Spark, Databricks & Airflow Expertize with Tableau, or other data visualization software and techniques Experience in containerization such as Docker and/or Kubernetes Expertize in querying large datasets with SQL and of working with Oracle, Netezza, Data Warehouse and Data Lake data structures Experience in leveraging CI/CD pipelines Experience utilizing cloud computing platforms such as AWS, Azure, etc Strong ability to proactively gather information, work independently as well as within an multi disciplinary team E- Proficiency in MS Office suite (Excel, Access, PowerPoint and Word) and/or Google Office Apps (Sheets, Docs, Slides, Gmail) Preferred Knowledge of machine learning and data modeling techniques such as Time Series, Decision Trees, Random Forests, SVM, Neural Networks, Incremental Response Modeling, and Credit Scoring Knowledge of survey sampling methodologies Knowledge of statistical tests and procedures such as ANOVA, Chi-squared, Correlation, Regression, etc #LI-MJ1 ABOUT NIELSEN As the arbiter of truth, Nielsen Global Media fuels the media industry with unbiased, reliable data about what people watch and listen to. To discover what’s true, we measure across all channels and platforms⁠—from podcasts to streaming TV to social media. And when companies and advertisers are armed with the truth, they have a deeper understanding of their audiences and can accelerate growth. Do you want to move the industry forward with Nielsen? Our people are the driving force. Your thoughts, ideas and expertise can propel us forward. Whether you have fresh thinking around maximizing a new technology or you see a gap in the market, we are here to listen and take action. Our team is made strong by a diversity of thoughts, experiences, skills, and backgrounds. You’ll enjoy working with smart, fun, curious colleagues, who are passionate about their work. Come be part of a team that motivates you to do your best work! Nielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Job Type:  Regular Primary Location : Offsite,Offsite Secondary Locations:  Remote, , , Travel:  No",30+ days ago,"2,785 reviews"
https://www.indeed.com/viewjob?jk=0d73830190e220b5&from=web&vjs=3,260,FDA Postgraduate Data Science Fellowship,U.S. Food and Drug Administration (FDA),"College Park, MD","Organization  U.S. Food and Drug Administration (FDA) Reference Code  FDA-CFSAN-2021-0032 How to Apply  Connect with ORISE...on the GO!  Download the new ORISE GO mobile app in the Apple App Store or Google Play Store to help you stay engaged, connected, and informed during your ORISE experience and beyond!  A complete application consists of:  An application  Transcripts –  A current resume/CV, including academic history, employment history, relevant experiences, and publication list  One educational or professional recommendation   All documents must be in English or include an official English translation.  If you have questions, send an email to ORISE.FDA.CFSAN@orau.org. Please include the reference code for this opportunity in your email.  Application Deadline  11/17/2021 3:00:00 PM Eastern Time Zone Description  Applications will be reviewed on a rolling-basis.  A research opportunity is currently available at the U.S. Food and Drug Administration (FDA), Center for Food Safety and Applied Nutrition (CFSAN), Office of Food Additive Safety (OFAS) located in College Park, Maryland.  OFAS review scientists spend a considerable amount of time researching extensive sources of information. In order to make our business process more efficient, OFAS is researching how to leverage techniques in advanced analytics such as natural language processing and machine learning to provide on-demand analytics and intelligent search capabilities to OFAS staff members. To this end, we are planning to create a Warp Intelligent Learning Engine (WILEE) knowledgebase that will house and manage the disparate databases created by review scientists or through other contract mechanisms. This will enable OFAS scientist get ready access to synthesized information within a single location that can be linked directly to one of the major systems (FARM, CERES/STARI) allowing more efficiencies in our day-to-day operations.  Under the guidance of a mentor, the participant will learn about the types of information required to assess the safety of substances added to, or that come into contact with food. The participant will also learn what types of data and data sources are used by the agency to assess the safety of substances added to food. The participant will observe how to architect, develop and construct an operational data store to be used for advanced analytics. The participant will get hands-on experience with how to develop a data product that utilizes data housed in the knowledgebase.  Anticipated Appointment Start Date: November 2021; start date is flexible  This program, administered by ORAU through its contract with the U.S. Department of Energy to manage the Oak Ridge Institute for Science and Education, was established through an interagency agreement between DOE and FDA. The initial appointment is for one year, but may be renewed upon recommendation of FDA contingent on the availability of funds. The participant will receive a monthly stipend commensurate with educational level and experience.   Proof of health insurance is required for participation in this program. The appointment is full-time at FDA in the College Park, Maryland, area. Participants do not become employees of FDA, DOE or the program administrator, and there are no employment-related benefits.  Completion of a successful background investigation by the Office of Personnel Management is required for an applicant to be on-boarded at FDA. OPM can complete a background investigation only for individuals, including non-US Citizens, who have resided in the US for a total of three of the past five years.  FDA requires ORISE participants to read and sign their FDA Education and Training Agreement within 30 days of his/her start date, setting forth the conditions and expectations for his/her educational appointment at the agency. This agreement covers such topics as the following:  Non-employee nature of the ORISE appointment;  Prohibition on ORISE Fellows performing inherently governmental functions;  Obligation of ORISE Fellows to convey all necessary rights to the FDA regarding intellectual property conceived or first reduced to practice during their fellowship;  The fact that research materials and laboratory notebooks are the property of the FDA;  ORISE fellow’s obligation to protect and not to further disclose or use non-public information.  Qualifications  The qualified candidate should have received a master's degree in one of the relevant fields, or be currently pursuing the degree and will reach completion by the appointment start date. Degree must have been received within five years of the appointment start date. Preference will be given to candidates with background and/or experience in data science, data analytics or statistics. Preferred skills:  SAS, SAS Visual Analytics, Python, or R  Knowledge in SQL  Ability and willingness to learn other programming languages  Eligibility Requirements  Citizenship:  LPR or U.S. Citizen  Degree:  Master's Degree received within the last 60 months or anticipated to be received by 11/1/2021 11:59:00 PM. Discipline(s): Computer, Information, and Data Sciences  Engineering  Environmental and Marine Sciences  Life Health and Medical Sciences  Mathematics and Statistics  Other Non-S&E  Other Physical Sciences  Physics  Social and Behavioral Sciences  Affirmation  Have you lived in the United States for at least 36 out of the past 60 months? (36 months do not have to be consecutive.)",30+ days ago,77 reviews
https://www.indeed.com/viewjob?jk=8b55eccc69fd4002&from=web&vjs=3,260,Senior Machine Learning Engineer - Static/Dynamic Program Analysis,Recruiting From Scratch,"Germantown, MD 20876","Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.   If you are a fit, the team will reach out to you about this role or any others that may be a fit for our clients.   Our Client   Data protection goes beyond borders, beyond organizations, and beyond individual teams.   Believing that the global data protection and privacy environments have been far more complex than they should be, our client is reimagining what data protection means in a globalized, technology-driven world.   Now, more than ever, international organizations and data protection professionals need to access data and complex information quickly, conveniently, and in a simplified way.   They are shifting the entire landscape of data protection technology through automation and machine learning. About the job This role requires you to design and implement end-to-end Machine Learning (ML) models and systems to drive business impact by creatively solving cross-disciplinary problems at the boundary of what's possible. You collaborate closely with our static code analysis and runtime monitoring teams to detect data flows within our customers' products and let privacy teams answer their most pressing questions:  What personal data is being processed by my organization? About whom? Where? When? Why?  Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a forward-thinking outlook as well as scrappiness for the present needs. You thrive in a fast-paced, iterative, but heavily test-driven development environment, with full ownership to design features from scratch to impact the business and the accountability that comes along.  Responsibilities:  Creatively apply machine learning to cross-disciplinary problems that have never been solved before   Collaborate closely with our source code analysis and runtime monitoring engineering teams to build the core of a unique product that will reshape an entire industry   Architect production-grade systems to balance scrappiness for the current needs with a forward-thinking outlook to improve and scale our infrastructure   Follow and promote software engineering and machine learning best practices across the organization; keep up to date with the state of the art developments in ML/NLP applications to program static/runtime analysis, and MLOps   Shape the direction of machine learning at Relyance and build a cohesive team culture of ownership, growth, transparency, and customer focus You are a good fit if you:  Have a track record of delivering production-grade ML models and systems   Have experience with at least one of static code analysis or runtime monitoring   Have strong software engineering skills, and set examples by writing clear, concise, and maintainable code considering design principles and applying sound testing practices   Are comfortable with Python, and have experience with ML/NLP tools and libraries such as scikit-learn, PyTorch, TensorFlow, spaCy, Hugging Face, etc.   Have a systematic and goal-directed approach to project management; are comfortable dealing with ambiguity and ruthlessly prioritizing and managing your time with a sense of urgency   Thrive in a self-directed environment with full ownership to design features from scratch to impact the business and the accountability that comes along   Are deeply curious, proactive about continuous improvement, and excited about learning at breakneck speed in a fast-growth environment; are eager to candidly and directly give and receive feedback to improve together as a team   Are customer and mission-driven, motivated by bringing the most value as possible to users and shaping an industry from the ground up   Are the ultimate team player: collaborate effectively with others, consistently make time to help your teammates, and are ego-less in the search for the best ideas",30+ days ago,
https://www.indeed.com/viewjob?jk=5781a75bb3b08e25&from=web&vjs=3,260,Data Scientist - ProServe,"Amazon Web Services, Inc.",Maryland," Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience  Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory  4+ years of industry experience in predictive modeling, data science, and analysis  Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models  Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility  Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models  Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations  Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades? At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions. AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. Inclusive Team Culture Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust. Work/Life Balance Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed. Mentorship & Career Growth Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future. This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  Major responsibilities include:   Assist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization  Use AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models  Research and implement novel ML approaches, including hardware optimizations on platforms such as AWS Inferentia  Work with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototyped  Master’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)  Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships.  Publications or presentations in recognized ML journals or conferences  Deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization  Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. For employees based in Colorado, this position starts at $114,700 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",30+ days ago,"76,218 reviews"
https://www.indeed.com/viewjob?jk=6c1c841408676f30&from=web&vjs=3,260,FDA Statistical Modeling Fellowship,U.S. Food and Drug Administration (FDA),"Silver Spring, MD","Organization  U.S. Food and Drug Administration (FDA) Reference Code  FDA-CDER-2022-0741 How to Apply  Connect with ORISE...on the GO!  Download the new ORISE GO mobile app in the Apple App Store or Google Play Store to help you stay engaged, connected, and informed during your ORISE experience and beyond!  A complete application consists of:  An application  Transcripts –  A current resume/CV, including academic history, employment history, relevant experiences, and publication list  One educational or professional recommendation   All documents must be in English or include an official English translation.  If you have questions, send an email to ORISE.FDA.CDER@orau.org. Please include the reference code for this opportunity in your email.  Application Deadline  4/30/2022 3:00:00 PM Eastern Time Zone Description  Applications will be reviewed on a rolling-basis.  A research opportunity is available in the Office of Translational Sciences/ Office of Clinical Pharmacology (OCP), Center for Drug Evaluation and Research (CDER), Food and Drug Administration (FDA) in Silver Spring, Maryland. CDER performs an essential public health task by making sure that safe and effective drugs are available to improve the health of people in the United States. As part of the FDA, CDER regulates over-the-counter and prescription drugs, including biological therapeutics and generic drugs. This work covers more than just medicines.  The project will critically assess clinical trials to compare patient susceptibility, target validity, biomarkers, and treatment outcome in patients with COVID-19 in order to decipher the disease and explore treatment strategies. We will investigate and expand the efforts into building an in-house database on immunomodulatory targets, biomarker and PK/PD for the different immunomodulatory therapeutic proteins assessed in COVID-19 patients, and quantifying biomarker and treatment response by various intrinsic factors present in COVID-19. Descriptive and exploratory statistical analyses will be used in our assessment.  Under the guidance of the mentor, the participant will learn to develop and apply quantitative analysis to build a PK/PD model to evaluate exposure response relationship and intrinsic factors in the treatment of COVID19.  This program, administered by ORAU through its contract with the U.S. Department of Energy to manage the Oak Ridge Institute for Science and Education, was established through an interagency agreement between DOE and FDA. The initial appointment is for four months, but may be renewed upon recommendation of FDA contingent on the availability of funds. The participant will receive a monthly stipend commensurate with educational level and experience. Proof of health insurance is required for participation in this program. The appointment is full-time at FDA in the Silver Spring, Maryland, area. Participants do not become employees of FDA, DOE or the program administrator, and there are no employment-related benefits.  Completion of a successful background investigation by the Office of Personnel Management is required for an applicant to be on-boarded at FDA. OPM can complete a background investigation only for individuals, including non-US Citizens, who have resided in the US for a total of three of the past five years.  FDA requires ORISE participants to read and sign their FDA Education and Training Agreement within 30 days of his/her start date, setting forth the conditions and expectations for his/her educational appointment at the agency. This agreement covers such topics as the following:  Non-employee nature of the ORISE appointment;  Prohibition on ORISE Fellows performing inherently governmental functions;  Obligation of ORISE Fellows to convey all necessary rights to the FDA regarding intellectual property conceived or first reduced to practice during their fellowship;  The fact that research materials and laboratory notebooks are the property of the FDA;  ORISE fellow’s obligation to protect and not to further disclose or use non-public information.  Qualifications  The qualified candidate should be currently pursuing or have received a bachelor's, master's or doctoral degree in one of the relevant fields. Degree must have been received within five years of the appointment start date.  Demonstrated strong analytical experience is desired.  Eligibility Requirements  Degree:  Bachelor's Degree, Master's Degree, or Doctoral Degree received within the last 60 months or currently pursuing. Discipline(s): Life Health and Medical Sciences  Mathematics and Statistics  Affirmation  Have you lived in the United States for at least 36 out of the past 60 months? (36 months do not have to be consecutive.)",Today,77 reviews
https://www.indeed.com/viewjob?jk=9a7e2830125f2301&from=web&vjs=3,260,DCO-Focused Data Scientist,Parsons,"Annapolis Junction, MD","Minimum Clearance Required to Start: Top Secret SCI w/Polygraph Job Description: Are you a mid-level data scientist looking to level up your career? Would like to work a new and exciting mission to help vastly improve the security of our nation, while both utilizing and honing your skills while gaining new ones? If so, Parsons has an opportunity for you! We are looking for a data scientist to sign up for our team to join a new program we just won. The work will be in support of a new mission focused on hunting, forensics, and intrusion analysis on critically important government missions. You'll get to use your data scientist skills to build in-depth analytics to support our analysts performing a variety of defensive cyber operational activities like incident responses, hunting, and vulnerability assessments. Required Qualifications: – 7+ years of experience in analyzing datasets and developing analytics (or 5+ years with a masters, or 3+ years with a PHD) – 7+ years of experience in software development (or 5+ years with a masters, or 3+ years with a PHD) Desired Qualifications: – Experience with defensive cyber operations Must be able to obtain, maintain and/or currently possess a security clearance. The position requires a COVID vaccination or an approved accommodation/exemption for a disability/medical condition or religious belief.",30+ days ago,957 reviews
https://www.indeed.com/viewjob?jk=6b73aa3919a43392&from=web&vjs=3,260,Sr. Machine Learning (ML) Researcher,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD 20724","Would you like to be a part of an organization that values innovation, talent and thinking outside of the box?  Are you passionate about developing novel solutions to our Nation's greatest technical challenges?  If so, we are looking for someone like you to join our team at APL!  The Analytic Capabilities Group of the Asymmetric Operations Sector is looking for a Senior Machine Learning (ML) Researcher to develop inventive, cutting-edge solutions for training and applying machine learning algorithms to problems of national interest. Candidate will be working with team developing ML algorithms that can operate at the tactical edge. The candidate will have the chance of working on the state of the art hardware for application of Deep Learning and other ML algorithms.   As a Sr. Machine Learning (ML) Researcher, you will:    Primarily develop state-of-the-art ML and data mining algorithms to operate on very large data sets collected under challenging operational environments, and to provide robust situation assessment/awareness and predictive capabilities of potential future threats. Perform prototype implementation of the developed ML algorithms on low Size, Weight, and Power (SWaP) hardware such as graphical processing units (GPUs), Tensor Processing Units (TPUs), field programmable gate arrays (FPGAs) and neuromometic chips like the IBM TrueNorth. Share knowledge by clearly articulating ideas through papers and presentations to technical staff, management and government decision makers. Publish research findings in peer-reviewed literature. Collaborate to document and support software analytics. Work with program office for reporting technical accomplishments and project deliverables, and to engage sponsor organizations for communicating capabilities and impact of research and develop concepts of operation with mission relevance. Potentially travel on a limited basis to customer sites as required.  Qualifications   You'll meet our minimum qualifications if you have...  A Master's degree in Computer Science, Mathematics, Physics, Computer Engineering, Electrical Engineering, or related field with emphasis on computer science and machine learning; strong problem solving skills Experience dealing with real-world large data sets Experience with pattern recognition, statistical analysis Are fluent with some of the following implementation languages: Python, R, Matlab, JAVA, or C++/C The ability to work independently or within a group Excellent verbal and written communication skills; strong analytical and organizational skills. Are able to obtain a Top Secret clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship. Can demonstrate that you are fully vaccinated against COVID-19. To ensure the safety and well-being of the community, APL has established a policy requiring that all staff be vaccinated against COVID-19. All staff members must provide proof of full vaccination or have an approved medical or religious accommodation by their start date.  You'll go above and beyond our minimum qualifications if you have...    A PhD in Computer Science, Mathematics, Physics, Computer Engineering, Electrical Engineering, or related field with emphasis on computer science and machine learning. A proven track record in designing and developing machine learning and data mining algorithms for solving interdisciplinary problems Experience with data-driven predictive model development, unstructured text mining, natural language processing, anomaly and novelty detection Experience with some of the following Deep Learning frameworks: Keras, TensorFlow, CAFFE 2 as well as hands-on experience with implementation of algorithms in Jetson TX2 GPU, IBM TrueNorth and Raspberry Pi.    Why work at APL?  The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.  At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",30+ days ago,159 reviews
https://www.indeed.com/viewjob?jk=69197fdb6389bada&from=web&vjs=3,260,Senior Statistician Late CVRM,AstraZeneca,"Gaithersburg, MD 20878","Those who join AstraZeneca not only feel a sense of ownership about their future, but also know that their work has a huge impact to patients. They thrive with a recognized leader in the industry. AstraZeneca is a nimble organization that values smart risk-takers and has a strong commitment to the employees. With AstraZeneca , you will be applying innovative and creative approaches to science while being at the forefront of a strong and rich pipeline of cutting-edge medicines. Here, you will join passionate professionals who push the boundary of science and technology to develop and deliver life-changing medicines designed to help people live better lives. As a Statistician, you will be a part of a strong global biometrics team, and you will be a strategic partner to the clinical team. You will excel in an environment characterized by respect, integrity and growth opportunities. Our cardiovascular, renal and metabolism pipeline includes investigational therapies in varied stages of clinical development, from recently approved products to earlier-stage molecules in clinical trials. We aspire to transform the lives of patients, working not only to prolong patients’ lives, but to also improve their function and help patients feel better. . Senior Statistician We have an exciting opportunity for a Sr. Statistician depending on your level of experience located in our Gaithersburg Maryland Office. In this role, we will give you the chance to utilize your statistical expertise in the design, analysis, and interpretation of clinical trial programs; submission and defense of regulatory filings; and the generation of evidence to support product commercialization and reimbursement. Main Duties and Responsibilities You will use your statistical knowhow to contribute to the design and progress of clinical trial programs. We offer a role suited perfectly for your competence. Your responsibilities will include: Contribute to or lead the statistical thinking, analysis and reporting to relevant groups in product and study teams Conduct analyses of internal and external information to inform design decisions and the development of decision criteria Contribute to the regulatory submissions including specification of overview documents and response to regulatory questions Contributes to the development of best practice to improve quality, efficiency and effectiveness Apply expert skills to investigate and use standard, as well as novel, statistical approaches for relevant statistical issues. This includes application of modelling and simulation to improve study design, and identification of opportunities to improve statistical methodology and/or provide practical solutions for problems. Essential Requirements You are focused on solving challenging problems through teamwork and partnerships. You are an expert, or seek to be an expert, in your field, and you know that the best results are achieved by utilizing the strengths of every individual. You have a Master’s or Doctorate degree in Statistics, Biostatistics, Mathematics or similar area You possess excellent interpersonal skills, especially when communicating statistical concepts to non-statisticians You are quality focus You have the ability to apply statistical expertise to complex problems, problem solving and quality focus.",30+ days ago,"2,097 reviews"
https://www.indeed.com/viewjob?jk=6a7eab8a47bb2f91&from=web&vjs=3,260,,,,,,
