URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=061695f1fb8f9f5c&from=web&vjs=3,220,Sr Data Scientist,CNA Insurance,United States,"Sr Data Scientist - INF000221 Description   Headquartered in Chicago, CNA is a leading commercial and specialty insurer, offering various insurance products. We keep the economy running by taking care of our customers. When accidents happen, we pay mortgages, wages, and damages. We ensure injured workers get the medical care they need, that buildings get repaired, and that our insureds and their customers are protected.  What CNA offers  A collaborative data science team with diverse skills and experiences, combined with deep expertise in statistical modeling, machine learning, and applications to insurance  A modern cloud computing environment that enables you to explore data, build and deploy sophisticated models that impact key areas such as underwriting, pricing, claims management, and risk control  Sponsorship of continued professional growth through support for attending technical conferences, meetings, and symposia Job Summary  A hybrid environment where our team meets in person one day a week to collaborate and share ideas  Open to remote candidates   Job Summary  Be a strong modeler and programmer  Understand business problems in pricing, underwriting, claims, operations, and other areas; and use appropriate statistical methodologies and machine learning techniques to address these problems  Have a business-focused mindset and eagerness to learn about the business units and products that are work supports  Collaborate with peers and business partners to ensure that we build and implement viable solutions, to have a significant impact, as CNA is increasing our use of analytics to achieve our goals and investing heavily to grow this capability   Essential Duties & Responsibilities  Performs a combination of duties in accordance with departmental guidelines:   Reviews and suggest improvements to best practices  Has a business-focused mindset and is eager to learn about the business unit and products that our work supports  Uses appropriate statistical and machine learning Interprets the results of models in business terms and communicates the contents of the models to business decision-makers  Develops and provides subject matter expertise on the current and emerging predictive modeling techniques  Reviews data, identifies and addresses data quality issues, and prepares data for modeling  With minimal direction plans, implements, manages, and contributes to projects that are up to moderate complexity  Understands business partner goals and how to support them  Has a business-focused mindset and is eager to learn about the business unit and products that our work supports  Interprets models in business terms and communicates model insights and results as a straightforward story for business decision-makers.   May perform additional duties as assigned.   Skills, Knowledge & Abilities  Proficiency in R or Python (e.g., write advanced and efficient programs, knowledge of data manipulation, statistical and ML libraries)  Proficiency with SQL  Attention to detail and accuracy of work, ability to spot and correct issues Experience with extracting meaningful information from large volumes of data across multiple datasets  Strong interpersonal and communication skills, including presentations and documentation  Expertise in applying statistical modeling and machine learning methods to solve business problems  Able to drive continuous improvement in the Data Science function and learn new tools and methods  Able to communicate results and insights to the business partners with a range of technical knowledge  Capable of operating with little supervision and thinking independently and innovatively   Preferred Skills, Knowledge & Abilities  Experience developing packages in R or Python  Able to write advanced and efficient programs, including ETL and use of statistical and ML libraries in R or Python  Experience with unstructured data  Knowledge of insurance  Experience in building machine learning models  Experience in a cloud environment  Familiarity with data visualization  Expertise in applying statistical modeling and machine learning methods to solve business problems  Practical experience with version control, i.e., Git   Reporting Relationship  Typically AVP or above  Education & Experience  Advanced degree in a quantitative field or three years of related work experience or five years of related work experience.  Experience in the insurance industry   EEO Statement:  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Job  Information Systems Primary Location United States Organization  Technology & Analytics/Operations Job Posting  Nov 18, 2021 Unposting Date  Ongoing",14 days ago,492 reviews
https://www.indeed.com/viewjob?jk=e25ffb6e56a5500c&from=web&vjs=3,220,Senior Core Performance Analysis Engineer,Verizon,"Southfield, MI 48075","When you join Verizon  Verizon is a leading provider of technology, communications, information and entertainment products, transforming the way we connect across the globe. We're a diverse network of people driven by our ambition and united in our shared purpose to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward - and you can too. Dream it. Build it. Do it here. What you’ll be doing...  Whether it’s coverage, reliability, or speed - Verizon has the best network. Verizon is a leader in innovation by being the first company to launch a commercial 5G network. In addition to amazing speed, 5G will enable next-generation capabilities and innovations in the consumer and industrial spaces. You will be helping build and optimize this new network. Your work will make an impact on the lives of thousands in the future with how they live, work, and play. Research and understand the end-to-end network design and call flows to help optimize and improve network accessibility, retainability, mobility, integrity, latency and performance. Participate in the planning, testing, and integration phases of various projects to upgrade, redesign, and integrate new and existing services. Perform pre/post analysis and apply critical thinking skills to provide clear conclusions, results, and recommendations to peers and leadership. Utilize various software tools to proactively identify, investigate, and resolve anomalies with various key performance indicators (KPIs), log messages, call flows, and packet analysis. Explore and develop new ways to improve efficiency and effectiveness through developing methods of automation or machine learning for KPI analysis. Participate in market-wide initiatives, trials, and FOAs. Develop and document standardized procedures, reporting, alerting, and share knowledge amongst other engineers. *** This role can be located out of any US based Verizon Hub location.**** In this hybrid role, you'll have a defined work location that includes work from home andassigned office days set by your manager. What we’re looking for...  You’re never satisfied with just good enough - curious, not afraid to ask questions, and eager to investigate. You enjoy learning new things and are always looking to improve. You pay attention to small details and are an excellent problem solver with strong critical thinking skills. You are a team player - always willing to share knowledge, communicate effectively, and maintain a positive attitude. You’ll need to have: Bachelor’s degree or four or more years of work experience. Four or more years of relevant work experience. Demonstrated experience in IP networking, 4G / 5G networks, and/or Data Science, or equivalent coursework in those topics. Willingness to travel. Even better if you have: A degree in Computer Science, Information Systems, Data Science, Mathematics, or Electrical Engineering. Demonstrated knowledge of 3GPP network interfaces, network elements, and call flows for 4G and 5G networks. Demonstrated knowledge and experience with Data Science tools (Python / Pandas, Tableau, Qlik, etc.), statistical analysis methodologies, and demonstrated ability to interact with large data sets to deliver insightful analysis / conclusions / and recommendations with supportive evidence. Experience with network tools such as SevOne, Irisview, nGenius, Wireshark. Demonstrated knowledge of TCP / QUIC performance analysis and SIP/RTP performance analysis. Familiarity with cloud-native software platforms and tools such as Prometheus, Grafana, Jaeger, Elastic. Equal Employment Opportunity  We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our  diversity and inclusion  page to learn more.  COVID-19 Vaccination Requirement Verizon requires new hires to be fully vaccinated against COVID-19. Verizon provides reasonable accommodations consistent with legal requirements (e.g., for medical or religious reasons).",2 days ago,"29,303 reviews"
https://www.indeed.com/viewjob?jk=ed08b9ee920fe4df&from=web&vjs=3,220,Mathematical Statistics Practice Question Writer (Contract),Study.com,United States,"As a Statistics Practice Question Writer, you’ll be: Choosing from a large list of statistics topics & problem types Creating multiple-choice practice problems specific to granular statistics topics Creating viable alternate answer choices for the practice problems As a Statistics Practice Question Writer, you’ll receive the following: Reliable payment: Timely, reliable payments twice a month via PayPal. All work is paid per piece. Per piece rates vary based on complexity and length of content. Flexibility: Work according to your own schedule with no waiting, no assignments, and productivity/hourly requirements Support: Access to an incredibly supportive in-house team to answer your questions Work satisfaction: The knowledge that you're helping millions of students achieve their academic goals! What we’re looking for: Expertise in high school level statistics A bachelor’s degree or higher in math, statistics, education or a related field Teaching or tutoring experience in statistics or a related subject is preferred but not required Do you think you can be a Statistics Practice Question Writer for Study.com? Click “ Apply Now ” at the bottom to fill out an application and submit your resume! About Study.com At Study.com, our goal is to make education accessible by providing fun, engaging video lessons and other learning resources for students, teachers, and parents. Today, over 30 million students use Study.com every month to achieve their educational and academic goals. To supplement our existing collection of statistics lessons, we are now developing an extensive library of example problems with clear, step-by-step explanations to help students develop and practice their statistics skills. We recently ranked 10th on Virtual Vocations' top 25 list of best partners for remote work in 2021, and we're growing our team of contractors even further! US123  p4ScmQZQew",28 days ago,89 reviews
https://www.indeed.com/viewjob?jk=be0b5d3a253ba2d4&from=web&vjs=3,220,Data Scientist/Machine Learning Engineer,"nference, inc.",United States,"Company Description A science-first software company, nference has been called “The Google of Biomedicine” by the Washington Post. Our proprietary AI-enabled software is the only platform that addresses the end-to-end challenges associated with unlocking the potential of electronic medical records (EMRs) in a privacy-preserving manner. The exponential growth of biomedical data, driven by the adoption of EMRs, provides an unprecedented opportunity to create transformative technologies and products in healthcare. nference partners with medical centers to turn decades of rich, but predominantly unstructured, data captured in EMRs into powerful solutions that enable scientists to discover and develop the next generation of personalized diagnostics and treatments for patients worldwide. We believe that the greatest opportunity for our generation to elevate human health is by developing technology to curate and synthesize the world's biomedical data in order to enable that scientific discovery. nference is headquartered in Kendall Square (Cambridge, MA), the world’s biotech capital, with offices in Rochester (Minnesota), Bangalore (India) and Toronto (Canada). You will work alongside a multidisciplinary team of serial entrepreneurs from the tech and biotech worlds along with highly trained, innovative and dedicated scientists/physicians (PhD in Biology/Genomics and/or MD). Job Description nference is seeking a highly skilled and experienced Data Scientist/Machine learning Engineers. This position would be focused on execution of the various scientific collaborations with our partners and developing innovative components that can be incorporated into our analytics platform that is used to gain insights from the entire gamut of medical data (clinical notes in natural language text, longitudinal structured patient history, images and videography, lab and clinical measurements and observations, genomics etc.). In this position, you would work closely with physicians, scientists, data scientists, and engineers, both internally and externally, to drive forward cutting-edge research and develop new models of patient care. You must be a self-starter who thrives in a fast-paced, agile environment – which requires wearing many hats, the ability to change direction quickly, and an eagerness to learn new technologies as needed. This position will be based in our Durham, NC office. Individuals do not have to be physically located in Durham and can be remote. Responsibilities :  - Exploring and examining data from multiple structured and unstructured sources with the goal of discovering advancing hypotheses relevant to life sciences and biomedicine - Applying mathematical and statistical concepts to perform analyses across a diverse range of scientific, clinical and translational datasets. - Leveraging expertise in computer science, software development and algorithms to analyze and implement analytic workflow processes and data visualizations. - Deploy, debug and ensure high performance of developed solutions. - Working with a team of other data scientists to build and develop the core software platform and underlying inference tools. Working with research scientists and clinical scientists in leveraging those tools towards collaborations with physicians and biopharma researchers. - Leveraging speaking skills and presentation expertise to convey complex information to audiences from diverse backgrounds and engaging in active discussions at meetings with clients Required Qualifications :  - BS/MS/PhD in computer science, data science, computer engineering, statistics - Understanding of data structures, software engineering principles and architecture - Experience and mathematical understanding in one or more of natural language processing(NLP), computer vision(CV), machine learning(ML), optimization. - Coding experience: Languages like python, golang, C/C++ and R, NoSQL and SQL databases, pandas, NumPy, scipy, PyTorch, Keras, TensorFlow, scikit-learn, Jupyter notebooks etc. - Experience with software development · Working with big data · Data quality analysis · Feature engineering · Model training, testing, and validation using packages - Statistical analysis and database queries - Must be able to work collaboratively, must be able to work across teams - Experience working with healthcare (electronic health records, claims data, etc.) or biological datasets (RNAseq, genomics, proteomics, etc.) strongly preferred Position includes competitive sick/vacation/holiday package, equity, health, dental, life insurance, STD, LTD and 401k plan. nference will only respond via email to candidates selected for further consideration. nference is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, creed, religion, ancestry, national origin, age, gender identity, gender expression, sex/gender, marital status, sexual orientation, physical or mental disability, medical condition, military/veteran status, citizenship status, basis of genetic information, or any other group protected by law. Job Type: Full-time Benefits: 401(k) Dental insurance Employee assistance program Health insurance Life insurance Paid time off Parental leave Retirement plan Vision insurance Schedule: Monday to Friday Education: Bachelor's (Preferred) Work Location: Multiple Locations",,
https://www.indeed.com/viewjob?jk=d6246e5020df7f29&from=web&vjs=3,220,Data Science Consulting Director,CNA Insurance,United States,"Data Science Consulting Director - INF000224 Description Data Science Consulting Director  Headquartered in Chicago, CNA is a leading commercial and specialty insurer, offering various insurance products. We keep the economy running by taking care of our customers. When accidents happen, we pay mortgages, wages, and damages. We ensure injured workers get the medical care they need, that buildings get repaired, and that our insureds and their customers are protected.  What CNA offers  A collaborative data science team with diverse skills and experiences, combined with deep expertise in statistical modeling, machine learning, and applications to insurance  A modern cloud computing environment that enables you to explore data, build and deploy sophisticated models that impact key areas such as underwriting, pricing, claims management, and risk control  Sponsorship of continued professional growth through support for attending technical conferences, meetings, and symposia Job Summary  A hybrid environment where our team meets in person one day a week to collaborate and share ideas  Open to remote candidates  Job Summary  Be a strong modeler and programmer.  Understand business problems in pricing, underwriting, claims, operations, and other areas; and use appropriate statistical methodologies and machine learning techniques to address these problems  Have a business-focused mindset and eagerness to learn about the business units and products that our work supports.  Listen closely to business needs and identify ways that data science can help business partners meet their goals  Collaborate with peers and business partners to ensure that we build and implement viable solutions, to have a significant impact, as CNA is increasing our use of analytics to achieve our goals and investing heavily to grow this capability  Essential Duties & Responsibilities  Performs a combination of duties in accordance with departmental guidelines:   Provides subject matter expertise on the current and emerging predictive modeling techniques  Uses appropriate statistical and machine learning techniques. Interprets the results of models in business terms and communicates the contents of the models to business decision-makers  Leads the introduction of innovative data science methodologies and suggest improvements to existing best practices  Reviews data, identifies and addresses data quality issues, and prepares data for modeling  Reviews, evaluates, and communicates appropriateness of modeling techniques and results to team, leadership, and stakeholders to ensure these are well understood and incorporated into business processes  Leads data science projects: from conceptualization through data exploration, model selection, and validation, implementation, business user training, and support  Manages analytical initiatives, develop junior data scientists and communicate analyses with leaders and key business stakeholders  Understand business partner goals and recommend ways to support them  Has a business-focused mindset and is eager to learn about the business unit and products that our work supports  Interprets models in business terms and communicates model insights and results as a straightforward story for business decision-makers  May perform additional duties as assigned.   Skills, Knowledge & Abilities  Able to write advanced and efficient programs, including ETL and use of statistical and ML libraries in R or Python  Proficiency with SQL  Attention to detail and accuracy of work, ability to spot and correct issues Experience with extracting meaningful information from large volumes of data across multiple datasets  Strong interpersonal and communication skills, including presentations and documentation  Deep expertise in applying statistical modeling and machine learning methods to solve business problems  Able to drive continuous improvement in the Data Science function and learn new tools and methods  Able to communicate results and insights to the business partners with a range of technical knowledge  High level organizational and project management skills to handle multiple concurrent assignments in a timely manner  Inspires trust among peers and business clients and leverages business acumen to gain strategic alignment to move work forward  Can analyze data and review analysis from others and identify and resolve basic data issues  Preferred Skills, Knowledge & Abilities  1. Experience developing packages in R or Python  2. Able to write advanced and efficient programs, including ETL and use of statistical and ML libraries in R or Python  3. Experience with unstructured data  4. Knowledge of insurance  5. Experience in building machine learning models  6. Experience in a cloud environment  7. Familiarity with data visualization  8. Expertise in applying statistical modeling and machine learning methods to solve business problems  9. Practical experience with version control, i.e., Git   Reporting Relationship  Typically AVP or above  Education & Experience  Graduate degree in a quantitative discipline, with seven or more years of relevant work experience of ten or more years of relevant work experience.  Experience in the insurance industry   EEO Statement:  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Job  Information Systems Primary Location United States Organization  Technology & Analytics/Operations Job Posting  Nov 18, 2021 Unposting Date  Ongoing",14 days ago,492 reviews
https://www.indeed.com/viewjob?jk=bdc826f98f9dac8f&from=web&vjs=3,220,Logistics Coordinator - Business Analyst,Expeditors,"11101 Metro Airport Center Dr, Romulus, MI 48174","Company Description “We’re not in the shipping business; we’re in the information business” -Peter Rose, Expeditors Founder Global supply chain management is what we do, but at the heart of Expeditors you will find professionalism, leadership, and a friendly environment, all of which foster an innovative, customer service-based approach to logistics. 15,000+ trained professionals 250+ locations worldwide Fortune 500 Globally unified systems Application Requirements A cover letter must be included as the first page of your resume. The cover letter should be no longer than one (1) page. Please address why you are a good fit for this specific job posting, and your desired compensation range.   Job Description This position is for a role in Expeditors’ Network Management Center, a global solutions-based center of excellence. The NMC provides support for some of Expeditors largest customers in the aviation, automotive, Pharmaceutical and retail industries, specializing in the oversight of critical logistics shipments, aircraft on ground shipments and other specialized logistics service offerings. The Network Management Center team works with a wide variety of suppliers, customers and service providers throughout North America and internationally to deliver real-time transportation and visibility solutions to our customers with exceptional customer service. The role of a Logistics Coordinator - Business Analyst focuses on the execution of our customers’ transportation orders from inception through delivery. Your main responsibilities will include receiving, booking and scheduling transportation orders. You will perform exception management through a real-time alert based tracking system and deliver solution based customer service. You will use creativity and technical skills to analyze, review and validate data, identify trends, patterns, and anomalies. You will use these findings to develop strategies to reduce costs, improve processes and practices, and increase efficiency, quality, and consistency. To be successful in this role one must be customer focused, should be able to think creatively about problems and overcoming them, and should have excellent interpersonal skills while delivering exceptional customer service to our customers. Major Skills and Responsibilities Manage Projects: Develop project plans, and monitor performance. Comprehend KPIs: Understand “Customer Quality Scores” to ensure value is added to stake holders, internal and external. Analyze Data: Customer and Expeditors data in order to fully understand, and display data to show a meaningful story or impact. Program Recommendations: Recommend process, program, customer improvements, and obtain proper buy-in to implement. Evaluate and review customer´s supply chain and processes as they pertain to Expeditors, and Expeditors internal processes in order to uncover areas of improvement, or risk Using data to develop and optimize strategies and processes, increase profits, efficiency, quality and reduce costs Exceptional analytical and conceptual thinking skills Capable presentation, public speaking, and meeting facilitator skills Ability to develop and maintain lasting relationships with internal and external stake holders Ability to work in autonomy, self-starter. Emotional resilience, can withstand stress. Attention to detail and sense of urgency. Ability to identify red flags (critical thinking) Self-reflecting and open to feedback, coachable. Role model of integrity and pride for all employees.   Qualifications Knowledge Areas Data Ecosystems and Architectures Reporting Environments Data Security Policies Data Programming Fundamentals Familiarity with one or more programming languages Data Analytics Development Processes Data Access Tools Data Quality and Validation Testing, QA Standards and Methodology Statistical Data Analysis Business Operations Process and KPIs Minimum Qualifications High School Diploma One year of work experience Proficiency with computers Exceptional customer service, presentation, research, verbal and written communication Fluent in English Desired Qualifications Bachelor’s degree in Business, Supply Chain/Logistics, Data Science, Finance, Economics or related field is preferred, but not required Two years of experience in finance, data analysis, project management, or related field is preferred, but not required Qualifications in supply chain management or logistics IATA/FIATA Brokers License University/Specialist Certifications Additional Information Expeditors offers excellent benefits: Paid Vacation, Holiday, Sick Time Health Plan: Medical, Prescription Drug, Dental and Vision Life and Long Term Disability Insurance 401(k) Retirement Savings Plan (US only) Employee Stock Purchase Plan Training and Personnel Development Program Relocation will not be provided. All your information will be kept confidential according to EEO guidelines. This position is based at our DTW/Detroit metro area office.",30+ days ago,944 reviews
https://www.indeed.com/viewjob?jk=8bf44c62c39b34e4&from=web&vjs=3,220,Data Scientist Visualization Engineer,"nference, inc.",United States,"Company Description A science-first software company, nference has been called “The Google of Biomedicine” by the Washington Post. Our proprietary AI-enabled software is the only platform that addresses the end-to-end challenges associated with unlocking the potential of electronic medical records (EMRs) in a privacy-preserving manner. The exponential growth of biomedical data, driven by the adoption of EMRs, provides an unprecedented opportunity to create transformative technologies and products in healthcare. nference partners with medical centers to turn decades of rich, but predominantly unstructured, data captured in EMRs into powerful solutions that enable scientists to discover and develop the next generation of personalized diagnostics and treatments for patients worldwide. We believe that the greatest opportunity for our generation to elevate human health is by developing technology to curate and synthesize the world's biomedical data in order to enable that scientific discovery. nference is headquartered in Kendall Square (Cambridge, MA), the world’s biotech capital, with offices in Rochester (Minnesota), Bangalore (India) and Toronto (Canada). You will work alongside a multidisciplinary team of serial entrepreneurs from the tech and biotech worlds along with highly trained, innovative and dedicated scientists/physicians (PhD in Biology/Genomics and/or MD). Job Description nference is seeking a highly skilled and experienced Data Scientist/Visualization Engineers. This position would be focused on execution of the various scientific collaborations with our partners and developing innovative components that can be incorporated into our analytics platform that is used to gain insights from the entire gamut of medical data(clinical notes in natural language text, longitudinal structured patient history, images and videography, lab and clinical measurements and observations, genomics etc.). In this position, you would work closely with physicians, scientists, data scientists, and engineers, both internally and externally, to drive forward cutting-edge research and develop new models of patient care. You must be a self-starter who thrives in a fast-paced, agile environment – which requires wearing many hats, the ability to change direction quickly, and an eagerness to learn new technologies as needed. This position will be based in our Durham, NC office. Individuals do not have to be physically located in Durham and can be remote. Responsibilities :  - Exploring, examining and presenting data from multiple structured and unstructured sources with the goal of discovering advancing hypotheses relevant to life sciences and biomedicine - Applying mathematical and statistical concepts to perform analyses across a diverse range of scientific, clinical and translational datasets. - Leveraging expertise in computer science, software development and algorithms to analyze and implement analytic workflow processes and data visualizations. - Deploy, debug and ensure high performance of developed solutions. - Working with a team of other data scientists to build and develop the core software platform and underlying inference tools. Working with research scientists and clinical scientists in leveraging those tools towards collaborations with physicians and biopharma researchers. - Leveraging speaking skills and presentation expertise to convey complex information to audiences from diverse backgrounds Required Qualifications :  - BS/MS in computer science, data science, computer engineering, statistics - Ability to build visualizations of analytic information using web technologies - Understanding of data structures, software engineering principles, software architecture and machine learning principles - Coding experience: Web technologies like Javascript/HTML/CSS, Web frameworks like React/Angular, NoSQL and SQL databases. Familiarity with languages like python, golang, C/C++ and machine learning tools like pandas, NumPy, scipy, PyTorch, Keras, TensorFlow, scikit-learn, Jupyter notebooks etc. will be additionally preferred. - Experience with software development · Working with big data · Data quality analysis · Feature engineering · Model training, testing, and validation using packages - Familiarity with statistical analysis and database queries - Must be able to work collaboratively, must be able to work across teams - Experience working with healthcare (electronic health records, claims data, etc.) or biological datasets (RNAseq, genomics, proteomics, etc.) strongly preferred Position includes competitive sick/vacation/holiday package, equity, health, dental, life insurance, STD, LTD and 401k plan. nference will only respond via email to candidates selected for further consideration. nference is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, creed, religion, ancestry, national origin, age, gender identity, gender expression, sex/gender, marital status, sexual orientation, physical or mental disability, medical condition, military/veteran status, citizenship status, basis of genetic information, or any other group protected by law. Job Type: Full-time Benefits: 401(k) Dental insurance Health insurance Life insurance Paid time off Parental leave Retirement plan Vision insurance Schedule: Monday to Friday Education: Bachelor's (Preferred) Work Location: Multiple Locations",,
https://www.indeed.com/viewjob?jk=33bda8b917947476&from=web&vjs=3,220,Backend Developer AI ML Manager,Deloitte,"200 Renaissance Center Suite 3900, Detroit, MI 48243","Deloitte is defining the digital landscape. We are pioneering a new model for a new digital world. Do you like to challenge the status quo? Does curiosity feed your soul? Are you addicted to the thrill of creating? Do you want to be your authentic self at work? Then consider a career within our Manufacturing Strategy and Smart Operations practice. Creative design, state-of-the-art technology, and your imagination merge here to create lasting impact for our clients. Not to mention make for a pretty fun and meaningful career!   Work you'll do  Industry-leading clients. An award-winning culture. Top notch connections. Big opportunities. At Deloitte, you'll work with the best in the business to solve the toughest problems in business. From learning to leadership, this is your chance to take your career to the next level.  Drive execution of our clients' business strategy through the Manufacturing function Deliver complex projects in a fast-paced, team environment Promote and participate in forums for sharing expertise, strengthening Deloitte's collective knowledge and helping resolve our clients' challenges Collaborate on innovative solutions to bolster the future of the practice Gain experience in implementing leading-edge Smart Factory and digital supply chain solutions Work collaboratively with market leading ecosystem partners  The team  Our team helps clients transform their value chains into competitive advantages. We drive efficiency, improve flexibility, and increase responsiveness through proactive insights and decision-making. We advise, implement, and operate transformational solutions that bring world-class supply network and operational capabilities to our clients. We provide operational know-how, digital technologies, advanced analytics, and industry-specific hybrid solutions to deliver unprecedented client value. Additionally, we improve operations, product, and material flow across the breadth of the value chain and create greater supply network synergy and value through M&A events.   Required Qualifications  8+ years of professional experience 4+ years building software applications using language(s) such as JAVA, Python, .NET or similar 2+ years building software applications using Python 2+ years using Git and GitHub as a version control and collaboration platform Experience with software engineering best practices for the full SDLC, including object-oriented programming, test-driven development Bachelor's Degree in Computer Science or related field Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future. Ability to travel up to 50% (while up to 50% travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice)  Preferred Qualifications  2+ years of experience with the popular set of scientific computing tools in Python (SciPy, NumPy, Matplotlib, Pandas, and IPython) 2+ years of experience with relational databases Training in applied statistics, machine learning, and data visualization Familiarity with manufacturing processes and Operational Technologies (OT) such as data historians",30+ days ago,"10,332 reviews"
https://www.indeed.com/viewjob?jk=a42a688efb43e288&from=web&vjs=3,220,"Product Lead (platform, apps, AI & Automation)",Morpheus One Inc.,"Ann Arbor, MI","RESPONSIBILITIES  Tools: Figma, Jira  Areas of product ownership: platform, apps, AI & Automation   Own product development from concept to launch  Establish and prioritize our user-first goals for the product team  Partner with cross-functional teams (Engineering, Data Science, Customer Success) to launch new products, monitor users' engagement, and evaluate product success  In charge of task assignment, team collaboration, onboarding and mentoring, and delivery progress of the product team  Be a self-starter and a team player keen on growing both technical and managerial skill sets within a fast paced environment  QUALIFICATIONS  4+ years of experience developing and launching SaaS products for global markets  3+ years of experience aligning product/design teams to achieve excellent user experiences and company business goals in a lead role  [Nice to have] Experience in e-commerce, or tech startup, preferably in Series A to C  COMPENSATION  Competitive salary offers + stock options based on experience  Annual bonuses, paid vacations, and on-going learning opportunities  Other company-sponsored perks  ABOUT US  Read more about our team and other vacancies here Morpheus One | Careers  INTERESTED IN JOINING US?  Email your resume or LinkedIn profile to Daisy at talent@morpheusone.com. Briefly tell us about: How you found us/ this position  What you are looking for in your next position/ team  Your desired salary (if any)  Include links to your portfolio (product/design), GitHub/StackOverflow (engineering), case study (UX/Growth)  Only candidates selected for interviews will be contacted  To learn more about our interview process, check out our Interview Guide",30+ days ago,
https://www.indeed.com/viewjob?jk=faa18a6eb0d3fc98&from=web&vjs=3,220,Business Analyst II (Salesforce Reporting),MetaBank,"Troy, MI 48098","MetaBank is a financial enablement company who works with innovators to increase financial availability, choice, and opportunity for all. We strive to remove barriers that traditional institutions put in the way of financial access, and promote economic mobility by providing responsible, secure, high quality financial products that contribute to the social benefit of communities at the core of the real economy. Come join the Business Intelligence Group within the Commercial Finance business unit of Metabank where you will have valuable input on developing management reporting for the senior leaders! The ideal candidate will be a highly motivated self-starter who thrives in ambiguity, loves variety, moves with a high sense of urgency, and is creative and flexible in an ever-changing environment. Your work will be highly visible and impactful, so you will need to bring passion for our mission and live our Humble, Hungry, and Smart values daily. Humble  – You lack excessive ego or concerns about status. You’re quick to point out the contributions of others and slow to seek attention for your own. You share credit, emphasize team over self, and define success collectively rather than individually. Hungry  – You are always looking for more…more things to do, more things to learn and more responsibility to take on. You’re self-motivated, diligent, and are consistently thinking about the next step and the next opportunity. Smart  – Simply stated smart refers to your common sense about people. You’re inter-personally appropriate and aware. You have good judgement and intuition around the subtleties of group dynamics and the impact of your words and actions. What You Will Do: Use data structures to discover and/or anticipate problems where data can be used to solve the problem Actively participate in initial and continual development as well as on-going maintenance of reports and models Maintain and refine historic and forward-looking business metrics and statistics that can be used to help guide decision making Assist in the creation and compilation of reporting packages highlighting results and variance analysis Identify and execute opportunities for process improvement and standardization across business lines Drive standard definitions around key data elements and identify and support projects related to achieving data consistency, availability, and quality Provide support and assist in driving the identification and implementation of technology solutions to reduce manual processes, enhance controls, improve cycle times, and support consistency where practical Generate one-time, ad hoc reports by crafting custom queries against the data repository Work closely with internal and external partners to obtain supporting information and data and develop a consistent view of product performance and operational support functions Other duties as assigned Experience What You Will Need: Typically, 3+ years of experience with bachelor's or equivalent Has worked with Salesforce or comparable CRM Proficiency in SQL or other data/reporting tools Experience in quantitative methods/techniques, statistics, predictive modeling, data science or other analytical disciplines preferred Education/Certification Who We Are: At MetaBank, we take tremendous pride in our mission to create financial inclusion for all. We are the leader in providing innovative financial solutions for people who have been seemingly overlooked by traditional financial institutions. Our goal is to bring tangible solutions that help people develop a plan, gain access to financial systems, establish liquidity, and get practical, systemic assistance to stay on rack. We operate in several different financial sectors including payments, commercial finance, tax services, and consumer lending. We are in the business of providing services that change lives, and we are confident that MetaBank will be the most rewarding work of your career. We are a team of problem solvers and innovators who celebrate our differences and know that our unique perspectives make us stronger and well-positioned for success. Our commitment to inclusion is woven into our DNA. We believe that we are strongest when we embrace the voices of our employees, customers, partners, and the communities we serve. We are committed to providing equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender (including pregnancy), sexual orientation, gender identity, national origin, age, disability, genetic information, marital status, amnesty, status as a covered veteran, or any other class protected by federal, state and local laws. Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",30+ days ago,28 reviews
