URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=a2e4493d1dcd4700&from=web&vjs=3,10,"Data Scientist, Crypto Research",Cross River Bank,"Fort Lee, NJ","Who we are Cross River is a highly profitable fast-growing financial technology company that helps clients to deliver financial solutions that empower consumers anytime, everywhere. We are on a mission to build the infrastructure that propels access, inclusion, and the democratization of financial services. Our clients include companies such as Affirm, Stripe, Coinbase, and many others. We are now committed to build products for companies who want to bring crypto to the next 1B people: we are uniquely positioned to succeed because of our technology, experience, and strong relationships with market participants and regulators. In addition, Cross River offers amongst the best benefits in the industry: Family Medical Plans with minimal outlay to the employee, generous time off, matching 401K, pre-IPO equity, flexible and hybrid work culture, a shuttle from Manhattan to the office, and many more perks and amenities. WHAT WE'RE LOOKING FOR:  We are hiring a Data Scientist for our Crypto Research who can perform hands-on analysis and modeling with on-chain and market data to develop insights for primers, whitepapers, dashboards, internal and external presentations. The ideal candidate has a background in a quantitative or technical field, working with large data sets, and creating dashboards for internal and external usage. You should also be knowledgeable about data, transactions, and models in crypto; you should be able to evaluate a protocol, predict the price of bitcoin, or perform an in/out flow analysis. You will join an exciting, newly formed, crypto team that deeply cares about growing with people who question assumptions, have strong judgement, execute fast, take ownership, act responsibly, help the team advance and improve its standards. Responsibilities You will produce market surveillance insights and dashboards (ie, in/out flow of money, trading signals, macro events, new dynamics, etc.). You will perform sell-side quantitative research and protocol-level analysis. You will identify and engage with new players in Blockchain, Crypto, DeFi. You will establish scalable, efficient, automated processes for large-scale data analysis, machine-learning model development, model validation and serving. Minimum qualifications 2+ years of practical experience as data scientist in a production environment Experience in at least one programming language (e.g. R, Python, Java, Ruby, Scala/Spark) Knowledge of self-service analytics tools (e.g., PowerBI, Qlik, Tableau) Understanding and knowledge of on/off-chain data Bonus Experience analyzing new blockchain protocols and develop a thoughtful point of view that leads to a clear recommendation Experience producing thoughtful and credible research (ie, personal blog, company research, etc.) Experience presenting research to large audience (webinar, conferences, etc.) Cross River is an Equal Opportunity Employer. Cross River does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need. By submitting your application, you give Cross River permission to email, call, or text you using the contact details provided. We will only contact you with job related information. Job Type: Full-time",,
https://www.indeed.com/viewjob?jk=3a08822d42f17990&from=web&vjs=3,10,"Data Scientist (655611) // US or GC // Trenton, NJ area // $144K",Dantech Corporation,"Trenton, NJ 08618","About the Opportunity We are only considering US Citizens and Green Card holders for this position. We are unable to sponsor for this role. We are  only considering candidates who currently reside within 1 hour of postal code 08618 No Third Party Agencies $72 per hour 1099 - > $144K per year 100% On-Site Job Id: CAI-655611 Must be able to provide proof of COVID-19 vaccination Contract Term: Till end of the 2022 fiscal year with possible extension based upon performance Short Description The State of New Jersey’s Department of Health (NJDOH) is seeking a Data Scientist to support its Prescription Overdose: Data-Driven Prevention Initiative (DDPI). The ideal candidate will have 7+ years of experience with SAS, ETL, data processes and data analytics along with experience working with large public health datasets/databases. Required Skills/Years of Experience:  Bachelor’s Degree in Computer Science, Statistics, Applied Math or related field 3+ years of experience using Python 3+ years of experience using Tableau Desired Skills/Years of Experience:  Master’s Degree in Computer Science, Statistics, Applied Math or related field 7+ years of experience with SAS, ETL, data processing, database programming and data analytics 2+ years of experience with data structures and common methods in data transformation 2+ years of experience working with pattern recognition and predictive modeling 2+ years of experience with data mining and statistical analysis Complete Description The State of New Jersey’s Department of Health (NJDOH) is seeking a Data Scientist to support its Prescription Overdose: Data-Driven Prevention Initiative (DDPI). The ideal candidate will have 7+ years of experience with SAS, ETL, data processes and data analytics along with experience working with large public health datasets/databases. The Data Scientist will be tasked to: Research and develop statistical learning models for data analysis Collaborate with HQI and HIT to understand general Department and the specific DDPI project needs and devise possible solutions Keep up-to-date with latest technology trends Communicate results and ideas to key staff in DOH Implement new statistical or other mathematical methodologies as needed for specific models or analyses Optimize joint development efforts through appropriate database use and project design Hiring Expectations We are only considering US Citizens and Green Card holders for this position. We are unable to sponsor for this role. No Third Parties Right to Represent authorization is required Expect technical interview screening Expect F2F interview Background check and credit check will be required About Dantech Dantech Corporation, Inc. is a Certified Business Enterprise (CBE) in the District of Columbia and a federally recognized Woman Owned Small Business (WOSB). The company has a history of technology, innovation and transformation since its launch in 1999. As an Equal Opportunity/Affirmative Action Employer, all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, or disability status. For more information, please see: www.dantechcorp.com. Job Type: Full-time Pay: Up to $144,000.00 per year Schedule: Monday to Friday Application Question(s): Are you vaccinated for COVID-19? Do you currently reside in the Trenton, NJ area (within 45 minutes of postal code 08618)? Education: Bachelor's (Required) Experience: Python: 3 years (Required) Tableau: 3 years (Required) SAS, ETL, data analytics: 7 years (Preferred) data structures and data transformation: 2 years (Preferred) pattern recognition and predictive modeling: 2 years (Preferred) data mining and statistical analysis: 2 years (Preferred) Work Location: One location",,
https://www.indeed.com/viewjob?jk=9e15466caced4688&from=web&vjs=3,10,Data Science Engineer,Dataquestcorp,"Branchburg, NJ","Job role: Data Science engineer Note: Don't apply for C2C. only W2 positions We are providing free training and placement based on client requirements. Technologies: .NET and Java Benefits: H1b sponsorship Free Accommodation Free Training Relocation Assistance. Location: NJ USA Job Type: Full-time Salary: $65,000.00 - $75,000.00 per year Job Type: Full-time Salary: $70,732.00 - $75,000.00 per year Benefits: Health insurance Schedule: 8 hour shift Education: Master's (Preferred) Experience: Python: 1 year (Preferred) SQL: 1 year (Preferred)",,
https://www.indeed.com/viewjob?jk=76997f86d54da002&from=web&vjs=3,10,Data Scientist,Hermitage Infotech,"Newark, NJ","HI Please go thru the req given below and kindly send me your updated resume in word document, if you are available and interested in this project given below. Please let me know your minimum expected rate/salary, work authorization, contact details and availability. Please email the resumes to varma@hermitageinfotech.com. Or please call Varma at  9 0 8 2 4 7 0 9 5 0  I have an urgent req for a Data Scientist with Mandatory experience: Apache spark, Hive, big data, aws, ETL, EMR, python, with programming knowledge. Regards Varma 908-247-0950",30+ days ago,
https://www.indeed.com/viewjob?jk=bc4d3c3043dd252f&from=web&vjs=3,10,Data Scientist,HBSE,"Camden, NJ","WHO WE ARE: Founded by Josh Harris and David Blitzer, Harris Blitzer Sports & Entertainment (HBSE) includes in its portfolio the Philadelphia 76ers, the New Jersey Devils, leading venue Prudential Center in Newark, N.J., the GRAMMY Museum Experience Prudential Center, the Delaware Blue Coats, the Binghamton Devils, the Sixers Innovation Lab Crafted by Kimball, and renowned esports franchise Dignitas. Led by some of the best and brightest minds across a diverse spectrum of industries, HBSE positions itself as one of the most pioneering, innovative global sports and entertainment businesses to date. HBSE also strives to positively impact the local communities in which it operates through the powerful platform of sports. HBSE offers an energetic work environment built on collaboration, growth, and a quest to excel in everything we do. Prudential Center in downtown Newark, N.J. hosts more than 175 concerts, family shows and special events annually and is the fourth-ranked sports and entertainment venue in the U.S. by Pollstar and Billboard. It is home to the New Jersey Devils, a renowned NHL franchise with three Stanley Cup championships and a proud, passionate fan base. Prudential Center is also home to the brand-new GRAMMY Museum Experience, the first and only of its kind on the east coast.   OUR COMMITMENT TO DIVERSITY:  At HBSE, we engage, represent and reflect diverse voices of employees, players fans and communities. We are dedicated to hiring the best talent that is reflective of where we live, work and play – across all groups and levels; supporting and developing every employee to reach their potential; and creating an inclusive environment that allows team members to bring their true authentic selves to work.  Philadelphia 76ers The Philadelphia 76ers organization is one of the most storied franchises in American sports, led by some of the best and brightest minds across a diverse spectrum of industries, HBSE positions itself as one of the most pioneering, innovative global sports and entertainment businesses to date. The 76ers have attracted the industry’s top leadership talent from the NBA, NFL, NHL, MLB, MLS, UFC and NCAA, resulting in one of the most exciting, rewarding, and dynamic work environments within the sports industry. The 76ers offer a best-in-class workplace culture built on collaboration, growth, and a quest to excel in everything we do.  POSITION OVERVIEW: The Data Scientist will work in the Research and Development team within the front office of the Philadelphia 76ers, supporting basketball decision-making at all levels: front office, coaching, scouting, sports science and training. A successful applicant will have a strong technical foundation and be passionate about better understanding the game of basketball using advanced statistical techniques and machine learning.  RESPONSIBILITIES INCLUDE, BUT AREN'T LIMITED TO THE FOLLOWING:  Exploit complex player-tracking datasets, turning data into basketball concepts and insights  Develop statistical models to accurately evaluate and forecast player and team performance  Apply data-driven research to advance strategic thought within the organization  QUALIFICATIONS:  2+ years of experience in research-oriented academic or industry setting  Strong understanding of statistics (estimation theory, hypothesis testing, experimental design)  Direct experience applying and evaluating supervised and unsupervised learning techniques, e.g. regression models, decision trees, neural networks, and clustering methods  Fluent in one or more programming languages (Python preferred)  Experience working with SQL  Demonstrated passion for basketball  COVID-19 Vaccine Required: As of the first day of employment, you must be able to demonstrate proof that you are fully vaccinated (as defined by the CDC) against COVID-19, unless you are granted a medical or religious exemption in accordance with Company policy.   We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, disability, gender identity, marital or veteran status, or any other protected class.",30+ days ago,
https://www.indeed.com/viewjob?jk=de5763516b56fd75&from=web&vjs=3,10,Data Scientist,Asembia LLC,"Florham Park, NJ 07932","For more than a decade, Asembia has been working with specialty pharmacies, manufacturers, prescribers, payers and other industry stakeholders to develop solutions for the high-touch specialty pharmaceutical service model. Through collaborative programs, contracting initiatives, patient support hub services and innovative technology platforms, Asembia is committed to positively impacting the patient journey. Asembia focuses on the specialty pharmacy segment and offers comprehensive hub services, pharmacy network management, group purchasing (GPO) services, innovative technology platforms and more. As a leading industry voice and advocate, Asembia is committed to bringing strategic channel management solutions, leading-edge products and high-touch services to the specialty pharmacy industry that help our customers optimize patient care and outcomes. Working with our Data Engineering team, you will utilize various data science tools to enable data driven decisions. You will engage with product owners, business analysts, sales, marketing and other decision makers to understand their analytics needs while learning technical and operational challenges of diverse data collection and data transformation processes. What you will do Gather information about business problems, analyze available data sets, determine what other data sets may yield additional data insights, define analytics approach, construe model, tell the story, propose operationalization of the process. Desired Skills and Experience Advanced degree in Data Science or related field Proficient in SQL, statistical packages such R and/or Python, Proficient in visualization libraries (specific to R or Python) Knowledge of Tableau, Shiny, or other interactive dashboards is a plus Knowledge of NLP is a plus Prior experience in healthcare, or retail pharmacy is a plus *About You Passion for data and analytics Proficient in data access, data wrangling, and data visualization Proficient in various analytical models: regressions, forecasting, clustering, A/B tests Collaborate with business stake owners and ability to explain statistical results in simple language A self-starter Asembia is committed to Equal Employment Opportunity (EEO) and to compliance with all Federal, State and local laws that prohibit employment discrimination on the basis of race, color, age, natural origin, ethnicity, religion, gender, pregnancy, marital status, sexual orientation, gender identity and expression, citizenship, genetic disposition, disability or veteran's status or any other classification protected by State/Federal laws . Job Type: Full-time",,
https://www.indeed.com/viewjob?jk=dfbc27853784b0d6&from=web&vjs=3,10,Data Scientist,"Triunity Software, Inc.","200 Middlesex Ave, Township of Woodbridge, NJ 08830","? Must be knowledgeable in statistical and data mining techniques, which may include data modelling, regression, time series models, clustering algorithms and others.? ? Must be knowledgeable statistical and data mining techniques, which may include data modelling, regression, time series models, clustering algorithms and others.? ? Working experience with R and/or Python, SQL, ETL concepts, Data Governance and Big Data frameworks such as Hadoop, SPARK, etc.? ? Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop) ? Understanding of machine-learning and operations research ? Good understanding about Linear Regression ? Strong problem solving, troubleshooting and analytical skills, imaginative & logical soundness. ? Excellent communication skills, statistical acumen, keen attention to detail, and a passion for learning new.",30+ days ago,
https://www.indeed.com/viewjob?jk=262c50f6c533959d&from=web&vjs=3,10,Operations Research Analyst/Data Scientist (multiple openings),ABSI Aerospace & Defense,"Egg Harbor Township, NJ 08234","Location: Egg Harbor Township, NJ  US Citizenship Required for this Position:  Yes  Clearance Type: N/A Work Schedule:  Full Time, Exempt  Reports to:  Chief Operations Officer  Positions Supervised:  None  Travel:  Occasional DESCRIPTION:  ABSI Aerospace & Defense is an innovative small business headquartered in Southern Maryland near Naval Air Station Patuxent River. Operating in the quickly evolving areas of unmanned/manned systems integration, LVC simulations and training, test and evaluation, training, and autonomous systems. ABSI is growing rapidly. With a focus on maintaining a highly committed and well-compensated workforce, the company seeks to continue building opportunities within DoD and commercial venues.   The Operations Research Analyst/Data Scientist will support airport centric UAS research efforts comprising of tests, evaluations, and studies that support efficiencies in the National Airspace System.   ESSENTIAL FUNCTIONS: The Operations Research Analyst/Data Scientist will be responsible for:   Conducting quantitative analysis using operations research tools, economics, and other quantitative techniques in the areas of procedural implementations and performance issues. Creating analysis procedures. Assisting in the definition of machine learning and data mining strategies. Creating, deploying, maintaining and refining decision management models. Serving as a Specialist in modeling and simulation functions or operations such as, but not limited to exercises, plans, coordination, demonstrations, and instruction in the fields such as, but not limited to health, environmental, transportation, law enforcement, and security for military and civilian agencies.  Performing other duties as assigned   REQUIRED QUALIFICATIONS: Bachelor’s Degree in Operations Research, Computer Science, Engineering, Business, Mathematics, Information Systems, Management Science, Aviation, Aeronautical, or Air Traffic Management/Science with at least 6 years of experience performing the essential functions Master’s Degree, MBA, or PhD in a related field may be substituted for a Bachelor’s degree and 3 years of experience  Demonstrated experience in the following areas: project management/organization, research techniques, creating plans, cost estimation, risk management, logistics, data collection and analysis, technical writing, and presenting formal/technical information  Capable of fully executing related research and development projects  Ability to accomplish complete and timely deliverables without daily supervision   DESIRED QUALIFICATIONS: Proficiency with Microsoft Office and web-based collaborative resources such as SharePoint and Microsoft Teams   ABSI Aerospace & Defense is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind: ABSI is committed to the principle of equal employment opportunity for all employees and applicants and to providing employees with a work environment free of discrimination and harassment. All employment decisions at ABSI are based on business needs, job requirements and individual qualifications, without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability, genetic information, marital status, amnesty, status as a covered veteran, or any other status protected by the laws or regulations in the locations where we operate. ABSI will not tolerate discrimination or harassment based on any of these characteristics.",10 days ago,
https://www.indeed.com/viewjob?jk=8f7657b8c9c9adea&from=web&vjs=3,10,Jr. Data Scientist,H&M Group,"300 Lighting Way, Secaucus, NJ 07094","Company Description H&M Group’s Business Tech Organization Rapid technological development is transforming the fashion retail industry. From AI to data-driven business development, user experience to engineering, we turn business challenges into innovative tech solutions – making H&M Group a global leader in combining tech, fashion, and design. The H&M group’s Business Tech organization created a completely new product organization where we explore new ways of working, have a customer focused mindset, embrace our strong values, and release the power of our people to innovate and develop products that make a meaningful impact to customers all over the world. The team aims to continuously surprise and delight our customers and accelerate our business - by releasing the power of people, data and technology. To cater to the individual needs and desires of our millions of customers, Business Tech will deliver technological solutions for the entire value chain for all our brands. Fashion, design, customer value, tech and data are in our DNA.   Job Description Opportunity Snapshot As a Jr. Data Scientist, you will work in collaboration with our business and engineering people, on creating value from data. Often the work requires solving complex problems by turning vast amounts of data into business insights through advanced analytics, modeling, and machine learning. You have a solid foundation in analytics, mathematical modeling, computer science, and math - coupled with a strong business sense. You proactively fetch information from various sources and analyze it for a better understanding of how the business performs. Furthermore, you model and build AI tools that automate certain processes within the company. The solutions produced will be implemented to impact business results. Data Scientists believe in a non-hierarchical culture of collaboration, transparency, safety, and trust. Working with a focus on value creation, growth, and serving customers with full ownership and accountability. Delivering exceptional customer and business results. This position is based in Secaucus, NJ or New York, NY, and will report to the Global Product Owner of Product Exploration. Core Responsibilities includes but is not limited to Develop an understanding of business obstacles, create solutions based on advanced analytics and draw implications for model development Combine, explore, and draw insights from data. Often large and complex data assets from various parts of the business. Design and build explorative, predictive- or prescriptive models, utilizing optimization, simulation, and machine learning techniques Prototype and pilot innovative solutions and be a part of the aim of ‘productionizing’ those valuable solutions that can have impact at a global scale Identifies and interprets trends and patterns in complex data sets to enable the business to take data-driven decisions   Qualifications The Requirements 1-2 years of experience in a data science environment with a focus on AI/ML A year of experience working with relational databases and a good understanding of analytics Working knowledge of predictive modeling, machine learning, classification techniques, and deep learning Ability to work with large, complex data sets, extract/present valuable information, and ability to conduct ad hoc analysis for critical business decisions Ability to understand business requirements, general insights, and explain complex topics, and tailor to the audience Develop mathematical models within the business function to drive results, value, establish priorities with clear goals and responsibilities to achieve an elevated level of performance Ability to validate and follow up on results and work in an agile and iterative manner on solving problems Ability to evaluate different options proactively and ability to solve problems in an innovative way. Develop innovative solutions or combine existing methods to create novel approaches. Strong verbal and written communication Analytics and Statistics, Mathematical modeling, Machine Learning, Deep Learning, Optimization Python and/or R, Spark, SQL, Azure, PyData Stack Why Join Us? The H&M group’s Business Tech function aims to continuously surprise and delight our customers and accelerate our business to shape the future of sustainable fashion and design through the power of people, data, and technology. You will be part of turning business challenges into innovative tech solutions – making H&M Group a global leader in combining tech, fashion, and design. Being a major player gives us countless opportunities to make a real impact and shape the future. You are empowered, trusted, and challenged to explore your own path and author your own story. We believe in giving people responsibility early on, to create a keen sense of ownership and accountability. Our business is your business. Our Values We are one team We believe in people Entrepreneurial spirit Constant improvement Cost-conscious Straightforward and open-minded Keep it simple Everyone is a Leader at Business Tech To reach our ambitious business goals and create meaningful growth, we believe new and shared leadership is needed. Every person must use his or her passion, curiosity, and ideas to lead the way and make a difference. We believe that everyone at the H&M Group is a leader. We all have different strengths – use yours! Sometimes you lead and sometimes you follow. We support each other’s growth and enable strong collaboration within and outside Business Tech. Additional Information All your information will be kept confidential according to EEO guidelines.",9 days ago,12 reviews
https://www.indeed.com/viewjob?jk=622ac0610b2a3242&from=web&vjs=3,10,Data Scientist,Horiba Instruments,"20 Knightsbridge Rd, Piscataway, NJ 08854","The HORIBA Group of worldwide companies provides an extensive array of instruments and systems for applications ranging from automotive R&D, process and environmental monitoring, in-vitro medical diagnostics, semiconductor manufacturing and metrology, to a broad range of scientific R&D and QC measurements. Proven quality and trustworthy performance have established widespread confidence in the HORIBA Brand. Inspired by our unique motto, “JOY and FUN,” we focus on social responsibilities by building state-of-the-art products for scientific advancement; especially for protecting health, safety, and the environment. “HORIBARIANs”, the HORIBA employees all over the world, look forward to working with additional creative and entrepreneurial self-starters. HORIBA Instruments Incorporated is seeking a Data Scientist, located in Piscataway, New Jersey to support our U.S. Scientific business segment. HORIBA Scientific offers 200 years of experience in developing high-performance scientific instrument and analytical solutions for life sciences, material sciences, water, energy and many other applications. You are a Data Scientist whose focus is developing and deploying multivariate chemometric workflows in a way that promotes automation appropriate for industrial applications. This is a two-pronged effort: 1) to create guided workflows for method development; and 2) create a structure for automated implementation of existing methods. The final step is translating those results into reports that our customers understand and find useful. The focus will be on current and future HORIBA Scientific target markets, with an emphasis on Life Science applications of Raman and Fluorescence products initially. RESPONSIBILITIES: Work with product development, marketing, and R&D teams to design, develop and deploy advanced analytics, multivariate analysis, predictive and chemometric models. Develop data science pipelines and prototype analysis tools. Apply programming capabilities and advanced chemometric techniques to analysis and interpretation of large data sets. Creation of a guided workflow to simplify method development. Ensure algorithms employed can be seamlessly integrated into new and existing HORIBA Scientific software products. Algorithm code should follow similar coding standard and quality process as the production source code. Maintain awareness of relevant state-of-the-art technologies and knowledge relevant to data science and analytical chemistry. Identify opportunities to improve and automate procedures, protocols and systems. Develop technology concepts and guide selection of technology tools. Deliver quality technical presentations, internally and externally, advocate leading innovative concepts within industry and academic community. REQUIREMENTS: Masters/Doctoral degree (or demonstrably equivalent experience) with 5+ years' experience in analytical instrument development and multivariate statistical methods in the field of analytical/bioanalytical chemistry. Candidate must have a strong background in math, chemometrics, data science, Machine Learning, Artificial Intelligence, computational mathematics and statistical methodologies with the ability to understand and apply multivariate methods. Hands on and theoretical experience in commercial Product Development. Excellent Matlab/C/C++ skills or equivalent for algorithm development and rapid prototyping proof of concept. Knowledge of regulatory requirements for development of software required by the Pharmaceutical Industry: GMP and 21CFRp11. Excellent communication skills, i.e., capable of communicating complex ideas efficiently Willingness and ability to travel internationally up to 15%. Skills: Leadership, influencing, critical thinking and decision-making, effective communication, customer focus, business acumen, quality and compliance oriented, project management skills with a demonstrated ability to lead projects. Horiba offers a full benefit package which includes: Medical, Dental and Vision Life & Disability Vacation, Sick and Holiday Pay Educational Reimbursement 401K with company match Flexible Spending Account",23 days ago,18 reviews
