URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=9d34ba864f248e3e&from=web&vjs=3,10,URBN: Associate Data Scientist,URBN - Vetri Family,Pennsylvania,"Urban Outfitters, Inc. (“URBN”), is a leading lifestyle products and services company which operates a portfolio of global consumer brands comprised of Anthropologie, BHLDN, Free People, Terrain, Urban Outfitters and Nuuly brands and the Food and Beverage division. Urban Outfitters, Inc., is a Fortune 1000 company with $4 Billion in revenue.  Associate Data Scientist   URBN is a portfolio of global consumer brands comprised of Urban Outfitters, Anthropologie, Free People, BHLDN, Terrain, and Nuuly. We’re a passionate, creative, and analytical organization that provides unique shopping experiences and inspires our diverse customer set. The URBN Advanced Analytics team is a center of excellence for analytical exploration and innovation and collaborates with multiple partners across the organization to ensure data and insights are central to our approach in engaging customers.   This role will work closely with direct teammates on the Central Advanced Analytics team, with our larger URBN Data Science group, and with Brand Analysts on various projects. Areas of focus will include data analytics, cross brand reporting, and ML-based project work.  Responsibilities include:  Support data acquisition, cleaning, and processing  Perform deep dive analyses to understand and optimize the customer experience  Apply statistics, modeling, and ML to improve Customer Experiences and internal system efficiencies  Research predictive algorithms using large amounts of structured and unstructured data  Design, build, and evaluate machine learning models; approaches span from basic regressions to advanced neural networks  Create reports/visualizations that drive decision making for a variety of cross functional partners, such as Marketing, Product, Personalization, and Finance There will also be a variety of opportunities to learn new skills with the team:  Cloud platforms (Google Cloud, Snowflake) Cloud infrastructure (Virtual Machines, Cloud Storage)  Performance evaluation of deployed, customer-facing applications and ML models  Data or ML orchestration frameworks (Airflow, Skybot)   Desired skills include:  Strong level of proficiency with SQL Experience with Python (and R is a plus)  Understanding of fundamental Machine Learning concepts, including experience with train and test sets, overfitting, and scoring metrics, and how they might apply to real business challenges  Experience with ML tools, such as scikit learn, Jupyter Notebooks, etc Ability to communicate complex analytic findings to both technical and non-technical audiences Experience with Analytics and Visualization tools, such as GA, Microstrategy, and Tableau Strong analytical, technical, trouble-shooting, and problem-solving skills  Self-starter with the ability to work independently  Strong attention to detail without losing sight of the bigger picture   Desired experience includes:  Degree or relevant work experience in Data Science, Mathematics, or related Analytical field   The above information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job.   Urban Outfitters, Inc. celebrates diversity and is committed to creating an inclusive environment for all employees. We are proud to provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression. We believe strongly in fostering a safe, fair and respectful work environment. To ensure compliance with our non-discrimination and anti-harassment policies, we offer anti-harassment training to managers and employees.",4 days ago,
https://www.indeed.com/viewjob?jk=8f4ba796fe18c5cf&from=web&vjs=3,10,,,,,,
https://www.indeed.com/viewjob?jk=90a0ac85d866be97&from=web&vjs=3,10,Associate Data Scientist,SAP,"Pittsburgh, PA 15212","What we offer Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from. Apply now! Company Description: SAP Ariba is the leading provider of collaborative business commerce solutions. SAP Ariba combines industry-leading technology with the world's largest web-based trading community to help companies discover, connect, and collaborate with a global network of partners - all in a cloud-based environment. Using the Ariba Commerce Cloud, businesses of all sizes can buy, manage cash, and sell more efficiently and effectively. More than 500,000 companies around the globe use the Ariba Commerce Cloud to simplify inter-enterprise commerce and enhance results. Job Description Overview The position reports to the Ariba Analytics Development Manager and the ideal candidate is one who is passionate about data and enjoys working in a team setting. The team is globally located in Pittsburgh, PA and Bangalore, India. Each member of the team comes from unique academic and industrial backgrounds spanning 8 countries. The Ariba Analytics Team focus is on Impact, Development, and Customer Experience around data and insights that affect the Ariba business. Our team mission is to take data driven insights to the next level and positively impact Ariba’s customer adoption with valuable, usable information. We strive to work hard and deliver the best experience possible at Ariba. Duties and Responsibilities Learn how to turn data into meaningful insights and intelligence that drive business success. Assist in creating analytics requirements to make data report-ready for various parts of the SAP Ariba Organization. Assist in development and delivery of analytics solutions using Ariba Cloud Data (Ariba Network and Cloud Applications). Gain a better understanding of business stakeholders to see how they use data, how data impacts their jobs, and how we contribute to a great customer experience. Learn how marketing, communications and user support are impactful in the world of Analytics. Gain a good mix of technical, business, process and analytical capabilities. Work with team leader to develop business solutions. Provide basic to intermediate technical production/applications support and assistance for customer issues. Works independently to gather information, pose workarounds, carry out necessary research, and provide an in-depth analysis to resolve production/application issues, customer requests and inquiries, escalating to a lead or manager when appropriate. Provide severity and scope analysis of issues, inquiries and requests; maintaining ownership until resolution. Works in group or independently on side projects as needed and assigned. Efficiently organizes and addresses multiple production issues and customer requests from several sources, delegating when and if appropriate Education, Experience & Training required : Recently completed (or about to complete) a 4-year degree at a college or university in Business, Statistics, Information Systems, Engineering, Computer Science. Understanding of HANA’s architecture and has experience with building Hana data models. Experience with Business Intelligence solutions Proficiency in Perl/other scripting languages and developing tools using the same Experience working in a commercial product development environment Experience with ETL tools (such as Data Services) to extract both SAP and non-SAP data. Friendly presence, good interpersonal skills, helpful attitude, always projecting a positive outlook in a fast-paced, sometimes stressful environment. Enjoys a dynamic work environment and taking on new challenges to meet evolving business needs. Strong planner and organizer with demonstrated ability to master new concepts quickly, incorporate the latest technologies and develop business solutions that increase efficiency, productivity and profitability. Superior written / communication skills and focus on detail. SAP'S Diversity Commitment: To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company. We are SAP SAP innovations help more than 400,000 customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with 200 million users and more than 100,000 employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. At SAP, we build breakthroughs, together. Our inclusion promise SAP’s culture of inclusion, focus on health and well-being, and flexible working models help ensure that everyone – regardless of background – feels included and can run at their best. At SAP, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. We ultimately believe in unleashing all talent and creating a better and more equitable world. SAP is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to the values of Equal Employment Opportunity and provide accessibility accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team: Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com. EOE AA M/F/Vet/Disability:  Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, age, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability. Successful candidates might be required to undergo a background verification with an external vendor.  Requisition ID:312159 | Work Area: Software-Development Operations | Expected Travel: 0 - 10% | Career Status: Graduate | Employment Type: Regular Full Time |",15 days ago,"2,588 reviews"
https://www.indeed.com/viewjob?jk=ca326a5511f1b750&from=web&vjs=3,10,Health Data Scientist/Biostatistician,Lehigh University,"27 Memorial Drive West, Bethlehem, PA 18015","Job no:  499954  Work type:  Exempt Staff Full-time  Location:  Bethlehem  Categories:  Technical/Scientific   Responsible for (i) engaging in scholarly work with the College of Health and Institute for Indigenous Studies and (ii) serving as a teaching assistant and programming lab instructor for courses in population health data science with a focus on Python and R programming under the direction of a PhD biostatistician. The Lehigh community takes seriously our commitment to antiracism and The Principles of our Equitable Community.  1. In support of research, focus on analyzing cross-sectional and longitudinal data generated from randomized controlled trials and observational designs (comprise about 50% of this role on average over 12 months.)  Research will be done under the supervision of senior level faculty Work on diverse research projects, including, but not limited to, tobacco cessation clinical trials, cross-sectional surveys of knowledge, attitudes, beliefs and behaviors surrounding COVID-19 and infectious disease modeling Strong commitment to ethical design and conduct of research Work with an interdisciplinary team of scientists  2. Plan and lead programming labs during the fall and spring semesters that emphasize how to apply statistical theory to data sets using Python  Labs will be taught in conjunction with introductory and intermediate biostatistics classes led by a doctoral-level biostatistician, who will supervise the master’s level biostatistician Hold regular office hours to support student learning Population Health Data Science includes instruction in the fundamentals of probability theory and statistics, guidance and instruction processing and analyzing data using Python 3, Jupyter Notebooks to study real-world population health science A strong commitment to teaching excellence Integrate statistical theory with applications in population and community health Incorporate Python 3 and Git/GitHub coding examples into lecture and recitation  Grade: 9 – 40  Position Number: S98170  Special Considerations  The duties of this position may allow the employee to work partially remote as deemed appropriate by their supervisor  This position is a three-year term appointment, with possibility of renewal  Evening hours may be required if labs are scheduled at that time  This position has contact with minors  Will often need to stand, sit, talk, hear and use hands to touch, handle or feel  Qualifications  Master’s Degree in Statistics, Biostatistics, Applied Mathematics, Computer Science Engineering or related field or equivalent combination of education and experience; Individuals with a Master of Public Health degree will be considered if the candidate has a concentration in statistical analysis and programming  One to three years related work experience  Background working with biostatistical, epidemiological and/or population health data is a requirement for this position  experience working with mixed methods data; experience working with Indigenous communities in the United States  Willingness to learn new techniques and think about data in innovative ways  Ability to build, foster and maintain positive professional relationships  Excellent organizational skills, time management and sound judgment  Solid analytical, decision making and problem-solving skills  Excellent computer skills with experience using word processing, spreadsheet, database and presentation software  Proven ability to manage multiple tasks simultaneously and a high degree of initiative for bringing tasks to completion  Successful completion of standard background checks including but not limited to: social security verification, education verification, national criminal background checks, motor vehicle checks, PATCH, FBI fingerprinting, Child Abuse Clearance and credit history based upon the requirements of the position  Because of increasing COVID case counts in the region and new information about the characteristics of the Delta variant, all Lehigh faculty and staff will be required to be fully vaccinated unless they receive an approved medical or religious exemption from the requirement.  Only complete applications will be considered therefore please complete the application in its entirety. Once the posting is removed from the website applications may no longer be allowed to be completed.   Advertised:  November 04, 2021 Eastern Daylight Time  Applications close:",8 days ago,141 reviews
https://www.indeed.com/viewjob?jk=68d2758fa524209b&from=web&vjs=3,10,Jr. Data Scientist,Entercom Communications Corp.,"2400 Market Street, Philadelphia, PA 19106","Overview: Reaching more than 100MM+ US consumers, Data, Analytics, and Measurement play a strategic role at Audacy and our Data & Analytics team is right at the center of it. We are an enthusiastic group focusing on guiding business decisions through accurate, relevant, and timely data, analytics and insights. The team governs as well as leads data management and provides business intelligence for both internal and external stakeholders. This opportunity is available remote, however, the majority of the team sits in Philadelphia and Denver. Entry level data science position. Recent graduate welcome. Responsibilities: What You'll Do: Build, validate, and troubleshoot data science models using internal tools and metrics Perform stringent data checks to identify and address inconsistent data issues Contribute creative feature engineering solutions for use in data models Analyze output from automated tests to identify significant changes or issues in new customer data Communicate data science results and insights to other team members Research data science modeling solutions for new domains using independent judgment Collaborate in designing and improving the functionalities of internal tools Automate or help automate as many manual data science activities as possible  Qualifications: More About You: Required &  Preferred: Must have strong coding skills with python and SQL. Understanding of data cleaning and modeling. Data analysis. Ability to perform ad-hoc analysis and provide actionable insights. Strong organizational, communication, and writing skills. Strong critical thinking skills. Familiar with data science related libraries such as pandas, numpy, scikit-learn etc. Familiar with data mining, statistics, and machine learning algorithms. Strong data visualization skills (eg. matplotlib, plotly). To help promote and ensure the safety of all of our employees and the communities we serve, we require all incoming employees to be fully vaccinated against the coronavirus. If hired, you will be required to provide proof of vaccination, which will be kept confidential. If you are not vaccinated, or partially vaccinated currently, but willing to become fully vaccinated, we invite you to still apply.  Audacy is committed to providing a safe and inclusive work environment for all and we recognize that some individuals may have a sincerely held religious belief as it pertains to the practice of immunization or a medical disability which may prevent them from becoming vaccinated. Individuals who cannot be fully vaccinated due to a sincere religious belief or medical disability may request an accommodation. We request that you refrain from discussing religious beliefs or medical conditions during the interview process. If you believe you need an accommodation, you will have an opportunity to submit your request during the interview process. All requests for accommodation will remain confidential and reviewed by selected individuals within the HR department. We cannot guarantee that all requests for accommodation will be granted. Please refer to our EEO policy and statement below. About Us: Audacy, Inc. (NYSE: AUD) is a scaled, multi-platform audio content and entertainment company with the country’s best radio broadcasting group, a leader in virtually every segment of audio, and America’s #1 creator of original, premium audio. Audacy engages over 170 million consumers each month, bringing people together around the news, sports, podcasts and music that matter to them. Learn more at  www.audacyinc.com , Facebook (Audacy Corp) and Twitter (@AudacyCorp). EEO: Audacy is an Equal Opportunity and Affirmative Action Employer. Audacy affords equal employment opportunity to qualified individuals regardless of their race, color, religion or religious creed, sex/ gender (including pregnancy, childbirth, breastfeeding, or related medical conditions), sexual orientation, gender identity, gender expression, national origin, ancestry, age (over 40), physical or mental disability, medical condition, genetic information, marital status, military or veteran status, or other classification protected by applicable federal, state, or local law, and to comply with all applicable laws and regulations. Consistent with our commitment to equal employment opportunity, we provide reasonable accommodations to qualified individuals with disabilities who need assistance in applying electronically for a position with Audacy, unless doing so would impose an undue hardship. To request a reasonable accommodation for this purpose, please call  1-610-660-5614 . Please note that this phone number is to be used solely to request an accommodation with respect to the online application process. Calls for any other reason will not be returned. Reasonable accommodation requests are considered on a case-by-case basis.",30+ days ago,219 reviews
https://www.indeed.com/viewjob?jk=dedb505e00ddb3b0&from=web&vjs=3,10,REMOTE Data Scientist,Ricoh,Pennsylvania,"Job Description  POSITION PROFILE  The Data Scientist will lead and expand the implementation of data science and machine learning models inside Ricoh's Marketing department. The Data Scientist's primary responsibility will be to leverage existing internal and external data to identify trends and relationships that result in actionable recommendations to improve Marketing performance and drive revenue. The Data Scientist is able to communicate findings to business partners and has strong consulting, communication, visualization, and storytelling skills. The Data Scientist will work with the Customer Reporting and Digital Analytics teams to develop and pilot predictive models for Sales.  JOB DUTIES AND RESPONSIBILITIES   Understand key business needs and questions from Marketing stakeholders Gather data from internal and external data sources, working with Customer Reporting and Digital Analytics team; automate, cleanse and validate data Lead analysis of internal and external data to identify trends, relationships and to answer key business questions From analysis, identify key insights and generate actionable recommendations to improve Marketing performance and drive revenue Design, build, test, validate, iterate and maintain predictive and statistical models; deploy and run machine learning algorithms Incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks, ARIMA, and ensemble models Create data visualizations to distill complex datasets and modeling into easy to understand visuals Work with Manager to present and gain alignment from Marketing leadership on recommended actions; influence decision-makers of business benefits of models and recommendations Work with stakeholders to operationalize and implement predictive models and algorithms across various Marketing tools and platforms Partner with and in some cases lead third party partners / agency as needed to support analytics and modeling projects Work with team leaders to build short and long term vision for data science practice inside Marketing Share data science best practices within Marketing and across the organization to build data science community and knowledge Provide inputs and perspective to Customer Reporting and Digital Analytics team on data infrastructure, tools, software (AI and machine learning) and processes to improve modeling, efficiencies and automation; support business case for investment in tools and technology  Additional/Alternate Work Locations (if applicable)  IL.CHICA.10-Chicago, GA.ATLAN.100-Atlanta, AB.BANFF.1-Banff, MI.DETRO.12-Detroit, FL.MIAMI.100-Miami Lakes  Location  Nationwide, Pennsylvania  Job Description Continued  QUALIFICATIONS (Education, Experience, and Certifications)   Work experience: 3-5 years work experience in data science, statistics, analytics, business intelligence Education: degree in Business Analytics, Data Science, statistics, computer science; graduate degree preferred  KNOWLEDGE, SKILLS AND ABILITIES   Understanding of statistical programming and scripting in a language (R or Python preferred) Experience with machine learning, data cleansing and data visualization Experience with SQL Experience with Google Marketing Platform, Google Analytics and Google Big Query strongly preferred Knowledge of statistical concepts such as regression, time series, mixed model, Bayesian, clustering In addition to strong technical skills, has business acumen and can apply business logic to data and validate that the data makes sense Ideally, has experience with Oracle tools and systems (Sales Cloud, Eloqua, Hyperion, OBIEE) but not required Self-starter with an entrepreneurial mindset Proactive in building workplans, building models and developing recommendations Uses sound judgment to identify issues and escalates when appropriate Resolve disagreements and conflicts constructively, knows when to involve others Ability to identify key needs or gaps and provide leadership recommendations to close those gaps Communication skills: can take complex processes and explain to business stakeholders Analytical skills: can look at complex data and distill into key actionable insights Self-aware: reflects and is honest about strengths and development opportunities; seeks and accepts feedback, and asks for help when needed Strong collaborator and team player  WORKING CONDITIONS, MENTAL AND PHYSICAL DEMANDS   Typically works in an office environment with adequate lighting and ventilation, and a normal range of temperature and noise level. Work assignments are diversified. Interpret, comprehend and apply complex material, data and instruction – prepare, provide and convey diversified information. Minimal physical effort required. Work is mostly sedentary but does require walking, standing, bending, reaching, lifting or carrying objects that typically with less than 10 lbs. (e.g., papers, books, files and small parts, etc.). Moderate dexterity – regular application of basic skills (calculator, keyboard, hand tools, eye/hand coordination. Visa Sponsorship is not offered for this position.  Ricoh is an EEO/Affirmative Action Employer - Minorities/Women/Protected Veterans/Disabled.  Additional Pay Details:   Compensation Range is: $100,000-$130,000   Position is eligible up to 16% STI",30+ days ago,"4,867 reviews"
https://www.indeed.com/viewjob?jk=e8e389b7345c90a3&from=web&vjs=3,10,Data Scientist (REMOTE),DICK'S Sporting Goods,"345 Court St, Coraopolis, PA 15108","The core data science team at Dick’s Sporting Goods is seeking a data scientist to support product teams within the technology organization. Currently the team has a variety of work ranging from natural language processing to supply chain optimization, and is looking to continue to expand its footprint by bringing on another diverse teammate.  Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.  Build and put into deployment algorithmic solutions that focus on improving the customer’s experience and driving value both in-store and on our website.  Compile data from disparate data sources leveraging both qualitative and quantitative data to build models.  Communicate complex analyses and models to all levels of leadership across the organization.  Work with a variety of business units throughout the organization to help translate their requirements into specific model or research based deliverables.  Continue to improve communication and collaboration patterns amongst the various analytics teams and business units.  Research advancements in the field to discover new opportunities for development.  Share findings and learning opportunities with fellow team members through mini-seminars and demonstrations.   Qualifications  Master's Degree in Statistics, Computer Science, Engineering, Mathematics, Economics, or other quantitative field-Additional experience will be considered in lieu of an advanced degree  1 year of experience in Statistics/Machine Learning with applications in R or Python  Experience creating visualizations and presentations for non-technical users  Statistics/Machine Learning with applications in R or Python  Applications of machine learning in retail is a plus  Experience working in a cloud based environment (Google Cloud, AWS, Azure, etc.) is a plus  Practical experience with SQL or a SQL-like language  Experience in a deep learning math library such as Tensorflow or PyTorch is a plus",10 days ago,"6,965 reviews"
https://www.indeed.com/viewjob?jk=fdb96e956c6f8c05&from=web&vjs=3,10,Data Scientist 2,Oracle,"300 Barr Harbor Drive, West Conshohocken, PA 19428","The Construction and Engineering Global Business Unit (CEGBU) of Oracle is the worldâ€™s leading project and portfolio management software organization. Since 1983, we have provided the software foundation that enables all types of businesses to achieve excellence in managing their portfolios, programs, projects and resources. It is estimated that projects totaling more than $5 trillion in value have been managed with Primavera products. The development group in the Construction and Engineering Global Business Unit is focused on developing Next generation Enterprise level SaaS solutions for our customers in project intensive industries. Our applications provide project and portfolio management, Schedule Management, contract management, resource management, and risk management solutions used by large world leading companies in Construction and Heavy Engineering space. We leverage an agile development methodology (Scrum) to facilitate the development of our products. Our development practices include empowered scrum teams, continuous build and integration, monthly sprint reviews, and a heavy emphasis on testing early and often. CEGBU offers a highly collaborative and dynamic environment, as well as a great mix of project management and software engineering opportunities. CEGBU values its employees and emphasizes training, keeping employees up to speed with the latest technologies. CEGBU provides flexible career paths for its employees and encourages promotions from within the company. Job Description As a Data Science engineer you will work closely with data evaluation, validation, and using that data to enhance product capabilities using data science. You will work our data sets to help make predictive, prescriptive, and adaptive machine learning models for our CEGBU products data. Languages used will be Python, and you will work in with the latest Oracle technologies in the areas of databases and machine learning. Knowledge of SQL and Oracle databases is required. Ability to work in Python is required and previous experience building models in required.    Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse â€œbig dataâ€� sources to generate actionable insights and solutions for client services and product enhancement.  Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.  Duties and tasks are standard with some variation. Completes own role largely independently within defined policies and procedures. 2 years relevant experience and BA/BS degree preferred.  If you are a Colorado resident, Please Contact us or Email us at oracle-salary-inquiries_us@oracle.com to receive compensation and benefits information for this role. Please include this Job ID: 127996 in the subject line of the email.  Innovation starts with inclusion at Oracle. We are committed to creating a workplace where all kinds of people can be themselves and do their best work. Itâ€™s when everyoneâ€™s voice is heard and valued, that we are inspired to go beyond whatâ€™s been done before. Thatâ€™s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.   Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.",14 days ago,"6,398 reviews"
https://www.indeed.com/viewjob?jk=6cb262c46f5fcf4a&from=web&vjs=3,10,Data Scientist,The University of Pittsburgh,"Pittsburgh, PA","Data Scientist All Temps - Pennsylvania-Pittsburgh - (21005388) The University of Pittsburgh ranks among the top universities in the world for its exceptional research strength and academic programs. The Center for Innovation in Pain Care (paininnovation.pitt.edu) is co-led by Dr. Wasan in the Department of Anesthesiology and Perioperative Medicine and is seeking a highly-qualified and motivated person for the position of Research Scientist who will join an established team of investigators and research staff. The research scientist will function as a leader, researcher and collaborator, and we are seeking the skillset of a data scientist specifically. Our Center’s primary research focus is clinical pain research involving clinical trials, medical informatics, and machine learning. Our Center has a number of advanced data and data analytic platforms which require ongoing maintenance, new programming, and analysis of data requiring advanced skills. These skills include: statistical analyses of clinical trial data, maintenance and analysis of a pain treatment outcomes treatment registry, the data science/machine learning aspects of a predictive analytics software program, and experience analyzing functional neuroimaging data if possible. The Data Scientist will support the PI in managing group operations such as personnel supervision, group organization and maintenance, contribute to manuscripts/grant preparation and technical protocol writing, prepare budgets, and collect, organize and analyze research data. The successful candidate must have considerable mastery of scientific literatures, scientific instinct, excellent assessment of research directions, excellent experimental design skills and the ability to analyze results utilizing the appropriate statistical methods. A PhD in a data science field is preferred and the candidate must have demonstrated research experience. Equivalent relevant work experience may be substituted for the degree requirements. Interest in clinical pain research  The University of Pittsburgh is an Affirmative Action/Equal Opportunity Employer and values equality of opportunity, human dignity and diversity. EOE, including disability/vets  Department  Med-Anesthesiology and Perioperative Medicine Assignment Category  Part-time temporary Campus  Pittsburgh Minimum Education Level Required  PhD or ScD Minimum Experience Level Required  3-5 years experience Work Schedule  M-F 8:30AM-5:00PM Requested Pay Rate  29.00 Visa Sponsorship Provided  No Background Check  For position finalists, employment with the University will require successful completion of a background check Child Protection Clearances  Not Applicable Required Documents  Resume",30+ days ago,721 reviews
https://www.indeed.com/viewjob?jk=57ecf195d500ac5b&from=web&vjs=3,10,Data Scientist,Deloitte,"Mechanicsburg, PA 17050","Analytics & Cognitive -Data Scientist -Solution Specialist - USDC  Are you an experienced, passionate pioneer in technology - a solutions builder, a roll-up-your-sleeves technologist who wants a daily collaborative environment, think-tank feel and share new ideas with your colleagues - without the extensive demands of travel? If so, consider an opportunity with our US Delivery Center - we are breaking the mold of a typical Delivery Center.  Our US Delivery Centers have been growing since 2014 with significant, continued growth on the horizon. Interested? Read more about our opportunity below ...       Work you'll do/Responsibilities   Strong understanding of data science techniques and libraries and their applicability to business problems  Experience in performing exploratory data analysis to define analytical models Develop advanced quantitative models using a variety of programs/software to support predictive assessments Provide expertise for analytical, programmatic, strategic, and operational analysis. Perform technical risk analysis and reliability assessments. Provide recommendations for plans, programs, strategies, policies and budgets    The Team  Analytics & Cognitive  In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.  The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.  Analytics & Cognitive will work with our clients to:   Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms  Leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions  Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and improvements  Qualifications   Required   Bachelors (or Masters) level qualification in Statistics/Technology/Science/Engineering/Applied Mathematics or a similar quantitate analytics field  Has experience in developing algorithms using data science technologies to build analytical models   2+ years' of data extraction/manipulation using scripts specific to Python, R  Experience with python and/or R programming   2+ years of experience with presentation and data analysis software such as: SAS, R, SPSS, MATLAB, Qlikview, Excel and Access +python  Modeling expertise using a variety of regression and supervised and unsupervised learning techniques  Experience in data wrangling/cleansing, statistical modeling, and programming  Limited travel up to 25% Must be willing to live and work in one of our Center locations: Gilbert, AZ (Phoenix area) Mechanicsburg, PA (Harrisburg area) Lake Mary, FL (Orlando area)    Preferred   PhD in a quantitative analytics field  Experience with Tableau or similar visualization tool  Business analytics experience in one or more of the following industries: Insurance, Consumer Products and Packaged Goods, and Human Resources  Experience conducting Modeling and Simulation Analysis, DoD Science and Technology (S&T) Analysis, Program Analysis and Evaluation, C4/IT and Cyber Analysis, Manpower Analysis, Training and Education Analysis, DoD Logistics, Maintenance, and Supply Analysis, Naval Amphibious Shipping Analysis, Strategic Plans Analysis, Strategic Investment Analysis, Cost and Economic Modeling and Analysis, Operations Research Analysis, Readiness Analysis, Force Preservation Analysis  How you'll grow  At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.   Benefits  At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits.   Deloitte's culture  Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.",30+ days ago,"10,300 reviews"
