URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=03823ed741090415&from=web&vjs=3,240,"Product Manager, Machine Learning",Capital One - US,"246 Maple AVE East, Vienna, VA 22180","Towers Crescent (12066), United States of America, Vienna, Virginia Product Manager, Machine Learning Product Management Product Management at Capital One is a booming, vibrant craft that requires reimagining the status quo, finding value creation opportunities, and driving innovative and sustainable customer experiences through technology. We believe our portfolio of businesses and investments in growth and transformation will result in a company with the scale, brand, capabilities, talent, and values to succeed as the digital revolution transforms our society and our industry. Do you dream of well-designed and intuitive products and customer experiences? Do you want to be the one who introduces change to help tens of millions of customers make smarter financial choices? Do you want to change the way people manage their money? If you answered yes to all of these questions, then product management at Capital One may be a fit for you In this role, you’ll be expected to demonstrate proficiency in four key areas Human Centered You’ll define clear and actionable problem statements to help teams deliver results while displaying a comprehensive understanding of iterative software delivery, capable of thin-slice MVP grooming You’ll leverage customer insights to influence priorities and roadmap feature development while advocating for and driving alignment between stakeholders in the development of acceptance criteria You’ll obsess over UX/UI patterns and seek to create world class, omni-channel experiences Business Focused You’ll own and prioritize the near-term product roadmap to deliver on business outcomes, quickly identifying points of leverage in complex problems or systems, and utilizing data effectively to define success metrics and measurable outcomes You’ll utilize balanced judgment in decisions about risks of both actions taken and not taken while innovating on ways to iterate faster in a well-managed way for the immediate team Technology Driven You’ll understand and leverage technology and end-state architecture vision to partner with technology team to drive comprehensive design decisions out of white space technical problems You’ll share business strategy and roadmap with Tech partners to establish context while also leading and facilitating agile ceremonies alongside Tech Lead You’ll deliver value by creating reusable, extensible and resilient capabilities and proactively identify opportunities when key metrics on security, resilience and performance are not performing Transformational Leadership You’ll develop and communicate a 6-month vision to senior stakeholders and partner teams with accurate details and transparency on risks and impediments, and proactively build relationships with those outside of your immediate team resulting in horizontal influence You’ll Contribute to team culture and recruiting by leading activities to attract and retain top talent and mentoring and developing junior product associates As part of the Customer Platforms team within the Enterprise Products and Platforms organization, the Customer Definitions team is responsible for identifying common customers from accounts across the entire Capital One enterprise. Customer definition use cases include digital servicing, bankruptcy and estates identification, and anti-money laundering. Product Manager on the team will: Work with internal customers to define customer definition requirements. Work with data scientist teams to build models to meet customer requirements. Work with integrated teams of data scientists and engineers to deploy models Manage implementation of new customer definition models. We want you if you are: Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges. Communicator & Influencer.   You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they’re doing what they’re doing. You always can rally associates to work with you. Do-er.   You’re biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You’re well organized, able to multitask and able to prioritize your work. Passionate & Customer Focus .  You care about growing others and bringing them together around what’s possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs. Learner.   You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help. Team Player.   You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships. Basic Qualifications: Bachelor’s Degree or military experience At least 3 year of product management experience or at least 3 year of experience in product design, agile delivery, business analysis, data science, or software engineering Preferred  Qualifications: Bachelor’s Degree in Computer Science or Engineering MBA or Master’s degree 2+ years of experience in Agile product management At this time, Capital One will not sponsor a new applicant for employment authorization for this position. No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at  1-800-304-9102  or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.com Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site. Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).",6 days ago,"9,518 reviews"
https://www.indeed.com/viewjob?jk=2abee6b9a1323055&from=web&vjs=3,240,Senior Data Analyst,"comScore, Inc.","11950 Democracy Drive, Reston, VA 20190","Job Description: Position:  Senior Data Analyst Location:  Reston, VA Per Executive Order 14042, new or prospective Comscore, Inc. employees in the United States, must provide proof of complete vaccination, or approved exemption on the first day of their employment.  About This Role: The Senior Data Analyst will be responsible for extracts, transforms, and analyzes data, finding insights and answering questions about the content of the data .   Performs analytical hypothesis testing and modeling to provide key insight to internal and external clients .   Supports sales function by providing data expertise, feasibility reviews, and detailed analysis of questions raised by internal and external stakeholders .   More senior roles are involved in the creation and innovation of Comscores offerings to the marketplace and are responsible for managing and leading cross-functional teams of analysts. Some roles create and maintain internal and external user interface and reporting tools. These roles cross all Comscore product areas, including digital, mobile, OTT, and TV. What You'll Do: Initiates and manages cross-functional projects Presents findings to internal and external clients, peers, and upper management Works with cross-functional teams to implement QA methods; may work on improving user experience Participates in sales calls with clients to discuss potential custom research initiatives Provides support for pre-sales initiatives Manages the execution of custom research projects from outlined service order to completion Manages and performs multiple tasks under conditions of fluctuating workloads, competing requirements, and changing deadlines Identifies process efficiencies and automation opportunities Validates custom analytics with external sources; understands similarities and can explain differences Develops and enhances assigned products May mentor and train new team members What You'll Need: 4-8+ years of related experience 1-2 years of experience with Comscores offerings and research methods, and/or comparable experience in market research 1-2 years of experience managing projects Ability to partner, influence and impact others About Comscore At Comscore, we’re pioneering the future of cross-platform media measurement, arming organizations with the insights they need to make decisions with confidence. Central to this aim are our people who work together to simplify the complex on behalf of our clients & partners. Though our roles and skills are varied, we’re united by our commitment to five underlying values: Integrity, Velocity, Accountability, Teamwork, and Servant Leadership. If you’re motivated by big challenges and interested in helping some of the largest and most important media properties and brands navigate the future of media, we’d love to hear from you. Comscore (NASDAQ: SCOR) is a trusted partner for planning, transacting and evaluating media across platforms. With a data footprint that combines digital, linear TV, over-the-top and theatrical viewership intelligence with advanced audience insights, Comscore allows media buyers and sellers to quantify their multiscreen behavior and make business decisions with confidence. A proven leader in measuring digital and set-top box audiences and advertising at scale, Comscore is the industry’s emerging, third-party source for reliable and comprehensive cross-platform measurement. To learn more about Comscore, please visit Comscore.com. EEO Statement:  We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, disability status, sexual orientation, gender identity, age, protected veteran status or any other characteristic protected by law. To comply with federal law, Comscore participates in E-Verify. Successful candidates must pass the E-Verify process after hire. LI-JZ1",30+ days ago,89 reviews
https://www.indeed.com/viewjob?jk=5d1b6a82d54f284f&from=web&vjs=3,240,Senior Data Analyst - Army HR,Tallon Professional Services,"Arlington, VA 22209","Senior Data Analyst - Army HR Arlington, VA 22209  We are recruiting for a  Data Analyst to support Subject Matter Expert (SME)  level work for the Army Integrated Personnel and Pay System-Army (IPPS-A) program. Qualified candidates should have Army Human Resources (HR) expertise and IPPS-A expertise to support the program's Functional Management Division (FMD) team with data accuracy and correctness initiative and standardization of data for all components including inbound and outbound system interfaces. Prior experience working as a G1 PAS Chief is preferred.  Location Note:  A remote work arrangement will be considered from a U.S. based location.  Role and responsibilities:  Oversees the data migration process from legacy systems into the IPPS-A.  Directly works with system owners and Army component representatives to improve the quality of the legacy system data.  Identifies, manages, and provides fit/gap for data-related requirements support while managing traceability for Authoritative Data Source.  Oversees the implementation of capabilities that support data exchange.  Provides subject-matter expertise and data analysis for data transformation support.  Manages efforts with the System Integrator, Functional Management Division, and data owners on data definitions and other metadata, including relationship mapping and external data standards.  Provides support for the reporting, query, and data warehouse solution.  Coordinates weekly data synchronization meetings with functional system point of contact.  Identifies, researches, and evaluates how data is populated to document known data issues across the Total Army Force.   Qualifications:  U.S. citizenship  Current Secret security clearance  BA or BS degree  10 years of experience supporting data analysis roles  Extensive knowledge of Army HR Business Processes and personnel transactions  10+ years of experience in Army Legacy HR systems (iTAPDB, TAPDB-AE,TAPDB-AO, eMILPO, EDAS)  Army experience working at the system level at HRC (FSD, PERSIND, TAGD)  Recent experience with working in databases and using Standard Query Language (SQL)  Proficient in various platforms, languages, and embedded systems  Experience working with Army Human Resources systems for business intelligence, development, and maintenance of the system  Data analytics and visualization experience to identify, extract, and manipulate data for dashboard visualization and reporting  Ability to conduct rapid, independent decision making in stressful or fluid situations, including those that impact critical business systems  Ability to lead fast-paced product delivery in challenging environments and work with senior military and civilian leaders to foster a positive client relationship  Proficiency working across the Microsoft Office Suite (Excel, Word, PowerPoint)  Excellent consulting, problem solving, and critical thinking skills  Effective written and verbal communication skills to excel in a blended government and contractor team environment",30+ days ago,
https://www.indeed.com/viewjob?jk=2f01135136d595e0&from=web&vjs=3,240,"Senior Software Engineer, Data","Interos, Inc.","Arlington County, VA","Interos is the operational resilience company — reinventing how companies manage their supply chains and business relationships — through a breakthrough SaaS platform that uses artificial intelligence to model and transform the ecosystems of complex businesses into a living global map, down to any single supplier, anywhere.  Reducing months of backward-looking manual spreadsheet inputs to instant visualizations with continuous monitoring, the Interos platform helps the world's companies reduce risk, avoid disruptions, and achieve dramatically superior resilience. Businesses can uncover game-changing opportunities that radically change the way they see, learn and profit from their relationships.  Based in Washington, DC, Interos serves global clients with business-critical, interdependent relationships. The fast-growing private company is led by CEO Jennifer Bisceglie and supported by investors Venrock and Kleiner Perkins. For more information, visit www.interos.ai.   The Opportunity:  You want to solve problems you can't just Google answers for. You want to deal with real big data in real products that real people. You want exposure to cutting edge tech including real machine learning at scale, graph databases, and predictive modeling. And you want it all in a high-growth startup.  Join the close-knit engineer team at Interos that conceptualizes and develops our industry-leading data-driven Interos Knowledge Graph. Hone your skills in an agile, test-driven environment and have a measurable impact on a well-established rapidly expanding business.  At Interos, Senior Data Software Engineers have a deep understanding of Data Modeling, Python fundamentals and architecture. They consistently deliver large features that provide significant value to our customers. Senior Engineers regularly review large sections of our product, making sure things don't 'fall through the cracks'. They collaborate well with others, seek input from teammates, and provide detailed code reviews.   Key Responsibilities   Assume responsibility for key parts of the Interos Knowledge Graph architecture  Translate Data Science experimental code into tested, production ready modules  Create connectors for ingesting data from third party databases, APIs, and web sites  Optimize data structures, improve code execution, and reduce memory consumption of existing implementation  Develop JSON APIs and micro   Technology We Use:   We build architecture with Python.  We use Elasticsearch for search  We use Prefect for Dataflow Automation  We use Kafka for Event Streaming  We use Kubernetes for deployment  We use Postgres & Snowflake for our persistent storage  We use Databricks for ML prototyping  We use AWS for our infrastructure  We develop against services in the cloud  We keep our projects up-to-date with current versions   Qualifications:   6+ years of experience in Software Development  3+ years of full-time professional Python experience including production experience with data pipelines  A seasoned engineer who enjoys sharing your experience with the team.  Passionate about writing code that is scalable, maintainable, reusable, and well-tested  Interested in building reliable, fault-tolerant, production-grade systems  Feel comfortable debugging large applications and refactoring them to well-tested components and services  Have experience designing, implementing, and maintaining APIs as a service for your team and customers  Comfortable interacting with a range of audiences (technical and business stakeholders)  Have experience in an agile environment  Enjoy optimizing complex data models for comprehension and performance  Bachelor's degree in Computer Science or closely related field or a foreign equivalent   Location:  USA  Supervisory Responsibility : This position has no supervisory responsibilities.  FLSA Status:  Exempt  Work Environment:  This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, printers.  Physical Demands:  This is largely a sedentary role. Physical requirements include occasional lifting/carrying of 5 pounds; visual acuity, speech and hearing; hand and eye coordination and manual dexterity necessary to operate a computer keyboard and basic office equipment. Subject to sitting, standing, reaching, walking, twisting, and kneeling to perform the essential functions. Working conditions are primarily inside an office environment.  Travel Requirements:  This position may require up to 10% travel. Frequently travel is outside the local area and overnight.   Colorado Only: The range provided is for Colorado-based hires only and will be commensurate with candidate experience. Pay ranges for candidates in other locations other than CO may differ based on the cost of labor in that location. Pay range: $95,257 - $110,210   BENEFITS:   Comprehensive Health & Wellness package (Medical, Dental and Vision)  10 Paid Holiday Days Off  Flexible Paid Time Off (FTO)  401 (k) Employer Matching  Stock Options  Career advancement opportunities  Casual Dress  On-site gym and dedicated Peloton room at headquarters  Company Events (Sports Games, Fitness Competitions, Birthday Celebrations, Contests, Happy Hours)  Annual company party  Employee Referral Program   Interos is proud to be an Equal Opportunity Employer and will consider all qualified applicants without regard to race, color, age, religion, sex, sexual orientation, gender identity, genetic information, national origin, disability, protected veteran status or any other classification protected by law.  If you are a candidate in need of assistance or an accommodation in the application process, please contact hr@interos.ai",30+ days ago,
https://www.indeed.com/viewjob?jk=9650332242f09e29&from=web&vjs=3,250,Sr. Data Scientist,"Falconwood, Inc.","Suffolk, VA","Overview: Will support PEO-Digital and Network Operations to provide technical direction for problem definition, analysis, requirements development, and implementation for systems in a Naval Network Operations Environment. The individual will provide recommendations and advise on system improvements, optimization, or maintenance efforts for the following areas: information systems architecture; networking; telecommunications; automation; communications protocols; risk management/electronic analysis; software lifecycle management; software development methodologies. Responsibilities: Extract data from multiple data sources used within network operations processes (service desk, incident, event, problem) to gather operational data into data models. Configure data modeling and operational tools to capture, analyze, visualize, and presenting data findings to stakeholders utilizing various visual formats; compiles and presents complex information for audiences at varying levels of technical understanding Processes, cleanses, and verifies the integrity and reliability of data used for analysis; uses iterative processes and validates findings Establishes and maintains appropriate data collection and storage systems, programs, and procedures for building analytic systems; ensures accurate and efficient data management. Collaborate with stakeholders and subject matter experts to understand organizational needs; identifies relevant data sources for information. Provide recommendation or integration solutions for greater functionality within existing and future data systems Maintain current knowledge of relevant developments in area of expertise in the Network Operation Environment and Service Desk Functions, Event, Incident, Problem Management, or IT Service Continuity Support data modernization, network transformation initiatives, service delivery planning and analysis. Develop and deliver working level and senior leadership briefs Performs miscellaneous job-related duties as assigned. Qualifications: Secret Clearance Required, Active Top Secret Clearance Preferred The candidate must have a bachelor’s degree in a related field or 10 years of experience with a Navy acquisition program within a Department of Defense (DoD) agency, or experience manipulating data sets and building statistical models and is familiar with the following: Coding knowledge and experience with several languages: C, C++, Java JavaScript, etc. Knowledge and experience in statistical and data mining techniques Experience querying databases and using statistical computer languages: R, Python, SLQ, etc. Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. Strong technical background, proficient in the development of management systems and databases Experience with Network Monitoring, Network Performance, and ITSM Tools Experience in organizational Cloud environments Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. ITIL Foundations Must be proficient in Microsoft applications such as but not limited to Word, Excel, Access, PowerPoint, Visio, Outlook, and other M365 capabilities. Effective critical thinking and problem-solving skills Detailed-oriented, self-driven, able to work well within a team that supports a fluid, dynamic environment. Ability to plan, create, program, and manage complex statistical/predictive models. Familiarity with basic principles of distributed computing and/or distributed databases. Ability to apply statistical principles and processes to meet a range of information requirements. Ability to communicate technical information to non-technical personnel. Knowledge of a variety of machine learning techniques and real-world advantages/drawbacks. Ability to think independently with minimal oversight, as well as demonstrate exceptional written and oral communications skills. Excellent communication skills, both written and verbal, across all organizational functions and levels. Additional Desired Skills/Experience : Experience with ServiceNow, BMC ITSM Tools, and Business Objects M365 and/or Azure Fundamentals Certifications ITIL Service Operations or Service Design Microsoft Project or Planner Experience with Agile methodology and development",30+ days ago,2 reviews
https://www.indeed.com/viewjob?jk=46fcfd08c2d714ea&from=web&vjs=3,240,Senior Data Scientist,Lightstorm Research,"Charlottesville, VA","Lightstorm Research is looking for a motivated senior data scientist for machine learning and data visualization to join our team in Charlottesville, VA. The ideal candidate will build and lead a team developing new capabilities for our customers. This position will give the candidate the opportunity to work with talented people and contribute to solving challenging issues. The position will include development of new Python tools and algorithms as well as continued efforts on existing Matlab projects.  Responsibilities:   Develop new data manipulation and visualization tools  Evaluate and apply machine learning algorithms to problems  Understand customer requirements and needs  Use good software development practices (testing, version control, documentation)  Continue to develop new skills and tools to address the changing problem sets  Communicate issues early in a project cycle  Develop and lead a team of dedicated scientists working on hard problems   Requirements:   US Citizen  Secret level security clearance, with the ability to obtain a TS/SCI security Clearance  Expertise with Matlab, Python and Machine Learning  Experience developing data visualization and exploitation tools  Familiarity with GIS data processing and tools  Bachelor’s degree in a physical science, computer science, engineering, or mathematics  Possess good organizational, communication, computer skills  High degree of personal accountability, with the ability to work independently and deliver results within project specific timelines.  Occasional travel   Desired:   TS/SCI security clearance  Master’s or Doctorate degree in a technical field  Experience in the intelligence community  Expertise in spectral and infrared analysis   Lightstorm Research, LLC is an equal employment opportunity employer. All applicants and employees are evaluated in a fair and unbiased manner on the basis of job qualifications regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, genetic information, military and veteran status or any other basis prohibited by statute.",30+ days ago,
https://www.indeed.com/viewjob?jk=aa49c69df880b0e2&from=web&vjs=3,250,Data Engineer - TS/SCI + Full Scope Poly,Tallon Professional Services,"Fairfax, VA","Data Engineer - TS/SCI + Full Scope Poly Fairfax, VA 22046  We are recruiting for multiple Data Engineers positions for a federal government program working in support of artificial intelligence (AI) and advanced analytics for a variety of data engineering projects. Qualified data Engineers will be supporting a DevOps environment and should have experience with CI/CD and familiarity with the manipulation of unstructured data in a data analytics environment.  This work is supporting a multi-year contract. All positions are full time offering excellent benefits.  Location Note:  All work is performed on-site; relocation support will be considered.  Role and responsibilities include:  Support the data analyst and data scientist teams providing engineering support for continuous pipelines of large pools of filtered information for data sets to be available analysis.  Work with open-source tools  Support cloud computing, machine learning, and data visualization areas  Other duties as assigned  Requirements include:  U.S. citizenship  Current TS/SCI security clearance and Full Scope Polygraph  7+ years of related experience including one or more data related languages such as Apache, Hadoop, or similar  3 years of overall experience supporting data analytics preferably in a DoD or Intelligence Community environment  Bachelor's degree in a related field (Master's degree in a related field may be substituted for 3 years of related experience)  There are multiple openings and technical requirements vary by position and may include one or more of the following:  Experience deploying scripts with AWS  Experience with ETL code and tools  Programming experience using Python, Java, Perl, C, C++  Experience with ELK Stack (Elasticsearch, Logstash, Kibana)  Experience maintaining and optimizing Elastic clusters  Experience working and developing capabilities in Linux and Windows  Experience with automating project builds using shell scripts, Jenkins, and using/writing Makefiles  Experience with Linux bash shell scripting  Experience with SQL database systems including  Experience with SQL database systems including Postgre SQL and MySQL/MariaDB  Experience with large-scale, massively parallel distributed data processing tools including Spark,  Hadoop, Presto, NiFi  Experience with HTML, JavaScript, Regular Expressions, JSON  Experience with API usage and integration  Experience building a Python web server and performing setup in Flask  Experience working with varied file types including text, image, video, audio, binary  Experience working with geospatial tools and data  Preferred Skills/Experience Areas include:  Experience using automated data frameworks  Experience working with automated deployment tools including CloudFormation, Jenkins, Docker  Experience with Microservices FastAPI  Postgre SQL and MySQL/MariaDB",30+ days ago,
https://www.indeed.com/viewjob?jk=684d034817f8a8cb&from=web&vjs=3,250,Data Engineering Consultant,Deloitte,"1919 North Lynn Street Suite 1500, Rosslyn, VA 22209","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.  The team  Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.  The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.  Qualifications  Required:  Bachelor's degree required 2+ years of professional experience designing and developing real time ETL architecture Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Must be able to obtain and maintain the required clearance for this role   Preferred:    5+ years of professional services and/or government consulting experience Interest in event streaming architectures, such as Apache Kafka Creativity and innovation - desire to learn and apply new technologies, products and libraries How you'll grow  At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.",30+ days ago,"10,277 reviews"
https://www.indeed.com/viewjob?jk=120c17fec90b0682&from=web&vjs=3,250,Data Scientist (Multiple Locations) - Top Secret with SCI Eligibility,Logistics Management Institute,"Charlottesville, VA","Overview: LMI is a consultancy dedicated to powering a future-ready, high-performing government, drawing from expertise in digital and analytic solutions, logistics, and management advisory services. We deliver integrated capabilities that incorporate emerging technologies and are tailored to customers’ unique mission needs, backed by objective research and data analysis. Founded in 1961 to help the Department of Defense resolve complex logistics management challenges, LMI continues to enable growth and transformation, enhance operational readiness and resiliency, and ensure mission success for federal civilian and defense agencies. LMI is currently seeking an innovative, experienced, and highly-skilled Data Scientist to join our growing Advanced Analytics & AI team. In this role, you will create and develop custom solutions for our users in a collaborative, fast-paced, state-of-the art environment. To be successful in this role, you will be thorough, creative, and exceptionally well-skilled in all phases of the development lifecycle, with a passion for continued learning and collaboration. *This position is located in Charlottesville, VA and requires an active TS w/SCI Eligibility clearance*  Also looking for candidates in these locations: Charlottesville, Fort Bragg (NC), Fort Gordon (GA), Ft. Meade, Hawaii, San Antonio, Germany, Italy, South Korea Responsibilities: 5+ years applying statistics, machine learning and analytic approaches to answer key intelligence questions, producing results and re-usable products that provide real value to Intelligence Analysts. Contractor shall develop and refine date sets to achieve stakeholder goals and objectives as requested. Work with analysts to interpret analytic results and refine analysis as needed. Apply machine learning techniques to identify and transform data features, find hidden patterns and trends, build and optimize classifiers, create automated anomaly detection systems, and automate steps of the intelligence process. Evaluate statistical models to determine the validity of analyses, implement evaluated models into production by collaborating with software developers, periodically re-evaluate and refine machine learning models being used in production. Coordinate with Data Analysts to refine and implement models and monitor outcomes. Develop processes and tools to monitor and analyze model performance and data accuracy. Communicate results and ideas to key decision makers, analysts and other stakeholders. Contractor shall advise on the interpretation and use of data intelligence products, quality assessments and applications. Collaborate with Intelligence Analysts to understand needs and devise possible solutions. The individual will: Conduct technical reviews and develop appropriate materials to training system users and Instructors in preparation of operational deployments. Assess training requirements based on current system and functional baseline. Develop training artifacts in support of operations including Standard Operating Procedures (SOPs), and Tactics, Techniques and Procedures (TTPs). Languages, Tools, and Techniques Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data sets. Demonstrated proficiency in a variety of supervised and unsupervised machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Demonstrated proficiency in advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Demonstrated proficiency with common data science libraries. Demonstrated proficiency visualizing/presenting data for stakeholders. Demonstrated proficiency with MS Office tools including Excel, PowerPoint, and Word. Demonstrated proficiency with AWS, in particular products related to: analytics, compute, database, developer tools, and machine learning. Skilled data wrangler. Experience with database solutions including SQL, NoSQL (e.g. MongoDB) and graph (e.g. Neo4j). Experience with data visualization tools, such as D3.js, ggplot, Bokeh, etc. Capability to recognize when Data Science can add value to an intelligence problem, and when it cannot. Ability to translate an intelligence problem into a Data Science problem, and to work with the Intelligence Analysts and ACE Chief to refine understanding of the problem. Qualifications: Active TS/SCI clearance MS in Data Science, Statistics, Applied Math, or related field preferred. 2 years leading data science projects is desired and 5 years intelligence analysis experience is desired. Experience working with platforms such as Scala, Python, Java, R 5+ years of related experience required Advanced data science experience required Significant experience with databases Experience and familiarity with Agile-Scrum software development Experience gathering and decomposing requirements Proven record of solution development and deployment Familiarity with web-based application development Experience with testing, use case, and user stories Outstanding communication skills, written and verbal Highly organized and able to manage multiple projects simultaneously Team-player mentality with a positive attitude Keen attention to detail and solid analytical skills Able to articulate complex, abstract concepts concisely and effectively #LI-SH1",30+ days ago,69 reviews
https://www.indeed.com/viewjob?jk=1f1e97692484409b&from=web&vjs=3,250,AI/ML Engineer,LOCKHEED MARTIN CORPORATION,"Herndon, VA 20171","COVID-19 continues to significantly impact our employees, families and communities. With employee health and safety as our top priority, and as a federal contractor, Lockheed Martin is taking action to address the increased risk and uncertainty COVID variants pose in the workplace and ensuring we meet our commitments to national security.  As directed by Executive Order 14042: Ensuring Adequate COVID Safety Protocols for Federal Contractors, effective December 8, 2021, Lockheed Martin will require all newly hired employees, in the United States, must be fully vaccinated before their start date.  Description: Looking for a career with purpose? One that challenges your mind, grows your skills and contributes to our Nation’s most critical missions? Do you pride yourself on solving problems that others think are impossible? If you answered yes to these questions, then we would like you to join Lockheed Martin's Space Mission Solutions Strategic Machine Learning Team. Our team is seeking a high energy research scientist/developer to support several Automatic Target Recognition programs. In this role, you will be embedded in the AI team working alongside data engineers, Machine Learning / AI engineers, software architects, and data scientists. This person should be focused on innovative approaches to enhance the efficiency of getting products to the war fighter using machine learning. The candidate should also have a passion for imaging science, math, and physics.  This Candidate would be responsible for design/implement/test new algorithm capabilities in support signal/image processing and would be able to develop scripts/code in MATLAB and/or Python to prototype and evaluate capabilities.  The selected candidate will:  Work closely with other AI/ML Engineers, Data Scientists and Data Engineering Subject Matter Experts on a variety of machine learning applications. These will be research and analysis as well as operations ready algorithms. Create, update, and evaluate new algorithms and performance. Work in a variety of environments, cloud, edge and on-board deployments Applicants selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information. Additionally, they will contribute to a broad range of projects across Missions Solutions to increase value to the customer.  Basic Qualifications: Acceptable degree programs will include only science and technology related programs such as Computer Science, Systems Engineering, Electrical Engineering, Computer Engineering, Physics ,Mathematics etc.  Applicants selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information, including US Citizenship.  Desired Skills: Desired skills:  MS in AI, EE, or Imaging Science Experience in evaluating Remote Sensing Systems Ability to follow disciplined coding standards and practices Experience in multiple remote sensing phenomenologies (for example EO/IR/SAR) Proficient in programming languages (Python, Java, MATLAB, JavaScript, C++) Knowledge of cloud-based technologies Knowledge of data science technologies (AWS/C2S – specifically Sagemaker, Docker, Kubernetes, Keras, Tensorflow, etc.) Knowledge of DevSecOps software development practices Knowledge of IT distributed system architectures Experience in enterprise software applications (JIRA, Slack, etc.) BASIC QUALIFICATIONS: job.Qualifications   Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.  As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.  EXPERIENCE LEVEL: Experienced Professional",1 day ago,"8,717 reviews"
