URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=eecd684f2f9b480c&from=web&vjs=3,110,Statistician,SO CAL FCA BASEBALL,"14830 Grayville Drive, La Mirada, CA 90638","All Intern Qualifications: Relationship with Jesus and desire to grow as a disciple and servant Passionate about baseball / previous baseball experience & knowledge Passionate about youth/sports ministry Must have servant heart and ability to work long days Ability and desire to share gospel with kids ALL Intern Requirements: Raising support as a baseball missionary for the summer ($1,250) Working 2-4 week long camps throughout June-August Working Shepherds game operations Participation in intern trainings, Missions trip, local ministry opportunities and regular fellowship/discipleship with other interns Ability to locate to So. Cal for summer Available full time during the summer All Intern Benefits: Summer in Southern California near beach and all LA/Orange County attractions Great host family (live with a like minded roommate) Regular times for chapel/fellowship/discipleship Team Meals Initial camp training & ongoing leadership feedback from FCA staff and intern coordinators Mission trip & urban ministry opportunities Off week activities and adventures (Palm Springs)  Statistician Job Description:  The Statistician will be expected to cover all Shepherds statistics throughout the entirety of the season. Interns will be responsible for the recording, reporting, and analysis of all team and individual statistics. This intern will have the opportunity to perform statistical analysis and work with the GM and coaches on statistical insight & development.",30+ days ago,
https://www.indeed.com/viewjob?jk=f4e3943aa27f09f5&from=web&vjs=3,110,Applied Data Scientist,"Arcules, Inc.","Irvine, CA 92614","About the Company  Arcules is changing the video surveillance market and moving customers to a smarter, more reliable cloud-based solution. Our company is a technology spin out of Canon Inc. and has seed technology from the Milestone video surveillance division. We are targeting mid-market enterprises looking to interconnect their business locations. Our technology brings video and smart building elements together and our analytics help customers make more informed decisions. Our go-to-market strategy leverages systems integration companies to get our solutions to end customers.   Arcules offers excellent benefits, including top-tier PPO and HMO medical plans, four weeks of vacation, three weeks of sick leave, 401(k) plan after three months of employment (4% company match), an on-site gym and game pavilion, an awesome work environment and more.    Overview of the Job  As an Applied Data Scientist, you will work in a cross-functional team environment with other engineers as well as product managers, architects, UX designers and operations teams to deliver top quality cloud based solutions using Agile methodologies. You will be responsible for designing and implementing state-of-the-art ML algorithms and solutions that enhance our SaaS platform.    Responsibilities  Train, validate, test and version machine learning models  Curate datasets  Run experiments andAI/ML models that are accurate and performant.  Troubleshoot problems and develop solutions with little to no supervision  Mentor other software engineers and new hires to help them learn about the product and necessary skills to do the job; provide technical leadership as part of an engineering team  Collaborate with other software engineers to deliver on product goals  Other duties as assigned    Minimum Qualifications  Experience with Python, Tensorflow  B.S. in Computer Engineering or Science (Masters preferred) with at least 3 years of software development experience with a distinguished track record delivering technically complex enterprise services (or equivalent experience)..  3+ years experience with programming in Python and Tensorflow  Familiarity with Deepstream, YOLO, Mobilenet and others  Experience with Agile methodologies  Skills/Training Desired  Familiarity with Docker, Kubernetes, Google Cloud platform  Familiarity with Test Frameworks and MLFlow  Willingness to learn Go  VMS or Security industry experience  Arcules is an equal opportunity employer and makes hiring decisions without regard to an applicant’s race, national origin, gender, sexual orientation, or any other protected category. Applicants must be legally authorized to work in the United States at the time of hire. Arcules is not offering work sponsorships at this time.",30+ days ago,
https://www.indeed.com/viewjob?jk=324eb39316643d22&from=web&vjs=3,110,Applied Scientist,Ripple,"33 New Montgomery St, San Francisco, CA 94105","Ripple is working to build new product experiences around crypto liquidity. We believe connecting traditional financial entities like banks, payment providers and corporations with emerging blockchain technologies and users is the path to an open, decentralized, and more inclusive financial future. This Internet of Value gives any internet-enabled person, application or device access to financial services that are transparent, fast, reliable, and cheap. Delivering this vision is a challenge of massive scale spanning $155 trillion in annual cross border fiat payments and the $1.5 trillion market of digital assets that has grown 10X in the last year.  We are looking for an Applied Scientist to join us in determining and delivering optimal liquidity for every customer in the world in a cost-effective, robust and scalable manner. This is an engineering role focused on building end-to-end machine learning-enabled solutions. From forecasting supply and demand, to optimizing routing across traditional and digital assets and venues, to pricing and risk management systems. This role will be critical in developing the liquidity engine that powers the Internet of Value. Ideal candidates will have a track record of technical excellence in designing, building and delivering reliable solutions as part of a team. As a member of a new initiative, you must be passionate about inventing and delivering customer-focused solutions to ambitious and ambiguous challenges.  WHAT YOU’LL DO:   Build automated systems for delivering crypto liquidity to our customers instantly, easily, efficiently and cost-effectively  Design and implement scalable, auditable, and maintainable machine learning services at Ripple  Collaborate with Ripple engineers and data scientists to build a world-class machine learning platform   WHAT WE’RE LOOKING FOR:   Degree in statistics, physics, computer science or other quantitative field, masters or PhD preferred  2+ years industry or equivalent experience programming with Python and/or Java  Experience with machine learning methods like statistical modeling, time series analysis or experimentation, bonus if in finance or trading domains  A collaborative coder, comfortable with Git and code reviews  Excellent written and verbal communication skills  Attention to detail and a commitment to excellence   WHAT WE OFFER:   The chance to work in a fast-paced start-up environment with experienced industry leaders  A learning environment where you can dive deep into the latest technologies and make an impact  Competitive salary and equity  100% paid medical and dental and 95% paid vision insurance for employees starting on your first day  401k (with match), commuter benefits  Industry-leading parental leave policies  Generous wellness reimbursement and weekly onsite programs  Flexible vacation policy - work with your manager to take time off when you need it  Employee giving match  Modern office in San Francisco’s Financial District  Fully-stocked kitchen with organic snacks, beverages, and coffee drinks  Weekly company meeting - ask me anything style discussion with our Leadership Team  Team outings to sports games, happy hours, game nights and more!   WHO WE ARE:  Ripple is doing for value what the internet did for information: enabling its instant and seamless flow around the world. We call this the Internet of Value (IoV). Using blockchain and cryptocurrency technology, Ripple is dedicated to creating powerful gains in financial efficiency, equity and inclusion. In addition, Ripple is developing and enabling the future use cases that will catalyze the new digital economy for governments, businesses and consumers.  Ripple has offices in San Francisco (HQ), New York, London, Mumbai, Singapore, São Paulo, Reykjavík, Washington D.C. and Dubai.   Ripple is an Equal Opportunity Employer. We’re committed to building a diverse and inclusive team. We do not discriminate against qualified employees or applicants because of race, color, religion, gender identity, sex, sexual preference, sexual identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, military status, or any other characteristic protected by local law or ordinance.   Please find our  UK/EU Applicant Privacy Notice  and our  California Applicant Privacy Notice  for reference.",30+ days ago,11 reviews
https://www.indeed.com/viewjob?jk=d5598a5816b9a78d&from=web&vjs=3,110,Senior Data Scientist,AT&T,"800 Parkview Drive North, El Segundo, CA 90245","AT&T’s Marketing Enablement Technology & Analytics organization is committed to driving individual product excellence, while accelerating our multi-product household base.  You already know what this will say, because Machine Learning and Predictive Analytics is your thing!  You know the value of anticipating customer behavior – will they stay, will they go, will they buy more – is what enables a business to allocate resources efficiently, and creating a crystal ball to predict the future is what inspires you. You know to use ML creatively to analyze business trends and identify anomalies to produce actionable insights.  More data is no problem here… millions of customer relationships across multiple products yields a data playground measured in terabytes, and you’ve got ‘been there, done that’ experience. You’re a technique chameleon, evolving your toolset and modeling approaches to wring out the last drops of performance possible to maximize your impact on the business. And your endgame is a suite of machine learning models that could do this work for you!   What you get to do: Utilize ML to analyze market and customers actions, detecting anomalies to drive business strategy and tactics. Predict the next actions of every consumer doing business with AT&T!  Preferred locations are Dallas, TX; Atlanta, GA or El Segundo, CA. Other locations may be considered.  As part of the Predictive Analytics and Customer Valuation team, you’ll focus on how customers and prospects can deliver optimum value for the business. From purchase to retention, from upsell to cross-sell, and for all spaces in between, you’ll get to build Predictive Models that anticipate outcomes. Beyond building laser-accurate models, you’ll be an advocate for your work by partnering with clients to convey the drivers influencing those outcomes, and the behaviors and characteristics of those likely to act – or not. You’ll challenge the conventional approach of building a model and simply rescoring it each month, employing new machine learning techniques for real-time scoring and automated calibration.   Details:  Build anomaly detection algorithms to automatically identify strategic and tactical opportunities  Build out customer-level propensity models to fuel acquisition, cross-sell/up-sell, retention strategy  Build marketing offer models to determine optimal decisioning hierarchy, presenting customers with best offers  Identify key segments / clusters of customers who will act – and those who won’t – and learn what drives the difference… and how to create opportunities from these learnings  Work closely with pricing, marketing, credit & collections, finance, and retention to improve their ability to acquire, serve, and retain every customer household while maintaining profitability for our shareholders  You’ll have the opportunity to grow your personal brand across several organizations as the expert on customer value.   Qualifications:  5-8 years in advanced analytics field  2+ years in predictive modeling, including buy, churn, and upsell/cross-sell  2-3 years in Python and R  Experience in Machine Learning techniques beyond linear regression  Advanced SQL experience  Master’s degree or advanced coursework in Analytics, Statistics, Computer Science, or Mathematics  Additional experience with survival modeling will be a huge advantage  Ability to translate complex analysis into simplified actionable insights preferred  Experience in business analysis and marketing strategy preferred   Ready to join our team? Apply today!",30+ days ago,"39,994 reviews"
https://www.indeed.com/viewjob?jk=f6c803c895e5c75e&from=web&vjs=3,110,"Data Scientist, AI Unit, Alphabet Inc.",Loon,"Mountain View, CA","X is Alphabet’s moonshot factory. We are a diverse group of inventors and entrepreneurs who build and launch technologies that aim to improve the lives of millions, even billions, of people. Our goal: 10x impact on the world’s most intractable problems, not just 10% improvement. We approach projects that have the aspiration and riskiness of research with the speed and ambition of a startup. About the Team: Sandbox@Alphabet is a team of scientists and engineers within Alphabet exploring the intersection of physics and artificial intelligence. We pursue near-term impact through rapid prototyping of quantum-inspired platforms that can be deployed by enterprises to solve real-world business problems. Sandbox is a unique team. Sandbox engineers, scientists and product managers cross pollinate between a range of fields - natural sciences, computer science, neuroscience, and mathematics - to solve big problems from a novel perspective. Our culture encourages thought leadership because no matter what role you have, every member has the ability to do transformational work because of our start-up atmosphere. If you are passionate about working in an agile and collaborative environment and want to take an active role in nurturing Sandbox culture, this role is for you! Our goal is to continue to champion a culture where inclusion, education, service leadership and scientific breakthroughs are key components of our fast growing team. About the Role: Sandbox@Alphabet is investigating various applications of quantum sensing technologies, and are looking for a data scientist with a passion for uncovering useful and actionable insights from biological, geophysical, and other types of signals. You will participate in groundbreaking work on a quantum magnetometer designed to detect weak magnetic signals on top of the noise present in a real-world environment. We are building capabilities for several applications of magnetic signals. Our team has expertise in quantum physics, hardware, and medtech development. We are looking for a curious self-starter who can help unlock the potential of biomagnetic and geophysical sensing with advanced data science and machine learning (ML) techniques. What You’ll Do Understand the project’s challenges, then research and suggest a number of ways in which digital signal processing (DSP) and AI/ML can apply to those challenges Rapidly prototype solutions, test, iterate and present them to the team Analyze data collected from our real world experiments. Make recommendations on future experimental design. Interface with AI experts across Alphabet to explore state-of-the-art AI/ML solutions to our team What you should have: Bachelor’s degree or equivalent practical experience 3 years of software development experience, or 1 year with a relevant advanced degree Experience with machine learning systems, algorithms or applications such as: digital signal processing, time-series analysis, deep learning, audio/speech processing, optimization Experience with one or more general purpose programming languages e.g. Python, Java, C/C++, Scala Experience with JAX, TensorFlow, or other machine learning frameworks It would be great if you also had these: Experience working with biological electromagnetic signals, e.g., ECG, EEG Experience with modeling of geophysical variables and/or localization algorithms Ability to tell a story using data with compelling visualizations A doer with a startup mindset who enjoys working with a diverse & nimble team. No task is too big or too small! Lived abroad and/or with an international background, speaks 2+ languages. At X, we don't just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. We are proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please contact us at: x-accommodation-request@x.team.",30+ days ago,4 reviews
https://www.indeed.com/viewjob?jk=db3e12e89617c00c&from=web&vjs=3,120,Senior Data Scientist,Microsoft,"755 N. Mathilda Avenue, Sunnyvale, CA 94085","We need experienced data scientists for our measurement data science team. We believe metrics define the strategy for the final product we build. A critical part of the role is to understand our user’s behavior and define metrics which not only measure customer success but are leading indicators of long-term retention such as DAU. Furthermore, we need to operationalize these metrics for experimentation which enable the machine learning engineers at Bing to experiment quickly and accurately. Finally, the high-quality data we generate are reused as targets for our AI models which are served at a very broad scale (500+ MAU, 100s of languages, 200 regions worldwide). Responsibilities Define, invent, and deliver behavioral and human labeled metrics which accurately measure the satisfaction and success of our customers Research, analyze, and decide between various sampling strategies which accurately reflect user perception Design a blueprint for how to get high quality labels for segments that require expertise like developer or medical queries from the crowd Apply behavioral game theory and social science understanding to get the highest quality work out of crowd workers from around the world Enable other machine learning scientists in the broader group to experiment quickly and accurately Reuse high quality labels to maximize the accuracy of machine learning models Make independent decisions for the team and handle difficult tradeoffs Translate strategy into plans that are clear and measurable, with progress shared out monthly to stakeholders Partner effectively with program management, engineers, and other areas of the business Qualifications Required Qualifications: Degree in statistics or related field 2+ years of industry data science experience 6+ years’ experience with data science programming such as Python, R, SQL, Excel Preferred Qualifications: MS or PhD data science or related field Experience with large scale data mining tools such as Spark Experience with real world system building and data collection, including design, coding and evaluation Customer focused, strategic, drives for results, is self-motivated, and has a propensity for action Fantastic problem solver: ability to solve problems that the world has not solved before Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work. #Search# #WebXT# //searchjobs",30+ days ago,"7,323 reviews"
https://www.indeed.com/viewjob?jk=bb9e60483addfd6e&from=web&vjs=3,110,Data Scientist,Realty Income,"San Diego, CA 92130","Realty Income, The Monthly Dividend Company® , one of four San Diego based S&P 500 companies dedicated to providing shareholders with dependable monthly income. Our company is structured as a REIT, and its monthly dividends are supported by the cash flow from over 10,000 real estate properties owned under long-term lease agreements with regional and national commercial tenants. To date, our company has declared over 600 consecutive common stock monthly dividends throughout its 52-year operating history and has continually increased the dividend since Realty Income's public listing in 1994 (NYSE: O). Our company attracts individuals who value integrity, perseverance, and teamwork. If you appreciate working in a professional environment that rewards employees based on merit and values a work-life balance, make sure to apply today! As Realty Income’s  Data Scientist , you will be a ground-breaking leader who works as part of a team that builds and owns analytics-based assets, bringing the value of real estate predictive analytics to our business leaders. You will shape the future of a data-savvy organization, in part by driving processes for data extraction and analysis, and by creating new lines of thinking within our core real estate and investing business. In this role, you will design, develop and execute predictive analytics work streams that serve as the catalyst to increase ROI for the business. Your Contribution to the Team Includes: Predictive Analytics Build predictive analytics for use cases such as: Portfolio Management; Development; Acquisitions Work with business teams to identify, develop and deliver new use cases over time Prioritize predictive analytics initiatives based on multiple factors, e.g., ROI/productivity, business continuity, ease of delivery Deliver insights with user friendly end-products such as web-based tools, reports (e.g., Power BI) or visualizations that are accessible and understandable for business users Ensure we remain state of the art by keeping up on the latest technologies and approaches, attending conferences or other events as needed Infrastructure for Predictive Analytics Create the vision for static and dynamic data architecture for predictive analytics encompassing internal data in our ERP system or other data sources as well as externally sourced data (e.g., census information news feeds) Oversee the process for data management leveraging IT and business teams using clearly articulated responsibility matrices and timelines, including meeting internal audit requirements for data/process integrity Coordinate with the IT team to buy or license required tools, data and feeds Work with the IT team as they set up the necessary infrastructure and processes to support predictive analytics, e.g., ETL from the ERP system to data warehouse/lake Determine how and when to take and store “snapshots” of data so that we can go back in time to test new models and approaches What You’ll Need to be Successful MS or PHD Preferred in a relevant discipline, e.g., machine learning, statistics, applied mathematics, econometrics, or operations research 2+ years of experience providing advanced analytics within a business setting Prior work experience within real estate or financial services is preferred, but not required Programming experience in Python, Spark and SQL. Java/Scala is a plus Experience with RDBMS systems like PostgreSQL and NoSQL systems like MongoDB Hands-on experience in Microsoft Azure and Amazon EC2 cloud platform Demonstrated ability to design and implement ETL workflows across both Windows and Linux environments Ability to clearly communicate ideas, orally or via written communications Must be authorized to work for any employer in the US without restrictions now or in the future #LI-EB1 #LI-Remote",30+ days ago,7 reviews
https://www.indeed.com/viewjob?jk=03d904e620848fa1&from=web&vjs=3,120,Data (Pyspark) Engineer,Cognizant Technology Solutions,"San Francisco, CA 94102","Title:  Data (Pyspark) Engineer  Cognizant (NASDAQ:  CTSH) is a leading provider of information technology, consulting, and business process outsourcing services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.). Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 1000, and the Fortune 500 and we are among the top performing and fastest growing companies in the world.   Please note, this role is not able to offer visa transfer or sponsorship now or in the future*  Practice - AIA - Artificial Intelligence and Analytics  About AI & Analytics:  Artificial intelligence (AI) and the data it collects and analyzes will soon sit at the core of all intelligent, human-centric businesses. By decoding customer needs, preferences, and behaviors, our clients can understand exactly what services, products, and experiences their consumers need. Within AI & Analytics, we work to design the future—a future in which trial-and-error business decisions have been replaced by informed choices and data-supported strategies. By applying AI and data science, we help leading companies to prototype, refine, validate, and scale their AI and analytics products and delivery models. Cognizant’s AIA practice takes insights that are buried in data, and provides businesses a clear way to transform how they source, interpret and consume their information. Our clients need flexible data structures and a streamlined data architecture that quickly turns data resources into informative, meaningful intelligence.  The Role/Requirements: Looking for Data Engineers with hands-on experience in PySpark to build data pipes in AWS or Azure environments:   Should be able to write design documents and independently build the Data Pipes based on the defined Source to Target mappings.  The candidate should have good exposure to RDBMS and able to convert complex Stored Procedures, SQL Triggers, etc. logic using PySpark in the Cloud platform.  The candidate should be open to learn new technologies and implement solutions quickly in the cloud platform.  Any knowledge of the Palantir Foundry Platform will be a plus (not mandatory though).  Communicate with program key Stakeholders to keep the project aligned with their goals.  Effectively interact with QA and UAT team for code testing and migrate to different regions.  Cognizant is an Equal Opportunity Employer M/F/D/V. Cognizant is committed to ensuring that all current and prospective associates are afforded equal opportunities and treatment and a work environment free of harassment. Cognizant is recognized as a Military Friendly Employer and is a coalition member of the Veteran Jobs Mission. Our Cognizant Veterans Network assists Veterans in building and growing a career at Cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service. #LI-AV1 #CB  Employee Status :  Full Time Employee Shift :  Day Job Travel :  No Job Posting :  Dec 08 2021  About Cognizant Cognizant (Nasdaq-100:  CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @USJobsCognizant. Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview. Cognizant is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. If you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.",30+ days ago,"14,369 reviews"
https://www.indeed.com/viewjob?jk=86152a920ea2aabb&from=web&vjs=3,110,Sensory Data Scientist,Driscoll's,"Watsonville, CA","Global R&D drives significant value for Driscoll’s Enterprise operating breeding programs and research centers across the globe. The role of the data scientist is to link sensory and flavor information to Global R&D’s breeding decisions. The Consumer Lab is developing world class sensory capabilities such as consumer tests, home-use-tests, focus groups, and descriptive analysis to deliver actions and insights that guides multiple business units across Driscoll’s. As a data driven business unit, the Sensory Data Scientist will develop processes and analyses to augment our understanding of consumer preferences and breeding targets. Responsibilities  Develop experimental designs for consumer and sensory tests. Evaluate and interpret both qualitative and quantitative tests (e.g. home-use-tests, central location tests, internal employee tests, descriptive analysis tests, etc.) to guide the product development process. Analyze, interpret, and translate complex consumer and sensory data into insights and actionable recommendations using statistical models and data visualization tools. Interpret and present consumer and sensory insight findings into impactful presentations and dashboards for internal stakeholders, customers, and consumers. Work with different business units and departments to develop and manage a database that can model the changes in consumer taste preference through various demographics. Comfortable with creative problem solving. Other duties as needed.  Candidate Profile  Master’s Degree in Statistics, Applied Mathematics, Computer Science or related fields preferred, or Bachelor’s degree with work experience. 1+ years’ work experience in data science, analysis and visualization, and/or statistical modeling. Sensory data in consumer packaged goods (CPG) experience is a plus. Superior data structuring and analytical skills to analyze and interpret qualitative and quantitative data using conventional and novel statistical tests and models (e.g., M/ANOVA, principal component analysis, landscape segment analysis, preference mapping, correspondence analysis, penalty-lift analysis, canonical variate analysis, etc.). Experience with data visualization technologies and frameworks (e.g., R, Tableau, XLStat). Proficient in programming (R preferred) is a plus. Sensory data experience a plus. Experience with experimental design, data science, and machine learning analyses is a plus. Ability to effectively communicate data insights and recommend actionable applications. Spanish fluency is a plus. Strong written and verbal communication skills with ability to effectively communicate data analyses to audiences of varying or no knowledge of modeling, data analysis, or statistics. Excellent organizational skills, thorough attention to detail, and outstanding follow-through required. Shows initiative as an independent and team contributor; ability to work effectively with cross-functional groups and to maintain strong working relationships. Ability to travel (5% travel). California Driver’s license and the ability to be covered under company-sponsored vehicle insurance program. A valid passport and the ability to travel internationally without restrictions.  About Driscolls  Driscoll's is the global market leader for fresh strawberries, blueberries, raspberries and blackberries. With more than 100 years of farming heritage and hundreds of independent growers around the world, Driscoll's is passionate about growing fresh, beautiful and delicious berries. Our values of humility, passion and trustworthiness have guided our mission to delight consumers around the world.  Driscoll's exclusive patented berry varieties are developed through years of research using only natural breeding methods – meaning, no GMOs. From farm-to-table, we focus on delivering a high quality, premium berry experience with our many supply chain partners.  Driscoll's is the trusted brand for Only the Finest Berries™.   Driscoll's es el proveedor líder en la comercialización de Fresas, Frambuesas, Zarzamoras y Arándanos Azules en el mundo. Con más de 100 años de herencia en agricultura y cientos de productores independiente alrededor del mundo, Driscoll's es una compañía apasionada por cultivar Berries frescas, hermosas y deliciosas. Nuestros valores de humildad, pasión y confianza han guiado nuestra misión de deleitar a los consumidores en el mundo.  Las variedades exclusivas de Driscoll's han sido desarrolladas a través de años de investigación usando sólo métodos de mejoramiento natural. De la granja a la mesa, nos enfocamos en ofrecer una experiencia de alta calidad con apoyo de nuestros socios de la cadena de suministro.  Driscoll's es la marca de confianza de sólo las mejores Berries.",30+ days ago,91 reviews
https://www.indeed.com/viewjob?jk=b4e84044f948104c&from=web&vjs=3,130,"Sr. Data Scientist, Battery",Rivian Automotive,"Irvine, CA","Rivian is on a mission to keep the world adventurous forever. This goes for the emissions-free Electric Adventure Vehicles we build, and the curious, courageous souls we seek to attract.  As a company, we constantly challenge what's possible, never simply accepting what has always been done. We reframe old problems, seek new solutions and operate comfortably in areas that are unknown. Our backgrounds are diverse, but our team shares a love of the outdoors and a desire to protect it for future generations. Role Summary   Your main responsibility will be building machine learning models to provide valuable estimations and predictions to the product and the user. You will work closely with the battery experts (modeling/electrochemical/mechanical/thermal/software) and engineers to define features & metrics from the domain knowledge. You will explore different features and performance metrics of battery and electric vehicle under different usage and aging conditions of the batteries. You will also explore different feature extraction methodologies to discover insights. You will utilize different supervised/unsupervised machine learning models and to build predictive models which includes battery quality metrics, performance metrics of power/energy and remaining useful life  You will develop an understanding of battery functionality. You must be creative, clever, proactive, driven by detail, and an individual who can work independently, or with other embedded programmers, software architects, and application engineers.   Responsibilities   Work with vehicle telemetry data at scale to provide insight on the battery health, performance, and powertrain efficiency of Rivian products  Work with battery scientists to improve state of health estimation for batteries based on field data models.  Develop statistical and machine learning models for predicting and forecasting field failures, cell chemistry variations, battery health degradation and how various driving behaviors affect battery performance for safety and drivability.  Build scalable full stack infrastructure and data pipelines to aggregate telemetry and service data in order to monitor and predict failures in the field.  Research and development of multivariate models for prognostics applications, predictive maintenance, and battery state of health estimation, battery health coaching.  Run cloud-based data models to assist improving battery power and energy estimation based on current, voltage and temperature data points across various drive cycles and geographies.  Work with embedded systems engineers to bring cloud-based data models to run on embedded systems.   Qualifications   Must have 5 or more years of industry experience in a data science or software engineering role or Masters/PhD. Level of role depends on experience and qualifications.  Must have Data Science domain knowledge: Experience working with data in Apache Spark, Python and SQL  Strong fundamentals in software engineering with Python  Understanding of statistical and machine learning concepts  Data visualization and communication best practices   Preferred:   Experience deploying models in the cloud (AWS SageMaker preferred)  Experience with cloud infrastructure such as AWS with Terraform/Docker  Programming in multiple languages, such as Golang/Scala/C/C++  Experience with battery prognostics and health management  Working knowledge of mathematical or advanced machine learning concepts  Experience with reinforcement learning  Equal Opportunity  Rivian is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, ancestry, sex, sexual orientation, gender, gender expression, gender identity, genetic information or characteristics, physical or mental disability, marital/domestic partner status, age, military/veteran status, medical condition, or any other characteristic protected by law.  Rivian is committed to ensuring that our hiring process is accessible for persons with disabilities. If you have a disability or limitation, such as those covered by the Americans with Disabilities Act, that requires accommodations to assist you in the search and application process, please email us at accessibility@rivian.com.  Privacy  We take your privacy seriously. For details please see our Candidate Privacy Notice.   Please note that we are currently not accepting applications from third party application services.",30+ days ago,21 reviews
