URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=2196e0f1e80750f8&from=web&vjs=3,470,Data Scientist / Project Manager,Apogee Integration LLC,"14900 Conference Center Dr, Chantilly, VA 20151","Security Clearance :  Willing/Able to pass a TS/SCI w/Poly investigation is  required  Covid-19 Vaccination :  Being fully vaccinated is  required Position Apogee's ideal Data Scientist/Program Manager will lead a small dynamic team of data scientists and software developers that helps Apogee & our Department of Homeland Security (DHS) client build analytical systems and conduct data analysis that delivers data-driven insights to enable reduction in cost and complexity, increase trust and integrity, and improve operational mission effectiveness and strategies. If you love data, tools and finding answers for today's and avoiding tomorrows problems, then you'll love Apogee and this position! Required  BS in Mathematics, Engineering, Physics, Programming or other Stem Degree   Requires 3 to 5 years work experience in Data Science/Data Analysis/Data Visualization/Statistics/Software Development  Knowledge and Experience in Data Visualization & Analytics  Experience leading teams and managing projects  Must be a U.S. Citizen   Strongly Desired Skills  Statistical Analysis and Techniques   Business and Operations Analysis using quantitative techniques  Data engineering experience such as: Relational database and data Warehouse modeling and schema design   ETL automation  No-SQL and big data systems   Working with analytical models or techniques and the ability to apply such methods to an applicable challenge within the larger field of expertise. This background should include: Academic or Professional experience with advanced analytics techniques, such as regression, clustering, forecasting, simulation, machine learning  Applicable sources of external, internal or new data sources to support analytic methods and visualization techniques   Experience with Tableau, SQL, R and/or Python, Apache Spark is a plus   What You'll Love About Apogee  Challenging work in support of US Intel Community - a Mission that Matters!  Access to our cool ApogeePlex facility.  Support for new ideas & encouragement to take risks    Professional Development Assistance (PDA)  Wicked smart and collaborative coworkers  Regular interfacing with company leadership    401(k) with huge company match  Paid Time Off / Fixed & Floating Holidays  Medical, Dental, Vision  Health Savings Accounts / Dependent Care Flexible Spending Accounts  Life Insurance  Disability (Short and Long Term), Accidental Death and Dismemberment (AD&D)   Apogee's Mission  Be the  PROVIDER  of choice for government & commercial organizations with an unwavering commitment to responsiveness, accuracy, integrity, collaboration, and innovation  Be the EMPLOYER  of choice committed to an open & transparent corporate atmosphere and progressive culture that attracts and empowers world class professionals to explore cutting-edge technical solutions while fostering professional growth  Be the preferred SOURCE  for cutting-edge Analytic Products, Systems & Software Engineering, Big Data Integration, IT and Business Services that directly contribute to customer success   Apogee is an M/F Disabled and Vet EEO/AA Employer",30+ days ago,2 reviews
https://www.indeed.com/viewjob?jk=0e8d17316fa6249d&from=web&vjs=3,470,Data Scientist,Interclypse Inc,"Chantilly, VA 20151","Description: Interclypse is seeking Data Scientists to grow their knowledge and further their career. We have numerous openings on a variety of government projects allowing us to find the best fit for your personal skillset. Interclypse provides a uniquely cultivating environment where mentorship and continued learning create extraordinary professionals. Our goal is to empower our talent by putting you in the driver’s seat of your career. . Requirements: Our Data Scientist candidates should have have experience developing automation for data ingest and transformation, developing database structures, and supporting the deployment of web apps. It also helps to have experience with the majority of our tech stack below and a PMP certification wouldn’t hurt. Our tech stack: Linux/UNIX Python Java SQL Presto DBeaver Hadoop tools MapReduce Hive NoSQL tableau Oracle Databases Cognos The Interclypse employee participating in this position will have a direct impact on the success of our nation's military missions. Our favorite candidates are resilient problem solvers, cooperative teammates, and passionate innovators. Why You Might Like This Job : You’re tired of working for a massive organization. You want to work for an established company that values your stable career. You want to work with a team who loves their job and making cool stuff. You want to be part of a team focused on making a positive impact. You want to grow your skills in management or work toward becoming an expert. You want to have the option for career mentorship, both in technology and in business. You value a company with a strong culture of growth and support. Benefits : 31 Days of Paid Personal Time Off (PTO) for vacation, holidays, and illnesses. Additionally, 30 days can be rolled over year to year Unlimited 401K match up to 8% of your salary up to the federal maximum Medical/Dental/Vision Insurance: Premium is 100% company paid (contact us for specific plan details) Health Savings Account (HSA): Interclypse contributes $1,500 for individuals and $3,000 for families Vision Insurance Dental Insurance with orthodontics coverage Life Insurance Accidental Death Insurance Disability: Short-term and long-term disability coverage Educational support: reimbursement up to the federal max of $5,250 Maternity/Paternity Leave: 40 hours Bereavement Leave: 24 hours Military Reserve Leave Jury Duty Leave Company apparel: $200 for company apparel each year Social events: Holiday Party, Spring Picnic, Fall Picnic, happy hours and more Optional Pet Insurance! Interclypse isn’t your typical company. We strive to have a positive & transformational impact on our community, our industry, and individuals. We keep this focus through our motto: ""Doing What is Right"". Apply today to see how you can join our winning team and start down the career path that’s right for you! EOE AA M/F/Vet/Disability: Interclypse is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",30+ days ago,
https://www.indeed.com/viewjob?jk=d55bfe07c4e94b5e&from=web&vjs=3,470,Research fellowship at Data Tecnica International with the Michael J. Fox Foundation for Parkinson’s research,Data Tecnica,"Glen Echo, MD","Join our team as the DTI*MJFF research fellow, exploring Parkinson’s disease data to make a difference! Data Tecnica International (DTI) in collaboration with the Michael J. Fox Foundation for Parkinson’s Research (MJFF) invites applications for a postdoctoral research position. The position involves translational data science with a focus on integrating clinical and genomic data in Parkinson’s disease (PD). Large-scale, multi-modal data are available and the primary goal is to investigate mechanisms of PD heterogeneity and progression. Comprehensive support and training will be provided as DTI and collaborators are specialized in various fields such as genetics, functional genomic screening, clinical data and pathology analysis, artificial intelligence and general data science. The candidate will be also involved in data-harmonization, development of analytical tools, software development, and knowledge translation as a means to help accelerate research as a community. The position provides unique and flexible opportunities to pursue the candidate’s own career goals so that they are able to enjoy a hybrid academic and industry environment while working closely with top-notch scientists and engineers. In the current situation, we are offering a complete work-from-home option for the indefinite future. The initial appointment is 18 month with potential extension. Applicants should have a doctoral degree (PhD, ScD or MD with MPH/MS) with relevant training or research experience in neuroscience, epidemiology, bioinformatics and/or biostatistics. Competent coding skills (e.g. Python/R/bash) are required. Experience in working with clinical data, particularly within neurology, and understanding of recent data science frameworks are preferable. The candidate must have a valid US work authorization. Interested candidates should submit their application, including CV, cover letter, and letters of recommendation (if available) to Dr. Hirotaka Iwaki hirotaka@datatecnica.com. Review of applications will begin immediately and continue until the position is filled.",30+ days ago,
https://www.indeed.com/viewjob?jk=4e017d5b421606eb&from=web&vjs=3,470,Machine Learning Software Engineer,The TCT Group,"Columbia, MD","Seeking junior and mid-level Software Engineers to support the develop of machine learning applications. We seek self-starters capable of independent effort as well as participation on a small team. Experience with DoD processes, software environments and tools preferred, but not required.   Work will be performed in Columbia, MD.   Duties:    Develop software prototypes for Artificial Intelligence and Machine Learning (AI/ML) models  Utilize modern software automation tools in an agile process to develop production C++ and/or Java software for deployment of AI/ML models.  Develop test tools and Minimum Viable Products (MVPs) for AI/ML applications  Prepare and present engineering material within the peer review process and to customer as appropriate   Qualifications  Must be a U.S Citizen  BS or MS in CE, EE, Software Engineering, Mathematics or Physics.  Proficient with C++, Java, R, SQL, Python, and Scala  Ability to communicate effectively orally and in writing  Experience / knowledge with neural networks is a plus  Possess or have the ability to obtain DoD secret clearance   Preferred Qualifications:   Experience building, scaling, and optimizing ML systems  Experience building production-ready data pipelines that feed ML models  Experience with an industry recognized ML framework such as scikit-learn, PyTorch, Dask, Spark, or TensorFlow  Experience with data gathering and preparation for ML models  Experience designing, implementing, and scaling complex data pipelines for ML models and evaluating their performance   Competitive package of salary and benefits, including medical, dental, and vision coverage, a Safe Harbor 401(k) program, generous Paid Time Off (PTO), STD, LTD, life insurance, and tuition assistance for higher education. Prospective employees will receive consideration without discrimination because of race, creed, color, sex, age, national origin, or handicap. Equal Opportunity Employer.",2 days ago,
https://www.indeed.com/viewjob?jk=14658e619f82b0cb&from=web&vjs=3,470,,,,,,
https://www.indeed.com/viewjob?jk=41e04140286e2d6b&from=web&vjs=3,470,Data Scientist,Byte Systems,"Reston, VA","MUST be a US Citizen with a U.S. Government clearance - TS/SCI with Polygraph  NOTE:  Must have an active TS-SCI with poly. No sponsorships or upgrades are available. Submissions without this requirement will not be considered. H1-B holders will not be considered. Description This role designs and develops methods, processes, and systems to consolidate and analyze big data in both structured and unstructured formats. It develops and uses advanced data science algorithms and query techniques to model complex business problems and to automate the cleansing, integration, and analysis of datasets for mission needs. It actively engages with mission users, analyzing requirements and evaluating new data science-oriented technologies for capabilities to include Natural Language Processing, Machine Learning, predictive modeling, statistical analysis and hypothesis testing. Further, it works closely with users to develop and prototype new data science capabilities prior to enterprise adoption. It supports mission users by providing statistical knowledge in analyzing and interpreting ad hoc queries. Telework is possible, but varies on project.  Basic Qualifications:   Experience applying expert domain knowledge of data science algorithms, techniques, and methodologies.  Masters degree in Computer Science, Mathematics, or Statistics  5+ years experience with Python, R, or another scientific programming language.  Expert knowledge in one or more data science libraries such as scikit-learn, TensorFlow, PyTorch, etc.  Experience negotiating complex scenarios and challenges and devising courses of action to resolve situations with predictable outcomes.  Experience leading critical objectives where decision making is of utmost concern to the outcome.  Experience supervising mid-level data scientists and developers.   Preferred Skills:   Experience with AWS/C2S services  Candidate must have MS with 15-20 years of prior relevant experience or Doctorate with 13-16 years of prior relevant experience Candidate must have an active TS/SCI with polygraph.   Benefits:  5 week paid vacation + 10 gov't holidays 15% contribution to 401k LTD, STD disability and life insurance Paid health, dental, and vision for employee and family. $5000 annual training expense reimbursement Computer purchase plan",30+ days ago,
https://www.indeed.com/viewjob?jk=1b00b332cdee14b1&from=web&vjs=3,470,Senior Data Scientist,Walmart,"10780 Parkridge Blvd, Reston, VA 20191","Position Summary... What you'll do... We are looking for a Senior Data Scientist to add to The Store Associate Technology Data Science and Data Engineering Team. Are you a hardcore numbers person who would enjoy solving some of business’ toughest challenges by illuminating phenomena and opportunity held within one of the world’s largest data sets? The mammoth scale and volume of our global data is virtually limitless. As a data scientist, you will create insights that influence how we make decisions that have impact at an unprecedented scale. You will have the opportunity to do your best work while unlocking vast business opportunity by extracting key insights using a wide range of advanced statistical models and machine learning and translating results into goal-oriented business actions. Each day, you will be presented with a variety of new challenges and interesting projects that tap your interests and strengths. About the Store Associate Technology Data Science and Data Engineering Team: Our team is chartered with developing statistical and machine learning systems and building a robust platform to enable the application of data science to in-store technology. We work closely with each other, software developers from other teams, and the business stakeholders. Data scientists in our team participate in the full life cycle of model development, which spans from business problem discovery to model deployment and monitoring. You’ll sweep us off our feet if: You have consistently high standards, your passion for quality is inherent in everything that you do You’re an inquisitive, out-of-the box thinker who’s continually on the lookout for opportunities to improve and innovate data science solutions You have the courage to fail fast You have proven ability as a full stack data scientist who develops, optimizes, and scales models for the production environment You have proven industry experience of designing, leading, and managing large-scale data science projects and collaborating with data engineers You connect the how and why, using your knowledge of data science theories and methodologies to derive the best approach that is fit-for-purpose You have a very strong understanding of the fundamental concepts of popular statistical and machine learning models You’re experienced with general programing, statistical languages, and deep learning packages used to manipulate data and build statistical and machine learning models at a large scale, such as Python, R, Spark, PyTorch, Tensorflow, Keras, SQL, and SQL-like query languages for NoSQL databases You’re proficient using database technologies, distributed datastores, and cloud computer (e.g. GCP) You are organized and have excellent verbal and written communication skills and presentation skills You’ll make an impact by: Participating in the full life cycle of model development, which spans from business problem discovery, data discovery to model deployment and monitoring Working with business stakeholders to understand the business requirements and the data available to solve the corresponding problems Translating the business requirements to a problem that can be solved using statistical and/or machine learning techniques Building datasets from different sources for data analysis and model development, which will include wrangling, cleaning, and pre-processing data Conducting exploratory data analysis to understand the patterns and potential business insights exhibited in the data Creating data visualization to summarize the insights discovered during the data analysis and communicate them to internal team members and business stakeholders Developing statistical and machine learning models to solve business problems and derive actionable business insights Working with data engineers to test and validate training and production data pipelines, among other tasks Helping deploy models in various formats Deriving metrics for model performance monitoring and conduct continuous model performance monitoring (after deployment) Presenting insights discovered from data analysis and statistical/machine learning modeling and make recommendation based on the results to internal team members and business stakeholders Be proactive and take ownership of the projects and tasks assigned Providing and support the implementation of business solutions Collaborating with other data scientists and data engineers in our team Owning components of a data science project Coaching junior team members and share knowledge with the broader team Continuing to widen and deepen data science and engineering skillsets Living by our Company culture and values Adhering to model compliance with company policies and procedures, and supporting company mission, values, and standards of ethics and integrity The above information has been designed to indicate the general nature and level of work performed in the role.  It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. The full Job Description can be made available as part of the hiring process. Benefits & Perks Beyond competitive pay, you can receive incentive awards for your performance. Other great perks include 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, multiple health plans, and much more.  Equal Opportunity Employer Walmart, Inc. is an Equal Opportunity Employer – By Choice. We believe we are best equipped to help our associates, customers and the communities we serve live better when we really know them. That means understanding, respecting and valuing diversity- unique styles, experiences, identities, ideas and opinions – while being inclusive of all people.  Who We Are? Join Walmart and your work could help over 275 million global customers live better every week. Yes, we are the Fortune #1 company. But you’ll quickly find we’re a company who wants you to feel comfortable bringing your whole self to work. A career at Walmart is where the world’s most complex challenges meet a kinder way of life. Our mission spreads far beyond the walls of our stores. Join us and you'll discover why we are a world leader in diversity and inclusion, sustainability, and community involvement. From day one, you’ll be empowered and equipped to do the best work of your life. careers.walmart.com  We’re virtual Working virtually this year has helped us make quicker decisions, remove location barriers across our global team, be more flexible in our personal lives and spend less time commuting. Today, we are reimagining the tech workplace of the future by making a permanent transition to virtual work for most of our team. Of course, being together in person is an important part of our culture and shared success. We’ll collaborate in person at a regular cadence and with purpose. Minimum Qualifications... Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications. As permitted by applicable law, provide evidence of full vaccination as defined by CDC guidelines OR secure approval of medical or religious accommodation for the vaccination mandate., Option 1- Bachelor’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience in an analytics related field. Option 2- Master’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 1 years' experience in an analytics related field. Option 3 - 5 years' experience in an analytics or related field. Preferred Qualifications... Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications. Data science, machine learning, optimization models, Master’s degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch) Primary Location... 10790 PARKRIDGE DR. SUITE 200, RESTON, VA 20191, United States of America",7 days ago,"227,961 reviews"
https://www.indeed.com/viewjob?jk=6fcb741a44e84a83&from=web&vjs=3,470,"Data Scientist - Arlington, VA",D&Z Federal Division,"Arlington, VA 22202","Data Scientist  needed for a  contract to hire  opportunity with SOC’s client to work in  Arlington, Virginia.  US Citizenship with the ability to obtain a Secret Clearance is required for this position!  Responsibilities  Our client is currently seeking persons with knowledge of physical/mathematical phenomena and programming savvy. The Hazard Modeling Team within CBRNE Defense provides its customers with technical analyses as well as modeling capabilities to inform their preparedness and response planning efforts to mitigate risk to the United States or their company. Successful applicants will have the opportunity to make this Nation safer and better prepared.  Lead model development and data analysis activities concerning inhalation, ingestion, dermal, and radiation exposure hazards, response to CBRNE events, and decision support.  Perform rigorous mathematical and statistical analysis on large data sets.  Design and develop graphical user interfaces for mathematical models.  Direct code testing for accuracy and performance.  Collect, reduce, process, and present model input and output data.  Write reports of methods used and results obtained.  Qualifications  5 to 8 years of experience in modeling & simulation, statistical analysis, quantitative risk assessment, data science, or related field.  Education reflecting on of the following: o Bachelor’s, Master's, or Ph.D. in Physics, Physics engineering, Actuarial science, Mathematics, Biology, statistics, or Engineering with a minor, certificate, or emphasis in computer science or relevant work experience requiring computer programming. o Bachelor’s, Master's, or Ph.D. in Computer Science or Computer Science Engineering with a minor, certificate, or relevant work experience in in a scientific or mathematical field (e.g., statistics, data analysis, biology, engineering). At least one year of experience with project management or task leadership with proven ability to meet project deadlines on schedule and in budget.  Completed coursework in higher-level mathematics (e.g., calculus, differential equations, linear algebra).  Experience using object-oriented programming in C++, C#, Java, or similar to develop mathematical models.  Ability to learn and understand new programing languages and mathematical concepts.  Must be a U.S. Citizen with the ability to obtain and maintain a Secret DoD clearance.  Desired Qualifications  Knowledge of advanced statistics and/or probability.  Experience in modeling & simulation on a government program.  Significant programming experience in an object-oriented programming language (e.g., C++, C#, Java, or python. Matlab, LabVIEW, Mathcad, Mathematica would not be considered relevant experience).  Experience with JavaScript/HTML/CSS.  Experience with advanced data analysis techniques, such as machine learning, artificial intelligence, or natural language processing.  Employment Pre-requisites  The following requirements must be met to be eligible for this position: successful completion of a background investigation, drug urinalysis, and verified compliance with Executive Order 14042, Ensuring Adequate COVID Safety Protocols for Federal Contractors.  SOC, a Day & Zimmermann company, is an Equal Opportunity Employer, EOE AA M/F/Vet/Disability.  #DZFED",30+ days ago,
https://www.indeed.com/viewjob?jk=6ba06cbbc35a44e4&from=web&vjs=3,470,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, VA 22150","Connect Talent Solutions is a fast growing, innovative staffing firm offering direct placement, contract and contract to hire solutions. We are uniquely positioned and experienced to support your requirements from IT and engineering to general labor and customer service positions. At Connect, people are the center of our universe and we go to great lengths to ensure that our customers and candidates have the most enjoyable and informational hiring experience that will encourage and foster fruitful, long term relationships and careers. Job Description: As a Junior Data Scientist, you will work as part of a small team of data engineers, database developers and visualization specialists to analyze large sets of structured data, looking for anomalies and undiscovered correlations. You will combine analytic, Python, and R skills to discover and solve data problems obscured to the layman by the sheer volume of data, apply fuzzy matching and statistical analysis to find and deal with inaccurate data points or missing data, and work with data providers to correct their input feeds. You will use a variety of tools to profile and visualize data, developing reports, dashboards, and repeatable analyses for leadership.   Job Responsibilities:  Perform deep dive analysis into data sets and reports to identify problems or suspected issues with collected data.  Analyze business operations requirements for data, evaluate existing data quality, and recommend improvement opportunities.  Analyze output products to assure data quality and conformance to requirements.  Participate in continuous improvement efforts to increase available data quality and speed of delivery.  Participate on an Agile development team, using Scrum techniques, as a contributing development team member.  Qualifications Bachelor’s degree preferred, however, adequate work experience and training will be considered for a stellar candidate.  Agile development certifications preferred.   TS/SCI clearance required Desired Core Skills:  Good Python Scripting  SQL Scripting  MS Excel (e.g., vlookup, pivot tables , etc)  Time management skills and the drive to work with limited supervision within a small team  Ability to manage priorities across multiple project tasks  Preferable Secondary Skills:  Familiarity with Agile Scrum methodologies  Experience with analytic tools like Tableau, Kibana, or Alteryx,  Experience with relational databases like Postgres, SQL Server, Oracle, or MySQL  Jupiter Notebook  R Studio  Connect Talent Solutions is an Equal Opportunity Employer-Minorities/Females/Veterans/Individuals with Disabilities. Individuals with disabilities, including disabled veterans or veterans with service-connected disabilities, are encouraged to apply. Job Location: Springfield, VA",30+ days ago,
https://www.indeed.com/viewjob?jk=d2ff220d4db765fd&from=web&vjs=3,470,,,,,,
