URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=4bde2c9de8b97e8c&from=web&vjs=3,160,Lead Generator/Data Mining,"DME Delivers, LLC","2441 Bellevue Av, Daytona Beach, FL 32114","Job Summary  The Lead Generator Specialist is responsible for driving DME Delivers’ efforts to grow new customer acquisition across its various market segments. This role will directly align with Sales Leadership by building leads by extracting information from various locations on the internet to generate new qualified leads and nurture prospects into sales opportunities. This will involve comprehensive research, thorough attention to detail, grit and excellent communication skills. Duties / Responsibilities  · Strategize with Sales to develop and execute multi-channel campaigns and programs to generate leads and acquire target accounts across various channels that increase the marketing and pipelines. · Utilize web mining by searching through various web resources to gather vital information to generate leads. · Research prospect information given a variety of tools, including but not limited to: LinkedIn, ZoomInfo and a robust CRM. · Identify barriers to lead generation and solve them. · Deliver detailed reporting and metrics on activity results, campaign effectiveness and ROI; use data to make real-time adjustments and proactively identify trends and opportunities. · Manage customer relationship management (CRM) system. Enter new information, update existing information and general maintenance. · Maintain a good relationship with DME Delivers’ team members, providing thorough and timely communication, establishing clear expectations, and exercising flexibility. · Performs other related duties as assigned by supervisor. Required Skills / Abilities · Creative problem-solving strategies, including navigating ambiguity, analyzing data into actionable strategies and initiative to dig into unfamiliar tools and processes · A tenacious, flexible, diligent individual who enjoys the challenge of ‘opening doors’ at global brands · A smart, independent, hardworking individual who meets hurdles with a “can-do” attitude; goal-oriented and self-starter · Excellent verbal and written communication skills · Strong Microsoft Office Suite skills including Email, Excel and Word. · Strong business ethics and credibility. Education and Experience  · Experience in B2B SaaS marketing a plus but not required. · Experience in CRM and marketing automation, Zoom (webinars and meetings), Google Analytics and LinkedIn Ads a plus. · Proficiency: Google Suite (Gmail and Google calendar, Google Docs, Sheets, Slides and Forms), Microsoft Office (Word, PowerPoint, Excel) and Dropbox Job Type: Part-time Schedule: Day shift Work Location: One location Work Remotely: No Work Location: One location",,
https://www.indeed.com/viewjob?jk=d25e9bc94aef33e6&from=web&vjs=3,160,Data Analytics Product Owner,BankUnited,"Miami Lakes, FL 33016","SUMMARY:  The Data Analytics Product Owner under the direction of the Chief Data Analytics Officer will be responsible for delivering business value by defining and delivering best-in-class advanced analytics products to the LOBs and Corporate Functions. This role will entail working closely with business leaders to identify use cases in machine learning and artificial intelligence and business analytics, development of roadmap and execution plan that would support strategic business initiatives in customer acquisition, customer behavior, personalization, defining & delivering advanced data and strategic business & enterprise information architecture initiatives. In this role the Data Analytics Product Owner will collaborate extensively with cross-functional teams, promote advanced analytics and adoption across the enterprise. The Data Analytics Product Owner will be looked upon as a trusted partner and a visionary who can translate complex business problems and analytics findings into a simple and easy to understand language.   ESSENTIAL DUTIES AND RESPONSIBILITIES  include the following. Other duties and special projects may be assigned. Develop meaningful and practical analytics roadmap in collaboration the business leaders, business relationship managers and IT to ensure alignment to business strategy and best possible outcome for the organization  Conduct C-level workshops and meetings to align on business strategy and analytics strategy, develop roadmap aligned to the busines priorities, provide updates on progress made  Develop use cases for machine learning and artificial intelligence that drives targeted business outcomes  Provide strategic recommendations to maximize the value of Analytics Products via their creation, access and use of advanced analytics  Identify and drive process improvements  Maximize value derived from data and analytics by enriching and leveraging internal and external 3rd party data.  Work with the business analysts to document detailed business requirements, obtain level of effort, cost estimates, and develop business cases for initiatives  Collaborate with Business Relationship Managers to align with overall strategy for the LOB / Function  Deliver actionable analytics products and solutions that will influence business strategy in partnership with business unit leadership  Conduct fail-fast proof of concepts / pilot activities with key business users in support of advanced use cases  Proactively identify and remove dependencies or obstacles for the delivery team to avoid product delivery delays  Collaborate with analytics delivery team, directors, data scientists and data engineers and IT for delivery of the products  Willingness to roll up your sleeves and be a self-starter to do whatever is necessary; have owner mentality and an entrepreneurial drive - act like a start-up.  Develop deep expertise in banking products and services offered by the bank  Develop and track product backlog, prioritize, deliver, and track results and benefits post delivery  Foster development best practices within the team  Facilitate communication with cross-functional groups  Coordinates with the CDO and Information Security to define and document data flows and facilitate necessary controls for sensitive information in the organization  Lead and mentor other team members  Be a visionary in the analytics space to educate and guide the team through continuous learning, market scan, competitive intelligence  Develop and maintain product backlogs, prioritize, secure funding, and facilitate execution  Conduct roadshows of the products to create awareness and user adoption  Develop storyboards, clear and concise executive level PowerPoint presentations for communications  Develop and maintain stakeholder personas and communication plans  Develop and maintain Analytics COE information portals, newsletters, and publications about analytics products  Facilitate analytics working group sessions for knowledge sharing, training, and development  SUPERVISORY RESPONSIBILITIES  Supervises function, projects or services and/or one or more employees, as applicable.  Carries out supervisory responsibilities in accordance with the organization's policies and applicable laws.  Responsibilities include interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance coaching; rewarding and disciplining employees; addressing complaints and resolving problems.  EDUCATION and/or EXPERIENCE  College degree or equivalent management/work experience (At least 10 years), which includes practical experience in leading and delivering analytics at LOB or divisional level  10+ years of experience in delivering solutions / projects and a minimum 5 years of experience as a product owner or in a business relationship management capacity to collaborate with cross-functional teams to deliver solutions  Strategic thinking and technical aptitude with capacity to dive deep into technical programs Proven ability to identify, analyze, and solve ambiguous business problems independently with exceptional attention to detail  In-depth experience of designing and implementing business analytics solutions  Hands-on experience with implementing data and analytics management programs is preferred  Familiarity with data science concepts, as well as MDM, business intelligence, and data warehouse design and implementation techniques  Experience with AWS cloud and programming knowledge with python is desired  Experience with data visualization tools such as Tableau, Qlik, PowerBI, etc  Strategic planning skills to interpret business and technology requirements and develop practical roadmaps to deal with these drivers  Strong Communication skills will be required to translate complex data-related matters into business terms that are readily understood by colleagues The data architect should anticipate presenting analyses in person and in written formats  Ability to work independently and self-motivated  Strong customer service skills   #GoForMore",30+ days ago,190 reviews
https://www.indeed.com/viewjob?jk=7d80e479e4908c1f&from=web&vjs=3,160,Accenture - REPL Data Science Consultant,Accenture,"5201 Blue Lagoon Drive, Suite 250, Miami, FL 33126","Accenture - REPL Data Science Consultant Location:  Negotiable We are… We are a global collective of innovators applying the New every day to improve the way the world works and lives. New doesn’t mean being ahead of the curve; new is pushing forward the curve, riding the edge where the impossible meets the transformational and making it reality where it matters. Help us show the world what’s possible as you partner with clients to unlock hidden value and deliver innovative solutions. Empowered with innovative tools, continuous learning and a global community of diverse talent and perspectives, we drive success in a new business architecture that disrupts conventional practices. Our expertise spans 40+ industries across 120+ countries and impacts millions of lives every day. We turn ideas into reality. The data science team are part of the delivery consulting team, delivering a data science consulting offering across a wide portfolio of clients and services. As such, we are working on a broad spectrum of activities, ranging from algorithms development, data analysis and software development support. The Work… Data analysis using either an exploratory or hypothesis driven approaches. Predictive modelling using machine learning techniques such as generalized linear models and Bayesian inference, and Deep Learning. Work side-by-side with clients to provide bespoke data science consultations. Contribute to the development, and ongoing improvement of our in-house platforms. Provide data science expertise and support as required to the wider organization. Travel Note: For now, all Accenture business travel, international and domestic, is currently restricted to client-essential sales/delivery activity only.  Please note: The safety and well-being of our people continues to be the top priority, and our decisions around travel are informed by government COVID-19 response directives, recommendations from leading health authorities and guidance from a number of infectious disease experts.   Here’s what you need… Bachelor’s Degree or equivalent (12 years) work experience (If an, Associate’s Degree with 6 years of work experience) Minimum of 1 year experience with Machine Learning, R, Python or Power BI Minimum of 1 year experience in Data Analysis and Data Visualization Nice to have… Minimum of 1 year experience in a client facing role Strong related academic background i.e. Masters level degree in numerate subject, preferably data science Theoretical knowledge of classical statistical methods, bayesian learning, and neural networks, and its application to machine learning techniques Demonstrable experience with RStudio or Jupyter notebooks. Keen to utilize up-to-date software development practices. Experience with Tensor Flow or Hadoop Experience with high level software language such as Scala, Java or C++ Experience of working in an Agile development environment Experience of software containers e.g. Docker Comfortable working with different data science tools As required by the Colorado Equal Pay Transparency Act, Accenture provides a reasonable range of minimum compensation for roles that may be hired in Colorado. Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, and specific office location. For the state of Colorado  only , the range of starting pay for this role is $90,288 - $148,900  and  information on benefits offered is here. What We Believe We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment. Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities.  Read more here Equal Employment Opportunity Statement Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation. All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law. Accenture is committed to providing veteran employment opportunities to our service men and women. For details, view a copy of the  Accenture Equal Opportunity and Affirmative Action Policy Statement . Requesting An Accommodation Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired. If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at  1 (877) 889-9009 , send us an  email  or speak with your recruiter. Other Employment Statements Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States. Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration. Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process. The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",30+ days ago,"20,975 reviews"
https://www.indeed.com/viewjob?jk=7e41fbbb75d33c16&from=web&vjs=3,170,Finance Data Scientist,Blockchain.com,Florida,"Blockchain.com is the world's leading software platform for digital assets. Offering the largest production blockchain platform in the world, we share the passion to code, create, and ultimately build an open, accessible and fair financial future, one piece of software at a time.  We are growing the Data Team of our Finance Operations. We are looking for a Data Scientist who is looking to roll up their sleeves to help build the infrastructure and processes that will support growth in a fast, yet controlled manner. Reporting to and working with the Global Group Controller, this person is comfortable and confident in a high growth company where structure, procedures, and policy are in development, familiar with a fast pace. and is able to prioritize in building a scalable, efficient data function.  WHAT YOU WILL DO   Support the development of procedures for data architecture and governance, including reconciliation, gap analysis  Identify relationships and trends of historical and real-time transactions against crypto and cash movements, between entities in Blockchain.com and external parties.  Support Management business decisions with complex data retrieval, transformation, and analysis  Develop and deliver regular and ad-hoc business performance analysis and reporting including cost basis, profitability, financial statement  Enhance overall performance through automation, visualization, mathematical or statistical approach  Work collaboratively across product owners, finance, and other functional teams within Blockchain.com  Manage multiple priorities across a mix of ad hoc and operational projects  Process large amounts of data for statistical modelling and graphic analysis.  Develop data mining methodologies, including OCR, NLP, logistic regression, random forest, xgboost and Bayesian networks  Performs related duties as assigned or requested.   WHAT YOU WILL NEED   The foremost quality for this position or any position at Blockchain.com is integrity.  Minimum of 3 years experience  Degree in Computer Science, Information Systems Management, Business or related discipline.  Proficiency with data processing and data warehouse / big data environments.  Proficiency with designing data models, defining data architecture schema etc.  Experience in financial services/investment management.  Strong presentation and communication skills when working with internal teams and external vendors.  Excellent attention to detail and ability to work as a team to identify process improvements.  Capacity to meet deadlines while maintaining quality standards and effective time management  Adapt to a fast-paced continuous learning environment and show a willingness to take on additional responsibility where required.   COMPENSATION & PERKS   Unlimited vacation policy; work hard and take time when you need it.  Apple equipment.  Full-time salary based on experience and meaningful equity in an industry-leading company   APPLICATION   Resume/CV and LinkedIn profile.  Your favorite GIF.",30+ days ago,
https://www.indeed.com/viewjob?jk=cb3be3b23d803d49&from=web&vjs=3,160,Senior Data Scientist,CAE Inc.,"12249 Science Dr, Orlando, FL 32826","Role and Responsibilities  Summary In the role of Senior Data Scientist, the ideal candidate will use her/his analytical and statistical skills in support of our Government customer to define and design structured and unstructured data in a cloud environment. Essential Duties and Responsibilities Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Provide data science and data engineering support to develop application and frameworks that operate on large datasets. Develop security compliant user management framework for multi-tenant big data platform Integrate the end to end data pipeline to take data from source systems to target data repositories ensuring the quality and consistency of data is maintained at all times Implement high performant data ingestion pipelines Perform exploratory data analysis and statistical modelling with high quality data handling techniques Maintain metadata layer, database ontology, monitor overall database standards and procedure, and integrate systems through database design Apply non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases. Utilize strong technical and computational skills coupled with the ability to code, design, develop, and deploy sophisticated applications using advanced unstructured and semi-structured data analysis techniques. Utilize advanced tools and computational skills to interpret, connect, predict and make discoveries in complex data and deliver recommendations. Develop documentation to support objectives of operationally focused team members. Effectively Interface with Customer personnel at varying organizational levels Must be self-motivated and expected to work independently with minimal supervision Possess excellent communication skills to effectively report status on tasks and assignments and to support business development team in the production of winning proposals Must be able to generate preliminary and detailed designs as required for enhancements or modifications to existing designs, requiring the application of current industry design concepts and utilization of basic technical writing skills. Must be able to perform effectively as part of the project ""team"". Qualifications and Education Requirements BS degree in Engineering discipline, Computer Science, Management Information Systems, GIS, or related field required. Minimum of 8 years’ professional experience in data science, statistics, or predictive modeling, minimum 5 years with an advanced degree Proven success working with large and complex datasets Minimum of three years team lead experience Experience working with technologies such as RDMS, NoSQL, or Graph databases, machine learning and/or Apache Kafka Proven success working with and mining Geospatial datasets Minimum 6 years’ experience in programing languages such as R, SQL, Python, and/or SAS Proficiency with Cloud Platforms such as Azure, AWS, etc. Experience with Hadoop, TensorFlow and/or SageMaker Experience with MATLAB Technical writing and presentation skills, technical effort and cost estimating, budgeting/scheduling, and task performance management. Ability to write reports, business correspondence, technical specifications, proposals, and procedure manuals Ability to effectively prepare and present information and respond to questions from senior management, peers, and customers Ability to apply principles of logical or scientific thinking to a wide range of intellectual and practical problems Preferred Skills Advanced degree Top Secret Security Clearance Formal training/degree in statistics, applied math or related field Security Responsibilities Must comply with all company security and data protection / usage policies and procedures. Personally responsible for proper marking and handling of all information and materials, in any form. Shall not divulge any information, or afford access, to other employees not having a need-to-know. Shall not divulge information outside company without management approval. All government and proprietary information will be accessed and stored electronically on company provided resources. Incumbent must be eligible for DoD Personal Security Clearance Work Environment This job operates in an office environment and manufacturing facility This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines Moderate to high levels of stress, associated with technical, schedule, and customer issues are to be expected with this position Physical Demands  The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Ability to sit for long periods of time Ability to climb stairs Ability to travel CONUS/OCONUS Ability to work overtime and on/off sifts as required Other Duties Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for their job. Duties, responsibilities, and activities may change at any time with or without notice. CAE USA Inc. is an EOE/AA employer and gives consideration for employment to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. If you’d like more information about your EEO rights as an applicant under the law, please click here  EEO is the Law poster  . PAY TRANSPARENCY NONDISCRIMINATION PROVISION The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. #LI-LS1 Position Type  Regular CAE thanks all applicants for their interest. However, only those whose background and experience match the requirements of the role will be contacted. Equal Employment Opportunity At CAE, everyone is welcome to contribute to our success. With no exception. As captured in our overarching value ""One CAE"", we’re proud to work as one passionate, boundaryless and inclusive team. At CAE, all employees are welcome regardless of race, nationality, colour, religion, sex, gender identity or expression, sexual orientation, disability or age. The masculine form may be used in this job description solely for ease of reading, but refers to men, women and the gender diverse.",30+ days ago,263 reviews
https://www.indeed.com/viewjob?jk=078fbd2ff1e571b0&from=web&vjs=3,160,Solutions Manager - Data Cloud,Zeta Global,"Tampa, FL","Zeta is seeking a Solutions Manager to join our growing Data Cloud division. This is a key role in leading creative solutioning for top tier clients, delivering and presenting reports to internal and external stakeholders and development of new Opportunity Explorer modules. The role helps support the product development within the Data Cloud bringing innovative ideas to our clients through operational excellence. You will be able to rapidly internalize complex concepts and build a foundation of cross-functional knowledge enabling you to create and implement unique solutions, differentiating Zeta in the marketplace.  The ideal candidate will bring a unique blend of analytical and marketing/media expertise together with the aptitude to think tactically and execute both as an independent contributor and part of a larger team. This role requires client-facing skills and the ability to convey complex concepts in a concise, easy-to-understand manner across stakeholders at various levels and disciplines. Responsibilities Creative solutioning leveraging Zeta assets and processes to support unique client use cases from ideation to execution and iteration Deliver Insight Reports Coordinate, aggregate, analyze and present customer data analysis Support in day-to-day operations across email, programmatic and interactive channels including: Audience Curation and Delivery Custom Data Onboarding Manage Request Queues across Multiple Product Lines Liaison between Data Cloud team and other Zeta Business Units Data Cloud Supported Services Troubleshooting Maintain Data Cloud operational reporting Data Cloud Tool Usage Reporting, Growth Metric Reporting, Data Cloud HQ/Executive Summary Metrics. Pixels Down Reporting and DSP Audit SME in Data Cloud solutions and capabilities and first layer of support for internal team member inquiries Train internal team members to utilize Data Cloud tools and processes (OE, Zync Admin, Audience Taxonomy, Navigating ZMP accounts, Jira Processes) CustomerPulse for Digital support as we scale to more clients Coordinate projects across divisions and with virtual team members General Skills Highly organized, supporting multiple business units simultaneously Ability to prioritize projects/tasks with limited resources in a dynamic environment Analytical, specifically comfortable with quantitative analysis Creative problem-solver Thrives in a challenging, fast-paced entrepreneurial environment with real-time impact on day-to-day business Collaborative but also has the ability to work independently Enthusiasm to continuously learn and explore new and innovative areas of the business Experience as a project manager Technical Skills Advanced Excel Proficiency VLookups, Pivot Tables, Logic-based queries, data cleaning & filtering Strong Tableau skills Ability to clearly and concisely present client-facing analysis Familiarity with PPT Strong writing skills Preferred Skills Familiarity with email, programmatic and interactive business lines Data Science and Machine Learning comprehension Product management skills a plus Diversity, Equity and Inclusion at Zeta We are committed to building diverse teams with different identities, backgrounds and perspectives. We believe in providing a forum to connect at Zeta, to learn and celebrate differences. Our mission is to ensure we have an environment that enables a deep level of trust and belonging, so everyone feels invited to bring their whole selves to work, and to increase both diversity at Zeta as well as in the technology industry. Zeta considers applicants for employment without regard to, and does not discriminate on the basis of an individual ’ s sex, race, color, religion, age, disability, status as a veteran, or national or ethnic origin; nor does Zeta discriminate on the basis of sexual orientation or gender identity or expression. #LI-MC1 About Zeta Global Zeta Global is a data-powered marketing technology company with a heritage of innovation and industry leadership. Founded in 2007 by entrepreneur David A. Steinberg and John Sculley, former CEO of Apple Inc and Pepsi-Cola, the Company combines the industry’s 3rd largest proprietary data set (2.4B+ identities) with Artificial Intelligence to unlock consumer intent, personalize experiences and help our clients drive business growth. Our technology runs on the Zeta Marketing Platform, which powers ‘end to end’ marketing programs for some of the world’s leading brands. With expertise encompassing all digital marketing channels – Email, Display, Social, Search and Mobile – Zeta orchestrates acquisition and engagement programs that deliver results that are scalable, repeatable and sustainable. Zeta Global Recognized in Enterprise Marketing Software and Cross-Channel Campaign Management Reports by Independent Research Firm https://www.prnewswire.com/news-releases/zeta-global-opens-ai-data-labs-in-san-francisco-and-nyc-300945353.html   https://www.prnewswire.com/news-releases/zeta-global-recognized-in-enterprise-marketing-software-and-cross-channel-campaign-management-reports-by-independent-research-firm-300938241.html",30+ days ago,32 reviews
https://www.indeed.com/viewjob?jk=2d7c8a7086357765&from=web&vjs=3,180,,,,,,
https://www.indeed.com/viewjob?jk=4c8886881673b4d9&from=web&vjs=3,190,"Associate Director, Clinical Data Science",AGTC,"Alachua, FL 32615","Mission As part of the Data Science group the Associate Director, Clinical Data Science (CDS) is responsible for the life cycle of clinical data from collection to delivery for statistical analysis in support of the AGTC portfolio. They focus on subject protection as well as the integrity, reliability, and credibility of trial data. The CDS also enables data driven Clinical Research approaches and can generate knowledge and insights from clinical data to support AGTC imperatives.   Reporting Relationship  This position reports to the Director, Clinical Data Science or designee Duties and Responsibilities Provides operational oversight and expertise to the Clinical Data Science function Responsible for timelines and quality performance Provide knowledge and know-how to solve problems and create solutions Identifies and manages departmental personnel needs; hires, trains, develops and motivates clinical data science personnel Provide knowledge and know-how to mentoring relationships within a team Serve as subject matter expert for one or more clinical trials assuming responsibility for all data management (DM) activities including selection and application of data acquisition standards, data management plan, selection of quality risk indicators, third party study data due diligence Ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF, using an Electronic Data Capture (EDC) system and/or other data collection systems Serve as a technical resource to the study teams for DM standards, tools, data provisioning, and reporting Partner cross-functionally, as required, with other departments, such as; Research/Business/CDO units, and any external DM service provider to deliver high quality data management for all studies as assigned Proactively drives quality and efficiency to meet timeline and milestones for data management, ensuring scientific and operational excellence in support of strategic imperatives and in collaboration with cross functional study team(s) Ensure work carried out by DM providers is in accordance with applicable SOPs and working practices Ensure the required study-specific DM documents in the Trial Master File (TMF) are of high quality and are filed contemporaneously Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring, data cleaning, e-data processing, data visualization, data access, and database lock Other job duties as assigned This job description is subject to change at anytime   Educational Qualifications  Bachelor’s degree Additional Qualifications Minimum of eight (8) years of data management experience required Experience with EDC systems Knowledge of CDISC CDASH standards Experience in clinical data management activities in a Biopharmaceutical or CRO setting Knowledge of all phases of clinical trials Strong Project and Risk Management background Strong verbal and written communication skills Detail oriented, communicative, and dedicated to excellence Knowledge of clinical research, FDA & ICH, GCP, GCDMP, and related regulatory requirements Familiarity with MedDRA/WHO-Drug Proficiency in the use of Microsoft Office Suite of tools (Outlook, Word, Excel, etc.) • Experience with programming languages preferred • CRO and vendor oversight experience preferred  Experience using data visualization tools (e.g. Spotfire, jReview) preferred   Physical Requirements  Physical demands: (check one) sedentary (< 10 lbs.) light work (< 20 lbs.) medium work (< 50 lbs.) heavy work (< 100 lbs.) very heavy work (> 100 lbs.) Physical activity: (check all that apply) repetitive motion balancing stooping lifting climbing kneeling/crouching crawling reaching standing typing/grasping walking pushing/pulling hearing Visual acuity: reading, writing, preparing/analyze data, transcribing Working conditions: indoor office environment and some travel required   Supervisor Responsibilities  • This position requires previous supervisory experience",30+ days ago,2 reviews
https://www.indeed.com/viewjob?jk=fbc954b5af6bafcd&from=web&vjs=3,160,,,,,,
https://www.indeed.com/viewjob?jk=80713a6c0a14d7cf&from=web&vjs=3,170,Data Scientist - Junior,Lukos,"5813 S Macdill Ave, Tampa, FL 33611","Data Scientist - Junior   Minimum Qualifications Summary   Certification & Education Bachelor’s Degree in Economics, Finance, Statistics, Mathematics, Computer Science, Management Information Systems, Engineering, Business Analytics disciplines, or related area.   Experience  3+ years of experience with data quality analysis, statistical analysis and/or modeling, financial or cost analysis, internal controls, and/or external/internal financial audit  Experience mining and analyzing electronic data with competency in one or more of the following: SAS, SQL, SPSS, R, Python, ACP, IDEA Tableau, MATLAB, Visual Basic, Business Intelligence, Hadoop or Alteryx  Experience with JavaScript Object Notation (JSON) and Application Programming Interface (API)  Experience in Data Cleansing and Data Engineering   Job Objective  The purpose of this requirement is to establish the organization’s analytical, statistical, and programming capabilities to collect, analyze, and interpret large data sets to develop data-driven solutions to difficult strategic challenges.  Responsibilities  Makes value out of data by asking the right questions to design the framework of the exploratory process.  Processes and cleans various data streams. Integrates and stores data from initial investigation through exploratory data analysis.  Engineers and builds AI tools that automate cross-functional team processes within the organization.  Generates data visualization to inform and support senior leader decision-making.  Minimum Job Requirements/Technical Requirements  Experience using data-oriented programming languages and visualization software.  Experience applying data mining, data modeling, natural language processing, and machine learning.  Experience working as a member of a cross-functional team.  Experience building tools to automate data collection.  Demonstrates working knowledge of statistics.  Possess good technical writing skills.  Experience with machine learning and AI  Excellent attention to detail   Education & Certification  Bachelor’s Degree in Economics, Finance, Statistics, Mathematics, Computer Science, Management Information Systems, Engineering, Business Analytics disciplines, or related area.  Security Clearance  Active DoD SECRET Clearance is required   Work Location  Tampa, FL  About Lukos  Lukos delivers professional services to the Department of Defense. Lukos has been one of the most successful and most diversified support companies for US Special Operations Command and its components for over a decade. Since our founding, we have grown to support all military services and multiple federal civilian agencies.  About Our Name: Lukos is ancient Greek for “wolf”. The characteristics of the wolf match our approach to national security. The wolf is known for cunning, aggression, patience, and teamwork. An individual wolf is smart, strong, and resilient, but the true strength of wolves is their ability to work together as a wolfpack. Kipling said it best in The Law of the Jungle.  ""For the strength of the pack is the wolf, and the strength of the wolf is the pack.""  Lukos is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, disability, or national origin.",28 days ago,14 reviews
