URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=8e8cda1de59fc1e6&from=web&vjs=3,10,Data Scientist,ddms,"Saint Paul, MN","Job Code: RFK20211118-099 Location: Saint Paul, Minnesota Office (remote positions considered) Posted: November 18, 2021 Do you want to work with smart people, cutting edge technology with a growing company that helps to improve the environment through data insights? ddms is an environmental data company obsessed about extracting deep insights hidden within the data. As the Data Scientist, you will focus on two primary high-level challenges 1) work with valued ddms clientele to design and generate data valuable data insights utilizing cutting edge data science techniques and technology and 2) develop and grow ddms’ internal data intelligence practice area. The Data Scientist will interface frequently directly with ddms clients to establish data problem statements then perform data interrogation, visualization and insight delivery solutions. Internal to ddms, the Data Scientist will collaborate with the CTO, data professionals and subject matter experts within ddms to establish, oversee and drive best practices that relate to data interrogation, visualization and insight delivery. This includes identifying and leveraging external technologies, optimization of internal data workflows and leadership and training among the staff. The Data Scientist will also lead use of these techniques against internal ddms systems and data to discover insights within ddms’ business data. The Data Scientist works in collaboration with project teams and stakeholders (e.g., project/product managers, business and data analysts, software development team, and clients), and as such must have excellent communication skills including the ability effectively empathize, listen, elaborate and collaborate. This position offers flexible work from home or hybrid work environment and is a great opportunity for a positive and capable leader to bring impactful and meaningful software to the world. Responsibilities include:  Collaborate with clients and leaders within ddms to clearly define problem statements and design solutions that achieve and deliver insights. The Data Scientist will also drive associated ddms’ proven process (e.g., listen, solve, implement, and empower) and promote iterative agile processes. In collaboration with the CTO and others, research and select data integration tools and techniques, create policy and procedures for analysis and collection of data, and develop associated best practices and staff training. The Data Scientist will engage in the greater data science community on behalf of ddms to contribute to the evolving practice area and also to attract and recruit the best talent to grow ddms’ practice area. Contribute towards an environment that fosters and rewards creative value-based thinking and associated actions in a manner that adheres to corporate security and best practice policies. Be vigilant in identifying, communicating and eliminating waste of time (waiting), delivery, over processing, inventory (resources), movement and defects throughout the data processing, analysis and reporting process consistent with Lean principles. Collaborate with business analysts and developers to enhance Project Portal through data interrogations, creation of visuals and identification of growth potential. Requirements:  3+ years of experience with data science practice including creation of problem statements, analysis execution and insight delivery. 7+ years of experience with programming, statistics, engineering or environmental science. Experience with data analytical tools including python, R, machine learning, AI and visualization platforms Experience with relational databases (e.g., Microsoft SQL Server and MySQL) Excellent verbal and communication skills Wicked smart. Preferred:  Bachelor’s degree in computer science, mathematics, social science, economics, physical science, engineering or similar. Domain experience in environmental science, remediation and or climate sustainability. Experience with AWS and Azure data science tools Experience with delivering software projects using Agile / Scrum methodologies Experience with geo-spatial technology Job Type: Full-time",,13 reviews
https://www.indeed.com/viewjob?jk=0bcb7f4ba296ce47&from=web&vjs=3,10,Data Scientist,"Entegris, Inc.","Chaska, MN 55318","Company Overview and Values: Why work at Entegris? Lead. Inspire. Innovate. Define Your Future. Not everyone who works for a global company shares the same background, experiences and perspectives. We leverage the differences of our employees to bring new ideas to the table. Every employee throughout the company is encouraged to share input on projects and initiatives. Our decision making process is truly a collaborative effort as we realize there are leaders at every level of the organization. We put our values at the core of how we operate as an organization — not just when it’s convenient, but in a lasting and meaningful way. We want the time and energy you spend here to have a positive impact on your life inside and outside of the office. Entegris is a values-driven culture and our employees rally around our core PACE values:  P* eople* A* ccountability* C* reativity* E* xcellence* The Role: The core purpose is the mission of the job – why it needs to be filled and how it fits into the organization. By narrowly defining the Core Purpose, you’re able to define what’s needed to solve the existing business challenge(s) Entegris’ Quality team is looking for a talented individual who is passionate about crafting, implementing, and operating analytical solutions that have direct and measurable impact to Entegris and its customers. In this role you will: What are the expected outcomes? What must this role get done in order to meet your business objectives? Define “what success will look like.” * Define, lead, and project manage by bringing together/interpreting internal and external data to produce insightful findings matched to business requirements. Expected to pull information from various sources (supplier, manufacturing, test) and generate value and better understanding of the data for non-technical and technical stakeholders Analyze large amounts of information to discover trends and patterns Undertake preprocessing of structured and unstructured data Present complex information using data visualization techniques through dashboards and reporting. Ability to dig-in, understand the data, and to use creative thinking and problem-solving skills to design scalable and robust solutions Traits we believe make a strong candidate: What are the Position Specific Competencies? Define the skills/competencies necessary to do the job. These should tie directly back to the purpose and outcome. Experience in mining insights from large datasets, translating business needs into data science use cases and providing answers using data and statistical methods. Strong communication skills and the ability to explain difficult analytical methods to technical and business stakeholders.. Bachelors or Master's degree or higher in Computer Science, Statistics, Math, Data Science, or other Engineering & Scientific fields with a significant quantitative component with 5-7 years of relevant experience in data science and engineering. 3+ years of experience with database technologies (SQL or others) in querying, creating databases, stored procedures, etc Familiarity with BI tools like Power-BI Familiarity with general purpose programming language like C#, C++, etc. Your success will be measured by: Success for the role is not defined solely on the outcome of a project but rather a combination of the results and  how  these results were achieved. Describe the PACE value competencies that are required. Your high degree of accountability and integrity while achieving the best results possible; Your ability to actively seek solutions to problems and willingness to share your ideas with your team; Your demonstrated interest in continuing to learn as well as improve processes; Your ability to adapt to change and work under pressure while keeping your safety, quality and efficiency focus. What we offer::Our total rewards package goes above and beyond just a paycheck. Whether you’re looking to build your career, improve your health, or protect your wealth, we offer generous benefits to help you achieve your goals. Very Competitive total compensation plans. A 401(K) plan to help you plan for your future with an impressive employer match that’s all yours- no vesting! Great health, dental and vision insurance packages to fit your needs to ensure you’re happy and healthy. A progressive PTO policy that empowers our employees to take the time they need to recharge! At Entegris we are committed to providing equal opportunity to all employees and applicants. Our policy is to recruit, hire, train, and reward employees for their individual abilities, achievements and experience without regard to race, color, religion, sexual orientation, age, national origin, disability, marital or military status. ENT789 #LI-JL1 Location: 117 Jonathan Blvd N, Chaska, MN 55318 Job Type: Full-time",,213 reviews
https://www.indeed.com/viewjob?jk=c047709190784fda&from=web&vjs=3,10,Senior Data Science Analyst - Center for Digital Health - Remote,Mayo Clinic,"Rochester, MN 55903","Why Mayo Clinic  Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2020-2021) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you’ll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you’ll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!  Mayo Clinic offers a variety of employee benefits. For additional information please visit Mayo Clinic Benefits. Eligibility may vary.   Position description The Artificial Intelligence Innovation and Enable team within the Center for Digital Health at Mayo Clinic is looking for Senior Data Science Analysts. We are building a team of about 20 talented data science and implementation analysts to develop and implement AI models into production use and will serve as a central resource to support or supplement areas on their AI projects. These could be in analytics, finance, clinical care or other domains across the Mayo Clinic enterprise.  Senior Data Science Analysts have advanced expertise in AI, using machine learning, deep learning, neural networks, decision trees, clustering, or pattern recognition, and the data science methods and mathematical theories underlying these tools used to analyze data. They take direction from Data Scientists, faculty and Principal Data Science Analysts. Preferred candidates have knowledge of healthcare data types, topics, and scientific challenges and approaches.  You will work with informaticians and clinicians at Mayo to develop and deploy applications to bring AI and analytic solutions to nontechnical users, often at the point of care. You may need to design and develop scripts or software applications to support data management, data extraction, data analysis, and AI as required. You may provide consultative services to departments/divisions.  CDH2021   Qualifications  A Bachelor’s degree in a relevant field such as engineering, mathematics, computer science, health science and at least 12 graduate level semester hours in domain-relevant sciences or seven years or more of data science and AI experience. The preferred candidate will possess a PhD or Master’s degree with one year experience in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative field and a minimum of one year of professional or research experience in data.  The successful candidate will need to have both technical and business background/experience along with strong leadership skills. Good written and oral communication skills are required. Expertise in the use of scientific computing and data management packages. Ability to prioritize, organize, and delegate various tasks on projects. Demonstrated initiative in administration, education (seminars, training), software development, and technical reports. Demonstrated success in project management and communication skills.   Additional qualifications  Demonstrated ability to develop predictive and prescriptive models on large-scale datasets to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques. Demonstrated ability to provide consultative services to departments/divisions and committees from any Mayo entity requesting assistance is preferred. Demonstrated application of several problem-solving methodologies, planning techniques, continuous improvement methods, project management methods, and analytical tools and methodologies (e.g. machine learning, statistical packages, modeling, etc.) required. Incumbent must have ability to manage a varied workload of projects with multiple priorities and stay current on healthcare trends and enterprise changes. Strong interpersonal skills to include presentation, negotiation, persuasion, and written communications skills are required. Strong time management skills also are required. In addition, requires strong analytical skills, consulting skills, ability to identify and recommend solutions, advanced computer application skills and a commitment to customer service. Experience with data modeling and date exploration tools.   Exemption status  Exempt   Compensation Detail  Required education, experience, and tenure may be considered along with internal equity when job offers are extended. The salary range every 2 weeks is approx. $3,964.80-$5,748.80 based on a full-time position.   Benefits eligible  Yes   Schedule  Full Time   Hours / Pay period  80   Schedule details  M-F, daytime hours. 100% remote role, candidate can work anywhere in the U.S.   Weekend schedule  N/A   Remote  Yes   International Assignment  No   Site description  Mayo Clinic is located in the heart of downtown Rochester, Minnesota, a vibrant, friendly city that provides a highly livable environment for more than 34,000 Mayo staff and students. The city is consistently ranked among the best places to live in the United States because of its affordable cost of living, healthy lifestyle, excellent school systems and exceptionally high quality of life.   Recruiter  Laura Percival   EOE  As an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.",Today,"2,397 reviews"
https://www.indeed.com/viewjob?jk=3146e2ac2a352b19&from=web&vjs=3,10,Data Scientist,Milliman,"5800 W 84th St, Minneapolis, MN 55438","Job Details  Description  The Data Scientist position will assist in completing projects related to health insurance and long-term care insurance for the Minneapolis Health and Life practice, using predictive modeling and other powerful analyses to support any of our clients’ needs.  Detailed Description  Independent for over 70 years, Milliman delivers market-leading services and solutions to clients worldwide. Today, we are helping companies take on some of the world’s most critical and complex issues, including retirement funding and healthcare financing, risk management and regulatory compliance, data analytics and business transformation.  Through a team of professionals ranging from actuaries to clinicians, technology specialists to plan administrators, we offer unparalleled expertise in employee benefits, investment consulting, healthcare, life insurance and financial services, and property and casualty insurance.  Who We Are  The Minneapolis Health and Life practice is composed of healthcare and long-term care insurance professionals who provide our clients with industry-leading consulting services. We also develop and maintain innovative products that complement our consulting services. We are an expanding group with experience leading the way in industries that continuously change and evolve. Our office encourages an open and collaborative work environment to help our professionals grow and thrive.  The Department/Team  The data analytics and machine learning team is an emerging group involved in work that supports all areas of the practice. The analyses and techniques used are cutting edge while providing clients with accurate and easily interpreted business results. Employees balance working independently and collaborating with other team members on a variety of projects concurrently. Data scientists and subject matter experts work closely together to ensure solutions are both statistically rigorous and solve the correct problem for the client.  Role  You will:   Process data for predictive models and visualization,  Develop data visualizations,  Develop tools and code to be used by others with limited programing experience,  Create models for analyzing and predicting various risks,  Evaluate candidate models based on predictive power, ease of implementation, and other criteria,  Assist in R&D and marketing efforts to grow the business, and  Check other’s work for technical accuracy.   Qualifications  Required:   A college degree in a STEM related discipline such as actuarial science, mathematics, data science, statistics, computer science, or other quantitative field,  Fluency in R, Python, or other querying languages like SAS and SQL,  Demonstrated ability to summarize, explore, and manipulate large data sets,  Able to employ a variety of supervised and unsupervised machine learning methods, and  GPA 3.0+.   Desired:   0-2 years of experience in healthcare, insurance, or a related field,  Master’s or PhD,  Excellent communication skills,  Curiosity and self-direction,  Good understanding of statistics,  Good Data Wrangling skills,  Experience with state management and version control tools such as Docker and Git,  Knowledge of large-scale machine learning tools/platforms such as Databricks,  Experience with cloud computing, and  GPA 3.5+.  Milliman Benefits  At Milliman, we focus on creating an environment that recognizes – and meets – the personal and professional needs of the individual. We offer a competitive benefits package which includes:   Medical, dental and vision coverage for employees and their families, including eligible domestic partners.  A 401(k) plan with matching program  Paid Parental Leave up to 12 weeks  Profit sharing as a discretionary contribution to employees’ retirement accounts  Paid Time Off (PTO) starts accruing on the first day of work and can be used for any reason.  Adoption assistance  Milliman covers 100% of the premiums for life insurance, AD&D, and both short term and long term disability coverage  Flexible spending accounts allow employees to set aside pre-tax dollars to pay for dependent care, transportation and applicable medical needs  Competitive starting salary  Opportunity to earn end-of-year bonus  Business casual work environment with free covered parking   This position will be based out of the Milliman office in Minneapolis, MN. Applicants must be willing to work onsite in the Milliman office unless other arrangements are agreed to.  Qualifications  Education  Required  Bachelors or better in Mathematics or related field.  Experience  Preferred  Less than 2 years:  Experience in healthcare, insurance, or a related field Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities  The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",30+ days ago,125 reviews
https://www.indeed.com/viewjob?jk=b3d17888d2f8bc78&from=web&vjs=3,10,,,,,,
https://www.indeed.com/viewjob?jk=c9a05026c4032f1d&from=web&vjs=3,20,Sr AI Scientist - Operations Planning (Stochastic Optimization),TARGET,"7000 Target Pkwy N, Brooklyn Park, MN 55445","JOIN US AS A SR AI SCIENTIST – OPERATIONS PLANNING Join Target AI team where you can help us define and shape what the future of retail would look like. Let’s mine the right data to derive actionable insights that drive value across the global enterprise! In Target’s hyper-growing Data Science and AI team, the Sr AI Scientist will contribute as follows: Anticipates future business needs and identifies opportunities for complex analysis Gathers and analyzes data to solve and address highly complex business problems and evaluate scenarios to make predictions on future outcomes and support decision making Designs and drives the creation of new standards and best practices in the use of statistical data modeling, big data and optimization tools for Target Use your skills, experience and talents to contribute to groundbreaking thinking and visionary goals. As a Sr AI Scientist, you’ll take the lead as you: Realize solutions to business problems using data analysis, data mining, optimization tools, and machine learning/deep learning techniques and statistics Deploy data-science and technology-based algorithmic solutions to address business needs Produce large scale implementations of: Linear, Non-Linear and Generalized Linear models and their extensions, including Hierarchical and Bayesian variants; Survival models; Spatial and Time-series models; Machine Learning algorithms such as Neural Networks; Support Vector Machines, and so on. Requirements: M.S in Computer Science, Math, Statistics, Physics, Economics, Operations Research or related quantitative field 3+ years of experience deploying algorithms in a production environment Strong engineering mindset and exposure to software engineering principles, Agile methodologies, data pipeline engineering, distributed systems and ML at scale Experience designing algorithms on Hadoop ecosystem at scale Experience designing algorithms for a relevance system such as a personalized tool, search/ranking, recommendations, forecasting, marketing, loyalty, etc. Proficient in one or more of Python, Java/Scala, C, C++ and deep learning frameworks such as PyTorch, Tensorflow and Keras A strong passion for empirical research and for answering hard questions with data Excellent written and verbal communication skills Americans with Disabilities Act (ADA) Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at  1-800-440-0680  for additional information. Qualifications:",13 days ago,"57,760 reviews"
https://www.indeed.com/viewjob?jk=5a8fb7d4c73b504e&from=web&vjs=3,20,Associate Data Engineer,Delta,"Minneapolis, MN","United States, Minnesota, Minneapolis Information Technology 06-Aug-2021 Ref #:  8645 LinkedIn Tag:  #LI-Cb2 How you'll help us Keep Climbing (overview & key responsibilities) Delta Air Lines Information Technology is seeking an Associate Data Engineer to support critical technology applications, systems and integrations. The Associate Data Engineer will be responsible to analyze requirements, document technical solution, develop and engineer applications used by Delta employees or customers. This position requires working closely with agile teams. YOUR RESPONSIBILITIES IN THIS ROLE Understand, document technical requirements. Become and remain knowledgeable on key business processes and systems and how they operate/integrate. Leverage emerging technologies to facilitate business solutions. Work with business analysts to fix software bugs and escalate issues. Develop and support user acceptance Criteria. Own the quality of the product delivered by engaging closely in QA activities. Create visual models (flowcharts, class and activity diagrams, sequence diagrams). Provide interfaces to systems built on different technologies. Participate in regular project status reviews. What you need to succeed (minimum qualifications) High School Diploma, GED or High School Equivalency. Consistently makes safety and security, of self and others, the priority. Embraces diverse people, thinking and styles. 0-2 years of experience, training or education in Computer Science, Software Engineering, Analytics, Artificial Intelligence, Machine Learning or Information Systems. Relevant Technologies include, but are not limited to: Python, Java, R, Scala, SAS, SQL/NoSQL databases. Highly motivated self-starter Must have good analytical skills, verbal and written communication skills. An understanding of different software development life cycles including Agile is required. Must have the ability to work well with others in a time sensitive and team environment with minimal supervision, be results oriented and capable of meeting deadlines with attention to detail and follow through. Ability to work independently and in a collaborative setting. Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc. What will give you a competitive edge (preferred qualifications) B.S or M.S in Information Systems and/or Computer Science is highly preferred. Experience deploying or migrating applications to AWS and managing infrastructures based on Docker, Kubernetes, or OpenStack is preferred. Knowledge of Machine Learning is preferred. Experience with DevOps: Git, Jenkins and/or Ansible is preferred. Candidate must be highly motivated, and keen to work in a fast-paced organization with a passion for working on new technologies. < Go back",30+ days ago,"4,222 reviews"
https://www.indeed.com/viewjob?jk=bd6cb4d7980bdd4c&from=web&vjs=3,20,RR - Data Scientist,3M,"Maplewood, MN","Job Description: Data Scientist to Begin Working in 2022 Collaborate with Innovative 3Mers Around the World Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with 96,000 other curious, creative 3Mers. “A long-lasting career at 3M comes from having vision, imagination and the ability to see what doesn’t exist. 3Mers are groundbreaking innovators and it’s important that we give every person the space for disruptive and creative thinking.” – John Banovetz, senior vice president and chief technology officer at 3M This position provides an opportunity to transition from other private, public, government or military environments to a 3M career. The Impact You’ll Make in this Role  : Data Scientists at 3M research and develop new technologies and approaches in AI. We explore areas of machine learning, reinforcement learning, speech science, deep learning, natural language processing, and computer vision technologies that enable new opportunities for our businesses and customers. At 3M, our data scientists develop digital solutions for manufacturing, help create new unique 3M materials and enable new process capabilities. These solutions have global impact and reach 3M customers in health information, worker safety, digital oral care, transportation, with smart consumer products and many more. Here, you will make an impact by: Conducting research on emerging algorithmic approaches to Data Science and reporting your results to the larger AI community at 3M Leveraging expertise to develop and lead new data analytics technologies for product development or for manufacturing systems Collaborating with research teams in corporate research and business labs to build capabilities and applications to solve emerging challenges Assisting with the design and creation of software applications as a member of a cross-functional team of software developers, engineers, and scientists Collaborating with other team members on data analysis workflow, data pipelines, analysis techniques, and opportunities for model improvements Filing patent applications, publishing, and presenting at conferences Your Skills and Expertise To set you up for success in this role from day one, 3M requires (at a minimum) the following qualifications: Currently possess or are in the final year of pursuing a Master’s degree in a science or engineering discipline from an accredited institution Additional qualifications that could help you succeed even further in this role include: Currently possess or are in the final year of pursuing a Master’s degree in Computer Science, Machine Learning, Electrical Engineering, Data Science, Cognitive Science, Computational Linguistics, Software Engineering, Applied Physics, Applied Mathematics, or related discipline from an accredited institution Training and/or experience in deep learning, machine learning, natural language processing, speech recognition, natural language understanding, data science, computer vision, artificial intelligence, or statistics, through thesis work, internships, or industry or national lab employment Experience with research projects in areas of interest to 3M: computer vision, manufacturing processes, machine learning applied to product design and development, materials sciences, reinforcement learning and causal-based AI Experience with Azure and AWS cloud services and data analytics tools Experience in the generation, collection, and analysis of materials data Strong scientific and technical acumen, with demonstrated interest and ability to make connections between science/technology and real-world concerns Ability to deal with the ambiguity of early stage scouting and evaluation of new opportunities and the flexibility to change direction as additional information becomes available Demonstrated scientific excellence as evidenced by publications and presentations Strong performance working in a team environment Travel: May include up to 10% domestic/international Relocation Assistance: May be authorized Responsibilities of this position may include direct and/or indirect physical or logical access to information, systems, technologies subjected to the regulations/compliance with U.S. Export Control Laws. U.S. Export Control laws and U.S. Government Department of Defense contracts and sub-contracts impose certain restrictions on companies and their ability to share export-controlled and other technology and services with certain ""non-U.S. persons"" (persons who are not U.S. citizens or nationals, lawful permanent residents of the U.S., refugees, ""Temporary Residents"" (granted Amnesty or Special Agricultural Worker provisions), or persons granted asylum (but excluding persons in nonimmigrant status such as H-1B, L-1, F-1, etc.) or non-U.S. citizens. To comply with these laws, and in conjunction with the review of candidates for those positions within 3M that may present access to export controlled technical data, 3M must assess employees' U.S. person status, as well as citizenship(s). The questions asked in this application are intended to assess this and will be used for evaluation purposes only. Failure to provide the necessary information in this regard will result in our inability to consider you further for this particular position. The decision whether or not to file or pursue an export license application is at 3M Company's sole election. Supporting Your Well-being 3M offers many programs to help you live your best life – both physically and financially. To ensure competitive pay and benefits, 3M regularly benchmarks with other companies that are comparable in size and scope. Resources for You For more details on what happens before, during and after the interview process, check out the Insights for Candidates page at 3M.com/careers. Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M. Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties. Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/ 3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status. Please note: your application may not be considered if you do not provide your education and work history, either by: 1) uploading a resume, or 2) entering the information into the application fields directly. 3M Global Terms of Use and Privacy Statement  Carefully read these Terms of Use before using this website. Your access to and use of this website and application for a job at 3M are conditioned on your acceptance and compliance with these terms.",30+ days ago,"4,530 reviews"
https://www.indeed.com/viewjob?jk=2594d6221a27dcbf&from=web&vjs=3,20,Data Analyst (Remote),Dispatch It,"Bloomington, MN","THE ROLE We're looking for an inventive and motivated data analyst to join our data team. This individual will use their development experience to communicate data findings and provide business intelligence for a variety of clients. The Data Analyst will be responsible for exploring data and technologies and applying mathematical techniques to enable business insights. The Data Analyst will champion the development of analytical skills and business intelligence usage across the organization by advocating for analytics adoption, educating, and solving problems with data. You will act as a strategic partner to all areas of the company by helping leaders efficiently develop analytical solutions. This is a full-time exempt role (computer professional exemption) that reports to the Data Scientist. WHAT YOU’LL DO Execute all job duties in alignment with Dispatch’s core values, mission, and purpose Act ethically, with integrity and complies legal standards to deliver an environment that promotes respect, innovation, and creativity Encourage and foster an inclusive environment. An environment where the strengths and expertise of our workforce are welcomed, amplified and exhibited in the work at Dispatch Actively explore data for specific use cases using tools such as SQL and Looker Perform day-to-day platform operations activities for dbt and Looker Perform business outcome driven ad hoc analytics and demonstrate the value of analytics Develop and lead training programs for key self-service analytics tools Identify and facilitate opportunities for the Data Science team to apply Artificial Intelligence to the business Resolve upstream data issues at the source instead of applying workarounds Analyze and test changes to our data architectures and processes, and determine what the possible downstream effects and potential impacts to data consumers will be. Perform other duties as assigned (to be less than 10% of your responsibilities) WHAT WE’RE LOOKING FOR Passion for data and motivation to learn new technologies Comfortable collaborating with all areas of the company including engineering, product, and sales Desire to take ownership of process improvement and business goals Must be a positive, self-driven team-member with a desire to learn WHAT YOU’LL NEED Bachelor’s degree (preferred) 3+ years of experience working in Data Analytics (required) Familiar with various programming languages (e.g., SQL, R, or Python) Strong knowledge of data, reporting, and analytics Excellent written skills and highly articulate Professionalism; being both resolute and diligent Stays current with new and evolving technologies via formal training and self-directed education ABOUT US Dispatch is a technology-based company that redefines the way same-day deliveries are made in the B2B space. With our network of independent contractor drivers, Dispatch puts suppliers, businesses, and technicians in control of local deliveries with real-time tracking and transparency. We strive to deliver the best value and service to our customers every day. Dispatch started in the Twin Cities, but is now in dozens of markets across the country. With all of this growth, we maintain a strong focus on our company culture. Dispatch operates on five core values: People First, Belief, Speed to Value, Driven to Deliver, and Transparency. If you connect with these values, we’d love to learn more about you! We want people of all backgrounds to feel excited and comfortable in working at Dispatch. Our job description lists required skills as well as nice to have. If you have all the required skills but only some or none of the nice to haves, please still apply. We'd love to have a chat and see if you could be a great fit.",23 days ago,19 reviews
https://www.indeed.com/viewjob?jk=4d3456bea72cd0e3&from=web&vjs=3,30,Senior Data Scientist,Erstom,"Minneapolis, MN","The Data Scientist position is a hands-on role responsible for the end-to-end design, testing and development of analytics solutions for Service Operations. You will work closely with other team members and business stakeholders to apply machine learning, deep learning, NLP and other advanced analytics. You will research and prepare data for analysis, perform data exploration, apply machine learning and statistical techniques to draw conclusions and build innovative products to improve operational effectiveness and efficiency.  Responsibilities:  Work individually and/or with team members to design and develop machine learning models (both supervised and unsupervised) for prototyping or ad-hoc analyses.  Apply data mining techniques and perform statistical analysis as needed.  Collect and organize information from a variety of data sources.  Write queries to underlying Microsoft SQL Server and Oracle databases.  Work with business partners to learn and understand the specific domain  Clearly present findings to leadership and be able to articulately influence the Business Case for change.  Interview stakeholders in order to understand pain points and formulate hypothesis for scenario modeling.  Qualifications:  Expertise in data mining algorithms and statistical modeling techniques such as clustering, classification, regression, decision trees, neural nets, support vector machines, ensemble modeling and text mining techniques such as sentiment analysis, topic modeling and entity extraction.  Exceptional quantitative skills and attention to detail.  Multi-year experience with Python/R and SQL.  Degree in Data Science, Computer Science, Statistics, Mathematics, Computational Linguistics or related field. MS or PhD preferred.  Ability to establish and maintain strong working relationships across the organization.  Experience with measuring the behaviors of customers navigating various Omni-Channel service platforms is a plus (i.e. Website visits, App usage, Call Center, voice-activated technology, etc).",30+ days ago,
