URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=255803d6c8cf619c&from=web&vjs=3,10,Data Scientist,Polypore International,"Charlotte, NC 28277","Polypore International , an Asahi Kasei Group Company, is a leading technology company specializing in microporous membranes. We bring advanced technology, unique problem solving capabilities and global manufacturing expertise to lithium-ion (made by Celgard) and lead-acid (made by Daramic) battery applications and systems development teams.  Position Summary: Polypore is seeking a Data Scientist who will analyze, visualize, and build models using Polypore data received from various systems. In this role, you will build and implement machine learning models to make timely decisions. We are looking for a mixture between a statistician, data scientist, machine learning expert and data engineer. The Data Scientist works with business leaders, sales and finance to understand needs in analytics and forecasting. The person in this role understands manufacturing process, develops models that predict product performance, and helps manufacturing to make decisions about improving product manufacturing process. The Data Scientist is responsible for the presentation of model results and the explanation of the model for business.  Responsibilities: Participate in the understanding and analysis of data; create business intelligence analysis presentations intended for end users Understand enterprise data available Implement data featuring, extension of existing data Work with business on defining possible hypothesis, areas of interest, model ideas Conduct data discovery, data presentation, data cleansing Implement data collection and join logic, building dataset for analysis Present data information to business, assist with data explanation and trend identification Define clear mathematical/statistical data visualization approach Develop models, validate model performance and stability Build explanatory presentation of models; prepare documentation, demos, and presentations Provide technical expertise on data science approaches, be informed in latest evolvements in DS area Work closely with Data team members, offering solutions, data processing algorithm definitions Travel to company sites worldwide, USA/Europe/Asia, may be required Provide on-going maintenance and support for existing solutions Provides advanced technical support of solutions provided. Participate in the on-call rotation for the IT group.  Requirements: 5+ years of relevant data science, data engineering, data modelling experience Bachelor's degree required Knowledge of SQL, Python, PySpark/Scala, Jupyter notebooks required Experience in Supervised model development, Regression, Classification, Principal Component Analysis, Support Vector Machine, etc. Experience with Machine Learning. Deep Neutral Network, Image classification Data Science experience with large data volume Experience with data discovery, visualization, cleansing, featuring Solid experience with data science environment and python language Experience with production model deployment, Continuous Integration/ Continuous Deployment (CI/CD) Excellent Excel, PowerPivot, PowerView experience Distributed computing, Spark PowerBI reporting knowledge ERP knowledge Manufacturing experience is a plus Proactive attitude, ability to think out of the box, come up with ideas for data analysis Ability to present solution on various levels from technician to C-level suite Strong analytical, problem-solving, and conceptual skills Strong capacity to learn business and manufacturing processes, willing to learn Ability to communication to non-technical people Excellent pattern recognition and predictive modeling skills Ability to work in teams with experts of the different software we have; team player Ability to estimate tasks, to define and to respect deadlines; ability to work under pressure",6 days ago,5 reviews
https://www.indeed.com/viewjob?jk=56e351069df2a045&from=web&vjs=3,10,Enterprise Monitoring Data Science Spring/Summer Co-op,Collins Aerospace,"4115 Corporate Center Drive, Monroe, NC 28110","Date Posted: 2021-08-27-07:00 Country: United States of America Location: HNC12: Customer Services - Monroe 4115 Corporate Center Drive, Monroe, NC, 28110 USA Position Overview: Assist in development and deployment of enterprise monitoring technology. Primary Responsibilities: Collect data from multiple monitoring tools into a centralized dashboard tool for analysis. Develop processes and tools to utilize data to proactively help customers troubleshoot and improve their service. Help create strategy for ""single pane of glass"" for Enterprise Monitoring. Create documentation in order to best utilize new processes and tools. Basic Qualifications: Requires a High School Diploma or equivalent and student must be pursuing a Bachelor's or advanced degree in an applicable discipline. Must be a U.S. Person/Permanent ""Green Card"" holder Collins Aerospace, a Raytheon Technologies company, is a leader in technologically advanced and intelligent solutions for the global aerospace and defense industry. Collins Aerospace has the capabilities, comprehensive portfolio and expertise to solve customers’ toughest challenges and to meet the demands of a rapidly evolving global market. Diversity drives innovation; inclusion drives success. We believe a multitude of approaches and ideas enable us to deliver the best results for our workforce, workplace, and customers. We are committed to fostering a culture where all employees can share their passions and ideas so we can tackle the toughest challenges in our industry and pave new paths to limitless possibility. WE ARE REDEFINING AEROSPACE. Nothing matters more to Collins Aerospace than our strong ethical and safety commitments. As such, all U.S. positions require a background check, which may include a drug screen. Background check and drug screen required (every external new hire in the U.S.) Drug Screen only performed on re-hires who have been gone for more than 1 year At Collins, the paths we pave together lead to limitless possibility. And the bonds we form – with our customers and with each other - propel us all higher, again and again. Apply now and be part of the team that’s redefining aerospace, every day. Raytheon Technologies is An Equal  Opportunity/Affirmative  Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class. Privacy Policy and Terms: Click on this link to read the Policy and Terms Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",30+ days ago,"3,050 reviews"
https://www.indeed.com/viewjob?jk=6c0134d4ecc7a1c9&from=web&vjs=3,10,Data Scientist/Machine Learning,Highr1,"Highr1 in Wake Forest, NC 27587","Job description Our Client is a digital therapeutics startup focused on leveraging wearable technologies and machine learning to improve focus, attention and learning in children with ADHD. We are a fun, tight-knit team who shares a collective passion for innovation, pushing boundaries and leveraging our skills to do good for others through technology. We believe in rooting for the underdog, in never saying never and that every person deserves a chance to experience success, no matter what challenges they may face. Led by a successful serial entrepreneur, Our Client is now expanding the team in several areas; for this position, we are looking for a fun, energetic, well-rounded professional who is versed in areas of data science and statistics (who says data scientists can’t be fun?) to help us level the playing field through technology. You will work collaboratively with key members at Our Client who oversee areas of science, technology and innovation, to help cultivate unique data, generate insights and create new algorithms using ML/DNN. Specific Activities: Mine historic motion sensor datasets for patterns and relationships that lead to actionable insights to benefit users and scientific research communities EDA - Exploratory Data Analysis Collaborate with Chief Scientific Officer to provide input for scientific papers/presentations Develop deep learning models (e.g. PyTorch, TensorFlow) for inference/prediction on time series data from wearable motion sensors Deploy deep learning models to cloud (Sagemaker, Lambda) Requirements Masters degree in Computer Science, Mathematics, Data Science or Psychology and 2+ years work experience in related fields. Experience in psychometrics and statistics Familiarity in ML/DNN architecture Familiarity with R/SPSS Familiarity in Python, Tensorflow and/or Pytorch Availability to work in the office 2-3 days per week Self-starter, team player, intuitive, empathetic Strong organizational skills Bonus Skills Sagemaker, Lambda Experience with time series data SQL AWS Compensation Salary/stock options based on experience and background Full benefits - health, dental, 401K Equal Opportunity We are an equal employment opportunity employer and do not discriminate against any person because of race, color, creed, religion, national origin, political affiliation, sex, gender identity or expression, sexual orientation, age, disability, genetic information, or other reasons prohibited by law (referred to as ""protected status""). This nondiscrimination and opportunity policy extends to employment, use of all company facilities, membership, board service and leadership, volunteerism, participation in any of the organizations programs or services and all employment actions such as promotions, compensation, benefits and termination of employment. NOTE: The above information is intended to describe the most important aspects of the job. It is not intended to be construed as an exhaustive list of all responsibilities, duties and skills required in order to perform the work. Duties, responsibilities and activities may change at any time with or without notice. About Us Our Client. is a digital therapeutics startup based in the Triangle area, NC. Our Client believes every child deserves a chance to succeed and achieve their personal best. With a sharp focus on leveling the playing field for individuals with ADHD, Our Client fuses traditional psychology with cutting-edge technology to create digital therapeutics to enhance focus and attention in children. Our Client utilizes a hybrid approach to digital therapy and is currently working to build next generation versions of its hardware and software for the ADHD population. Our upcoming platform, comprised of wearable devices and mobile applications, utilize machine learning models to help users improve focus and attention while allowing parents, teachers and clinicians to monitor progress, gain personalized insights and empower children to reach their fullest potential. Job Type: Full-time Job Type: Full-time Pay: $80,000.00 - $110,000.00 per year Benefits: 401(k) Dental insurance Flexible schedule Health insurance Paid time off Vision insurance Schedule: Monday to Friday Supplemental Pay: Signing bonus COVID-19 considerations: COVID-19 considerations: Currently all in-office staff have chosen to get vaccinated (this is not required). Masks are required for anyone who has not been vaccinated. Education: Master's (Preferred) Experience: Python: 1 year (Preferred) SQL: 1 year (Preferred) Work Location: One location Work Remotely: No Work Location: One location",,
https://www.indeed.com/viewjob?jk=685c51aadf30d528&from=web&vjs=3,10,Data Scientist (Remote),The Hartford,"Charlotte, NC","You are a driven and motivated problem solver ready to pursue meaningful work. You strive to make an impact every day & not only at work, but in your personal life and community too. If that sounds like you, then you've landed in the right place. As a Data Scientist, you will support our Middle and Large Commercial business function as this organization continues to increase the efficiency and efficacy of its business strategies and critical decision making via data and analytics. You will be translating predictive models into business solutions. You will leverage Python, predictive modeling (Linear models, Random Forest, Gradient boosting, etc…), and AWS technologies. Your models will be used to make faster and better business decisions to facilitate profitable growth.  Responsibilities: Develop assets to support our Middle and Large Commercial organization using Python and SQL. Own the full lifecycle of models built for the Middle and Large Commercial organization. Write modular Python code to ease the hand off to Data Engineers for deployment. Collaborate with Data Engineers, Senior Data Scientist, and Asset Owners. Present your work to our stakeholders and customers. Minimum Experience Must be authorized to work in the US now, and in the future. Master’s in Statistics, Applied Mathematics, Quantitative Economics, Actuarial Science, or similar analytical field. 2+ years of relevant experience in a data science or applied analytics role. Subject matter expert in modeling data and analytical capabilities utilizing Python Experience with gathering data from structured databases (i.e. Oracle, Hive, etc..) Preferred Skills: Experience with data science in an insurance environment. Experience with Amazon Web Services. Experience with database RDBMS technologies (i.e. Oracle, SQL Server, Teradata, etc.) Compensation The listed annualized base pay range is primarily based on analysis of similar positions in the external market. Actual base pay could vary and may be above or below the listed range based on factors including but not limited to performance, proficiency and demonstration of competencies required for the role. The base pay is just one component of The Hartford’s total compensation package for employees. Other rewards may include short-term or annual bonuses, long-term incentives, and on-the-spot recognition. The annualized base pay range for this role is: $80,480 - $120,720 Benefits Our company’s success is due to our employees’ dedication and passion for their work. They are our greatest asset. That’s why we are committed to offering employees and their families a comprehensive benefits package and award-winning well-being programs. By helping our employees achieve their full potential, we unlock our own. Visit https://www.thehartford.com/careers/benefits for details. Equal Opportunity Employer/Females/Minorities/Veterans/Disability/Sexual Orientation/Gender Identity or Expression/Religion/Age Data Scientist - GD08AE",24 days ago,"1,952 reviews"
https://www.indeed.com/viewjob?jk=f47d225eb0a02f2c&from=web&vjs=3,10,Data Science New Graduate,Hewlett Packard Enterprise,"Durham, NC 27703","Hewlett Packard Enterprise advances the way people live and work. We bring together the brightest minds to create breakthrough technology solutions, helping our customers make their mark on the world. At HPE we believe in bold moves, the power of “Yes we can”, and being a force for good. Our work thrives on differences, fueling creativity to give our customers all they deserve. But our work is far from over. In fact, we continuously push for better. We empower our team members to make an impact on our business and in the world while fostering a culture that is unconditionally inclusive. Whether you’re looking for an internship or to start your professional career, at HPE you’ll be able to create and collaborate on projects that challenge and inspire you. Sound like you? Apply today and join one of the most impactful tech companies in the world! How you’ll make your mark You will participate in the analysis and validation of data sets/solutions/user experience. You will aid in the development, enhancement and maintenance of a client's metadata based on analytic objectives. You will load data into the infrastructure and contribute to the creation of the hypothesis matrix and prepare a portion of the data for the Exploratory Data Analysis (EDA)/hypotheses. You will contribute to building models for the overall solution, validating results and performance, and selecting the model that supports the overall solution. You will support the research, identification and delivery of data science solutions to problems. You will support visualization of the model's insights, user experience and configuration tools for the analytics model. About you You will have earned a Bachelor’s/Master’s degree with a focus in computer science, statistics, mathematics, electrical engineering, or relevant area prior to your start date. You have basic knowledge of data science methodologies You have working proficiency in effective use of analytics software (e.g. R, SAS, SPSS, Python, Cplex) and data programming languages. You seek out what’s next, always three steps ahead and delivering exceptional results You are collaborative, solution focused and act with a sense of urgency You embrace new ideas and fresh thinking and seek out ideas different than your own You are an active leader on campus who strives to make a positive impact on the world. You are an exceptional communicator and presenter who asks smart questions You are fully comfortable working in a hybrid (virtual and face-to-face) environment What we can offer you : Extensive benefits, a competitive salary and participation in the shared values and purpose that make Hewlett Packard Enterprise one of the world´s most attractive employers! At HPE, our goal is to provide equal opportunities, flexible work-life balance, and constantly evolving career growth. If you are looking for challenges in an exciting supportive work environment, then we definitely want to hear from you. Continue the conversation by clicking apply now below, or directly via our Careers Portal at www.hpe.com/careers.Join us and make your mark !Find out more about us and follow us on:https://www.facebook.com/HPECareershttps://twitter.com/HPE_CareersHPE is an Equal Employment Opportunity/ Veterans/Disabled/LGBT and Affirmative Action employer. We are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. We do not discriminate and all decisions we make are made on the basis of qualifications, merit, and business need. Our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together 1101130 This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office",30+ days ago,"4,836 reviews"
https://www.indeed.com/viewjob?jk=2c10fa1f5eabcb8b&from=web&vjs=3,10,Data Scientist,Novant Health,"1918 Randolph Road, Charlotte, NC 28207","Overview: The desired candidate can sit in either Charlotte, NC or Winston-Salem, NC Novant Health is inviting application to a Data Scientist position in its Data Science and AI group. As part of the team, you will use big data + AI to advance our understanding of disease and patient care, and to solve real world problems in medicine and healthcare. Novant Health is a four-state integrated system of outpatient centers and hospitals. Its network consists of more than 1,600 physicians and 29,000 employees at more than 640 locations, including 15 medical centers and hundreds of outpatient facilities and physician clinics. At Novant Health, one of our core values is diversity and inclusion. By engaging the strengths and talents of each team member, we ensure a strong organization capable of providing remarkable healthcare to our patients, families and communities. Therefore, we invite applicants from all group dynamics to apply to our exciting career opportunities. Qualifications: Education:  Master's Degree or above in Data Science, Health Informatics, Biomedical Informatics, Statistics/Biostatistics, Computer Science, Math or related fields. Technical Skills Required:  Proficiency with Python, R, SQL, Unix/Linux shell, Git; Hands-on experiences in large datasets including clinical, biomedical, image, text or sensor data; Deep understanding of machine learning and deep learning methods and frameworks (Tensorflow, Keras, Pytorch, etc); Hands-on experience in designing, developing, and deploying machine learning models; Ability to drive/travel to multiple locations/facilities as needed.. Additional Skills Preferred:  Cloud, HPC, distributed computing, Hadoop/MapReduce, Spark; Natural Language Processing and Understanding; Software and web development Strong writing, communication and project management skills. Responsibilities: Major responsibilities of the data scientist include but not limited to: Collect, process, integrate, analyze and visualize large scale clinical data; Design, develop and deploy machine learning/deep learning models, software and workflows; Communicate and collaborate with technical and non-technical team members to identify, analyze and solve clinical or business related problems. It is the responsibility of every Novant Health team member to deliver the most remarkable patient experience in every dimension, every time. Our team members are part of an environment that fosters team work, team member engagement and community involvement. The successful team member has a commitment to leveraging diversity and inclusion in support of quality care. All Novant Health team members are responsible for fostering a safe patient environment driven by the principles of ""First Do No Harm"".",30+ days ago,"1,777 reviews"
https://www.indeed.com/viewjob?jk=e55054ce6f1b82e9&from=web&vjs=3,20,Investigative Data Scientist- 3rd Party Compliance,Microsoft,"Charlotte, NC","Organization Summary:  If you love the pursuit of excellence and are inspired by the challenges that come through driving innovations that impact how the world lives, works and plays, then we invite you to learn more about Microsoft Business Operations (MBO) - and the value we deliver across Microsoft and to our customers and partners. We offer unique opportunities to work on interesting global projects in an environment that appreciates diversity, focuses on talent development and recognizes and rewards great work.  We make doing business with Microsoft easy and we have fun while doing it! As a member of MBO 3rd Party Compliance Investigations, a division of 3rd Party Compliance Operations, you would be responsible for identifying, collating, and analyzing data to determine the scale, and impact, of 3rd party entities that may have violated Microsoft, or Governmental compliance requirements, regulations, or laws, and may have gained access to Microsoft without proper approval, and based on our analysis proceed with the appropriate remediation actions. Position Description:  We invite you to explore the 3rd Party Compliance Investigations (3PCI) Investigative Data Scientist position at Microsoft Charlotte.  As a 3PCI Investigator, you will have a great opportunity to shape how we proactively and reactively address emerging compliance threats to Microsoft. You will have the opportunity to help identify, scope and remediate non-compliance activity across a wide range of programs and channels. We are looking to expand our investigations team to provide greater coverage with individuals that like to solve complex problems using analytical tools. Responsibilities Responsibilities: You will be responsible for analyzing data from multiple sources within Microsoft. You will use that data to identify trends, exploits, and scope of non-compliant activity. You will contribute to pattern recognition algorithms, both operational and ad-hoc basis. You will use that information to work across virtual teams to raise awareness of the issue, scope, and remediation phases. You will regularly track activity and report out activity and progress related to various cases. A core portion of this position is identifying how non-compliant actions by 3rd parties is accomplished providing the modus operandi to appropriate resources in 3PCI, Product teams, and the Microsoft Legal Department. You will also contribute to help evaluate long term controls which will help improve systems and tools.  Identify and scope threats, and non-compliant actions by 3rd parties engaged with Microsoft. Both lead and participate in virtual teams in Investigation tasks, working in a team across geographic distances. Provide visibility to 3CPI and Stakeholders regarding threats and attacks across multiple business channels. Informs both current business decisions, and decisions projected in advance, by identifying and interpreting complex processes and patterns. Drive process and capability improvements. With input from senior management, defines and manages strategic implementation for both new and improved processes for Microsoft and vendor capabilities. Results are demonstrated by meeting relevant success metrics (for example, time to detection of compromise, mitigation velocity, and cross-functional process efficiency). Lead investigations efforts including identification of leads, review data and patterns analysis for anomalies, identification of cases & research, and management for all aspects of the case. Identification of perpetration methods, including root-cause, and identification of perpetrators. Drive effective investigation process and establish proper documentation of investigative process. Proper handling of evidence in accordance with legal standards and processes. Identification of non-compliance including proper referral of cases for remediation. Support incident response process and collaboration (including, but not limited to Corporate, External, & Legal Affairs (CELA) and Office of Legal Compliance (OLC)). Partner with CELA attorneys and channel leaders to determine and take appropriate legal actions. Support Risk Managers’ controls implementations efforts as part of investigation/remediation efforts. Support Investigations automation efforts towards achieving higher efficiency. Develop and implement long term process improvements and drive investigative excellence within the team. Deep analytic research into root cause and modus operandi of attack vectors. Using analytic results identify perpetrator and use data to build case files where appropriate. Drive issues to resolution by partnering with other 3rd Party Compliance Operations team members and other Microsoft groups to facilitate investigation and reduction of the issue to the root cause. Qualifications Basic Qualifications: Bachelor's degree in Computer Science, Criminal Justice, Mathematics, Statistics, Data Science or related technical field, or equivalent business experience. A minimum of 5 years of experience analyzing big data and modelling data. Formulates problems to inform multiple dimensions of business/customer questions using algorithms and multiple data sources. Uses data-exploration techniques to discover new or previously unasked questions. Extends existing data sources by adding attributes, mitigating data limitations, and using existing sources in ways that significantly improve results. Identifies and applies the appropriate tools to efficiently collect, clean, and prepare massive volumes of data for analysis. Coaches others on data exploration and statistical data analysis methods, and on how to correctly document the approach, analysis, and results. Engages in the peer review process, role-models a willingness to accept feedback, and objectively takes advantage of opposing ideas to advance scientific inquiry. Manages dependencies proactively and demonstrates an ability to resolve conflict. Shares information across the team to the right audience proactively and with the appropriate level of detail and timeliness. Has a sense of pride and personal accountability for the end-to-end product/service quality, completeness, and resulting customer experience. Uses the product/service regularly to understand it thoroughly and discover ways to improve it. Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter. Strong written & verbal communications skills. High degree of curiosity and problem-solving skills. Fully conversant in English verbally and in writing. Preferred Qualifications: Excellent attention to detail and organizational skills. Experience with Microsoft SQL and other relational databases and In-depth understanding of sophisticated threat modelling. Experience with Azure Enterprise Data Lake analysis and modeling tools (Synapse, Notebook, etc.). Prior Investigation experience in Law Enforcement, Forensics Financial Auditor, and/or Cyber Security Investigator. Highly developed analytical skills. Excellent interpersonal and group dynamic skills. Demonstrated proficiency of basic program management. Excellent presentation skills. Secondary language skills in Chinese, Spanish and/or Russian an added benefit. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",25 days ago,"7,304 reviews"
https://www.indeed.com/viewjob?jk=a850ba85a99ce961&from=web&vjs=3,20,Sr Data Scientist,Pet & Iaic,"8051 Arco Corporate Dr, Raleigh, NC 27617","Location: Phoenix, AZ or Raleigh, NC PetPartners, Inc., based in Raleigh, NC, is one of the first pet insurance providers in the United States supplying pet health insurance to dogs and cats nationwide since 2002. PetPartners offers a forward-thinking, innovative work environment where team members are encouraged to use ingenuity and creativity to excel. PetPartners strives to provide customers with exceptional healthcare coverage for their pets and always deliver a positive customer experience. The leadership team strives to create a vibrant, fun company culture where team members can work hard and play hard. Job Description: Its an exciting time to join PetPartners! We are looking for an experienced Sr Data Scientist to join our team to support business growth we are experiencing across our organization. As one of the first Data Scientists to join our organization you will help shape the way we build the data science capability in our organization.  What You'll Do: Participate in the development of the data analytics roadmap in support of the overall business strategy Work with the latest deep learning technologies to develop and optimize complex machine learning and data sciences models and support the implementation Understand the data and provide data driven insights to the internal customer teams you are partnering with Design and analyze experiments to test new product ideas Partner cross-functionally on multiple projects at any given time Qualifications: Bachelors in Applied Mathematics, Statistics, or Computer Science, Masters preferred 5-8 years of direct experience Experience with machine learning, statistics, and NLP Experience with Deep Learning and large data sets Experience with a programming language of your choice What we are looking for: Experience working in Insurance or Financial Services is a plus Ability to collaborate across teams A strong bias for action paired with a continuous improvement mindset Continuously seeks opportunities to learn as well as share knowledge with others Ability to communicate complex ideas in a clear way to stakeholders at all levels of the organization Desire to work in a fast paced and dynamic environment with flexibility to handle multiple priorities that span from tactical to strategic along the way",13 days ago,
https://www.indeed.com/viewjob?jk=89b1ac00a8fc5b69&from=web&vjs=3,20,Chemical Data Scientist,ORAU,"Research Triangle Park, NC 27711","Overview: The EPA National Student Services Contract has an immediate opening for a full time Chemical Data Scientist position with the Office of Research and Development at the EPA facility in Research Triangle Park, NC. The Office of Research and Development at the EPA supports high-quality research to improve the scientific basis for decisions on national environmental issues and help EPA achieve its environmental goals. Research is conducted in a broad range of environmental areas by scientists in EPA laboratories and at universities across the country. What the EPA project is about The Center for Computational Toxicology and Exposure (CCTE) supports ORD by providing solutions-driven research to rapidly evaluate the potential human health and environmental risks due to exposures to environmental stressors and ensure the integrity of the freshwater environment and its capacity to support human well-being. CCTE researchers are developing and applying cutting edge innovations in methods to rapidly evaluate chemical toxicity, transport, and exposure to people and environments. Within CCTE, the Chemical Characterization and Exposure Division (CCED) performs research to develop and advance analytical chemistry, computational chemistry, and cheminformatic approaches that are critical to the rapid characterization of the presence, structural characteristics, and properties of chemicals that underlie chemical exposure, environmental fate, toxicokinetics and toxicity. What experience and skills will you gain? As a team member, you will support research under the Chemical Safety for Sustainability (CSS) research program on modeling of human exposure to chemicals. You will assist with data organization and extraction needs, including acquisition and development of datasets documenting transformation relationships between chemicals, development of semi-automated protocols for data identification and collection, basic summaries and analyses of data, and extraction and curation of data from original sources. Your work may include gathering additional datasets from online sources, formatting datasets into standard templates and uploading into databases, applying out-of- the-box thinking to improve automation data collection, testing and evaluating ease-of-use of software, and completing QA workflows to ensure data quality and provenance. Location:   This job will be located EPA’s facility in Research Triangle Park, NC. Salary:  Selected applicant will become a temporary employee of ORAU and will receive an hourly wage of $30.16 for hours worked. Hours:  Full-time. Expected start date:  The position is full time and expected to begin January 2022. The selected applicant will become a temporary employee of ORAU working as a contractor to EPA. The initial project is through May 14, 2022, with up to 3 additional option periods. For more information, contact  EPAjobs@orau.org .   Do not contact EPA directly. Responsibilities: How you will apply your skills  General Responsibilities Collecting, curating, and organizing data in databases on chemical transformations including relevant metadata (e.g., observed media, transformation rates); Responding to data requests from colleagues as needed (e.g. retrieve data according to specified criteria) through development of programming scripts or SQL queries; and Developing novel models and text analytics methods for identifying data sources with chemical transformation data. Communications-related responsibilities Participate as a member of a multi-disciplinary research team; Interact with other members of the development team as well as EPA scientists; Thoroughly document all work as directed by EPA mentor to comply with EPA quality assurance procedures for transparency and reproducibility of work; and Summarizing work in internal reports/memos to be used by EPA Required Knowledge, Skills, Work Experience, and Education Experience programming in the R and/or Python language; Experience with quantitative techniques, basic statistics, and use of spreadsheets; and Strong reading comprehension skills and experience logically interpreting pieces of Desired Knowledge, Skills, Work Experience, and Education Master’s coursework in the following: statistics, data science, machine learning, user experience and design, and data analysis; Experience with computational or mathematical modeling and/or data science techniques in any discipline; and Experience with databases (e.g. MySQL). Qualifications: Be at least 18 years of age  and Have earned at least a Master’s degree in physics, chemistry, biology, engineering, applied sciences, environmental health, public health, exposure science, computer sciences, information technology, data science, or a closely related field of study from an accredited university or college within the last 24 months  and Be a citizen of the United States of America or a Legal Permanent Resident. EPA ORD employees, their spouses, and children are not eligible to participate in this program.",11 days ago,26 reviews
https://www.indeed.com/viewjob?jk=90bc16973625b9df&from=web&vjs=3,20,Sr. Data Analyst,PROIT,"Charlotte, NC 28202","Job Title : Data Analyst with Commercial banking knowledge Location : Charlotte, NC Job Type - Fulltime JD: Must have extensive data analyst experience Strong Data profiling, data analysis skill Must have experience creating data lineage, data mapping documents Should have strong SQL and pl/sql knowledge Experience with commercial banking is required Should have working experience in Agile Good communication skills Local to charlotte preferable Prior work exp with Bofa will be a plus Job Type: Full-time Pay: $90,000.00 - $120,000.00 per year Schedule: 8 hour shift Day shift Ability to commute/relocate: Charlotte, NC 28202: Reliably commute or planning to relocate before starting work (Preferred) Experience: SQL: 1 year (Preferred) Work Location: One location",,
