URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=040db6f6a6d712ce&from=web&vjs=3,10,Data Science Engineer,HP,"Corvallis, OR 97330","The Print Big Data team is looking for a Data Science Engineer to join our Insights Lab team. The role focuses on taking prototype data science machine learning models and productionizes the output to deliver in an automated pipeline to downstream partners looking to operationalize in marketing programs. The role will get to see real-time results through feeding in ML models to partners such as HP.com, HP Smart App, and email and social media campaigns. The ideal candidate will be someone with experience in pipeline building and ML ops. Responsibilities Develops API’s using scripting languages such as python. Develops DBT models to support complex data problems. Defines and implements production-level pipelines to feed into production-level downstream partners. Works with the business to understand the business requirements. Assures accuracy, integrity, and compliance of cleansed data. Maintains proficiency within the data science domain by keeping up with technology and trend shifts. Collaborates and communicates with project team regarding project progress and issue resolution. Represents the data science team for all phases of larger and more-complex development projects. Knowledge & Skills Using statistics, mathematics, algorithms and programming languages. Understanding of how to manage disparate unstructured and structured data in a distributed environment. Fluent in structured and unstructured data and modern data transformation methodologies. Knowledgeable in AWS services and frameworks. Knowledgeable in Spark, Databricks, Airflow, and DBT. Ability to write complex ML algorithms to support business needs. Strong analytical and problem-solving skills. Excellent written and verbal communication skills; mastery in English and local language. Ability to effectively communicate data insights to project team and leadership and negotiate options. Scope & Impact Collaborates with peers, junior engineers, data scientists and project teams. Typically interacts with high-level Individual Contributors, Managers and Program Teams. Education & Experience Bachelor's, Master's or PHD degree in Mathematics, Economics, Physics, Computer Science, or equivalent. Typically 3-5 years’ experience including graduate or postgraduate research. Where legally permitted, an offer of employment is conditional upon you providing proof that you are fully vaccinated against COVID-19 (as defined by the CDC) as of your first day of employment.   About HP    You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.  So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.   HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.   Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.  From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!",9 days ago,"12,894 reviews"
https://www.indeed.com/viewjob?jk=6b91524180a14997&from=web&vjs=3,10,COVID-19 public health data analyst,Public Health Institute,"Washington County, OR","COVID-19 public health data analyst  Posting Number:  #1134  Position Title:  COVID-19 public health data analyst  Closing Date:  Until Filled  Location:  Remote (Washington County, Oregon)  Apply Here  The Public Health Institute (PHI) is an independent, nonprofit organization dedicated to promoting health, well-being, and quality of life for people throughout California, across the nation and around the world. As one of the largest and most comprehensive public health organizations in the nation, we are at the forefront of research and innovations to improve the efficacy of public health statewide, nationally, and internationally.  Position Summary  Perform complex technical and analytical work in the design and creation of queries and reports in order to extract data from the State of Oregon’s disease tracking systems. Responsible for complex ad hoc reporting, data mining, data integrity, organizing, analyzing, and summarizing data.  This is a time-limited position that is funded through June 30, 2022 with the possibility of being extended. This is a remote position in Washington County, Oregon.  Essential Duties & Responsibilities  Develop full understanding of the strengths and limitations of the data systems and the implications for data analyses, as well as possible solutions.  Design, write, and test queries in order to access data and prepare standard and ad hoc reports to meet specified needs.  Collect, compile and extract and organize complex information and data from multiple systems. In collaboration with epidemiologists and the data analytical team, develop statistical analysis on the development and production of a wide range of reports and metrics.  Perform difficult statistical or analytical studies involving complex data and records using mathematical modeling, linear, multiple and logarithmic regression as needed to support assigned functions. Provide consultation to the Washington County teams regarding optimal statistical methods and analyses designs.  Support epidemiologists and strike teams by creating processes to identify COVID-19 outbreaks and streamline processing data export for outbreaks.  Design quality assurance reports that include analysis of internal business/program operations; analyze, evaluate, and recommend modification to operating methods and procedures as they relate to departmental operations and goals; make recommendations based on research and analysis.  Develop written protocols, operating procedures, and end user manuals and instructions on data systems.  Investigate and resolve data, reporting, and system inconsistencies; develop and implement work flow, data entry, collection, and reporting procedures.  May serve as an integral member of a research or study team.  Perform other duties as assigned.    Qualifications  Two years of work experience in data analysis, statistics, programming, operational analysis, or a related field that included performing analysis, statistical evaluation, database design, maintenance, administration, and statistical reporting.  Governmental public health work preferred.  Intermediate knowledge of SAS.  Knowledge of Python, R, SQL, VBA or other equivalent programming language is a plus.  Knowledge of Tableau is a plus.  Well-versed in data extraction, organization, validation and visualization.  Experience handling multiple projects while successfully meeting project deadlines.  Experience troubleshooting intermediate or complex data questions.  Experience with validating and auditing data.  Experience working with disparate sources of data and large databases.  Excellent knowledge of statistical techniques including mathematical modeling, linear, multiple and logistic regression.  Ability to follow the operating procedures and policies within the work unit.  Washington County Resident preferred.  The offer of a position is conditional upon an applicant’s successful completion of background check.  Education  Bachelor’s degree with major course work in biostatistics, computer science, data science, or a related field demonstrating the capacity for the required knowledge and skills.   FAIR LABOR STANDARDS ACT (FLSA) STATUS  This position is classified as exempt based on the job duties. However, based on the FTE, salary level of the employee, or federal/state/local laws, the employee may be classified as nonexempt.  MANDATORY COVID-19 VACCINATION POLICY  In compliance with the requirements of President Biden’s Executive Order 14042, “Ensuring Adequate COVID Safety Protocols for Federal Contractors”, the Public Health Institute has adopted a mandatory COVID-19 vaccination policy that requires employees in certain positions to be fully vaccinated for COVID-19, unless they are granted a reasonable accommodation under applicable law. The PHI Mandatory COVID-19 Vaccination Policy applies to this position. Employees must be fully vaccinated before January 4, 2022, if hired before that date; or be fully vaccinated prior to their employment start date, if hired after January 4, 2022.  EEO Statement  The Public Health Institute is committed to a policy that provides equal employment opportunities to all employees and applicants for employment without regard to race, color, sex, religion, national origin, ancestry, age, marital status, pregnancy, medical condition including genetic characteristics, physical or mental disability, veteran status, gender identification and expression, sexual orientation, and to make all employment decisions so as to further this principle of equal employment opportunity. To this end, the PHI will not discriminate against any employee or applicant for employment because of race, color, sex, religion, national origin, ancestry, age, marital status, pregnancy, medical condition including genetic characteristics, physical or mental disability, veteran status, gender identification and expression, sexual orientation, and will take affirmative action to ensure that applicants are offered employment and employees are treated during employment without regard to these characteristics.  For further information regarding Equal Employment Opportunity, copy and paste the following URL into your web browser:  http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf  ADA Statement:  The Public Health Institute is committed to providing access and reasonable accommodation in its services, programs, activities and employment for individuals with disabilities. To request disability accommodation in the application process, contact the Recruitment Team at least 48 hours in advance at Recruitment@phi.org.   To apply for any position, you must create an account on the Public Health Institute’s job application site. After creating your account, you may search the open positions and apply for the specific position that interests you. Please note, mailed and emailed applications will not be accepted.  We’re so pleased the Public Health Institute is an organization you would like to work with. Do you have questions about this opportunity? If so, email our recruitment team at Recruitment@phi.org.",14 days ago,52 reviews
https://www.indeed.com/viewjob?jk=edf6931716f72f6a&from=web&vjs=3,10,"Senior Director, Member Modeling Data Science",Nike,"Beaverton, OR","Become a Part of the NIKE, Inc. Team  NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game. Who are we looking for  We are looking for a Senior Director of Member Modeling Data Science to help us build the next generation of data science models that characterize Nike’s consumers. These models are critical to the success of Nike as they support the business in making product and marketing decisions to best serve our consumers around the world.   What will you work on  You will…  Lead a talented team of Data Science Directors and Sr Data Scientists. Hire, onboard, and develop additional data scientists and data science directors.  Lead workstreams that require cross-functional squads that include data scientists, data engineers, analysts, and product managers.  Manage our portfolio of member model capabilities, including lifetime value, segmentation, fraud, and onboarding models. Develop methods and tools that further enrich Nike’s member data while also respecting the privacy of our members. Expand the vision for member modeling at Nike. Learn the business of designing shoes and apparel and bringing them to market around the globe to understand how to best serve stakeholders.  Be a part of the broader data science community within Nike and contribute to a culture of learning.   Who will you work with   You will be the leader of Member Modeling Data Science team, reporting to the Vice President of Consumer Data Science.  Member Modeling Data Science is part of Nike’s Insights function. So you will also be a member of the broader data science and analytics community at Nike, and participate in our data science labs, study groups, and activities, and attend conferences.   What you bring  Experience hiring and mentoring exceptional data scientists.  Experience leading through leaders (directors will report into you).  Experience developing strong partnerships with engineering and product teams.  Experience communicating technical roadmaps to business leaders.  Experience practicing data science. A product and entrepreneurial mindset.  Bachelors degree required.   Nike requires all applicants for this position to be vaccinated for COVID-19 as a condition of hire. As an equal opportunity employer, Nike will make accommodations to individuals who cannot be vaccinated in accordance with applicable law. NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world. NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.",30+ days ago,"10,350 reviews"
https://www.indeed.com/viewjob?jk=55e907988b05c106&from=web&vjs=3,10,Data Scientist II,"Hitachi High-Tech America, Inc.","Hillsboro, OR","Location: Hillsboro, Oregon, United States Job ID: R0004463 Date Posted: 2021-10-05-07:00 Company Name: Hitachi High-Tech America, Inc. Profession (Job Category): Data Analytics/Business Intelligence Job Schedule: Full time Remote: No Job Description: In response to the COVID-19 pandemic, Hitachi High-Tech America, Inc. adopts, implements, and updates certain safety protocols in its efforts to promote a healthy and safe workplace for the well-being of our employees, their families, and visitors to our facilities, and to pursue continuity of the Company’s business operations. Where permitted by law, new hires will be required to disclose and certify COVID-19 vaccination status shortly after hire. The role of a Data Scientist II, Engineering (DSIIE) is to analyze data, to report analysis results and to develop data analysis system in order to provide competitive plasma etch equipment utilized in advanced semiconductor industry. The DSIIE analyzes diverse data relating to the equipment, generates actionable insights and solutions, and develops monitoring and analysis system. The position will use Excel, JMP, Python and other specific software tools on its analysis and development works. PRIMARY RESPONSIBILITIES Analyze diverse data relating to plasma etch equipment* to provide competitive plasma etch equipment (*: sensor data, log or history of the plasma etch equipment, data from external metrology tools .etc). Identify, interpret, and communicate meaningful insights, conclusions, and report to engineering teams, business managers and customers. Develop and maintain algorithms, program codes, software, automated system needed for data analysis, equipment monitoring, preventive maintenance and equipment fault diagnosis. Understand and contribute to hardware and software development projects relating to data analysis, equipment monitoring, preventive maintenance and equipment fault diagnosis. Understand and contribute to statistical, machine learning projects relating to plasma etch equipment. Interacts with hardware engineer, software engineer, process engineer, service team and business managers in US and Japan for deep analysis and the development. Generate internal and external documentation for products, presentations, and technical reports for review by relevant stakeholders. Translate technical questions into actionable experimental designs. Operate plasma etch equipment and tools relating to the equipment in order to evaluate algorithm, software and system. Other duties as required. EDUCATION, LICENSES, AND/OR CERTIFICATION REQUIREMENTS M.S. or Ph.D. in electrical engineering, mechanical engineering, computer science, mathematics, statistics, physics, chemistry, chemical engineering, or material science or an equivalent combination of education and experience EXPERIENCE AND TRAVEL REQUIREMENTS Four years of hands on hypothesis driven data analysis and statistics experience Four years of machine learning or exploratory data analysis related experience preferred, but not required. Must be willing to travel domestically and internationally approximately 5% of the time including assignments that require multiple weeks stay Must be willing to live abroad on international assignments that typically last three months’ time or less SKILLS AND ABILITIES REQUIREMENTS Knowledge of statistical methods for modeling time-series sets data and multivariate data sets including machine learning techniques. Strong knowledge of programming environments such as Matlab, Python, R or equivalent systems/programs. Strong engineering analytical and problem solving skills General technical knowledge of semiconductor wafer processing. General technical knowledge of semiconductor manufacturing equipment. Strong motivation to learn technical knowledge of plasma etch equipment. Understanding of scientific methods Self-motivated and ability to adapt to changes in a fast moving environment. Ability to take R&D initiative and deliver tangible results under deadlines. Ability to work independently and inquisitively with minimal direction. Excellent teamwork and customer focus. Flexibility to work across all functions/levels as part of a team. Candidate must have excellent verbal and written communication skills with the ability to effectively communicate technical analyses and results. Ability to work in a clean room environment for extended hours. Strong computer skills including Microsoft Office software competency. Ability to communicate in Japanese is a plus, but not required. SAFETY REQUIREMENTS Handle solvents, acids, bases, or gases used for maintenance and facilities systems. POSITION - SAFETY RISKS AND HAZARDS Compressed gases (toxic and non-toxic) handling Wet chemical handling Warning: Due to the nature of the work environment, this job may require working on equipment or in work areas where electromagnetic frequencies may be present from some of the equipment (intensity may vary) which could possibly interfere with certain medical implants or devices. If you have questions, contact Human Resources. Equal Opportunity Employer  (EOE)-Females/Minorities/Protected  Veterans/Individuals with Disabilities If you require reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to  HTA-AccommodationRequests@hitachi-hightech.com",30+ days ago,
https://www.indeed.com/viewjob?jk=a0d16c3171218fae&from=web&vjs=3,10,,,,,,
https://www.indeed.com/viewjob?jk=dbb2aa7d1fa49197&from=web&vjs=3,10,"Associate, Data & Analytics Consultant",KPMG,"Suite 3800 1300 South West Fifth Avenue, Portland, OR 97201","Innovate. Collaborate. Build. Create. Solve. The KPMG Digital Lighthouse is KPMG's award-winning Analytics & AI Center of Excellence recognized by clients and leading analyst firms in the US and globally. The KPMG Lighthouse is a curation of specialized technical capabilities and domain experts working across the digital landscape: applied data science, AI, data engineering and insights, software engineering, automation, and big data. Here, you'll work with a diverse team of professionals to explore and build solutions for clients in a multiplatform environment. You'll be an important part of our high-energy, unique, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. In this particular role, you'll work specifically in the AI Analytics & Engineering Community within the Digital Lighthouse, on a wide range of projects. From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world. At KPMG, our commitment to your career development helps to set us apart as an employer. We want to enhance your potential, both for yourself and as a contributor to our firm. That's why we provide every opportunity to expand your skills, knowledge and experiences through formal education and training programs, leadership development opportunities, and, as well as informal one-on-one coaching and mentoring from your KPMG colleagues. KPMG is currently seeking an Associate to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics. Responsibilities: Help clients understand the broader D&A journey and implications, and participate in the process of design of the solution and the development of the D&A strategy Assess, capture, and translate complex business issues and requirements into a structured analytics use case, including rapid learning of industry/domain/client dynamics and development of effective work stream plans Participate in work streams within the team by developing, implementing, and testing analytics models and visualizations Participate in client and market information gathering through interviews, surveys, workshops, and market research; continuously develop knowledge of emerging technology and analytics techniques Understand and articulate technology options available in data management and manipulation, analytics development, requirements, data science options, and preferences for visualizations within sector of knowledge Contribute to the successful execution of engagements, by raising risks and working as a strong team member; Support the pursuit of business development opportunities Qualifications: Minimum of one year of data analytics experience with a professional services firm, an internal strategy/analytics group, or similar environment; Experience operating in a team environment with high expectations Bachelor's degree in a technical or quantitative field from an accredited college or university (Master's or MBA degree is preferred) with working knowledge of topics such as statistics, econometrics, machine learning, operations research, decision science, and cloud computing Sector and/or process-specific experience in D&A, including strategy and transformation, design and implementation; Understanding of general landscape for data science and big data opportunities; deep understanding of sector and/or process-specific landscape for opportunities Ability to communicate effectively at an analyst level and an emerging ability to communicate at an executive level, across multiple lines of business including IT, analytics and direct business unit Strong written and communication skills with the ability to explain technical concepts and analytics-driven findings to business people, and to explain business processes, concepts, challenges, and issues to technical resource Ability to travel when necessary; Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.",Today,"7,008 reviews"
https://www.indeed.com/viewjob?jk=30b39ee30747009c&from=web&vjs=3,10,Data Science Product Manager,FlexIT Inc,"Beaverton, OR 97005","You will manage cross-functional product management squads across the matrix focused on delivering AI / ML algorithms that power customer experiences and data products. You will work in close collaboration with data scientists on the Consumer Data Science (CDS) teams.   Rquired  Bachelor’s degree or postgraduate education (MS or PhD) in an applied quantitative field or equivalent experience at a cutting-edge company  3 - 5 years experience building data science products powered by artificial intelligence in a large organization (experience with a consumer products organization is preferred but is not a requirement)  Demonstrated ability to conduct customer interviews (internal and external), identify pain-points, and determine if / how artificial intelligence can / will solve the problem  Robust understanding of consumer products industry including industry participants, channels (eCommerce, brick & mortar, and wholesale channels), customers and market segments, and innovations  Demonstrated entrepreneurial or intrapreneurial experience collaborating with data scientists, engineers, and designers solving customer problems with a tool /platform that was powered by AI / ML  Demonstrated experience using mathematical modeling and machine learning to solve business problems  Demonstrated experience as a product manager, ideally with a consumer technology product. Specific activities include: formulating product strategy, evaluating and prioritizing ideas, creating business cases, defining product features, overseeing development, and orchestrating product launch / releases  Familiar with traditional PM methodologies (e.g., Agile, Kanban, Waterfall, etc.) and knowledge of when to apply methodologies  Record of clearly defining and measuring what success looks like for previously managed products (by leveraging OKRs, KPIs, etc.)  Ability to thrive in a fast-paced, flexible environment  Organizational leadership and influence without relying on hierarchy",30+ days ago,
https://www.indeed.com/viewjob?jk=1babdf0c4137e532&from=web&vjs=3,10,Data Scientist,George Fox University - Staff and Administrator,"Newberg, OR 97132","Purpose The Data Scientist uses data to find patterns, trends, and causal relationships as aids for projecting probable future conditions and events. These findings must then be effectively communicated to decision-makers to aid in critical decisions about organizational strategy and tactics. This work requires a deep understanding of principles in Statistics/Mathematics, Finance/Economics, and Computer Science paired with the ability to listen intently and present skillfully. The goal - give end-users the power to confidently make data-driven decisions. George Fox University , a Christ-centered community, prepares students spiritually, academically, and professionally to think with clarity, act with integrity, and serve with passion. Professors teach all truth as God's truth, integrating all fields of learning around the person and work of Jesus Christ, bringing the divine revelations through sense, reason, and intuition to the confirming test of Scripture. As a Christ-centered community, George Fox University is an institution that values diversity as an essential dimension of God's design for human communities. In seeking to become a more inclusive community, we especially encourage applications from individuals who can help us achieve our diversity goals.   Duties and Responsibilities Understand University strategy and objectives and identify opportunities to deliver decision-aids and data products [visualizations, models and their outputs, alerts, etc.] Extract, cleanse, and verify data utilized in the creation of features for modeling and reporting by multiple constituencies, and monitoring these products after release for drift Extend University data with third-party sourced data where necessary using APIs or other methods Apply advanced methods of modeling and data-mining to systematically identify patterns, trends, and causal relationships from data Develop simulations based on relevant data and findings to support ""What If"" Analysis Assist with the analysis of Accounting and Financial data sourced from a General Ledger and financial statements and disclosures, both internal and external Address more difficult, sophisticated, or novel requests for analysis, such as causative models, graph analysis, and complex event processing and communicate results effectively Utilize skills to effectively cross or aid in the closure of data-chasms where they exist Support the development of data capabilities through-out the institution, such as assisting in the selection of potential tools, creating best practices for their use or machine learning generally, help in benchmarking external analytics service providers, and providing validation services to internal conclusions drawn from data. Required Qualifications Bachelor's Degree in field related to quantitative analysis such as Mathematics, Statistics, Economics, Analytics and at least 2-years of Analytics experience and a track-record of results Demonstrated technical skills including SQL, Python and data science libraries evidenced by experience working with complex data sets and managing data workflows Able to effectively communicate with all departments and levels of associates through both verbal and written methods Ability to work independently on complex projects Possess critical thinking skills, using logic to identify strengths and weaknesses of alternative solutions and troubleshoot issues, suggest improvements, implement changes, and deliver value Past experience with Tableau, Financial Analysis, Masters coursework, or in Higher Education is a plus For Your Personal Well-Being We Offer: A beautiful and peaceful campus environment with areas to walk and coffee shops and restaurants close by A strong Christian vision and mission-led organization with opportunities for your growth and contributions Wonderful Christian peers and a vibrant student population Free Fitness Center membership Free parking Rich employee benefits Flexible work location - in office and remote if desired We invite you to Be Known at Oregon's Nationally Recognized Christian University! George Fox has been transforming student lives for over 125 years. Each day we look to broaden our future for generations to come. We have alumni from 52 countries and all 50 states. We invite you to become a steward of our dreams using your God-given gifts. Our Purpose: To educate and inspire students to pursue God's calling. **This position is subject to close at any time, regardless of the date on the posting **Relocation assistance available**",30+ days ago,
https://www.indeed.com/viewjob?jk=a0a26acbdd42a56a&from=web&vjs=3,20,Research & Analytics Consultant (Exempt),Port of Portland,"Portland, OR","Provide a mix of research and analytic products, including studies, business intelligence reporting, surveys and advanced analytics to inform Port business strategy and operations. Use a variety of communication approaches, including data visualization to translate complex findings into easy-to-understand concepts to achieve operational, commercial, and policy objectives. Apply equity considerations to the work and its outcomes. Lead Port and multiagency project teams, consultant contracts, and project budgets. Support the establishment, data collection, and reporting of Port-wide performance metrics to assess the Port’s business outcomes in relation to its strategic plan and equity goals. Make performance data and statistics more accessible to the public and other stakeholders by developing and publishing visual and interactive open data reporting. Strengthen the Port’s data culture by providing leadership to internal communities of data and analytics practitioners across a variety of subject matters and technical areas. Partner with colleagues to lead data governance and stewardship activities. Promote data literacy and modern data practices to all Port staff through the provision of learning resources and other tools. Cultivate a network of industry experts, both locally and nationally, to discover best practices for applied research and analytics, and position the Port as a leading practitioner in this space. Represent the Port on industry boards, technical advisory committees, and as a speaker locally and nationally. Present to advisory groups, elected officials, and elected bodies (city councils, legislature, congressional delegation, and staff).    Minimum Requirements/Skills and Abilities  MINIMUM REQUIREMENTS Bachelor’s degree in business, public policy, economics, urban planning or a related field is preferred; or, the equivalent combination of education and/or relevant experience is required. Minimum of eight (8) years’ experience in research or data analysis is required. Knowledge of the following is required Relational database concepts Advanced analytics/data science methods Business intelligence software, such as Tableau or Power BI Survey research methods and approaches Demonstrated experience utilizing and delivering effective presentation techniques (verbal, graphical, written) to diverse audiences. SKILLS AND ABILITIES Proven self-starter who fosters innovation and a drive for results. Demonstrated ability to set clear goals and priorities; plan work effectively and manage multiple priorities. Skilled at acquiring data and information and being able evaluate accuracy; and being able to determine the most appropriate analysis given the business or policy context. Proven visual storytelling skills; create and deliver visual reporting products (i.e., presentation slides, data visualization dashboards) incorporating graphical depictions of findings and data from internal and outside sources that clearly communicate key messages. Willing to leverage modern data tools, such as business intelligence, data preparation and advanced analytics software to extract, transform, integrate and automate data flows from a variety of sources for analysis and visualization. Excellent communicator who enjoys building partnerships and is able to influence, inspire and motivate others. Critical thinker who is able to construct and dissect arguments. Anticipate internal and external customer needs and take appropriate action. Willing to proactively seek out opinions, advice, and feedback from others. Promotes safety as a guiding principle and a regular practice in accomplishing work. Proven team player who shows the utmost respect for others. Ability to Work independently without detailed or regular guidance. Apply an equity lens to work and deliverables. Take initiative, introduce opportunities for change and apply innovative thinking to the work. Build and maintain productive working relationships, work collaboratively with various groups. Understand and apply modern data management principles and practices. Organize and balance workloads amidst potentially changing priorities and complete projects thoroughly and efficiently. Effectively present findings and recommendations. Demonstrate commitment to valuing differences among individuals and passion for being inclusive.    Additional Information  Safety The Port promotes safety as a guiding principle and practice in accomplishing work by complying with safety and health policies and procedures and consistently seeking improvements that support operational excellence. Diversity and Inclusion At the Port, we don't just accept difference; we value and support it to create a culture of inclusiveness and fun. We are proud to be an Equal Opportunity Employer. EEO/Affirmative Action Policy Statement The Port of Portland is dedicated to maintaining and improving a work environment, which extends equal opportunity to all individuals, regardless of their race, color, sex, age, religion, national origin, marital status, veteran status, disability or sexual orientation. Employment decisions shall be made in such a manner as to further the principle of equal employment opportunity and to comply with state, federal and local laws. We affirm through this policy statement our continuing commitment to the principles of nondiscrimination and affirmative action. Veterans Preference Under Oregon law, qualified veterans may be eligible for veterans preference when applying for Port of Portland positions. If you are a veteran and would like to be considered for a veterans preference for this job, please provide the qualifying documents as instructed during the application process. Background Checks and Drug Testing The Port of Portland will conduct background checks and/or drug tests for positions where such tests are required by regulation and for other safety-sensitive positions. ADA Accommodation Accommodations will be considered for applicants or candidates with a qualifying disability that prevents them from participating in this process. Accommodations will be made where the Port can reasonably do so without imposing an undue hardship on the business or compromising the integrity of the recruitment process. An applicant with any disability who believes that they need an accommodation should contact Human Resources at  503.415.6000",17 days ago,21 reviews
https://www.indeed.com/viewjob?jk=b788b1d7dcb32376&from=web&vjs=3,20,Senior Data Analyst,Change Healthcare,Oregon,"Title: Senior Data Analyst Overview of the Position: The Data Analyst will join the data science team embedded within the Technology Enabled Services organization. The team member will assist in the creation of data driven solutions to business problems including data consolidation and normalization, generation of actionable business insight, building advanced analytical models, and partnering with operations and overhead partners for feedback and user acceptance. The position will receive a business-driven problem, gather and cleanse data, build complex and automated models, draw key insights from the data, and ultimately deliver interventional tools to drive savings to the bottom line. The ideal candidate for this role has a propensity for data mining, project management, and can draw insights from analytics to improve and develop measurable interventions. What will be my duties and responsibilities in his job? Collects, cleanses, and automates data flows into a central repository Analyzes existing data sets to identify patterns, outliers, and areas of inconsistencies through relationships that exist in the data Collaborates with business leaders to validate data insights, and design strategies or recommend changes Builds models for automated data analysis and predictive insights Creates data visualizations for end users including the use of dashboards (Power BI) or user interfaces (PowerApps or other web-based interface) Facilitates cross-functional teams and uses an inclusive approach to understanding current operations Demonstrate good judgment and analytical skills to conduct option analysis and present recommendations What are the requirements needed for this position? BA or BS degree in a quantitative discipline such as Management Information Systems, Statistics, Applied Mathematics, or Computer Science 2-4 years of applicable work experience preferably in analytics, data science, business intelligence, or similar field. Strong personal computer literacy required including working knowledge of relevant software packages such as Microsoft Excel, statistics packages (Python or R), and data visualization suites (Power BI, Spotfire, Tableau, etc.) Ability to work with large amounts of data, including checks for integrity, summation, and effective communication (written and verbal) to internal and external constituents Experience with SQL is required. What other skills/experience would be helpful to have? Healthcare background is preferred Excellent organizational, communication and interpersonal skills Demonstrated ability to manage indirect teams, including members who may be senior in rank Demonstrated capacity to become “expert” in new topics and disciplines quickly “Self-starter” attitude with the ability to excel in dynamic work environments Comfort with problem solving frameworks, root cause analysis, hypothesis testing, and translation of insights into business impact Ability to manage multiple priorities How much will I be expected to travel in this position? Very limited travel required (possibly 1-2 times per year). Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system! COVID Mandate As a federal contractor, Change Healthcare is adhering to the Executive Order which mandates vaccination. As such, we are requiring all U.S. new hires and employees to show proof of being fully vaccinated for COVID-19 or receive an approved accommodation by their date of hire, as a condition of employment. As we continue to navigate the ever-changing COVID-19 pandemic, we remain committed to doing our part to ensure the health, safety, and well-being of our team members and our communities. Proof of vaccination or accommodations requests will be collected once an offer is accepted with Change Healthcare. All accommodation requests will be carefully considered but are not guaranteed to be approved. Equal Opportunity/Affirmative Action Statement  Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read  EEO is the Law  at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf. If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted. Click here https://www.dol.gov/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf to view our pay transparency nondiscrimination policy. California (US) Residents: By submitting an application to Change Healthcare for consideration of any employment opportunity, you acknowledge that you have read and understood Change Healthcare’s Privacy Notice to California Job Applicants Regarding the Collection of Personal Information. Change Healthcare maintains a drug free workplace and conducts pre-employment drug-testing, where applicable, in accordance with federal, state and local laws.",30+ days ago,"1,243 reviews"
