URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=e1a542c1d8b36c97&from=web&vjs=3,10,CONSULTOR DATA SCIENCE NY,managementsolutions,"York, PA","United States  DATA SCIENCE CONSULTANT NY   New York / Internship / Number of vacancies: 2      You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models (Monte Carlo), Review of credit rating and scoring models and quant support to the business and R&D projects.  Requirements   Recent graduates or final year students from disciplines relating to Mathematics, Physics, Statistics, Econometrics or other Quantitative fields. Postgraduate studies and/or specialised courses are an asset, especially in Data Science, Quantitative Finance or similar. Should desirably have knowledge of modeling techniques (logit, GLM, time series, decision trees, random forests, clustering), statistical programming languages (SAS, R, Python, Matlab) and big data tools and platforms (Hadoop, Hive, etc.). Solid academic record. Strong computer skills. Knowledge of other languages is desirable. Get-up-and-go attitude, maturity, responsibility and strong work ethic. Strong ability to learn quickly. Able to integrate easily into multidisciplinary teams.    We Offer   The best environment to develop talent   We offer you the possibility to join a firm that provides all you need to develop your talent to the fullest: Working in the highest-profile consulting projects in the industry, for the largest companies, leaders of their respective markets, alongside top industry management as they face challenges at the national and global level, as part of an extraordinary team of professionals whose values and corporate culture are a benchmark for the industry   Ongoing training plan, with approximately 10% of business turnover spent in training   Specialist knowledge courses, external expert courses, professional skills courses, and language courses. Last year our staff as a whole received over 250,000 hours of training, spanning more than 575 courses.   Clearly defined career plan   Internal promotion based solely on merit.  Partnership-based management model offers all professionals the opportunity to become part of the Firm’s group of partners.   Complementary experiencies   University: we maintain a close relationship with the world’s most prestigious universities.  Social Action: we organize more than 30 community support activities.  Sports Club: internal and external tournaments.   For more information about Management Solutions and the professional careers we offer, we invite you to visit our website at:  www.managementsolutions.com   At Management Solutions we believe in equal opportunities. In our selection process, all qualified applicants are equally considered for employment regardless of race, color, religion, national origin, sex, gender identity, sexual orientation, age, marital status, disability, and any other characteristic protected by law.   More on Management Solutions   Management Solutions is an international consulting firm whose core mission is to deliver business, risk, financial, organisational and process-related advisory services, targeting both functional aspects and the implementation of related technologies.   The best environment to develop talent Human Resources Brochure    Discover our  Nueva York  office    1120 Avenue Of The Americas  NY 10036 New York  United States  (+1) 212 626 66 40   Location  Share this job    Follow us    linkedin/management-solutions   facebook/MngmtSolutions   youtube/management-solutions   instagram/management.solutions   Mngmt_Solutions  Are you a student?   If you are in the final years of your degree, we would also like to hear from you. Management Solutions has agreements with the most prestigious universities to offer students their first experience with the business world. The Firm offers paid work experience and flexible hours with the possibility of students becoming part of the Firm upon graduation.  Other open positions in New York   NEW TECHNOLOGIES AND DIGITAL TRANSFORMATION CONSULTANT NY   DATA SCIENCE CONSULTANT USA NY   BUSINESS CONSULTANT USA NY   NEW TECHNOLOGIES AND DIGITAL TRANSFORMATION CONSULTAN NY   BUSINESS CONSULTANT NY    At Management Solutions we believe in equal opportunities. In our selection process, all qualified applicants are equally considered for employment regardless of race, color, religion, national origin, sex, gender identity, sexual orientation, age, marital status, disability, and any other characteristic protected by law.",30+ days ago,65 reviews
https://www.indeed.com/viewjob?jk=cb9a11e9e8a8554b&from=web&vjs=3,10,Data Scientist,Vanguard,"Malvern, PA","Job Description Summary The Center for Analytics and Insights (CAI) at Vanguard is an enterprise center of excellence for Artificial Intelligence, Machine Learning and Advanced Analytics. As a Data Scientist at CAI, you will drive analytic innovation and apply machine learning and statistical modeling to tackle complex and challenging problems facing Vanguard's business and clients. You will play an important role of identifying opportunities, leading and executing model development and delivering analytical insights to support data-driven business decision making. Core Responsibilities Leads and executes analytical and data science projects that provide deep insights into business needs and advance capabilities. Applies significant quality control and risk assessment of data, model, methodologies, outputs and processes. Engages with internal stakeholders to understand and probe business processes in order to develop hypotheses. Brings structure to requests and translates requirements into an analytic approach. Guides test design, research design, and model validation. Provides statistical consultation services. Serves as the analytics expert on cross functional teams for large strategic initiatives and contributes to the growth of the Vanguard analytics community. Mentors and develops junior data scientists and analysts. Prepares and delivers insight presentations and action recommendations. Communicates complex analytical findings and implications to business leaders. Qualifications Graduate degree in Data Science, Statistics, Mathematics, Economics, Computer Science, or other quantitative discipline or equivalent combination of training and experience. A minimum of five years related work experience in analytical roles. Experience with data wrangling required - Programming skills to access, transform and prepare large scale data for statistical modeling. Experience utilizing statistical and machine learning methods required. Strong proficiency in Python (or R) and data visualization tools. About Vanguard We are Vanguard. Together, we’re changing the way the world invests. For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you. We want to make success accessible to everyone. This is our opportunity. Let’s make it count. Inclusion Statement Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.” We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values. When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose. Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.",13 days ago,"1,145 reviews"
https://www.indeed.com/viewjob?jk=186b6c8f1ad8e79a&from=web&vjs=3,10,Data Scientist Coop,Comcast,"Philadelphia, PA","Comcast brings together the best in media and technology. We drive innovation to create the worlds best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast. Job Summary Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast. Program Overview: The Comcast Center Coop Program (CCIP) is an 26-week summer coop program based at our Philadelphia Headquarter location. The program is designed to identify high-caliber talent to build our organization with the best and the brightest students who come from a variety of sourcing channels, including on-campus career fairs, partner organizations, and direct applications. In this role you will immerse yourself into the Comcast culture, working side by side with innovative and talented Comcasters. You will cultivate meaningful relationships and develop strong interpersonal and business skills that will set you apart from your peers. Additionally, your experience will include: Engagement: Working on creative, innovative, and thought-provoking projects within various business units at Comcast during your coop experience. Exposure: An inside look into the day-to-day operations of an organization at the cutting edge of media and technology. Professional Development: Exposure to a variety of professional development topics facilitated through our partners at Comcast University and senior leaders within the organization. These sessions include speaker series, skill-building workshops, and networking opportunities. Mentorship: Mentoring from fellow colleagues through the Empowering Future Leaders Program (EFLP) to help you navigate your experience, provide coaching, and expand your professional network. Fun: Continuously develop relationships with fellow coops through social activities, community building, and networking. Job Description Role Overview: Responsible for leveraging coop all internal and external data to provide insights and information which supports a fact-based decision making process. Provides input into strategy, analysis methods, and tool selection. Works under general supervision and may require training and detailed instructions for assigned tasks. Core Responsibilities: Interpret problems using existing procedures and framework using data analysis, data mining, optimization tools, and machine learning techniques and statistics (e. g., predictive models, LTV, propensity models). Develop and deploy predictive models based on historical data that provide future predictions about customer behavior. Constructs forecasts, recommendations and strategic/tactical plans based on applying data science techniques to business data. Produce analysis of historical patterns in customer behaviors and product performance from complex real-world behavioral data.  Build customer centric models and optimization tools to support large scale projects that utilize online & offline data, structured & unstructured data, set top box data, and media/behavioral/attitudinal data. Education Master's Degree, Ph. D. Relevant Work Experience 0-2 Years Salary: Base Pay: $34.00 Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",19 days ago,"17,213 reviews"
https://www.indeed.com/viewjob?jk=57ecf195d500ac5b&from=web&vjs=3,10,Data Scientist,Deloitte,"200 Sterling Parkway, Mechanicsburg, PA 17050","Analytics & Cognitive -Data Scientist -Solution Specialist - USDC  Are you an experienced, passionate pioneer in technology - a solutions builder, a roll-up-your-sleeves technologist who wants a daily collaborative environment, think-tank feel and share new ideas with your colleagues - without the extensive demands of travel? If so, consider an opportunity with our US Delivery Center - we are breaking the mold of a typical Delivery Center.  Our US Delivery Centers have been growing since 2014 with significant, continued growth on the horizon. Interested? Read more about our opportunity below ...       Work you'll do/Responsibilities   Strong understanding of data science techniques and libraries and their applicability to business problems  Experience in performing exploratory data analysis to define analytical models Develop advanced quantitative models using a variety of programs/software to support predictive assessments Provide expertise for analytical, programmatic, strategic, and operational analysis. Perform technical risk analysis and reliability assessments. Provide recommendations for plans, programs, strategies, policies and budgets    The Team  Analytics & Cognitive  In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.  The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.  Analytics & Cognitive will work with our clients to:   Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms  Leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions  Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and improvements  Qualifications   Required  Bachelors (or Masters) level qualification in Statistics/Technology/Science/Engineering/Applied Mathematics or a similar quantitate analytics field Has experience in developing algorithms using data science technologies to build analytical models 2+ years' of data extraction/manipulation using scripts specific to Python, R Experience with python and/or R programming 2+ years of experience with presentation and data analysis software such as: SAS, R, SPSS, MATLAB, Qlikview, Excel and Access +python Modeling expertise using a variety of regression and supervised and unsupervised learning techniques Experience in data wrangling/cleansing, statistical modeling, and programming Travel up to 10% annually. Must be willing to live and work in one of our Center locations: Gilbert, AZ (Phoenix area)  Mechanicsburg, PA (Harrisburg area) Lake Mary, FL (Orlando area)    Preferred   PhD in a quantitative analytics field  Experience with Tableau or similar visualization tool  Business analytics experience in one or more of the following industries: Insurance, Consumer Products and Packaged Goods, and Human Resources  Experience conducting Modeling and Simulation Analysis, DoD Science and Technology (S&T) Analysis, Program Analysis and Evaluation, C4/IT and Cyber Analysis, Manpower Analysis, Training and Education Analysis, DoD Logistics, Maintenance, and Supply Analysis, Naval Amphibious Shipping Analysis, Strategic Plans Analysis, Strategic Investment Analysis, Cost and Economic Modeling and Analysis, Operations Research Analysis, Readiness Analysis, Force Preservation Analysis  How you'll grow  At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.   Benefits  At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits.   Deloitte's culture  Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.",30+ days ago,"10,326 reviews"
https://www.indeed.com/viewjob?jk=a8e8346b38051c32&from=web&vjs=3,10,Data Scientist,The Hershey Company,"Hershey, PA","Job Title: Data Scientist  Job Location: Hershey, PA  Summary:  The Enterprise Data organization drives value for Hershey by providing high-quality, well governed data to the Enterprise for analytics and decision-making.  The Data Scientist will be part of an agile execution team, working with Hershey business partners, technical engineers, data architects, and project managers to ensure data science standards adhere to company best practice and help to deliver rapid impactful benefits.  The Data Scientist will act as a trusted advisor for Hershey business partners to build new, data-driven, machine-intelligent capabilities that impact the business. You will work with large volumes of data, innovative technologies, and advanced methods to solve real business problems. You'll design and run experiments, research new algorithms, and find new ways of optimizing risk, profitability, and the customer experience. You will work with a diverse team of business analysts, technical engineers, data architects, and project managers to deliver outcomes aligned with our business partner’s strategy. In addition, you will work directly with the Director of Data Science to ensure consistency and compliance of deliverables to frameworks and governance processes.  Applicants should have a strong background in machine learning, statistical modeling, feature discovery/selection, optimization, exploratory data analysis, data mining and pattern recognition.  Specific Job Responsibilities:  Lead and coordinate key cross-functional data science efforts to accelerate value creation for agile execution team outcome delivery through machine learning  As part of a team, use machine learning (ML), deep learning (DL) and other analytical techniques to create scalable solutions for business problems Interact with business partners, technologists and engineers define and understand business problems, help, and aid them to implement ML/DL algorithms when appropriate  Demonstrate understanding of forecasting, optimization, statistical analysis, and operations research. Extensive knowledge of forecasting techniques such as trend analysis, econometric models and machine learning is preferred  Design, develop and evaluate highly innovative models for predictive learning, content ranking, and anomaly detection  Analyze and extract relevant information from historical data to help automate and optimize key processes  Work closely with technology, business, and engineering teams to drive model implementations and adoption of new algorithms  Using best practice guidance from the Enterprise Data team, oversee the health and evolution of agile execution team data science technologies  Consult project leadership to understand projects’ needs/requirements to recommend opportunities and identify gaps to ensure clean and rapid project delivery  Strategic thinker with holistic vison, specific focus on automation of existing processes to drive key business performance Able to articulate the holistic benefits of data science from a business perspective, while maintaining the relationship with business analysts, data architects, technical engineers, and project managers  Minimum Education and Experience Requirements:  Education:  Bachelor’s in a STEM degree Master’s degree and/or related equivalent experience preferred  Experience:  1-3+ years of professional experience with applying quantitative research in optimizing human decisions using technologies like machine learning and/or deep learning  2+ years of data engineering experience with large-scale data storage processing architectures (Hadoop, SQL, HIVE, Spark/SparkR, etc.)  2+ years of experience working with cloud-based analytical systems (e.g., AWS, Azure, Google Cloud)  Advanced working knowledge and experience with data science and relational/non-relational databases e.g., Teradata, Snowflake, Databricks, Azure Data solutions and Hadoop  Experience with major machine learning/deep learning frameworks (e.g., Scikit-learn, TensorFlow and Keras)  Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques  Ability to communicate complex ideas in a clear, precise, and actionable manner  Experience working in a high performing agile delivery model, aligning with Scrum Masters, Product Owners, and other execution team members to deliver rapid and impactful solutions that align to business partner strategy  Excellent communication and presentation skills, with the ability to articulate new ideas and concepts to technical and non-technical partners  The Hershey Company is an Equal Opportunity Employer. The policy of The Hershey Company is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's race, color, gender, age, national origin, religion, citizenship status, marital status, sexual orientation, gender identity, transgender status, physical or mental disability, protected veteran status, genetic information, pregnancy, or any other categories protected by applicable federal, state or local laws.  The Hershey Company is an Equal Opportunity Employer - Minority/Female/Disabled/Protected Veterans  If you require a reasonable accommodation as part of the application process, please contact the HR Service Center (askhr@hersheys.com).",10 days ago,"1,082 reviews"
https://www.indeed.com/viewjob?jk=6727d7d82fd88d3e&from=web&vjs=3,10,Data Scientist - Fraud,"Radial, Inc.","935 1st Ave, King of Prussia, PA 19406","The Data Scientist will work with our Sr. Manager of Advanced Analytics and Data Science as well as our fraud rules, fraud review team, technology, product, policy, and client relationship partners to build, deploy, and maintain advanced analytical solutions with the goal of reducing fraud chargebacks, reducing false positive decline, improving client experience, and ensuring that Radial minimizes its total cost of fraud while minimizes friction to the merchant and consumer.Manage machine learning model life cycle through model audit, back testing, forward testing, benchmarking with the help of performance metrics Conduct exploratory data analysis, supervised, unsupervised and semi-supervised machine learning to identify fraud trend, segment and clusters, and optimization opportunity Robotic process automation to reduce the need for manual, repeatable processes Work closely with Technology team for model deployment and monitoring Work with the other data scientists and the team executive and stakeholders to help develop the data strategy for client protection to ensure the organization has the proper data to make the right decisions, with a priority on data availability in real-time, and generating true customer-level views able to make intelligent fraud decisions leveraging the entirety of our interactions with a customer",30+ days ago,2 reviews
https://www.indeed.com/viewjob?jk=a6836e39404ebbf5&from=web&vjs=3,10,Scientist I: Data Reviewer - 2nd Shift,Eurofins Central Laboratory,"Lancaster, PA","Lancaster, PA, USA Full-time  Company Description Eurofins Scientific is an international life sciences company, providing a unique range of analytical testing services to clients across multiple industries, to make life and our environment safer, healthier and more sustainable. From the food you eat, to the water you drink, to the medicines you rely on, Eurofins works with the biggest companies in the world to ensure the products they supply are safe, their ingredients are authentic and labelling is accurate.   Eurofins believes it is a global leader in food, environmental, pharmaceutical and cosmetics products testing and in agroscience CRO services. It is also one of the global independent market leaders in certain testing and laboratory services for genomics, discovery pharmacology, forensics, CDMO, advanced material sciences and in the support of clinical studies. In over just 30 years, Eurofins has grown from one laboratory in Nantes, France to over 50,000 staff across a network of more than 900 independent companies in over 50 countries and operating more than 800 laboratories. Eurofins offers a portfolio of over 200,000 analytical methods to evaluate the safety, identity, composition, authenticity, origin, traceability and purity of biological substances and products, as well as providing innovative clinical diagnostic testing services, as one of the leading global emerging players in specialised clinical diagnostics testing. Â In 2020, Eurofins generated   total revenues of EUR â‚¬ 5.4 billion, and has been among the best performing stocks in Europe over the past 20 years. Job Description Ensure that the client receives quality data by reviewing laboratory data for accuracy, clarity, and adherence to GMP and/or GLP regulations Review simple and complex routine and non-routine data (for three or more areas) according to departmental, corporate, and client SOPs; read and understand analytical procedures; ensure all work is performed according to GLP/GMP requirements and apply GLP/GMP in all areas of responsibility as appropriate Perform analysis of proteins and the impurities or raw materials associated with their production using various analytical techniques Determine if data is compliant and defendable based on industry regulations and methodology Verify data is of sound quality following all method, industry, and client requirements where applicable Diagnose problems, solve simple problems, and suggest solutions to complex problems in professional area; perform complex calculations Train and mentor junior scientists Troubleshoot method and instrumentation problems Use office and instrumentation specific computer software Produce written reports (e.g., SOP, OMC, client reports) Qualifications The Ideal Candidate would possess: Strong computer, scientific, and organizational skills Excellent communication (oral and written) and attention to detail Minimum Qualifications: Bachelor's degree in chemistry or other related degree concentration, or equivalent directly-related experience Experience working in a GMP setting Authorization to work in the United States indefinitely without restriction or sponsorship Additional Information Position is full-time, Monday - Friday 8:00am - 5:00pm. Candidates currently living within a commutable distance of Lancaster, PA are encouraged to apply. Excellent full time benefits including comprehensive medical coverage, dental, and vision options Life and disability insurance 401(k) with company match Paid vacation and holidays Eurofins is a M/F, Disabled, and Veteran Equal Employment Opportunity and Affirmative Action employer.",5 days ago,"1,507 reviews"
https://www.indeed.com/viewjob?jk=db7458d5e88db520&from=web&vjs=3,10,"ASSOCIATE SCIENTIST - NO BENCHWORK, MICROBIOLOGY DATA ENTRY",PPD,"Collegeville, PA","JOB DESCRIPTION PPD is a leading global contract research organization providing comprehensive, integrated drug development, laboratory and lifecycle management services. At PPD, we are passionate, deliberate, and driven by our purpose- to improve health!   PPD Laboratories offers the most comprehensive set of laboratory services available in the industry and continues to deliver innovative solutions to our clients through our collaborative approach, including PPD® Laboratories FSP. PPD® Laboratories FSP is a unique partnership that allows our clients to leverage the experience of our PPD staff, while allowing you, the employee, to gain direct experience working onsite at a pharmaceutical/ biopharmaceutical company, all while maintaining full-time benefits/advantages of being a part of PPD.   Job Purpose:   Provide scientific support for project teams. Coordinate sample shipment and purchase orders for outsourced testing. Perform data entry using LIMS system. Support facilities through environmental monitoring. Assist with implementation of modern microbiology methods and technology. Ensure data meets compendial and Client quality Standards.   Key Responsibilities:   Co-ordinate microbiological testing of samples for clinical manufacture. Enter microbiological test results from in house or contract microbiological testing labs. Review microbiological results for completeness, accuracy, and quality, in addition to assessing trends to draw conclusions. Work with UP microbiology team to define microbiological control strategies for drug products (both API and Formulations). Support rapid microbiology technology evaluations in relevant areas to support Sterility testing, Environmental Monitoring, and Endotoxin testing. Transcription checking or review of microbiology data and submissions. Maintain partnerships with clinical manufacturing and product development teams to provide timely and high-quality data and service. Support project teams through clinical progression helping to deliver validated microbiological testing procedures. Maintain training records and familiarity with current SOPs and controlled documents. Proactively seek assistance from other scientists to solve problems. Work to GMP standards as appropriate. Follow safe Laboratory Practices, regular safety training, and maintain accurate and complete safety records consistent with company policy and legal requirements.   #LI-LM2 Job Qualification Education and Experience:  Bachelor's degree or equivalent and relevant formal academic / vocational qualification  Previous experience that provides the knowledge, skills, and abilities to perform the job (comparable to 0-2 years).  In some cases, an equivalency, consisting of a combination of appropriate education, training and/or directly related experience, will be considered sufficient for an individual to meet the requirements of the role.  Knowledge, Skills and Abilities:  General compendial knowledge of USP Microbiology.  Experience with GMP laboratory operations and FDA regulations.  Excellent verbal and written communication skills  Ability to prioritize and organize tasks.  A high level of learning agility.  Proven ability in technical writing skills  Time management and project management skills  Ability to work in a collaborative work environment with a team   Working Environment:  PPD values the health and well being of our employees. We support and encourage individuals to create a healthy and balanced environment where they can thrive. Below is listed the working environment/requirements for this role:  Able to communicate, receive, and understand information and ideas with diverse groups of people in a comprehensible and reasonable manner.  Able to work upright and stationary and/or standing for typical working hours.  Able to lift and move objects up to 25 pounds  Able to work in non-traditional work environments.  Able to use and learn standard office equipment and technology with proficiency.  May have exposure to potentially hazardous elements, including infectious agents, typically found in healthcare or laboratory environments.  Able to perform successfully under pressure while prioritizing and handling multiple projects or activities.  As a condition of employment with PPD, in this role, you must have received your Covid-19 vaccine and you must disclose proof of your vaccination status upon employment.  Diversity Statement PPD is proud to be an affirmative action employer that values diversity as a strength and fosters an environment of mutual respect. PPD is committed to providing equal employment opportunities without regard to age, race, color, pregnancy, national origin, religion, sex, gender identity, sexual orientation, disability, veteran status or status within any other protected group.",30+ days ago,924 reviews
https://www.indeed.com/viewjob?jk=e63f40b748fe2171&from=web&vjs=3,10,NLP Data Scientist,Amazon.com Services LLC,"Pittsburgh, PA"," MA/MS in Computer Science, Computational Linguistics, Language Technologies, Linguistics, or BA/BS plus 3 years’ experience  Experience with Machine Translation, Machine Learning, NLP, and/or corpus analysis  Scripting abilities in a language like Python  Exceptional analytical, troubleshooting and problem solving skills  Job summary Amazon is looking for passionate Data Scientists and Computational Linguists with experience in Machine Translation/NLP to help us expand our MT and NLP technology. Amazon’s International Search team owns defining and delivering Amazon’s cutting-edge Search and Machine Translation initiatives to customers and cultures across multiple regions. We do this by developing our own customer-facing features, services and platforms based on customer needs, and through partnerships with Amazon technical teams around the world including Central organizations. You will work with the largest online retail search application in the world, both in terms of users, catalogue size, and computing resources, and your work will directly impact millions of our customers. You will collaborate with recognized experts in business, science and engineering. Our mission is to enable a superior experience for all of Amazon’s customers in their native language by developing and deploying state-of-the art technology and applications in Machine Translation (MT), Natural Language Processing (NLP) and Machine Learning (ML). The global scale of Amazon means true big data problems, big data opportunities, and building for global customers. Machine Translation allows Amazon to reach people in their preferred language. We are a team tackling the tough language problems that general-purpose MT cannot solve. As part of our cross-functional MT research & development team, you will work on developing, deploying, maintaining and supporting our fleet of Machine Translation engines, particularly focused on Search. You will experiment with training data manipulation, multi-arc systems, error analysis, evaluation techniques, and modeling innovations in the MT space. Your work will directly impact millions of our customers in the form of products and services that make use of our MT and NLP technology. You will gain hands-on experience with Amazon’s heterogeneous language data sources and large-scale computing resources to accelerate advances in MT and NLP. Key job responsibilities   Drive data science and NLP exploration and innovation for MT improvements and evaluation techniques  Train and evaluate neural MT models using Amazon's proprietary MT technology  Analyze the accuracy and performance of MT models  Assist in deploying, maintaining, and supporting Amazon's fleet of dedicated MT systems in production  Design and implement software to collect, analyze and prepare large natural language data sets  Good written and spoken communication skills  Experience using tools and systems for standard MT and NLP tasks, such as language modeling, named entity recognition, syntactic parsing, etc.  Experience in development of large-scale NLP systems in a large industrial or government environment  Formal or informal knowledge of linguistics and/or foreign languages  Formal or informal knowledge of linguistics and/or foreign languages  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",10 days ago,"76,760 reviews"
https://www.indeed.com/viewjob?jk=f66b0dfdb4f03cde&from=web&vjs=3,10,Operations Associate Data Analyst,Sheetz,"243 Sheetz Way, Claysburg, PA 16625","Location:  Sheetz Corporate - Claysburg, PA   PRIMARY PURPOSE OF THIS POSITION:   Responsible for supporting the effective use of Store Operations data. Supports Sheetz’ data and information strategy through data analysis and visualization in order to facilitate and enhance organizational decision-making and data utilization. Provides basic data analytics to support Operations Efficiencies and collaborate with other departments.   ESSENTIAL FUNCTIONS: (other duties may be assigned)  Assist in the development of data-driven insights that help support strategic and tactical business opportunities, and be a champion for a data-driven, decision-making culture.  Support Operations Efficiencies with creating various ad-hoc reporting and interactive dashboards.  Run SQL queries as needed in support of the department.  Provides support for data analysis and projects for Operations Efficiencies.  Support department and company-wide initiatives by providing routine data analysis.    REQUIREMENTS:   (Equivalent combinations of education, licenses, certifications and/or experience may be considered)    Education  Bachelor’s degree in Economics, Statistics, Mathematics, Actuarial / Data / Computer Science or related field required Experience  Experience with or coursework in the latest data mining, machine learning and/or artificial intelligence techniques, and in designing and implementing information solutions, required.  Experience with or knowledge of data modeling, optimization, and application to business strategies preferred.  Experience with Tableau or other data visualization software preferred.  Experience with or coursework in integrating complex, inter-departmental processes and information strategies, and/or designing strategic metrics and scorecards preferred.  Licenses/Certifications  None required Tools & Equipment  General Office Equipment   ABOUT SHEETZ Sheetz, Inc. is a fast-growing, family-owned, food/convenience company that has been in business since 1952. Sheetz has over 600 locations in Pennsylvania, Ohio, Virginia, West Virginia, Maryland and North Carolina.  Our mission at Sheetz has been to meet the needs of customers on the go. Of course, things have changed over those nearly 70 years. Life is faster and busier, and customers expect us to be there when they need us most. One thing that hasn't changed is our commitment to our customers, our employees and the communities in which we operate. Sheetz donates millions of dollars every year to the charities it holds dear.",5 days ago,"2,969 reviews"
