URL,page_count,job_title,company,location,job_Description,post_date,reviews
https://www.indeed.com/viewjob?jk=ba84f8110e98dab6&from=web&vjs=3,10,"Data Scientist, Jr",Jacobs,"2411 Dulles Corner Park, Herndon, VA 20171","Critical Mission Solutions   Challenging Today. Reinventing Tomorrow.  We're invested in you and your success. Everything we do - whether Aerospace, Defense, Intelligence, Information Technology, Cybersecurity, Nuclear, Automotive, or Telecommunications - is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.  It's our promise to challenge the status quo as we redefine how to solve the world's greatest challenges, and transform big ideas into intelligent solutions for a more connected, sustainable world.  Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed –today and into tomorrow.  Your Impact: Responsibilities:  Working independently and collaboratively in a team, on strategic projects to develop complex data models and solutions.  Analyzing, interpreting, and extracting data to support decision-making, engaging with customers to understand changing requirements, and recommending solutions based on quantitative analysis.  Independently compiles and reviews often disparate and inconsistent data to address complex intelligence issues or problems for internal/external customers.  May require constructing and performing complex statistical, mathematical, and data analysis independently, or in partnership with other data scientists or analysts.  Provides recommendations for the development of tools and applications that improve process effectiveness and efficiency.  #CJPOST  Here’s What You’ll Need: Here’s What You’ll Need:  Qualifications:  Experience supporting complex data science and analytic projects  Proficiency with Python or R  Experience using SQL to query large relational databases  Experience/knowledge of computer science concepts including programming/algorithm development, statistics, data architecture, data analytics, data science including visualization techniques  Experience with quantitative and qualitative analytics  Experience constructing and performing complex database search queries across multiple databases  Ability to effectively communicate complex technical findings to non-technical audiences in both written and verbal formats  Experience identifying, recommending, and implementing continuous improvement approaches  Overall 1 to 3 years of experience  Degree in BA/BS or MA/MS degree in a technical field such as mathematics, engineering, economics, or computer science  TS/SCI with Polygraph security clearance  Desired Skills:  Experience in modern machine learning, biometrics, social network analysis, or geospatial analysis  Experience/knowledge of link analysis tools ( e.g. Palantir, i2 Analyst’s Notebook)  Experience with cloud architectures including AWS  Experience with distributed computing and storage technologies  Essential Functions  Physical Requirements:  Most work will be done at a desk or computer.  Work Environment:  General Office environment. The work environment is fast-paced and sometimes involves extreme deadline pressures. The nature of the work requires a high degree of teamwork and cooperation with other members of the staff as well as individuals across the Company and Customers.  Equipment & Machines:  General office equipment including PC/laptop, Fax, Copiers, Shredder, Printers, Telephone, and other miscellaneous office equipment.  Attendance:  Attendance is critical at all times. Must be able to work a 40-hour workweek, normally Monday through Friday. However, times and days may vary depending on business requirements. Needs to be available to work overtime during critical peaks and be available to meet last minute requests for overtime should the situation occur.  Other Essential Functions:  Must be able to communicate effectively both verbally and in writing  Grooming and dress must be appropriate for the position and must not impose a safety risk/hazard to the employee or others. Must put forward a professional behavior that enhances productivity and promotes teamwork and cooperation.  Must be able to interface with individuals at all levels of the organization both verbally and in writing. Must be well-organized with the ability to coordinate and prioritize multiple tasks simultaneously. Must work well under pressure to meet deadline requirements. Must be willing to travel as needed. Must take and pass a drug test and background check as well as a motor vehicle records check. Must be a US citizen.  #DATASCIENCE Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law. Jacobs is a drug-free workplace. At Jacobs, we’re challenging today to reinvent tomorrow by solving the world’s most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good. With $13 billion in revenue and a talent force of more than 55,000, Jacobs provides a full spectrum of professional services including consulting, technical, scientific and project delivery for the government and private sector.",30+ days ago,"5,033 reviews"
https://www.indeed.com/viewjob?jk=4e7a8c44edbdb805&from=web&vjs=3,10,Data Scientist,Fraym,"Arlington, VA 22201","ARLINGTON, VA/FRAYM DATA SCIENCE / FULL TIME  About Fraym:  Our company has pioneered the use of geospatial data to understand population dynamics. Governments and organizations around the world rely on Fraym data to make strategic and operational decisions while tackling challenges like inequity and insecurity, climate vulnerability, public health, and more. Our advanced AI/ML models are the first to generate high-resolution insights about human characteristics and behaviors at the sub-neighborhood level and make them commercially available at scale.  Summary of Position:  Fraym is seeking a data scientist to grow our analytical product offerings and improve predictive algorithms in a small data context. Your contributions will support decisions made in emerging markets across commercial, international development, and intelligence sectors.   You should have a strong data science background and experience applying modeling techniques to a practical use case. If you enjoy having the opportunity to build client-driven solutions from data wrangling to delivered methodology, this position is for you. Preference will be given to applicants with experience in algorithm design, analytic solutions, and/or spatiotemporal modeling.   Your responsibilities will include, but are not limited to, the following:   Testing new methods and approaches to build better sociodemographic predictions in markets with limited training data  Contributing to the development of product offerings and capabilities such as machine learning applications, data subscription packages, and inventive data visualizations  Developing workflows and identifying new applications of methodologies for company-initiated use-cases leveraging multiple data sources, as well as generalizing methodologies developed in-house  Managing and growing research projects from inception to full scale workflows, products, and applications  Working within interdisciplinary project teams to drive data driven decision-making by building and scaling predictive models   You will have the following qualifications and skills:   Bachelor’s or master’s degree in a related field.  At least 2 years of data science and/or data analyst work; preference will be given to applicants with practical experience applying data science tools and methods in a social science context.  Essential skills: Python (sklearn, numpy, etc.) and/or R (tidyverse, caret, etc.), and working in a cloud computing environment (AWS).  Experience with or interest in geospatial data (vector and raster)  Enjoy advancing projects both on one's own and collaboratively  Ability to quickly develop technical skills and learn new tools with minimal mentorship and supervision.   Not sure you tick all the boxes? We encourage you to apply. We have a culture of learning, and if this job description sounds exciting, we’d love to hear from you.  Fraym recruits, employs, trains, compensates and promotes regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, family status, veteran status, and other protected status as required by applicable law.",30+ days ago,
https://www.indeed.com/viewjob?jk=68f2d8a9f4033953&from=web&vjs=3,10,Junior Data Labeler,Deloitte,"1919 North Lynn Street Suite 1500, Rosslyn, VA 22209","Junior Data Labeler  In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.   Work you'll do   The Junior Data Labeler will be focused on annotating tasks and delivering high quality results by following a variety of instructions.  The best candidate for this role will be:   Label machine learning data from customers  Complete tasks in a timely manner, meeting SLA deadlines  Work in-sync with Supply Managers to meet weekly goals  Provide feedback to respective teams on product improvement  The team  Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.  The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.   Qualifications   Required:   Must be a US Citizen and must be able to pass Background Check  Must possess and maintain a FINAL Secret Security Clearance  Experience with using technology and inputting data",30+ days ago,"10,325 reviews"
https://www.indeed.com/viewjob?jk=7078a1a6fe31c230&from=web&vjs=3,10,Data Scientist,ISE Data Systems,"Reston, VA","Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s management team in process improvement .",30+ days ago,
https://www.indeed.com/viewjob?jk=10be8de8182bb532&from=web&vjs=3,10,Data Center Engineer,Afiniti,"Ashburn, VA","Who are we? Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. Afiniti operates throughout the world, and has measurably driven billions of dollars in incremental value for our clients.   Purpose Our datacenters, and the multitude of servers, storage and network equipment installed in them, are the foundation upon which our rapidly scaling infrastructure efficiently operates and upon which our innovative services are delivered. This person should enjoy working in a fast-paced environment where adaptability and flexibility will be the key to their success. We seek an IT professional with advanced hands-on technical skills in Networks, Virtualization, Server Hardware and Linux (ideally in a Data Center environment). Having extensive knowledge of managing servers and performing complex projects in a large-scale distributed data center environment should be a core competency of this individual. Solid communication and ability to work with globally dispersed virtual teams is an essential requirement for this role. The candidate should also have deep knowledge and experience in at least one of the following core areas: Networking, Tool and Automation, Hardware and OS repair.   Key Responsibilities  Manage shipping and receiving of parts, hardware, devices and perform all associated documentation/system updates/notifications and operations.  Ensure up to date inventory and asset management of all online and offline equipment.  Monitoring system schedules to ensure all processes are meeting deadlines for completion.  Performing regular walkthroughs of the facility and identifying problems. Maintain incident inventory till resolution.  Following standard operating procedures and maintaining logs of all operating conditions.  Respond to Network and system monitoring alerts and escalate till resolution.  Document system issues accurately and raise tickets.  Escalate issues to appropriate support staff as per guidelines.  Provision, plan, and install all new equipment in the data center including servers, storage, network switches and routers etc.  Participating in development and periodic testing of security processes as they relate to the Data Center.  Researching, evaluating and making recommendations concerning new third-party products or industry trends which are related to data center operations, management and uptime.  Responsible for assisting with all projects and repairs throughout the Data Center.  Work in teams to maintain data center infrastructure.  Understand and debug network, hardware, and Linux OS related issues.  Identify and help create documentation for the global data center knowledge base.  Track issues and analyze data looking for trends and systemic issues.  Be forward thinking to support all data center teams to reduce potential risks to upcoming projects.  Help identify specifications for tools that facilitate deployment, maintaining and decommissioning of server hardware at scale.  Understand OS Provisioning technologies.  Analyze and resolve OS Provisioning issues.  Assist with process improvements and inform best practices in data center operations.  Provide guidance and technical leadership to Repair Technicians.  Display an understanding of organizational structure and capability to work with cross-functional teams on a given project.  Participate in on-call rotation.  Performing other duties as assigned by their respective line managers.    The ideal candidate will have  Knowledge of Linux and hardware systems support in a Datacenter operations environment.  Knowledge of the interdependencies of data center functions and technologies.  Knowledge of enterprise level Server, networking and storage equipment installs.  Knowledge of out-of-band/lights-out server communication methods, such as IPMI and serial console.  Time and project management experience.  Experience modifying and developing scripting or programming languages.  Strong multitasking, critical thinking and problem-solving skills.  Excellent analytical and communication/soft skills are required.  Should be a quick learner, willing to take initiative, enthusiastic about their work, determined and hard worker.  Flexibility to perform and deliver desired results in a 24x7 working environment in off production and beyond standard working or business hours.  Strong relationship and vendor management skills.  Excellent verbal and written communication skills.    Education & Qualifications  BS, BA or BEng in technical field or commensurate experience.    Salary & Package  As well as a competitive base salary dependent on the number of years of experience, we also offer generous stock options, an annual discretionary bonus plus Corporate benefits.   We believe that richness in diversity is a huge asset for Afiniti. We value both the similarities and differences in everyone who is a part of the Afiniti team. We believe that this diversity builds a stronger organization and is in keeping with the core values of our company. Our policy, therefore, is to provide equal employment opportunities for all applicants and employees without regard to race, color, religion, sex (including pregnancy, childbirth, related medical conditions, breastfeeding or reproductive health decisions), gender identity or expression, national origin, age, marital status, ancestry, physical or mental disability, sexual orientation, personal appearance, genetic information, family responsibilities, matriculation, political affiliation, military or veteran status, or any other category protected under applicable federal, state or local law. This means that we comply with all applicable human rights and employment legislation, and we do not discriminate in any aspect of employment, including recruiting, hiring, compensation, promotions, reductions in force, or terminations.",4 days ago,21 reviews
https://www.indeed.com/viewjob?jk=8dd7c6737e1a6cf4&from=web&vjs=3,10,Data Scientist,HUBZone Headquarters Inc,"4111 Monarch Way, Norfolk, VA 23508","HUBZone Headquarters, Inc. Job Requirement Job title: Data Scientist Work Location: Innovation Lab, Norfolk, VA Division/Department: Innovation Division Reports to:  NATO Program Manager n  Full-time o  Part-time n  Exempt o  Nonexempt Salary Range: $95K – $130K / Year Essential Duties and Responsibilities:  HQ SACT is seeking contract support for a Data Scientist to support the development of the various experimental platforms and planning applications. The majority of the products and services within iHub are falling under a category of Software Intensive Projects (SIP). Those projects are either strictly software development endeavors or there is a large software component that constitutes part of the project. The backlog of iHub projects is constantly growing and so is the demand for iHub services. With that rapid growth, the iHub is looking for top talent individuals to become members of its existing teams in order to assure the continuous delivery of already existing services and to increase pace of production of new products and services. Contribute to the development and implementation of an enabling data science capability at HQ SACT and for the NATO Enterprise Support execution and implementation of identified analytic opportunities for data analytics, data science and AI within HQ SACT. Contribute to development of advanced Data Science products in form of Minimum Viable Products (MVP), in particular in support of the ACT Innovation Branch. Provide subject matter expertise to (military and civilian) staff, support ORS and CPP development, and develop proofs of concept Collaborate with international civilian and military staff officers, and data science and software development teams Support training and training development to increase data literacy. Education and/or Work Experience Requirements:  Education: University degree in Data Science/Data Analytics or a related discipline such as Mathematics, Physics, Computer Science, Software Engineering OR four years minimum professional experience in the area of Data Science, including providing analysis and advice in the field of data science, within the last five years. Experience: Experience with data science and data science best practice, in particular applied mathematics and statistics. Experience in modern software architecture and software development related to data science, analytics and data integration, e.g. Python, SQL, R, KNMIE. Experience with machine learning and AI frameworks, using e.g. TensorFlow, PyTorch, scikit-learn, or other modern machine learning frameworks. Knowledge of big data ecosystems and standards. Experience building and optimizing data pipelines and architectures. Experience visualizing data and producing high quality graphs and reports, charts and interactive dashboards. Experience with data visualization tools such as Tableau or MS Power BI. Experience working with open source and publicly available data. Experience with data interoperability and metadata standards (NCDF, STANAGs). Experience with agile methodologies. Experience in providing training in various areas related to data science, analytics, and AI at different technical levels. Experience with all steps of the data science lifecycle to include delivering data products to customers. Experienced 'data storyteller', i.e. communicate efficiently across a diverse audience such as the NATO organization Portfolio of demonstrable products available via GitLab, or other platforms Experience working on a NATO or military (preferably multi-national) staff Deep understanding of the NATO organization and its functions Knowledge and understanding of warfighting and principles of warfare Knowledge of requirements capture and capability development, in particular in a military context Experience in project management Proven ability to communicate effectively orally and in writing, with excellent briefing skills Fluent in English (written and oral) Active NATO or National SECRET (or higher) security clearance Specifically Known Requirements:  The Innovation Lab (iHub), located at Old Dominion University at 4111 Monarch Way, suite 412, Norfolk, VA - 23508 shall serve as the primary residence or performance under this contract. Remote work will not be considered.    8o0ZJSknXe",4 days ago,
https://www.indeed.com/viewjob?jk=0640cdf4e619350e&from=web&vjs=3,10,Senior Data Scientist (Remote Friendly),Mission Lane,Virginia,"Mission Lane LLC is a fintech on a mission (no pun intended) to increase access to financial tools that help people thrive. We are raising the bar on fair credit access, easy money management, and convenient income discovery. Our philosophy is simple: when our customers do well, we do well.  And we have only just begun. Mission Lane's  Data Science Team  is looking for a  Senior Data Scientist  to join us.  You'll be a successful Senior Data Scientist if:   You're personally motivated to help improve the financial health of the 100 million working-class Americans who live paycheck-to-paycheck  You've created, deployed, and managed supervised learning models in production systems for vital applications  You enjoy being a technical mentor. You share best practices for software engineering and can help smart, educated, people with hard mathematical problems.  You consider yourself a generalist data scientist and are more motivated by practical solutions than theoretical elegance  You practice solid fundamentals with software engineering (test-driven development, code review, refactoring) and the PyData stack (numpy, scikit-learn, pandas, etc.)  You can communicate, collaborate, compromise, and be sensitive to the needs of clients and your teammates   We are offering:   A low-ego, respectful, data science team committed to solving practical problems together  The chance to work at a company where data science is at the heart of the business and integral to both our day-to-day operation and our executive team's strategic vision  Flexible work hours and flexible work location (even after the pandemic)  A generous parental leave policy  Excellent opportunities for career growth, with both management and technical tracks for advancement  A team that values learning and approaches work with a ""growth mindset""  A competitive salary, equity, and a full benefits package (health, dental, vision, 401k)   You might be particularly excited about the role if you want:   To work on fairness, accountability, and transparency in machine learning (FAccT ML) or explainable AI (XAI)  To find practical ways to apply modern innovations from diverse research areas like Causal Inference, Cost-Sensitive Machine Learning, and Time Series Classification  To use distributed computing systems like Spark and Snowflake to manipulate data   If you're excited about the role and aren't sure if you meet all the requirements - we want you to apply anyway! We believe people can contribute to our team in a wide variety of ways and want to meet people who find meaning in our mission and our technical work compelling.  Job Location: Richmond, Virginia or Remote More about Mission Lane:  Mission Lane is based in the U.S., with offices in Richmond, Virginia & San Francisco, California. Founded in December 2018, we've rapidly grown to over 1 million customers.  It all started with a realization: nearly fifty percent of the adult population in the U.S. doesn't have access to a clear line of credit. And by ""clear"" we mean credit without crazy fees that only increase debt. Most traditional credit card companies either overlook or overcharge this group because they have less-than-prime credit scores or no score at all. We decided this just wouldn't do.  We understand that everyone doesn't have the same opportunities. We also know that everyone joins us at different stages of their financial journeys. Providing access to clear credit was a critical first step, but our work isn't done. We are actively developing new products designed to meet our customers where they are, according to their needs.  We get it -  life happens . That's why Mission Lane is hard at work paving a better way forward.  Just like for our customers, Mission Lane creates opportunities for our employees to learn, grow, and prosper. We strive to create an environment that brings out the best in everyone, everyday.  ******  Mission Lane is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law.  Mission Lane is not currently sponsoring new applicant employment authorization for this position. And please, no third party recruiters.  #LI-REMOTE",30+ days ago,17 reviews
https://www.indeed.com/viewjob?jk=802e7d13877752e7&from=web&vjs=3,10,Data Scientist Analyst Asc,LOCKHEED MARTIN CORPORATION,"Arlington, VA 22202","COVID-19 continues to significantly impact our employees, families and communities. With employee health and safety as our top priority, and as a federal contractor, Lockheed Martin is taking action to address the increased risk and uncertainty COVID variants pose in the workplace and ensuring we meet our commitments to national security.  As directed by Executive Order 14042: Ensuring Adequate COVID Safety Protocols for Federal Contractors, all current and newly hired employees, in the United States, are required to be fully vaccinated by January 18, 2022.  Description: The Lockheed Martin Chief Data & Analytics Office (CDAO) supporting Rotary and Mission Systems (RMS) is responsible for developing strategies and implementing integrated, cross-functional solutions that transform operations through data-based decisions that deliver business-based outcomes. Our Data Science Team is at the forefront of our digital transformation as they build data science, artificial intelligence, and machine learning solutions to drive tangible business improvements.  An RMS CDAO Data Science Analyst will be a hands-on practitioner tasked with conducting experiments, building solutions, and partnering with stakeholders and analysts to identify new opportunities utilizing the large sets of structured and unstructured data. They will leverage their knowledge and experience to deliver insights into business problems. The selected candidate will be a practicing data scientist.  The work location can be any major Lockheed Martin facility; full-time telecommuters will be considered. Duties and responsibilities include, but are not limited to:  Apply and/or develop advanced technologies, scientific principles, theories, and concepts to identify meaningful patterns in data in sometimes ambiguous problem spaces Responsible for modeling complex business problems, discovering insights and identifying opportunities using statistical, algorithmic, mining, and visualization techniques Collaborate with business stakeholders to identify business opportunities and requirements to develop associated analytical models that deliver useful, actionable insights, or recommendations Basic Qualifications:  Ability to communicate how computer science and statistics is used to solve data and business problems Strong knowledge of basic and Bayesian statistical concepts such as correlation, linear regression, optimization, and how they can be applied to algorithm development Strong problem-solving skills and business acumen, and demonstrated excellent oral and written communication skills Ability to partner with stakeholders and peers (e.g. data analysts, data engineers) to identify and solve a business problem A Bachelor’s degree in Data Science, Scientific, Engineering, Math, or other relevant area US Citizen Desired Skills:  Understanding of model interpretation and explainability Experience with storytelling and visualizations within the realm of data analytics Experience working with virtual teams Experience with Python or similar, Pandas, sklearn, tensorflow, pytorch, Domino or AWS/Docker, Jupyter Notebooks Experience with machine learning pipelines and related tools such as GitLab BASIC QUALIFICATIONS: job.Qualifications   Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.  As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.  EXPERIENCE LEVEL: Experienced Professional",30+ days ago,"8,743 reviews"
https://www.indeed.com/viewjob?jk=641a03032842bb05&from=web&vjs=3,10,Data Scientist,Deloitte,"1919 North Lynn Street Suite 1500, Rosslyn, VA 22209","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.  Work you'll do  Develop, test, and deploy new data science models according to agency needs. This requires skills in predictive modeling, forecasting, machine learning, deep learning, multi-classification, risk analysis, and data pre-processing.  The team  Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.  The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to deliver insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.  Qualifications  Required:  Bachelor's degree required Must have an active security clearance Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future DS&J IntelligenceCommunity",30+ days ago,"10,325 reviews"
https://www.indeed.com/viewjob?jk=85136fdac42a19f2&from=web&vjs=3,10,Geospatial Data Scientist,William & Mary,"200 Richmond Road, Williamsburg, VA 23187","Present Position Number   FP015W   Role Code Title   Prof/Lecturer/11-12Mth   Position Title   Geospatial Data Scientist   Position Summary  The Institute for Integrative Conservation (IIC) at William & Mary is seeking a  Lead Geospatial Data Scientist  to lead and direct, in collaboration with external conservation partner organizations, applied conservation research projects that employ quantitative geospatial approaches and to teach geospatial and quantitative skills courses.  The successful candidate will have a Ph.D. in a suitable field that demonstrates their applications of geospatial data science to conservation and will have several years of experience working on applied conservation projects. The candidate will also be expected to apply for external research funding to support projects and to contribute to the strategic leadership of the IIC. We are looking for a highly collaborative person who has experience working across disciplines and with a diverse set of stakeholders in conservation projects. Candidates should clearly articulate how their work complements other conservation-related activities at William & Mary.  This is a 12-month professional faculty appointment.   Required Qualifications  Ph.D. in suitable field to demonstrate proficiency in geospatial data science (e.g. geography, landscape ecology, conservation biology)  Several years of experience with applied conservation research  Demonstrated ability to teach an introductory conservation GIS course  Demonstrated ability to teach a quantitative methods in conservation course   Demonstrated commitment to and achievements in justice, equity, diversity, and inclusion (JEDI)  Excellent interpersonal skills and leadership qualities  Excellent written and oral communication skills in English, including the ability to present complex issues to non-specialist audiences    Preferred Qualifications  Track record of grant writing and attaining external funding  Demonstrated success in collaborations with conservation organizations (e.g. NGOs, state or federal agencies, private companies)  Demonstrated experience with participatory GIS or collaborations involving Indigenous Peoples and local communities as conservation partners.  Demonstrated experience in mentoring and supervising students or staff in research projects  Ability to offer an undergraduate conservation course in a natural sciences topic (e.g. biodiversity, conservation biology)  Experience with travel abroad, to non-English speaking countries  Previous knowledge of or desire to learn languages other than English    Advertised Pay Range   up to 75,000 commensurate with experience   Department   311800 Institute for Integrative Conservation   Location   William & Mary   University Salary Range   U10   Job Open Date   11/01/2021   Review Begin Date   11/30/2021   Job Close Date   01/04/2022   Open Until Filled   No   Employment Category   Full Time Professional   FLSA   Exempt   Position Term   12-Month   Special Application Instructions  For full consideration, please submit a CV/resume, cover letter, and a 2-page document explaining how you meet our IIC values by the review date.   Conditions of Employment:  Some night or weekend work may be required. Some travel may be required.  This is a restricted position, subject to funding.  All staff and faculty must be fully vaccinated against COVID-19. Proof of vaccination must be provided on the employee’s first day of employment. If an accommodation is needed, please contact Human Resources.    EEO Statement  William & Mary values diversity and invites applications from underrepresented groups who will enrich the research, teaching and service missions of the university. The university is an Equal Opportunity/Affirmative Action employer and encourages applications from women, minorities, protected veterans, and individuals with disabilities.   Background Check Statement  William & Mary is committed to providing a safe campus community. W&M conducts background investigations for applicants being considered for employment. Background investigations include reference checks, a criminal history record check, and when appropriate, a financial (credit) report or driving history check.   Benefits Summary Statement  William & Mary offers our employees a full array of benefits including retirement, health insurance with options for expanded dental and vision along with group and optional life insurance with coverage for spouse and children, flexible spending accounts, and an  EAP  (Employee Assistance Program).   Our employees enjoy additional university benefits such as educational assistance, professional development, wellness benefits, and a robust holiday schedule. All employees have access to fitness facilities on campus. Staff members also have access to the university libraries, and much more. To learn more, go to:  https://www.wm.edu/offices/hr/currentemployees/benefits/index.php",27 days ago,183 reviews
